School Name,Tests Taken,Reading / Writing,Writing,Math
Innovation Academy Charter (District) - Innovation Academy Charter School,     108,556,,549
Ipswich - Ipswich High,     161,594,,575
KIPP Academy Lynn Charter (District) - KIPP Academy Lynn Charter School,      61,542,,558
King Philip - King Philip Regional High,     428,572,,560
Lawrence - High School Learning Center,       1,,,
Lawrence - Lawrence High School,     472,474,,486
Lee - Lee Middle/High School,      38,575,,572
Leicester - Leicester High,     117,535,,519
Lenox - Lenox Memorial High,      59,594,,578
Leominster - Center For Technical Education Innovation,      74,532,,542
Leominster - Leominster Center for Excellence,       2,,,
Leominster - Leominster High School,     257,528,,547
Lexington - Lexington High,     625,649,,676
Lincoln-Sudbury - Lincoln-Sudbury Regional High,     354,613,,632
Littleton - Littleton High School,     138,588,,587
Longmeadow - Longmeadow High,     268,606,,613
Lowell - Lowell High,     703,511,,523
Lowell - The Career Academy,       1,,,
Ludlow - Ludlow Senior High,     196,549,,549
Lunenburg - Lunenburg High,     115,583,,576
Lynn - Classical High,     278,508,,517
Lynn - Lynn English High,     303,493,,486
Lynn - Lynn Vocational Technical Institute,     113,477,,458
Lynnfield - Lynnfield High,     197,575,,574
MATCH Charter Public School (District) - MATCH Charter Public School,      86,477,,526
Ma Academy for Math and Science - Ma Academy for Math and Science School,      53,718,,771
Malden - Malden High,     429,509,,543
Manchester Essex Regional - Manchester Essex Regional High School,     137,598,,590
Mansfield - Mansfield High,     384,582,,595
Map Academy Charter School (District) - Map Academy Charter School,       5,,,
Marblehead - Marblehead High,     343,600,,593
Marlborough - Marlborough High,     278,526,,528
Marshfield - Marshfield High,     451,565,,559
Martha's Vineyard - Martha's Vineyard Regional High,     170,567,,560
Martha's Vineyard Charter (District) - Martha's Vineyard Charter School,       9,,,
Masconomet - Masconomet Regional High School,     355,582,,588
Mashpee - Mashpee High,     107,544,,533
Maynard - Maynard High,     102,574,,546
Medfield - Medfield Senior High,     250,599,,607
Medford - Medford High,     328,541,,545
Medway - Medway High,     243,567,,572
Melrose - Melrose High,     370,567,,549
Mendon-Upton - Nipmuc Regional High,     197,568,,559
Methuen - Methuen High,     427,511,,513
Middleborough - Middleborough High,     170,534,,531
Milford - Milford High,     259,548,,543
Millbury - Millbury Junior/Senior High,      91,537,,550
Millis - Millis High School,     129,565,,540
Milton - Milton High,     362,577,,592
Minuteman Regional Vocational Technical - Minuteman Regional High,      84,554,,537
Mohawk Trail - Mohawk Trail Regional High,      48,537,,512
