"School Name","District Name","Reading/Writing Score","Math Score","Tests Taken","# Students SAT ELA Participation"
"Russell Elem School","Litchfield CUSD 12",,,,
"Litchfield Prekindergarten","Litchfield CUSD 12",,,,
,"Nokomis CUSD 22",471.3,452.8,39,39
"Nokomis Jr/Sr High Sch","Nokomis CUSD 22",471.3,452.8,39,39
"North Elem School","Nokomis CUSD 22",,,,
,"Belvidere CUSD 100",480.2,456.3,564,564
"Belvidere High School","Belvidere CUSD 100",458.6,439,271,271
"Belvidere North High Sch","Belvidere CUSD 100",500.2,472.4,293,293
"Belvidere South Middle School","Belvidere CUSD 100",,,,
"Belvidere Central Middle Schoo","Belvidere CUSD 100",,,,
"Caledonia Elem School","Belvidere CUSD 100",,,,
"Lincoln Elem School","Belvidere CUSD 100",,,,
"Perry Elem School","Belvidere CUSD 100",,,,
"Washington Academy","Belvidere CUSD 100",,,,
"Meehan Elementary School","Belvidere CUSD 100",,,,
"Seth Whitman Elem Sch","Belvidere CUSD 100",,,,
,"North Boone CUSD 200",465.3,455.6,90,90
"North Boone High School","North Boone CUSD 200",465.3,455.6,90,90
"North Boone Middle School","North Boone CUSD 200",,,,
"Capron Elem School","North Boone CUSD 200",,,,
"Manchester Elem School","North Boone CUSD 200",,,,
"Poplar Grove Elem School","North Boone CUSD 200",,,,
"North Boone Upper Elem Sch","North Boone CUSD 200",,,,
,"Harlem UD 122",474.3,457.8,420,420
"Harlem High School","Harlem UD 122",474.3,457.8,420,420
"Harlem Middle School","Harlem UD 122",,,,
"Loves Park Elem School","Harlem UD 122",,,,
"Maple Elem School","Harlem UD 122",,,,
"Marquette Elem School","Harlem UD 122",,,,
"Rock Cut Elem School","Harlem UD 122",,,,
"Ralston Elem School","Harlem UD 122",,,,
"Windsor Elem School","Harlem UD 122",,,,
"Machesney Elem School","Harlem UD 122",,,,
"Olson Park Elem School","Harlem UD 122",,,,
"Donald C Parker Early Educ Cen","Harlem UD 122",,,,
,"Kinnikinnick CCSD 131",,,,
"Roscoe Middle School","Kinnikinnick CCSD 131",,,,
"Kinnikinnick School","Kinnikinnick CCSD 131",,,,
"Ledgewood Elem School","Kinnikinnick CCSD 131",,,,
"Stone Creek School","Kinnikinnick CCSD 131",,,,
,"Prairie Hill CCSD 133",,,,
"Willowbrook Middle School","Prairie Hill CCSD 133",,,,
"Prairie Hill Elem School","Prairie Hill CCSD 133",,,,
,"Shirland CCSD 134",,,,
"Shirland C C School","Shirland CCSD 134",,,,
,"Rockton SD 140",,,,
"Stephen Mack Middle School","Rockton SD 140",,,,
"Rockton Elem School","Rockton SD 140",,,,
