School Name,District Name,Reading/Writing Score,Math Score,Tests Taken,# Students SAT ELA Participation,state_name_x,latitude,longitude,address,zip_code,county_name_x,city_name,county_code,Street Address,Tract,unique_id,year,tract_number,county_name_y,state_name_y,Population 18 to 24 years (estimate),"18-24, less than high school graduate (estimate)","18-24, high school graduate or eq. (estimate)","18-24, some college or associate's degree (estimate)","18-24, bachelor's degree or higher",Population 25 years and over (estimate),"25 and over, less than 9th grade (estimate)","25 and over, 9th to 12th grade, no diploma (estimate)","25 and over, high school graduate or eq. (estimate)","25 and over, some college, no degree (estimate)","25 and over, associate's degree (estimate)","25 and over, bachelor's degree (estimate)","25 and over, graduate or professional degree (estimate)","18-24, less than high school graduate (percentage)","18-24, high school graduate or eq. (percentage)","18-24, some college or associate's degree (percentage)","18-24, bachelor's degree or higher (percentage)","25 and over, less than 9th grade (percentage)","25 and over, 9th to 12th grade, no diploma (percentage)","25 and over, high school graduate or eq. (percentage)","25 and over, some college, no degree (percentage)","25 and over, associate's degree (percentage)","25 and over, bachelor's degree (percentage)","25 and over, graduate or professional degree (percentage)",Total number of households,Median household income (dollars),Mean household income (dollars),Total population,Hispanic or Latino (estimate),Hispanic or Latino (percentage),Not Hispanic or Latino (estimate),Not Hispanic or Latino (percentage),White alone (estimate),White alone (percentage),Black or African American alone (estimate),Black or African American alone (percentage),American Indian and Alaska Native alone (estimate),American Indian and Alaska Native alone (percentage),Asian alone (estimate),Asian alone (percentage),Native Hawaiian and Other Pacific Islander alone (estimate),Native Hawaiian and Other Pacific Islander alone (percentage),Some other race alone (estimate),Some other race alone (percentage),Two or more races alone (estimate),Two or more races alone (percentage)
Waverly Junior/Senior High Sch,Waverly CUSD 6,483.1,483.4,32.0,32.0,Illinois,39.5926856,-89.9603042,201 North Miller Street,62692,Morgan County,Waverly,17137,"201 North Miller Street, Waverly, Illinois, 62692",952300,17137952300,2021.0,952300.0,Morgan County,Illinois,303.0,47.0,156.0,79.0,21.0,2162.0,50.0,119.0,960.0,426.0,170.0,288.0,149.0,15.5,51.5,26.1,6.9,2.3,5.5,44.4,19.7,7.9,13.3,6.9,1246.0,64239.0,86881.0,3320.0,7.0,0.2,3313.0,99.8,3187.0,96.0,39.0,1.2,0.0,0.0,35.0,1.1,0.0,0.0,3.0,0.1,49.0,1.5
Triopia Jr-Sr High School,Triopia CUSD 27,496.5,483.5,23.0,23.0,Illinois,39.8406508,-90.372008,2204 Concord Arenzville Road,62631,Morgan County,Concord,17137,"2204 Concord Arenzville Road, Concord, Illinois, 62631",951400,17137951400,2021.0,951400.0,Morgan County,Illinois,175.0,54.0,82.0,39.0,0.0,1734.0,42.0,131.0,822.0,350.0,167.0,165.0,57.0,30.9,46.9,22.3,0.0,2.4,7.6,47.4,20.2,9.6,9.5,3.3,1003.0,52841.0,64072.0,2448.0,45.0,1.8,2403.0,98.2,2338.0,95.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,2.7
Jacksonville High School,Jacksonville SD 117,474.6,461.2,191.0,191.0,Illinois,39.750431,-90.24005000000001,1211 North Diamond Street,62650,Morgan County,Jacksonville,17137,"1211 North Diamond Street, Jacksonville, Illinois, 62650",951700,17137951700,2021.0,951700.0,Morgan County,Illinois,103.0,27.0,66.0,10.0,0.0,1733.0,91.0,133.0,797.0,445.0,140.0,103.0,24.0,26.2,64.1,9.7,0.0,5.3,7.7,46.0,25.7,8.1,5.9,1.4,921.0,32056.0,46385.0,2285.0,57.0,2.5,2228.0,97.5,1990.0,87.1,221.0,9.7,10.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.3
Pleasant Hill High School,Pleasant Hill CUSD 3,410.0,392.5,16.0,16.0,Illinois,39.4410208,-90.8683035,501 East Quincy Street,62366,Pike County,Pleasant Hill,17149,"501 East Quincy Street, Pleasant Hill, Illinois, 62366",952600,17149952600,2021.0,952600.0,Pike County,Illinois,209.0,41.0,91.0,68.0,9.0,1859.0,17.0,136.0,780.0,403.0,155.0,270.0,98.0,19.6,43.5,32.5,4.3,0.9,7.3,42.0,21.7,8.3,14.5,5.3,977.0,64205.0,74361.0,2915.0,36.0,1.2,2879.0,98.8,2846.0,97.6,4.0,0.1,2.0,0.1,10.0,0.3,0.0,0.0,0.0,0.0,17.0,0.6
Griggsville-Perry High School,Griggsville-Perry CUSD 4,437.0,422.5,20.0,20.0,Illinois,39.7728701,-90.7913227,,N/A,Pike County,N/A,17149,,952400,17149952400,2021.0,952400.0,Pike County,Illinois,335.0,90.0,159.0,79.0,7.0,2285.0,58.0,178.0,918.0,529.0,231.0,239.0,132.0,26.9,47.5,23.6,2.1,2.5,7.8,40.2,23.2,10.1,10.5,5.8,1297.0,47147.0,64265.0,3190.0,24.0,0.8,3166.0,99.2,2968.0,93.0,10.0,0.3,0.0,0.0,3.0,0.1,101.0,3.2,7.0,0.2,77.0,2.4
Pittsfield High School,Pikeland CUSD 10,479.1,455.1,76.0,76.0,Illinois,39.6000518,-90.8053207,201 East Higbee Street,62363,Pike County,Pittsfield,17149,"201 East Higbee Street, Pittsfield, Illinois, 62363",952700,17149952700,2021.0,952700.0,Pike County,Illinois,283.0,35.0,129.0,95.0,24.0,3109.0,26.0,216.0,1140.0,828.0,269.0,489.0,141.0,12.4,45.6,33.6,8.5,0.8,6.9,36.7,26.6,8.7,15.7,4.5,1823.0,44350.0,61188.0,4216.0,56.0,1.3,4160.0,98.7,3985.0,94.5,96.0,2.3,0.0,0.0,28.0,0.7,0.0,0.0,0.0,0.0,51.0,1.2
Western High School,Western CUSD 12,434.5,457.0,20.0,20.0,Illinois,39.6971968,-91.044325,401 McDonough Street,62312,Pike County,Barry,17149,"401 McDonough Street, Barry, Illinois, 62312",952500,17149952500,2021.0,952500.0,Pike County,Illinois,142.0,17.0,76.0,33.0,16.0,1688.0,23.0,55.0,797.0,416.0,135.0,181.0,81.0,12.0,53.5,23.2,11.3,1.4,3.3,47.2,24.6,8.0,10.7,4.8,952.0,57344.0,63648.0,2515.0,49.0,1.9,2466.0,98.1,2427.0,96.5,2.0,0.1,0.0,0.0,6.0,0.2,0.0,0.0,3.0,0.1,28.0,1.1
Winchester High School,Winchester CUSD 1,457.3,454.4,52.0,52.0,Illinois,39.6275071,-90.4595794,200 West Cross Street,62694,Scott County,Winchester,17171,"200 West Cross Street, Winchester, Illinois, 62694",970700,17171970700,2021.0,970700.0,Scott County,Illinois,238.0,34.0,92.0,96.0,16.0,2245.0,34.0,75.0,1010.0,341.0,286.0,362.0,137.0,14.3,38.7,40.3,6.7,1.5,3.3,45.0,15.2,12.7,16.1,6.1,1266.0,60366.0,71763.0,3273.0,9.0,0.3,3264.0,99.7,3166.0,96.7,12.0,0.4,5.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,81.0,2.5
Bluffs High School,Scott-Morgan CUSD 2,412.8,425.6,18.0,18.0,Illinois,39.7519902,-90.53512580000002,,62621,Scott County,Bluffs,17171,,970600,17171970600,2021.0,970600.0,Scott County,Illinois,106.0,12.0,34.0,41.0,19.0,1257.0,20.0,81.0,546.0,256.0,80.0,219.0,55.0,11.3,32.1,38.7,17.9,1.6,6.4,43.4,20.4,6.4,17.4,4.4,677.0,68250.0,79914.0,1650.0,11.0,0.7,1639.0,99.3,1560.0,94.5,0.0,0.0,4.0,0.2,42.0,2.5,16.0,1.0,0.0,0.0,17.0,1.0
Mulberry Grove Sr High School,Mulberry Grove CUSD 1,430.7,453.7,27.0,27.0,Illinois,38.924212,-89.27752749999999,801 West Wall Street,62262,Bond County,Mulberry Grove,17005,"801 West Wall Street, Mulberry Grove, Illinois, 62262",951200,17005951200,2021.0,951200.0,Bond County,Illinois,172.0,23.0,61.0,83.0,5.0,2404.0,45.0,111.0,965.0,470.0,374.0,300.0,139.0,13.4,35.5,48.3,2.9,1.9,4.6,40.1,19.6,15.6,12.5,5.8,1294.0,65804.0,74468.0,3114.0,150.0,4.8,2964.0,95.2,2894.0,92.9,48.0,1.5,2.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.6
Bond Cty Comm Unit 2 High Scho,Bond County CUSD 2,494.7,492.1,129.0,129.0,Illinois,38.9011707,-89.39892359999999,1000 Illinois 140,62246,Bond County,Greenville,17005,"1000 Illinois 140, Greenville, Illinois, 62246",951400,17005951400,2021.0,951400.0,Bond County,Illinois,127.0,4.0,61.0,49.0,13.0,2123.0,36.0,135.0,815.0,452.0,227.0,334.0,124.0,3.1,48.0,38.6,10.2,1.7,6.4,38.4,21.3,10.7,15.7,5.8,1066.0,51111.0,69605.0,2985.0,35.0,1.2,2950.0,98.8,2874.0,96.3,0.0,0.0,41.0,1.4,10.0,0.3,0.0,0.0,6.0,0.2,19.0,0.6
Morrisonville High School,Morrisonville CUSD 1,480.0,463.6,14.0,14.0,Illinois,39.4226983,-89.457837,204 North Perrine Street,62546,Christian County,Morrisonville,17021,"204 North Perrine Street, Morrisonville, Illinois, 62546",959000,17021959000,2021.0,959000.0,Christian County,Illinois,351.0,52.0,81.0,183.0,35.0,3495.0,43.0,234.0,1473.0,550.0,314.0,735.0,146.0,14.8,23.1,52.1,10.0,1.2,6.7,42.1,15.7,9.0,21.0,4.2,1836.0,72115.0,90303.0,4879.0,62.0,1.3,4817.0,98.7,4696.0,96.2,31.0,0.6,0.0,0.0,4.0,0.1,0.0,0.0,0.0,0.0,86.0,1.8
Taylorville Sr High School,Taylorville CUSD 3,449.1,445.6,174.0,174.0,Illinois,39.60783,-89.20867729999999,,N/A,Christian County,N/A,17021,,958600,17021958600,2021.0,958600.0,Christian County,Illinois,132.0,23.0,51.0,25.0,33.0,1574.0,18.0,171.0,487.0,343.0,140.0,337.0,78.0,17.4,38.6,18.9,25.0,1.1,10.9,30.9,21.8,8.9,21.4,5.0,949.0,63641.0,72044.0,2310.0,4.0,0.2,2306.0,99.8,2288.0,99.0,0.0,0.0,0.0,0.0,12.0,0.5,0.0,0.0,0.0,0.0,6.0,0.3
Edinburg High School,Edinburg CUSD 4,476.9,463.1,13.0,13.0,Illinois,39.6708067,-89.3795835,,N/A,Christian County,N/A,17021,,958100,17021958100,2021.0,958100.0,Christian County,Illinois,186.0,40.0,50.0,59.0,37.0,2164.0,8.0,68.0,1100.0,449.0,213.0,259.0,67.0,21.5,26.9,31.7,19.9,0.4,3.1,50.8,20.7,9.8,12.0,3.1,1180.0,68125.0,79598.0,2998.0,0.0,0.0,2998.0,100.0,2877.0,96.0,26.0,0.9,0.0,0.0,2.0,0.1,0.0,0.0,0.0,0.0,93.0,3.1
Pana Sr High School,Pana CUSD 8,481.9,468.4,91.0,91.0,Illinois,39.3588992,-89.1324866,,N/A,Christian County,N/A,17021,,958700,17021958700,2021.0,958700.0,Christian County,Illinois,440.0,68.0,59.0,303.0,10.0,3645.0,142.0,515.0,1207.0,868.0,323.0,393.0,197.0,15.5,13.4,68.9,2.3,3.9,14.1,33.1,23.8,8.9,10.8,5.4,1419.0,50724.0,65958.0,4675.0,247.0,5.3,4428.0,94.7,4131.0,88.4,189.0,4.0,7.0,0.1,9.0,0.2,4.0,0.1,0.0,0.0,88.0,1.9
South Fork Jr Sr High School,South Fork SD 14,463.8,394.6,26.0,26.0,Illinois,39.5881153,-89.4124539,612 Dial Street,62540,Christian County,Kincaid,17021,"612 Dial Street, Kincaid, Illinois, 62540",958200,17021958200,2021.0,958200.0,Christian County,Illinois,270.0,30.0,90.0,106.0,44.0,2591.0,35.0,218.0,1252.0,626.0,206.0,172.0,82.0,11.1,33.3,39.3,16.3,1.4,8.4,48.3,24.2,8.0,6.6,3.2,1532.0,64737.0,84583.0,3597.0,227.0,6.3,3370.0,93.7,3370.0,93.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Altamont High School,Altamont CUSD 10,466.9,453.1,55.0,55.0,Illinois,39.0590516,-88.7408097,7 South Ewing Street,62411,Effingham County,Altamont,17049,"7 South Ewing Street, Altamont, Illinois, 62411",950300,17049950300,2021.0,950300.0,Effingham County,Illinois,240.0,53.0,113.0,65.0,9.0,3037.0,48.0,127.0,971.0,896.0,500.0,345.0,150.0,22.1,47.1,27.1,3.8,1.6,4.2,32.0,29.5,16.5,11.4,4.9,1791.0,65069.0,77399.0,4170.0,0.0,0.0,4170.0,100.0,4152.0,99.6,0.0,0.0,4.0,0.1,0.0,0.0,0.0,0.0,5.0,0.1,9.0,0.2
Beecher City Jr-Sr High School,Beecher City CUSD 20,459.6,482.3,26.0,26.0,Illinois,39.1682823,-88.7301525,,N/A,Effingham County,N/A,17049,,950200,17049950200,2021.0,950200.0,Effingham County,Illinois,228.0,18.0,76.0,82.0,52.0,3324.0,30.0,132.0,930.0,724.0,455.0,745.0,308.0,7.9,33.3,36.0,22.8,0.9,4.0,28.0,21.8,13.7,22.4,9.3,1923.0,83050.0,114229.0,4800.0,11.0,0.2,4789.0,99.8,4727.0,98.5,5.0,0.1,21.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.8
Dieterich Jr/Sr High School,Dieterich CUSD 30,485.8,481.9,31.0,31.0,Illinois,39.0575103,-88.38257589999999,108 West Church Street,62424,Effingham County,Dieterich,17049,"108 West Church Street, Dieterich, Illinois, 62424",950500,17049950500,2021.0,950500.0,Effingham County,Illinois,202.0,16.0,91.0,82.0,13.0,3221.0,54.0,128.0,1075.0,689.0,485.0,597.0,193.0,7.9,45.0,40.6,6.4,1.7,4.0,33.4,21.4,15.1,18.5,6.0,1778.0,73313.0,82739.0,4768.0,30.0,0.6,4738.0,99.4,4671.0,98.0,0.0,0.0,0.0,0.0,32.0,0.7,0.0,0.0,0.0,0.0,35.0,0.7
Effingham High School,Effingham CUSD 40,481.1,469.8,180.0,180.0,Illinois,39.1163715,-88.55758709999999,1301 Grove Avenue,62401,Effingham County,Effingham,17049,"1301 Grove Avenue, Effingham, Illinois, 62401",950800,17049950800,2021.0,950800.0,Effingham County,Illinois,566.0,93.0,181.0,235.0,57.0,2535.0,94.0,147.0,777.0,479.0,426.0,416.0,196.0,16.4,32.0,41.5,10.1,3.7,5.8,30.7,18.9,16.8,16.4,7.7,1703.0,50920.0,62423.0,4049.0,241.0,6.0,3808.0,94.0,3694.0,91.2,28.0,0.7,4.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,82.0,2.0
Teutopolis High School,Teutopolis CUSD 50,512.7,502.9,82.0,82.0,Illinois,39.1288995,-88.4872311,801 West Main Street,62467,Effingham County,Teutopolis,17049,"801 West Main Street, Teutopolis, Illinois, 62467",950100,17049950100,2021.0,950100.0,Effingham County,Illinois,451.0,34.0,131.0,188.0,98.0,2805.0,11.0,86.0,945.0,536.0,450.0,529.0,248.0,7.5,29.0,41.7,21.7,0.4,3.1,33.7,19.1,16.0,18.9,8.8,1644.0,91053.0,119983.0,4322.0,25.0,0.6,4297.0,99.4,4198.0,97.1,8.0,0.2,0.0,0.0,34.0,0.8,0.0,0.0,0.0,0.0,57.0,1.3
Brownstown High School,Brownstown CUSD 201,471.6,445.3,19.0,19.0,Illinois,38.9919794,-88.9573503,421 South College Avenue,62418,Fayette County,Brownstown,17051,"421 South College Avenue, Brownstown, Illinois, 62418",950600,17051950600,2021.0,950600.0,Fayette County,Illinois,159.0,24.0,88.0,47.0,0.0,1741.0,21.0,183.0,744.0,354.0,218.0,197.0,24.0,15.1,55.3,29.6,0.0,1.2,10.5,42.7,20.3,12.5,11.3,1.4,925.0,54879.0,77202.0,2560.0,5.0,0.2,2555.0,99.8,2537.0,99.1,0.0,0.0,0.0,0.0,18.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0
St Elmo Sr High School,St Elmo CUSD 202,441.5,428.8,26.0,26.0,Illinois,39.0445443,-88.8455037,,N/A,Fayette County,N/A,17051,,950500,17051950500,2021.0,950500.0,Fayette County,Illinois,236.0,28.0,64.0,128.0,16.0,2011.0,59.0,173.0,764.0,472.0,317.0,142.0,84.0,11.9,27.1,54.2,6.8,2.9,8.6,38.0,23.5,15.8,7.1,4.2,1071.0,46250.0,62680.0,2859.0,7.0,0.2,2852.0,99.8,2814.0,98.4,6.0,0.2,0.0,0.0,11.0,0.4,0.0,0.0,0.0,0.0,21.0,0.7
Vandalia Community High School,Vandalia CUSD 203,464.7,459.9,83.0,83.0,Illinois,38.972798,-89.10065469999999,1109 North 8th Street,62471,Fayette County,Vandalia,17051,"1109 North 8th Street, Vandalia, Illinois, 62471",950800,17051950800,2021.0,950800.0,Fayette County,Illinois,482.0,155.0,153.0,172.0,2.0,3583.0,97.0,505.0,1547.0,614.0,447.0,226.0,147.0,32.2,31.7,35.7,0.4,2.7,14.1,43.2,17.1,12.5,6.3,4.1,1386.0,36688.0,52931.0,4840.0,321.0,6.6,4519.0,93.4,3607.0,74.5,850.0,17.6,21.0,0.4,3.0,0.1,12.0,0.2,0.0,0.0,26.0,0.5
Ramsey High School,Ramsey CUSD 204,454.1,454.4,32.0,32.0,Illinois,39.1405275,-89.1140872,702 6th Street,62080,Fayette County,Ramsey,17051,"702 6th Street, Ramsey, Illinois, 62080",950700,17051950700,2021.0,950700.0,Fayette County,Illinois,334.0,24.0,203.0,107.0,0.0,3198.0,82.0,310.0,1293.0,695.0,350.0,358.0,110.0,7.2,60.8,32.0,0.0,2.6,9.7,40.4,21.7,10.9,11.2,3.4,1560.0,53889.0,69834.0,4714.0,43.0,0.9,4671.0,99.1,4549.0,96.5,11.0,0.2,0.0,0.0,58.0,1.2,0.0,0.0,0.0,0.0,53.0,1.1
Lincolnwood High School,Panhandle CUSD 2,471.2,471.2,33.0,33.0,Illinois,39.3268102,-89.5714264,507 North Prairie Street,62560,Montgomery County,Raymond,17135,"507 North Prairie Street, Raymond, Illinois, 62560",957500,17135957500,2021.0,957500.0,Montgomery County,Illinois,223.0,49.0,67.0,97.0,10.0,1844.0,17.0,100.0,547.0,400.0,246.0,339.0,195.0,22.0,30.0,43.5,4.5,0.9,5.4,29.7,21.7,13.3,18.4,10.6,1112.0,72230.0,79859.0,2915.0,120.0,4.1,2795.0,95.9,2738.0,93.9,0.0,0.0,8.0,0.3,24.0,0.8,0.0,0.0,0.0,0.0,25.0,0.9
Hillsboro High School,Hillsboro CUSD 3,462.1,448.2,100.0,100.0,Illinois,39.1527446,-89.4877793,522 East Tremont Street,62049,Montgomery County,Hillsboro,17135,"522 East Tremont Street, Hillsboro, Illinois, 62049",957900,17135957900,2021.0,957900.0,Montgomery County,Illinois,190.0,10.0,91.0,89.0,0.0,3298.0,84.0,289.0,874.0,885.0,293.0,462.0,411.0,5.3,47.9,46.8,0.0,2.5,8.8,26.5,26.8,8.9,14.0,12.5,1979.0,59232.0,67790.0,4657.0,90.0,1.9,4567.0,98.1,4486.0,96.3,16.0,0.3,4.0,0.1,0.0,0.0,0.0,0.0,52.0,1.1,9.0,0.2
Litchfield Senior High School,Litchfield CUSD 12,493.3,473.4,83.0,83.0,Illinois,39.1889,-89.65545829999999,1705 North State Street,62056,Montgomery County,Litchfield,17135,"1705 North State Street, Litchfield, Illinois, 62056",957700,17135957700,2021.0,957700.0,Montgomery County,Illinois,152.0,7.0,46.0,88.0,11.0,2150.0,27.0,114.0,868.0,406.0,192.0,418.0,125.0,4.6,30.3,57.9,7.2,1.3,5.3,40.4,18.9,8.9,19.4,5.8,1255.0,55761.0,63509.0,2997.0,5.0,0.2,2992.0,99.8,2810.0,93.8,26.0,0.9,0.0,0.0,38.0,1.3,0.0,0.0,0.0,0.0,118.0,3.9
