School Name,District Name,City,County,District Type,District Size,School Type,Grades Served,SAT Reading Average Score,SAT Math Average Score,SAT Reading Total Students Level 1 %,SAT Reading Total Students Level 2 %,SAT Reading Total Students Level 3 %,SAT Reading Total Students Level 4 %,SAT Math Total Students Level 1 %,SAT Math Total Students Level 2 %,SAT Math Total Students Level 3 %,SAT Math Total Students Level 4 %,SAT Reading Total Male Students Level 1 %,SAT Reading Total Male Students Level 2 %,SAT Reading Total Male Students Level 3 %,SAT Reading Total Male Students Level 4 %,Tests Taken,# Students SAT ELA Participation
Steinmetz College Prep HS,City of Chicago SD 299,Chicago,Cook,UNIT,LARGE,HIGH SCHOOL,9 - 12,418.9,398.9,57.7,37.5,4.3,0.4,77.1,18.6,4.0,0.4,59.8,34.8,5.3,0.0,254.0,254.0
Sullivan High School,City of Chicago SD 299,Chicago,Cook,UNIT,LARGE,HIGH SCHOOL,9 - 12,411.4,406.0,62.8,32.8,4.4,0.0,72.0,24.2,3.8,0.0,67.0,28.2,4.9,0.0,183.0,184.0
Taft High School,City of Chicago SD 299,Chicago,Cook,UNIT,LARGE,HIGH SCHOOL,7 - 12,483.1,468.6,26.6,46.6,23.1,3.7,40.7,31.5,26.1,1.7,31.8,45.1,19.6,3.5,1045.0,1047.0
Tilden Career Communty Academy HS,City of Chicago SD 299,Chicago,Cook,UNIT,LARGE,HIGH SCHOOL,9 - 12,396.3,380.2,67.3,32.7,0.0,0.0,89.8,10.2,0.0,0.0,71.4,28.6,0.0,0.0,49.0,49.0
Von Steuben Metro Science HS,City of Chicago SD 299,Chicago,Cook,UNIT,LARGE,HIGH SCHOOL,9 - 12,498.8,493.4,21.0,46.7,26.3,6.1,29.3,35.9,32.7,2.1,20.8,46.4,24.0,8.7,376.0,377.0
Lincoln Park High School,City of Chicago SD 299,Chicago,Cook,UNIT,LARGE,HIGH SCHOOL,9 - 12,529.5,517.4,11.9,40.4,35.4,12.3,21.3,33.8,40.9,4.0,16.8,37.3,33.6,12.3,494.0,495.0
Washington G High School,City of Chicago SD 299,Chicago,Cook,UNIT,LARGE,HIGH SCHOOL,9 - 12,438.1,423.8,45.3,46.6,7.9,0.2,62.6,30.5,6.7,0.2,51.2,44.6,4.2,0.0,406.0,406.0
Wells Community Academy HS,City of Chicago SD 299,Chicago,Cook,UNIT,LARGE,HIGH SCHOOL,9 - 12,392.5,373.4,75.3,22.2,2.5,0.0,91.3,6.3,2.5,0.0,70.8,25.0,4.2,0.0,80.0,81.0
Crane Medical Prep HS,City of Chicago SD 299,Chicago,Cook,UNIT,LARGE,HIGH SCHOOL,9 - 12,433.0,410.5,54.4,43.7,1.9,0.0,71.8,24.3,3.9,0.0,69.6,26.1,4.3,0.0,103.0,103.0
Disney II Magnet HS,City of Chicago SD 299,Chicago,Cook,UNIT,LARGE,HIGH SCHOOL,7 - 12,489.4,442.4,22.0,55.3,18.2,4.4,50.9,37.7,10.7,0.6,24.7,50.7,20.5,4.1,159.0,159.0
Urban Prep Chtr Acad Englewood HS,City of Chicago SD 299,Chicago,Cook,UNIT,LARGE,CHARTER SCH,9 - 12,397.9,365.6,67.7,32.3,0.0,0.0,87.1,11.3,1.6,0.0,67.7,32.3,0.0,0.0,62.0,62.0
IHSCA Charter High School,City of Chicago SD 299,Chicago,Cook,UNIT,LARGE,CHARTER SCH,9 - 12,431.3,400.7,50.8,44.2,5.0,0.0,78.3,20.8,0.8,0.0,48.9,37.8,13.3,0.0,120.0,120.0
Urban Prep Chtr Acad Bronzeville HS,City of Chicago SD 299,Chicago,Cook,UNIT,LARGE,CHARTER SCH,9 - 12,416.3,390.0,56.9,43.1,0.0,0.0,83.1,15.4,1.5,0.0,56.9,43.1,0.0,0.0,65.0,65.0
EPIC Academy High School,City of Chicago SD 299,Chicago,Cook,UNIT,LARGE,CHARTER SCH,9 - 12,416.9,387.7,59.5,37.3,3.2,0.0,80.8,18.4,0.8,0.0,59.2,38.0,2.8,0.0,125.0,126.0
Legal Prep Academy Charter HS,City of Chicago SD 299,Chicago,Cook,UNIT,LARGE,CHARTER SCH,9 - 12,398.1,372.1,70.3,28.4,1.4,0.0,90.5,9.5,0.0,0.0,65.7,31.4,2.9,0.0,75.0,75.0
IJLA Charter High School,City of Chicago SD 299,Chicago,Cook,UNIT,LARGE,CHARTER SCH,9 - 12,424.2,394.6,69.2,15.4,15.4,0.0,88.5,7.7,3.8,0.0,76.9,15.4,7.7,0.0,26.0,26.0
Intrinsic Charter High School,City of Chicago SD 299,Chicago,Cook,UNIT,LARGE,CHARTER SCH,7 - 12,436.7,442.1,55.1,30.1,13.1,1.7,56.6,24.3,18.5,0.6,63.3,27.6,7.1,2.0,173.0,176.0
Noble St Chtr-Pritzker College Prep,City of Chicago SD 299,Chicago,Cook,UNIT,LARGE,CHARTER SCH,9 - 12,468.5,445.3,24.1,66.8,7.9,1.2,49.4,37.9,12.3,0.4,27.7,62.4,9.2,0.7,253.0,253.0
Noble St Chtr Rauner College Prep,City of Chicago SD 299,Chicago,Cook,UNIT,LARGE,CHARTER SCH,9 - 12,443.3,426.8,38.4,47.6,12.8,1.2,57.6,31.5,10.9,0.0,46.7,42.4,9.8,1.1,169.0,168.0
Noble St Chtr-Rowe-Clark MS Acad,City of Chicago SD 299,Chicago,Cook,UNIT,LARGE,CHARTER SCH,9 - 12,432.3,393.5,49.5,46.2,4.4,0.0,78.0,20.9,1.1,0.0,53.5,37.2,9.3,0.0,91.0,91.0
Noble St Chtr-Golder College Prep,City of Chicago SD 299,Chicago,Cook,UNIT,LARGE,CHARTER SCH,9 - 12,457.1,436.3,39.1,43.6,16.7,0.6,51.6,41.9,5.8,0.6,54.1,31.1,14.9,0.0,155.0,156.0
Noble St Chtr-Comer College Prep,City of Chicago SD 299,Chicago,Cook,UNIT,LARGE,CHARTER SCH,6 - 12,434.7,409.7,44.5,49.2,5.8,0.5,70.9,23.3,5.8,0.0,48.3,43.7,8.0,0.0,189.0,191.0
Noble St Chtr-UIC College Prep,City of Chicago SD 299,Chicago,Cook,UNIT,LARGE,CHARTER SCH,9 - 12,445.5,441.4,36.6,54.2,8.8,0.4,51.1,33.5,14.5,0.9,37.7,52.8,9.4,0.0,229.0,229.0
Noble St Chtr-Chicago Bulls Prep,City of Chicago SD 299,Chicago,Cook,UNIT,LARGE,CHARTER SCH,9 - 12,447.0,446.7,39.9,48.6,10.9,0.6,51.4,32.8,14.8,1.0,40.7,49.7,8.4,1.2,312.0,312.0
Noble St Chtr-Muchin College Prep,City of Chicago SD 299,Chicago,Cook,UNIT,LARGE,CHARTER SCH,9 - 12,462.2,444.8,30.5,54.5,15.0,0.0,50.9,34.1,14.1,0.9,28.3,58.4,13.3,0.0,220.0,220.0
Noble St Chtr-Johnson College Prep,City of Chicago SD 299,Chicago,Cook,UNIT,LARGE,CHARTER SCH,9 - 12,405.9,385.9,64.6,29.9,4.7,0.8,81.9,15.0,3.1,0.0,62.0,28.0,8.0,2.0,129.0,129.0
Noble St Chtr-Hansberry College Prep - Silver,City of Chicago SD 299,Chicago,Cook,UNIT,LARGE,CHARTER SCH,9 - 12,433.1,420.4,43.2,45.9,9.9,0.9,60.0,26.4,12.7,0.9,48.1,38.9,13.0,0.0,112.0,113.0
Noble St Chtr-DRW Trading College Prep,City of Chicago SD 299,Chicago,Cook,UNIT,LARGE,CHARTER SCH,9 - 12,400.5,378.6,65.8,31.5,2.7,0.0,80.8,16.4,2.7,0.0,77.8,19.4,2.8,0.0,74.0,74.0
Noble St Chtr-Butler College Prep - Crimson,City of Chicago SD 299,Chicago,Cook,UNIT,LARGE,CHARTER SCH,9 - 12,416.9,393.0,56.3,36.7,6.3,0.6,77.8,18.4,3.2,0.6,56.6,38.2,5.3,0.0,161.0,161.0
Noble St Chtr-Baker Campus,City of Chicago SD 299,Chicago,Cook,UNIT,LARGE,CHARTER SCH,9 - 12,437.6,419.4,51.5,35.3,11.8,1.5,63.2,25.0,11.8,0.0,48.1,33.3,14.8,3.7,68.0,68.0
Noble St Chtr-Noble Campus,City of Chicago SD 299,Chicago,Cook,UNIT,LARGE,CHARTER SCH,9 - 12,444.6,429.1,39.4,48.1,12.5,0.0,57.5,31.3,10.6,0.6,43.8,46.3,10.0,0.0,162.0,162.0
Noble St Chtr-ITW Speer Acad,City of Chicago SD 299,Chicago,Cook,UNIT,LARGE,CHARTER SCH,9 - 12,460.3,445.8,30.6,56.1,12.6,0.7,49.5,37.4,12.8,0.3,35.7,53.0,10.1,1.2,297.0,301.0
Noble St Chtr-The Noble Academy,City of Chicago SD 299,Chicago,Cook,UNIT,LARGE,CHARTER SCH,9 - 12,468.0,439.3,27.3,50.0,20.5,2.3,52.3,34.1,12.9,0.8,29.6,47.9,21.1,1.4,134.0,134.0
Noble St Chtr - Mansueto,City of Chicago SD 299,Chicago,Cook,UNIT,LARGE,CHARTER SCH,9 - 12,446.1,432.4,39.9,51.5,7.1,1.5,59.6,27.0,12.7,0.7,45.3,47.4,4.4,2.9,267.0,268.0
North Lawndale Prep Chtr-Collins,City of Chicago SD 299,Chicago,Cook,UNIT,LARGE,CHARTER SCH,9 - 12,413.8,380.3,60.0,40.0,0.0,0.0,88.2,11.8,0.0,0.0,68.8,31.3,0.0,0.0,110.0,110.0
Acero Chtr Sch Network- Sor Juana Ines de la Cruz K-12,City of Chicago SD 299,Chicago,Cook,UNIT,LARGE,CHARTER SCH,K - 12,427.5,397.9,41.7,50.0,8.3,0.0,79.2,20.8,0.0,0.0,33.3,66.7,0.0,0.0,24.0,24.0
Perspectives Chtr - Joslin Campus,City of Chicago SD 299,Chicago,Cook,UNIT,LARGE,CHARTER SCH,6 - 12,411.5,365.7,60.9,32.8,4.7,1.6,89.1,10.9,0.0,0.0,63.6,30.3,6.1,0.0,65.0,65.0
Perspectives Chtr - Leadership Acad,City of Chicago SD 299,Chicago,Cook,UNIT,LARGE,CHARTER SCH,6 - 12,427.2,394.9,57.0,37.6,5.4,0.0,80.6,17.2,2.2,0.0,52.6,39.5,7.9,0.0,93.0,93.0
Chicago Vocational Career Acad HS,City of Chicago SD 299,Chicago,Cook,UNIT,LARGE,HIGH SCHOOL,9 - 12,403.1,379.4,68.3,29.7,2.1,0.0,92.4,7.6,0.0,0.0,72.1,26.5,1.5,0.0,145.0,145.0
Perspectives Chtr - High School of Technology,City of Chicago SD 299,Chicago,Cook,UNIT,LARGE,CHARTER SCH,9 - 12,414.6,392.1,58.2,37.3,4.5,0.0,70.1,29.9,0.0,0.0,57.5,42.5,0.0,0.0,67.0,67.0
Dunbar Vocational Career Acad HS,City of Chicago SD 299,Chicago,Cook,UNIT,LARGE,HIGH SCHOOL,9 - 12,408.4,373.4,65.3,34.7,0.0,0.0,88.1,11.9,0.0,0.0,62.2,37.8,0.0,0.0,101.0,101.0
Jones College Prep High School,City of Chicago SD 299,Chicago,Cook,UNIT,LARGE,HIGH SCHOOL,9 - 12,632.7,634.3,0.8,8.1,38.6,52.4,0.8,8.8,54.1,36.3,1.1,7.9,37.0,54.0,479.0,479.0
Prosser Career Academy HS,City of Chicago SD 299,Chicago,Cook,UNIT,LARGE,HIGH SCHOOL,9 - 12,461.5,445.5,30.4,56.4,13.2,0.0,52.8,32.4,14.8,0.0,31.3,58.3,10.4,0.0,250.0,250.0
Richards Career Academy HS,City of Chicago SD 299,Chicago,Cook,UNIT,LARGE,HIGH SCHOOL,9 - 12,382.7,376.9,77.5,22.5,0.0,0.0,91.5,7.0,1.4,0.0,73.9,26.1,0.0,0.0,71.0,71.0
Simeon Career Academy High School,City of Chicago SD 299,Chicago,Cook,UNIT,LARGE,HIGH SCHOOL,9 - 12,416.5,397.8,58.9,40.0,1.1,0.0,79.2,19.0,1.8,0.0,61.7,35.9,2.3,0.0,279.0,280.0
Perspectives Chtr -  IIT Campus,City of Chicago SD 299,Chicago,Cook,UNIT,LARGE,CHARTER SCH,6 - 12,417.0,400.0,63.4,35.2,0.0,1.4,79.2,18.1,2.8,0.0,70.0,30.0,0.0,0.0,72.0,71.0
Corliss High School,City of Chicago SD 299,Chicago,Cook,UNIT,LARGE,HIGH SCHOOL,9 - 12,390.8,386.4,75.6,22.2,1.1,1.1,87.8,10.0,1.1,1.1,75.0,23.2,0.0,1.8,90.0,90.0
Clemente Community Academy HS,City of Chicago SD 299,Chicago,Cook,UNIT,LARGE,HIGH SCHOOL,9 - 12,405.9,388.1,70.0,24.7,5.3,0.0,81.2,16.8,2.0,0.0,70.2,23.8,6.0,0.0,149.0,150.0
YCCS-Scholastic Achievement HS,City of Chicago SD 299,Chicago,Cook,UNIT,LARGE,CHARTER SCH,9 - 12,387.0,368.6,75.7,24.3,0.0,0.0,94.6,5.4,0.0,0.0,77.3,22.7,0.0,0.0,37.0,37.0
YCCS- McKinley-Lakeside Leadership Academy,City of Chicago SD 299,Chicago,Cook,UNIT,LARGE,CHARTER SCH,9 - 12,384.5,375.5,84.2,15.8,0.0,0.0,94.7,5.3,0.0,0.0,75.0,25.0,0.0,0.0,38.0,38.0
YCCS-ASPIRA Pantoja Alt HS,City of Chicago SD 299,Chicago,Cook,UNIT,LARGE,CHARTER SCH,9 - 12,393.2,381.7,76.4,23.6,0.0,0.0,84.7,15.3,0.0,0.0,77.1,22.9,0.0,0.0,72.0,72.0
YCCS-Association House,City of Chicago SD 299,Chicago,Cook,UNIT,LARGE,CHARTER SCH,9 - 12,358.2,346.4,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,,,,,11.0,11.0
YCCS-Austin Career Ed Cntr HS,City of Chicago SD 299,Chicago,Cook,UNIT,LARGE,CHARTER SCH,9 - 12,369.1,346.3,96.9,3.1,0.0,0.0,96.9,3.1,0.0,0.0,,,,,32.0,32.0
YCCS-CCA Academy HS,City of Chicago SD 299,Chicago,Cook,UNIT,LARGE,CHARTER SCH,9 - 12,397.8,367.8,73.5,24.5,2.0,0.0,89.8,10.2,0.0,0.0,82.4,17.6,0.0,0.0,49.0,49.0
YCCS-Progressive Leadership Academy,City of Chicago SD 299,Chicago,Cook,UNIT,LARGE,CHARTER SCH,9 - 12,375.0,362.0,87.8,11.0,1.2,0.0,93.9,6.1,0.0,0.0,90.9,9.1,0.0,0.0,82.0,82.0
Manley Career Academy High School,City of Chicago SD 299,Chicago,Cook,UNIT,LARGE,HIGH SCHOOL,9 - 12,402.3,366.3,73.3,23.3,3.3,0.0,86.7,13.3,0.0,0.0,81.3,18.8,0.0,0.0,30.0,30.0
Curie Metropolitan High School,City of Chicago SD 299,Chicago,Cook,UNIT,LARGE,HIGH SCHOOL,9 - 12,445.6,440.8,39.9,50.4,8.9,0.9,54.6,32.5,12.0,0.9,42.1,48.1,8.4,1.4,790.0,790.0
YCCS-Community Youth Dev Inst HS,City of Chicago SD 299,Chicago,Cook,UNIT,LARGE,CHARTER SCH,9 - 12,383.7,379.7,76.7,23.3,0.0,0.0,90.0,10.0,0.0,0.0,91.7,8.3,0.0,0.0,30.0,30.0
YCCS-Albizu Campos Puerto Rican HS,City of Chicago SD 299,Chicago,Cook,UNIT,LARGE,CHARTER SCH,9 - 12,398.3,369.0,75.0,23.1,1.9,0.0,92.3,7.7,0.0,0.0,80.0,20.0,0.0,0.0,52.0,52.0
YCCS-Innovations of Arts Integr HS,City of Chicago SD 299,Chicago,Cook,UNIT,LARGE,CHARTER SCH,9 - 12,388.7,370.6,77.8,21.6,0.7,0.0,90.8,8.6,0.7,0.0,78.7,19.7,1.6,0.0,152.0,153.0
YCCS-Jane Addams Alternative HS,City of Chicago SD 299,Chicago,Cook,UNIT,LARGE,CHARTER SCH,9 - 12,421.1,396.2,56.8,37.8,5.4,0.0,78.4,18.9,2.7,0.0,45.0,45.0,10.0,0.0,37.0,37.0
YCCS-Latino Youth Alternative HS,City of Chicago SD 299,Chicago,Cook,UNIT,LARGE,CHARTER SCH,9 - 12,402.6,387.8,73.9,23.9,2.2,0.0,84.4,13.3,2.2,0.0,81.8,13.6,4.5,0.0,45.0,46.0
YCCS-Olive Harvey Mid College HS,City of Chicago SD 299,Chicago,Cook,UNIT,LARGE,CHARTER SCH,9 - 12,396.7,360.8,66.7,33.3,0.0,0.0,91.7,8.3,0.0,0.0,78.6,21.4,0.0,0.0,24.0,24.0
YCCS-Sullivan House Alt HS,City of Chicago SD 299,Chicago,Cook,UNIT,LARGE,CHARTER SCH,9 - 12,365.0,363.8,85.3,14.7,0.0,0.0,97.1,2.9,0.0,0.0,87.5,12.5,0.0,0.0,34.0,34.0
YCCS-Truman Middle College HS,City of Chicago SD 299,Chicago,Cook,UNIT,LARGE,CHARTER SCH,9 - 12,412.5,393.7,65.8,24.1,7.6,2.5,74.7,17.7,7.6,0.0,67.4,19.6,10.9,2.2,79.0,79.0
YCCS-West Town Academy Alt HS,City of Chicago SD 299,Chicago,Cook,UNIT,LARGE,CHARTER SCH,9 - 12,376.7,345.7,60.7,39.3,0.0,0.0,92.9,7.1,0.0,0.0,54.5,45.5,0.0,0.0,30.0,30.0
YCCS West,City of Chicago SD 299,Chicago,Cook,UNIT,LARGE,CHARTER SCH,9 - 12,389.6,366.0,76.0,24.0,0.0,0.0,92.0,8.0,0.0,0.0,76.9,23.1,0.0,0.0,25.0,25.0
YCCS-Youth Connection Leadership Academy,City of Chicago SD 299,Chicago,Cook,UNIT,LARGE,CHARTER SCH,9 - 12,366.5,348.7,78.3,21.7,0.0,0.0,93.3,6.7,0.0,0.0,69.2,30.8,0.0,0.0,47.0,48.0
YCCS Chtr - Chatham,City of Chicago SD 299,Chicago,Cook,UNIT,LARGE,CHARTER SCH,9 - 12,381.3,349.5,86.8,13.2,0.0,0.0,94.7,5.3,0.0,0.0,85.7,14.3,0.0,0.0,38.0,38.0
ASPIRA Charter - Early College Prep HS,City of Chicago SD 299,Chicago,Cook,UNIT,LARGE,CHARTER SCH,9 - 12,413.6,400.3,68.5,25.8,4.5,1.1,84.3,11.2,4.5,0.0,71.4,23.8,4.8,0.0,89.0,89.0
Julian High School,City of Chicago SD 299,Chicago,Cook,UNIT,LARGE,HIGH SCHOOL,9 - 12,397.7,376.9,72.0,26.9,1.1,0.0,93.5,6.5,0.0,0.0,70.5,29.5,0.0,0.0,93.0,93.0
Young Magnet High School,City of Chicago SD 299,Chicago,Cook,UNIT,LARGE,HIGH SCHOOL,7 - 12,633.9,640.3,0.5,11.7,35.9,51.9,1.4,7.6,52.9,38.2,0.0,8.4,35.6,55.9,437.0,437.0
Juarez Community Academy HS,City of Chicago SD 299,Chicago,Cook,UNIT,LARGE,HIGH SCHOOL,9 - 12,425.0,401.9,52.1,44.0,3.9,0.0,73.4,24.1,2.5,0.0,50.2,45.4,4.3,0.0,432.0,432.0
Chicago HS for Agricult Sciences,City of Chicago SD 299,Chicago,Cook,UNIT,LARGE,HIGH SCHOOL,9 - 12,477.8,454.0,27.7,48.0,21.5,2.8,52.0,29.9,16.9,1.1,30.6,48.2,18.8,2.4,177.0,177.0
Hancock College Preparatory HS,City of Chicago SD 299,Chicago,Cook,UNIT,LARGE,HIGH SCHOOL,9 - 12,532.0,509.4,3.4,46.6,46.6,3.4,16.3,42.5,39.9,1.3,3.0,45.5,47.5,4.0,233.0,234.0
Brooks College Prep Academy HS,City of Chicago SD 299,Chicago,Cook,UNIT,LARGE,HIGH SCHOOL,7 - 12,549.9,517.8,4.4,37.7,45.6,12.3,12.7,45.6,40.4,1.3,8.8,36.3,43.8,11.3,228.0,228.0
Northside College Preparatory Hs,City of Chicago SD 299,Chicago,Cook,UNIT,LARGE,HIGH SCHOOL,9 - 12,643.8,645.7,0.8,8.7,31.4,59.1,0.4,7.2,50.4,42.0,0.8,6.6,32.0,60.7,265.0,265.0
Chicago Military Academy HS,City of Chicago SD 299,Chicago,Cook,UNIT,LARGE,HIGH SCHOOL,9 - 12,429.7,400.0,47.5,49.2,3.3,0.0,78.7,18.0,3.3,0.0,45.7,48.6,5.7,0.0,61.0,61.0
Payton College Preparatory HS,City of Chicago SD 299,Chicago,Cook,UNIT,LARGE,HIGH SCHOOL,9 - 12,678.9,683.0,1.1,3.6,19.9,75.4,1.1,3.6,30.4,65.0,0.0,4.0,20.6,75.4,280.0,281.0
Aspira Charter - Business and Finance HS,City of Chicago SD 299,Chicago,Cook,UNIT,LARGE,CHARTER SCH,9 - 12,412.3,390.7,64.7,30.7,4.0,0.7,79.3,15.3,5.3,0.0,66.7,28.9,4.4,0.0,150.0,150.0
Phoenix Military Academy HS,City of Chicago SD 299,Chicago,Cook,UNIT,LARGE,HIGH SCHOOL,9 - 12,467.3,452.9,28.8,55.4,15.8,0.0,45.3,41.7,12.2,0.7,26.6,55.7,17.7,0.0,139.0,139.0
Spry Community Links High School,City of Chicago SD 299,Chicago,Cook,UNIT,LARGE,HIGH SCHOOL,9 - 12,396.8,399.5,68.2,31.8,0.0,0.0,72.7,27.3,0.0,0.0,75.0,25.0,0.0,0.0,22.0,22.0
Chicago Academy High School,City of Chicago SD 299,Chicago,Cook,UNIT,LARGE,HIGH SCHOOL,9 - 12,458.0,448.4,33.1,50.0,15.5,1.4,55.6,25.4,18.3,0.7,39.7,43.8,15.1,1.4,142.0,142.0
Bowen High School,City of Chicago SD 299,Chicago,Cook,UNIT,LARGE,HIGH SCHOOL,9 - 12,401.7,373.0,67.2,32.8,0.0,0.0,88.9,9.5,1.6,0.0,77.5,22.5,0.0,0.0,63.0,64.0
North-Grand High School,City of Chicago SD 299,Chicago,Cook,UNIT,LARGE,HIGH SCHOOL,9 - 12,417.2,408.8,58.5,39.1,2.4,0.0,72.1,21.1,6.8,0.0,64.8,32.4,2.8,0.0,294.0,294.0
Raby High School,City of Chicago SD 299,Chicago,Cook,UNIT,LARGE,HIGH SCHOOL,9 - 12,394.6,370.2,82.6,15.2,2.2,0.0,91.3,8.7,0.0,0.0,82.6,13.0,4.3,0.0,46.0,46.0
Clark Acad Prep Magnet High Schl,City of Chicago SD 299,Chicago,Cook,UNIT,LARGE,HIGH SCHOOL,9 - 12,390.4,369.1,76.7,23.3,0.0,0.0,94.6,4.7,0.8,0.0,77.4,22.6,0.0,0.0,129.0,129.0
Rickover Naval Academy High Schl,City of Chicago SD 299,Chicago,Cook,UNIT,LARGE,HIGH SCHOOL,9 - 12,454.1,438.8,34.4,55.2,9.4,1.0,54.2,34.4,11.5,0.0,36.5,46.2,15.4,1.9,96.0,96.0
Uplift Community High School,City of Chicago SD 299,Chicago,Cook,UNIT,LARGE,HIGH SCHOOL,9 - 12,426.4,423.6,57.1,35.7,7.1,0.0,50.0,42.9,7.1,0.0,,,,,14.0,14.0
CICS - Northtown  Campus,City of Chicago SD 299,Chicago,Cook,UNIT,LARGE,CHARTER SCH,9 - 12,452.5,438.4,41.6,42.5,15.4,0.5,57.3,28.6,12.3,1.8,44.7,40.4,14.9,0.0,220.0,221.0
World Language High School,City of Chicago SD 299,Chicago,Cook,UNIT,LARGE,HIGH SCHOOL,9 - 12,453.2,399.0,27.2,64.2,7.4,1.2,81.5,13.6,4.9,0.0,28.6,60.0,11.4,0.0,81.0,81.0
Douglass Academy High School,City of Chicago SD 299,Chicago,Cook,UNIT,LARGE,HIGH SCHOOL,9 - 12,384.3,363.6,85.7,14.3,0.0,0.0,92.9,7.1,0.0,0.0,,,,,14.0,14.0
Devry Advantage Academy High Schl,City of Chicago SD 299,Chicago,Cook,UNIT,LARGE,HIGH SCHOOL,11 - 12,529.3,513.5,6.3,52.5,32.5,8.8,21.3,35.0,40.0,3.8,7.9,50.0,28.9,13.2,80.0,80.0
Lindblom Math & Science Acad HS,City of Chicago SD 299,Chicago,Cook,UNIT,LARGE,HIGH SCHOOL,7 - 12,525.3,511.3,6.0,50.9,38.4,4.6,16.7,42.3,39.5,1.4,7.3,50.9,36.4,5.5,281.0,281.0
School of Social Justice HS,City of Chicago SD 299,Chicago,Cook,UNIT,LARGE,HIGH SCHOOL,9 - 12,416.3,417.2,60.3,35.9,3.8,0.0,61.5,33.3,5.1,0.0,50.0,42.9,7.1,0.0,78.0,78.0
Multicultural Arts High School,City of Chicago SD 299,Chicago,Cook,UNIT,LARGE,HIGH SCHOOL,9 - 12,423.7,387.7,51.7,45.0,3.3,0.0,86.7,11.7,1.7,0.0,52.0,44.0,4.0,0.0,60.0,60.0
Infinity Math  Science & Tech HS,City of Chicago SD 299,Chicago,Cook,UNIT,LARGE,HIGH SCHOOL,9 - 12,444.2,457.1,45.4,46.3,7.4,0.9,45.4,36.1,18.5,0.0,42.0,50.7,5.8,1.4,108.0,108.0
CICS - Ralph Ellison Campus,City of Chicago SD 299,Chicago,Cook,UNIT,LARGE,CHARTER SCH,9 - 12,374.4,370.9,93.8,6.3,0.0,0.0,96.9,3.1,0.0,0.0,100.0,0.0,0.0,0.0,32.0,32.0
Collins Academy High School,City of Chicago SD 299,Chicago,Cook,UNIT,LARGE,HIGH SCHOOL,9 - 12,408.1,368.2,63.2,35.1,1.8,0.0,89.5,8.8,1.8,0.0,73.0,27.0,0.0,0.0,57.0,57.0
Austin College and Career Academy High School,City of Chicago SD 299,Chicago,Cook,UNIT,LARGE,HIGH SCHOOL,9 - 12,390.5,380.0,80.0,17.5,2.5,0.0,85.0,12.5,2.5,0.0,90.0,10.0,0.0,0.0,40.0,40.0
Orr Academy High School,City of Chicago SD 299,Chicago,Cook,UNIT,LARGE,HIGH SCHOOL,9 - 12,395.8,382.2,72.2,26.4,1.4,0.0,93.1,5.6,1.4,0.0,78.6,21.4,0.0,0.0,72.0,72.0
Air Force Acad High School,City of Chicago SD 299,Chicago,Cook,UNIT,LARGE,HIGH SCHOOL,9 - 12,441.4,422.5,36.4,50.0,13.6,0.0,54.5,36.4,9.1,0.0,37.5,45.8,16.7,0.0,44.0,44.0
Alcott College Prep,City of Chicago SD 299,Chicago,Cook,UNIT,LARGE,HIGH SCHOOL,9 - 12,434.3,422.2,51.0,43.1,5.9,0.0,70.6,17.6,11.8,0.0,48.4,41.9,9.7,0.0,51.0,51.0
North Lawndale Prep Chtr - Christiana,City of Chicago SD 299,Chicago,Cook,UNIT,LARGE,CHARTER SCH,9 - 12,385.9,366.7,68.9,29.7,1.4,0.0,90.5,8.1,1.4,0.0,86.4,13.6,0.0,0.0,76.0,76.0
Chicago Technology Academy HS,City of Chicago SD 299,Chicago,Cook,UNIT,LARGE,HIGH SCHOOL,9 - 12,407.2,376.1,60.1,36.4,3.5,0.0,87.4,11.2,1.4,0.0,60.7,33.7,5.6,0.0,143.0,143.0
Chicago HS for the Arts,City of Chicago SD 299,Chicago,Cook,UNIT,LARGE,HIGH SCHOOL,9 - 12,503.1,446.8,22.8,42.0,27.2,8.0,49.4,36.4,13.6,0.6,22.7,34.1,29.5,13.6,162.0,162.0
Ogden Int High School,City of Chicago SD 299,Chicago,Cook,UNIT,LARGE,HIGH SCHOOL,9 - 12,465.2,448.6,29.6,54.8,14.1,1.5,51.1,32.6,16.3,0.0,27.9,54.4,16.2,1.5,135.0,135.0
Williams Medical Prep High Sch,City of Chicago SD 299,Chicago,Cook,UNIT,LARGE,HIGH SCHOOL,9 - 12,396.1,373.9,72.2,22.2,5.6,0.0,88.9,11.1,0.0,0.0,,,,,18.0,18.0
Westinghouse High School,City of Chicago SD 299,Chicago,Cook,UNIT,LARGE,HIGH SCHOOL,9 - 12,492.9,499.2,15.1,58.9,24.1,2.0,19.7,46.5,32.8,1.0,15.7,57.5,25.2,1.6,299.0,299.0
Solorio Academy High School,City of Chicago SD 299,Chicago,Cook,UNIT,LARGE,HIGH SCHOOL,9 - 12,455.6,461.4,39.9,44.5,13.6,1.9,42.9,39.0,15.9,2.3,43.9,43.9,9.6,2.5,308.0,308.0
