School Name,District Name,City,County,District Type,District Size,School Type,Grades Served,SAT Reading Average Score,SAT Math Average Score,SAT Reading Total Students Level 1 %,SAT Reading Total Students Level 2 %,SAT Reading Total Students Level 3 %,SAT Reading Total Students Level 4 %,SAT Math Total Students Level 1 %,SAT Math Total Students Level 2 %,SAT Math Total Students Level 3 %,SAT Math Total Students Level 4 %,SAT Reading Total Male Students Level 1 %,SAT Reading Total Male Students Level 2 %,SAT Reading Total Male Students Level 3 %,SAT Reading Total Male Students Level 4 %,Tests Taken,# Students SAT ELA Participation
Maine South High School,Maine Township HSD 207,Park Ridge,Cook,HIGH SCHOOL,LARGE,HIGH SCHOOL,9 - 12,557.5,551.9,7.2,36.3,33.6,23.0,15.8,28.0,41.0,15.1,10.2,33.0,34.6,22.2,614.0,614.0
Maine West High School,Maine Township HSD 207,Des Plaines,Cook,HIGH SCHOOL,LARGE,HIGH SCHOOL,9 - 12,481.2,476.0,29.2,45.2,18.4,7.2,42.7,29.8,23.9,3.6,32.8,44.8,16.0,6.4,473.0,473.0
J B Conant High School,Township HSD 211,Hoffman Estates,Cook,HIGH SCHOOL,LARGE,HIGH SCHOOL,9 - 12,529.5,546.4,17.7,36.4,28.3,17.7,24.5,20.4,38.8,16.4,19.5,35.5,28.0,17.1,593.0,594.0
Wm Fremd High School,Township HSD 211,Palatine,Cook,HIGH SCHOOL,LARGE,HIGH SCHOOL,9 - 12,572.8,586.2,9.7,30.0,27.1,33.2,17.8,13.8,38.1,30.3,11.3,31.2,26.7,30.9,680.0,680.0
Palatine High School,Township HSD 211,Palatine,Cook,HIGH SCHOOL,LARGE,HIGH SCHOOL,9 - 12,485.4,477.3,31.4,38.2,21.5,8.9,45.9,23.7,23.1,7.3,34.5,35.4,21.8,8.3,658.0,660.0
Schaumburg High School,Township HSD 211,Schaumburg,Cook,HIGH SCHOOL,LARGE,HIGH SCHOOL,9 - 12,513.5,529.6,20.6,40.1,25.9,13.4,24.8,24.4,39.6,11.1,24.7,39.4,24.7,11.2,541.0,545.0
Hoffman Estates High School,Township HSD 211,Hoffman Estates,Cook,HIGH SCHOOL,LARGE,HIGH SCHOOL,9 - 12,498.3,500.1,24.6,42.3,22.9,10.2,38.1,22.6,29.6,9.8,33.8,40.0,18.8,7.5,471.0,472.0
Elk Grove High School,Township HSD 214,Elk Grove Village,Cook,HIGH SCHOOL,LARGE,HIGH SCHOOL,9 - 12,478.8,469.0,33.1,41.4,19.0,6.5,46.2,30.0,20.6,3.2,38.4,38.4,17.4,5.8,476.0,478.0
John Hersey High School,Township HSD 214,Arlington Heights,Cook,HIGH SCHOOL,LARGE,HIGH SCHOOL,9 - 12,573.4,559.6,8.0,28.1,33.7,30.2,14.6,24.1,45.7,15.6,10.0,33.5,29.3,27.2,488.0,489.0
Prospect High School,Township HSD 214,Mt Prospect,Cook,HIGH SCHOOL,LARGE,HIGH SCHOOL,9 - 12,559.2,551.2,7.7,36.0,34.0,22.3,17.4,28.6,38.7,15.3,10.4,36.8,35.1,17.7,556.0,556.0
