School Name,District Name,City,County,District Type,District Size,School Type,Grades Served,SAT Reading Average Score,SAT Math Average Score,SAT Reading Total Students Level 1 %,SAT Reading Total Students Level 2 %,SAT Reading Total Students Level 3 %,SAT Reading Total Students Level 4 %,SAT Math Total Students Level 1 %,SAT Math Total Students Level 2 %,SAT Math Total Students Level 3 %,SAT Math Total Students Level 4 %,SAT Reading Total Male Students Level 1 %,SAT Reading Total Male Students Level 2 %,SAT Reading Total Male Students Level 3 %,SAT Reading Total Male Students Level 4 %,Tests Taken,# Students SAT ELA Participation,state_name_x,latitude,longitude,address,zip_code,county_name_x,city_name,county_code,Street Address,Tract,unique_id,year,tract_number,county_name_y,state_name_y,Population 18 to 24 years (estimate),"18-24, less than high school graduate (estimate)","18-24, high school graduate or eq. (estimate)","18-24, some college or associate's degree (estimate)","18-24, bachelor's degree or higher",Population 25 years and over (estimate),"25 and over, less than 9th grade (estimate)","25 and over, 9th to 12th grade, no diploma (estimate)","25 and over, high school graduate or eq. (estimate)","25 and over, some college, no degree (estimate)","25 and over, associate's degree (estimate)","25 and over, bachelor's degree (estimate)","25 and over, graduate or professional degree (estimate)","18-24, less than high school graduate (percentage)","18-24, high school graduate or eq. (percentage)","18-24, some college or associate's degree (percentage)","18-24, bachelor's degree or higher (percentage)","25 and over, less than 9th grade (percentage)","25 and over, 9th to 12th grade, no diploma (percentage)","25 and over, high school graduate or eq. (percentage)","25 and over, some college, no degree (percentage)","25 and over, associate's degree (percentage)","25 and over, bachelor's degree (percentage)","25 and over, graduate or professional degree (percentage)",Total number of households,Median household income (dollars),Mean household income (dollars),Total population,Hispanic or Latino (estimate),Hispanic or Latino (percentage),Not Hispanic or Latino (estimate),Not Hispanic or Latino (percentage),White alone (estimate),White alone (percentage),Black or African American alone (estimate),Black or African American alone (percentage),American Indian and Alaska Native alone (estimate),American Indian and Alaska Native alone (percentage),Asian alone (estimate),Asian alone (percentage),Native Hawaiian and Other Pacific Islander alone (estimate),Native Hawaiian and Other Pacific Islander alone (percentage),Some other race alone (estimate),Some other race alone (percentage),Two or more races alone (estimate),Two or more races alone (percentage),Math Scores,RW Scores
Mulberry Grove Sr High School,Mulberry Grove CUSD 1,Mulberry Grove,Bond,UNIT,SMALL,HIGH SCHOOL,12-Sep,437.4,439.1,34.8,56.5,8.7,0,52.2,43.5,4.3,0,46.7,46.7,6.7,0,23,23,Illinois,38.924212,-89.2775275,801 West Wall Street,62262,Bond County,Mulberry Grove,17005,"801 West Wall Street, Mulberry Grove, Illinois, 62262",951200,17005951200,2022,951200,Bond County,Illinois,276,62,123,56,35,2143,27,102,788,434,357,256,179,22.5,44.6,20.3,12.7,1.3,4.8,36.8,20.3,16.7,11.9,8.4,1250,70946,81199,2873,117,4.1,2756,95.9,2632,91.6,28,1,5,0.2,0,0,0,0,0,0,91,3.2,439.1,437.4
Bond Cty Comm Unit 2 High School,Bond County CUSD 2,Greenville,Bond,UNIT,LARGE,HIGH SCHOOL,12-Sep,480.5,460.2,27.4,47.6,18.5,6.5,52.4,25.8,17.7,4,35.6,42.4,18.6,3.4,124,124,Illinois,38.9011707,-89.3989236,1000 Illinois 140,62246,Bond County,Greenville,17005,"1000 Illinois 140, Greenville, Illinois, 62246",951400,17005951400,2022,951400,Bond County,Illinois,245,27,105,95,18,1962,25,153,743,438,221,257,125,11,42.9,38.8,7.3,1.3,7.8,37.9,22.3,11.3,13.1,6.4,1029,57135,73603,2886,75,2.6,2811,97.4,2696,93.4,7,0.2,54,1.9,3,0.1,0,0,5,0.2,46,1.6,460.2,480.5
Morrisonville High School,Morrisonville CUSD 1,Morrisonville,Christian,UNIT,SMALL,HIGH SCHOOL,12-Sep,444.5,426.8,45.5,45.5,9.1,0,68.2,31.8,0,0,50,35.7,14.3,0,22,22,Illinois,39.4226983,-89.457837,204 North Perrine Street,62546,Christian County,Morrisonville,17021,"204 North Perrine Street, Morrisonville, Illinois, 62546",959000,17021959000,2022,959000,Christian County,Illinois,364,67,118,139,40,3545,56,227,1532,613,273,664,180,18.4,32.4,38.2,11,1.6,6.4,43.2,17.3,7.7,18.7,5.1,1798,78402,97184,5106,79,1.5,5027,98.5,4827,94.5,35,0.7,0,0,5,0.1,0,0,52,1,108,2.1,426.8,444.5
Taylorville Sr High School,Taylorville CUSD 3,Taylorville,Christian,UNIT,LARGE,HIGH SCHOOL,12-Sep,479.4,452.6,31.2,44.1,20,4.7,50.6,27.1,21.8,0.6,32.1,42,18.5,7.4,170,170,Illinois,39.60783,-89.2086773,,N/A,Christian County,N/A,17021,,958600,17021958600,2022,958600,Christian County,Illinois,150,21,76,18,35,1503,33,165,515,272,120,331,67,14,50.7,12,23.3,2.2,11,34.3,18.1,8,22,4.5,935,66734,76690,2245,8,0.4,2237,99.6,2219,98.8,0,0,2,0.1,11,0.5,0,0,0,0,5,0.2,452.6,479.4
Edinburg High School,Edinburg CUSD 4,Edinburg,Christian,UNIT,SMALL,HIGH SCHOOL,12-Sep,448.9,398.1,44.4,48.1,3.7,3.7,81.5,14.8,3.7,0,53.3,40,6.7,0,27,27,Illinois,39.6708067,-89.3795835,,N/A,Christian County,N/A,17021,,958100,17021958100,2022,958100,Christian County,Illinois,162,24,61,39,38,2031,7,76,956,455,199,263,75,14.8,37.7,24.1,23.5,0.3,3.7,47.1,22.4,9.8,12.9,3.7,1111,70202,81552,2763,0,0,2763,100,2622,94.9,38,1.4,0,0,1,0,0,0,2,0.1,100,3.6,398.1,448.9
Pana Sr High School,Pana CUSD 8,Pana,Christian,UNIT,MEDIUM,HIGH SCHOOL,12-Sep,459.3,440.7,36.1,48.5,13.4,2.1,58.8,28.9,12.4,0,45.2,38.1,14.3,2.4,97,97,Illinois,39.3588992,-89.1324866,,N/A,Christian County,N/A,17021,,958700,17021958700,2022,958700,Christian County,Illinois,447,87,55,295,10,4250,123,491,1691,945,340,393,267,19.5,12.3,66,2.2,2.9,11.6,39.8,22.2,8,9.2,6.3,1805,57523,70503,5493,252,4.6,5241,95.4,4879,88.8,213,3.9,7,0.1,12,0.2,6,0.1,0,0,124,2.3,440.7,459.3
South Fork Jr Sr High School,South Fork SD 14,Kincaid,Christian,UNIT,SMALL,HIGH SCHOOL,12-Jun,415.5,384,65,35,0,0,90,10,0,0,90,10,0,0,20,20,Illinois,39.5881153,-89.4124539,612 Dial Street,62540,Christian County,Kincaid,17021,"612 Dial Street, Kincaid, Illinois, 62540",958200,17021958200,2022,958200,Christian County,Illinois,259,34,84,98,43,2445,22,198,1259,546,203,169,48,13.1,32.4,37.8,16.6,0.9,8.1,51.5,22.3,8.3,6.9,2,1503,64779,83929,3238,173,5.3,3065,94.7,3056,94.4,0,0,0,0,2,0.1,0,0,0,0,7,0.2,384,415.5
Altamont High School,Altamont CUSD 10,Altamont,Effingham,UNIT,MEDIUM,HIGH SCHOOL,12-Sep,474.2,462,37.3,39,20.3,3.4,42.4,39,18.6,0,32.4,43.2,21.6,2.7,59,59,Illinois,39.0590516,-88.7408097,7 South Ewing Street,62411,Effingham County,Altamont,17049,"7 South Ewing Street, Altamont, Illinois, 62411",950300,17049950300,2022,950300,Effingham County,Illinois,221,29,115,68,9,3113,64,112,1044,831,465,413,184,13.1,52,30.8,4.1,2.1,3.6,33.5,26.7,14.9,13.3,5.9,1762,71694,83671,4110,0,0,4110,100,4082,99.3,0,0,9,0.2,0,0,0,0,6,0.1,13,0.3,462,474.2
Beecher City Jr-Sr High School,Beecher City CUSD 20,Beecher City,Effingham,UNIT,SMALL,HIGH SCHOOL,12-Jun,466.7,474.2,33.3,50,16.7,0,41.7,29.2,29.2,0,53.8,30.8,15.4,0,24,24,Illinois,39.1682823,-88.7301525,,N/A,Effingham County,N/A,17049,,950200,17049950200,2022,950200,Effingham County,Illinois,214,6,97,65,46,3391,50,147,906,727,405,841,315,2.8,45.3,30.4,21.5,1.5,4.3,26.7,21.4,11.9,24.8,9.3,1973,89539,119729,4904,25,0.5,4879,99.5,4843,98.8,0,0,0,0,0,0,0,0,0,0,36,0.7,474.2,466.7
Dieterich Jr/Sr High School,Dieterich CUSD 30,Dieterich,Effingham,UNIT,MEDIUM,HIGH SCHOOL,12-Jul,491.1,483.9,26.3,42.1,31.6,0,39.5,23.7,34.2,2.6,25,40,35,0,38,38,Illinois,39.0575103,-88.3825759,108 West Church Street,62424,Effingham County,Dieterich,17049,"108 West Church Street, Dieterich, Illinois, 62424",950500,17049950500,2022,950500,Effingham County,Illinois,156,6,64,64,22,3194,49,116,1117,560,414,746,192,3.8,41,41,14.1,1.5,3.6,35,17.5,13,23.4,6,1745,82572,91972,4708,24,0.5,4684,99.5,4635,98.4,0,0,0,0,9,0.2,0,0,4,0.1,36,0.8,483.9,491.1
