School Name,District Name,City,County,District Type,District Size,School Type,Grades Served,SAT Reading Average Score,SAT Math Average Score,SAT Reading Total Students Level 1 %,SAT Reading Total Students Level 2 %,SAT Reading Total Students Level 3 %,SAT Reading Total Students Level 4 %,SAT Math Total Students Level 1 %,SAT Math Total Students Level 2 %,SAT Math Total Students Level 3 %,SAT Math Total Students Level 4 %,SAT Reading Total Male Students Level 1 %,SAT Reading Total Male Students Level 2 %,SAT Reading Total Male Students Level 3 %,SAT Reading Total Male Students Level 4 %,Tests Taken,# Students SAT ELA Participation,state_name_x,latitude,longitude,address,zip_code,county_name_x,city_name,county_code,Street Address,Tract,unique_id,year,tract_number,county_name_y,state_name_y,Population 18 to 24 years (estimate),"18-24, less than high school graduate (estimate)","18-24, high school graduate or eq. (estimate)","18-24, some college or associate's degree (estimate)","18-24, bachelor's degree or higher",Population 25 years and over (estimate),"25 and over, less than 9th grade (estimate)","25 and over, 9th to 12th grade, no diploma (estimate)","25 and over, high school graduate or eq. (estimate)","25 and over, some college, no degree (estimate)","25 and over, associate's degree (estimate)","25 and over, bachelor's degree (estimate)","25 and over, graduate or professional degree (estimate)","18-24, less than high school graduate (percentage)","18-24, high school graduate or eq. (percentage)","18-24, some college or associate's degree (percentage)","18-24, bachelor's degree or higher (percentage)","25 and over, less than 9th grade (percentage)","25 and over, 9th to 12th grade, no diploma (percentage)","25 and over, high school graduate or eq. (percentage)","25 and over, some college, no degree (percentage)","25 and over, associate's degree (percentage)","25 and over, bachelor's degree (percentage)","25 and over, graduate or professional degree (percentage)",Total number of households,Median household income (dollars),Mean household income (dollars),Total population,Hispanic or Latino (estimate),Hispanic or Latino (percentage),Not Hispanic or Latino (estimate),Not Hispanic or Latino (percentage),White alone (estimate),White alone (percentage),Black or African American alone (estimate),Black or African American alone (percentage),American Indian and Alaska Native alone (estimate),American Indian and Alaska Native alone (percentage),Asian alone (estimate),Asian alone (percentage),Native Hawaiian and Other Pacific Islander alone (estimate),Native Hawaiian and Other Pacific Islander alone (percentage),Some other race alone (estimate),Some other race alone (percentage),Two or more races alone (estimate),Two or more races alone (percentage),Math Scores,RW Scores
North-Grand High School,City of Chicago SD 299,Chicago,Cook,UNIT,LARGE,HIGH SCHOOL,12-Sep,417.2,408.8,58.5,39.1,2.4,0,72.1,21.1,6.8,0,64.8,32.4,2.8,0,294,294,Illinois,41.9124219,-87.7349604,4338 West Wabansia Avenue,60639,Cook County,Chicago,17031,"4338 West Wabansia Avenue, Chicago, Illinois, 60639",230500,17031230500,2022,230500,Cook County,Illinois,278,51,139,37,51,2074,370,312,471,347,142,186,246,18.3,50,13.3,18.3,17.8,15,22.7,16.7,6.8,9,11.9,1258,28413,45136,3080,2466,80.1,614,19.9,140,4.5,229,7.4,0,0,243,7.9,0,0,0,0,2,0.1,408.8,417.2
Raby High School,City of Chicago SD 299,Chicago,Cook,UNIT,LARGE,HIGH SCHOOL,12-Sep,394.6,370.2,82.6,15.2,2.2,0,91.3,8.7,0,0,82.6,13,4.3,0,46,46,Illinois,41.8861417,-87.7153641,3545 West Fulton Boulevard,60624,Cook County,Chicago,17031,"3545 West Fulton Boulevard, Chicago, Illinois, 60624",836800,17031836800,2022,836800,Cook County,Illinois,440,51,361,28,0,1516,61,475,418,300,88,127,47,11.6,82,6.4,0,4,31.3,27.6,19.8,5.8,8.4,3.1,949,19453,33203,2635,22,0.8,2613,99.2,97,3.7,2508,95.2,8,0.3,0,0,0,0,0,0,0,0,370.2,394.6
Clark Acad Prep Magnet High Schl,City of Chicago SD 299,Chicago,Cook,UNIT,LARGE,HIGH SCHOOL,12-Sep,390.4,369.1,76.7,23.3,0,0,94.6,4.7,0.8,0,77.4,22.6,0,0,129,129,Illinois,41.8561467,-87.658113,,N/A,Cook County,Chicago,17031,,310600,17031310600,2022,310600,Cook County,Illinois,610,0,118,236,256,4146,306,585,1005,465,59,1030,696,0,19.3,38.7,42,7.4,14.1,24.2,11.2,1.4,24.8,16.8,2349,73508,78978,5542,3364,60.7,2178,39.3,1557,28.1,116,2.1,0,0,386,7,0,0,99,1.8,20,0.4,369.1,390.4
Rickover Naval Academy High Schl,City of Chicago SD 299,Chicago,Cook,UNIT,LARGE,HIGH SCHOOL,12-Sep,454.1,438.8,34.4,55.2,9.4,1,54.2,34.4,11.5,0,36.5,46.2,15.4,1.9,96,96,Illinois,41.9890128,-87.6667743,5900 North Glenwood Avenue,60660,Cook County,Chicago,17031,"5900 North Glenwood Avenue, Chicago, Illinois, 60660",30500,17031030500,2022,30500,Cook County,Illinois,349,7,87,40,215,5211,154,178,483,533,234,2149,1480,2,24.9,11.5,61.6,3,3.4,9.3,10.2,4.5,41.2,28.4,2983,109375,130086,6344,1290,20.3,5054,79.7,3788,59.7,420,6.6,0,0,190,3,14,0.2,0,0,642,10.1,438.8,454.1
Uplift Community High School,City of Chicago SD 299,Chicago,Cook,UNIT,LARGE,HIGH SCHOOL,12-Sep,426.4,423.6,57.1,35.7,7.1,0,50,42.9,7.1,0,,,,,14,14,Illinois,41.9659998,-87.6522014,900 West Wilson Avenue,60640,Cook County,Chicago,17031,"900 West Wilson Avenue, Chicago, Illinois, 60640",31501,17031031501,2022,31501,Cook County,Illinois,595,29,147,93,326,3133,175,346,695,287,165,894,571,4.9,24.7,15.6,54.8,5.6,11,22.2,9.2,5.3,28.5,18.2,1996,48889,58597,4640,548,11.8,4092,88.2,1608,34.7,1662,35.8,0,0,700,15.1,0,0,10,0.2,112,2.4,423.6,426.4
CICS - Northtown  Campus,City of Chicago SD 299,Chicago,Cook,UNIT,LARGE,CHARTER SCH,12-Sep,452.5,438.4,41.6,42.5,15.4,0.5,57.3,28.6,12.3,1.8,44.7,40.4,14.9,0,220,221,Illinois,41.9909661,-87.7275189,3900 West Peterson Avenue,60659,Cook County,Chicago,17031,"3900 West Peterson Avenue, Chicago, Illinois, 60659",130100,17031130100,2022,130100,Cook County,Illinois,388,151,18,182,37,3507,118,242,688,378,250,1244,587,38.9,4.6,46.9,9.5,3.4,6.9,19.6,10.8,7.1,35.5,16.7,1752,58068,102310,4895,284,5.8,4611,94.2,3022,61.7,101,2.1,0,0,1307,26.7,0,0,154,3.1,27,0.6,438.4,452.5
World Language High School,City of Chicago SD 299,Chicago,Cook,UNIT,LARGE,HIGH SCHOOL,12-Sep,453.2,399,27.2,64.2,7.4,1.2,81.5,13.6,4.9,0,28.6,60,11.4,0,81,81,Illinois,41.8358272,-87.7356305,3120 South Kostner Avenue,60623,Cook County,Chicago,17031,"3120 South Kostner Avenue, Chicago, Illinois, 60623",830500,17031830500,2022,830500,Cook County,Illinois,427,53,148,178,48,2484,777,250,548,425,152,265,67,12.4,34.7,41.7,11.2,31.3,10.1,22.1,17.1,6.1,10.7,2.7,1161,59116,74606,3948,3896,98.7,52,1.3,20,0.5,32,0.8,0,0,0,0,0,0,0,0,0,0,399,453.2
Douglass Academy High School,City of Chicago SD 299,Chicago,Cook,UNIT,LARGE,HIGH SCHOOL,12-Sep,384.3,363.6,85.7,14.3,0,0,92.9,7.1,0,0,,,,,14,14,Illinois,41.8905747,-87.7671581,543 North Waller Avenue,60644,Cook County,Chicago,17031,"543 North Waller Avenue, Chicago, Illinois, 60644",251400,17031251400,2022,251400,Cook County,Illinois,201,63,87,51,0,2908,71,192,1413,611,166,274,181,31.3,43.3,25.4,0,2.4,6.6,48.6,21,5.7,9.4,6.2,2130,22029,42812,3712,166,4.5,3546,95.5,385,10.4,3134,84.4,0,0,0,0,0,0,0,0,27,0.7,363.6,384.3
Devry Advantage Academy High Schl,City of Chicago SD 299,Chicago,Cook,UNIT,LARGE,HIGH SCHOOL,12-Nov,529.3,513.5,6.3,52.5,32.5,8.8,21.3,35,40,3.8,7.9,50,28.9,13.2,80,80,Illinois,41.9689156,-87.6765729,1900 West Lawrence Avenue,60640,Cook County,Chicago,17031,"1900 West Lawrence Avenue, Chicago, Illinois, 60640",40402,17031040402,2022,40402,Cook County,Illinois,185,0,0,37,148,3992,11,20,368,373,138,2175,907,0,0,20,80,0.3,0.5,9.2,9.3,3.5,54.5,22.7,2533,94132,118802,4581,749,16.4,3832,83.6,3384,73.9,123,2.7,0,0,158,3.4,0,0,0,0,167,3.6,513.5,529.3
Lindblom Math & Science Acad HS,City of Chicago SD 299,Chicago,Cook,UNIT,LARGE,HIGH SCHOOL,12-Jul,525.3,511.3,6,50.9,38.4,4.6,16.7,42.3,39.5,1.4,7.3,50.9,36.4,5.5,281,281,Illinois,41.7820798,-87.6718901,6130 South Wolcott Avenue,60636,Cook County,Chicago,17031,"6130 South Wolcott Avenue, Chicago, Illinois, 60636",670600,17031670600,2022,670600,Cook County,Illinois,92,8,67,17,0,754,57,86,243,234,38,85,11,8.7,72.8,18.5,0,7.6,11.4,32.2,31,5,11.3,1.5,367,37621,62834,1174,389,33.1,785,66.9,4,0.3,769,65.5,12,1,0,0,0,0,0,0,0,0,511.3,525.3
School of Social Justice HS,City of Chicago SD 299,Chicago,Cook,UNIT,LARGE,HIGH SCHOOL,12-Sep,416.3,417.2,60.3,35.9,3.8,0,61.5,33.3,5.1,0,50,42.9,7.1,0,78,78,Illinois,41.8348999,-87.7356033,3120 South Kostner Avenue,60623,Cook County,Chicago,17031,"3120 South Kostner Avenue, Chicago, Illinois, 60623",830500,17031830500,2022,830500,Cook County,Illinois,427,53,148,178,48,2484,777,250,548,425,152,265,67,12.4,34.7,41.7,11.2,31.3,10.1,22.1,17.1,6.1,10.7,2.7,1161,59116,74606,3948,3896,98.7,52,1.3,20,0.5,32,0.8,0,0,0,0,0,0,0,0,0,0,417.2,416.3
Multicultural Arts High School,City of Chicago SD 299,Chicago,Cook,UNIT,LARGE,HIGH SCHOOL,12-Sep,423.7,387.7,51.7,45,3.3,0,86.7,11.7,1.7,0,52,44,4,0,60,60,Illinois,41.8561467,-87.658113,,N/A,Cook County,Chicago,17031,,310600,17031310600,2022,310600,Cook County,Illinois,610,0,118,236,256,4146,306,585,1005,465,59,1030,696,0,19.3,38.7,42,7.4,14.1,24.2,11.2,1.4,24.8,16.8,2349,73508,78978,5542,3364,60.7,2178,39.3,1557,28.1,116,2.1,0,0,386,7,0,0,99,1.8,20,0.4,387.7,423.7
Infinity Math  Science & Tech HS,City of Chicago SD 299,Chicago,Cook,UNIT,LARGE,HIGH SCHOOL,12-Sep,444.2,457.1,45.4,46.3,7.4,0.9,45.4,36.1,18.5,0,42,50.7,5.8,1.4,108,108,Illinois,41.8354286,-87.7356529,3120 South Kostner Avenue,60623,Cook County,Chicago,17031,"3120 South Kostner Avenue, Chicago, Illinois, 60623",830500,17031830500,2022,830500,Cook County,Illinois,427,53,148,178,48,2484,777,250,548,425,152,265,67,12.4,34.7,41.7,11.2,31.3,10.1,22.1,17.1,6.1,10.7,2.7,1161,59116,74606,3948,3896,98.7,52,1.3,20,0.5,32,0.8,0,0,0,0,0,0,0,0,0,0,457.1,444.2
CICS - Ralph Ellison Campus,City of Chicago SD 299,Chicago,Cook,UNIT,LARGE,CHARTER SCH,12-Sep,374.4,370.9,93.8,6.3,0,0,96.9,3.1,0,0,100,0,0,0,32,32,Illinois,41.7481405,-87.6689966,1817 West 80th Street,60620,Cook County,Chicago,17031,"1817 West 80th Street, Chicago, Illinois, 60620",710500,17031710500,2022,710500,Cook County,Illinois,689,219,316,154,0,2457,138,230,635,740,263,321,130,31.8,45.9,22.4,0,5.6,9.4,25.8,30.1,10.7,13.1,5.3,1511,39943,52872,4087,204,5,3883,95,7,0.2,3646,89.2,0,0,20,0.5,0,0,0,0,210,5.1,370.9,374.4
Collins Academy High School,City of Chicago SD 299,Chicago,Cook,UNIT,LARGE,HIGH SCHOOL,12-Sep,408.1,368.2,63.2,35.1,1.8,0,89.5,8.8,1.8,0,73,27,0,0,57,57,Illinois,41.8640759,-87.7011184,1313 South Sacramento Drive,60623,Cook County,Chicago,17031,"1313 South Sacramento Drive, Chicago, Illinois, 60623",843100,17031843100,2022,843100,Cook County,Illinois,265,55,25,96,89,860,36,125,199,207,89,95,109,20.8,9.4,36.2,33.6,4.2,14.5,23.1,24.1,10.3,11,12.7,481,46659,78969,1564,174,11.1,1390,88.9,194,12.4,1179,75.4,0,0,17,1.1,0,0,0,0,0,0,368.2,408.1
Austin College and Career Academy High School,City of Chicago SD 299,Chicago,Cook,UNIT,LARGE,HIGH SCHOOL,12-Sep,390.5,380,80,17.5,2.5,0,85,12.5,2.5,0,90,10,0,0,40,40,Illinois,41.8853945,-87.7629756,231 North Pine Avenue,60644,Cook County,Chicago,17031,"231 North Pine Avenue, Chicago, Illinois, 60644",251900,17031251900,2022,251900,Cook County,Illinois,635,114,322,146,53,3267,51,246,1204,1272,256,162,76,18,50.7,23,8.3,1.6,7.5,36.9,38.9,7.8,5,2.3,2344,26300,45550,5086,217,4.3,4869,95.7,84,1.7,4646,91.3,0,0,0,0,0,0,0,0,139,2.7,380,390.5
Orr Academy High School,City of Chicago SD 299,Chicago,Cook,UNIT,LARGE,HIGH SCHOOL,12-Sep,395.8,382.2,72.2,26.4,1.4,0,93.1,5.6,1.4,0,78.6,21.4,0,0,72,72,Illinois,41.893927,-87.726435,730 North Pulaski Road,60624,Cook County,Chicago,17031,"730 North Pulaski Road, Chicago, Illinois, 60624",842100,17031842100,2022,842100,Cook County,Illinois,900,163,334,287,116,4357,722,340,1422,858,464,151,400,18.1,37.1,31.9,12.9,16.6,7.8,32.6,19.7,10.6,3.5,9.2,2064,50907,74358,7110,3251,45.7,3859,54.3,254,3.6,3369,47.4,0,0,106,1.5,0,0,38,0.5,92,1.3,382.2,395.8
Air Force Acad High School,City of Chicago SD 299,Chicago,Cook,UNIT,LARGE,HIGH SCHOOL,12-Sep,441.4,422.5,36.4,50,13.6,0,54.5,36.4,9.1,0,37.5,45.8,16.7,0,44,44,Illinois,41.827898,-87.632968,3630 South Wells Street,60609,Cook County,Chicago,17031,"3630 South Wells Street, Chicago, Illinois, 60609",340600,17031340600,2022,340600,Cook County,Illinois,142,34,75,33,0,735,23,126,230,183,134,29,10,23.9,52.8,23.2,0,3.1,17.1,31.3,24.9,18.2,3.9,1.4,474,19348,29894,1317,0,0,1317,100,92,7,1083,82.2,0,0,77,5.8,0,0,0,0,65,4.9,422.5,441.4
Alcott College Prep,City of Chicago SD 299,Chicago,Cook,UNIT,LARGE,HIGH SCHOOL,12-Sep,434.3,422.2,51,43.1,5.9,0,70.6,17.6,11.8,0,48.4,41.9,9.7,0,51,51,Illinois,41.9357564,-87.6804999,2957 North Hoyne Avenue,60618,Cook County,Chicago,17031,"2957 North Hoyne Avenue, Chicago, Illinois, 60618",51400,17031051400,2022,51400,Cook County,Illinois,161,26,28,31,76,1717,51,14,112,232,82,830,396,16.1,17.4,19.3,47.2,3,0.8,6.5,13.5,4.8,48.3,23.1,1029,154044,205026,2535,299,11.8,2236,88.2,1569,61.9,223,8.8,0,0,385,15.2,0,0,0,0,59,2.3,422.2,434.3
North Lawndale Prep Chtr - Christiana,City of Chicago SD 299,Chicago,Cook,UNIT,LARGE,CHARTER SCH,12-Sep,385.9,366.7,68.9,29.7,1.4,0,90.5,8.1,1.4,0,86.4,13.6,0,0,76,76,Illinois,41.8584921,-87.7088287,1615 South Christiana Avenue,60623,Cook County,Chicago,17031,"1615 South Christiana Avenue, Chicago, Illinois, 60623",841500,17031841500,2022,841500,Cook County,Illinois,134,37,72,25,0,1139,9,201,294,272,110,138,115,27.6,53.7,18.7,0,0.8,17.6,25.8,23.9,9.7,12.1,10.1,785,26950,45724,1909,77,4,1832,96,83,4.3,1744,91.4,0,0,0,0,0,0,0,0,5,0.3,366.7,385.9
Chicago Technology Academy HS,City of Chicago SD 299,Chicago,Cook,UNIT,LARGE,HIGH SCHOOL,12-Sep,407.2,376.1,60.1,36.4,3.5,0,87.4,11.2,1.4,0,60.7,33.7,5.6,0,143,143,Illinois,41.863195,-87.659268,1301 West 14th Street,60608,Cook County,Chicago,17031,"1301 West 14th Street, Chicago, Illinois, 60608",842900,17031842900,2022,842900,Cook County,Illinois,136,0,72,33,31,2044,115,290,419,546,101,297,276,0,52.9,24.3,22.8,5.6,14.2,20.5,26.7,4.9,14.5,13.5,1445,19304,46798,3216,129,4,3087,96,445,13.8,1883,58.6,0,0,136,4.2,0,0,0,0,623,19.4,376.1,407.2
Chicago HS for the Arts,City of Chicago SD 299,Chicago,Cook,UNIT,LARGE,HIGH SCHOOL,12-Sep,503.1,446.8,22.8,42,27.2,8,49.4,36.4,13.6,0.6,22.7,34.1,29.5,13.6,162,162,Illinois,41.688838,-87.7170385,11101 South Pulaski Road,60655,Cook County,Chicago,17031,"11101 South Pulaski Road, Chicago, Illinois, 60655",740400,17031740400,2022,740400,Cook County,Illinois,355,11,204,98,42,2983,29,14,838,825,361,500,416,3.1,57.5,27.6,11.8,1,0.5,28.1,27.7,12.1,16.8,13.9,1873,93194,111986,4530,260,5.7,4270,94.3,3863,85.3,241,5.3,0,0,31,0.7,0,0,0,0,135,3,446.8,503.1
Ogden Int High School,City of Chicago SD 299,Chicago,Cook,UNIT,LARGE,HIGH SCHOOL,12-Sep,465.2,448.6,29.6,54.8,14.1,1.5,51.1,32.6,16.3,0,27.9,54.4,16.2,1.5,135,135,Illinois,41.8937679,-87.658807,1250 West Erie Street,60642,Cook County,Chicago,17031,"1250 West Erie Street, Chicago, Illinois, 60642",243400,17031243400,2022,243400,Cook County,Illinois,130,26,26,30,48,2517,86,70,247,216,92,1132,674,20,20,23.1,36.9,3.4,2.8,9.8,8.6,3.7,45,26.8,1424,124773,133769,2931,765,26.1,2166,73.9,1812,61.8,73,2.5,0,0,156,5.3,0,0,0,0,125,4.3,448.6,465.2
Williams Medical Prep High Sch,City of Chicago SD 299,Chicago,Cook,UNIT,LARGE,HIGH SCHOOL,12-Sep,396.1,373.9,72.2,22.2,5.6,0,88.9,11.1,0,0,,,,,18,18,Illinois,41.8769747,-87.6832298,2245 West Jackson Boulevard,60612,Cook County,Chicago,17031,"2245 West Jackson Boulevard, Chicago, Illinois, 60612",838000,17031838000,2022,838000,Cook County,Illinois,169,0,12,83,74,1864,58,191,401,560,154,335,165,0,7.1,49.1,43.8,3.1,10.2,21.5,30,8.3,18,8.9,1423,26673,61882,2671,342,12.8,2329,87.2,436,16.3,1637,61.3,0,0,17,0.6,0,0,0,0,239,8.9,373.9,396.1
Westinghouse High School,City of Chicago SD 299,Chicago,Cook,UNIT,LARGE,HIGH SCHOOL,12-Sep,492.9,499.2,15.1,58.9,24.1,2,19.7,46.5,32.8,1,15.7,57.5,25.2,1.6,299,299,Illinois,41.8894272,-87.7073059,3223 West Franklin Boulevard,60624,Cook County,Chicago,17031,"3223 West Franklin Boulevard, Chicago, Illinois, 60624",836700,17031836700,2022,836700,Cook County,Illinois,187,85,28,74,0,1617,77,134,644,361,123,125,153,45.5,15,39.6,0,4.8,8.3,39.8,22.3,7.6,7.7,9.5,1033,51434,79213,2507,482,19.2,2025,80.8,84,3.4,1941,77.4,0,0,0,0,0,0,0,0,0,0,499.2,492.9
Solorio Academy High School,City of Chicago SD 299,Chicago,Cook,UNIT,LARGE,HIGH SCHOOL,12-Sep,455.6,461.4,39.9,44.5,13.6,1.9,42.9,39,15.9,2.3,43.9,43.9,9.6,2.5,308,308,Illinois,41.7949284,-87.7114938,5400 South Saint Louis Avenue,60632,Cook County,Chicago,17031,"5400 South Saint Louis Avenue, Chicago, Illinois, 60632",630300,17031630300,2022,630300,Cook County,Illinois,321,42,30,187,62,3086,608,543,1108,359,136,268,64,13.1,9.3,58.3,19.3,19.7,17.6,35.9,11.6,4.4,8.7,2.1,1419,51920,67722,4167,3857,92.6,310,7.4,171,4.1,74,1.8,0,0,65,1.6,0,0,0,0,0,0,461.4,455.6
Acero Chtr Sch Network -  Major Hector P Garcia MD H S,City of Chicago SD 299,Chicago,Cook,UNIT,LARGE,CHARTER SCH,12-Sep,429.4,401.8,46.8,48.1,5.1,0,77.2,19,3.8,0,56.2,39.3,4.5,0,158,158,Illinois,41.8085403,-87.7307842,4248 West 47th Street,60632,Cook County,Chicago,17031,"4248 West 47th Street, Chicago, Illinois, 60632",570200,17031570200,2022,570200,Cook County,Illinois,254,11,73,141,29,1427,211,165,690,108,41,185,27,4.3,28.7,55.5,11.4,14.8,11.6,48.4,7.6,2.9,13,1.9,806,-666666666,73050,2084,1558,74.8,526,25.2,273,13.1,0,0,0,0,253,12.1,0,0,0,0,0,0,401.8,429.4
South Shore Intl Col Prep HS,City of Chicago SD 299,Chicago,Cook,UNIT,LARGE,HIGH SCHOOL,12-Sep,472.9,424,16.7,71.4,11.9,0,63.1,33.3,3.6,0,10,83.3,6.7,0,84,84,Illinois,41.9813057,-87.7078996,5501 North Kedzie Avenue,60625,Cook County,Chicago,17031,"5501 North Kedzie Avenue, Chicago, Illinois, 60625",831800,17031831800,2022,831800,Cook County,Illinois,775,53,118,357,247,5183,332,280,1157,806,319,1106,1183,6.8,15.2,46.1,31.9,6.4,5.4,22.3,15.6,6.2,21.3,22.8,2557,80471,106553,7918,1423,18,6495,82,3109,39.3,262,3.3,0,0,2798,35.3,0,0,0,0,326,4.1,424,472.9
Goode STEM Academy HS,City of Chicago SD 299,Chicago,Cook,UNIT,LARGE,HIGH SCHOOL,12-Sep,424.4,404.6,51.3,45.1,3.6,0,72.3,22.8,4.9,0,53.7,41.5,4.9,0,224,224,Illinois,41.7539265,-87.7064547,7651 South Homan Avenue,60652,Cook County,Chicago,17031,"7651 South Homan Avenue, Chicago, Illinois, 60652",700100,17031700100,2022,700100,Cook County,Illinois,534,49,96,323,66,2295,252,190,775,635,148,118,177,9.2,18,60.5,12.4,11,8.3,33.8,27.7,6.4,5.1,7.7,1081,78803,91731,3874,1395,36,2479,64,45,1.2,2290,59.1,93,2.4,8,0.2,0,0,0,0,43,1.1,404.6,424.4
Chicago Excel Academy HS,City of Chicago SD 299,Chicago,Cook,UNIT,LARGE,HIGH SCHOOL,12-Sep,373.1,367.7,89.7,10.3,0,0,92.3,7.7,0,0,96,4,0,0,39,39,Illinois,41.691908,-87.6541825,1257 West 111th Street,60643,Cook County,Chicago,17031,"1257 West 111th Street, Chicago, Illinois, 60643",750600,17031750600,2022,750600,Cook County,Illinois,250,13,124,113,0,2471,22,347,646,745,165,396,150,5.2,49.6,45.2,0,0.9,14,26.1,30.1,6.7,16,6.1,1301,56504,64503,3844,178,4.6,3666,95.4,47,1.2,3591,93.4,0,0,0,0,0,0,0,0,28,0.7,367.7,373.1
Walter Henri Dyett High School for the Arts,City of Chicago SD 299,Chicago,Cook,UNIT,LARGE,HIGH SCHOOL,12-Sep,424.1,401.6,54.4,41.5,4.1,0,78.9,21.1,0,0,58.7,37,4.3,0,147,147,Illinois,41.8011311,-87.6122545,555 East 51st Street,60615,Cook County,Chicago,17031,"555 East 51st Street, Chicago, Illinois, 60615",836100,17031836100,2022,836100,Cook County,Illinois,86,28,16,42,0,1154,22,189,294,176,85,269,119,32.6,18.6,48.8,0,1.9,16.4,25.5,15.3,7.4,23.3,10.3,782,20948,51728,1827,12,0.7,1815,99.3,51,2.8,1637,89.6,0,0,0,0,0,0,0,0,127,7,401.6,424.1
Englewood STEM High School,City of Chicago SD 299,Chicago,Cook,UNIT,LARGE,HIGH SCHOOL,10-Sep,401.1,388.7,65.8,32.2,1.7,0.3,84.2,14.7,1.1,0,68,30.3,1.7,0,355,355,Illinois,41.7699904,-87.6343735,6835 South Normal Boulevard,60621,Cook County,Chicago,17031,"6835 South Normal Boulevard, Chicago, Illinois, 60621",681200,17031681200,2022,681200,Cook County,Illinois,222,50,149,23,0,1004,22,145,335,295,80,100,27,22.5,67.1,10.4,0,2.2,14.4,33.4,29.4,8,10,2.7,763,17338,31528,1883,44,2.3,1839,97.7,91,4.8,1580,83.9,0,0,0,0,0,0,0,0,168,8.9,388.7,401.1
Acero Chtr Sch Network Victoria Soto Campus,City of Chicago SD 299,Chicago,Cook,UNIT,LARGE,CHARTER SCH,12-Sep,421.3,402.7,54.9,41.5,3.5,0,77.5,19,3.5,0,55.3,40.8,3.9,0,142,142,Illinois,41.8019585,-87.7105036,5025 South Saint Louis Avenue,60632,Cook County,Chicago,17031,"5025 South Saint Louis Avenue, Chicago, Illinois, 60632",630300,17031630300,2022,630300,Cook County,Illinois,321,42,30,187,62,3086,608,543,1108,359,136,268,64,13.1,9.3,58.3,19.3,19.7,17.6,35.9,11.6,4.4,8.7,2.1,1419,51920,67722,4167,3857,92.6,310,7.4,171,4.1,74,1.8,0,0,65,1.6,0,0,0,0,0,0,402.7,421.3
Univ of Chicago Chtr-Woodlawn,City of Chicago SD 299,Chicago,Cook,UNIT,LARGE,CHARTER SCH,12-Jun,443.7,405.9,39.7,57.1,3.2,0,76.2,19,4.8,0,41.4,55.2,3.4,0,63,63,Illinois,41.8561467,-87.658113,,N/A,Cook County,Chicago,17031,,310600,17031310600,2022,310600,Cook County,Illinois,610,0,118,236,256,4146,306,585,1005,465,59,1030,696,0,19.3,38.7,42,7.4,14.1,24.2,11.2,1.4,24.8,16.8,2349,73508,78978,5542,3364,60.7,2178,39.3,1557,28.1,116,2.1,0,0,386,7,0,0,99,1.8,20,0.4,405.9,443.7
Chicago Math & Sci Elem Charter,City of Chicago SD 299,Chicago,Cook,UNIT,LARGE,CHARTER SCH,12-Jun,460.9,483,34.2,50.6,13.9,1.3,32.9,34.2,30.4,2.5,33.3,51.3,12.8,2.6,79,79,Illinois,42.0134326,-87.6751504,7212 North Clark Street,60626,Cook County,Chicago,17031,"7212 North Clark Street, Chicago, Illinois, 60626",10202,17031010202,2022,10202,Cook County,Illinois,311,20,133,146,12,2063,142,132,362,371,102,645,309,6.4,42.8,46.9,3.9,6.9,6.4,17.5,18,4.9,31.3,15,1223,58698,72545,2865,556,19.4,2309,80.6,860,30,945,33,0,0,312,10.9,0,0,148,5.2,44,1.5,483,460.9
Catalyst Charter - Maria ES,City of Chicago SD 299,Chicago,Cook,UNIT,LARGE,CHARTER SCH,K - 12,433.3,417,46.9,46.9,6.2,0,64.6,25.7,9.7,0,49.2,44.1,6.8,0,113,113,Illinois,41.8833211,-87.6518232,954 West Washington Boulevard,60607,Cook County,Chicago,17031,"954 West Washington Boulevard, Chicago, Illinois, 60607",833000,17031833000,2022,833000,Cook County,Illinois,122,0,23,66,33,3808,0,0,111,332,212,1825,1328,0,18.9,54.1,27,0,0,2.9,8.7,5.6,47.9,34.9,2576,192608,236766,4677,83,1.8,4594,98.2,3782,80.9,179,3.8,0,0,392,8.4,0,0,55,1.2,186,4,417,433.3
Chicago Collegiate Charter School,City of Chicago SD 299,Chicago,Cook,UNIT,LARGE,CHARTER SCH,12-May,421.9,389.3,59.3,33.3,7.4,0,77.8,18.5,3.7,0,42.9,50,7.1,0,27,27,Illinois,41.6958892,-87.6084913,10909 South Cottage Grove Avenue,60628,Cook County,Chicago,17031,"10909 South Cottage Grove Avenue, Chicago, Illinois, 60628",500200,17031500200,2022,500200,Cook County,Illinois,53,0,53,0,0,1197,24,103,536,272,126,106,30,0,100,0,0,2,8.6,44.8,22.7,10.5,8.9,2.5,771,38451,43571,1831,100,5.5,1731,94.5,39,2.1,1563,85.4,0,0,0,0,0,0,0,0,129,7,389.3,421.9
