school_name,School Code,tests_taken,SAT_reading_writing,SAT_math,Total # of Classes,avg_class_size,number_of_students,Female %,Male %,perc_english_learner,perc_disabilities,perc_econ_disadvg,District Code,perc_african_american,perc_asian,perc_hispanic,perc_white,perc_native_american,perc_hawaiian_pacific_isl,perc_multi_race_non_hisp,District Name,In-District Expenditures,Total In-district FTEs,In-District Expenditures per Pupil,Total Expenditures,Total Pupil FTEs,total_exp_per_pupil,year
Whitman-Hanson - Whitman Hanson Regional,7800505,135,545,518,404.0,18.2,1107.0,48.4,51.5,0.6,15.2,21.5,7800000.0,3.5,0.7,4.7,87.8,0.6,0.1,2.5,Whitman-Hanson,"          $50,210,916.52",3763.8,"              $13,340.48","          $55,351,671.52",3898.4,14198.56,2020.0
Whittier Regional Vocational Technical - Whittier Regional Vocational,8850605,79,502,488,742.0,12.6,1236.0,47.0,53.0,1.3,19.1,34.6,8850000.0,2.9,1.5,25.4,66.2,0.5,0.0,3.5,Whittier Regional Vocational Technical,"          $26,298,864.00",1250.1,"              $21,037.41","          $26,391,818.00",1253.6,21052.82,2020.0
Wilmington - Wilmington High,3420505,120,562,554,434.0,14.9,763.0,51.6,48.1,0.5,13.4,10.5,3420000.0,1.4,5.5,4.9,84.1,0.1,0.0,3.9,Wilmington,"          $54,689,315.00",3176.4,"              $17,217.39","          $61,784,533.00",3246.4,19031.71,2020.0
Winchendon - Murdock High School,3430515,31,501,474,117.0,14.0,262.0,49.2,50.8,0.8,23.3,47.0,3430000.0,1.2,2.7,8.0,84.4,0.4,0.4,3.1,Winchendon,"          $17,656,496.52",1219.5,"              $14,478.47","          $20,489,510.46",1424.6,14382.64,2020.0
Winchester - Winchester High School,3440505,214,626,645,1157.0,9.1,1406.0,51.9,47.9,0.8,16.4,6.8,3440000.0,1.6,17.9,3.6,72.8,0.4,0.1,3.6,Winchester,"          $68,218,594.29",4685.4,"              $14,559.82","          $72,449,287.14",4744.3,15270.81,2020.0
Winthrop - Winthrop High School,3460505,73,544,523,216.0,17.2,561.0,47.6,52.2,3.9,17.3,29.2,3460000.0,0.9,1.1,16.2,80.4,0.2,0.0,1.3,Winthrop,"          $27,267,146.72",1966.9,"              $13,863.01","          $29,276,469.96",2017.7,14509.82,2020.0
Woburn - Woburn High,3470505,122,545,555,645.0,13.6,1190.0,50.3,49.5,7.0,17.9,29.8,3470000.0,6.5,6.6,13.5,70.9,0.4,0.3,1.9,Woburn,"          $80,793,883.15",4491.9,"              $17,986.57","          $88,251,249.60",4672.5,18887.37,2020.0
Worcester - Burncoat Senior High,3480503,54,483,468,590.0,15.8,1111.0,50.1,49.9,20.7,25.6,61.5,3480000.0,19.8,3.3,42.9,29.3,0.2,0.0,4.4,Worcester,"         $398,787,375.74",25190.7,"              $15,830.74","         $453,689,004.83",28236.8,16067.3,2020.0
Worcester - Claremont Academy,3480350,37,448,439,291.0,17.8,512.0,49.2,50.8,33.8,14.3,76.6,3480000.0,11.3,8.4,71.7,7.0,0.2,0.0,1.4,Worcester,"         $398,787,375.74",25190.7,"              $15,830.74","         $453,689,004.83",28236.8,16067.3,2020.0
Worcester - Doherty Memorial High,3480512,141,517,521,839.0,12.7,1328.0,44.1,56.0,16.6,15.4,45.0,3480000.0,14.2,6.7,34.2,40.2,0.3,0.0,4.4,Worcester,"         $398,787,375.74",25190.7,"              $15,830.74","         $453,689,004.83",28236.8,16067.3,2020.0
Worcester - North High,3480515,55,466,457,589.0,15.9,1169.0,49.5,50.5,27.9,23.0,74.9,3480000.0,21.1,5.4,52.7,17.4,0.1,0.0,3.3,Worcester,"         $398,787,375.74",25190.7,"              $15,830.74","         $453,689,004.83",28236.8,16067.3,2020.0
Worcester - South High Community,3480520,82,499,508,720.0,15.1,1323.0,49.7,50.3,26.7,22.4,66.0,3480000.0,17.5,12.0,45.0,22.2,0.1,0.0,3.3,Worcester,"         $398,787,375.74",25190.7,"              $15,830.74","         $453,689,004.83",28236.8,16067.3,2020.0
Worcester - University Pk Campus School,3480285,15,485,491,111.0,16.1,229.0,50.7,49.3,21.4,13.1,68.1,3480000.0,12.7,17.9,55.9,9.6,0.4,0.0,3.5,Worcester,"         $398,787,375.74",25190.7,"              $15,830.74","         $453,689,004.83",28236.8,16067.3,2020.0
Worcester - Worcester Technical High,3480605,113,512,506,692.0,16.4,1456.0,55.4,44.6,5.6,12.2,51.0,3480000.0,17.3,8.0,37.4,33.7,0.1,0.1,3.4,Worcester,"         $398,787,375.74",25190.7,"              $15,830.74","         $453,689,004.83",28236.8,16067.3,2020.0
