school_name,School Code,tests_taken,SAT_reading_writing,SAT_math,Total # of Classes,avg_class_size,number_of_students,Female %,Male %,perc_english_learner,perc_disabilities,perc_econ_disadvg,District Code,perc_african_american,perc_asian,perc_hispanic,perc_white,perc_native_american,perc_hawaiian_pacific_isl,perc_multi_race_non_hisp,District Name,In-District Expenditures,Total In-district FTEs,In-District Expenditures per Pupil,Total Expenditures,Total Pupil FTEs,total_exp_per_pupil,year
Boston - Boston International High School & Newcomers Academy,350507,35,406,406,212.0,16.5,590.0,41.9,58.1,92.7,5.4,88.0,350000.0,30.9,4.9,61.0,2.7,0.0,0.2,0.3,Boston,"       $1,567,511,179.00",47235.6,"              $33,184.95","       $1,937,971,768.00",60784.2,31882.82,2023.0
Boston - Boston Latin Academy,350545,541,556,567,503.0,23.6,1693.0,56.6,43.2,1.5,5.1,47.1,350000.0,25.5,15.7,30.5,23.4,0.2,0.1,4.6,Boston,"       $1,567,511,179.00",47235.6,"              $33,184.95","       $1,937,971,768.00",60784.2,31882.82,2023.0
Boston - Boston Latin School,350560,658,653,657,849.0,24.1,2427.0,53.3,46.4,0.6,4.0,30.0,350000.0,14.0,29.4,16.4,35.3,0.1,0.1,4.7,Boston,"       $1,567,511,179.00",47235.6,"              $33,184.95","       $1,937,971,768.00",60784.2,31882.82,2023.0
Boston - Brighton High School,350505,20,443,448,402.0,12.9,764.0,47.9,51.8,58.6,23.4,84.2,350000.0,26.1,2.9,63.4,5.5,0.5,0.0,1.7,Boston,"       $1,567,511,179.00",47235.6,"              $33,184.95","       $1,937,971,768.00",60784.2,31882.82,2023.0
Boston - Burke High School,350525,114,396,402,273.0,12.9,482.0,43.0,56.9,29.9,26.8,84.2,350000.0,54.2,2.7,35.9,3.1,0.6,0.0,3.5,Boston,"       $1,567,511,179.00",47235.6,"              $33,184.95","       $1,937,971,768.00",60784.2,31882.82,2023.0
Boston - Charlestown High School,350515,85,412,438,538.0,14.2,906.0,41.0,58.9,48.0,28.8,82.1,350000.0,21.4,5.7,65.6,6.2,0.1,0.0,1.0,Boston,"       $1,567,511,179.00",47235.6,"              $33,184.95","       $1,937,971,768.00",60784.2,31882.82,2023.0
Boston - Community Academy of Science and Health,350581,87,406,397,169.0,15.2,434.0,49.8,50.2,34.1,35.7,83.6,350000.0,59.5,5.3,29.7,2.3,0.0,0.5,2.8,Boston,"       $1,567,511,179.00",47235.6,"              $33,184.95","       $1,937,971,768.00",60784.2,31882.82,2023.0
Boston - East Boston High School,350530,84,456,458,490.0,15.6,1318.0,44.2,55.7,41.7,22.2,74.5,350000.0,5.3,1.4,82.0,10.2,0.0,0.0,1.1,Boston,"       $1,567,511,179.00",47235.6,"              $33,184.95","       $1,937,971,768.00",60784.2,31882.82,2023.0
Boston - English High School,350535,147,406,398,498.0,16.4,796.0,47.0,53.0,41.1,25.1,84.8,350000.0,29.7,1.1,62.9,4.2,0.0,0.0,2.1,Boston,"       $1,567,511,179.00",47235.6,"              $33,184.95","       $1,937,971,768.00",60784.2,31882.82,2023.0
Boston - Excel High School,350522,67,431,451,184.0,11.7,364.0,40.4,59.3,22.3,28.9,82.1,350000.0,32.7,17.9,34.6,9.3,0.0,0.3,5.2,Boston,"       $1,567,511,179.00",47235.6,"              $33,184.95","       $1,937,971,768.00",60784.2,31882.82,2023.0
Boston - Fenway High School,350540,16,463,457,175.0,16.1,371.0,52.3,47.7,20.5,22.9,74.4,350000.0,30.7,2.7,59.8,4.9,0.0,0.0,1.9,Boston,"       $1,567,511,179.00",47235.6,"              $33,184.95","       $1,937,971,768.00",60784.2,31882.82,2023.0
Boston - Henderson K-12 Inclusion School Upper,350426,93,415,404,327.0,17.5,669.0,48.4,51.6,18.2,36.8,79.1,350000.0,47.7,6.9,31.1,9.1,0.8,0.2,4.3,Boston,"       $1,567,511,179.00",47235.6,"              $33,184.95","       $1,937,971,768.00",60784.2,31882.82,2023.0
Boston - Madison Park Technical Vocational High School,350537,40,406,404,488.0,15.9,1089.0,40.2,59.6,28.2,37.5,84.0,350000.0,40.2,1.5,53.1,2.2,0.3,0.2,2.6,Boston,"       $1,567,511,179.00",47235.6,"              $33,184.95","       $1,937,971,768.00",60784.2,31882.82,2023.0
Boston - Margarita Muniz Academy,350549,32,407,388,140.0,18.3,309.0,56.6,43.4,44.0,13.3,86.4,350000.0,6.8,0.0,91.6,1.0,0.0,0.0,0.7,Boston,"       $1,567,511,179.00",47235.6,"              $33,184.95","       $1,937,971,768.00",60784.2,31882.82,2023.0
Boston - New Mission High School,350542,175,432,436,327.0,16.5,704.0,46.5,53.4,23.3,18.9,69.7,350000.0,47.4,2.8,39.9,7.4,0.4,0.3,1.7,Boston,"       $1,567,511,179.00",47235.6,"              $33,184.95","       $1,937,971,768.00",60784.2,31882.82,2023.0
Boston - O'Bryant School of Math & Science,350575,402,534,556,439.0,23.4,1542.0,49.9,49.9,2.3,5.3,59.2,350000.0,31.9,17.4,36.3,11.7,0.1,0.1,2.5,Boston,"       $1,567,511,179.00",47235.6,"              $33,184.95","       $1,937,971,768.00",60784.2,31882.82,2023.0
Boston - Quincy Upper School,350565,80,446,441,265.0,20.1,562.0,49.8,50.0,15.7,21.0,67.8,350000.0,21.0,46.8,22.8,6.2,0.4,0.0,2.9,Boston,"       $1,567,511,179.00",47235.6,"              $33,184.95","       $1,937,971,768.00",60784.2,31882.82,2023.0
Boston - Snowden International High School,350690,29,431,437,182.0,16.9,473.0,50.5,49.5,18.0,24.3,78.4,350000.0,30.2,3.8,56.5,6.6,0.0,0.0,3.0,Boston,"       $1,567,511,179.00",47235.6,"              $33,184.95","       $1,937,971,768.00",60784.2,31882.82,2023.0
Boston - TechBoston Academy,350657,183,417,409,450.0,14.9,931.0,46.7,53.3,28.6,24.5,83.5,350000.0,59.4,1.8,33.3,1.6,0.4,0.0,3.4,Boston,"       $1,567,511,179.00",47235.6,"              $33,184.95","       $1,937,971,768.00",60784.2,31882.82,2023.0
Boston Collegiate Charter (District) - Boston Collegiate Charter School,4490305,68,478,465,354.0,19.3,700.0,49.4,50.3,7.0,15.7,43.1,4490000.0,27.6,3.4,22.6,41.4,0.0,0.0,5.0,Boston Collegiate Charter (District),"          $15,537,960.08",697.1,"              $22,289.75","          $15,537,960.08",697.1,22289.75,2023.0
Boston Green Academy Horace Mann Charter School (District) - Boston Green Academy Horace Mann Charter School,4110305,48,411,411,204.0,14.8,418.0,48.6,51.4,11.2,31.3,79.2,4110000.0,45.5,1.4,40.4,8.4,0.7,0.0,3.6,Boston Green Academy Horace Mann Charter School (District),"          $11,738,816.83",455.0,"              $25,800.62","          $11,738,816.83",455.0,25800.62,2023.0
Boston Preparatory Charter Public (District) - Boston Preparatory Charter Public School,4160305,91,428,424,267.0,17.8,696.0,51.0,49.0,16.5,18.8,65.7,4160000.0,61.8,0.1,30.8,1.3,0.6,0.9,4.6,Boston Preparatory Charter Public (District),"          $17,794,102.46",702.3,"              $25,338.34","          $17,794,102.46",702.3,25338.34,2023.0
Bourne - Bourne High School,360505,124,513,486,232.0,12.4,332.0,52.1,47.9,0.9,17.8,32.8,360000.0,0.6,3.9,6.0,81.9,1.2,0.0,6.3,Bourne,"          $36,814,366.35",1570.6,"              $23,439.68","          $41,985,614.17",1839.8,22820.75,2023.0
Braintree - Braintree High,400505,361,573,578,837.0,16.1,1713.0,48.3,51.6,4.9,25.8,27.0,400000.0,6.8,27.4,7.0,56.6,0.1,0.1,2.0,Braintree,"          $95,374,622.81",5376.6,"              $17,738.84","         $104,947,957.10",5509.7,19047.85,2023.0
Bridgewater-Raynham - Bridgewater-Raynham Regional,6250505,180,561,546,613.0,14.8,1423.0,50.3,49.7,4.2,16.3,27.9,6250000.0,14.8,2.7,5.0,71.6,0.1,0.1,5.6,Bridgewater-Raynham,"          $86,171,313.54",5508.8,"              $15,642.48","          $92,970,693.73",5766.6,16122.27,2023.0
Bristol County Agricultural - Bristol County Agricultural High,9100705,36,535,526,306.0,18.6,596.0,67.3,32.6,0.0,15.6,30.2,9100000.0,2.9,0.0,12.6,83.2,0.7,0.0,0.7,Bristol County Agricultural,"          $13,119,525.04",543.5,"              $24,138.96","          $13,119,525.04",543.5,24138.96,2023.0
Bristol-Plymouth Regional Vocational Technical - Bristol-Plymouth Vocational Technical,8100605,86,531,507,950.0,17.9,1323.0,42.6,57.1,0.5,16.1,27.7,8100000.0,5.7,0.8,7.7,81.3,0.3,0.1,4.2,Bristol-Plymouth Regional Vocational Technical,"          $31,146,256.00",1281.5,"              $24,304.53","          $31,243,119.00",1298.7,24057.23,2023.0
Brockton - Brockton High,440505,192,513,488,1564.0,18.6,3724.0,45.3,54.6,33.6,16.0,69.2,440000.0,62.8,2.5,19.4,11.0,0.2,0.2,3.9,Brockton,"         $332,314,545.40",14968.4,"              $22,201.07","         $383,644,586.10",16968.7,22608.96,2023.0
Brooke Charter School (District) - Brooke Charter School,4280305,125,485,506,966.0,19.3,2209.0,51.2,48.6,10.2,16.6,60.5,4280000.0,49.0,1.5,42.4,3.9,0.3,0.1,2.7,Brooke Charter School (District),"          $45,784,254.72",2227.8,"              $20,550.96","          $45,784,254.72",2227.8,20550.96,2023.0
Brookline - Brookline High,460505,444,647,661,1155.0,15.1,2176.0,49.5,49.5,3.3,16.4,14.5,460000.0,6.3,17.7,13.1,53.1,0.1,0.1,9.8,Brookline,"         $181,518,442.90",7049.6,"              $25,748.76","         $189,035,177.30",7125.8,26528.27,2023.0
Burlington - Burlington High,480505,167,585,575,553.0,13.2,1034.0,47.9,51.5,10.6,10.4,20.6,480000.0,9.0,19.1,14.1,55.0,0.3,0.0,2.5,Burlington,"          $84,095,781.00",3427.7,"              $24,534.17","          $94,758,336.84",3537.0,26790.6,2023.0
Cambridge - Cambridge Rindge and Latin,490506,374,607,587,1289.0,15.5,2039.0,48.3,50.9,7.3,18.7,38.8,490000.0,26.5,12.7,14.4,36.1,0.3,0.0,10.1,Cambridge,"         $245,188,021.00",6664.7,"              $36,789.06","         $283,427,553.50",7279.9,38932.89,2023.0
Canton - Canton High,500505,266,558,555,471.0,15.5,944.0,54.2,45.7,2.3,13.6,22.1,500000.0,15.9,11.7,5.2,61.7,0.2,0.4,5.0,Canton,"          $64,098,168.42",3208.4,"              $19,978.23","          $71,910,639.59",3304.2,21763.4,2023.0
Cape Cod Regional Vocational Technical - Cape Cod Region Vocational Technical,8150605,45,508,474,400.0,15.6,659.0,37.5,62.5,1.8,19.4,42.0,8150000.0,5.8,0.8,9.6,78.6,0.6,0.3,4.4,Cape Cod Regional Vocational Technical,"          $17,692,581.00",645.7,"              $27,400.62","          $17,706,181.00",648.4,27307.5,2023.0
Carver - Carver Middle/High School,520405,84,548,529,501.0,13.7,712.0,47.5,52.4,0.8,17.8,27.5,520000.0,2.8,0.8,3.9,90.2,0.4,0.0,1.8,Carver,"          $28,592,383.00",1545.0,"              $18,506.40","          $31,681,779.00",1646.0,19247.74,2023.0
Central Berkshire - Wahconah Regional High,6350505,80,535,535,270.0,13.5,483.0,46.0,54.0,0.8,14.1,34.4,6350000.0,0.8,1.0,4.1,89.7,0.0,0.0,4.4,Central Berkshire,"          $29,640,152.00",1559.8,"              $19,002.53","          $32,666,791.60",1772.9,18425.63,2023.0
Chelmsford - Chelmsford High,560505,275,588,587,687.0,17.8,1420.0,46.3,53.2,2.4,15.2,15.7,560000.0,4.7,18.9,8.3,64.2,0.1,0.1,3.7,Chelmsford,"          $85,554,333.00",5059.8,"              $16,908.64","          $94,061,841.13",5283.2,17803.95,2023.0
Chelsea - Chelsea High,570505,64,487,475,565.0,22.3,1749.0,45.5,54.4,36.2,13.4,78.6,570000.0,3.8,1.1,89.3,5.1,0.2,0.0,0.6,Chelsea,"         $123,941,591.30",6192.9,"              $20,013.50","         $158,605,269.40",7297.8,21733.3,2023.0
Chicopee - Chicopee Comprehensive High School,610510,86,541,533,613.0,15.3,1212.0,40.2,59.5,4.4,13.8,52.3,610000.0,3.1,1.5,38.1,53.6,0.3,0.0,3.5,Chicopee,"         $146,379,254.70",6740.5,"              $21,716.38","         $157,477,977.10",7464.6,21096.64,2023.0
Chicopee - Chicopee High,610505,40,531,500,512.0,15.6,996.0,52.6,47.0,10.0,18.0,69.1,610000.0,6.3,2.9,53.1,34.1,0.1,0.0,3.4,Chicopee,"         $146,379,254.70",6740.5,"              $21,716.38","         $157,477,977.10",7464.6,21096.64,2023.0
Clinton - Clinton Senior High,640505,65,535,492,268.0,15.7,578.0,42.9,56.9,16.1,18.2,48.3,640000.0,4.2,1.2,41.7,51.7,0.0,0.2,1.0,Clinton,"          $34,391,165.00",1952.1,"              $17,617.52","          $40,612,074.27",2209.9,18377.34,2023.0
Codman Academy Charter Public (District) - Codman Academy Charter Public School,4380505,55,415,393,148.0,15.7,340.0,51.8,48.2,12.1,21.2,76.5,4380000.0,69.4,0.0,27.9,0.0,0.0,0.0,2.7,Codman Academy Charter Public (District),"          $11,613,416.06",337.7,"              $34,392.80","          $11,613,416.06",337.7,34392.8,2023.0
Cohasset - Cohasset High School,650505,118,616,586,314.0,13.0,406.0,48.5,51.5,0.3,13.3,7.6,650000.0,3.2,1.7,1.0,91.1,0.0,0.0,3.0,Cohasset,"          $30,687,285.18",1405.9,"              $21,827.50","          $33,377,108.74",1437.9,23212.4,2023.0
Community Charter School of Cambridge (District) - Community Charter School of Cambridge,4360305,49,526,539,148.0,10.7,257.0,56.0,44.0,12.5,19.8,59.5,4360000.0,66.9,4.7,16.7,5.8,0.0,0.4,5.5,Community Charter School of Cambridge (District),"           $7,291,944.39",256.5,"              $28,430.85","           $7,291,944.39",256.5,28430.85,2023.0
Concord-Carlisle - Concord Carlisle High,6400505,319,644,647,583.0,17.0,1237.0,46.2,53.4,0.8,16.7,8.1,6400000.0,3.9,8.7,6.4,73.4,0.1,0.2,7.4,Concord-Carlisle,"          $31,628,236.00",1290.0,"              $24,518.01","          $35,447,824.97",1329.5,26662.52,2023.0
Danvers - Danvers High,710505,112,572,546,475.0,14.4,821.0,49.8,49.3,4.5,20.5,27.2,710000.0,3.7,2.9,14.7,75.9,0.0,0.0,2.8,Danvers,"          $61,693,449.70",3238.1,"              $19,052.36","          $70,384,083.90",3384.2,20797.85,2023.0
Dartmouth - Dartmouth High,720505,169,564,544,470.0,17.6,958.0,53.4,46.5,1.2,15.9,29.7,720000.0,2.4,0.9,8.5,79.8,0.0,0.1,8.4,Dartmouth,"          $58,452,160.06",3389.2,"              $17,246.60","          $64,512,288.62",3512.8,18364.92,2023.0
Dedham - Dedham High,730505,132,555,572,397.0,15.1,739.0,46.6,52.9,8.3,16.5,30.7,730000.0,11.1,3.0,17.9,64.8,0.0,0.0,3.3,Dedham,"          $63,891,348.52",2562.6,"              $24,932.24","          $70,422,701.82",2638.2,26693.47,2023.0
Dennis-Yarmouth - Dennis-Yarmouth Regional High,6450505,86,530,519,601.0,14.2,962.0,48.2,51.5,13.7,15.1,54.5,6450000.0,15.7,2.6,13.4,59.3,1.6,0.1,7.4,Dennis-Yarmouth,"          $67,341,712.24",2854.6,"              $23,590.59","          $77,846,781.66",3404.9,22863.16,2023.0
Dighton-Rehoboth - Dighton-Rehoboth Regional High School,6500505,112,557,532,328.0,14.9,644.0,47.1,52.6,0.8,18.3,21.3,6500000.0,2.0,2.2,5.8,85.3,0.2,0.0,4.7,Dighton-Rehoboth,"          $48,847,062.45",2567.6,"              $19,024.41","          $51,801,496.94",2653.5,19521.95,2023.0
Douglas - Douglas High School,770505,61,554,522,176.0,12.3,304.0,49.3,50.3,0.7,21.4,27.3,770000.0,1.0,1.3,5.6,89.8,0.0,0.0,2.3,Douglas,"          $20,474,815.97",1159.3,"              $17,661.36","          $23,608,928.00",1248.9,18903.78,2023.0
Dover-Sherborn - Dover-Sherborn Regional High,6550505,161,644,647,384.0,14.9,649.0,49.6,50.1,1.1,9.6,5.9,6550000.0,2.8,13.7,5.7,70.9,0.2,0.0,6.8,Dover-Sherborn,"          $27,384,335.71",1142.5,"              $23,968.78","          $28,643,894.79",1175.8,24361.2,2023.0
Dracut - Dracut Senior High,790505,117,523,523,380.0,17.7,793.0,48.7,50.6,7.6,14.8,36.6,790000.0,9.7,10.8,14.3,63.1,0.1,0.1,1.9,Dracut,"          $52,270,307.90",3612.3,"              $14,470.09","          $60,519,145.30",3995.5,15146.83,2023.0
