School Name,School Code,Tests Taken,Reading / Writing,Math,Total # of Classes,Average Class Size,Number of Students,Female %,Male %,English Language Learner %,Students with Disabilities %,Economically Disadvantaged %,District Code,African American %,Asian %,Hispanic %,White %,Native American %,"Native Hawaiian, Pacific Islander %","Multi-Race, Non-Hispanic %",District Name,In-District Expenditures,Total In-district FTEs,In-District Expenditures per Pupil,Total Expenditures,Total Pupil FTEs,Total Expenditures per Pupil,Year
Springfield - Springfield High School of Science and Technology,2810530,108,413,395,733,12.4,1090,43.3,56.5,17,27.1,86.2,2810000,19.5,1,71.1,5.8,0,0,2.6,Springfield,"         $602,987,697.90",23763.4,"              $25,374.64","         $708,947,250.70",29415.2,"              $24,101.39",2023
Springfield - The Springfield Renaissance School an Expeditionary Learning School,2810205,63,457,431,399,13.5,603,54.1,45.9,5.8,22.7,73.5,2810000,20.1,2.5,63.5,11.8,0,0,2.2,Springfield,"         $602,987,697.90",23763.4,"              $25,374.64","         $708,947,250.70",29415.2,"              $24,101.39",2023
Springfield International Charter (District) - Springfield International Charter School,4410505,18,551,525,786,23.1,1560,49.4,50.6,11,19.6,62.4,4410000,27.6,3.1,50.8,12.8,0.1,0,5.6,Springfield International Charter (District),"          $20,858,045.12",1521.8,"              $13,705.81","          $20,858,045.12",1521.8,"              $13,705.81",2023
Stoneham - Stoneham High,2840505,98,542,526,444,11.7,589,49.6,49.2,3.4,17,25.3,2840000,2.4,6.3,11.2,77.4,0,0,2.7,Stoneham,"          $45,463,907.66",2265,"              $20,072.37","          $52,147,746.16",2493.9,"              $20,910.12",2023
Stoughton - Stoughton High,2850505,148,564,557,719,17.2,1148,49,51.1,11,15,42.5,2850000,30.7,6.6,14.6,42.8,0.2,0.6,4.5,Stoughton,"          $67,538,427.03",3578.1,"              $18,875.50","          $75,334,841.44",3801.6,"              $19,816.61",2023
Sturgis Charter Public (District) - Sturgis Charter Public School,4890505,187,598,577,526,14.1,824,58.6,40.1,1.3,15.8,20,4890000,2.7,3.6,6.1,83,0,0.1,4.5,Sturgis Charter Public (District),"          $15,530,906.00",832.2,"              $18,662.69","          $15,530,906.00",832.2,"              $18,662.69",2023
Sutton - Sutton High School,2900510,67,577,564,169,15.3,370,51.1,48.7,3,4.9,19.7,2900000,2.7,3,6.5,83.2,0,0,4.6,Sutton,"          $23,327,497.49",1288.3,"              $18,107.19","          $26,040,876.80",1358.4,"              $19,170.26",2023
Swampscott - Swampscott High,2910505,141,601,585,441,14,658,48.6,51.1,3.2,19,23.6,2910000,5.2,3.5,15.4,72.8,0.5,0.2,2.6,Swampscott,"          $40,315,001.00",2037,"              $19,791.36","          $46,081,954.50",2169.5,"              $21,240.82",2023
Swansea - Joseph Case High,2920505,77,560,525,279,14.8,565,50.4,49.4,0.4,16.1,24.4,2920000,1.2,1.1,3.2,92,0.5,0,2,Swansea,"          $33,058,911.11",1996.1,"              $16,561.75","          $34,704,217.70",2076.9,"              $16,709.62",2023
TEC Connections Academy Commonwealth Virtual School District - TEC Connections Academy Commonwealth Virtual School,39020900,67,579,527,791,47.5,3320,57.2,42.5,5.5,23.6,57.2,39020000,10.2,3.2,25.1,52.9,0.4,0.2,8,TEC Connections Academy Commonwealth Virtual School District,"          $32,985,926.00",2944.9,"              $11,201.03","          $32,985,926.00",2944.9,"              $11,201.03",2023
