School Name,School Code,Tests Taken,Reading / Writing,Math,Total # of Classes,Average Class Size,Number of Students,Female %,Male %,English Language Learner %,Students with Disabilities %,Economically Disadvantaged %,District Code,African American %,Asian %,Hispanic %,White %,Native American %,"Native Hawaiian, Pacific Islander %","Multi-Race, Non-Hispanic %",District Name,In-District Expenditures,Total In-district FTEs,In-District Expenditures per Pupil,Total Expenditures,Total Pupil FTEs,Total Expenditures per Pupil,Year
Edward M. Kennedy Academy for Health Careers: A Horace Mann Charter Public School (District) - Edward M. Kennedy Academy for Health Careers: A Horace Mann Charter Public School,4520505,107,423,407,181,17.6,367,67.9,32.2,14.7,24.3,78.5,4520000,39,2.7,53.1,2.2,0,0.3,2.7,Edward M. Kennedy Academy for Health Careers: A Horace Mann Charter Public School (District),"          $13,418,341.00",371.1,"              $36,156.73","          $13,418,341.00",371.1,"              $36,156.73",2023
Essex North Shore Agricultural and Technical School District - Essex North Shore Agricultural and Technical School,8170505,244,533,510,1103,17.4,1733,56,43.6,1.1,19.2,22.5,8170000,2.5,2,15.7,76.2,0.1,0,3.4,Essex North Shore Agricultural and Technical School District,"          $37,624,696.94",1655.1,"              $22,732.58","          $38,287,169.08",1665.7,"              $22,985.63",2023
Everett - Everett High,930505,270,493,477,1022,18.8,2351,49.9,50.1,29.1,14.9,69.9,930000,14.7,5,64.1,14.5,0.2,0.1,1.5,Everett,"         $134,645,168.00",7365,"              $18,281.76","         $157,579,540.70",8216.3,"              $19,178.89",2023
Excel Academy Charter (District) - Excel Academy Charter School,4100205,146,472,464,389,22.4,1345,49.1,50.9,14.7,17.8,61.8,4100000,4.8,1.3,80.5,11.5,0.4,0.4,1.3,Excel Academy Charter (District),"          $29,770,958.00",1366.5,"              $21,787.08","          $29,770,958.00",1366.5,"              $21,787.08",2023
Fairhaven - Fairhaven High,940505,117,546,542,289,14.8,583,49.1,50.8,1.2,14.9,31.9,940000,1.7,2.6,8.2,83.4,0.3,0,3.8,Fairhaven,"          $29,462,337.88",1830.5,"              $16,095.24","          $31,951,620.36",1903.2,"              $16,788.37",2023
Fall River - B M C Durfee High,950505,242,492,477,1661,15.4,2601,50.8,49,24,18.3,71.7,950000,12.9,3.9,32.3,42.6,0.2,0,8.1,Fall River,"         $225,485,874.00",10566.1,"              $21,340.50","         $264,229,228.80",12605.4,"              $20,961.59",2023
Falmouth - Falmouth High,960505,145,577,558,653,14,742,47,52.4,6.1,21.2,35.9,960000,7,1.4,9.2,75.6,1.4,0,5.5,Falmouth,"          $72,419,665.86",2977.6,"              $24,321.49","          $78,776,647.46",3225,"              $24,426.87",2023
Fitchburg - Fitchburg High,970505,268,459,444,572,16.7,1185,50.4,49,17,15,66.3,970000,9,5.7,58.5,20.3,0,0,6.5,Fitchburg,"          $97,352,131.52",5135.7,"              $18,955.96","         $115,226,717.00",5904.3,"              $19,515.73",2023
Four Rivers Charter Public (District) - Four Rivers Charter Public School,4130505,14,631,564,184,15.9,213,47.4,49.8,0,17.4,31.9,4130000,1.4,0.9,6.6,86.9,0,0,4.2,Four Rivers Charter Public (District),"           $4,158,035.00",217,"              $19,165.87","           $4,158,035.00",217,"              $19,165.87",2023
Foxborough - Foxborough High,990505,175,564,564,508,14.1,787,48.2,51.6,2,15,23,990000,9.9,4.7,8.4,73.8,0.4,0,2.8,Foxborough,"          $50,761,971.50",2467,"              $20,576.40","          $56,408,020.01",2617.1,"              $21,553.64",2023
Foxborough Regional Charter (District) - Foxborough Regional Charter School,4460550,85,541,505,717,19.3,1498,53.4,46.6,9.3,10.3,44.7,4460000,70.5,5.4,4.9,14.5,0.4,0.1,4.1,Foxborough Regional Charter (District),"          $23,813,198.62",1556.7,"              $15,297.53","          $23,813,198.62",1556.7,"              $15,297.53",2023
Framingham - Framingham High School,1000515,339,572,573,1198,16.5,2622,49.5,49.9,28.1,19.8,52.9,1000000,6.8,4.3,44.7,40.2,0,0,3.9,Framingham,"         $213,313,549.00",9212,"              $23,156.05","         $242,061,528.30",9934.1,"              $24,366.73",2023
Francis W. Parker Charter Essential (District) - Francis W. Parker Charter Essential School,4780505,52,606,564,230,16.3,363,51,43.5,0,20.1,9.1,4780000,2.2,1.9,4.7,85.7,0,0,5.5,Francis W. Parker Charter Essential (District),"           $6,948,564.18",390.7,"              $17,783.54","           $6,948,564.18",390.7,"              $17,783.54",2023
Franklin - Franklin High,1010505,429,585,575,969,15.5,1570,47.8,51.7,1.9,12.3,14.5,1010000,3.6,8.9,6.8,77.7,0.1,0.3,2.7,Franklin,"          $82,870,518.09",4674.5,"              $17,728.21","          $98,325,312.53",5152.3,"              $19,083.77",2023
Franklin County Regional Vocational Technical - Franklin County Technical,8180605,19,483,494,303,14.1,605,42.5,57,0,19.5,39.3,8180000,0.5,0.2,6.3,89.4,0.2,0.3,3.1,Franklin County Regional Vocational Technical,"          $16,825,623.55",571.2,"              $29,456.62","          $16,831,723.55",572.4,"              $29,405.53",2023
Freetown-Lakeville - Apponequet Regional High,6650505,163,573,557,348,14.6,672,51.6,47.9,0.5,15,19.9,6650000,1.9,1.3,2.4,92.6,0,0,1.8,Freetown-Lakeville,"          $43,208,622.89",2753,"              $15,695.10","          $47,437,484.89",2871.5,"              $16,520.11",2023
Frontier - Frontier Regional,6700505,57,619,595,581,11.3,601,45.8,53.2,0.7,18.5,23.3,6700000,1.8,3.7,7,80.7,0,0,6.8,Frontier,"          $12,755,631.01",594.8,"              $21,445.24","          $14,557,326.66",663.6,"              $21,936.90",2023
Gardner - Gardner High,1030505,104,463,449,334,17.3,770,47.4,51.2,5.6,19.1,58.4,1030000,5.2,1.8,27.3,58.1,0.3,0,7.4,Gardner,"          $38,872,358.76",2392.5,"              $16,247.59","          $43,851,862.18",2618.2,"              $16,748.86",2023
Gateway - Gateway Regional High,6720505,21,574,521,272,7,163,49.1,50.3,0,30.1,42.3,6720000,1.8,0,8.6,87.7,0.6,0,1.2,Gateway,"          $18,338,360.90",786.1,"              $23,328.28","          $19,920,289.36",887.1,"              $22,455.52",2023
Georgetown - Georgetown High School,1050505,68,553,543,253,10.6,290,49.3,50.7,3.1,19,17.6,1050000,1,1,10.3,85.5,0,0.7,1.4,Georgetown,"          $22,544,082.49",1259.1,"              $17,904.92","          $25,513,733.64",1318.2,"              $19,354.98",2023
Gill-Montague - Turners Fall High,6740505,17,606,582,184,10.2,199,46.7,52.3,5.5,20.6,61.8,6740000,1.5,0.5,21.1,67.8,0,0,9.1,Gill-Montague,"          $21,992,248.40",866.7,"              $25,374.70","          $25,590,796.91",1137.8,"              $22,491.47",2023
Gloucester - Gloucester High,1070505,103,551,556,446,13.4,814,47.3,52.2,11.4,28.4,44.2,1070000,1.2,1.7,17.2,76.9,0.6,0.1,2.2,Gloucester,"          $60,616,478.96",2876.7,"              $21,071.53","          $68,483,052.61",3190.7,"              $21,463.33",2023
Grafton - Grafton High School,1100505,169,580,579,463,16,905,48.8,50.7,2.1,16.1,18.2,1100000,2.4,10.4,8.6,75.4,0.4,0.1,2.7,Grafton,"          $48,561,490.00",3100.4,"              $15,662.98","          $52,995,807.40",3195.4,"              $16,585.03",2023
Granby - Granby Jr Sr High School,1110505,20,559,542,205,13,293,48.5,51.5,3.8,22.2,33.8,1110000,0,2.1,14,80.6,0.3,0,3.1,Granby,"          $13,158,860.33",715.6,"              $18,388.57","          $14,718,343.22",794.6,"              $18,522.96",2023
Greater Commonwealth Virtual District - Greater Commonwealth Virtual School,39010900,16,542,524,329,20,1179,55.4,42.8,1.3,27.2,58.9,39010000,7.4,4,26.2,54.5,0.2,0.3,7.5,Greater Commonwealth Virtual District,"          $13,650,268.47",1201.8,"              $11,358.19","          $13,650,268.47",1201.8,"              $11,358.19",2023
Greater Fall River Regional Vocational Technical - Diman Regional Vocational Technical High,8210605,59,549,507,1341,13.8,1426,41.7,57.5,2.5,10.5,44.6,8210000,3.9,2.5,16.9,70.3,0.3,0,6.2,Greater Fall River Regional Vocational Technical,"          $36,827,587.00",1397,"              $26,361.91","          $36,902,453.32",1410.6,"              $26,160.82",2023
Greater Lawrence Regional Vocational Technical - Gr Lawrence Regional Vocational Technical,8230605,48,475,460,1695,16.5,1762,53,46.8,10.1,11.5,64.9,8230000,1.8,0.8,81.7,15.1,0,0,0.6,Greater Lawrence Regional Vocational Technical,"          $48,737,892.00",1684.6,"              $28,931.43","          $48,782,100.10",1688.8,"              $28,885.66",2023
Greater Lowell Regional Vocational Technical - Gr Lowell Regional Vocational Technical,8280605,141,509,496,1731,17.8,2296,48.4,50.7,5.9,16.6,46,8280000,7.7,19.9,33.5,35,0.2,0,3.8,Greater Lowell Regional Vocational Technical,"          $59,149,425.50",2262,"              $26,149.17","          $59,248,372.77",2280.2,"              $25,983.85",2023
Greater New Bedford Regional Vocational Technical - Gr New Bedford Vocational Technical,8250605,80,515,499,1930,15.5,2133,48.7,51.2,4.6,11.7,48.9,8250000,9.4,0.7,29.2,54.3,0.3,0.1,6,Greater New Bedford Regional Vocational Technical,"          $59,919,716.87",2050.6,"              $29,220.58","          $59,958,610.23",2057.9,"              $29,135.82",2023
Greenfield - Greenfield High,1140505,18,572,558,318,13.3,448,49.6,50.2,9.8,21,62.1,1140000,4.5,2,23.4,63.6,0,0,6.5,Greenfield,"          $31,484,991.13",1446.3,"              $21,769.34","          $39,514,778.24",1920.9,"              $20,570.97",2023
Groton-Dunstable - Groton Dunstable Regional,6730505,175,600,611,381,16.7,696,49.3,50.3,0.4,14.4,8.5,6730000,1.7,7.6,3,85.2,0.1,0.1,2.2,Groton-Dunstable,"          $46,697,910.00",2346.3,"              $19,902.79","          $50,386,316.37",2445.2,"              $20,606.21",2023
Hadley - Hopkins Academy,1170505,27,570,554,128,12.8,214,44.4,55.6,2.8,14,24.3,1170000,4.2,4.7,13.1,72,0.5,2.3,3.3,Hadley,"          $10,371,911.24",495,"              $20,953.36","          $12,207,365.30",602.8,"              $20,251.10",2023
Hamilton-Wenham - Hamilton-Wenham Regional High,6750505,131,612,589,306,13.3,443,52.6,47.2,0.7,12,9.3,6750000,0.9,4.5,4.3,86.5,0,0.7,3.2,Hamilton-Wenham,"          $36,229,216.24",1651.5,"              $21,937.16","          $40,754,276.85",1717.8,"              $23,724.69",2023
Hampden Charter School of Science East (District) - Hampden Charter School of Science East,4990305,22,521,498,249,18.3,549,46.1,53.7,3.8,16.4,53.2,4990000,26.8,3.8,41.7,23.5,0.6,0.2,3.5,Hampden Charter School of Science East (District),"           $9,075,636.33",543.3,"              $16,704.96","           $9,075,636.33",543.3,"              $16,704.96",2023
Hampden-Wilbraham - Minnechaug Regional High,6800505,183,562,570,486,16.4,981,51,48.9,0.2,13.2,21.6,6800000,4.5,3.3,11.6,75.5,0.1,0,5,Hampden-Wilbraham,"          $52,417,186.00",2880.4,"              $18,197.88","          $56,222,314.12",2978.5,"              $18,876.05",2023
Hampshire - Hampshire Regional High,6830505,34,640,616,586,12.5,691,51.4,47.5,1.2,21.9,19.1,6830000,0.7,1.3,4.8,90,0.1,0,3,Hampshire,"          $14,287,713.74",654.9,"              $21,816.63","          $16,526,209.75",754.6,"              $21,900.62",2023
Hanover - Hanover High,1220505,217,577,551,355,14,676,49.9,50,0.3,18.3,10.8,1220000,1.8,2.4,2.5,92.3,0,0,1,Hanover,"          $44,601,725.19",2598.1,"              $17,167.05","          $48,656,568.00",2675.8,"              $18,183.93",2023
Harvard - Bromfield,1250505,81,639,625,176,13.6,327,53.8,45.9,2.8,12.2,10.7,1250000,1.8,15,4.9,73.4,0,0,4.9,Harvard,"          $22,909,950.01",1023.8,"              $22,377.37","          $26,202,222.01",1080.2,"              $24,256.82",2023
Hatfield - Smith Academy,1270505,12,599,543,168,8.3,128,46.1,53.9,0,25.8,14.8,1270000,0,0.8,1.6,96.1,0,0,1.6,Hatfield,"           $7,521,780.22",349.4,"              $21,527.71","           $8,942,427.84",429,"              $20,844.82",2023
Haverhill - Haverhill High,1280505,151,553,542,931,16.1,2051,48.4,51.4,11.6,20.1,53.1,1280000,6,1.8,42.1,48,0.2,0.2,1.7,Haverhill,"         $149,568,555.40",7875.4,"              $18,991.87","         $167,907,470.60",8564.4,"              $19,605.28",2023
Hingham - Hingham High,1310505,311,620,608,604,13.2,1099,48.7,50.6,0.2,10.5,9,1310000,2.3,3.2,4.7,86.4,0.1,0,3.4,Hingham,"          $75,141,934.14",3785.5,"              $19,849.94","          $80,383,049.07",3858.4,"              $20,833.26",2023
Holbrook - Holbrook Middle High School,1330505,30,529,511,333,16.1,662,45.3,54.4,9.8,17.7,43.4,1330000,28.1,8.2,18.1,38.2,0.5,0,7,Holbrook,"          $22,144,938.91",1325.2,"              $16,710.64","          $25,295,840.04",1420.1,"              $17,812.72",2023
Holliston - Holliston High,1360505,186,612,601,535,14.2,809,48.8,50.1,1.1,15.3,10.6,1360000,1,8.8,8.4,78.1,0.3,0.3,3.2,Holliston,"          $44,578,896.25",2785.5,"              $16,003.91","          $50,579,238.25",2889.1,"              $17,506.92",2023
Holyoke - Holyoke High,1370505,74,491,460,972,18,1507,47.3,52.6,20.6,28.9,80.7,1370000,3.9,0.6,82.2,11.8,0,0,1.5,Holyoke,"         $123,455,882.40",4953.4,"              $24,923.46","         $152,405,764.80",6246.1,"              $24,400.15",2023
Hoosac Valley Regional - Hoosac Valley High School,6030505,22,524,539,223,12.1,297,54.2,45.8,1.7,24.6,54.6,6030000,6.1,0,5.4,86.5,0.3,0,1.7,Hoosac Valley Regional,"          $20,613,324.11",1009.6,"              $20,417.32","          $22,906,627.82",1222.7,"              $18,734.46",2023
Hopedale - Hopedale Jr Sr High,1380505,59,593,580,315,13,459,48.4,51.4,1.3,18.1,21.1,1380000,2,1.5,15,78.4,0.2,0.2,2.6,Hopedale,"          $19,786,726.50",1096.7,"              $18,042.06","          $21,361,045.08",1142.5,"              $18,696.76",2023
Hopkinton - Hopkinton High,1390505,291,621,635,995,18,1240,48,51.5,1.7,13.2,7.8,1390000,0.9,23.2,5.8,65.2,0.3,0,4.6,Hopkinton,"          $69,449,704.80",4191.1,"              $16,570.76","          $73,749,332.12",4245.4,"              $17,371.59",2023
Hudson - Hudson High,1410505,84,553,536,479,14.3,827,52.2,47.5,12.6,17.3,35.1,1410000,3.8,1.6,19.6,72.6,0,0,2.5,Hudson,"          $51,068,061.20",2364.6,"              $21,596.91","          $59,085,130.77",2643,"              $22,355.33",2023
Hull - Hull High,1420505,43,585,551,206,9.6,233,46.4,52.8,3.4,16.3,33.5,1420000,1.3,1.3,4.3,91,0,0,2.2,Hull,"          $22,155,434.07",767.5,"              $28,867.02","          $23,848,122.27",805.3,"              $29,613.96",2023
Innovation Academy Charter (District) - Innovation Academy Charter School,4350305,29,614,612,442,18.3,797,51.8,47.6,2,22.7,29.4,4350000,8.7,8.8,15.8,59.9,0.6,0,6.3,Innovation Academy Charter (District),"          $13,183,598.00",785.6,"              $16,781.78","          $13,183,598.00",785.6,"              $16,781.78",2023
Ipswich - Ipswich High,1440505,105,597,579,355,11.5,482,53.7,46.3,2.3,14.7,16.4,1440000,1.7,2.7,9.1,82.8,0.2,0,3.5,Ipswich,"          $36,122,629.00",1609.6,"              $22,441.99","          $38,120,240.48",1662.8,"              $22,925.33",2023
KIPP Academy Lynn Charter (District) - KIPP Academy Lynn Charter School,4290010,10,500,492,544,23.7,1618,50.9,49.1,15.3,15.6,63.5,4290000,15.1,4,73.4,4.9,0.3,0.1,2.3,KIPP Academy Lynn Charter (District),"          $33,410,627.91",1612.6,"              $20,717.97","          $33,410,627.91",1612.6,"              $20,717.97",2023
King Philip - King Philip Regional High,6900505,299,584,570,562,14.7,1149,48.6,51,1.4,13.6,15.9,6900000,3.3,3.8,5.7,83.5,0.3,0,3.5,King Philip,"          $37,422,330.85",1794.4,"              $20,855.07","          $44,944,928.19",1884.4,"              $23,851.06",2023
Lawrence - Lawrence High School,1490515,414,418,415,1331,22.1,3423,46.9,52.8,47.4,14,82.7,1490000,1.5,1.1,95.2,2.1,0,0,0.1,Lawrence,"         $276,298,638.90",13231.3,"              $20,882.20","         $320,652,225.50",15358.4,"              $20,877.97",2023
Lee - Lee Middle/High School,1500505,35,528,531,233,10.4,303,47.5,52.2,3.6,15.5,40.3,1500000,1,3,11.9,81.2,0.3,0,2.6,Lee,"          $15,037,691.00",660.2,"              $22,777.48","          $16,150,823.27",776.8,"              $20,791.48",2023
Leicester - Leicester High,1510505,47,569,564,261,16.7,413,44.1,55.9,6.3,12.1,37.8,1510000,6.8,2.9,21.3,65.4,0,0,3.6,Leicester,"          $22,707,633.00",1345,"              $16,883.00","          $27,487,465.66",1534.8,"              $17,909.48",2023
Lenox - Lenox Memorial High,1520505,34,642,639,304,12.1,441,47.6,52.2,2.3,9.5,24,1520000,0.7,4.8,9.5,80.5,0,0,4.5,Lenox,"          $17,824,529.77",785.4,"              $22,694.84","          $18,672,511.20",834.9,"              $22,364.97",2023
Leominster - Center For Technical Education Innovation,1530605,29,568,553,155,14.4,851,36.9,63,12.2,21,53.7,1530000,9.3,2.6,42,42.8,0,0.1,3.3,Leominster,"         $102,102,789.40",5959.5,"              $17,132.78","         $112,862,997.10",6365.2,"              $17,731.26",2023
Leominster - Leominster High School,1530505,107,554,544,588,19.7,1766,49,50.7,12.9,19.5,50.6,1530000,9.2,3.6,42.4,41.3,0.1,0.1,3.4,Leominster,"         $102,102,789.40",5959.5,"              $17,132.78","         $112,862,997.10",6365.2,"              $17,731.26",2023
Lexington - Lexington High,1550505,612,659,679,1168,17.9,2346,50.2,49.5,3.9,8,8.1,1550000,4.4,46.1,4.2,38.2,0,0,7,Lexington,"         $163,744,260.50",6867.8,"              $23,842.32","         $175,680,888.30",6980.7,"              $25,166.66",2023
Lincoln-Sudbury - Lincoln-Sudbury Regional High,6950505,387,627,640,1221,17.8,1463,49.2,50.4,0.3,20.2,9.4,6950000,5.3,9.1,7,70.3,0.1,0.2,8.1,Lincoln-Sudbury,"          $33,707,892.00",1457.1,"              $23,133.55","          $39,959,889.76",1522.8,"              $26,241.06",2023
Littleton - Littleton High School,1580505,115,607,597,272,14.4,490,52,48,0.8,13.3,7.8,1580000,2.2,13.9,4.9,76.3,0.2,0.2,2.2,Littleton,"          $28,958,442.80",1691.1,"              $17,124.03","          $33,053,310.70",1793.5,"              $18,429.50",2023
Longmeadow - Longmeadow High,1590505,213,608,603,380,18.5,910,48.5,50.9,0.6,16.2,11.5,1590000,3.4,11.2,8.6,72.8,0,0.3,3.7,Longmeadow,"          $47,905,735.27",2773.1,"              $17,275.16","          $51,961,692.51",2828.6,"              $18,370.11",2023
Lowell - Lowell High,1600505,267,532,535,2291,20.8,3457,46.4,53.3,25.5,14.8,68.2,1600000,8.9,28.7,40.3,18.4,0.1,0.1,3.7,Lowell,"         $294,491,731.40",14252.9,"              $20,661.88","         $343,896,466.10",16780.6,"              $20,493.69",2023
Ludlow - Ludlow Senior High,1610505,98,560,562,375,13.9,752,49.1,50.8,3.1,15.3,32.5,1610000,1.6,0.5,14.4,81.4,0,0,2.1,Ludlow,"          $46,166,582.51",2299.9,"              $20,073.30","          $50,877,261.61",2429.3,"              $20,943.18",2023
Lunenburg - Lunenburg High,1620505,91,576,591,252,13.2,448,47.8,52,1.8,10.3,22.3,1620000,2,1.3,9.6,81.9,0.5,0.7,4,Lunenburg,"          $27,711,810.32",1566.1,"              $17,694.79","          $29,559,471.89",1671.5,"              $17,684.40",2023
Lynn - Classical High,1630505,70,506,502,653,20.6,1844,45.4,54.5,35,16.4,71.6,1630000,7.7,7.2,71,11.7,0.3,0,2.1,Lynn,"         $337,174,263.00",16064.7,"              $20,988.52","         $386,367,148.00",18328.2,"              $21,080.47",2023
Lynn - Lynn English High,1630510,88,517,484,742,20.5,2077,47.1,52.8,39.9,13.3,73.7,1630000,9.7,6.6,74,6.6,0.5,0,2.5,Lynn,"         $337,174,263.00",16064.7,"              $20,988.52","         $386,367,148.00",18328.2,"              $21,080.47",2023
Lynn - Lynn Vocational Technical Institute,1630605,73,472,447,833,18.5,1571,47.2,52.6,17.4,21.3,67.6,1630000,5.8,4.1,75.9,11.4,0.5,0,2.4,Lynn,"         $337,174,263.00",16064.7,"              $20,988.52","         $386,367,148.00",18328.2,"              $21,080.47",2023
Lynnfield - Lynnfield High,1640505,160,574,567,264,15.2,574,50.2,49.8,1.4,18.6,11,1640000,1.7,8.4,9.2,77.7,0,0,3,Lynnfield,"          $40,868,232.90",2203.8,"              $18,544.44","          $43,860,760.06",2245.4,"              $19,533.61",2023
Ma Academy for Math and Science - Ma Academy for Math and Science School,4680505,70,719,758,19,15.5,49,46.9,53.1,0,0,4.1,4680000,4.1,55.1,8.2,32.7,0,0,0,,,,,,,,2023
Malden - Malden High,1650505,401,495,511,836,17.8,1951,50.1,49.8,22.4,15.3,60.4,1650000,22.1,20.3,31.5,22.2,0.2,0,3.8,Malden,"         $116,532,628.00",6270.2,"              $18,585.15","         $136,479,919.20",7052,"              $19,353.36",2023
Manchester Essex Regional - Manchester Essex Regional High School,6980510,105,622,594,271,12.2,397,49.4,50.6,0.5,12.6,12.6,6980000,0,1,2.8,95,0,0,1.3,Manchester Essex Regional,"          $28,383,017.00",1207.6,"              $23,503.66","          $31,163,714.25",1242,"              $25,091.56",2023
Mansfield - Mansfield High,1670505,270,582,574,698,13.2,1044,46,53.7,0.8,11.5,17.4,1670000,6.6,8.1,6,76,0.1,0,3.2,Mansfield,"          $70,066,898.96",3442.8,"              $20,351.72","          $76,024,342.01",3559.6,"              $21,357.55",2023
Marblehead - Marblehead High,1680505,213,592,570,579,14.3,881,48.2,51,2.7,12.2,12.7,1680000,3.4,1.3,8.6,83.5,0.1,0,3.1,Marblehead,"          $54,458,452.00",2621.5,"              $20,773.78","          $60,858,122.91",2769.6,"              $21,973.61",2023
Marlborough - Marlborough High,1700505,153,513,496,662,12.8,1111,45.2,54.6,29.3,12.5,57.3,1700000,6,1.5,63.5,26.1,0.3,0,2.6,Marlborough,"          $88,074,117.84",4805.5,"              $18,327.77","         $103,323,822.80",5533.2,"              $18,673.43",2023
Marshfield - Marshfield High,1710505,257,574,563,545,16.5,1149,50.3,49.6,1.7,17.8,17.1,1710000,1.2,1,4.4,91,0.3,0.1,2.2,Marshfield,"          $66,835,720.43",3766.8,"              $17,743.37","          $71,038,689.80",3876.8,"              $18,324.05",2023
Martha's Vineyard - Martha's Vineyard Regional High,7000505,129,570,550,486,14.2,749,51.3,48.5,14.6,20.6,35.4,7000000,4.3,0.5,24.6,65.3,1.5,0,3.9,Martha's Vineyard,"          $26,118,317.00",747.7,"              $34,931.55","          $29,841,115.91",797.9,"              $37,399.57",2023
Masconomet - Masconomet Regional High School,7050505,278,585,574,539,14.2,967,53.2,46.7,0.4,14.3,8.7,7050000,0.8,3.5,4.2,88.5,0.1,0.1,2.7,Masconomet,"          $36,381,534.00",1532.7,"              $23,736.89","          $41,327,191.43",1611.3,"              $25,648.35",2023
Mashpee - Mashpee Middle-High School,1720505,67,559,536,434,13.4,638,50.6,49.4,4.4,15.4,38.2,1720000,4.9,1.9,9.9,68.5,6,0,8.9,Mashpee,"          $36,204,419.90",1454.9,"              $24,884.47","          $39,333,063.73",1600.4,"              $24,577.02",2023
Match Charter Public School (District) - Match Charter Public School,4690505,64,438,448,358,19.3,1166,49.6,50.3,18.8,24.5,71.3,4690000,49.1,0.3,46.8,1.7,0.2,0.1,1.7,Match Charter Public School (District),"          $33,486,798.00",1172.2,"              $28,567.72","          $33,486,798.00",1172.2,"              $28,567.72",2023
Maynard - Maynard High,1740505,36,601,573,216,12,300,52,46.7,6,18.7,24.3,1740000,2.7,2.3,16.3,75.3,0,0,3.3,Maynard,"          $28,373,081.26",1196.6,"              $23,711.42","          $33,474,111.74",1358.4,"              $24,642.31",2023
Medfield - Medfield Senior High,1750505,205,602,603,390,15.8,701,48.1,51.9,0.4,14.6,6.9,1750000,1.4,3.6,6,84,0.4,0,4.6,Medfield,"          $47,859,556.15",2504.9,"              $19,106.37","          $50,574,780.15",2533.8,"              $19,960.05",2023
