School Name,Tests Taken,Reading / Writing,Writing,Math
Boston Day and Evening Academy Charter (District) - Boston Day and Evening Academy Charter School,       4,,,
Boston Green Academy Horace Mann Charter School (District) - Boston Green Academy Horace Mann Charter School,      48,411,,411
Boston Preparatory Charter Public (District) - Boston Preparatory Charter Public School,      91,428,,424
Bourne - Bourne High School,     124,513,,486
Braintree - Braintree High,     361,573,,578
Bridgewater-Raynham - Bridgewater-Raynham Regional,     180,561,,546
Bridgewater-Raynham - Therapeutic Day School,       1,,,
Bristol County Agricultural - Bristol County Agricultural High,      36,535,,526
Bristol-Plymouth Regional Vocational Technical - Bristol-Plymouth Vocational Technical,      86,531,,507
Brockton - Brockton High,     192,513,,488
Brockton - Brockton Virtual Learning Academy,       2,,,
Brooke Charter School (District) - Brooke Charter School,     125,485,,506
Brookline - Brookline High,     444,647,,661
Burlington - Burlington High,     167,585,,575
Cambridge - Cambridge Rindge and Latin,     374,607,,587
Canton - Canton High,     266,558,,555
Cape Cod Regional Vocational Technical - Cape Cod Region Vocational Technical,      45,508,,474
Carver - Carver Middle/High School,      84,548,,529
Central Berkshire - Wahconah Regional High,      80,535,,535
Chelmsford - Chelmsford High,     275,588,,587
Chelsea - Chelsea High,      64,487,,475
Chicopee - Chicopee Comprehensive High School,      86,541,,533
Chicopee - Chicopee High,      40,531,,500
City on a Hill Charter Public School (District) - City on a Hill Charter Public School,       1,,,
Clinton - Clinton Senior High,      65,535,,492
Codman Academy Charter Public (District) - Codman Academy Charter Public School,      55,415,,393
Cohasset - Cohasset High School,     118,616,,586
Collegiate Charter School of Lowell (District) - Collegiate Charter School of Lowell,       8,,,
Community Charter School of Cambridge (District) - Community Charter School of Cambridge,      49,526,,539
Concord-Carlisle - Concord Carlisle High,     319,644,,647
Danvers - Danvers High,     112,572,,546
Dartmouth - Dartmouth High,     169,564,,544
Dedham - Dedham High,     132,555,,572
Dennis-Yarmouth - Dennis-Yarmouth Regional High,      86,530,,519
Dighton-Rehoboth - Dighton-Rehoboth Regional High School,     112,557,,532
Douglas - Douglas High School,      61,554,,522
Dover-Sherborn - Dover-Sherborn Regional High,     161,644,,647
Dracut - Dracut Senior High,     117,523,,523
Dudley-Charlton Reg - Shepherd Hill Regional High,     136,574,,556
Duxbury - Duxbury High,     242,597,,578
East Bridgewater - East Bridgewater JR./SR. High School,      67,550,,516
East Longmeadow - East Longmeadow High,     111,576,,563
Easthampton - Easthampton High,      32,576,,532
Easton - Oliver Ames High,     221,580,,566
Edward M. Kennedy Academy for Health Careers: A Horace Mann Charter Public School (District) - Edward M. Kennedy Academy for Health Careers: A Horace Mann Charter Public School,     107,423,,407
Essex North Shore Agricultural and Technical School District - Essex North Shore Agricultural and Technical School,     244,533,,510
Everett - Everett High,     270,493,,477
Excel Academy Charter (District) - Excel Academy Charter School,     146,472,,464
Fairhaven - Fairhaven High,     117,546,,542
Fall River - B M C Durfee High,     242,492,,477
Falmouth - Falmouth High,     145,577,,558
Fitchburg - Fitchburg High,     268,459,,444
Fitchburg - Goodrich Academy,       2,,,
Four Rivers Charter Public (District) - Four Rivers Charter Public School,      14,631,,564
Foxborough - Foxborough High,     175,564,,564
Foxborough Regional Charter (District) - Foxborough Regional Charter School,      85,541,,505
Framingham - Framingham High School,     339,572,,573
Francis W. Parker Charter Essential (District) - Francis W. Parker Charter Essential School,      52,606,,564
Franklin - Franklin High,     429,585,,575
Franklin County Regional Vocational Technical - Franklin County Technical,      19,483,,494
Freetown-Lakeville - Apponequet Regional High,     163,573,,557
Frontier - Frontier Regional,      57,619,,595
Gardner - Gardner High,     104,463,,449
Gateway - Gateway Regional High,      21,574,,521
Georgetown - Georgetown High School,      68,553,,543
Gill-Montague - Turners Fall High,      17,606,,582
Global Learning Charter Public (District) - Global Learning Charter Public School,       9,,,
Gloucester - Gloucester High,     103,551,,556
Grafton - Grafton High School,     169,580,,579
Granby - Granby Jr Sr High School,      20,559,,542
Greater Commonwealth Virtual District - Greater Commonwealth Virtual School,      16,542,,524
Greater Fall River Regional Vocational Technical - Diman Regional Vocational Technical High,      59,549,,507
Greater Lawrence Regional Vocational Technical - Gr Lawrence Regional Vocational Technical,      48,475,,460
Greater Lowell Regional Vocational Technical - Gr Lowell Regional Vocational Technical,     141,509,,496
Greater New Bedford Regional Vocational Technical - Gr New Bedford Vocational Technical,      80,515,,499
Greenfield - Greenfield High,      18,572,,558
Groton-Dunstable - Groton Dunstable Regional,     175,600,,611
Hadley - Hopkins Academy,      27,570,,554
Hamilton-Wenham - Hamilton-Wenham Regional High,     131,612,,589
Hampden Charter School of Science East (District) - Hampden Charter School of Science East,      22,521,,498
Hampden Charter School of Science West (District) - Hampden Charter School of Science West,       1,,,
Hampden-Wilbraham - Minnechaug Regional High,     183,562,,570
Hampshire - Hampshire Regional High,      34,640,,616
Hanover - Hanover High,     217,577,,551
Harvard - Bromfield,      81,639,,625
Hatfield - Smith Academy,      12,599,,543
Haverhill - Haverhill High,     151,553,,542
Hingham - Hingham High,     311,620,,608
Holbrook - Holbrook Middle High School,      30,529,,511
Holliston - Holliston High,     186,612,,601
Holyoke - Holyoke High,      74,491,,460
Hoosac Valley Regional - Hoosac Valley High School,      22,524,,539
Hopedale - Hopedale Jr Sr High,      59,593,,580
Hopkinton - Hopkinton High,     291,621,,635
Hudson - Hudson High,      84,553,,536
Hull - Hull High,      43,585,,551
Innovation Academy Charter (District) - Innovation Academy Charter School,      29,614,,612
Ipswich - Ipswich High,     105,597,,579
KIPP Academy Lynn Charter (District) - KIPP Academy Lynn Charter School,      10,500,,492
King Philip - King Philip Regional High,     299,584,,570
Lawrence - Lawrence High School,     414,418,,415
Lee - Lee Middle/High School,      35,528,,531
Leicester - Leicester High,      47,569,,564
Lenox - Lenox Memorial High,      34,642,,639
Leominster - Center For Technical Education Innovation,      29,568,,553
Leominster - Leominster Center for Excellence,       1,,,
Leominster - Leominster High School,     107,554,,544
Lexington - Lexington High,     612,659,,679
Lincoln-Sudbury - Lincoln-Sudbury Regional High,     387,627,,640
Littleton - Littleton High School,     115,607,,597
Longmeadow - Longmeadow High,     213,608,,603
Lowell - Lowell High,     267,532,,535
Ludlow - Ludlow Senior High,      98,560,,562
Lunenburg - Lunenburg High,      91,576,,591
Lynn - Classical High,      70,506,,502
Lynn - Fecteau-Leary Junior/Senior High School,       1,,,
Lynn - Lynn English High,      88,517,,484
Lynn - Lynn Vocational Technical Institute,      73,472,,447
Lynnfield - Lynnfield High,     160,574,,567
Ma Academy for Math and Science - Ma Academy for Math and Science School,      70,719,,758
Malden - Malden High,     401,495,,511
Manchester Essex Regional - Manchester Essex Regional High School,     105,622,,594
Mansfield - Mansfield High,     270,582,,574
Map Academy Charter School (District) - Map Academy Charter School,       2,,,
Marblehead - Marblehead High,     213,592,,570
Marlborough - Marlborough High,     153,513,,496
Marshfield - Marshfield High,     257,574,,563
Martha's Vineyard - Martha's Vineyard Regional High,     129,570,,550
Martha's Vineyard Charter Public School (District) - Martha's Vineyard Charter Public School,       4,,,
Masconomet - Masconomet Regional High School,     278,585,,574
Mashpee - Mashpee Middle-High School,      67,559,,536
Match Charter Public School (District) - Match Charter Public School,      64,438,,448
Maynard - Maynard High,      36,601,,573
Medfield - Medfield Senior High,     205,602,,603
Medford - Medford High,     163,578,,557
Medway - Medway High,     151,576,,564
Melrose - Melrose High,     186,596,,561
Mendon-Upton - Nipmuc Regional High,     137,593,,548
Methuen - Methuen High,     155,547,,538
Middleborough - Middleborough High,     140,553,,541
Milford - Milford High,     143,558,,528
Millbury - Millbury Junior/Senior High,      52,537,,525
Millis - Millis High School,      71,559,,544
Milton - Milton High,     340,587,,571
Minuteman Regional Vocational Technical - Minuteman Regional High,      98,576,,529
Mohawk Trail - Mohawk Trail Regional School,      11,588,,550
Monomoy Regional School District - Monomoy Regional High School,      84,591,,566
Monson - Monson High School,       4,,,
Montachusett Regional Vocational Technical - Montachusett Regional Vocational Technical,      92,564,,542
Mount Greylock - Mt Greylock Regional High,     105,621,,587
Mystic Valley Regional Charter (District) - Mystic Valley Regional Charter School,     105,590,,607
Nantucket - Nantucket High,      77,542,,515
Narragansett - Narragansett Regional High,      17,555,,518
Nashoba - Nashoba Regional,     205,594,,591
Nashoba Valley Regional Vocational Technical - Nashoba Valley Technical High School,      33,539,,506
Natick - Natick High,     350,610,,596
Nauset - Nauset Regional High,     178,553,,525
Needham - Needham High,     379,626,,632
Neighborhood House Charter (District) - Neighborhood House Charter School,     113,440,,435
New Bedford - New Bedford High,     151,502,,469
New Heights Charter School of Brockton (District) - New Heights Charter School of Brockton,       9,,,
Newburyport - Newburyport High,     188,596,,592
Newton - Newton North High,     440,623,,624
Newton - Newton South High,     420,638,,651
Norfolk County Agricultural - Norfolk County Agricultural,      60,555,,510
North Adams - Drury High,      51,467,,439
North Andover - North Andover High,     270,585,,577
North Attleborough - North Attleboro High,     243,574,,567
North Brookfield - North Brookfield High,       6,,,
North Middlesex - North Middlesex Regional,     117,570,,536
North Reading - North Reading High,     141,586,,580
Northampton - Northampton High,     121,643,,599
Northampton-Smith Vocational Agricultural - Smith Vocational and Agricultural High,       9,,,
Northboro-Southboro - Algonquin Regional High,     326,608,,618
Northbridge - Northbridge High,      77,543,,533
Northeast Metropolitan Regional Vocational Technical - Northeast Metro Regional Vocational,     100,495,,474
Northern Berkshire Regional Vocational Technical - Charles McCann Vocational Technical,      46,517,,481
Norton - Norton High,     120,569,,550
Norwell - Norwell High,     201,602,,600
Norwood - Norwood High,     183,568,,554
Old Colony Regional Vocational Technical - Old Colony Regional Vocational Technical,      46,538,,519
Old Rochester - Old Rochester Regional High,     154,571,,560
Oxford - Oxford High,      22,534,,520
Palmer - Palmer High,      27,566,,543
Pathfinder Regional Vocational Technical - Pathfinder Vocational Technical,       6,,,
Paulo Freire Social Justice Charter School (District) - Paulo Freire Social Justice Charter School,      45,392,,384
Peabody - Peabody Personalized Remote Education Program (Peabody P.R.E.P.),       3,,,
Peabody - Peabody Veterans Memorial High,     178,551,,544
Pembroke - Pembroke High School,     137,577,,577
Pentucket - Pentucket Regional Sr High,     115,577,,564
Pioneer Charter School of Science (District) - Pioneer Charter School of Science,      46,543,,568
Pioneer Charter School of Science II (District) - Pioneer Charter School of Science II,      54,566,,623
Pioneer Valley - Pioneer Valley Regional,      28,549,,516
Pioneer Valley Chinese Immersion Charter (District) - Pioneer Valley Chinese Immersion Charter School,      32,644,,621
Pioneer Valley Performing Arts Charter Public (District) - Pioneer Valley Performing Arts Charter Public School,      31,587,,551
Pittsfield - Pittsfield High,      71,557,,524
Pittsfield - Pittsfield Public Virtual Academy,       1,,,
Pittsfield - Taconic High,      37,540,,513
Plymouth - Plymouth North High,     247,540,,515
Plymouth - Plymouth South High,     191,535,,509
Prospect Hill Academy Charter (District) - Prospect Hill Academy Charter School,      42,522,,494
Quabbin - Quabbin Regional High School,      67,561,,546
Quaboag Regional - Quaboag Regional High,      90,521,,489
Quincy - North Quincy High,     383,570,,591
Quincy - Quincy High,     194,564,,563
Ralph C Mahar - Ralph C Mahar Regional,      25,559,,528
Randolph - Randolph High,      45,537,,521
Reading - Reading Memorial High,     323,587,,583
Revere - Revere High,     236,525,,516
Rising Tide Charter Public (District) - Rising Tide Charter Public School,      50,569,,525
Rockland - Rockland Senior High,      77,551,,519
Rockport - Rockport High,      48,584,,574
Roxbury Preparatory Charter (District) - Roxbury Preparatory Charter School,     316,429,,427
Salem - New Liberty Innovation School,       1,,,
Salem - Salem High,     146,466,,460
Salem Academy Charter (District) - Salem Academy Charter School,     129,512,,498
Sandwich - Sandwich Middle High School,     115,569,,557
Saugus - Saugus High,      96,534,,513
Scituate - Scituate High School,     232,571,,552
Seekonk - Seekonk High,      94,572,,553
Sharon - Sharon High,     264,634,,652
Shawsheen Valley Regional Vocational Technical - Shawsheen Valley Vocational Technical High School,     127,527,,506
Shrewsbury - Shrewsbury High School,     458,600,,618
Silver Lake - Silver Lake Regional High,     208,557,,551
Sizer School: A North Central Charter Essential (District) - Sizer School: A North Central Charter Essential School,      12,564,,523
Somerset Berkley Regional School District - Somerset Berkley Regional High School,     170,553,,549
Somerville - Somerville High,     183,577,,567
South Hadley - South Hadley High,      78,567,,564
South Middlesex Regional Vocational Technical - Joseph P Keefe Technical High School,      40,562,,534
South Shore Charter Public (District) - South Shore Charter Public School,      89,524,,500
South Shore Regional Vocational Technical - South Shore Vocational Technical High,      23,546,,521
Southbridge - Southbridge High School,      15,466,,457
Southeastern Regional Vocational Technical - Southeastern Regional Vocational Technical,      88,529,,506
Southern Berkshire - Mt Everett Regional,      26,572,,514
Southern Worcester County Regional Vocational School District - Bay Path Regional Vocational Technical High School,      92,530,,503
Southwick-Tolland-Granville Regional School District - Southwick Regional School,      50,554,,539
Spencer-E Brookfield - David Prouty High,      37,566,,544
Springfield - Conservatory of the Arts,      43,406,,378
Springfield - High School Of Commerce,     293,425,,418
Springfield - John J Duggan Academy,      67,415,,418
Springfield - Roger L. Putnam Vocational Technical Academy,     280,440,,423
Springfield - Springfield Central High,     315,451,,443
Springfield - Springfield High School of Science and Technology,     108,413,,395
Springfield - The Springfield Renaissance School an Expeditionary Learning School,      63,457,,431
Springfield - The Springfield Virtual School,       7,,,
Springfield International Charter (District) - Springfield International Charter School,      18,551,,525
Stoneham - Stoneham High,      98,542,,526
Stoughton - Stoughton High,     148,564,,557
Sturgis Charter Public (District) - Sturgis Charter Public School,     187,598,,577
Sutton - Sutton High School,      67,577,,564
Swampscott - Swampscott High,     141,601,,585
Swansea - Joseph Case High,      77,560,,525
TEC Connections Academy Commonwealth Virtual School District - TEC Connections Academy Commonwealth Virtual School,      67,579,,527
Tantasqua - Tantasqua Regional Sr High,     164,570,,587
Tantasqua - Tantasqua Regional Vocational,      44,521,,533
Taunton - Taunton High,     329,514,,489
Tewksbury - Tewksbury Memorial High,      62,583,,568
Tri-County Regional Vocational Technical - Tri-County Regional Vocational Technical,      74,538,,516
Triton - Triton Regional High School,     113,574,,545
Tyngsborough - Tyngsborough High School,      85,563,,585
Upper Cape Cod Regional Vocational Technical - Upper Cape Cod Vocational Technical,      35,537,,503
Uxbridge - Uxbridge High,      70,540,,535
Wachusett - Wachusett Regional High,     397,575,,565
Wakefield - Wakefield Memorial High,     177,573,,549
Walpole - Walpole High,     242,579,,565
Waltham - Waltham Sr High,     195,550,,538
Ware - Ware Junior/Senior High School,      35,516,,531
Wareham - Wareham Senior High,      32,578,,543
Watertown - Watertown High,     118,561,,574
Wayland - Wayland High School,     207,643,,652
Webster - Bartlett High School,       9,,,
Wellesley - Wellesley Sr High,     330,645,,649
West Boylston - West Boylston Junior/Senior High,      50,563,,526
West Bridgewater - West Bridgewater Junior/Senior,      63,568,,546
West Springfield - West Springfield High,     105,568,,541
Westborough - Westborough High,     310,623,,638
Westfield - Westfield High,      88,557,,538
Westfield - Westfield Technical Academy,      15,527,,505
Westford - Westford Academy,     446,622,,631
Weston - Weston High,     132,656,,672
Westport - Westport Middle-High School,      44,562,,537
Westwood - Westwood High,     278,597,,597
Weymouth - Weymouth High School,     251,547,,528
Whitman-Hanson - Whitman Hanson Regional,     161,558,,537
Whittier Regional Vocational Technical - Whittier Regional Vocational,      47,539,,515
Wilmington - Wilmington High,     146,580,,576
Winchendon - Murdock High School,      36,474,,454
Winchester - Winchester High School,     381,647,,656
Winthrop - Winthrop High School,      80,545,,552
Woburn - Woburn High,     160,562,,550
Worcester - Burncoat Senior High,     222,449,,435
Worcester - Claremont Academy,      59,409,,400
Worcester - Doherty Memorial High,     270,469,,463
Worcester - North High,     221,395,,389
Worcester - South High Community,     342,455,,446
Worcester - University Pk Campus School,      38,444,,439
Worcester - Worcester Technical High,     342,480,,478
