unique_id,year,tract_number,county_name,state_name,Total number of households,Median household income (dollars),Mean household income (dollars)
08005006000,2017,6000,Arapahoe County,Colorado,1360,48111,61651
08005006100,2017,6100,Arapahoe County,Colorado,1480,50833,63958
08005006200,2017,6200,Arapahoe County,Colorado,1297,62578,77800
08005006300,2017,6300,Arapahoe County,Colorado,1136,63667,81238
08005006400,2017,6400,Arapahoe County,Colorado,1289,56976,75170
08005006501,2017,6501,Arapahoe County,Colorado,1211,49279,55050
08005006502,2017,6502,Arapahoe County,Colorado,1464,62755,76291
08005006601,2017,6601,Arapahoe County,Colorado,2548,41835,62929
08005006603,2017,6603,Arapahoe County,Colorado,1412,78790,91302
08005006604,2017,6604,Arapahoe County,Colorado,1935,51156,70557
08005006704,2017,6704,Arapahoe County,Colorado,1510,250001,404561
08005006705,2017,6705,Arapahoe County,Colorado,646,211500,370179
08005006706,2017,6706,Arapahoe County,Colorado,2068,102500,146751
08005006707,2017,6706,Arapahoe County,Colorado,1858,95333,112812
08005006708,2017,6708,Arapahoe County,Colorado,1955,106438,136470
08005006709,2017,6709,Arapahoe County,Colorado,2193,115956,140929
08005006711,2017,6711,Arapahoe County,Colorado,1422,116111,128252
08005006712,2017,6712,Arapahoe County,Colorado,561,164432,286073
08005006713,2017,6713,Arapahoe County,Colorado,830,71750,76836
08005006808,2017,6808,Arapahoe County,Colorado,1887,161250,200810
08005006815,2017,6815,Arapahoe County,Colorado,1817,69087,103078
08005006854,2017,6854,Arapahoe County,Colorado,1259,84821,104315
08005006855,2017,6855,Arapahoe County,Colorado,1924,109000,170931
08005006856,2017,6856,Arapahoe County,Colorado,3289,76305,97004
08005006857,2017,6856,Arapahoe County,Colorado,898,145833,224704
08005006858,2017,6858,Arapahoe County,Colorado,2667,65718,97953
08005007101,2017,7101,Arapahoe County,Colorado,1853,72534,92680
08005007103,2017,7103,Arapahoe County,Colorado,573,106650,116346
08005007104,2017,7104,Arapahoe County,Colorado,1476,93147,102669
08005007105,2017,7105,Arapahoe County,Colorado,1753,85156,107528
08005007106,2017,7106,Arapahoe County,Colorado,1783,115865,118492
08005007107,2017,7106,Arapahoe County,Colorado,2558,123819,138418
08005007201,2017,7201,Arapahoe County,Colorado,1253,33750,47044
08005007202,2017,7202,Arapahoe County,Colorado,1380,35361,46798
08005007301,2017,7301,Arapahoe County,Colorado,906,37092,46699
08005007302,2017,7302,Arapahoe County,Colorado,1685,34068,39224
08005007400,2017,7400,Arapahoe County,Colorado,1583,48239,60623
08005007500,2017,7500,Arapahoe County,Colorado,772,55764,62110
08005007600,2017,7600,Arapahoe County,Colorado,1191,38262,50846
08005007702,2017,7702,Arapahoe County,Colorado,1493,49044,64224
08005007703,2017,7703,Arapahoe County,Colorado,1623,49260,66217
