unique_id,year,tract_number,county_name,state_name,Population 18 to 24 years (estimate),"18-24, less than high school graduate (estimate)","18-24, high school graduate or eq. (estimate)","18-24, some college or associate's degree (estimate)","18-24, bachelor's degree or higher",Population 25 years and over (estimate),"25 and over, less than 9th grade (estimate)","25 and over, 9th to 12th grade, no diploma (estimate)","25 and over, high school graduate or eq. (estimate)","25 and over, some college, no degree (estimate)","25 and over, associate's degree (estimate)","25 and over, bachelor's degree (estimate)","25 and over, graduate or professional degree (estimate)","18-24, less than high school graduate (percentage)","18-24, high school graduate or eq. (percentage)","18-24, some college or associate's degree (percentage)","18-24, bachelor's degree or higher (percentage)","25 and over, less than 9th grade (percentage)","25 and over, 9th to 12th grade, no diploma (percentage)","25 and over, high school graduate or eq. (percentage)","25 and over, some college, no degree (percentage)","25 and over, associate's degree (percentage)","25 and over, bachelor's degree (percentage)","25 and over, graduate or professional degree (percentage)"
08093000300,2017,300,Park County,Colorado,220,41,135,44,0,1946,25,77,578,585,127,391,163,18.6,61.4,20.0,0.0,1.3,4.0,29.7,30.1,6.5,20.1,8.4
08093000400,2017,400,Park County,Colorado,75,0,0,39,36,1424,32,59,438,398,138,251,108,0.0,0.0,52.0,48.0,2.2,4.1,30.8,27.9,9.7,17.6,7.6
08093000500,2017,500,Park County,Colorado,12,0,0,12,0,2248,0,27,754,642,245,403,177,0.0,0.0,100.0,0.0,0.0,1.2,33.5,28.6,10.9,17.9,7.9
08095967600,2017,967600,Phillips County,Colorado,237,55,123,55,4,2027,162,99,665,466,240,276,119,23.2,51.9,23.2,1.7,8.0,4.9,32.8,23.0,11.8,13.6,5.9
08095967700,2017,967700,Phillips County,Colorado,102,18,16,57,11,883,6,44,251,214,133,163,72,17.6,15.7,55.9,10.8,0.7,5.0,28.4,24.2,15.1,18.5,8.2
08097000100,2017,100,Pitkin County,Colorado,643,93,194,276,80,5683,232,107,1069,798,214,2680,583,14.5,30.2,42.9,12.4,4.1,1.9,18.8,14.0,3.8,47.2,10.3
08097000401,2017,401,Pitkin County,Colorado,236,165,16,27,28,3911,21,54,418,702,209,1738,769,69.9,6.8,11.4,11.9,0.5,1.4,10.7,17.9,5.3,44.4,19.7
08097000402,2017,401,Pitkin County,Colorado,269,15,47,39,168,2258,75,131,317,187,171,817,560,5.6,17.5,14.5,62.5,3.3,5.8,14.0,8.3,7.6,36.2,24.8
08097000500,2017,500,Pitkin County,Colorado,140,44,39,43,14,1727,12,7,141,313,86,698,470,31.4,27.9,30.7,10.0,0.7,0.4,8.2,18.1,5.0,40.4,27.2
08099000100,2017,100,Prowers County,Colorado,96,8,23,47,18,970,26,27,247,300,157,167,46,8.3,24.0,49.0,18.8,2.7,2.8,25.5,30.9,16.2,17.2,4.7
08099000200,2017,200,Prowers County,Colorado,322,94,58,134,36,1618,335,296,452,303,146,44,42,29.2,18.0,41.6,11.2,20.7,18.3,27.9,18.7,9.0,2.7,2.6
08099000300,2017,300,Prowers County,Colorado,454,14,127,313,0,2926,89,180,777,976,296,412,196,3.1,28.0,68.9,0.0,3.0,6.2,26.6,33.4,10.1,14.1,6.7
08099000600,2017,600,Prowers County,Colorado,124,21,22,81,0,931,138,70,232,216,124,123,28,16.9,17.7,65.3,0.0,14.8,7.5,24.9,23.2,13.3,13.2,3.0
08099000700,2017,700,Prowers County,Colorado,180,26,33,121,0,1386,152,152,309,428,148,124,73,14.4,18.3,67.2,0.0,11.0,11.0,22.3,30.9,10.7,8.9,5.3
08101000100,2017,100,Pueblo County,Colorado,311,55,117,133,6,1827,22,34,429,558,215,374,195,17.7,37.6,42.8,1.9,1.2,1.9,23.5,30.5,11.8,20.5,10.7
08101000200,2017,200,Pueblo County,Colorado,219,44,98,77,0,1273,118,146,489,324,108,72,16,20.1,44.7,35.2,0.0,9.3,11.5,38.4,25.5,8.5,5.7,1.3
08101000300,2017,300,Pueblo County,Colorado,210,47,158,5,0,1850,244,419,847,164,69,57,50,22.4,75.2,2.4,0.0,13.2,22.6,45.8,8.9,3.7,3.1,2.7
08101000400,2017,400,Pueblo County,Colorado,213,76,109,18,10,1929,153,93,536,585,262,181,119,35.7,51.2,8.5,4.7,7.9,4.8,27.8,30.3,13.6,9.4,6.2
08101000500,2017,500,Pueblo County,Colorado,126,7,23,81,15,1604,130,167,364,388,78,290,187,5.6,18.3,64.3,11.9,8.1,10.4,22.7,24.2,4.9,18.1,11.7
08101000600,2017,600,Pueblo County,Colorado,120,43,19,49,9,1471,186,157,380,359,157,201,31,35.8,15.8,40.8,7.5,12.6,10.7,25.8,24.4,10.7,13.7,2.1
08101000800,2017,800,Pueblo County,Colorado,315,72,119,105,19,1854,136,270,664,424,185,147,28,22.9,37.8,33.3,6.0,7.3,14.6,35.8,22.9,10.0,7.9,1.5
08101000902,2017,902,Pueblo County,Colorado,770,38,338,361,33,4028,154,220,1083,1171,559,547,294,4.9,43.9,46.9,4.3,3.8,5.5,26.9,29.1,13.9,13.6,7.3
08101000903,2017,902,Pueblo County,Colorado,751,0,79,641,31,10,0,0,4,0,0,6,0,0.0,10.5,85.4,4.1,0.0,0.0,40.0,0.0,0.0,60.0,0.0
