School Name,Tests Taken,Reading / Writing,Writing,Math
Boston - Boston Latin School,     586,647,,652
Boston - Brighton High School,      30,425,,422
Boston - Burke High School,     117,411,,409
Boston - Charlestown High School,      59,407,,426
Boston - Community Academy of Science and Health,      88,415,,403
Boston - Dearborn 6-12 STEM Academy,       5,,,
Boston - East Boston High School,     155,428,,426
Boston - English High School,     154,398,,386
Boston - Excel High School,      68,425,,463
Boston - Fenway High School,      23,464,,451
Boston - Greater Egleston High School,       2,,,
Boston - Henderson K-12 Inclusion School Upper,      88,428,,410
Boston - Lyon High School,       7,,,
Boston - Madison Park Technical Vocational High School,      25,415,,392
Boston - Margarita Muniz Academy,      23,425,,420
Boston - New Mission High School,     158,428,,436
Boston - O'Bryant School of Math & Science,     581,526,,549
Boston - Quincy Upper School,      53,462,,447
Boston - Snowden International High School,      30,435,,432
Boston - TechBoston Academy,     161,404,,398
Boston Collegiate Charter (District) - Boston Collegiate Charter School,      85,514,,505
Boston Day and Evening Academy Charter (District) - Boston Day and Evening Academy Charter School,      11,496,,489
Boston Green Academy Horace Mann Charter School (District) - Boston Green Academy Horace Mann Charter School,      82,415,,390
Boston Preparatory Charter Public (District) - Boston Preparatory Charter Public School,      69,437,,444
Bourne - Bourne High School,     130,534,,500
Braintree - Braintree High,     444,562,,568
Bridgewater-Raynham - Bridgewater-Raynham Regional,     273,553,,551
Bristol County Agricultural - Bristol County Agricultural High,      34,550,,519
Bristol-Plymouth Regional Vocational Technical - Bristol-Plymouth Vocational Technical,      99,506,,510
Brockton - Brockton High,     228,509,,500
Brockton - Brockton Virtual Learning Academy,       1,,,
Brooke Charter School (District) - Brooke Charter School,     124,490,,528
Brookline - Brookline High,     416,644,,650
Burlington - Burlington High,     184,584,,575
Cambridge - Cambridge Rindge and Latin,     341,604,,590
Canton - Canton High,     281,565,,569
Cape Cod Regional Vocational Technical - Cape Cod Region Vocational Technical,      20,516,,491
Carver - Carver Middle/High School,      79,543,,528
Central Berkshire - Wahconah Regional High,      65,536,,530
Chelmsford - Chelmsford High,     284,579,,583
Chelsea - Chelsea High,      65,474,,472
Chicopee - Chicopee Academy,       1,,,
Chicopee - Chicopee Comprehensive High School,      72,544,,531
Chicopee - Chicopee High,      48,554,,519
City on a Hill Charter Public School (District) - City on a Hill Charter Public School,       6,,,
Clinton - Clinton Senior High,      44,528,,508
Codman Academy Charter Public (District) - Codman Academy Charter Public School,      39,416,,402
Cohasset - Cohasset High School,     131,604,,577
Collegiate Charter School of Lowell (District) - Collegiate Charter School of Lowell,      15,517,,536
Community Charter School of Cambridge (District) - Community Charter School of Cambridge,      55,497,,493
Concord-Carlisle - Concord Carlisle High,     291,644,,648
Danvers - Danvers High,     123,552,,528
Dartmouth - Dartmouth High,     207,556,,548
Dedham - Dedham High,     167,543,,561
Dennis-Yarmouth - Dennis-Yarmouth Regional High,     106,550,,518
Dighton-Rehoboth - Dighton-Rehoboth Regional High School,     104,557,,540
Douglas - Douglas High School,      59,592,,547
Dover-Sherborn - Dover-Sherborn Regional High,     171,643,,645
Dracut - Dracut Senior High,     157,522,,526
Dudley-Charlton Reg - Shepherd Hill Regional High,     166,563,,559
Duxbury - Duxbury High,     220,597,,580
East Bridgewater - East Bridgewater JR./SR. High School,      89,554,,529
East Longmeadow - East Longmeadow High,     140,582,,573
Easthampton - Easthampton High,      44,559,,536
Easton - Oliver Ames High,     280,568,,566
Edward M. Kennedy Academy for Health Careers (Horace Mann Charter) (District) - Edward M. Kennedy Academy for Health Careers (Horace Mann Charter School),     146,428,,410
Essex North Shore Agricultural and Technical School District - Essex North Shore Agricultural and Technical School,     298,529,,501
Everett - Everett High,     281,495,,474
Excel Academy Charter (District) - Excel Academy Charter School,     165,475,,484
Fairhaven - Fairhaven High,     116,542,,555
Fall River - B M C Durfee High,     163,510,,500
Fall River - Resiliency Preparatory Academy,       1,,,
Falmouth - Falmouth High,     127,592,,573
Fitchburg - Fitchburg High,     239,467,,454
Four Rivers Charter Public (District) - Four Rivers Charter Public School,      25,607,,552
Foxborough - Foxborough High,     186,576,,578
Foxborough Regional Charter (District) - Foxborough Regional Charter School,      80,570,,525
Framingham - Framingham High School,     460,565,,571
Francis W. Parker Charter Essential (District) - Francis W. Parker Charter Essential School,      55,607,,560
Franklin - Franklin High,     508,583,,569
Franklin County Regional Vocational Technical - Franklin County Technical,      10,510,,479
Freetown-Lakeville - Apponequet Regional High,     126,580,,568
Frontier - Frontier Regional,      54,593,,576
Gardner - Gardner Academy for Learning and Technology,       1,,,
Gardner - Gardner High,     100,495,,465
Gateway - Gateway Regional High,      14,595,,549
Georgetown - Georgetown High School,      69,561,,556
Gill-Montague - Turners Fall High,       7,,,
Global Learning Charter Public (District) - Global Learning Charter Public School,      21,492,,520
Gloucester - Gloucester High,      90,558,,552
Grafton - Grafton High School,     215,587,,580
Granby - Granby Jr Sr High School,      35,594,,567
Greater Commonwealth Virtual District - Greater Commonwealth Virtual School,      16,577,,560
Greater Fall River Regional Vocational Technical - Diman Regional Vocational Technical High,      62,525,,504
Greater Lawrence Regional Vocational Technical - Gr Lawrence Regional Vocational Technical,      67,461,,475
Greater Lowell Regional Vocational Technical - Gr Lowell Regional Vocational Technical,     117,508,,497
Greater New Bedford Regional Vocational Technical - Gr New Bedford Vocational Technical,      81,518,,510
Greenfield - Greenfield High,      33,583,,576
Groton-Dunstable - Groton Dunstable Regional,     189,601,,613
Hadley - Hopkins Academy,      33,568,,532
Hamilton-Wenham - Hamilton-Wenham Regional High,     106,614,,598
Hampden Charter School of Science East (District) - Hampden Charter School of Science East,      58,546,,534
Hampden-Wilbraham - Minnechaug Regional High,     188,570,,579
Hampshire - Hampshire Regional High,      46,608,,591
Hanover - Hanover High,     159,567,,544
Harvard - Bromfield,      83,642,,631
Hatfield - Smith Academy,      19,623,,542
Haverhill - Haverhill High,     157,559,,548
Hingham - Hingham High,     344,612,,611
Holbrook - Holbrook Middle High School,      46,545,,529
Holliston - Holliston High,     232,609,,603
Holyoke - Holyoke High,      73,482,,458
Hoosac Valley Regional - Hoosac Valley High School,      39,530,,510
Hopedale - Hopedale Jr Sr High,      57,584,,566
Hopkinton - Hopkinton High,     287,620,,635
Hudson - Hudson High,      94,574,,565
Hull - Hull High,      55,571,,542
Innovation Academy Charter (District) - Innovation Academy Charter School,      29,638,,650
Ipswich - Ipswich High,     126,598,,585
KIPP Academy Lynn Charter (District) - KIPP Academy Lynn Charter School,       6,,,
King Philip - King Philip Regional High,     291,591,,578
Lawrence - Lawrence High School,     415,426,,423
Lee - Lee Middle/High School,      38,543,,514
Leicester - Leicester High,      49,554,,530
Lenox - Lenox Memorial High,      36,585,,569
Leominster - Center For Technical Education Innovation,      58,537,,532
Leominster - Leominster High School,     167,548,,545
Lexington - Lexington High,     677,663,,688
Lincoln-Sudbury - Lincoln-Sudbury Regional High,     381,625,,641
Littleton - Littleton High School,     111,603,,596
Longmeadow - Longmeadow High,     217,611,,606
Lowell - Lowell High,     316,520,,532
Ludlow - Ludlow Senior High,     123,562,,559
Lunenburg - Lunenburg High,      73,582,,582
Lynn - Classical High,     103,513,,507
Lynn - Lynn English High,      86,536,,520
Lynn - Lynn Vocational Technical Institute,      22,469,,450
Lynnfield - Lynnfield High,     167,586,,586
MATCH Charter Public School (District) - MATCH Charter Public School,      62,471,,485
Ma Academy for Math and Science - Ma Academy for Math and Science School,      67,720,,762
Malden - Malden High,     388,503,,520
Manchester Essex Regional - Manchester Essex Regional High School,      94,613,,606
Mansfield - Mansfield High,     258,582,,583
Map Academy Charter School (District) - Map Academy Charter School,       1,,,
Marblehead - Marblehead High,     233,587,,571
Marlborough - Marlborough High,     142,537,,527
Marshfield - Marshfield High,     304,568,,558
Martha's Vineyard - Martha's Vineyard Regional High,     138,561,,537
Martha's Vineyard Charter (District) - Martha's Vineyard Charter School,       3,,,
Masconomet - Masconomet Regional High School,     401,580,,579
Mashpee - Mashpee High,      68,545,,541
Maynard - Maynard High,      73,588,,555
Medfield - Medfield Senior High,     240,596,,599
Medford - Medford High,     182,575,,561
Medway - Medway High,     215,582,,577
Melrose - Melrose High,     230,584,,551
Mendon-Upton - Nipmuc Regional High,     165,587,,558
Methuen - Methuen High,     245,544,,541
Middleborough - Middleborough High,     135,537,,529
Milford - Milford High,     172,547,,526
Millbury - Millbury Junior/Senior High,      69,531,,539
Millis - Millis High School,      78,584,,567
Milton - Milton High,     341,581,,566
Minuteman Regional Vocational Technical - Minuteman Regional High,      86,593,,561
Mohawk Trail - Mohawk Trail Regional School,      17,576,,541
Monomoy Regional School District - Monomoy Regional High School,     107,575,,558
Monson - Monson High School,      13,559,,555
Montachusett Regional Vocational Technical - Montachusett Regional Vocational Technical,     101,565,,540
Mount Greylock - Mt Greylock Regional High,      95,619,,597
Mystic Valley Regional Charter (District) - Mystic Valley Regional Charter School,     101,588,,595
Nantucket - Nantucket High,      86,520,,501
Narragansett - Narragansett Regional High,      23,575,,527
Nashoba - Nashoba Regional,     288,590,,593
Nashoba Valley Regional Vocational Technical - Nashoba Valley Technical High School,      34,541,,516
Natick - Natick High,     373,597,,589
Nauset - Nauset Regional High,     202,582,,556
Needham - Needham High,     368,637,,640
Neighborhood House Charter (District) - Neighborhood House Charter School,      94,433,,441
New Bedford - New Bedford High,     142,511,,478
New Bedford - Whaling City Junior/Senior High School,       2,,,
New Heights Charter School of Brockton (District) - New Heights Charter School of Brockton,      17,483,,496
Newburyport - Newburyport High,     191,587,,574
Newton - Newton North High,     468,622,,627
Newton - Newton South High,     512,636,,648
Norfolk County Agricultural - Norfolk County Agricultural,      81,557,,507
North Adams - Drury High,      60,488,,429
North Andover - North Andover High,     347,578,,568
North Attleborough - North Attleboro High,     237,576,,568
North Brookfield - North Brookfield High,       7,,,
North Middlesex - North Middlesex Regional,     140,547,,531
North Reading - North Reading High,     166,581,,576
Northampton - Northampton High,     179,618,,583
Northampton-Smith Vocational Agricultural - Smith Vocational and Agricultural High,      12,492,,471
Northboro-Southboro - Algonquin Regional High,     343,616,,626
Northbridge - Northbridge High,      83,542,,532
Northeast Metropolitan Regional Vocational Technical - Northeast Metro Regional Vocational,      65,482,,467
Northern Berkshire Regional Vocational Technical - Charles McCann Vocational Technical,      41,535,,493
Norton - Norton High,     119,564,,548
Norwell - Norwell High,     238,602,,574
Norwood - Norwood High,     211,556,,548
Old Colony Regional Vocational Technical - Old Colony Regional Vocational Technical,      31,535,,542
Old Rochester - Old Rochester Regional High,     190,572,,564
Oxford - Oxford High,      41,527,,516
Palmer - Palmer High,      33,545,,531
Pathfinder Regional Vocational Technical - Pathfinder Vocational Technical,      13,527,,524
Paulo Freire Social Justice Charter School (District) - Paulo Freire Social Justice Charter School,      41,412,,399
Peabody - Peabody Personalized Remote Education Program (Peabody P.R.E.P.),       1,,,
Peabody - Peabody Veterans Memorial High,     180,535,,530
Pembroke - Pembroke High School,     211,570,,560
Pentucket - Pentucket Regional Sr High,     151,584,,563
Pioneer Charter School of Science (District) - Pioneer Charter School of Science,      27,558,,598
Pioneer Charter School of Science II (PCSS-II) (District) - Pioneer Charter School of Science II (PCSS-II),      63,566,,617
Pioneer Valley - Pioneer Valley Regional,      34,550,,496
Pioneer Valley Chinese Immersion Charter (District) - Pioneer Valley Chinese Immersion Charter School,      25,648,,632
Pioneer Valley Performing Arts Charter Public (District) - Pioneer Valley Performing Arts Charter Public School,      48,565,,499
Pittsfield - Pittsfield High,      69,572,,547
Pittsfield - Pittsfield Public Virtual Academy,       1,,,
Pittsfield - Taconic High,      47,534,,525
Plymouth - Plymouth North High,     255,542,,522
Plymouth - Plymouth South High,     188,535,,520
Prospect Hill Academy Charter (District) - Prospect Hill Academy Charter School,      64,498,,471
Quabbin - Quabbin Regional High School,      81,563,,558
Quaboag Regional - Quaboag Regional High,      41,587,,555
Quincy - North Quincy High,     381,562,,589
Quincy - Quincy High,     244,563,,550
Ralph C Mahar - Ralph C Mahar Regional,      18,606,,541
Randolph - Randolph High,      42,538,,552
Reading - Reading Memorial High,     379,581,,586
Revere - Revere High,     278,517,,524
Rising Tide Charter Public (District) - Rising Tide Charter Public School,      70,557,,538
Rockland - Rockland Senior High,      92,523,,518
Rockport - Rockport High,      41,580,,570
Roxbury Preparatory Charter (District) - Roxbury Preparatory Charter School,     239,452,,450
Salem - Salem High,     120,494,,468
Salem Academy Charter (District) - Salem Academy Charter School,     129,509,,492
Sandwich - Sandwich High,     130,551,,537
Saugus - Saugus High,      97,539,,513
Scituate - Scituate High School,     255,589,,568
Seekonk - Seekonk High,     112,567,,545
Sharon - Sharon High,     290,643,,661
Shawsheen Valley Regional Vocational Technical - Shawsheen Valley Vocational Technical High School,     123,531,,516
Shrewsbury - Shrewsbury High School,     554,603,,620
Silver Lake - Silver Lake Regional High,     253,566,,562
Sizer School: A North Central Charter Essential (District) - Sizer School: A North Central Charter Essential School,      12,538,,573
Somerset Berkley Regional School District - Somerset Berkley Regional High School,     170,573,,566
Somerville - Somerville High,     155,571,,558
South Hadley - South Hadley High,      93,558,,552
South Middlesex Regional Vocational Technical - Joseph P Keefe Technical High School,      41,533,,509
South Shore Charter Public (District) - South Shore Charter Public School,      92,518,,486
South Shore Regional Vocational Technical - So Shore Vocational Technical High,      40,550,,529
Southbridge - Southbridge High School,       7,,,
Southeastern Regional Vocational Technical - Southeastern Regional Vocational Technical,     107,506,,488
Southern Berkshire - Mt Everett Regional,      44,550,,512
Southern Worcester County Regional Vocational School District - Bay Path Regional Vocational Technical High School,      85,533,,514
Southwick-Tolland-Granville Regional School District - Southwick Regional School,      50,550,,540
Spencer-E Brookfield - David Prouty High,      16,554,,519
Springfield - Conservatory of the Arts,      70,421,,388
Springfield - Gateway to College at Springfield Technical Community College,       2,,,
Springfield - High School Of Commerce,     286,426,,424
Springfield - John J Duggan Middle,      68,453,,444
Springfield - Roger L. Putnam Vocational Technical Academy,     480,418,,423
Springfield - Springfield Central High,     526,441,,433
Springfield - Springfield High School,       1,,,
Springfield - Springfield High School of Science and Technology,     313,393,,381
Springfield - Springfield Public Day High School,       1,,,
Springfield - The Springfield Renaissance School an Expeditionary Learning School,     133,460,,441
Springfield - The Springfield Virtual School,       9,,,
Springfield International Charter (District) - Springfield International Charter School,      26,556,,541
Stoneham - Stoneham High,     123,548,,545
Stoughton - Stoughton High,     152,557,,543
Sturgis Charter Public (District) - Sturgis Charter Public School,     207,596,,577
Sutton - Sutton High School,      89,558,,553
Swampscott - Swampscott High,     160,590,,581
Swansea - Joseph Case High,      58,559,,529
TEC Connections Academy Commonwealth Virtual School District - TEC Connections Academy Commonwealth Virtual School,      61,559,,528
Tantasqua - Tantasqua Regional Sr High,     136,582,,583
Tantasqua - Tantasqua Regional Vocational,      25,553,,548
Taunton - Taunton High,     263,518,,505
Tewksbury - Tewksbury Memorial High,     149,546,,530
Tri-County Regional Vocational Technical - Tri-County Regional Vocational Technical,      81,543,,532
Triton - Triton Regional High School,     138,561,,542
Tyngsborough - Tyngsborough High School,      93,568,,577
Upper Cape Cod Regional Vocational Technical - Upper Cape Cod Vocational Technical,      30,520,,497
Uxbridge - Uxbridge High,      71,564,,547
Wachusett - Wachusett Regional High,     495,581,,572
Wakefield - Wakefield Memorial High,     196,571,,557
Walpole - Walpole High,     282,562,,550
Waltham - Waltham Sr High,     214,543,,534
Ware - Ware Junior/Senior High School,      35,547,,549
Wareham - Wareham Senior High,      48,576,,542
Watertown - Watertown High,     122,572,,575
Wayland - Wayland High School,     193,647,,650
Webster - Bartlett High School,      42,540,,527
Wellesley - Wellesley Sr High,     305,640,,650
West Boylston - West Boylston Junior/Senior High,      57,562,,534
West Bridgewater - West Bridgewater Junior/Senior,      78,570,,553
West Springfield - West Springfield High,      82,569,,549
Westborough - Westborough High,     359,631,,641
Westfield - Westfield High,     123,560,,549
Westfield - Westfield Technical Academy,      17,572,,549
Westford - Westford Academy,     495,613,,621
Weston - Weston High,     133,639,,658
Westport - Westport Middle-High School,      31,550,,538
Westwood - Westwood High,     291,598,,607
Weymouth - Weymouth High School,     251,549,,535
Whitman-Hanson - Whitman Hanson Regional,     186,544,,524
Whittier Regional Vocational Technical - Whittier Regional Vocational,      60,530,,525
Wilmington - Wilmington High,     163,578,,568
Winchendon - Murdock High School,      84,475,,459
Winchester - Winchester High School,     391,638,,651
Winthrop - Winthrop High School,      55,554,,555
Woburn - Woburn High,     178,541,,530
Worcester - Burncoat Senior High,     229,442,,421
Worcester - Claremont Academy,      63,404,,398
Worcester - Doherty Memorial High,     280,468,,467
Worcester - North High,     205,401,,391
Worcester - South High Community,     221,466,,453
Worcester - University Pk Campus School,      35,457,,445
Worcester - Worcester Technical High,     341,480,,469
