unique_id,year,tract_number,county_name,state_name,Total number of households,Median household income (dollars),Mean household income (dollars)
48027021701,2022,21701,Bell County,Texas,2089,92350,195391
48027021702,2022,21702,Bell County,Texas,1755,61475,87309
48027021801,2022,21801,Bell County,Texas,2067,57131,73083
48027021802,2022,21802,Bell County,Texas,1819,111297,154145
48027021901,2022,21901,Bell County,Texas,1578,47051,64862
48027021905,2022,21905,Bell County,Texas,1305,89838,115384
48027021906,2022,21906,Bell County,Texas,1407,105982,114474
48027021907,2022,21907,Bell County,Texas,2137,67292,87232
48027021908,2022,21908,Bell County,Texas,2498,91711,103771
48027022001,2022,22001,Bell County,Texas,1918,38046,54697
48027022002,2022,22002,Bell County,Texas,1836,85000,110794
48027022101,2022,22101,Bell County,Texas,1805,47756,52634
48027022103,2022,22103,Bell County,Texas,1862,64239,97633
48027022104,2022,22104,Bell County,Texas,1870,44247,54758
48027022105,2022,22105,Bell County,Texas,818,49250,58767
48027022200,2022,22200,Bell County,Texas,2289,52186,57540
48027022300,2022,22300,Bell County,Texas,1600,35990,42059
48027022401,2022,22401,Bell County,Texas,2231,49013,64804
48027022402,2022,22402,Bell County,Texas,2404,108966,118550
48027022403,2022,22403,Bell County,Texas,1619,69658,78983
48027022405,2022,22405,Bell County,Texas,1287,52395,64206
48027022406,2022,22406,Bell County,Texas,1739,79701,91016
48027022407,2022,22407,Bell County,Texas,1209,78201,94756
48027022501,2022,22501,Bell County,Texas,1379,43427,52651
48027022503,2022,22503,Bell County,Texas,2111,58809,68311
48027022504,2022,22504,Bell County,Texas,2542,87851,91155
48027022600,2022,22600,Bell County,Texas,2056,34974,40142
48027022801,2022,22801,Bell County,Texas,1142,30994,33855
48027022900,2022,22900,Bell County,Texas,1826,32698,40662
48027023001,2022,23001,Bell County,Texas,1947,70197,90292
48027023002,2022,23002,Bell County,Texas,1464,59113,100955
48027023103,2022,23103,Bell County,Texas,1893,41273,59379
48027023104,2022,23104,Bell County,Texas,1413,42323,50670
48027023109,2022,23109,Bell County,Texas,1243,61984,81487
48027023110,2022,23110,Bell County,Texas,1582,31910,41063
48027023111,2022,23111,Bell County,Texas,1721,67159,100727
48027023112,2022,23112,Bell County,Texas,1598,53829,68799
48027023113,2022,23113,Bell County,Texas,1986,46392,62766
48027023114,2022,23114,Bell County,Texas,1521,50712,67483
48027023115,2022,23115,Bell County,Texas,1560,98455,95520
48027023116,2022,23116,Bell County,Texas,2002,80225,80844
48027023117,2022,23117,Bell County,Texas,1908,63438,68386
48027023118,2022,23118,Bell County,Texas,2204,77991,82710
48027023201,2022,23201,Bell County,Texas,446,65625,88625
48027023202,2022,23202,Bell County,Texas,713,53814,58668
48027023203,2022,23203,Bell County,Texas,607,56385,63147
48027023204,2022,23204,Bell County,Texas,245,56563,61427
48027023301,2022,23301,Bell County,Texas,2021,89351,97469
48027023302,2022,23302,Bell County,Texas,1334,94219,103557
48027023402,2022,23402,Bell County,Texas,1922,80000,93352
48027023404,2022,23404,Bell County,Texas,1845,87292,122568
48027023405,2022,23405,Bell County,Texas,1135,101050,133233
48027023406,2022,23406,Bell County,Texas,1468,94167,108647
48027023500,2022,23500,Bell County,Texas,750,21216,33131
48027980001,2022,980001,Bell County,Texas,0,-666666666,-666666666
48027980002,2022,980002,Bell County,Texas,0,-666666666,-666666666
48027980003,2022,980003,Bell County,Texas,0,-666666666,-666666666
48029110100,2022,110100,Bexar County,Texas,2258,40069,62544
48029110300,2022,110300,Bexar County,Texas,1290,51757,56811
48029110500,2022,110500,Bexar County,Texas,985,16607,27969
48029110600,2022,110600,Bexar County,Texas,1447,20599,27774
48029110700,2022,110700,Bexar County,Texas,467,18993,36140
48029111000,2022,111000,Bexar County,Texas,1238,52586,63550
48029111100,2022,111100,Bexar County,Texas,2301,67525,101690
48029120100,2022,120100,Bexar County,Texas,967,85903,99426
