District Name,School Name,SCHOOL LEA,N,Math Avg,Math % Met,English Avg,English % Met,Reading Avg,Reading % Met,Science Avg,Science % Met,All % Met,state_name_x,latitude,longitude,address,zip_code,county_name_x,city_name,county_code,Street Address,Tract,unique_id,year,tract_number,county_name_y,state_name_y,Population 18 to 24 years (estimate),"18-24, less than high school graduate (estimate)","18-24, high school graduate or eq. (estimate)","18-24, some college or associate's degree (estimate)","18-24, bachelor's degree or higher",Population 25 years and over (estimate),"25 and over, less than 9th grade (estimate)","25 and over, 9th to 12th grade, no diploma (estimate)","25 and over, high school graduate or eq. (estimate)","25 and over, some college, no degree (estimate)","25 and over, associate's degree (estimate)","25 and over, bachelor's degree (estimate)","25 and over, graduate or professional degree (estimate)","18-24, less than high school graduate (percentage)","18-24, high school graduate or eq. (percentage)","18-24, some college or associate's degree (percentage)","18-24, bachelor's degree or higher (percentage)","25 and over, less than 9th grade (percentage)","25 and over, 9th to 12th grade, no diploma (percentage)","25 and over, high school graduate or eq. (percentage)","25 and over, some college, no degree (percentage)","25 and over, associate's degree (percentage)","25 and over, bachelor's degree (percentage)","25 and over, graduate or professional degree (percentage)",Total number of households,Median household income (dollars),Mean household income (dollars),Total population,Hispanic or Latino (estimate),Hispanic or Latino (percentage),Not Hispanic or Latino (estimate),Not Hispanic or Latino (percentage),White alone (estimate),White alone (percentage),Black or African American alone (estimate),Black or African American alone (percentage),American Indian and Alaska Native alone (estimate),American Indian and Alaska Native alone (percentage),Asian alone (estimate),Asian alone (percentage),Native Hawaiian and Other Pacific Islander alone (estimate),Native Hawaiian and Other Pacific Islander alone (percentage),Some other race alone (estimate),Some other race alone (percentage),Two or more races alone (estimate),Two or more races alone (percentage),Math Scores,RW Scores
HARRISON SCHOOL DISTRICT,HARRISON HIGH SCHOOL CONVERSION CHARTER,503703,190,19.2,26.80%,19.7,61.10%,20.2,40.00%,20.3,31.10%,17.40%,Arkansas,36.2394152,-93.1333448,925 Goblin Drive,72601,Boone County,Harrison,5009,"925 Goblin Drive, Harrison, Arkansas, 72601",790501,5009790501,2019,790501,Boone County,Arkansas,402,134,121,118,29,2959,126,161,1102,614,334,391,231,33.3,30.1,29.4,7.2,4.3,5.4,37.2,20.8,11.3,13.2,7.8,1736,52500,61238,4255,39,0.9,4216,99.1,4003,94.1,8,0.2,0,0,89,2.1,0,0,0,0,116,2.7,19.2,20.2
OMAHA SCHOOL DISTRICT,OMAHA HIGH SCHOOL,504023,29,18.7,24.10%,18.2,51.70%,19,27.60%,19.3,27.60%,13.80%,Arkansas,36.4484634,-93.1959457,522 College Road West,72662,Boone County,Omaha,5009,"522 College Road West, Omaha, Arkansas, 72662",790100,5009790100,2019,790100,Boone County,Arkansas,531,44,279,208,0,4491,108,380,1527,1241,361,587,287,8.3,52.5,39.2,0,2.4,8.5,34,27.6,8,13.1,6.4,2443,51325,66166,6601,213,3.2,6388,96.8,6185,93.7,20,0.3,55,0.8,54,0.8,0,0,0,0,74,1.1,18.7,19
VALLEY SPRINGS SCHOOL DISTRICT,VALLEY SPRINGS HIGH SCHOOL,505027,60,19,31.70%,20.3,60.00%,19.7,38.30%,19.9,25.00%,16.70%,Arkansas,36.1595918,-93.0375914,,N/A,Boone County,N/A,5009,,790300,5009790300,2019,790300,Boone County,Arkansas,367,39,149,166,13,3733,164,275,1299,1088,359,301,247,10.6,40.6,45.2,3.5,4.4,7.4,34.8,29.1,9.6,8.1,6.6,2106,52056,63213,5588,87,1.6,5501,98.4,5401,96.7,8,0.1,41,0.7,5,0.1,0,0,2,0,44,0.8,19,19.7
LEAD HILL SCHOOL DISTRICT,LEAD HILL HIGH SCHOOL,506032,23,18.6,21.70%,17.3,52.20%,21,47.80%,20.2,26.10%,8.70%,Arkansas,36.4050121,-92.9089864,6967 Milum Road,72644,Boone County,Lead Hill,5009,"6967 Milum Road, Lead Hill, Arkansas, 72644",790200,5009790200,2019,790200,Boone County,Arkansas,362,158,70,134,0,4413,229,319,1503,1294,586,329,153,43.6,19.3,37,0,5.2,7.2,34.1,29.3,13.3,7.5,3.5,2477,43173,61191,6186,191,3.1,5995,96.9,5826,94.2,44,0.7,21,0.3,13,0.2,0,0,0,0,91,1.5,18.6,21
HERMITAGE SCHOOL DISTRICT,HERMITAGE HIGH SCHOOL,601007,32,17,9.40%,17.6,43.80%,18.3,31.30%,17.8,9.40%,3.10%,Arkansas,33.4519677,-92.1703737,,71647,Bradley County,Hermitage,5011,,950500,5011950500,2019,950500,Bradley County,Arkansas,239,125,78,36,0,1734,140,170,712,330,147,157,78,52.3,32.6,15.1,0,8.1,9.8,41.1,19,8.5,9.1,4.5,1130,45084,60147,2886,437,15.1,2449,84.9,1877,65,540,18.7,0,0,0,0,0,0,32,1.1,0,0,17,18.3
WARREN SCHOOL DISTRICT,WARREN HIGH SCHOOL DISTRICT CONVERSION CHARTER,602703,101,16.5,8.90%,15.3,26.70%,17.2,17.80%,16.5,6.90%,4.00%,Arkansas,33.6431187,-92.1843285,,N/A,Bradley County,N/A,5011,,950200,5011950200,2019,950200,Bradley County,Arkansas,129,15,49,65,0,1133,18,78,534,229,39,200,35,11.6,38,50.4,0,1.6,6.9,47.1,20.2,3.4,17.7,3.1,684,45991,54839,1777,0,0,1777,100,1044,58.8,586,33,0,0,0,0,0,0,0,0,147,8.3,16.5,17.2
HAMPTON SCHOOL DISTRICT,HAMPTON HIGH SCHOOL,701002,42,16.5,11.90%,15.1,23.80%,15.5,9.50%,16.5,7.10%,4.80%,Arkansas,33.5367924,-92.4638249,419 Main,71744,Calhoun County,Hampton,5013,"419 Main, Hampton, Arkansas, 71744",480100,5013480100,2019,480100,Calhoun County,Arkansas,211,0,69,123,19,1876,44,311,949,313,126,32,101,0,32.7,58.3,9,2.3,16.6,50.6,16.7,6.7,1.7,5.4,876,50965,58640,2451,23,0.9,2428,99.1,1737,70.9,629,25.7,0,0,0,0,15,0.6,8,0.3,39,1.6,16.5,15.5
BERRYVILLE SCHOOL DISTRICT,BERRYVILLE HIGH SCHOOL,801002,137,18.7,28.50%,17.9,45.30%,18.5,28.50%,19.3,25.50%,14.60%,Arkansas,36.3699834,-93.5773979,602 West College Avenue,72616,Carroll County,Berryville,5015,"602 West College Avenue, Berryville, Arkansas, 72616",950301,5015950301,2019,950301,Carroll County,Arkansas,322,165,129,28,0,2523,379,111,547,778,75,438,195,51.2,40.1,8.7,0,15,4.4,21.7,30.8,3,17.4,7.7,1453,55014,79362,3748,1343,35.8,2405,64.2,2193,58.5,0,0,0,0,0,0,0,0,0,0,212,5.7,18.7,18.5
EUREKA SPRINGS SCHOOL DISTRICT,EUREKA SPRINGS HIGH SCHOOL,802007,43,21.3,46.50%,22.1,74.40%,22.2,53.50%,22.1,48.80%,30.20%,Arkansas,36.3812141,-93.7346801,2 Lake Lucerne Road,72632,Carroll County,Eureka Springs,5015,"2 Lake Lucerne Road, Eureka Springs, Arkansas, 72632",950100,5015950100,2019,950100,Carroll County,Arkansas,162,9,26,98,29,2331,74,155,637,554,123,558,230,5.6,16,60.5,17.9,3.2,6.6,27.3,23.8,5.3,23.9,9.9,1345,36042,57017,3004,162,5.4,2842,94.6,2641,87.9,11,0.4,112,3.7,42,1.4,0,0,23,0.8,13,0.4,21.3,22.2
GREEN FOREST SCHOOL DISTRICT,GREEN FOREST HIGH SCHOOL,803012,98,17.9,21.40%,16.2,28.60%,17.8,18.40%,17.8,11.20%,5.10%,Arkansas,36.3293203,-93.4345152,800 Tommy Ratzlaff Avenue,72638,Carroll County,Green Forest,5015,"800 Tommy Ratzlaff Avenue, Green Forest, Arkansas, 72638",950502,5015950502,2019,950502,Carroll County,Arkansas,532,104,265,88,75,2765,450,383,1078,426,125,257,46,19.5,49.8,16.5,14.1,16.3,13.9,39,15.4,4.5,9.3,1.7,1471,39267,52983,4570,1588,34.7,2982,65.3,2824,61.8,0,0,28,0.6,35,0.8,61,1.3,0,0,34,0.7,17.9,17.8
