District Name,School Name,SCHOOL LEA,N,Math Avg,Math % Met,English Avg,English % Met,Reading Avg,Reading % Met,Science Avg,Science % Met,All % Met,state_name_x,latitude,longitude,address,zip_code,county_name_x,city_name,county_code,Street Address,Tract,unique_id,year,tract_number,county_name_y,state_name_y,Population 18 to 24 years (estimate),"18-24, less than high school graduate (estimate)","18-24, high school graduate or eq. (estimate)","18-24, some college or associate's degree (estimate)","18-24, bachelor's degree or higher",Population 25 years and over (estimate),"25 and over, less than 9th grade (estimate)","25 and over, 9th to 12th grade, no diploma (estimate)","25 and over, high school graduate or eq. (estimate)","25 and over, some college, no degree (estimate)","25 and over, associate's degree (estimate)","25 and over, bachelor's degree (estimate)","25 and over, graduate or professional degree (estimate)","18-24, less than high school graduate (percentage)","18-24, high school graduate or eq. (percentage)","18-24, some college or associate's degree (percentage)","18-24, bachelor's degree or higher (percentage)","25 and over, less than 9th grade (percentage)","25 and over, 9th to 12th grade, no diploma (percentage)","25 and over, high school graduate or eq. (percentage)","25 and over, some college, no degree (percentage)","25 and over, associate's degree (percentage)","25 and over, bachelor's degree (percentage)","25 and over, graduate or professional degree (percentage)",Total number of households,Median household income (dollars),Mean household income (dollars),Total population,Hispanic or Latino (estimate),Hispanic or Latino (percentage),Not Hispanic or Latino (estimate),Not Hispanic or Latino (percentage),White alone (estimate),White alone (percentage),Black or African American alone (estimate),Black or African American alone (percentage),American Indian and Alaska Native alone (estimate),American Indian and Alaska Native alone (percentage),Asian alone (estimate),Asian alone (percentage),Native Hawaiian and Other Pacific Islander alone (estimate),Native Hawaiian and Other Pacific Islander alone (percentage),Some other race alone (estimate),Some other race alone (percentage),Two or more races alone (estimate),Two or more races alone (percentage),Math Scores,RW Scores
MCGEHEE SCHOOL DISTRICT,MCGEHEE HIGH SCHOOL,2105028,71,17.8,18.30%,18.4,47.90%,18.9,35.20%,18.4,23.90%,12.70%,Arkansas,33.6455327,-91.3840798,1902 East Ash Street,71654,Desha County,McGehee,5041,"1902 East Ash Street, McGehee, Arkansas, 71654",950500,5041950500,2019,950500,Desha County,Arkansas,111,11,27,50,23,1112,44,78,553,186,28,184,39,9.9,24.3,45,20.7,4,7,49.7,16.7,2.5,16.5,3.5,723,30729,44617,1649,97,5.9,1552,94.1,1076,65.3,431,26.1,0,0,0,0,0,0,0,0,45,2.7,17.8,18.9
DREW CENTRAL SCHOOL DISTRICT,DREW CENTRAL HIGH SCHOOL,2202005,73,16.9,12.30%,16,35.60%,17.4,23.30%,17.4,13.70%,5.50%,Arkansas,33.5912894,-91.807627,250 University Drive,71655,Drew County,Monticello,5043,"250 University Drive, Monticello, Arkansas, 71655",490300,5043490300,2019,490300,Drew County,Arkansas,1758,52,319,1223,164,3716,94,202,1181,702,214,789,534,3,18.1,69.6,9.3,2.5,5.4,31.8,18.9,5.8,21.2,14.4,2397,50404,59569,6595,180,2.7,6415,97.3,4345,65.9,2002,30.4,0,0,0,0,0,0,0,0,68,1,16.9,17.4
MONTICELLO SCHOOL DISTRICT,MONTICELLO HIGH SCHOOL,2203012,144,18.4,24.30%,17.2,38.20%,18.2,25.70%,18.2,20.10%,15.30%,Arkansas,33.6116737,-91.8117934,390 Clyde Ross Drive,71655,Drew County,Monticello,5043,"390 Clyde Ross Drive, Monticello, Arkansas, 71655",490300,5043490300,2019,490300,Drew County,Arkansas,1758,52,319,1223,164,3716,94,202,1181,702,214,789,534,3,18.1,69.6,9.3,2.5,5.4,31.8,18.9,5.8,21.2,14.4,2397,50404,59569,6595,180,2.7,6415,97.3,4345,65.9,2002,30.4,0,0,0,0,0,0,0,0,68,1,18.4,18.2
CONWAY SCHOOL DISTRICT,CONWAY HIGH SCHOOL,2301006,657,19.5,34.20%,19.6,56.30%,20.2,37.90%,19.9,32.90%,23.40%,Arkansas,35.0588005,-92.4208713,,N/A,Faulkner County,N/A,5045,,31006,5045031006,2019,31006,Faulkner County,Arkansas,445,5,48,233,159,2756,27,17,764,603,154,842,349,1.1,10.8,52.4,35.7,1,0.6,27.7,21.9,5.6,30.6,12.7,1704,57406,64433,3971,65,1.6,3906,98.4,2693,67.8,1082,27.2,0,0,47,1.2,0,0,0,0,84,2.1,19.5,20.2
GREENBRIER SCHOOL DISTRICT,GREENBRIER HIGH SCHOOL,2303017,250,21.3,50.40%,21.4,74.80%,20.7,46.80%,21.5,44.80%,33.60%,Arkansas,35.22303,-92.4041571,72 Green Valley Drive,72058,Faulkner County,Greenbrier,5045,"72 Green Valley Drive, Greenbrier, Arkansas, 72058",30104,5045030104,2019,30104,Faulkner County,Arkansas,498,12,152,318,16,3246,156,144,1176,733,143,633,261,2.4,30.5,63.9,3.2,4.8,4.4,36.2,22.6,4.4,19.5,8,1755,69844,83424,5174,66,1.3,5108,98.7,4959,95.8,47,0.9,0,0,0,0,9,0.2,0,0,93,1.8,21.3,20.7
GUY-PERKINS SCHOOL DISTRICT,GUY-PERKINS HIGH SCHOOL,2304022,30,17.3,16.70%,18.7,56.70%,18.4,30.00%,17.5,10.00%,3.30%,Arkansas,35.3235473,-92.3249893,492 Arkansas 25,72061,Faulkner County,Guy,5045,"492 Arkansas 25, Guy, Arkansas, 72061",30101,5045030101,2019,30101,Faulkner County,Arkansas,197,51,55,89,2,1828,40,120,815,391,140,206,116,25.9,27.9,45.2,1,2.2,6.6,44.6,21.4,7.7,11.3,6.3,959,61186,87408,2636,18,0.7,2618,99.3,2336,88.6,242,9.2,3,0.1,24,0.9,0,0,0,0,13,0.5,17.3,18.4
MAYFLOWER SCHOOL DISTRICT,MAYFLOWER HIGH SCHOOL,2305026,86,17.2,12.80%,16.7,44.20%,17.5,24.40%,17.5,3.50%,2.30%,Arkansas,34.9572533,-92.4444232,10 Leslie King N,72106,Faulkner County,Mayflower,5045,"10 Leslie King N, Mayflower, Arkansas, 72106",31102,5045031102,2019,31102,Faulkner County,Arkansas,465,67,170,153,75,3636,333,302,1200,622,227,699,253,14.4,36.6,32.9,16.1,9.2,8.3,33,17.1,6.2,19.2,7,1761,47301,66847,5245,173,3.3,5072,96.7,4306,82.1,405,7.7,49,0.9,16,0.3,158,3,0,0,138,2.6,17.2,17.5
MT. VERNON/ENOLA SCHOOL DISTRICT,MT. VERNON/ENOLA HIGH SCHOOL,2306030,26,21.5,53.80%,21.2,80.80%,20.8,38.50%,20.7,38.50%,23.10%,Arkansas,35.2262159,-92.1315399,38 Garland Springs Road,72111,Faulkner County,Mount Vernon,5045,"38 Garland Springs Road, Mount Vernon, Arkansas, 72111",30202,5045030202,2019,30202,Faulkner County,Arkansas,119,20,32,33,34,1780,202,242,675,257,146,150,108,16.8,26.9,27.7,28.6,11.3,13.6,37.9,14.4,8.2,8.4,6.1,1081,39497,50931,2310,39,1.7,2271,98.3,2267,98.1,0,0,3,0.1,0,0,0,0,1,0,0,0,21.5,20.8
VILONIA SCHOOL DISTRICT,VILONIA HIGH SCHOOL,2307034,243,18.2,20.20%,18.6,53.90%,19.2,33.70%,19,21.40%,10.70%,Arkansas,35.08546,-92.1944196,1164 Main Street,72173,Faulkner County,Vilonia,5045,"1164 Main Street, Vilonia, Arkansas, 72173",30302,5045030302,2019,30302,Faulkner County,Arkansas,519,21,65,370,63,4167,59,318,1183,1089,537,689,292,4,12.5,71.3,12.1,1.4,7.6,28.4,26.1,12.9,16.5,7,1997,67396,75885,6308,34,0.5,6274,99.5,6180,98,40,0.6,13,0.2,0,0,0,0,0,0,41,0.6,18.2,19.2
CHARLESTON SCHOOL DISTRICT,CHARLESTON HIGH SCHOOL,2402007,74,19.4,33.80%,20.6,67.60%,20.8,43.20%,20.6,33.80%,14.90%,Arkansas,35.2941544,-94.046352,305 Dale Bumpers Drive,72933,Franklin County,Charleston,5047,"305 Dale Bumpers Drive, Charleston, Arkansas, 72933",950302,5047950302,2019,950302,Franklin County,Arkansas,279,11,129,99,40,1883,43,153,723,477,184,241,62,3.9,46.2,35.5,14.3,2.3,8.1,38.4,25.3,9.8,12.8,3.3,999,46055,60049,2944,66,2.2,2878,97.8,2734,92.9,23,0.8,11,0.4,2,0.1,0,0,0,0,108,3.7,19.4,20.8
COUNTY LINE SCHOOL DISTRICT,COUNTY LINE HIGH SCHOOL,2403012,30,19.4,33.30%,20.4,60.00%,20.8,40.00%,20.4,36.70%,23.30%,Arkansas,35.307318,-93.9167499,Arkansas 22,72928,Logan County,Branch,5083,"Arkansas 22, Branch, Arkansas, 72928",950200,5083950200,2019,950200,Logan County,Arkansas,341,21,129,150,41,2308,116,254,873,521,170,274,100,6.2,37.8,44,12,5,11,37.8,22.6,7.4,11.9,4.3,1279,49606,63022,3575,68,1.9,3507,98.1,2859,80,89,2.5,4,0.1,136,3.8,0,0,0,0,419,11.7,19.4,20.8
OZARK SCHOOL DISTRICT,OZARK HIGH SCHOOL,2404017,125,19.2,35.20%,19,52.80%,19.1,32.00%,19.1,24.80%,19.20%,Arkansas,35.5034108,-93.8644446,1631 Hillbilly Drive,72949,Franklin County,Ozark,5047,"1631 Hillbilly Drive, Ozark, Arkansas, 72949",950202,5047950202,2019,950202,Franklin County,Arkansas,277,25,106,138,8,2384,98,269,1058,614,114,156,75,9,38.3,49.8,2.9,4.1,11.3,44.4,25.8,4.8,6.5,3.1,1389,27321,32428,3532,21,0.6,3511,99.4,3459,97.9,48,1.4,0,0,0,0,0,0,0,0,4,0.1,19.2,19.1
MAMMOTH SPRING SCHOOL DISTRICT,MAMMOTH SPRING HIGH SCHOOL,2501002,24,17.9,29.20%,17,33.30%,18.6,33.30%,18.8,29.20%,25.00%,Arkansas,36.490791,-91.5418359,410 Goldsmith Avenue,72554,Fulton County,Mammoth Spring,5049,"410 Goldsmith Avenue, Mammoth Spring, Arkansas, 72554",550102,5049550102,2019,550102,Fulton County,Arkansas,103,31,56,16,0,1554,21,136,519,586,111,77,104,30.1,54.4,15.5,0,1.4,8.8,33.4,37.7,7.1,5,6.7,901,43607,52365,2066,0,0,2066,100,1954,94.6,0,0,38,1.8,0,0,0,0,0,0,74,3.6,17.9,18.6
SALEM SCHOOL DISTRICT,SALEM HIGH SCHOOL,2502006,61,19.4,36.10%,19.9,59.00%,19.3,34.40%,19,26.20%,19.70%,Arkansas,36.3593264,-91.8166092,313 U.S. 62,72576,Fulton County,Salem,5049,"313 U.S. 62, Salem, Arkansas, 72576",550201,5049550201,2019,550201,Fulton County,Arkansas,255,27,79,145,4,2159,118,144,753,635,153,263,93,10.6,31,56.9,1.6,5.5,6.7,34.9,29.4,7.1,12.2,4.3,1303,31115,44225,2899,32,1.1,2867,98.9,2792,96.3,13,0.4,0,0,1,0,0,0,0,0,61,2.1,19.4,19.3
VIOLA SCHOOL DISTRICT,VIOLA HIGH SCHOOL,2503010,28,16.1,7.10%,16.4,32.10%,17.8,10.70%,18,7.10%,0.00%,Arkansas,36.3959776,-91.9864296,314 Longhorn Drive,72583,Fulton County,Viola,5049,"314 Longhorn Drive, Viola, Arkansas, 72583",550202,5049550202,2019,550202,Fulton County,Arkansas,319,32,160,124,3,2622,219,252,1002,567,259,155,168,10,50.2,38.9,0.9,8.4,9.6,38.2,21.6,9.9,5.9,6.4,1372,37117,55524,4014,0,0,4014,100,3943,98.2,24,0.6,0,0,0,0,0,0,0,0,47,1.2,16.1,17.8
CUTTER-MORNING STAR SCHOOL DISTRICT,CUTTER-MORNING STAR HIGH SCH.,2601002,24,18.3,16.70%,17.4,50.00%,19.9,37.50%,19.2,16.70%,4.20%,Arkansas,34.5031471,-92.9905242,2801 Spring Street,71901,Garland County,Hot Springs,5051,"2801 Spring Street, Hot Springs, Arkansas, 71901",11601,5051011601,2019,11601,Garland County,Arkansas,307,39,110,140,18,3263,137,90,951,667,288,628,502,12.7,35.8,45.6,5.9,4.2,2.8,29.1,20.4,8.8,19.2,15.4,1898,65027,76243,4514,108,2.4,4406,97.6,3957,87.7,120,2.7,0,0,224,5,0,0,12,0.3,93,2.1,18.3,19.9
FOUNTAIN LAKE SCHOOL DISTRICT,FOUNTAIN LAKE CHARTER HIGH SCHOOL,2602703,99,19.1,29.30%,18.9,52.50%,19.5,31.30%,19,21.20%,14.10%,Arkansas,34.605212,-92.9775558,,N/A,Garland County,N/A,5051,,10401,5051010401,2019,10401,Garland County,Arkansas,226,37,80,109,0,3060,80,328,833,745,116,622,336,16.4,35.4,48.2,0,2.6,10.7,27.2,24.3,3.8,20.3,11,1767,55031,61912,3768,42,1.1,3726,98.9,3567,94.7,0,0,0,0,56,1.5,0,0,0,0,103,2.7,19.1,19.5
HOT SPRINGS SCHOOL DISTRICT,HOT SPRINGS WORLD CLASS HIGH SCHOOL,2603703,202,16.5,11.40%,16.3,34.20%,17.3,17.30%,17.1,12.90%,6.40%,Arkansas,34.4754828,-93.0699854,701 Emory Street,71913,Garland County,Hot Springs,5051,"701 Emory Street, Hot Springs, Arkansas, 71913",11300,5051011300,2019,11300,Garland County,Arkansas,554,64,282,155,53,3459,130,320,1016,911,281,568,233,11.6,50.9,28,9.6,3.8,9.3,29.4,26.3,8.1,16.4,6.7,1971,38158,51445,5150,705,13.7,4445,86.3,3141,61,1175,22.8,0,0,20,0.4,0,0,16,0.3,93,1.8,16.5,17.3
JESSIEVILLE SCHOOL DISTRICT,JESSIEVILLE HIGH SCHOOL,2604030,56,17.9,19.60%,17.2,46.40%,17.4,23.20%,18.8,23.20%,10.70%,Arkansas,34.6998624,-93.0618054,7900 North Highway 7,71949,Garland County,Hot Springs Village,5051,"7900 North Highway 7, Hot Springs Village, Arkansas, 71949",12001,5051012001,2019,12001,Garland County,Arkansas,231,64,61,106,0,3523,42,136,1065,928,394,504,454,27.7,26.4,45.9,0,1.2,3.9,30.2,26.3,11.2,14.3,12.9,2081,42476,51636,4319,0,0,4319,100,4128,95.6,67,1.6,49,1.1,0,0,0,0,0,0,75,1.7,17.9,17.4
LAKE HAMILTON SCHOOL DISTRICT,LAKE HAMILTON HIGH SCHOOL,2605034,278,19.1,28.40%,19.4,58.60%,19.7,33.50%,19.8,27.00%,14.70%,Arkansas,34.4409766,-93.2123587,280 Wolf Street,71964,Garland County,Pearcy,5051,"280 Wolf Street, Pearcy, Arkansas, 71964",11101,5051011101,2019,11101,Garland County,Arkansas,457,28,128,177,124,3741,153,153,1401,876,338,642,178,6.1,28,38.7,27.1,4.1,4.1,37.4,23.4,9,17.2,4.8,2100,47500,67141,5453,14,0.3,5439,99.7,5269,96.6,100,1.8,0,0,0,0,0,0,0,0,70,1.3,19.1,19.7
LAKESIDE SCHOOL DIST(GARLAND),LAKESIDE HIGH SCHOOL,2606044,249,19.2,30.90%,20.7,64.70%,20.7,43.80%,20.4,34.10%,25.30%,Arkansas,34.4741704,-92.9970904,2871 Malvern Avenue,71901,Garland County,Hot Springs,5051,"2871 Malvern Avenue, Hot Springs, Arkansas, 71901",11601,5051011601,2019,11601,Garland County,Arkansas,307,39,110,140,18,3263,137,90,951,667,288,628,502,12.7,35.8,45.6,5.9,4.2,2.8,29.1,20.4,8.8,19.2,15.4,1898,65027,76243,4514,108,2.4,4406,97.6,3957,87.7,120,2.7,0,0,224,5,0,0,12,0.3,93,2.1,19.2,20.7
MOUNTAIN PINE SCHOOL DISTRICT,MOUNTAIN PINE HIGH SCHOOL,2607047,26,15.4,0.00%,17.2,42.30%,17.2,19.20%,16.1,3.80%,0.00%,Arkansas,34.5761762,-93.1786983,734 Blakely Dam Road,71956,Garland County,Mountain Pine,5051,"734 Blakely Dam Road, Mountain Pine, Arkansas, 71956",10301,5051010301,2019,10301,Garland County,Arkansas,116,52,32,20,12,2746,45,241,1076,955,170,242,17,44.8,27.6,17.2,10.3,1.6,8.8,39.2,34.8,6.2,8.8,0.6,1490,35870,50529,3507,128,3.6,3379,96.4,3016,86,179,5.1,0,0,0,0,0,0,0,0,184,5.2,15.4,17.2
POYEN SCHOOL DISTRICT,POYEN HIGH SCHOOL,2703010,52,17.9,23.10%,14.8,23.10%,16.1,9.60%,16.7,9.60%,3.80%,Arkansas,34.3247954,-92.6445624,111 North School Street,72128,Grant County,Poyen,5053,"111 North School Street, Poyen, Arkansas, 72128",470300,5053470300,2019,470300,Grant County,Arkansas,243,18,160,57,8,2611,87,237,1185,493,156,325,128,7.4,65.8,23.5,3.3,3.3,9.1,45.4,18.9,6,12.4,4.9,1412,57174,65624,3823,323,8.4,3500,91.6,3335,87.2,100,2.6,4,0.1,0,0,0,0,0,0,61,1.6,17.9,16.1
SHERIDAN SCHOOL DISTRICT,SHERIDAN HIGH SCHOOL,2705021,287,18.6,27.20%,18,46.30%,18.9,31.40%,18.9,25.10%,13.90%,Arkansas,34.3112523,-92.4076598,800 West Vine Street,72150,Grant County,Sheridan,5053,"800 West Vine Street, Sheridan, Arkansas, 72150",470401,5053470401,2019,470401,Grant County,Arkansas,278,39,43,196,0,2617,42,130,609,744,209,562,321,14,15.5,70.5,0,1.6,5,23.3,28.4,8,21.5,12.3,1618,50135,69105,3798,107,2.8,3691,97.2,3444,90.7,156,4.1,0,0,0,0,29,0.8,0,0,62,1.6,18.6,18.9
MARMADUKE SCHOOL DISTRICT,MARMADUKE HIGH SCHOOL,2803017,48,18.2,20.80%,19.4,58.30%,19.5,45.80%,21,35.40%,14.60%,Arkansas,36.1930301,-90.3937388,1010 Greyhound Drive,72443,Greene County,Marmaduke,5055,"1010 Greyhound Drive, Marmaduke, Arkansas, 72443",480100,5055480100,2019,480100,Greene County,Arkansas,218,54,76,56,32,2014,99,275,915,285,155,217,68,24.8,34.9,25.7,14.7,4.9,13.7,45.4,14.2,7.7,10.8,3.4,1234,48000,55346,2875,88,3.1,2787,96.9,2763,96.1,0,0,0,0,0,0,0,0,0,0,24,0.8,18.2,19.5
GREENE COUNTY TECH SCHOOL DISTRICT,GREENE CTY TECH HIGH SCHOOL,2807008,221,18.2,24.00%,18.3,48.90%,18.6,24.90%,18.8,22.20%,10.90%,Arkansas,36.0069915,-90.5306031,4601 Linwood Drive,72450,Greene County,Paragould,5055,"4601 Linwood Drive, Paragould, Arkansas, 72450",480802,5055480802,2019,480802,Greene County,Arkansas,611,77,363,123,48,3034,27,121,1076,646,276,518,370,12.6,59.4,20.1,7.9,0.9,4,35.5,21.3,9.1,17.1,12.2,1768,52161,77752,4859,121,2.5,4738,97.5,4276,88,206,4.2,0,0,141,2.9,0,0,0,0,115,2.4,18.2,18.6
PARAGOULD SCHOOL DISTRICT,PARAGOULD HIGH SCHOOL,2808043,191,17.9,18.30%,17.9,48.70%,18.4,26.70%,18.5,17.30%,9.90%,Arkansas,36.0582487,-90.5070714,1701 West Court Street,72450,Greene County,Paragould,5055,"1701 West Court Street, Paragould, Arkansas, 72450",480402,5055480402,2019,480402,Greene County,Arkansas,242,13,97,106,26,1584,47,172,933,206,36,57,133,5.4,40.1,43.8,10.7,3,10.9,58.9,13,2.3,3.6,8.4,1121,43025,44966,2261,39,1.7,2222,98.3,2020,89.3,131,5.8,0,0,0,0,0,0,9,0.4,62,2.7,17.9,18.4
BLEVINS SCHOOL DISTRICT,BLEVINS HIGH SCHOOL,2901002,28,17.1,10.70%,16.2,35.70%,17.6,28.60%,16.3,10.70%,3.60%,Arkansas,33.8747387,-93.5722025,5954 Arkansas 29,71825,Hempstead County,Blevins,5057,"5954 Arkansas 29, Blevins, Arkansas, 71825",480102,5057480102,2019,480102,Hempstead County,Arkansas,234,12,111,111,0,1848,99,117,594,348,166,291,233,5.1,47.4,47.4,0,5.4,6.3,32.1,18.8,9,15.7,12.6,984,50833,54630,2605,232,8.9,2373,91.1,2013,77.3,292,11.2,2,0.1,0,0,0,0,0,0,66,2.5,17.1,17.6
HOPE SCHOOL DISTRICT,HOPE HIGH SCHOOL,2903012,116,15.5,3.40%,13.5,14.70%,15.2,6.00%,14.9,2.60%,1.70%,Arkansas,33.6527043,-93.5848795,1701 South Main Street,71801,Hempstead County,Hope,5057,"1701 South Main Street, Hope, Arkansas, 71801",480302,5057480302,2019,480302,Hempstead County,Arkansas,53,5,16,32,0,1929,141,140,643,423,159,330,93,9.4,30.2,60.4,0,7.3,7.3,33.3,21.9,8.2,17.1,4.8,1133,39538,60191,3008,536,17.8,2472,82.2,1344,44.7,1000,33.2,71,2.4,0,0,0,0,0,0,57,1.9,15.5,15.2
SPRING HILL SCHOOL DISTRICT,SPRING HILL HIGH SCHOOL,2906026,45,17.9,15.60%,17.5,35.60%,19.4,31.10%,19.3,15.60%,8.90%,Arkansas,33.5848428,-93.6512498,633 Arkansas 355,71801,Hempstead County,Hope,5057,"633 Arkansas 355, Hope, Arkansas, 71801",480400,5057480400,2019,480400,Hempstead County,Arkansas,275,20,115,130,10,2897,246,163,948,720,311,345,164,7.3,41.8,47.3,3.6,8.5,5.6,32.7,24.9,10.7,11.9,5.7,1524,56938,66591,4422,457,10.3,3965,89.7,3400,76.9,462,10.4,0,0,13,0.3,73,1.7,0,0,17,0.4,17.9,19.4
GLEN ROSE SCHOOL DISTRICT,GLEN ROSE HIGH SCHOOL,3002009,70,18.5,25.70%,19,57.10%,18.2,28.60%,19.7,25.70%,11.40%,Arkansas,34.4568119,-92.7310722,14334 U.S. 67,72104,Hot Spring County,Malvern,5059,"14334 U.S. 67, Malvern, Arkansas, 72104",20102,5059020102,2019,20102,Hot Spring County,Arkansas,234,0,109,119,6,2297,133,213,916,449,209,250,127,0,46.6,50.9,2.6,5.8,9.3,39.9,19.5,9.1,10.9,5.5,1161,53802,83407,3315,12,0.4,3303,99.6,3130,94.4,154,4.6,0,0,15,0.5,0,0,0,0,4,0.1,18.5,18.2
MAGNET COVE SCHOOL DIST.,MAGNET COVE HIGH SCHOOL,3003014,45,19.4,28.90%,19.3,57.80%,19.1,26.70%,19.6,24.40%,17.80%,Arkansas,34.4452518,-92.8357306,472 Magnet School Road,72104,Hot Spring County,Malvern,5059,"472 Magnet School Road, Malvern, Arkansas, 72104",20101,5059020101,2019,20101,Hot Spring County,Arkansas,437,5,220,189,23,2610,16,131,1051,605,296,373,138,1.1,50.3,43.2,5.3,0.6,5,40.3,23.2,11.3,14.3,5.3,1451,55857,66959,3871,30,0.8,3841,99.2,3750,96.9,0,0,0,0,0,0,0,0,0,0,91,2.4,19.4,19.1
MALVERN SCHOOL DISTRICT,MALVERN HIGH SCHOOL,3004023,95,18.3,22.10%,17.9,47.40%,18,26.30%,18.4,16.80%,9.50%,Arkansas,34.3556676,-92.8050971,525 East Highland Avenue,72104,Hot Spring County,Malvern,5059,"525 East Highland Avenue, Malvern, Arkansas, 72104",20400,5059020400,2019,20400,Hot Spring County,Arkansas,238,35,59,111,33,3975,140,299,1596,1156,260,337,187,14.7,24.8,46.6,13.9,3.5,7.5,40.2,29.1,6.5,8.5,4.7,2414,35430,53927,5552,326,5.9,5226,94.1,4060,73.1,923,16.6,22,0.4,31,0.6,0,0,0,0,190,3.4,18.3,18
OUACHITA SCHOOL DISTRICT,OUACHITA HIGH SCHOOL,3005030,19,17.1,5.30%,18.2,52.60%,18.2,21.10%,18.7,21.10%,0.00%,Arkansas,34.2393626,-92.963071,258 Schoolhouse Road,71941,Hot Spring County,Donaldson,5059,"258 Schoolhouse Road, Donaldson, Arkansas, 71941",20600,5059020600,2019,20600,Hot Spring County,Arkansas,255,40,115,100,0,2863,41,214,1114,671,214,322,287,15.7,45.1,39.2,0,1.4,7.5,38.9,23.4,7.5,11.2,10,1669,50938,60633,3798,68,1.8,3730,98.2,3583,94.3,0,0,15,0.4,0,0,0,0,0,0,132,3.5,17.1,18.2
DIERKS SCHOOL DISTRICT,DIERKS HIGH SCHOOL,3102002,44,18.5,27.30%,19.2,52.30%,18.6,34.10%,18.2,31.80%,22.70%,Arkansas,34.1190901,-94.0304333,900 Old Highway 70 West,71833,Howard County,Dierks,5061,"900 Old Highway 70 West, Dierks, Arkansas, 71833",950100,5061950100,2019,950100,Howard County,Arkansas,296,50,63,164,19,2751,99,328,1270,444,241,272,97,16.9,21.3,55.4,6.4,3.6,11.9,46.2,16.1,8.8,9.9,3.5,1687,37567,58937,4085,365,8.9,3720,91.1,3462,84.7,192,4.7,0,0,0,0,0,0,0,0,66,1.6,18.5,18.6
MINERAL SPRINGS SCHOOL DISTRICT,MINERAL SPRINGS HIGH SCHOOL,3104006,25,16.5,8.00%,15.3,24.00%,16.1,12.00%,16.2,4.00%,4.00%,Arkansas,33.8782324,-93.9179431,130 West Browning Street,71851,Howard County,Mineral Springs,5061,"130 West Browning Street, Mineral Springs, Arkansas, 71851",950200,5061950200,2019,950200,Howard County,Arkansas,290,79,110,101,0,3210,99,373,1229,741,403,334,31,27.2,37.9,34.8,0,3.1,11.6,38.3,23.1,12.6,10.4,1,1820,45516,59803,4891,434,8.9,4457,91.1,2858,58.4,1489,30.4,21,0.4,34,0.7,17,0.3,0,0,38,0.8,16.5,16.1
NASHVILLE SCHOOL DISTRICT,NASHVILLE HIGH SCHOOL,3105011,115,17.7,14.80%,17.2,42.60%,17.6,20.90%,17.8,11.30%,6.10%,Arkansas,33.9562806,-93.8517684,1301 Mount Pleasant Drive,71852,Howard County,Nashville,5061,"1301 Mount Pleasant Drive, Nashville, Arkansas, 71852",950200,5061950200,2019,950200,Howard County,Arkansas,290,79,110,101,0,3210,99,373,1229,741,403,334,31,27.2,37.9,34.8,0,3.1,11.6,38.3,23.1,12.6,10.4,1,1820,45516,59803,4891,434,8.9,4457,91.1,2858,58.4,1489,30.4,21,0.4,34,0.7,17,0.3,0,0,38,0.8,17.7,17.6
BATESVILLE SCHOOL DISTRICT,BATESVILLE HIGH SCHOOL,3201005,206,17.8,20.90%,17.3,43.20%,18.7,29.10%,18.6,21.40%,11.70%,Arkansas,35.7549833,-91.6239899,1 Pioneer Drive,72501,Independence County,Batesville,5063,"1 Pioneer Drive, Batesville, Arkansas, 72501",490500,5063490500,2019,490500,Independence County,Arkansas,168,30,82,50,6,2031,17,104,526,459,110,544,271,17.9,48.8,29.8,3.6,0.8,5.1,25.9,22.6,5.4,26.8,13.3,1258,64803,87066,2751,89,3.2,2662,96.8,2537,92.2,67,2.4,0,0,0,0,0,0,0,0,58,2.1,17.8,18.7
SOUTHSIDE SCHOOL DISTRICT (INDEPENDENCE),SOUTHSIDE CHARTER HIGH SCHOOL,3209703,120,19,30.80%,18.4,52.50%,18.1,23.30%,18.3,17.50%,9.20%,Arkansas,35.7004824,-91.62609,70 Scott Drive,72501,Independence County,Batesville,5063,"70 Scott Drive, Batesville, Arkansas, 72501",490702,5063490702,2019,490702,Independence County,Arkansas,506,93,112,292,9,2258,77,190,898,553,263,210,67,18.4,22.1,57.7,1.8,3.4,8.4,39.8,24.5,11.6,9.3,3,1330,41239,61393,3689,97,2.6,3592,97.4,3363,91.2,42,1.1,0,0,0,0,0,0,0,0,187,5.1,19,18.1
MIDLAND SCHOOL DISTRICT,MIDLAND HIGH SCHOOL,3211035,27,16.6,7.40%,16.9,48.10%,18.3,22.20%,17.5,7.40%,0.00%,Arkansas,35.5472344,-91.6249662,741 Main Street,72568,Independence County,Pleasant Plains,5063,"741 Main Street, Pleasant Plains, Arkansas, 72568",490800,5063490800,2019,490800,Independence County,Arkansas,327,27,90,209,1,3110,114,302,1552,625,242,238,37,8.3,27.5,63.9,0.3,3.7,9.7,49.9,20.1,7.8,7.7,1.2,1670,42364,52612,4492,39,0.9,4453,99.1,4439,98.8,7,0.2,1,0,1,0,0,0,0,0,5,0.1,16.6,18.3
