school_name,Grade,District Name, Average % ACT Composite Score ,perc_test_taking_grades_9_12_students,number_of_students,perc_frl,perc_white,perc_hispanic,perc_african_american,perc_other_race,perc_minority,Region, Number of Students in Grades 9-12 , % Students in grade 9-12 that took the ACT2,ACT_reading,ACT_english,ACT_math,ACT_science,Average ACT Composite Score,number_AP_exam_taking_students,number_AP_exams_taken,% of Exams that scored 3 or Above,is_open_enrollment_charter,School LEA,DLEA,year
Dardanelle High School,9-12,Dardanelle School District,20.9,38.0,605.0,62.0,58.0,38.0,1.0,3.0,42.0,1, 604 ,38%,20.99,20.84,19.99,21.03,20.9, 101 , 112 ,52%,0,7504011,7504000,2019.0
Decatur High School,9-12,Decatur School District,15.19,41.0,153.0,72.0,53.0,35.0,3.0,10.0,47.0,1, 153 ,41%,16.31,12.41,15.41,15.91,15.19, 24 , 10 ,10%,0,402009,402000,2019.0
Deer K-12 School,K-12,Deer/Mt. Judea School District,18.0,32.0,246.0,68.0,95.0,1.0,1.0,3.0,5.0,1, 88 ,32%,19.31,17.15,16.38,18.38,18.0, N<10 , N/A ,,0,5106003,5106000,2019.0
DeQueen High School,10-12,DeQueen School District,19.53,81.0,531.0,77.0,26.0,66.0,1.0,6.0,74.0,4, 531 ,81%,19.99,19.09,18.88,19.53,19.53, 40 , 47 ,53%,0,6701003,6701000,2019.0
Dermott High School,7-12,Dermott School District,15.83,33.0,130.0,95.0,3.0,4.0,92.0,1.0,97.0,5, 93 ,33%,15.22,14.89,16.28,16.39,15.83, 14 , N<10 ,RV,0,901003,901000,2019.0
Des Arc High School,7-12,Des Arc School District,20.9,47.0,234.0,65.0,88.0,2.0,9.0,1.0,12.0,5, 152 ,47%,21.1,21.52,19.87,20.45,20.9, 14 , 24 ,8%,0,5901002,5901000,2019.0
DeWitt High School,9-12,DeWitt School District,18.63,53.0,353.0,61.0,82.0,3.0,12.0,3.0,18.0,5, 353 ,53%,19.04,17.63,17.61,19.66,18.63, 50 , 82 ,13%,0,101004,101000,2019.0
Dierks High School,7-12,Dierks School District,19.03,55.0,250.0,74.0,93.0,4.0,1.0,2.0,7.0,4, 164 ,55%,19.97,18.59,17.84,19.16,19.03, 40 , 32 ,13%,0,3102002,3102000,2019.0
Dollarway High School,9-12,Dollarway School District,15.04,38.0,277.0,90.0,3.0,0.0,94.0,3.0,97.0,3, 277 ,38%,14.79,13.81,15.38,15.48,15.04, 48 , 55 ,5%,0,3502010,3502000,2019.0
Don Tyson School Of Innovation,6-12,Springdale School District,21.13,36.0,1228.0,54.0,50.0,41.0,2.0,8.0,50.0,1, 696 ,36%,22.64,20.62,19.59,21.11,21.13, 151 , 152 ,48%,0,7207703,7207000,2019.0
Dover High School,9-12,Dover School District,19.49,31.0,398.0,55.0,90.0,6.0,0.0,4.0,10.0,1, 398 ,31%,20.68,19.41,18.16,19.41,19.49, 83 , 90 ,26%,0,5802006,5802000,2019.0
Drew Central High School,9-12,Drew Central School District,18.35,43.0,324.0,65.0,65.0,6.0,26.0,3.0,35.0,5, 324 ,43%,18.98,17.71,17.35,18.45,18.35, 44 , 40 ,5%,0,2202005,2202000,2019.0
Dumas High School,10-12,Dumas School District,16.23,71.0,268.0,74.0,22.0,13.0,64.0,1.0,78.0,5, 268 ,71%,16.42,15.37,15.63,16.87,16.23, 128 , 83 ,14%,0,2104021,2104000,2019.0
Earle High School,7-12,Earle School District,14.8,48.0,251.0,94.0,2.0,0.0,98.0,0.0,98.0,2, 180 ,48%,14.98,13.48,15.24,15.1,14.8, 31 , 13 ,RV,0,1802007,1802000,2019.0
East Poinsett County High School,7-12,East Poinsett County School District,17.12,58.0,302.0,74.0,75.0,9.0,12.0,5.0,25.0,2, 209 ,58%,17.33,16.37,16.63,17.61,17.12, 35 , 61 ,30%,0,5608037,5608000,2019.0
