school_name,Grade,District Name, Average % ACT Composite Score ,perc_test_taking_grades_9_12_students,number_of_students,perc_frl,perc_white,perc_hispanic,perc_african_american,perc_other_race,perc_minority,Region, Number of Students in Grades 9-12 , % Students in grade 9-12 that took the ACT2,ACT_reading,ACT_english,ACT_math,ACT_science,Average ACT Composite Score,number_AP_exam_taking_students,number_AP_exams_taken,% of Exams that scored 3 or Above,is_open_enrollment_charter,School LEA,DLEA,year
Spring Hill High School,7-12,Spring Hill School District,19.44,60.0,278.0,43.0,83.0,6.0,1.0,10.0,17.0,4, 159 ,60%,19.61,19.66,18.1,19.71,19.44, 24 , 10 ,70%,0,2906026,2906000,2019.0
Springdale High School,10-12,Springdale School District,18.18,42.0,2216.0,79.0,20.0,57.0,3.0,20.0,80.0,1," 2,213 ",42%,18.24,17.11,18.37,18.46,18.18, 560 , 448 ,48%,0,7207049,7207000,2019.0
St. Joe K-12 School,K-12,Ozark Mountain School District,19.0,33.0,152.0,72.0,95.0,1.0,0.0,4.0,5.0,1, 43 ,33%,20.6,18.0,16.6,20.6,19.0, N/A , N/A ,,0,6505015,6505000,2019.0
St. Paul High School,7-12,Huntsville School District,18.31,39.0,114.0,78.0,88.0,7.0,0.0,5.0,12.0,1, 76 ,39%,17.63,17.94,18.19,18.81,18.31, N/A , N/A ,,0,4401012,4401000,2019.0
Star City High School,9-12,Star City School District,18.54,50.0,475.0,58.0,70.0,6.0,22.0,2.0,30.0,5, 474 ,50%,18.89,18.45,17.64,18.69,18.54, 145 , 146 ,21%,0,4003016,4003000,2019.0
Strong-Huttig Schools,K-12,Strong-Huttig School District,15.3,43.0,289.0,93.0,22.0,3.0,74.0,1.0,78.0,4, 83 ,43%,15.3,13.7,15.55,16.25,15.3, N<10 , N/A ,,0,7009050,7009000,2019.0
Stuttgart High School,9-12,Stuttgart School District,18.57,53.0,466.0,52.0,50.0,4.0,43.0,3.0,50.0,5, 463 ,53%,18.95,17.78,18.42,18.55,18.57, 77 , 116 ,33%,0,104025,104000,2019.0
Sylvan Hills High School,9-12,Pulaski County Special School District,18.35,45.0,1428.0,44.0,44.0,6.0,45.0,4.0,56.0,3," 1,424 ",45%,18.85,17.89,17.65,18.39,18.35, 238 , 312 ,40%,0,6003128,6003000,2019.0
Taylor High School,7-12,Emerson-Taylor-Bradley School District,21.23,48.0,188.0,31.0,96.0,2.0,2.0,1.0,4.0,4, 104 ,48%,23.77,20.31,19.08,21.0,21.23, N/A , N/A ,,0,1408019,1408000,2019.0
The Academies At Jonesboro High School,10-12,Jonesboro School District,18.68,62.0,1325.0,66.0,37.0,15.0,44.0,4.0,63.0,2," 1,323 ",62%,19.1,17.82,18.47,18.7,18.68, 570 , 862 ,33%,0,1608027,1608000,2019.0
The Academies Of West Memphis Charter School,10-12,West Memphis School District,16.92,57.0,1058.0,72.0,19.0,2.0,78.0,1.0,81.0,2," 1,055 ",57%,16.72,16.49,16.85,17.08,16.92, 171 , 177 ,13%,0,1803703,1803000,2019.0
Timbo High School,7-12,Mountain View School District,17.6,47.0,86.0,87.0,97.0,3.0,0.0,0.0,3.0,2, 51 ,47%,17.8,16.0,17.3,18.7,17.6, N<10 , N<10 ,RV,0,6901016,6901000,2019.0
Trumann High School,9-12,Trumann School District,17.86,48.0,437.0,70.0,78.0,8.0,14.0,1.0,22.0,2, 429 ,48%,18.13,17.01,17.55,18.19,17.86, 66 , 53 ,8%,0,5605023,5605000,2019.0
Tuckerman High School,8-12,Jackson Co. School District,18.22,48.0,310.0,63.0,92.0,1.0,6.0,1.0,8.0,2, 249 ,48%,19.0,18.1,16.96,18.29,18.22, 36 , 29 ,21%,0,3405025,3405000,2019.0
Two Rivers High School,5-12,Two Rivers School District,17.35,38.0,531.0,78.0,83.0,13.0,1.0,4.0,17.0,1, 263 ,38%,18.63,16.61,15.67,17.9,17.35, 17 , 11 ,27%,0,7510019,7510000,2019.0
Umpire K-12 School,K-12,Cossatot River School District,18.9,55.0,107.0,77.0,67.0,29.0,0.0,4.0,33.0,4, 33 ,55%,20.4,19.4,16.4,18.9,18.9, N/A , N/A ,,0,5707024,5707000,2019.0
Valley Springs High School,9-12,Valley Springs School District,19.83,52.0,276.0,37.0,95.0,2.0,0.0,3.0,5.0,1, 275 ,52%,21.47,19.78,18.47,19.25,19.83, 46 , 49 ,43%,0,505027,505000,2019.0
Valley View High School,10-12,Valley View School District,22.28,73.0,657.0,19.0,87.0,4.0,4.0,5.0,13.0,2, 656 ,73%,23.2,22.27,20.73,22.24,22.28, 183 , 169 ,58%,0,1612048,1612000,2019.0
Van Buren High School,10-12,Van Buren School District,20.05,69.0,1210.0,51.0,66.0,19.0,2.0,12.0,34.0,1," 1,210 ",69%,20.53,19.47,19.37,20.2,20.05, 378 , 503 ,49%,0,1705027,1705000,2019.0
Vilonia High School,9-12,Vilonia School District,19.93,51.0,1004.0,33.0,94.0,4.0,1.0,1.0,6.0,3," 1,004 ",51%,20.96,19.73,18.86,19.55,19.93, 190 , 287 ,47%,0,2307034,2307000,2019.0
Viola High School,7-12,Viola School District,18.0,59.0,157.0,68.0,97.0,1.0,0.0,2.0,3.0,2, 100 ,59%,18.28,16.84,16.8,19.32,18.0, N<10 , N/A ,,0,2503010,2503000,2019.0
Waldron High School,9-12,Waldron School District,19.96,43.0,416.0,69.0,72.0,19.0,1.0,8.0,28.0,1, 416 ,43%,20.99,19.44,18.73,20.18,19.96, 96 , 86 ,10%,0,6401003,6401000,2019.0
Walnut Ridge High School,7-12,Lawrence County School District,18.38,48.0,433.0,54.0,92.0,3.0,1.0,4.0,8.0,2, 296 ,48%,18.66,18.36,17.09,18.69,18.38, 74 , 10 ,80%,0,3810027,3810000,2019.0
Warren High School District Conversion Charter,9-12,Warren School District,17.76,52.0,465.0,70.0,45.0,22.0,31.0,2.0,55.0,5, 465 ,52%,18.47,16.98,16.6,18.17,17.76, N<10 , N<10 ,89%,0,602703,602000,2019.0
Watson Chapel High School,10-12,Watson Chapel School District,16.54,68.0,536.0,65.0,14.0,3.0,82.0,1.0,86.0,3, 536 ,68%,17.0,15.56,16.15,16.98,16.54, 193 , 84 ,6%,0,3509067,3509000,2019.0
West Fork High School,9-12,West Fork School District,19.67,53.0,331.0,48.0,85.0,5.0,1.0,10.0,15.0,1, 331 ,53%,19.99,19.45,18.51,20.1,19.67, 26 , 26 ,46%,0,7208062,7208000,2019.0
West Little Rock Classical Academy,6-12,Responsive Ed Solutions Northwest Arkansas Classical Academy,15.67,41.0,150.0,48.0,56.0,3.0,33.0,8.0,44.0,3, 98 ,41%,15.89,16.0,14.78,14.78,15.67, N<10 , N<10 ,50%,1,442706,442700,2019.0
West Side High School,7-12,West Side School District (Cleburne),19.68,38.0,218.0,66.0,100.0,0.0,0.0,0.0,0.0,2, 138 ,38%,20.64,19.77,17.23,20.09,19.68, N<10 , N<10 ,RV,0,1204015,1204000,2019.0
Western Grove K-12 School,K-12,Ozark Mountain School District,18.2,42.0,271.0,69.0,95.0,3.0,0.0,2.0,5.0,1, 91 ,42%,20.13,17.87,17.27,16.67,18.2, N/A , N/A ,,0,6505016,6505000,2019.0
Western Yell Co. High School,7-12,Western Yell Co. School District,18.29,45.0,174.0,85.0,72.0,22.0,1.0,6.0,28.0,1, 122 ,45%,19.0,16.86,17.95,18.57,18.29, N<10 , 10 ,RV,0,7509033,7509000,2019.0
Westside High School,8-12,Westside Cons. School District (Craighead),19.83,49.0,659.0,49.0,94.0,3.0,2.0,2.0,6.0,2, 520 ,49%,20.66,20.51,17.85,19.6,19.83, 73 , 105 ,23%,0,1602055,1602000,2019.0
Westside High School,7-12,Westside School District (Johnson),16.89,44.0,260.0,67.0,93.0,3.0,0.0,3.0,7.0,1, 165 ,44%,17.75,16.06,16.61,16.64,16.89, N<10 , N<10 ,89%,0,3606026,3606000,2019.0
White Co. Central High School,7-12,White Co. Central School District,17.13,43.0,332.0,72.0,84.0,12.0,1.0,3.0,16.0,2, 209 ,43%,17.6,16.0,17.18,17.67,17.13, N<10 , 10 ,20%,0,7304019,7304000,2019.0
White Hall High School,9-12,White Hall School District,19.5,50.0,898.0,43.0,66.0,3.0,26.0,5.0,34.0,3, 898 ,50%,20.08,19.03,18.45,19.8,19.5, 169 , 273 ,46%,0,3510076,3510000,2019.0
Wonderview High School,7-12,Wonderview School District,19.41,47.0,193.0,50.0,94.0,3.0,2.0,2.0,6.0,1, 131 ,47%,20.7,18.11,18.19,19.78,19.41, 31 , 29 ,21%,0,1505026,1505000,2019.0
Woodlawn High School,7-12,Woodlawn School District,20.35,61.0,284.0,41.0,88.0,5.0,1.0,7.0,12.0,5, 185 ,61%,21.73,20.04,18.87,20.35,20.35, 61 , 38 ,16%,0,1304015,1304000,2019.0
Wynne High School,9-12,Wynne School District,19.81,46.0,780.0,51.0,65.0,2.0,31.0,2.0,35.0,2, 780 ,46%,20.7,19.68,18.49,19.92,19.81, 50 , 83 ,36%,0,1905017,1905000,2019.0
Yellville-Summit High School,7-12,Yellville-Summit School District,19.59,48.0,391.0,72.0,97.0,1.0,1.0,1.0,3.0,1, 244 ,48%,20.25,19.73,18.18,19.71,19.59, 51 , 46 ,28%,0,4502006,4502000,2019.0
