District Name,School Name,SCHOOL LEA,N,Math Avg,Math % Met,English Avg,English % Met,Reading Avg,Reading % Met,Science Avg,Science % Met,All % Met
PEA RIDGE SCHOOL DISTRICT,PEA RIDGE MANUFACTURING & BUSINESS ACADEMY,0407703,55,17.1,10.9%,17.5,41.8%,18.4,27.3%,17.7,14.5%,7.3%
ARKANSAS ARTS ACADEMY,ARKANSAS ARTS ACADEMY HIGH SCHOOL,0440703,56,20.5,46.4%,23.0,80.4%,23.7,64.3%,21.9,42.9%,32.1%
RESPONSIVE ED SOLUTIONS NORTHWEST ARK CLASSICAL AC,NORTHWEST ARKANSAS CLASSICAL ACADEMY HIGH,0442703,15,22.1,60.0%,23.2,80.0%,23.7,60.0%,21.6,26.7%,26.7%
HAAS HALL BENTONVILLE,HAAS HALL ACADEMY BENTONVILLE,0443703,38,25.0,73.7%,28.7,97.4%,27.0,78.9%,25.4,76.3%,55.3%
ALPENA SCHOOL DISTRICT,ALPENA HIGH SCHOOL,0501002,40,17.5,20.0%,16.9,30.0%,16.5,20.0%,17.6,17.5%,7.5%
BERGMAN SCHOOL DISTRICT,BERGMAN HIGH SCHOOL,0502007,71,19.8,39.4%,19.4,52.1%,20.4,42.3%,20.2,32.4%,19.7%
HARRISON SCHOOL DISTRICT,HARRISON HIGH SCHOOL CONVERSION CHARTER,0503703,190,19.2,26.8%,19.7,61.1%,20.2,40.0%,20.3,31.1%,17.4%
OMAHA SCHOOL DISTRICT,OMAHA HIGH SCHOOL,0504023,29,18.7,24.1%,18.2,51.7%,19.0,27.6%,19.3,27.6%,13.8%
VALLEY SPRINGS SCHOOL DISTRICT,VALLEY SPRINGS HIGH SCHOOL,0505027,60,19.0,31.7%,20.3,60.0%,19.7,38.3%,19.9,25.0%,16.7%
LEAD HILL SCHOOL DISTRICT,LEAD HILL HIGH SCHOOL,0506032,23,18.6,21.7%,17.3,52.2%,21.0,47.8%,20.2,26.1%,8.7%
HERMITAGE SCHOOL DISTRICT,HERMITAGE HIGH SCHOOL,0601007,32,17.0,9.4%,17.6,43.8%,18.3,31.3%,17.8,9.4%,3.1%
WARREN SCHOOL DISTRICT,WARREN HIGH SCHOOL DISTRICT CONVERSION CHARTER,0602703,101,16.5,8.9%,15.3,26.7%,17.2,17.8%,16.5,6.9%,4.0%
HAMPTON SCHOOL DISTRICT,HAMPTON HIGH SCHOOL,0701002,42,16.5,11.9%,15.1,23.8%,15.5,9.5%,16.5,7.1%,4.8%
BERRYVILLE SCHOOL DISTRICT,BERRYVILLE HIGH SCHOOL,0801002,137,18.7,28.5%,17.9,45.3%,18.5,28.5%,19.3,25.5%,14.6%
EUREKA SPRINGS SCHOOL DISTRICT,EUREKA SPRINGS HIGH SCHOOL,0802007,43,21.3,46.5%,22.1,74.4%,22.2,53.5%,22.1,48.8%,30.2%
GREEN FOREST SCHOOL DISTRICT,GREEN FOREST HIGH SCHOOL,0803012,98,17.9,21.4%,16.2,28.6%,17.8,18.4%,17.8,11.2%,5.1%
DERMOTT SCHOOL DISTRICT,DERMOTT HIGH SCHOOL,0901003,17,15.5,5.9%,15.1,29.4%,14.9,5.9%,15.4,5.9%,0.0%
