District Name,School Name,SCHOOL LEA,N,Math Avg,Math % Met,English Avg,English % Met,Reading Avg,Reading % Met,Science Avg,Science % Met,All % Met
BLYTHEVILLE SCHOOL DISTRICT,BLYTHEVILLE HIGH SCHOOL-A NEW TECH SCHOOL,4702706,139,15.4,5.8%,14.3,22.3%,15.1,8.6%,15.9,8.6%,2.9%
RIVERCREST SCHOOL DISTRICT 57,RIVERCREST HIGH SCHOOL,4706066,80,17.1,13.8%,17.6,52.5%,16.8,20.0%,18.1,20.0%,5.0%
GOSNELL SCHOOL DISTRICT,GOSNELL HIGH SCHOOL,4708031,81,19.5,37.0%,17.9,49.4%,17.4,24.7%,18.8,21.0%,13.6%
MANILA SCHOOL DISTRICT,MANILA HIGH SCHOOL,4712044,55,18.7,27.3%,17.5,45.5%,18.0,25.5%,18.1,10.9%,5.5%
OSCEOLA SCHOOL DISTRICT,OSCEOLA HIGH SCHOOL,4713051,70,15.3,4.3%,13.5,11.4%,14.5,4.3%,15.0,1.4%,1.4%
BRINKLEY SCHOOL DISTRICT,BRINKLEY HIGH SCHOOL,4801003,28,16.4,3.6%,16.5,32.1%,17.1,14.3%,17.0,3.6%,3.6%
CLARENDON SCHOOL DISTRICT,CLARENDON HIGH SCHOOL,4802010,42,16.2,11.9%,14.9,26.2%,15.9,14.3%,15.9,4.8%,2.4%
CADDO HILLS SCHOOL DISTRICT,CADDO HILLS HIGH SCHOOL,4901003,47,17.9,23.4%,17.4,42.6%,18.4,36.2%,18.3,21.3%,12.8%
MOUNT IDA SCHOOL DISTRICT,MOUNT IDA HIGH SCHOOL,4902007,37,18.8,27.0%,16.6,32.4%,17.7,16.2%,18.7,27.0%,13.5%
PRESCOTT SCHOOL DISTRICT,PRESCOTT HIGH SCHOOL,5006024,59,16.7,8.5%,16.6,35.6%,18.1,22.0%,17.5,10.2%,6.8%
NEVADA SCHOOL DISTRICT,NEVADA HIGH SCHOOL,5008014,22,16.4,9.1%,16.5,40.9%,15.7,4.5%,17.3,9.1%,0.0%
JASPER SCHOOL DISTRICT,JASPER HIGH SCHOOL,5102006,43,16.8,14.0%,17.2,53.5%,18.1,25.6%,18.1,14.0%,2.3%
JASPER SCHOOL DISTRICT,KINGSTON HIGH SCHOOL,5102008,17,19.5,23.5%,21.0,76.5%,21.0,52.9%,21.4,47.1%,23.5%
JASPER SCHOOL DISTRICT,OARK HIGH SCHOOL,5102024,12,16.8,8.3%,15.2,25.0%,15.3,0.0%,16.5,8.3%,0.0%
DEER/MT. JUDEA SCHOOL DISTRICT,DEER K-12 SCHOOL,5106003,18,16.4,5.6%,16.8,44.4%,17.8,22.2%,18.1,5.6%,0.0%
DEER/MT. JUDEA SCHOOL DISTRICT,MT. JUDEA K-12 SCHOOL,5106004,9,N<10,N<10,N<10,N<10,N<10,N<10,N<10,N<10,N<10
BEARDEN SCHOOL DISTRICT,BEARDEN HIGH SCHOOL,5201002,40,16.9,10.0%,15.5,27.5%,16.6,10.0%,16.7,7.5%,5.0%
CAMDEN FAIRVIEW SCHOOL DISTRICT,CAMDEN FAIRVIEW HIGH SCHOOL,5204023,166,16.2,10.8%,15.1,24.7%,16.4,13.3%,16.4,9.0%,3.6%
HARMONY GROVE SCHOOL DISTRICT (OUACHITA),SPARKMAN HIGH SCHOOL,5205012,10,17.4,20.0%,19.1,60.0%,17.6,20.0%,18.3,10.0%,10.0%
HARMONY GROVE SCHOOL DISTRICT (OUACHITA),HARMONY GROVE HIGH SCHOOL,5205029,48,17.6,22.9%,16.2,35.4%,17.0,18.8%,17.7,14.6%,6.3%
EAST END SCHOOL DISTRICT,BIGELOW HIGH SCHOOL,5301002,45,17.5,13.3%,16.6,42.2%,18.6,33.3%,18.0,17.8%,2.2%
PERRYVILLE SCHOOL DISTRICT,PERRYVILLE HIGH SCHOOL,5303011,59,17.1,13.6%,16.9,35.6%,18.1,22.0%,17.4,15.3%,10.2%
BARTON-LEXA SCHOOL DISTRICT,BARTON HIGH SCHOOL,5401003,54,16.8,7.4%,15.7,27.8%,16.1,5.6%,16.5,1.9%,0.0%
HELENA/ WEST HELENA SCHOOL DISTRICT,CENTRAL HIGH SCHOOL,5403019,98,15.0,4.1%,14.3,21.4%,14.7,5.1%,15.1,2.0%,0.0%
MARVELL-ELAINE SCHOOL DISTRICT,MARVELL-ELAINE HIGH SCHOOL,5404032,26,15.5,7.7%,14.5,26.9%,14.4,3.8%,14.2,0.0%,0.0%
KIPP DELTA PUBLIC SCHOOLS,KIPP:DELTA COLLEGIATE HIGH SCHOOL,5440703,31,18.5,25.8%,17.2,32.3%,18.4,19.4%,17.9,9.7%,9.7%
KIPP DELTA PUBLIC SCHOOLS,KIPP BLYTHEVILLE COLLEGIATE HIGH SCHOOL,5440706,38,17.1,10.5%,14.4,21.1%,15.2,7.9%,16.6,5.3%,2.6%
CENTERPOINT SCHOOL DISTRICT,CENTERPOINT HIGH SCHOOL,5502010,67,18.0,16.4%,17.5,47.8%,18.6,23.9%,19.5,22.4%,10.4%
KIRBY SCHOOL DISTRICT,KIRBY HIGH SCHOOL,5503011,19,16.5,0.0%,15.3,26.3%,17.3,21.1%,17.7,21.1%,0.0%
SOUTH PIKE COUNTY SCHOOL DISTRICT,MURFREESBORO HIGH SCHOOL,5504015,38,17.7,13.2%,17.0,39.5%,18.1,26.3%,19.1,23.7%,2.6%
HARRISBURG SCHOOL DISTRICT,HARRISBURG COLLEGE & CAREER PREPARATORY SCHOOL,5602703,85,17.4,14.1%,16.9,38.8%,17.8,21.2%,17.9,14.1%,8.2%
MARKED TREE SCHOOL DISTRICT,MARKED TREE HIGH SCHOOL,5604017,46,16.4,6.5%,15.2,17.4%,15.5,13.0%,15.1,4.3%,2.2%
TRUMANN SCHOOL DISTRICT,TRUMANN HIGH SCHOOL,5605023,91,17.0,13.2%,15.9,29.7%,16.4,12.1%,16.9,6.6%,3.3%
EAST POINSETT CO. SCHOOL DIST.,EAST POINSETT CO. HIGH SCHOOL,5608037,51,17.7,11.8%,17.0,37.3%,17.8,23.5%,17.6,7.8%,0.0%
MENA SCHOOL DISTRICT,MENA HIGH SCHOOL,5703012,93,19.0,26.9%,18.3,46.2%,19.0,33.3%,18.8,23.7%,16.1%
OUACHITA RIVER SCHOOL DISTRICT,ACORN HIGH SCHOOL,5706002,37,18.5,21.6%,18.2,45.9%,19.4,32.4%,19.5,24.3%,10.8%
OUACHITA RIVER SCHOOL DISTRICT,ODEN SCHOOLS,5706009,15,19.6,33.3%,19.7,60.0%,20.1,40.0%,19.4,20.0%,13.3%
COSSATOT RIVER SCHOOL DISTRICT,COSSATOT RIVER HIGH SCHOOL,5707023,61,17.5,19.7%,16.3,34.4%,17.3,13.1%,17.4,16.4%,4.9%
COSSATOT RIVER SCHOOL DISTRICT,UMPIRE K-12 SCHOOL,5707024,15,17.2,13.3%,19.1,60.0%,19.7,33.3%,18.5,6.7%,6.7%
ATKINS SCHOOL DISTRICT,ATKINS HIGH SCHOOL,5801002,67,19.6,41.8%,19.7,53.7%,19.1,28.4%,19.8,25.4%,17.9%
DOVER SCHOOL DISTRICT,DOVER HIGH SCHOOL,5802006,108,18.2,20.4%,19.5,57.4%,20.3,48.1%,19.5,25.9%,14.8%
HECTOR SCHOOL DISTRICT,HECTOR HIGH SCHOOL,5803010,40,18.2,25.0%,20.4,67.5%,20.5,37.5%,20.0,32.5%,17.5%
POTTSVILLE SCHOOL DISTRICT,POTTSVILLE HIGH SCHOOL,5804014,117,18.3,21.4%,20.2,65.8%,20.3,41.0%,20.2,34.2%,13.7%
RUSSELLVILLE SCHOOL DISTRICT,RUSSELLVILLE HIGH SCHOOL,5805024,414,18.6,26.6%,18.0,50.5%,19.3,37.0%,19.3,26.3%,15.5%
DES ARC SCHOOL DISTRICT,DES ARC HIGH SCHOOL,5901002,44,19.0,22.7%,19.1,47.7%,19.0,25.0%,19.0,15.9%,9.1%
HAZEN SCHOOL DISTRICT,HAZEN HIGH SCHOOL,5903012,45,19.9,35.6%,17.8,44.4%,19.5,28.9%,19.4,22.2%,13.3%
LITTLE ROCK SCHOOL DISTRICT,CENTRAL HIGH SCHOOL,6001001,512,19.6,32.8%,20.1,53.7%,20.6,40.4%,19.9,32.8%,25.2%
LITTLE ROCK SCHOOL DISTRICT,HALL HIGH SCHOOL,6001002,167,15.1,3.6%,13.9,18.6%,15.0,9.0%,15.3,3.0%,1.8%
LITTLE ROCK SCHOOL DISTRICT,PARKVIEW MAGNET HIGH SCHOOL,6001005,258,17.9,19.8%,18.7,51.9%,19.4,33.7%,18.8,20.2%,13.2%
LITTLE ROCK SCHOOL DISTRICT,J.A. FAIR HIGH SCHOOL,6001063,128,15.4,0.8%,13.8,15.6%,15.2,6.3%,15.3,0.8%,0.0%
LITTLE ROCK SCHOOL DISTRICT,MCCLELLAN MAGNET HIGH SCHOOL,6001064,130,15.4,3.1%,13.2,10.8%,14.7,3.8%,14.7,0.0%,0.0%
LITTLE ROCK SCHOOL DISTRICT,ALTERNATIVE AGENCIES,6001067,2,N<10,N<10,N<10,N<10,N<10,N<10,N<10,N<10,N<10
NORTH LITTLE ROCK SCHOOL DISTRICT,NORTH LITTLE ROCK HIGH SCHOOL,6002082,467,17.1,14.6%,16.8,36.0%,17.7,23.6%,17.1,11.8%,8.8%
NORTH LITTLE ROCK SCHOOL DISTRICT,NORTH LITTLE ROCK CENTER OF EXCELLENCE,6002703,86,16.9,11.6%,16.6,37.2%,17.4,19.8%,16.9,7.0%,4.7%
PULASKI COUNTY SPECIAL SCHOOL DISTRICT,WILBUR D. MILLS HIGH SCHOOL,6003125,112,15.8,4.5%,14.4,17.9%,16.0,13.4%,15.8,6.3%,1.8%
PULASKI COUNTY SPECIAL SCHOOL DISTRICT,JOE T. ROBINSON HIGH SCHOOL,6003127,138,17.0,11.6%,16.2,30.4%,17.6,18.8%,17.2,13.0%,5.8%
PULASKI COUNTY SPECIAL SCHOOL DISTRICT,SYLVAN HILLS HIGH SCHOOL,6003128,309,18.0,20.1%,17.8,45.0%,18.8,27.2%,18.5,19.4%,12.3%
PULASKI COUNTY SPECIAL SCHOOL DISTRICT,MAUMELLE HIGH SCHOOL,6003151,229,17.1,12.2%,17.4,42.4%,18.1,22.7%,17.9,14.4%,7.9%
JACKSONVILLE NORTH PULASKI SCHOOL DISTRICT,JACKSONVILLE HIGH SCHOOL,6004009,187,16.3,9.1%,15.0,24.1%,16.3,11.2%,16.4,7.5%,2.7%
ACADEMICS PLUS SCHOOL DISTRICT,MAUMELLE CHARTER HIGH SCHOOL,6040703,42,20.0,38.1%,22.1,83.3%,21.1,45.2%,22.0,50.0%,21.4%
LISA ACADEMY,LISA ACADEMY HIGH,6041703,110,18.6,23.6%,18.7,43.6%,19.1,23.6%,19.0,16.4%,10.9%
LISA ACADEMY,LISA ACADEMY NORTH HIGH CHARTER SCHOOL,6041706,30,20.8,40.0%,22.5,63.3%,22.3,50.0%,20.4,36.7%,30.0%
ARKANSAS VIRTUAL ACADEMY,ARKANSAS VIRTUAL ACADEMY HIGH SCHOOL,6043703,102,17.6,14.7%,18.6,52.0%,19.8,38.2%,18.9,22.5%,10.8%
ESTEM PUBLIC CHARTER SCHOOL,ESTEM HIGH SCHOOL,6047703,149,18.8,26.2%,18.7,50.3%,19.2,31.5%,19.0,25.5%,18.1%
JACKSONVILLE LIGHTHOUSE CHARTER,JACKSONVILLE LIGHTHOUSE COLLEGE PREP ACADEMY HIGH,6050703,49,15.4,4.1%,14.1,14.3%,16.4,12.2%,15.2,0.0%,0.0%
SIATECH LITTLE ROCK CHARTER,SIATECH HIGH CHARTER,6052703,13,14.7,0.0%,14.2,23.1%,14.8,7.7%,15.5,0.0%,0.0%
RESPONSIVE ED SOLUTIONS PREMIER HIGH SCHOOL OF LIT,PREMIER HIGH SCHOOL OF LITTLE ROCK,6053703,11,15.2,9.1%,12.8,18.2%,14.1,9.1%,14.6,9.1%,9.1%
RESPONSIVE EDUCATION SOLUTIONS QUEST MIDDLE SCHOOL,QUEST ACADEMY OF WEST LITTLE ROCK,6054703,12,18.8,25.0%,17.9,33.3%,15.8,0.0%,17.1,8.3%,0.0%
ARK. SCHOOL FOR THE BLIND,ARK. SCHOOL FOR THE BLIND H.S.,6091002,7,N<10,N<10,N<10,N<10,N<10,N<10,N<10,N<10,N<10
MAYNARD SCHOOL DISTRICT,MAYNARD HIGH SCHOOL,6102006,25,16.7,12.0%,14.5,24.0%,15.9,12.0%,16.2,4.0%,4.0%
POCAHONTAS SCHOOL DISTRICT,POCAHONTAS HIGH SCHOOL,6103010,131,20.2,42.7%,19.8,60.3%,19.9,42.7%,19.8,37.4%,26.7%
FORREST CITY SCHOOL DISTRICT,FORREST CITY HIGH SCHOOL,6201011,143,15.5,4.2%,13.8,16.1%,14.7,5.6%,15.3,2.8%,1.4%
PALESTINE-WHEATLEY SCH. DIST.,PALESTINE-WHEATLEY SENIOR HIGH,6205028,50,16.3,8.0%,17.7,38.0%,18.4,24.0%,18.4,12.0%,6.0%
BAUXITE SCHOOL DISTRICT,BAUXITE HIGH SCHOOL,6301002,129,17.6,16.3%,17.9,49.6%,18.7,26.4%,18.9,22.5%,10.1%
BAUXITE SCHOOL DISTRICT,MINER ACADEMY,6301703,7,N<10,N<10,N<10,N<10,N<10,N<10,N<10,N<10,N<10
BENTON SCHOOL DISTRICT,BENTON HIGH SCHOOL,6302012,376,20.1,38.8%,20.3,62.2%,20.4,43.6%,20.2,33.8%,21.8%
BRYANT SCHOOL DISTRICT,BRYANT HIGH SCHOOL,6303022,616,19.0,29.9%,19.5,58.0%,19.4,35.2%,19.2,26.3%,17.4%
HARMONY GROVE SCH DIST(SALINE),HARMONY GROVE HIGH SCHOOL,6304030,85,18.2,23.5%,17.4,47.1%,17.7,21.2%,18.7,22.4%,16.5%
WALDRON SCHOOL DISTRICT,WALDRON HIGH SCHOOL,6401003,109,18.5,27.5%,17.8,44.0%,18.6,28.4%,18.7,28.4%,16.5%
SEARCY COUNTY SCHOOL DISTRICT,MARSHALL HIGH SCHOOL,6502006,58,19.2,31.0%,19.6,58.6%,19.9,37.9%,20.0,22.4%,20.7%
OZARK MOUNTAIN SCHOOL DISTRICT,ST. JOE K-12 SCHOOL,6505015,13,17.1,7.7%,16.5,38.5%,17.6,38.5%,17.5,7.7%,7.7%
OZARK MOUNTAIN SCHOOL DISTRICT,WESTERN GROVE K-12 SCHOOL,6505016,26,17.1,7.7%,15.8,30.8%,17.0,26.9%,16.7,7.7%,3.8%
OZARK MOUNTAIN SCHOOL DISTRICT,BRUNO-PYATT K-12 SCHOOL,6505017,14,17.6,0.0%,16.0,28.6%,15.5,7.1%,17.4,0.0%,0.0%
FORT SMITH SCHOOL DISTRICT,BELLE POINT ALTERNATIVE CENTER,6601005,3,N<10,N<10,N<10,N<10,N<10,N<10,N<10,N<10,N<10
FORT SMITH SCHOOL DISTRICT,NORTHSIDE HIGH SCHOOL,6601024,442,17.3,16.5%,16.0,30.5%,17.3,18.3%,17.9,14.9%,7.0%
FORT SMITH SCHOOL DISTRICT,SOUTHSIDE HIGH SCHOOL,6601025,482,19.7,32.6%,20.7,62.7%,20.6,41.3%,20.4,33.8%,21.8%
GREENWOOD SCHOOL DISTRICT,GREENWOOD HIGH SCHOOL,6602043,293,21.3,47.1%,21.5,72.4%,20.7,43.3%,21.1,41.6%,26.6%
HACKETT SCHOOL DISTRICT,HACKETT HIGH SCHOOL,6603048,55,17.4,10.9%,17.0,40.0%,18.3,27.3%,17.9,14.5%,3.6%
HACKETT SCHOOL DISTRICT,HARTFORD HIGH SCHOOL,6603052,12,18.5,25.0%,16.9,33.3%,18.1,16.7%,18.0,16.7%,16.7%
LAVACA SCHOOL DISTRICT,LAVACA HIGH SCHOOL,6605057,53,18.5,26.4%,17.7,52.8%,17.5,26.4%,17.8,15.1%,7.5%
MANSFIELD SCHOOL DISTRICT,MANSFIELD HIGH SCHOOL,6606062,56,18.1,19.6%,17.8,44.6%,18.9,21.4%,18.7,12.5%,5.4%
FUTURE SCHOOL OF FORT SMITH,FUTURE SCHOOL OF FORT SMITH,6640703,76,18.0,19.7%,19.1,56.6%,20.5,40.8%,19.5,25.0%,11.8%
DEQUEEN SCHOOL DISTRICT,DEQUEEN HIGH SCHOOL,6701003,181,18.5,23.8%,16.8,39.2%,18.3,29.3%,18.4,13.8%,8.8%
HORATIO SCHOOL DISTRICT,HORATIO HIGH SCHOOL,6703013,54,17.6,20.4%,17.4,40.7%,17.6,24.1%,18.1,18.5%,11.1%
CAVE CITY SCHOOL DISTRICT,CAVE CITY HIGH CAREER & COLLEGIATE PREPARATORY SCH,6802703,79,17.7,17.7%,17.6,38.0%,18.3,25.3%,18.0,16.5%,8.9%
HIGHLAND SCHOOL DISTRICT,HIGHLAND HIGH SCHOOL,6804010,96,18.8,27.1%,18.3,47.9%,18.7,33.3%,19.2,25.0%,14.6%
MOUNTAIN VIEW SCHOOL DISTRICT,MOUNTAIN VIEW HIGH SCHOOL,6901007,67,17.8,17.9%,18.9,59.7%,19.3,29.9%,19.1,23.9%,13.4%
MOUNTAIN VIEW SCHOOL DISTRICT,RURAL SPECIAL HIGH SCHOOL,6901012,14,19.2,28.6%,20.1,64.3%,19.8,42.9%,19.5,21.4%,14.3%
MOUNTAIN VIEW SCHOOL DISTRICT,TIMBO HIGH SCHOOL,6901016,16,19.6,37.5%,21.0,87.5%,21.2,37.5%,21.1,31.3%,18.8%
EL DORADO SCHOOL DISTRICT,EL DORADO HIGH SCHOOL,7001012,283,17.6,20.1%,16.9,38.2%,18.2,27.6%,18.3,19.4%,13.1%
JUNCTION CITY SCHOOL DISTRICT,JUNCTION CITY HIGH SCHOOL,7003028,55,16.3,5.5%,17.6,45.5%,18.4,27.3%,16.6,5.5%,3.6%
PARKERS CHAPEL SCHOOL DIST.,PARKERS CHAPEL HIGH SCHOOL,7007040,41,18.2,19.5%,16.9,41.5%,18.4,17.1%,18.0,17.1%,9.8%
SMACKOVER-NORPHLET SCHOOL DISTRICT,SMACKOVER HIGH SCHOOL,7008045,83,17.8,19.3%,17.7,50.6%,18.8,26.5%,18.7,21.7%,8.4%
STRONG-HUTTIG SCHOOL DISTRICT,STRONG HIGH SCHOOL,7009049,27,15.5,7.4%,13.3,14.8%,14.6,11.1%,15.0,0.0%,0.0%
CLINTON SCHOOL DISTRICT,CLINTON HIGH SCHOOL,7102006,89,18.5,28.1%,17.8,44.9%,18.1,25.8%,18.1,11.2%,5.6%
SHIRLEY SCHOOL DISTRICT,SHIRLEY HIGH SCHOOL,7104015,25,19.3,36.0%,17.6,44.0%,19.4,40.0%,19.3,28.0%,20.0%
SOUTH SIDE SCHOOL DISTRICT(VANBUREN),SOUTH SIDE HIGH SCHOOL,7105019,40,16.7,12.5%,15.9,35.0%,16.2,17.5%,17.4,10.0%,2.5%
ELKINS SCHOOL DISTRICT,ELKINS HIGH SCHOOL,7201002,93,18.3,23.7%,18.7,51.6%,18.9,33.3%,19.0,25.8%,12.9%
FARMINGTON SCHOOL DISTRICT,FARMINGTON CAREER ACADEMIES,7202703,170,19.1,27.1%,19.2,58.8%,20.0,37.1%,19.8,25.3%,15.9%
FAYETTEVILLE SCHOOL DISTRICT,FAYETTEVILLE HIGH SCHOOL,7203020,533,20.6,42.2%,21.7,67.5%,21.9,47.8%,21.3,41.8%,29.3%
FAYETTEVILLE SCHOOL DISTRICT,AGEE LIERLY LIFE PREPARATION SERVICES SCHOOL,7203029,46,15.5,0.0%,14.3,17.4%,15.6,6.5%,15.7,2.2%,0.0%
FAYETTEVILLE SCHOOL DISTRICT,FAYETTEVILLE VIRTUAL ACADEMY A DISTRICT CONVERSION,7203703,23,20.4,47.8%,21.3,65.2%,24.3,69.6%,22.3,52.2%,39.1%
GREENLAND SCHOOL DISTRICT,GREENLAND HIGH SCHOOL,7204028,57,17.9,19.3%,17.4,47.4%,19.0,31.6%,17.7,14.0%,10.5%
LINCOLN SCHOOL DISTRICT,LINCOLN HIGH SCHOOL,7205706,98,17.4,19.4%,17.0,49.0%,17.9,25.5%,18.5,22.4%,13.3%
PRAIRIE GROVE SCHOOL DISTRICT,PRAIRIE GROVE HIGH SCHOOL,7206703,151,19.6,36.4%,19.8,61.6%,19.8,42.4%,19.9,29.8%,21.2%
SPRINGDALE SCHOOL DISTRICT,SPRINGDALE HIGH SCHOOL,7207049,415,17.9,17.8%,17.2,41.7%,17.8,22.4%,17.9,11.6%,6.0%
SPRINGDALE SCHOOL DISTRICT,HAR-BER HIGH SCHOOL,7207062,527,19.4,34.5%,19.6,54.5%,20.0,35.5%,20.1,29.0%,19.4%
SPRINGDALE SCHOOL DISTRICT,DON TYSON SCHOOL OF INNOVATION,7207703,115,19.6,29.6%,19.1,57.4%,20.5,33.9%,19.6,25.2%,16.5%
WEST FORK SCHOOL DISTRICT,WEST FORK HIGH SCHOOL,7208062,60,17.0,8.3%,18.3,55.0%,19.6,38.3%,18.4,18.3%,5.0%
HAAS HALL ACADEMY,HAAS HALL ACADEMY,7240703,57,26.3,84.2%,29.1,94.7%,27.8,78.9%,25.8,75.4%,64.9%
BALD KNOB SCHOOL DISTRICT,BALD KNOB HIGH SCHOOL,7301003,99,17.9,21.2%,17.7,44.4%,18.5,27.3%,17.8,16.2%,11.1%
BEEBE SCHOOL DISTRICT,BEEBE HIGH SCHOOL,7302010,220,19.2,26.4%,20.2,60.0%,20.3,36.4%,20.2,30.9%,15.9%
BEEBE SCHOOL DISTRICT,BADGER ACADEMY,7302703,2,N<10,N<10,N<10,N<10,N<10,N<10,N<10,N<10,N<10
BRADFORD SCHOOL DISTRICT,BRADFORD HIGH SCHOOL,7303015,23,18.1,21.7%,17.2,39.1%,18.8,30.4%,18.2,13.0%,8.7%
WHITE CO. CENTRAL SCHOOL DIST.,WHITE CO. CENTRAL HIGH SCHOOL,7304019,55,17.2,14.5%,16.1,27.3%,17.7,20.0%,16.4,9.1%,5.5%
RIVERVIEW SCHOOL DISTRICT,RIVERVIEW HIGH SCHOOL,7307032,94,17.2,9.6%,17.9,53.2%,17.9,23.4%,17.9,17.0%,4.3%
PANGBURN SCHOOL DISTRICT,PANGBURN HIGH SCHOOL,7309039,46,18.0,21.7%,18.1,45.7%,17.9,19.6%,19.0,17.4%,10.9%
ROSE BUD SCHOOL DISTRICT,ROSE BUD HIGH SCHOOL,7310043,54,16.8,13.0%,17.0,50.0%,17.4,24.1%,17.8,13.0%,5.6%
SEARCY SCHOOL DISTRICT,SEARCY HIGH SCHOOL,7311052,268,19.2,30.6%,19.3,55.6%,19.7,34.0%,19.8,29.5%,20.9%
AUGUSTA SCHOOL DISTRICT,AUGUSTA HIGH SCHOOL,7401003,21,15.4,4.8%,13.6,19.0%,15.1,4.8%,14.4,0.0%,0.0%
MCCRORY SCHOOL DISTRICT,MCCRORY HIGH SCHOOL,7403013,46,19.8,34.8%,19.3,52.2%,20.0,39.1%,20.2,32.6%,23.9%
DANVILLE SCHOOL DISTRICT,DANVILLE HIGH SCHOOL,7503006,73,17.5,17.8%,17.0,39.7%,17.0,24.7%,18.0,19.2%,13.7%
DARDANELLE SCHOOL DISTRICT,DARDANELLE HIGH SCHOOL,7504011,105,19.4,30.5%,19.0,58.1%,19.2,33.3%,19.6,27.6%,12.4%
WESTERN YELL CO. SCHOOL DIST.,WESTERN YELL CO. HIGH SCHOOL,7509033,30,15.9,6.7%,14.3,10.0%,15.0,3.3%,16.6,3.3%,3.3%
TWO RIVERS SCHOOL DISTRICT,TWO RIVERS HIGH SCHOOL,7510019,56,16.8,8.9%,16.8,44.6%,17.4,19.6%,18.1,14.3%,3.6%
