,RCDTS,Type,School Name,District,City,County,District Type,District Size,School Type,SAT Reading Average Score,SAT Math Average Score,SAT Math Total Students Level 1 %,SAT Math Total Students Level 2 %,SAT Math Total Students Level 3 %,SAT Math Total Students Level 4 %
2228,170640190260001,School,Ridgeview High School,Ridgeview CUSD 19,Colfax,McLean,UNIT,MEDIUM,HIGH SCHOOL,455.2,448.1,57.1,21.4,21.4,0.0
2232,170640870250001,School,Bloomington High School,Bloomington SD 87,Bloomington,McLean,UNIT,LARGE,HIGH SCHOOL,493.0,472.7,47.8,24.9,22.5,4.8
2379,190220860170001,School,Hinsdale Central High School,Hinsdale Twp HSD 86,Hinsdale,Dupage,HIGH SCHOOL,LARGE,HIGH SCHOOL,599.7,605.1,8.2,20.3,38.6,32.9
2380,190220860170002,School,Hinsdale South High School,Hinsdale Twp HSD 86,Darien,Dupage,HIGH SCHOOL,LARGE,HIGH SCHOOL,535.5,529.6,24.3,32.7,31.7,11.3
2382,190220870170001,School,Glenbard East High School,Glenbard Twp HSD 87,Lombard,Dupage,HIGH SCHOOL,LARGE,HIGH SCHOOL,494.8,487.8,37.4,32.0,25.0,5.6
2383,190220870170002,School,Glenbard North High School,Glenbard Twp HSD 87,Carol Stream,Dupage,HIGH SCHOOL,LARGE,HIGH SCHOOL,502.4,488.4,38.8,30.4,25.5,5.2
2384,190220870170003,School,Glenbard West High School,Glenbard Twp HSD 87,Glen Ellyn,Dupage,HIGH SCHOOL,LARGE,HIGH SCHOOL,552.7,551.8,19.9,27.7,34.1,18.2
2385,190220870170004,School,Glenbard South High School,Glenbard Twp HSD 87,Glen Ellyn,Dupage,HIGH SCHOOL,LARGE,HIGH SCHOOL,525.2,529.3,28.3,26.6,32.8,12.3
2387,190220880160001,School,Addison Trail High School,DuPage HSD 88,Addison,Dupage,HIGH SCHOOL,LARGE,HIGH SCHOOL,491.6,483.1,36.4,39.2,20.3,4.1
2388,190220880160002,School,Willowbrook High School,DuPage HSD 88,Villa Park,Dupage,HIGH SCHOOL,LARGE,HIGH SCHOOL,516.7,504.4,31.6,33.6,28.5,6.3
2406,190220940160001,School,Community High School,CHSD 94,West Chicago,Dupage,HIGH SCHOOL,MEDIUM,HIGH SCHOOL,468.0,460.0,48.7,30.8,18.6,1.8
2408,190220990160001,School,Comm H S Dist 99 - North H S,CHSD 99,Downers Grove,Dupage,HIGH SCHOOL,LARGE,HIGH SCHOOL,546.4,547.6,18.8,27.1,39.4,14.8
2409,190220990160002,School,Comm H S Dist 99 - South High ,CHSD 99,Downers Grove,Dupage,HIGH SCHOOL,LARGE,HIGH SCHOOL,518.4,520.5,25.5,32.7,32.6,9.2
2411,190221000160001,School,Fenton High School,Fenton CHSD 100,Bensenville,Dupage,HIGH SCHOOL,MEDIUM,HIGH SCHOOL,483.0,463.5,48.3,31.8,16.5,3.4
2413,190221080160001,School,Lake Park High School,Lake Park CHSD 108,Roselle,Dupage,HIGH SCHOOL,MEDIUM,HIGH SCHOOL,524.1,514.0,25.3,36.7,30.7,7.2
2428,190222000260020,School,Wheaton Warrenville South H S,CUSD 200,Wheaton,Dupage,UNIT,LARGE,HIGH SCHOOL,539.6,528.5,25.7,31.7,29.9,12.6
2429,190222000260021,School,Wheaton North High School,CUSD 200,Wheaton,Dupage,UNIT,LARGE,HIGH SCHOOL,545.4,538.1,19.5,29.5,37.3,13.7
2449,190222010260001,School,Westmont High School,CUSD 201,Westmont,Dupage,UNIT,MEDIUM,HIGH SCHOOL,548.6,539.9,20.0,30.5,37.9,11.6
2455,190222020260001,School,Lisle High School,Lisle CUSD 202,Lisle,Dupage,UNIT,MEDIUM,HIGH SCHOOL,507.9,508.1,34.6,28.0,28.0,9.3
2459,190222030260001,School,Naperville Central High School,Naperville CUSD 203,Naperville,Dupage,UNIT,LARGE,HIGH SCHOOL,566.3,564.3,15.1,26.3,39.1,19.4
2460,190222030260013,School,Naperville North High School,Naperville CUSD 203,Naperville,Dupage,UNIT,LARGE,HIGH SCHOOL,577.1,582.8,14.1,24.4,34.3,27.3
2482,190222040260001,School,Waubonsie Valley High School,Indian Prairie CUSD 204,Aurora,Dupage,UNIT,LARGE,HIGH SCHOOL,546.2,541.0,23.6,27.8,31.8,16.8
2483,190222040260002,School,Neuqua Valley High School,Indian Prairie CUSD 204,Naperville,Dupage,UNIT,LARGE,HIGH SCHOOL,588.6,592.3,11.2,24.8,34.4,29.6
2484,190222040260005,School,Metea Valley High School,Indian Prairie CUSD 204,Aurora,Dupage,UNIT,LARGE,HIGH SCHOOL,557.5,559.7,20.8,24.5,32.9,21.9
2515,190222050260003,School,York Comm High School,Elmhurst SD 205,Elmhurst,Dupage,UNIT,LARGE,HIGH SCHOOL,558.6,565.8,16.2,26.6,34.2,23.1
2529,200240010260005,School,Edwards County High School,Edwards County CUSD 1,Albion,Edwards,UNIT,MEDIUM,HIGH SCHOOL,496.3,490.3,43.8,26.6,21.9,7.8
2533,200300070260001,School,Gallatin High School,Gallatin CUSD 7,Junction,Gallatin,UNIT,MEDIUM,HIGH SCHOOL,450.7,441.7,61.0,26.8,12.2,0.0
2537,200330100260002,School,Hamilton County Jr/Sr High Sch,Hamilton Co CUSD 10,Mc Leansboro,Hamilton,UNIT,MEDIUM,HIGH SCHOOL,459.7,455.1,50.0,37.5,10.2,2.3
2542,200350010260003,School,Hardin County High School,Hardin County CUSD 1,Elizabethtown,Hardin,UNIT,MEDIUM,HIGH SCHOOL,460.6,443.9,48.4,48.4,3.2,0.0
2546,200760010260001,School,Pope Co High School,Pope Co CUD 1,Golconda,Pope,UNIT,MEDIUM,HIGH SCHOOL,444.0,428.0,60.0,35.0,5.0,0.0
2549,200830010260001,School,Galatia High School,Galatia CUSD 1,Galatia,Saline,UNIT,SMALL,HIGH SCHOOL,469.6,450.0,48.0,44.0,8.0,0.0
2554,200830020260001,School,Carrier Mills-Stonefort H S,Carrier Mills-Stonefort CUSD 2,Carrier Mills,Saline,UNIT,SMALL,HIGH SCHOOL,433.9,419.4,75.0,16.7,8.3,0.0
2557,200830030260001,School,Harrisburg High School,Harrisburg CUSD 3,Harrisburg,Saline,UNIT,LARGE,HIGH SCHOOL,451.3,418.9,71.3,24.0,4.7,0.0
2562,200830040260001,School,Eldorado High School,Eldorado CUSD 4,Eldorado,Saline,UNIT,MEDIUM,HIGH SCHOOL,443.2,411.6,72.0,19.5,8.5,0.0
2568,200933480260001,School,Mount Carmel High School,Wabash CUSD 348,Mount Carmel,Wabash,UNIT,MEDIUM,HIGH SCHOOL,458.3,452.0,55.3,26.3,17.5,0.9
2579,200961000260001,School,Wayne City High School,Wayne City CUSD 100,Wayne City,Wayne,UNIT,MEDIUM,HIGH SCHOOL,425.5,441.0,62.1,24.1,13.8,0.0
2585,200962000260001,School,Cisne High School,North Wayne CUSD 200,Cisne,Wayne,UNIT,SMALL,HIGH SCHOOL,452.4,446.5,58.8,35.3,0.0,5.9
2590,200962250160001,School,Fairfield Comm High School,Fairfield Comm H S Dist 225,Fairfield,Wayne,HIGH SCHOOL,SMALL,HIGH SCHOOL,462.7,448.4,47.9,42.6,8.5,1.1
2592,200970010260003,School,Grayville Jr Sr High School,Grayville CUSD 1,Grayville,White,UNIT,SMALL,HIGH SCHOOL,492.3,448.5,53.8,38.5,7.7,0.0
2595,200970030260001,School,Norris City-Omaha-Enfield H S,Norris City-Omaha-Enfield CUSD,Norris City,White,UNIT,MEDIUM,HIGH SCHOOL,431.0,422.2,65.9,29.3,4.9,0.0
2599,200970050260001,School,Carmi-White County High School,Carmi-White County CUSD 5,Carmi,White,UNIT,MEDIUM,HIGH SCHOOL,470.9,458.0,43.2,42.0,14.8,0.0
2611,210280990260001,School,Christopher High,Christopher USD 99,Christopher,Franklin,UNIT,MEDIUM,HIGH SCHOOL,431.8,431.1,59.6,36.8,3.5,0.0
2614,210281030130001,School,Benton Cons High School,Benton Cons HSD 103,Benton,Franklin,HIGH SCHOOL,SMALL,HIGH SCHOOL,478.0,465.5,38.6,40.9,19.7,0.8
2618,210281680260001,School,Frankfort Community High Schoo,Frankfort CUSD 168,West Frankfort,Franklin,UNIT,LARGE,HIGH SCHOOL,445.3,427.3,67.0,22.7,10.2,0.0
2623,210281740260001,School,Thompsonville High School,Thompsonville CUSD 174,Thompsonville,Franklin,UNIT,SMALL,HIGH SCHOOL,448.6,435.7,67.9,17.9,14.3,0.0
2626,210281880260001,School,Zeigler-Royalton High School,Zeigler-Royalton CUSD 188,Zeigler,Franklin,UNIT,MEDIUM,HIGH SCHOOL,463.8,447.7,53.8,30.8,15.4,0.0
2630,210281960260001,School,Sesser-Valier High School,Sesser-Valier CUSD 196,Sesser,Franklin,UNIT,MEDIUM,HIGH SCHOOL,499.3,477.1,38.1,35.7,26.2,0.0
2634,210440010260001,School,Goreville High School,Goreville CUD 1,Goreville,Johnson,UNIT,MEDIUM,HIGH SCHOOL,478.1,479.2,30.6,44.4,25.0,0.0
2645,210441330170001,School,Vienna High School,Vienna HSD 133,Vienna,Johnson,HIGH SCHOOL,SMALL,HIGH SCHOOL,469.0,445.5,48.1,40.3,11.7,0.0
2647,210610010260001,School,Massac County High School,Massac UD 1,Metropolis,Massac,UNIT,LARGE,HIGH SCHOOL,479.2,446.5,53.5,33.3,12.4,0.8
2655,210610380260001,School,Joppa Jr & Sr High School,Joppa-Maple Grove UD 38,Joppa,Massac,UNIT,SMALL,HIGH SCHOOL,475.5,486.4,18.2,63.6,18.2,0.0
2658,211000010260001,School,Johnston City High School,Johnston City CUSD 1,Johnston City,Williamson,UNIT,MEDIUM,HIGH SCHOOL,453.3,448.0,55.6,25.9,17.3,1.2
2663,211000020260001,School,Marion High School,Marion CUSD 2,Marion,Williamson,UNIT,LARGE,HIGH SCHOOL,466.5,447.2,54.6,31.7,11.2,2.4
2671,211000030260001,School,Crab Orchard High School,Crab Orchard CUSD 3,Marion,Williamson,UNIT,MEDIUM,HIGH SCHOOL,478.5,464.1,51.9,29.6,11.1,7.4
2674,211000040260001,School,Herrin High School,Herrin CUSD 4,Herrin,Williamson,UNIT,LARGE,HIGH SCHOOL,487.9,468.1,50.0,27.9,20.0,2.1
2679,211000050260001,School,Carterville High School,Carterville CUSD 5,Carterville,Williamson,UNIT,LARGE,HIGH SCHOOL,525.4,505.9,30.5,32.5,29.2,7.8
2684,240320010260001,School,Coal City High School,Coal City CUSD 1,Coal City,Grundy,UNIT,LARGE,HIGH SCHOOL,489.3,493.3,28.8,39.2,31.4,0.7
2702,240320730170001,School,Gardner-South Wilmington Twp H,Gardner S Wilmington Twp HSD 7,Gardner,Grundy,HIGH SCHOOL,SMALL,HIGH SCHOOL,500.6,492.9,30.6,42.9,24.5,2.0
2708,240321010160001,School,Morris Community High School,Morris CHSD 101,Morris,Grundy,HIGH SCHOOL,MEDIUM,HIGH SCHOOL,491.8,490.4,38.2,31.2,24.1,6.5
2710,240321110160001,School,Minooka Community High School,Minooka CHSD 111,Minooka,Grundy,HIGH SCHOOL,MEDIUM,HIGH SCHOOL,507.0,491.3,32.5,39.1,24.6,3.8
2720,240470180160001,School,Newark Comm High School,Newark CHSD 18,Newark,Kendall,HIGH SCHOOL,SMALL,HIGH SCHOOL,515.7,485.7,25.0,54.5,15.9,4.5
2725,240470880260001,School,Plano High School,Plano CUSD 88,Plano,Kendall,UNIT,LARGE,HIGH SCHOOL,475.1,450.3,55.4,26.1,16.6,1.9
2733,240471150260001,School,Yorkville High School,Yorkville CUSD 115,Yorkville,Kendall,UNIT,LARGE,HIGH SCHOOL,511.6,498.6,29.7,38.1,28.7,3.4
2743,240473080260001,School,Oswego High School,CUSD 308,Oswego,Kendall,UNIT,LARGE,HIGH SCHOOL,505.8,488.7,36.0,35.4,22.8,5.7
2744,240473080260002,School,Oswego East High School,CUSD 308,Oswego,Kendall,UNIT,LARGE,HIGH SCHOOL,515.7,511.8,27.0,37.4,27.8,7.7
2765,260290010260001,School,Astoria High School,Astoria CUSD 1,Astoria,Fulton,UNIT,SMALL,HIGH SCHOOL,451.8,420.6,70.6,23.5,5.9,0.0
2769,260290020260001,School,V I T Sr High School,V I T CUSD 2,Table Grove,Fulton,UNIT,SMALL,HIGH SCHOOL,461.0,441.4,57.1,38.1,0.0,4.8
2773,260290030260001,School,Cuba Sr High School,CUSD 3 Fulton County,Cuba,Fulton,UNIT,SMALL,HIGH SCHOOL,471.7,432.9,66.7,25.0,8.3,0.0
2777,260290040260001,School,Spoon River Valley Sr High Sch,Spoon River Valley CUSD 4,London Mills,Fulton,UNIT,SMALL,HIGH SCHOOL,496.1,476.1,38.9,33.3,27.8,0.0
2781,260290660250001,School,Canton High School,Canton Union SD 66,Canton,Fulton,UNIT,LARGE,HIGH SCHOOL,484.9,479.7,37.6,37.6,20.8,4.0
2787,260290970260001,School,Lewistown Jr/Sr High School,Lewistown CUSD 97,Lewistown,Fulton,UNIT,MEDIUM,HIGH SCHOOL,456.3,428.3,56.1,36.6,7.3,0.0
2790,260343070160001,School,Illini West High School,Illini West H S Dist 307,Carthage,Hancock,HIGH SCHOOL,SMALL,HIGH SCHOOL,476.6,452.4,55.2,25.4,19.4,0.0
2792,260343160260001,School,Warsaw Sr High School,Warsaw CUSD 316,Warsaw,Hancock,UNIT,SMALL,HIGH SCHOOL,514.2,472.0,40.0,46.7,13.3,0.0
2802,260343280240001,School,Hamilton High School,Hamilton CCSD 328,Hamilton,Hancock,UNIT,MEDIUM,HIGH SCHOOL,492.7,471.0,36.7,56.7,6.7,0.0
2805,260343370260001,School,Southeastern Jr/Sr High School,Southeastern CUSD 337,Augusta,Hancock,UNIT,SMALL,HIGH SCHOOL,445.9,449.0,44.8,44.8,10.3,0.0
2811,260621030260001,School,West Prairie Senior High Schoo,West Prairie CUSD 103,Sciota,McDonough,UNIT,MEDIUM,HIGH SCHOOL,473.4,436.9,62.1,27.6,10.3,0.0
2816,260621700260001,School,Bushnell-Prairie City High Sch,Bushnell Prairie City CUSD 170,Bushnell,McDonough,UNIT,MEDIUM,HIGH SCHOOL,459.8,437.0,50.0,42.5,7.5,0.0
2820,260621850260001,School,Macomb Senior High School,Macomb CUSD 185,Macomb,McDonough,UNIT,LARGE,HIGH SCHOOL,501.2,484.6,36.1,37.5,23.6,2.8
2826,260850050260001,School,Rushville-Industry High School,Schuyler-Industry CUSD 5,Rushville,Schuyler,UNIT,MEDIUM,HIGH SCHOOL,484.7,465.0,46.9,34.4,18.8,0.0
2841,280061030220001,School,DePue High School,DePue USD 103,DePue,Bureau,UNIT,SMALL,HIGH SCHOOL,433.7,418.9,81.5,11.1,3.7,3.7
2849,280063030260001,School,La Moille Jr/Sr High School,La Moille CUSD 303,La Moille,Bureau,UNIT,SMALL,HIGH SCHOOL,477.4,469.5,36.8,42.1,21.1,0.0
2853,280063400260001,School,Bureau Valley High School,Bureau Valley CUSD 340,Manlius,Bureau,UNIT,MEDIUM,HIGH SCHOOL,472.5,452.7,53.2,32.9,11.4,2.5
2858,280065000150001,School,Princeton High School,Princeton HSD 500,Princeton,Bureau,HIGH SCHOOL,SMALL,HIGH SCHOOL,505.1,489.1,29.4,44.4,23.8,2.4
2860,280065020170001,School,Hall High School,Hall HSD 502,Spring Valley,Bureau,HIGH SCHOOL,SMALL,HIGH SCHOOL,464.4,454.4,55.1,25.8,15.7,3.4
2862,280065050160001,School,Ohio Community High School,Ohio CHSD 505,Ohio,Bureau,HIGH SCHOOL,SMALL,HIGH SCHOOL,,,,,,
2866,280372230260001,School,Orion High School,Orion CUSD 223,Orion,Henry,UNIT,MEDIUM,HIGH SCHOOL,496.9,508.4,24.7,35.1,39.0,1.3
2870,280372240260001,School,Galva Jr-Sr High School,Galva CUSD 224,Galva,Henry,UNIT,MEDIUM,HIGH SCHOOL,469.2,439.6,58.3,33.3,8.3,0.0
2873,280372250260001,School,AlWood  Middle/High School,AlWood CUSD 225,Woodhull,Henry,UNIT,SMALL,HIGH SCHOOL,525.0,481.3,40.0,40.0,16.7,3.3
2876,280372260260001,School,Annawan High School,Annawan CUSD 226,Annawan,Henry,UNIT,SMALL,HIGH SCHOOL,459.5,474.5,45.5,31.8,18.2,4.5
2879,280372270260002,School,Cambridge Jr/Sr High School,Cambridge CUSD 227,Cambridge,Henry,UNIT,SMALL,HIGH SCHOOL,495.3,478.4,34.4,50.0,15.6,0.0
2882,280372280260001,School,Geneseo High School,Geneseo CUSD 228,Geneseo,Henry,UNIT,LARGE,HIGH SCHOOL,517.1,506.3,27.6,37.3,30.3,4.9
2888,280372290260001,School,Kewanee High School,Kewanee CUSD 229,Kewanee,Henry,UNIT,LARGE,HIGH SCHOOL,445.5,434.0,65.5,28.2,5.5,0.9
2896,280372300260002,School,Wethersfield Jr/Sr High School,Wethersfield CUSD 230,Kewanee,Henry,UNIT,MEDIUM,HIGH SCHOOL,478.3,451.4,47.2,38.9,13.9,0.0
2902,280881000260001,School,Stark County High School,Stark County CUSD 100,Toulon,Stark,UNIT,MEDIUM,HIGH SCHOOL,491.1,481.7,34.0,42.6,23.4,0.0
2906,300020010220001,School,Cairo Jr/Sr High School,Cairo USD 1,Cairo,Alexander,UNIT,SMALL,HIGH SCHOOL,396.4,396.4,85.7,14.3,0.0,0.0
2909,300020050260001,School,Egyptian Sr High School,Egyptian CUSD 5,Tamms,Alexander,UNIT,SMALL,HIGH SCHOOL,448.4,438.4,63.2,21.1,15.8,0.0
2924,300391650160001,School,Carbondale Comm H S,Carbondale CHSD 165,Carbondale,Jackson,HIGH SCHOOL,MEDIUM,HIGH SCHOOL,503.1,480.8,42.9,30.2,20.5,6.3
2926,300391760260001,School,Trico Senior High School,Trico CUSD 176,Campbell Hill,Jackson,UNIT,MEDIUM,HIGH SCHOOL,480.3,463.0,43.3,40.3,16.4,0.0
2930,300391860260001,School,Murphysboro High School,Murphysboro CUSD 186,Murphysboro,Jackson,UNIT,LARGE,HIGH SCHOOL,461.3,454.8,50.5,34.2,15.3,0.0
2936,300391960260001,School,Elverado High School,Elverado CUSD 196,Elkville,Jackson,UNIT,SMALL,HIGH SCHOOL,443.3,450.4,54.2,33.3,12.5,0.0
2946,300731010160001,School,Pinckneyville Comm High School,Pinckneyville CHSD 101,Pinckneyville,Perry,HIGH SCHOOL,SMALL,HIGH SCHOOL,465.9,475.8,36.3,44.2,17.7,1.8
2950,300733000260001,School,Du Quoin High School,Du Quoin CUSD 300,Du Quoin,Perry,UNIT,MEDIUM,HIGH SCHOOL,465.2,450.2,53.7,27.8,15.7,2.8
2954,300771000260001,School,Century Jr/Sr High School,Century CUSD 100,Ullin,Pulaski,UNIT,SMALL,HIGH SCHOOL,449.0,422.8,69.0,31.0,0.0,0.0
2957,300771010260001,School,Meridian High School,Meridian CUSD 101,Mounds,Pulaski,UNIT,SMALL,HIGH SCHOOL,411.4,387.1,89.3,10.7,0.0,0.0
2962,300910170220001,School,Cobden High School,Cobden SUD 17,Cobden,Union,UNIT,MEDIUM,HIGH SCHOOL,481.0,478.3,29.3,48.8,22.0,0.0
2972,300910660220001,School,Dongola High School,Dongola USD 66,Dongola,Union,UNIT,SMALL,HIGH SCHOOL,454.0,426.0,66.7,26.7,6.7,0.0
2976,300910810160001,School,Anna-Jonesboro High School,Anna Jonesboro CHSD 81,Anna,Union,HIGH SCHOOL,SMALL,HIGH SCHOOL,449.2,450.2,51.9,34.1,11.6,2.3
2978,300910840260001,School,Shawnee High School,Shawnee CUSD 84,Wolf Lake,Union,UNIT,SMALL,HIGH SCHOOL,436.1,440.0,61.1,33.3,5.6,0.0
2982,310450460220001,School,Elgin High School,SD U-46,Elgin,Kane,UNIT,LARGE,HIGH SCHOOL,454.1,440.5,62.6,22.4,12.2,2.8
2983,310450460220002,School,Larkin High School,SD U-46,Elgin,Kane,UNIT,LARGE,HIGH SCHOOL,449.1,430.6,63.4,27.7,8.2,0.6
2984,310450460220003,School,Streamwood High School,SD U-46,Streamwood,Kane,UNIT,LARGE,HIGH SCHOOL,478.6,460.6,47.5,34.1,14.9,3.5
2985,310450460220004,School,Bartlett High School,SD U-46,Bartlett,Kane,UNIT,LARGE,HIGH SCHOOL,504.2,494.6,36.9,31.3,25.4,6.5
2986,310450460220005,School,South Elgin High School,SD U-46,South Elgin,Kane,UNIT,LARGE,HIGH SCHOOL,502.0,494.3,38.3,28.8,26.2,6.7
3036,310451010220001,School,Batavia Sr High School,Batavia USD 101,Batavia,Kane,UNIT,LARGE,HIGH SCHOOL,530.2,533.9,22.5,28.2,38.6,10.7
3045,310451290220001,School,West Aurora High School,Aurora West USD 129,Aurora,Kane,UNIT,LARGE,HIGH SCHOOL,471.5,461.9,48.7,31.2,18.0,2.2
3062,310451310220001,School,East High School,Aurora East USD 131,Aurora,Kane,UNIT,LARGE,HIGH SCHOOL,432.8,410.7,70.2,21.6,7.8,0.5
3081,310453000260002,School,Dundee-Crown High School,CUSD 300,Carpentersville,Kane,UNIT,LARGE,HIGH SCHOOL,466.6,458.0,51.5,28.5,18.2,1.8
3082,310453000260003,School,Hampshire High School,CUSD 300,Hampshire,Kane,UNIT,LARGE,HIGH SCHOOL,507.8,495.0,32.3,36.7,28.6,2.4
3083,310453000260004,School,Harry D Jacobs High School,CUSD 300,Algonquin,Kane,UNIT,LARGE,HIGH SCHOOL,514.3,500.6,33.6,34.3,25.3,6.7
3108,310453010260001,School,Central High School,Central CUSD 301,Burlington,Kane,UNIT,LARGE,HIGH SCHOOL,526.6,527.5,22.0,30.7,38.4,8.9
3116,310453020260001,School,Kaneland Senior High School,Kaneland CUSD 302,Maple Park,Kane,UNIT,LARGE,HIGH SCHOOL,524.2,505.1,26.1,39.4,30.0,4.5
3123,310453030260011,School,St Charles East High School,St Charles CUSD 303,Saint Charles,Kane,UNIT,LARGE,HIGH SCHOOL,544.9,545.8,15.9,31.7,38.2,14.1
3124,310453030260012,School,St Charles North High School,St Charles CUSD 303,Saint Charles,Kane,UNIT,LARGE,HIGH SCHOOL,544.4,551.7,16.0,29.5,39.4,15.1
3139,310453040260001,School,Geneva Community High School,Geneva CUSD 304,Geneva,Kane,UNIT,LARGE,HIGH SCHOOL,553.4,551.7,14.9,29.8,41.1,14.2
3154,320380030260001,School,Donovan Sr High School,Donovan CUSD 3,Donovan,Iroquois,UNIT,SMALL,HIGH SCHOOL,461.3,457.5,43.8,50.0,6.3,0.0
3158,320380040260001,School,Central High School,Central CUSD 4,Clifton,Iroquois,UNIT,MEDIUM,HIGH SCHOOL,465.5,447.7,50.7,38.7,10.7,0.0
3163,320380060260001,School,Cissna Park Sr High School,Cissna Park CUSD 6,Cissna Park,Iroquois,UNIT,SMALL,HIGH SCHOOL,467.5,436.7,50.0,41.7,8.3,0.0
3167,320380090260001,School,Watseka Comm High School,Iroquois County CUSD 9,Watseka,Iroquois,UNIT,MEDIUM,HIGH SCHOOL,484.4,461.5,45.1,36.6,18.3,0.0
3172,320380100260001,School,Iroquois West High School,Iroquois West CUSD 10,Gilman,Iroquois,UNIT,MEDIUM,HIGH SCHOOL,472.4,447.1,53.6,33.3,13.1,0.0
3178,320381240260001,School,Milford High School Campus,Milford Area Public Schools Di,Milford,Iroquois,UNIT,MEDIUM,HIGH SCHOOL,511.9,513.1,19.4,50.0,27.8,2.8
3183,320460010260003,School,Momence High School,Momence CUSD 1,Momence,Kankakee,UNIT,MEDIUM,HIGH SCHOOL,445.7,431.6,62.0,27.8,10.1,0.0
3187,320460020260001,School,Herscher High School,Herscher CUSD 2,Herscher,Kankakee,UNIT,MEDIUM,HIGH SCHOOL,483.5,487.2,39.7,24.6,31.0,4.8
3192,320460050260005,School,Manteno High School,Manteno CUSD 5,Manteno,Kankakee,UNIT,LARGE,HIGH SCHOOL,471.0,466.0,47.7,27.8,22.5,2.0
3196,320460060260001,School,Grant Park High School,Grant Park CUSD 6,Grant Park,Kankakee,UNIT,MEDIUM,HIGH SCHOOL,470.0,434.2,52.0,36.0,12.0,0.0
3209,320461110250014,School,Kankakee High School,Kankakee SD 111,Kankakee,Kankakee,UNIT,LARGE,HIGH SCHOOL,435.4,411.6,76.5,16.9,6.3,0.4
3226,320463020160001,School,St Anne Comm High School,St Anne CHSD 302,Saint Anne,Kankakee,HIGH SCHOOL,SMALL,HIGH SCHOOL,446.2,412.8,65.2,30.4,4.3,0.0
3228,320463070160001,School,Bradley-Bourbonnais C High Sch,Bradley Bourbonnais CHSD 307,Bradley,Kankakee,HIGH SCHOOL,MEDIUM,HIGH SCHOOL,475.1,454.6,49.1,35.8,13.4,1.7
3230,330362350260001,School,West Central High School,West Central CUSD 235,Biggsville,Henderson,UNIT,MEDIUM,HIGH SCHOOL,454.5,433.4,53.6,35.7,8.9,1.8
3235,330482020260001,School,Knoxville Sr High School,Knoxville CUSD 202,Knoxville,Knox,UNIT,MEDIUM,HIGH SCHOOL,483.2,484.3,50.6,18.2,26.0,5.2
3239,330482050260023,School,Galesburg High School,Galesburg CUSD 205,Galesburg,Knox,UNIT,LARGE,HIGH SCHOOL,465.7,459.4,51.4,29.6,16.2,2.8
3247,330482080260001,School,R O W V A Jr and  Sr High Scho,R O W V A CUSD 208,Oneida,Knox,UNIT,MEDIUM,HIGH SCHOOL,483.0,454.3,51.8,33.9,14.3,0.0
3250,330482100260001,School,Williamsfield High School,Williamsfield CUSD 210,Williamsfield,Knox,UNIT,SMALL,HIGH SCHOOL,492.8,468.3,44.4,38.9,16.7,0.0
3254,330482760260001,School,Abingdon-Avon High Sch,Abingdon-Avon CUSD 276,Abingdon,Knox,UNIT,MEDIUM,HIGH SCHOOL,467.1,426.2,65.8,26.0,8.2,0.0
3259,330664040260001,School,Mercer County High School,Mercer County School District ,Aledo,Mercer,UNIT,MEDIUM,HIGH SCHOOL,472.5,468.4,36.5,47.1,16.5,0.0
3265,330942380260001,School,Monmouth-Roseville High Sch,Monmouth-Roseville CUSD 238,Monmouth,Warren,UNIT,MEDIUM,HIGH SCHOOL,476.1,460.4,50.0,29.1,18.2,2.7
3271,330943040260001,School,United High School,United CUSD 304,Monmouth,Warren,UNIT,MEDIUM,HIGH SCHOOL,474.2,466.3,41.7,38.3,20.0,0.0
3338,340490600260022,School,Waukegan High School,Waukegan CUSD 60,Waukegan,Lake,UNIT,LARGE,HIGH SCHOOL,425.8,413.0,71.9,22.8,5.3,0.0
3403,340490950260001,School,Lake Zurich High School,Lake Zurich CUSD 95,Lake Zurich,Lake,UNIT,LARGE,HIGH SCHOOL,558.3,558.9,13.4,32.2,36.6,17.8
3449,340491130170001,School,Deerfield High School,Twp HSD 113,Deerfield,Lake,HIGH SCHOOL,LARGE,HIGH SCHOOL,586.2,585.5,9.3,24.1,41.1,25.6
3450,340491130170002,School,Highland Park High School,Twp HSD 113,Highland Park,Lake,HIGH SCHOOL,LARGE,HIGH SCHOOL,555.3,548.2,22.4,24.0,37.1,16.6
3455,340491150160001,School,Lake Forest High School,Lake Forest CHSD 115,Lake Forest,Lake,HIGH SCHOOL,MEDIUM,HIGH SCHOOL,583.9,582.4,9.6,23.6,44.9,21.9
3457,340491160260006,School,Round Lake Senior High School,Round Lake CUSD 116,Round Lake,Lake,UNIT,LARGE,HIGH SCHOOL,449.6,435.9,58.0,33.2,8.2,0.6
3467,340491170160001,School,Antioch Comm High School,CHSD 117,Antioch,Lake,HIGH SCHOOL,MEDIUM,HIGH SCHOOL,508.0,497.3,31.5,36.4,27.5,4.6
3468,340491170160002,School,Lakes Community High School,CHSD 117,Lake Villa,Lake,HIGH SCHOOL,MEDIUM,HIGH SCHOOL,519.7,517.8,27.2,32.3,30.1,10.4
3470,340491180260005,School,Wauconda High School,Wauconda CUSD 118,Wauconda,Lake,UNIT,LARGE,HIGH SCHOOL,499.7,474.6,43.1,31.4,22.5,3.1
