,RCDTS,Type,School Name,District,City,County,District Type,District Size,School Type,SAT Reading Average Score,SAT Math Average Score,SAT Math Total Students Level 1 %,SAT Math Total Students Level 2 %,SAT Math Total Students Level 3 %,SAT Math Total Students Level 4 %
261,041012070160001,School,Hononegah CHD High School,Hononegah CHD 207,Rockton,Winnebago,HIGH SCHOOL,MEDIUM,HIGH SCHOOL,544.4,525.2,20.8,33.2,39.6,6.4
263,041013200260001,School,South Beloit Sr High School,County of Winnebago SD 320,South Beloit,Winnebago,UNIT,MEDIUM,HIGH SCHOOL,471.9,473.8,34.5,46.6,19.0,0.0
269,041013210260001,School,Pecatonica High School,Pecatonica CUSD 321,Pecatonica,Winnebago,UNIT,MEDIUM,HIGH SCHOOL,523.4,514.7,28.8,32.2,28.8,10.2
273,041013220260001,School,Durand High School,Durand CUSD 322,Durand,Winnebago,UNIT,MEDIUM,HIGH SCHOOL,533.5,515.8,17.9,48.7,23.1,10.3
277,041013230260001,School,Winnebago High School,Winnebago CUSD 323,Winnebago,Winnebago,UNIT,MEDIUM,HIGH SCHOOL,507.3,496.5,24.3,46.7,27.1,1.9
508,050162020170001,School,Evanston Twp High School,Evanston Twp HSD 202,Evanston,Cook,HIGH SCHOOL,MEDIUM,HIGH SCHOOL,547.2,533.6,27.9,24.9,31.7,15.5
510,050162030170001,School,New Trier Township H S Winnetk,New Trier Twp HSD 203,Winnetka,Cook,HIGH SCHOOL,LARGE,HIGH SCHOOL,613.0,612.5,5.6,18.1,42.6,33.7
511,050162030170002,School,New Trier Township H S Northfi,New Trier Twp HSD 203,Northfield,Cook,HIGH SCHOOL,LARGE,HIGH SCHOOL,,,,,,
513,050162070170001,School,Maine East High School,Maine Township HSD 207,Park Ridge,Cook,HIGH SCHOOL,LARGE,HIGH SCHOOL,493.4,477.7,42.1,31.6,21.2,5.1
514,050162070170003,School,Maine South High School,Maine Township HSD 207,Park Ridge,Cook,HIGH SCHOOL,LARGE,HIGH SCHOOL,556.9,551.6,16.4,31.7,35.8,16.1
515,050162070170004,School,Maine West High School,Maine Township HSD 207,Des Plaines,Cook,HIGH SCHOOL,LARGE,HIGH SCHOOL,482.8,473.1,46.2,32.5,16.3,5.0
517,050162110170001,School,J B Conant High School,Township HSD 211,Hoffman Estates,Cook,HIGH SCHOOL,LARGE,HIGH SCHOOL,540.4,551.4,22.1,25.9,30.6,21.4
518,050162110170002,School,Wm Fremd High School,Township HSD 211,Palatine,Cook,HIGH SCHOOL,LARGE,HIGH SCHOOL,571.0,577.6,15.2,23.0,36.0,25.7
519,050162110170003,School,Palatine High School,Township HSD 211,Palatine,Cook,HIGH SCHOOL,LARGE,HIGH SCHOOL,485.8,480.8,46.5,27.2,18.0,8.3
520,050162110170004,School,Schaumburg High School,Township HSD 211,Schaumburg,Cook,HIGH SCHOOL,LARGE,HIGH SCHOOL,519.5,537.5,23.7,27.1,35.3,13.8
521,050162110170006,School,Hoffman Estates High School,Township HSD 211,Hoffman Estates,Cook,HIGH SCHOOL,LARGE,HIGH SCHOOL,511.8,517.1,31.6,27.7,30.4,10.3
523,050162140170002,School,Elk Grove High School,Township HSD 214,Elk Grove Village,Cook,HIGH SCHOOL,LARGE,HIGH SCHOOL,498.0,487.9,37.9,32.2,24.3,5.5
524,050162140170004,School,John Hersey High School,Township HSD 214,Arlington Heights,Cook,HIGH SCHOOL,LARGE,HIGH SCHOOL,571.2,560.7,15.7,27.0,40.1,17.2
525,050162140170005,School,Prospect High School,Township HSD 214,Mt Prospect,Cook,HIGH SCHOOL,LARGE,HIGH SCHOOL,567.0,566.9,12.2,28.0,41.7,18.0
526,050162140170006,School,Wheeling High School,Township HSD 214,Wheeling,Cook,HIGH SCHOOL,LARGE,HIGH SCHOOL,491.3,484.1,40.1,33.5,20.3,6.1
527,050162140170007,School,Rolling Meadows High School,Township HSD 214,Rolling Meadows,Cook,HIGH SCHOOL,LARGE,HIGH SCHOOL,516.7,507.0,30.8,31.7,28.7,8.8
528,050162140170008,School,Buffalo Grove High School,Township HSD 214,Buffalo Grove,Cook,HIGH SCHOOL,LARGE,HIGH SCHOOL,530.8,541.4,24.2,27.3,31.8,16.7
530,050162190170002,School,Niles North High School,Niles Twp HSD 219,Skokie,Cook,HIGH SCHOOL,LARGE,HIGH SCHOOL,526.5,513.5,27.2,34.4,28.7,9.7
531,050162190170003,School,Niles West High School,Niles Twp HSD 219,Skokie,Cook,HIGH SCHOOL,LARGE,HIGH SCHOOL,524.5,521.1,25.3,34.5,29.0,11.3
533,050162250170001,School,Glenbrook North High School,Northfield Twp HSD 225,Northbrook,Cook,HIGH SCHOOL,LARGE,HIGH SCHOOL,583.2,591.3,12.3,20.9,39.6,27.2
534,050162250170002,School,Glenbrook South High School,Northfield Twp HSD 225,Glenview,Cook,HIGH SCHOOL,LARGE,HIGH SCHOOL,573.5,571.5,13.3,26.1,37.9,22.7
691,060162000130001,School,Oak Park & River Forest High S,Oak Park - River Forest SD 200,Oak Park,Cook,HIGH SCHOOL,MEDIUM,HIGH SCHOOL,571.7,549.9,20.8,26.8,35.5,16.9
693,060162010170001,School,J Sterling Morton East High Sc,J S Morton HSD 201,Cicero,Cook,HIGH SCHOOL,LARGE,HIGH SCHOOL,438.0,420.7,70.4,22.2,6.7,0.7
694,060162010170002,School,J Sterling Morton West High Sc,J S Morton HSD 201,Berwyn,Cook,HIGH SCHOOL,LARGE,HIGH SCHOOL,458.3,436.5,61.0,29.0,8.6,1.3
695,060162010170003,School,J Sterling Morton Freshman Cnt,J S Morton HSD 201,Cicero,Cook,HIGH SCHOOL,LARGE,HIGH SCHOOL,,,,,,
697,060162040170001,School,Lyons Twp High Sch,Lyons Twp HSD 204,La Grange,Cook,HIGH SCHOOL,LARGE,HIGH SCHOOL,547.1,543.1,19.3,29.5,38.0,13.2
699,060162080170001,School,Riverside Brookfield Twp HS,Riverside-Brookfield Twp SD 20,Riverside,Cook,HIGH SCHOOL,MEDIUM,HIGH SCHOOL,530.7,520.8,27.4,29.1,32.3,11.2
701,060162090170001,School,Proviso East High School,Proviso Twp HSD 209,Maywood,Cook,HIGH SCHOOL,LARGE,HIGH SCHOOL,413.7,393.1,85.2,13.0,1.8,0.0
702,060162090170002,School,Proviso West High School,Proviso Twp HSD 209,Hillside,Cook,HIGH SCHOOL,LARGE,HIGH SCHOOL,442.2,417.9,73.4,22.7,3.9,0.0
703,060162090170003,School,Proviso Math and Science Acade,Proviso Twp HSD 209,Forest Park,Cook,HIGH SCHOOL,LARGE,HIGH SCHOOL,535.4,521.0,22.3,38.3,33.7,5.7
705,060162120160001,School,East Leyden High School,Leyden CHSD 212,Franklin Park,Cook,HIGH SCHOOL,MEDIUM,HIGH SCHOOL,479.2,467.2,42.3,36.8,19.5,1.4
706,060162120160002,School,West Leyden High School,Leyden CHSD 212,Northlake,Cook,HIGH SCHOOL,MEDIUM,HIGH SCHOOL,458.7,439.2,56.9,33.8,8.0,1.4
708,060162340160001,School,Ridgewood Comm High School,Ridgewood CHSD 234,Norridge,Cook,HIGH SCHOOL,MEDIUM,HIGH SCHOOL,494.4,468.8,41.7,40.2,17.1,1.0
710,060164010260001,School,Elmwood Park High School,Elmwood Park CUSD 401,Elmwood Park,Cook,UNIT,LARGE,HIGH SCHOOL,493.5,478.1,41.7,33.9,21.5,2.9
999,070162050170001,School,Thornton Township High School,Thornton Twp HSD 205,Harvey,Cook,HIGH SCHOOL,LARGE,HIGH SCHOOL,436.0,418.1,73.6,19.7,6.1,0.6
1000,070162050170002,School,Thornridge High School,Thornton Twp HSD 205,Dolton,Cook,HIGH SCHOOL,LARGE,HIGH SCHOOL,428.6,408.2,77.2,17.2,5.6,0.0
1001,070162050170003,School,Thornwood High School,Thornton Twp HSD 205,South Holland,Cook,HIGH SCHOOL,LARGE,HIGH SCHOOL,440.8,422.6,68.5,23.6,7.1,0.8
1003,070162060170001,School,Bloom High School,Bloom Twp HSD 206,Chicago Heights,Cook,HIGH SCHOOL,MEDIUM,HIGH SCHOOL,443.7,423.7,72.1,21.1,6.8,0.0
1004,070162060170002,School,Bloom Trail High School,Bloom Twp HSD 206,Chicago Heights,Cook,HIGH SCHOOL,MEDIUM,HIGH SCHOOL,450.8,423.1,68.0,22.2,9.3,0.5
1006,070162100170001,School,Lemont Twp High School,Lemont Twp HSD 210,Lemont,Cook,HIGH SCHOOL,MEDIUM,HIGH SCHOOL,533.3,534.5,19.5,33.3,35.8,11.3
1008,070162150170001,School,Thornton Fractnl No High Schoo,Thornton Fractional Twp HSD 21,Calumet City,Cook,HIGH SCHOOL,MEDIUM,HIGH SCHOOL,438.4,417.2,72.0,22.3,5.7,0.0
1009,070162150170002,School,Thornton Fractnl So High Schoo,Thornton Fractional Twp HSD 21,Lansing,Cook,HIGH SCHOOL,MEDIUM,HIGH SCHOOL,453.9,430.2,67.1,21.4,10.8,0.6
