Unnamed: 0,RCDTS,Type,School Name,District,City,County,District Type,District Size,School Type,SAT Reading Average Score,SAT Math Average Score,SAT Math Total Students Level 1 %,SAT Math Total Students Level 2 %,SAT Math Total Students Level 3 %,SAT Math Total Students Level 4 %,state_name_x,latitude,longitude,address,zip_code,county_name_x,city_name,county_code,Street Address,Tract,unique_id,year,tract_number,county_name_y,state_name_y,Population 18 to 24 years (estimate),"18-24, less than high school graduate (estimate)","18-24, high school graduate or eq. (estimate)","18-24, some college or associate's degree (estimate)","18-24, bachelor's degree or higher",Population 25 years and over (estimate),"25 and over, less than 9th grade (estimate)","25 and over, 9th to 12th grade, no diploma (estimate)","25 and over, high school graduate or eq. (estimate)","25 and over, some college, no degree (estimate)","25 and over, associate's degree (estimate)","25 and over, bachelor's degree (estimate)","25 and over, graduate or professional degree (estimate)","18-24, less than high school graduate (percentage)","18-24, high school graduate or eq. (percentage)","18-24, some college or associate's degree (percentage)","18-24, bachelor's degree or higher (percentage)","25 and over, less than 9th grade (percentage)","25 and over, 9th to 12th grade, no diploma (percentage)","25 and over, high school graduate or eq. (percentage)","25 and over, some college, no degree (percentage)","25 and over, associate's degree (percentage)","25 and over, bachelor's degree (percentage)","25 and over, graduate or professional degree (percentage)",Total number of households,Median household income (dollars),Mean household income (dollars),Total population,Hispanic or Latino (estimate),Hispanic or Latino (percentage),Not Hispanic or Latino (estimate),Not Hispanic or Latino (percentage),White alone (estimate),White alone (percentage),Black or African American alone (estimate),Black or African American alone (percentage),American Indian and Alaska Native alone (estimate),American Indian and Alaska Native alone (percentage),Asian alone (estimate),Asian alone (percentage),Native Hawaiian and Other Pacific Islander alone (estimate),Native Hawaiian and Other Pacific Islander alone (percentage),Some other race alone (estimate),Some other race alone (percentage),Two or more races alone (estimate),Two or more races alone (percentage),Math Scores,RW Scores
86,3.00E+13,School,Mulberry Grove Sr High School,Mulberry Grove CUSD 1,Mulberry Grove,Bond,UNIT,SMALL,HIGH SCHOOL,430.7,453.7,44.4,51.9,3.7,0,Illinois,38.924212,-89.2775275,801 West Wall Street,62262,Bond County,Mulberry Grove,17005,"801 West Wall Street, Mulberry Grove, Illinois, 62262",951200,17005951200,2020,951200,Bond County,Illinois,164,29,41,85,9,2303,47,122,846,477,356,369,86,17.7,25,51.8,5.5,2,5.3,36.7,20.7,15.5,16,3.7,1337,61685,73984,3026,131,4.3,2895,95.7,2777,91.8,94,3.1,6,0.2,0,0,0,0,0,0,18,0.6,453.7,430.7
90,3.00E+13,School,Bond Cty Comm Unit 2 High Scho,Bond County CUSD 2,Greenville,Bond,UNIT,LARGE,HIGH SCHOOL,494.7,492.1,36.4,31.8,27.9,3.9,Illinois,38.8613529,-89.5120084,,N/A,Bond County,N/A,17005,,951400,17005951400,2020,951400,Bond County,Illinois,115,9,43,53,10,2020,33,108,746,503,185,290,155,7.8,37.4,46.1,8.7,1.6,5.3,36.9,24.9,9.2,14.4,7.7,1089,63140,72226,2798,33,1.2,2765,98.8,2605,93.1,0,0,135,4.8,11,0.4,0,0,5,0.2,9,0.3,492.1,494.7
97,3.01E+13,School,Morrisonville High School,Morrisonville CUSD 1,Morrisonville,Christian,UNIT,SMALL,HIGH SCHOOL,480,463.6,50,28.6,21.4,0,Illinois,39.4226983,-89.457837,204 North Perrine Street,62546,Christian County,Morrisonville,17021,"204 North Perrine Street, Morrisonville, Illinois, 62546",959000,17021959000,2020,959000,Christian County,Illinois,321,28,81,175,37,3363,56,141,1338,709,271,635,213,8.7,25.2,54.5,11.5,1.7,4.2,39.8,21.1,8.1,18.9,6.3,1878,69891,91862,4610,150,3.3,4460,96.7,4368,94.8,52,1.1,0,0,15,0.3,0,0,0,0,25,0.5,463.6,480
101,3.01E+13,School,Taylorville Sr High School,Taylorville CUSD 3,Taylorville,Christian,UNIT,LARGE,HIGH SCHOOL,449.1,445.6,54,33.3,11.5,1.1,Illinois,39.5625809,-89.3031214,815 West Springfield Road,62568,Christian County,Taylorville,17021,"815 West Springfield Road, Taylorville, Illinois, 62568",958300,17021958300,2020,958300,Christian County,Illinois,266,102,51,89,24,3220,142,250,1366,437,450,428,147,38.3,19.2,33.5,9,4.4,7.8,42.4,13.6,14,13.3,4.6,2100,43056,52331,4772,118,2.5,4654,97.5,4433,92.9,22,0.5,49,1,63,1.3,87,1.8,0,0,0,0,445.6,449.1
110,3.01E+13,School,Pana Sr High School,Pana CUSD 8,Pana,Christian,UNIT,MEDIUM,HIGH SCHOOL,481.9,468.4,38.5,44,17.6,0,Illinois,39.3889311,-89.0800809,,62557,Christian County,Pana,17021,,958800,17021958800,2020,958800,Christian County,Illinois,199,14,63,63,59,1792,54,170,789,271,262,187,59,7,31.7,31.7,29.6,3,9.5,44,15.1,14.6,10.4,3.3,1125,42153,50523,2260,15,0.7,2245,99.3,2222,98.3,0,0,0,0,0,0,0,0,0,0,23,1,468.4,481.9
115,3.01E+13,School,South Fork Jr Sr High School,South Fork SD 14,Kincaid,Christian,UNIT,SMALL,HIGH SCHOOL,463.8,394.6,72,20,8,0,Illinois,39.5881153,-89.4124539,612 Dial Street,62540,Christian County,Kincaid,17021,"612 Dial Street, Kincaid, Illinois, 62540",958200,17021958200,2020,958200,Christian County,Illinois,284,44,92,98,50,2614,50,232,1212,616,241,183,80,15.5,32.4,34.5,17.6,1.9,8.9,46.4,23.6,9.2,7,3.1,1595,60625,80530,3534,8,0.2,3526,99.8,3511,99.3,15,0.4,0,0,0,0,0,0,0,0,0,0,394.6,463.8
118,3.03E+13,School,Altamont High School,Altamont CUSD 10,Altamont,Effingham,UNIT,MEDIUM,HIGH SCHOOL,466.9,453.1,54.5,25.5,20,0,Illinois,39.0590516,-88.7408097,7 South Ewing Street,62411,Effingham County,Altamont,17049,"7 South Ewing Street, Altamont, Illinois, 62411",950300,17049950300,2020,950300,Effingham County,Illinois,273,44,145,71,13,3007,62,115,905,857,533,393,142,16.1,53.1,26,4.8,2.1,3.8,30.1,28.5,17.7,13.1,4.7,1744,53370,74527,4115,4,0.1,4111,99.9,4106,99.8,0,0,5,0.1,0,0,0,0,0,0,0,0,453.1,466.9
121,3.03E+13,School,Beecher City Jr-Sr High School,Beecher City CUSD 20,Beecher City,Effingham,UNIT,SMALL,HIGH SCHOOL,459.6,482.3,42.3,26.9,26.9,3.8,Illinois,39.1880983,-88.7867278,,62414,Effingham County,Beecher City,17049,,950200,17049950200,2020,950200,Effingham County,Illinois,245,30,67,102,46,3145,42,57,863,627,439,784,333,12.2,27.3,41.6,18.8,1.3,1.8,27.4,19.9,14,24.9,10.6,1872,71250,109900,4551,33,0.7,4518,99.3,4462,98,7,0.2,18,0.4,0,0,0,0,0,0,31,0.7,482.3,459.6
124,3.03E+13,School,Dieterich Jr/Sr High School,Dieterich CUSD 30,Dieterich,Effingham,UNIT,MEDIUM,HIGH SCHOOL,485.8,481.9,35.5,38.7,25.8,0,Illinois,39.0575103,-88.3825759,108 West Church Street,62424,Effingham County,Dieterich,17049,"108 West Church Street, Dieterich, Illinois, 62424",950500,17049950500,2020,950500,Effingham County,Illinois,228,18,88,101,21,3042,64,128,961,673,436,605,175,7.9,38.6,44.3,9.2,2.1,4.2,31.6,22.1,14.3,19.9,5.8,1673,72243,82506,4555,27,0.6,4528,99.4,4458,97.9,0,0,0,0,22,0.5,0,0,0,0,48,1.1,481.9,485.8
127,3.03E+13,School,Effingham High School,Effingham CUSD 40,Effingham,Effingham,UNIT,LARGE,HIGH SCHOOL,481.1,469.8,43.3,31.7,23.9,1.1,Illinois,39.1163715,-88.5575871,1301 Grove Avenue,62401,Effingham County,Effingham,17049,"1301 Grove Avenue, Effingham, Illinois, 62401",950800,17049950800,2020,950800,Effingham County,Illinois,580,109,189,263,19,2570,107,101,885,484,391,437,165,18.8,32.6,45.3,3.3,4.2,3.9,34.4,18.8,15.2,17,6.4,1712,44051,64619,4085,276,6.8,3809,93.2,3715,90.9,22,0.5,10,0.2,0,0,0,0,0,0,62,1.5,469.8,481.1
