School Name,District Name,Reading/Writing Score,Math Scores,Grads_Mskd,Exnees_Mskd,Part_Rate,Crit_Mskd,Above_Crit_Rate,TSI_Both_Mskd,Above_TSI_Both_Rate,state_name_x,latitude,longitude,address,zip_code,county_name_x,city_name,county_code,Street Address,Tract,unique_id,year,tract_number,county_name_y,state_name_y,Population 18 to 24 years (estimate),"18-24, less than high school graduate (estimate)","18-24, high school graduate or eq. (estimate)","18-24, some college or associate's degree (estimate)","18-24, bachelor's degree or higher",Population 25 years and over (estimate),"25 and over, less than 9th grade (estimate)","25 and over, 9th to 12th grade, no diploma (estimate)","25 and over, high school graduate or eq. (estimate)","25 and over, some college, no degree (estimate)","25 and over, associate's degree (estimate)","25 and over, bachelor's degree (estimate)","25 and over, graduate or professional degree (estimate)","18-24, less than high school graduate (percentage)","18-24, high school graduate or eq. (percentage)","18-24, some college or associate's degree (percentage)","18-24, bachelor's degree or higher (percentage)","25 and over, less than 9th grade (percentage)","25 and over, 9th to 12th grade, no diploma (percentage)","25 and over, high school graduate or eq. (percentage)","25 and over, some college, no degree (percentage)","25 and over, associate's degree (percentage)","25 and over, bachelor's degree (percentage)","25 and over, graduate or professional degree (percentage)",Total number of households,Median household income (dollars),Mean household income (dollars),Total population,Hispanic or Latino (estimate),Hispanic or Latino (percentage),Not Hispanic or Latino (estimate),Not Hispanic or Latino (percentage),White alone (estimate),White alone (percentage),Black or African American alone (estimate),Black or African American alone (percentage),American Indian and Alaska Native alone (estimate),American Indian and Alaska Native alone (percentage),Asian alone (estimate),Asian alone (percentage),Native Hawaiian and Other Pacific Islander alone (estimate),Native Hawaiian and Other Pacific Islander alone (percentage),Some other race alone (estimate),Some other race alone (percentage),Two or more races alone (estimate),Two or more races alone (percentage),RW Scores
Smithville H S,Smithville ISD,534,534,137,78,56.9,20,25.6,42,53.8,Texas,29.9980617,-97.1664756,285 State Highway 95,78957,Bastrop County,Smithville,48021,"285 State Highway 95, Smithville, Texas, 78957",950700,48021950700,2019,950700,Bastrop County,Texas,422,73,203,146,0,3350,185,197,993,1059,222,507,187,17.3,48.1,34.6,0,5.5,5.9,29.6,31.6,6.6,15.1,5.6,1785,57540,82329,4671,599,12.8,4072,87.2,3527,75.5,342,7.3,27,0.6,33,0.7,0,0,0,0,143,3.1,534
McDade H S,McDade ISD,518,538,<25,<25,57.1,<25,,<25,25,Texas,30.2830711,-97.2401656,156 Marlin Street,78650,Bastrop County,McDade,48021,"156 Marlin Street, McDade, Texas, 78650",950102,48021950102,2019,950102,Bastrop County,Texas,284,115,105,64,0,2748,300,107,962,574,215,399,191,40.5,37,22.5,0,10.9,3.9,35,20.9,7.8,14.5,7,1174,88097,101445,3851,1281,33.3,2570,66.7,2447,63.5,38,1,0,0,7,0.2,0,0,0,0,78,2,518
Seymour H S,Seymour ISD,,,<50,<25,2.9,<25,,<25,100,Texas,33.5920552,-99.2458215,500 Stadium Drive,76380,Baylor County,Seymour,48023,"500 Stadium Drive, Seymour, Texas, 76380",950301,48023950301,2019,950301,Baylor County,Texas,140,0,62,78,0,938,24,60,332,195,117,182,28,0,44.3,55.7,0,2.6,6.4,35.4,20.8,12.5,19.4,3,610,50455,65785,1400,227,16.2,1173,83.8,1161,82.9,3,0.2,9,0.6,0,0,0,0,0,0,0,0,0
A C Jones H S,Beeville ISD,478,464,<275,<75,19.8,<25,7.8,<25,21.6,Texas,28.4191996,-97.7541083,1902 North Adams Street,78102,Bee County,Beeville,48025,"1902 North Adams Street, Beeville, Texas, 78102",950300,48025950300,2019,950300,Bee County,Texas,1061,78,302,381,300,3334,184,215,911,1263,410,203,148,7.4,28.5,35.9,28.3,5.5,6.4,27.3,37.9,12.3,6.1,4.4,2022,51328,66665,5837,4097,70.2,1740,29.8,1505,25.8,94,1.6,0,0,85,1.5,0,0,9,0.2,47,0.8,478
Pettus Secondary,Pettus ISD,512,504,<50,<25,23.7,<25,11.1,<25,33.3,Texas,28.5870772,-97.8286368,,N/A,Bee County,N/A,48025,,950100,48025950100,2019,950100,Bee County,Texas,178,53,49,76,0,1100,69,73,371,374,78,83,52,29.8,27.5,42.7,0,6.3,6.6,33.7,34,7.1,7.5,4.7,595,58668,83984,1897,1095,57.7,802,42.3,770,40.6,19,1,0,0,0,0,0,0,0,0,13,0.7,512
Skidmore-Tynan H S,Skidmore-Tynan ISD,575,532,<75,<25,18.8,<25,15.4,<25,46.2,Texas,28.2254294,-97.654811,,N/A,Bee County,N/A,48025,,950600,48025950600,2019,950600,Bee County,Texas,172,14,121,37,0,1842,155,149,475,451,219,131,262,8.1,70.3,21.5,0,8.4,8.1,25.8,24.5,11.9,7.1,14.2,914,36653,62213,2506,1546,61.7,960,38.3,959,38.3,1,0,0,0,0,0,0,0,0,0,0,0,575
Richard Milburn Alter H S (Killeen,Richard Milburn Alter High School,487,455,<75,<25,16.1,<25,,<25,,Texas,31.1212466,-97.733169,,N/A,Bell County,Killeen,48027,,23500,48027023500,2019,23500,Bell County,Texas,195,95,52,48,0,1321,178,128,432,335,117,122,9,48.7,26.7,24.6,0,13.5,9.7,32.7,25.4,8.9,9.2,0.7,751,30313,35932,2097,836,39.9,1261,60.1,662,31.6,507,24.2,0,0,16,0.8,15,0.7,0,0,61,2.9,487
Richard Milburn Academy Odessa,Richard Milburn Alter High School,460,458,<100,<25,4.2,<25,,<25,,Texas,31.8456816,-102.3676431,,N/A,Ector County,Odessa,48135,,3100,48135003100,2019,3100,Ector County,Texas,184,32,66,86,0,2481,316,422,1092,488,75,71,17,17.4,35.9,46.7,0,12.7,17,44,19.7,3,2.9,0.7,1263,39680,51651,3677,2892,78.7,785,21.3,607,16.5,152,4.1,0,0,0,0,0,0,0,0,26,0.7,460
Richard Milburn Academy Lubbock,Richard Milburn Alter High School,440,463,<50,<25,8.3,<25,,<25,,Texas,33.5778239,-101.8552934,,N/A,Lubbock County,Lubbock,48303,,607,48303000607,2019,607,Lubbock County,Texas,566,1,72,459,34,1122,58,59,332,224,81,210,158,0.2,12.7,81.1,6,5.2,5.3,29.6,20,7.2,18.7,14.1,968,26638,36585,2056,757,36.8,1299,63.2,729,35.5,437,21.3,6,0.3,122,5.9,0,0,0,0,5,0.2,440
Richard Milburn Academy Houston (S,Richard Milburn Alter High School,470,410,<75,<25,3.2,<25,,<25,,Texas,29.7600771,-95.3701108,,N/A,Harris County,Houston,48201,,980700,48201980700,2019,980700,Harris County,Texas,226,32,50,84,60,1185,0,16,71,79,54,554,411,14.2,22.1,37.2,26.5,0,1.4,6,6.7,4.6,46.8,34.7,1048,116500,172615,1435,139,9.7,1296,90.3,1070,74.6,112,7.8,0,0,76,5.3,9,0.6,0,0,29,2,470
Richard Milburn Academy Fort Worth,Richard Milburn Alter High School,530,490,<75,<25,3.4,<25,,<25,50,Texas,32.7554883,-97.3307658,,N/A,Tarrant County,Fort Worth,48439,,123302,48439123302,2019,123302,Tarrant County,Texas,1017,421,268,147,181,4333,272,510,1161,861,191,645,693,41.4,26.4,14.5,17.8,6.3,11.8,26.8,19.9,4.4,14.9,16,1566,85000,128936,5621,1210,21.5,4411,78.5,2954,52.6,1074,19.1,0,0,211,3.8,0,0,0,0,172,3.1,530
Richard Milburn Academy Corpus Chr,Richard Milburn Alter High School,438,403,<50,<50,65.1,<25,,<25,,Texas,27.7918932,-97.3953432,,N/A,Nueces County,Corpus Christi,48355,,6400,48355006400,2019,6400,Nueces County,Texas,215,52,75,49,39,2225,216,262,684,463,125,353,122,24.2,34.9,22.8,18.1,9.7,11.8,30.7,20.8,5.6,15.9,5.5,883,26250,65020,2477,1063,42.9,1414,57.1,1093,44.1,274,11.1,8,0.3,10,0.4,0,0,0,0,29,1.2,438
Richard Milburn Academy Amarillo,Richard Milburn Alter High School,,,<75,<25,2,<25,,<25,,Texas,35.2069816,-101.8320065,,N/A,Potter County,Amarillo,48375,,15400,48375015400,2019,15400,Potter County,Texas,230,26,110,94,0,1561,357,385,347,224,184,55,9,11.3,47.8,40.9,0,22.9,24.7,22.2,14.3,11.8,3.5,0.6,1044,31094,43453,2549,2048,80.3,501,19.7,211,8.3,186,7.3,0,0,53,2.1,0,0,0,0,51,2,0
