unique_id,year,tract_number,county_name,state_name,Total population,Hispanic or Latino (estimate),Hispanic or Latino (percentage),Not Hispanic or Latino (estimate),Not Hispanic or Latino (percentage),White alone (estimate),White alone (percentage),Black or African American alone (estimate),Black or African American alone (percentage),American Indian and Alaska Native alone (estimate),American Indian and Alaska Native alone (percentage),Asian alone (estimate),Asian alone (percentage),Native Hawaiian and Other Pacific Islander alone (estimate),Native Hawaiian and Other Pacific Islander alone (percentage),Some other race alone (estimate),Some other race alone (percentage),Two or more races alone (estimate),Two or more races alone (percentage)
08069002502,2018,2502,Larimer County,Colorado,10945,1362,12.4,9583,87.6,9172,83.8,87,0.8,26,0.2,13,0.1,0,0.0,15,0.1,270,2.5
08069002503,2018,2503,Larimer County,Colorado,2784,292,10.5,2492,89.5,2383,85.6,11,0.4,0,0.0,14,0.5,2,0.1,0,0.0,82,2.9
08069002600,2018,2600,Larimer County,Colorado,7497,213,2.8,7284,97.2,7006,93.5,0,0.0,0,0.0,95,1.3,0,0.0,49,0.7,134,1.8
08069002700,2018,2700,Larimer County,Colorado,6192,486,7.8,5706,92.2,5669,91.6,3,0.0,0,0.0,0,0.0,19,0.3,15,0.2,0,0.0
08069002801,2018,2801,Larimer County,Colorado,3565,94,2.6,3471,97.4,3365,94.4,0,0.0,42,1.2,0,0.0,10,0.3,0,0.0,54,1.5
08069002802,2018,2802,Larimer County,Colorado,6192,761,12.3,5431,87.7,5354,86.5,25,0.4,0,0.0,36,0.6,0,0.0,0,0.0,16,0.3
08069002803,2018,2803,Larimer County,Colorado,64,3,4.7,61,95.3,61,95.3,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
08071000100,2018,100,Las Animas County,Colorado,3419,1472,43.1,1947,56.9,1742,51.0,9,0.3,177,5.2,0,0.0,0,0.0,0,0.0,19,0.6
08071000200,2018,200,Las Animas County,Colorado,1989,738,37.1,1251,62.9,1121,56.4,5,0.3,74,3.7,27,1.4,0,0.0,9,0.5,15,0.8
08071000300,2018,300,Las Animas County,Colorado,2118,834,39.4,1284,60.6,1243,58.7,0,0.0,7,0.3,9,0.4,0,0.0,0,0.0,25,1.2
08071000400,2018,400,Las Animas County,Colorado,2304,1192,51.7,1112,48.3,956,41.5,0,0.0,0,0.0,68,3.0,0,0.0,0,0.0,88,3.8
