unique_id,year,tract_number,county_name,state_name,Population 18 to 24 years (estimate),"18-24, less than high school graduate (estimate)","18-24, high school graduate or eq. (estimate)","18-24, some college or associate's degree (estimate)","18-24, bachelor's degree or higher",Population 25 years and over (estimate),"25 and over, less than 9th grade (estimate)","25 and over, 9th to 12th grade, no diploma (estimate)","25 and over, high school graduate or eq. (estimate)","25 and over, some college, no degree (estimate)","25 and over, associate's degree (estimate)","25 and over, bachelor's degree (estimate)","25 and over, graduate or professional degree (estimate)","18-24, less than high school graduate (percentage)","18-24, high school graduate or eq. (percentage)","18-24, some college or associate's degree (percentage)","18-24, bachelor's degree or higher (percentage)","25 and over, less than 9th grade (percentage)","25 and over, 9th to 12th grade, no diploma (percentage)","25 and over, high school graduate or eq. (percentage)","25 and over, some college, no degree (percentage)","25 and over, associate's degree (percentage)","25 and over, bachelor's degree (percentage)","25 and over, graduate or professional degree (percentage)",Total number of households,Median household income (dollars),Mean household income (dollars),Total population,Hispanic or Latino (estimate),Hispanic or Latino (percentage),Not Hispanic or Latino (estimate),Not Hispanic or Latino (percentage),White alone (estimate),White alone (percentage),Black or African American alone (estimate),Black or African American alone (percentage),American Indian and Alaska Native alone (estimate),American Indian and Alaska Native alone (percentage),Asian alone (estimate),Asian alone (percentage),Native Hawaiian and Other Pacific Islander alone (estimate),Native Hawaiian and Other Pacific Islander alone (percentage),Some other race alone (estimate),Some other race alone (percentage),Two or more races alone (estimate),Two or more races alone (percentage)
08077000800,2018,800,Mesa County,Colorado,807,117,417,230,43,5784,253,528,1779,1764,547,553,360,14.5,51.7,28.5,5.3,4.4,9.1,30.8,30.5,9.5,9.6,6.2,2987,54097,67825,8901,2222,25.0,6679,75.0,6108,68.6,115,1.3,14,0.2,120,1.3,187,2.1,0,0.0,135,1.5
08077000900,2018,900,Mesa County,Colorado,400,50,212,110,28,1874,55,174,434,410,192,457,152,12.5,53.0,27.5,7.0,2.9,9.3,23.2,21.9,10.2,24.4,8.1,1314,47482,59630,3061,448,14.6,2613,85.4,2403,78.5,123,4.0,24,0.8,56,1.8,0,0.0,0,0.0,7,0.2
08077001001,2018,1001,Mesa County,Colorado,270,26,27,139,78,4113,108,213,916,1090,272,899,615,9.6,10.0,51.5,28.9,2.6,5.2,22.3,26.5,6.6,21.9,15.0,2298,52136,91717,5458,238,4.4,5220,95.6,5158,94.5,0,0.0,41,0.8,0,0.0,0,0.0,0,0.0,21,0.4
08077001002,2018,1002,Mesa County,Colorado,384,0,47,282,55,4983,100,319,969,1114,347,1397,737,0.0,12.2,73.4,14.3,2.0,6.4,19.4,22.4,7.0,28.0,14.8,3000,55833,73337,6584,868,13.2,5716,86.8,5522,83.9,0,0.0,0,0.0,154,2.3,0,0.0,40,0.6,0,0.0
08077001101,2018,1101,Mesa County,Colorado,810,216,187,354,53,5516,137,512,1899,1106,587,1016,259,26.7,23.1,43.7,6.5,2.5,9.3,34.4,20.1,10.6,18.4,4.7,3338,51101,58442,8356,1553,18.6,6803,81.4,6604,79.0,130,1.6,0,0.0,15,0.2,0,0.0,0,0.0,54,0.6
08077001102,2018,1102,Mesa County,Colorado,234,65,68,101,0,3461,114,181,1128,984,295,531,228,27.8,29.1,43.2,0.0,3.3,5.2,32.6,28.4,8.5,15.3,6.6,1967,62361,82031,4828,467,9.7,4361,90.3,4246,87.9,52,1.1,0,0.0,31,0.6,0,0.0,0,0.0,32,0.7
08077001200,2018,1200,Mesa County,Colorado,55,6,31,18,0,1816,15,78,500,487,146,333,257,10.9,56.4,32.7,0.0,0.8,4.3,27.5,26.8,8.0,18.3,14.2,891,82431,93227,2246,96,4.3,2150,95.7,2059,91.7,12,0.5,44,2.0,11,0.5,0,0.0,19,0.8,5,0.2
08077001301,2018,1301,Mesa County,Colorado,1191,276,429,390,96,5533,227,475,1502,1547,667,865,250,23.2,36.0,32.7,8.1,4.1,8.6,27.1,28.0,12.1,15.6,4.5,3646,45568,53909,9070,1807,19.9,7263,80.1,6985,77.0,21,0.2,28,0.3,83,0.9,0,0.0,0,0.0,146,1.6
08077001302,2018,1302,Mesa County,Colorado,225,11,171,43,0,3804,55,325,1053,1148,317,662,244,4.9,76.0,19.1,0.0,1.4,8.5,27.7,30.2,8.3,17.4,6.4,2024,67143,80371,5011,642,12.8,4369,87.2,4222,84.3,25,0.5,0,0.0,66,1.3,0,0.0,0,0.0,56,1.1
08077001402,2018,1402,Mesa County,Colorado,237,45,68,114,10,4325,21,148,627,1013,419,1373,724,19.0,28.7,48.1,4.2,0.5,3.4,14.5,23.4,9.7,31.7,16.7,2362,73554,84477,5780,220,3.8,5560,96.2,5397,93.4,0,0.0,32,0.6,96,1.7,0,0.0,0,0.0,35,0.6
