School Name,District Name,Reading/Writing Score,Math Score,Tests Taken,# Students SAT ELA Participation,state_name_x,latitude,longitude,address,zip_code,county_name_x,city_name,county_code,Street Address,Tract,unique_id,year,tract_number,county_name_y,state_name_y,Population 18 to 24 years (estimate),"18-24, less than high school graduate (estimate)","18-24, high school graduate or eq. (estimate)","18-24, some college or associate's degree (estimate)","18-24, bachelor's degree or higher",Population 25 years and over (estimate),"25 and over, less than 9th grade (estimate)","25 and over, 9th to 12th grade, no diploma (estimate)","25 and over, high school graduate or eq. (estimate)","25 and over, some college, no degree (estimate)","25 and over, associate's degree (estimate)","25 and over, bachelor's degree (estimate)","25 and over, graduate or professional degree (estimate)","18-24, less than high school graduate (percentage)","18-24, high school graduate or eq. (percentage)","18-24, some college or associate's degree (percentage)","18-24, bachelor's degree or higher (percentage)","25 and over, less than 9th grade (percentage)","25 and over, 9th to 12th grade, no diploma (percentage)","25 and over, high school graduate or eq. (percentage)","25 and over, some college, no degree (percentage)","25 and over, associate's degree (percentage)","25 and over, bachelor's degree (percentage)","25 and over, graduate or professional degree (percentage)",Total number of households,Median household income (dollars),Mean household income (dollars),Total population,Hispanic or Latino (estimate),Hispanic or Latino (percentage),Not Hispanic or Latino (estimate),Not Hispanic or Latino (percentage),White alone (estimate),White alone (percentage),Black or African American alone (estimate),Black or African American alone (percentage),American Indian and Alaska Native alone (estimate),American Indian and Alaska Native alone (percentage),Asian alone (estimate),Asian alone (percentage),Native Hawaiian and Other Pacific Islander alone (estimate),Native Hawaiian and Other Pacific Islander alone (percentage),Some other race alone (estimate),Some other race alone (percentage),Two or more races alone (estimate),Two or more races alone (percentage)
Harlan Community Academy HS,City of Chicago SD 299,375.1,363.1,67.0,67.0,Illinois,41.7183438,-87.6209035,9652 South Michigan Avenue,60628,Cook County,Chicago,17031,"9652 South Michigan Avenue, Chicago, Illinois, 60628",490500,17031490500,2023.0,490500.0,Cook County,Illinois,235.0,0.0,29.0,181.0,25.0,1447.0,0.0,137.0,329.0,385.0,182.0,244.0,170.0,0.0,12.3,77.0,10.6,0.0,9.5,22.7,26.6,12.6,16.9,11.7,727.0,78319.0,92941.0,1758.0,14.0,0.8,1744.0,99.2,77.0,4.4,1642.0,93.4,0.0,0.0,19.0,1.1,0.0,0.0,0.0,0.0,6.0,0.3
Hirsch Metropolitan High School,City of Chicago SD 299,384.5,361.6,31.0,31.0,Illinois,41.753991,-87.60192699999999,7740 South Ingleside Avenue,60619,Cook County,Chicago,17031,"7740 South Ingleside Avenue, Chicago, Illinois, 60619",691500,17031691500,2023.0,691500.0,Cook County,Illinois,95.0,21.0,29.0,45.0,0.0,1151.0,0.0,115.0,534.0,241.0,69.0,151.0,41.0,22.1,30.5,47.4,0.0,0.0,10.0,46.4,20.9,6.0,13.1,3.6,884.0,24101.0,36374.0,1794.0,88.0,4.9,1706.0,95.1,73.0,4.1,1632.0,91.0,0.0,0.0,0.0,0.0,1.0,0.1,0.0,0.0,0.0,0.0
Hubbard High School,City of Chicago SD 299,437.6,413.5,434.0,435.0,Illinois,41.7801987,-87.71864699999999,6200 South Hamlin Avenue,60629,Cook County,Chicago,17031,"6200 South Hamlin Avenue, Chicago, Illinois, 60629",650100,17031650100,2023.0,650100.0,Cook County,Illinois,494.0,45.0,295.0,154.0,0.0,3073.0,435.0,128.0,1546.0,281.0,149.0,338.0,196.0,9.1,59.7,31.2,0.0,14.2,4.2,50.3,9.1,4.8,11.0,6.4,1413.0,65852.0,75010.0,4263.0,3575.0,83.9,688.0,16.1,648.0,15.2,26.0,0.6,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,13.0,0.3
Hyde Park Academy High School,City of Chicago SD 299,403.3,379.2,170.0,170.0,Illinois,41.7821873,-87.58727119999999,6220 South Stony Island Avenue,60637,Cook County,Chicago,17031,"6220 South Stony Island Avenue, Chicago, Illinois, 60637",420100,17031420100,2023.0,420100.0,Cook County,Illinois,204.0,0.0,77.0,101.0,26.0,1165.0,0.0,106.0,299.0,432.0,102.0,144.0,82.0,0.0,37.7,49.5,12.7,0.0,9.1,25.7,37.1,8.8,12.4,7.0,823.0,22215.0,39039.0,1586.0,0.0,0.0,1586.0,100.0,27.0,1.7,1513.0,95.4,0.0,0.0,7.0,0.4,0.0,0.0,0.0,0.0,39.0,2.5
Thomas Kelly College Preparatory,City of Chicago SD 299,425.9,415.1,418.0,419.0,Illinois,41.8183203,-87.69485890000001,4136 South California Avenue,60632,Cook County,Chicago,17031,"4136 South California Avenue, Chicago, Illinois, 60632",580501,17031580501,2023.0,580501.0,Cook County,Illinois,566.0,63.0,310.0,175.0,18.0,2972.0,499.0,203.0,1426.0,383.0,141.0,189.0,131.0,11.1,54.8,30.9,3.2,16.8,6.8,48.0,12.9,4.7,6.4,4.4,1627.0,52757.0,71667.0,4571.0,3664.0,80.2,907.0,19.8,455.0,10.0,31.0,0.7,0.0,0.0,314.0,6.9,0.0,0.0,0.0,0.0,107.0,2.3
Kelvyn Park High School,City of Chicago SD 299,401.7,380.2,64.0,64.0,Illinois,41.9272439,-87.7359639,4343 West Wrightwood Avenue,60639,Cook County,Chicago,17031,"4343 West Wrightwood Avenue, Chicago, Illinois, 60639",200200,17031200200,2023.0,200200.0,Cook County,Illinois,471.0,13.0,142.0,208.0,108.0,3224.0,733.0,212.0,840.0,626.0,88.0,518.0,207.0,2.8,30.1,44.2,22.9,22.7,6.6,26.1,19.4,2.7,16.1,6.4,1728.0,65599.0,76396.0,4634.0,3653.0,78.8,981.0,21.2,662.0,14.3,157.0,3.4,0.0,0.0,162.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0
Kennedy High School,City of Chicago SD 299,443.4,429.3,320.0,320.0,Illinois,41.7902356,-87.7802853,6325 West 56th Street,60638,Cook County,Chicago,17031,"6325 West 56th Street, Chicago, Illinois, 60638",561100,17031561100,2023.0,561100.0,Cook County,Illinois,358.0,45.0,124.0,125.0,64.0,3985.0,201.0,313.0,1157.0,890.0,309.0,613.0,502.0,12.6,34.6,34.9,17.9,5.0,7.9,29.0,22.3,7.8,15.4,12.6,2184.0,107857.0,121521.0,5770.0,3090.0,53.6,2680.0,46.4,2430.0,42.1,118.0,2.0,0.0,0.0,57.0,1.0,0.0,0.0,75.0,1.3,0.0,0.0
Kenwood Academy High School,City of Chicago SD 299,498.2,474.6,525.0,527.0,Illinois,41.8033307,-87.5894153,5015 South Blackstone Avenue,60615,Cook County,Chicago,17031,"5015 South Blackstone Avenue, Chicago, Illinois, 60615",390700,17031390700,2023.0,390700.0,Cook County,Illinois,713.0,103.0,193.0,46.0,371.0,4149.0,44.0,107.0,288.0,665.0,194.0,1077.0,1774.0,14.4,27.1,6.5,52.0,1.1,2.6,6.9,16.0,4.7,26.0,42.8,3474.0,67610.0,95595.0,5616.0,90.0,1.6,5526.0,98.4,1507.0,26.8,2977.0,53.0,0.0,0.0,644.0,11.5,0.0,0.0,55.0,1.0,343.0,6.1
Lake View High School,City of Chicago SD 299,439.7,432.0,309.0,310.0,Illinois,41.9552954,-87.668809,4015 North Ashland Avenue,60613,Cook County,Chicago,17031,"4015 North Ashland Avenue, Chicago, Illinois, 60613",060100,17031060100,2023.0,60100.0,Cook County,Illinois,131.0,29.0,11.0,18.0,73.0,2189.0,9.0,9.0,95.0,74.0,79.0,1046.0,877.0,22.1,8.4,13.7,55.7,0.4,0.4,4.3,3.4,3.6,47.8,40.1,1283.0,145313.0,265373.0,3147.0,266.0,8.5,2881.0,91.5,2376.0,75.5,38.0,1.2,0.0,0.0,277.0,8.8,0.0,0.0,0.0,0.0,190.0,6.0
Lane Technical High School,City of Chicago SD 299,627.1,626.9,862.0,862.0,Illinois,41.945166,-87.69065409999999,2501 West Addison Street,60618,Cook County,Chicago,17031,"2501 West Addison Street, Chicago, Illinois, 60618",843700,17031843700,2023.0,843700.0,Cook County,Illinois,11.0,11.0,0.0,0.0,0.0,1720.0,65.0,31.0,74.0,177.0,55.0,751.0,567.0,100.0,0.0,0.0,0.0,3.8,1.8,4.3,10.3,3.2,43.7,33.0,1024.0,134000.0,233072.0,2381.0,237.0,10.0,2144.0,90.0,1616.0,67.9,120.0,5.0,0.0,0.0,94.0,3.9,0.0,0.0,0.0,0.0,314.0,13.2
Marshall Metropolitan High School,City of Chicago SD 299,375.1,364.1,49.0,49.0,Illinois,41.8790699,-87.70656199999999,3250 West Adams Street,60624,Cook County,Chicago,17031,"3250 West Adams Street, Chicago, Illinois, 60624",271300,17031271300,2023.0,271300.0,Cook County,Illinois,156.0,11.0,69.0,76.0,0.0,603.0,43.0,55.0,171.0,148.0,53.0,63.0,70.0,7.1,44.2,48.7,0.0,7.1,9.1,28.4,24.5,8.8,10.4,11.6,333.0,45046.0,63883.0,880.0,44.0,5.0,836.0,95.0,9.0,1.0,751.0,85.3,0.0,0.0,8.0,0.9,0.0,0.0,0.0,0.0,68.0,7.7
Mather High School,City of Chicago SD 299,446.4,440.1,390.0,392.0,Illinois,41.9880646,-87.701245,5835 North Lincoln Avenue,60659,Cook County,Chicago,17031,"5835 North Lincoln Avenue, Chicago, Illinois, 60659",020701,17031020701,2023.0,20701.0,Cook County,Illinois,82.0,14.0,5.0,17.0,46.0,1305.0,99.0,39.0,176.0,113.0,55.0,375.0,448.0,17.1,6.1,20.7,56.1,7.6,3.0,13.5,8.7,4.2,28.7,34.3,748.0,101250.0,119915.0,1669.0,251.0,15.0,1418.0,85.0,908.0,54.4,114.0,6.8,5.0,0.3,309.0,18.5,0.0,0.0,0.0,0.0,82.0,4.9
Morgan Park High School,City of Chicago SD 299,414.9,393.3,251.0,251.0,Illinois,41.6922322,-87.6653314,1744 West Pryor Avenue,60643,Cook County,Chicago,17031,"1744 West Pryor Avenue, Chicago, Illinois, 60643",750200,17031750200,2023.0,750200.0,Cook County,Illinois,110.0,0.0,64.0,41.0,5.0,2349.0,4.0,42.0,288.0,870.0,243.0,474.0,428.0,0.0,58.2,37.3,4.5,0.2,1.8,12.3,37.0,10.3,20.2,18.2,1466.0,79464.0,90116.0,3230.0,223.0,6.9,3007.0,93.1,796.0,24.6,2035.0,63.0,0.0,0.0,156.0,4.8,0.0,0.0,0.0,0.0,20.0,0.6
Phillips Academy High School,City of Chicago SD 299,380.9,372.7,121.0,121.0,Illinois,41.8244255,-87.61981949999999,244 East Pershing Road,60653,Cook County,Chicago,17031,"244 East Pershing Road, Chicago, Illinois, 60653",839600,17031839600,2023.0,839600.0,Cook County,Illinois,473.0,74.0,166.0,209.0,24.0,1371.0,73.0,239.0,123.0,355.0,27.0,279.0,275.0,15.6,35.1,44.2,5.1,5.3,17.4,9.0,25.9,2.0,20.4,20.1,978.0,68880.0,78379.0,2085.0,107.0,5.1,1978.0,94.9,175.0,8.4,1791.0,85.9,0.0,0.0,12.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0
Roosevelt High School,City of Chicago SD 299,410.3,396.0,256.0,257.0,Illinois,41.9657534,-87.714339,3436 West Wilson Avenue,60625,Cook County,Chicago,17031,"3436 West Wilson Avenue, Chicago, Illinois, 60625",140702,17031140702,2023.0,140702.0,Cook County,Illinois,728.0,134.0,181.0,346.0,67.0,3663.0,672.0,199.0,516.0,394.0,276.0,1032.0,574.0,18.4,24.9,47.5,9.2,18.3,5.4,14.1,10.8,7.5,28.2,15.7,2090.0,78789.0,115256.0,5318.0,3441.0,64.7,1877.0,35.3,1421.0,26.7,76.0,1.4,0.0,0.0,329.0,6.2,0.0,0.0,0.0,0.0,51.0,1.0
Schurz High School,City of Chicago SD 299,421.3,401.2,309.0,310.0,Illinois,41.9474441,-87.7352682,3601 North Milwaukee Avenue,60641,Cook County,Chicago,17031,"3601 North Milwaukee Avenue, Chicago, Illinois, 60641",161100,17031161100,2023.0,161100.0,Cook County,Illinois,137.0,0.0,32.0,40.0,65.0,1345.0,19.0,42.0,244.0,129.0,38.0,463.0,410.0,0.0,23.4,29.2,47.4,1.4,3.1,18.1,9.6,2.8,34.4,30.5,750.0,153750.0,206693.0,2007.0,390.0,19.4,1617.0,80.6,1299.0,64.7,114.0,5.7,0.0,0.0,81.0,4.0,0.0,0.0,0.0,0.0,123.0,6.1
Senn High School,City of Chicago SD 299,467.2,445.2,340.0,340.0,Illinois,41.9890128,-87.6667743,5900 North Glenwood Avenue,60660,Cook County,Chicago,17031,"5900 North Glenwood Avenue, Chicago, Illinois, 60660",030500,17031030500,2023.0,30500.0,Cook County,Illinois,366.0,8.0,100.0,24.0,234.0,5256.0,92.0,98.0,414.0,605.0,163.0,2216.0,1668.0,2.2,27.3,6.6,63.9,1.8,1.9,7.9,11.5,3.1,42.2,31.7,3021.0,123464.0,146564.0,6439.0,1267.0,19.7,5172.0,80.3,3859.0,59.9,358.0,5.6,0.0,0.0,193.0,3.0,26.0,0.4,0.0,0.0,736.0,11.4
King College Prep High School,City of Chicago SD 299,481.6,460.6,98.0,98.0,Illinois,41.8138852,-87.6029812,4445 South Drexel Boulevard,60653,Cook County,Chicago,17031,"4445 South Drexel Boulevard, Chicago, Illinois, 60653",390300,17031390300,2023.0,390300.0,Cook County,Illinois,76.0,0.0,54.0,0.0,22.0,2039.0,33.0,126.0,773.0,505.0,72.0,171.0,359.0,0.0,71.1,0.0,28.9,1.6,6.2,37.9,24.8,3.5,8.4,17.6,1540.0,35266.0,52826.0,2495.0,91.0,3.6,2404.0,96.4,96.0,3.8,2201.0,88.2,5.0,0.2,45.0,1.8,0.0,0.0,0.0,0.0,57.0,2.3
Steinmetz College Prep HS,City of Chicago SD 299,405.5,395.1,275.0,276.0,Illinois,41.935631,-87.78415199999999,3030 North Mobile Avenue,60634,Cook County,Chicago,17031,"3030 North Mobile Avenue, Chicago, Illinois, 60634",190401,17031190401,2023.0,190401.0,Cook County,Illinois,322.0,66.0,93.0,89.0,74.0,2998.0,381.0,324.0,565.0,639.0,324.0,456.0,309.0,20.5,28.9,27.6,23.0,12.7,10.8,18.8,21.3,10.8,15.2,10.3,1292.0,104231.0,118608.0,4122.0,2548.0,61.8,1574.0,38.2,860.0,20.9,223.0,5.4,0.0,0.0,351.0,8.5,0.0,0.0,0.0,0.0,140.0,3.4
Sullivan High School,City of Chicago SD 299,417.5,410.2,166.0,168.0,Illinois,42.0028084,-87.6689166,6631 North Bosworth Avenue,60626,Cook County,Chicago,17031,"6631 North Bosworth Avenue, Chicago, Illinois, 60626",830600,17031830600,2023.0,830600.0,Cook County,Illinois,297.0,61.0,82.0,105.0,49.0,3529.0,244.0,173.0,730.0,512.0,127.0,1082.0,661.0,20.5,27.6,35.4,16.5,6.9,4.9,20.7,14.5,3.6,30.7,18.7,2168.0,64261.0,78934.0,4733.0,992.0,21.0,3741.0,79.0,2156.0,45.6,880.0,18.6,0.0,0.0,492.0,10.4,0.0,0.0,30.0,0.6,183.0,3.9
Taft High School,City of Chicago SD 299,480.6,461.7,1020.0,1021.0,Illinois,41.984587,-87.7916778,6530 West Bryn Mawr Avenue,60631,Cook County,Chicago,17031,"6530 West Bryn Mawr Avenue, Chicago, Illinois, 60631",100300,17031100300,2023.0,100300.0,Cook County,Illinois,269.0,44.0,13.0,194.0,18.0,4651.0,149.0,147.0,1164.0,887.0,233.0,1089.0,982.0,16.4,4.8,72.1,6.7,3.2,3.2,25.0,19.1,5.0,23.4,21.1,2694.0,74250.0,107054.0,6289.0,922.0,14.7,5367.0,85.3,4913.0,78.1,41.0,0.7,0.0,0.0,274.0,4.4,0.0,0.0,82.0,1.3,57.0,0.9
Tilden Career Communty Academy HS,City of Chicago SD 299,409.8,392.1,52.0,52.0,Illinois,41.8075276,-87.64235269999999,4747 South Union Avenue,60609,Cook County,Chicago,17031,"4747 South Union Avenue, Chicago, Illinois, 60609",843800,17031843800,2023.0,843800.0,Cook County,Illinois,163.0,0.0,60.0,56.0,47.0,1465.0,159.0,119.0,563.0,271.0,48.0,202.0,103.0,0.0,36.8,34.4,28.8,10.9,8.1,38.4,18.5,3.3,13.8,7.0,744.0,57885.0,74770.0,2001.0,790.0,39.5,1211.0,60.5,524.0,26.2,526.0,26.3,0.0,0.0,149.0,7.4,0.0,0.0,0.0,0.0,12.0,0.6
Von Steuben Metro Science HS,City of Chicago SD 299,513.9,503.2,395.0,395.0,Illinois,41.9727844,-87.7128743,5039 North Kimball Avenue,60625,Cook County,Chicago,17031,"5039 North Kimball Avenue, Chicago, Illinois, 60625",831800,17031831800,2023.0,831800.0,Cook County,Illinois,665.0,33.0,78.0,323.0,231.0,4797.0,308.0,180.0,1091.0,688.0,357.0,1070.0,1103.0,5.0,11.7,48.6,34.7,6.4,3.8,22.7,14.3,7.4,22.3,23.0,2555.0,84357.0,120055.0,7545.0,1414.0,18.7,6131.0,81.3,2698.0,35.8,546.0,7.2,0.0,0.0,2610.0,34.6,0.0,0.0,0.0,0.0,277.0,3.7
Lincoln Park High School,City of Chicago SD 299,537.7,534.2,442.0,442.0,Illinois,41.91840819999999,-87.64584479999999,2001 North Orchard Street,60614,Cook County,Chicago,17031,"2001 North Orchard Street, Chicago, Illinois, 60614",071200,17031071200,2023.0,71200.0,Cook County,Illinois,281.0,9.0,51.0,95.0,126.0,1940.0,31.0,0.0,58.0,38.0,99.0,933.0,781.0,3.2,18.1,33.8,44.8,1.6,0.0,3.0,2.0,5.1,48.1,40.3,1268.0,131163.0,207278.0,2696.0,226.0,8.4,2470.0,91.6,1978.0,73.4,28.0,1.0,0.0,0.0,300.0,11.1,0.0,0.0,0.0,0.0,164.0,6.1
Washington G High School,City of Chicago SD 299,436.3,414.3,370.0,371.0,Illinois,41.6877874,-87.53611099999999,3611 East 114th Street,60617,Cook County,Chicago,17031,"3611 East 114th Street, Chicago, Illinois, 60617",520600,17031520600,2023.0,520600.0,Cook County,Illinois,241.0,93.0,93.0,49.0,6.0,1498.0,250.0,116.0,482.0,310.0,142.0,155.0,43.0,38.6,38.6,20.3,2.5,16.7,7.7,32.2,20.7,9.5,10.3,2.9,805.0,70750.0,86114.0,2616.0,2264.0,86.5,352.0,13.5,352.0,13.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wells Community Academy HS,City of Chicago SD 299,378.6,373.8,91.0,91.0,Illinois,41.8991215,-87.6682922,936 North Ashland Avenue,60622,Cook County,Chicago,17031,"936 North Ashland Avenue, Chicago, Illinois, 60622",242100,17031242100,2023.0,242100.0,Cook County,Illinois,116.0,18.0,38.0,41.0,19.0,3271.0,12.0,12.0,153.0,296.0,50.0,1689.0,1059.0,15.5,32.8,35.3,16.4,0.4,0.4,4.7,9.0,1.5,51.6,32.4,2044.0,205338.0,203494.0,3825.0,681.0,17.8,3144.0,82.2,2430.0,63.5,17.0,0.4,0.0,0.0,240.0,6.3,0.0,0.0,10.0,0.3,447.0,11.7
Crane Medical Prep HS,City of Chicago SD 299,428.8,399.5,75.0,76.0,Illinois,41.8769747,-87.68322979999999,2245 West Jackson Boulevard,60612,Cook County,Chicago,17031,"2245 West Jackson Boulevard, Chicago, Illinois, 60612",838000,17031838000,2023.0,838000.0,Cook County,Illinois,258.0,0.0,16.0,107.0,135.0,1955.0,54.0,300.0,371.0,496.0,128.0,403.0,203.0,0.0,6.2,41.5,52.3,2.8,15.3,19.0,25.4,6.5,20.6,10.4,1454.0,-666666666.0,59457.0,2650.0,463.0,17.5,2187.0,82.5,466.0,17.6,1340.0,50.6,0.0,0.0,90.0,3.4,0.0,0.0,0.0,0.0,291.0,11.0
Disney II Magnet HS,City of Chicago SD 299,495.0,446.3,127.0,127.0,Illinois,41.9521904,-87.7206118,3900 North Lawndale Avenue,60618,Cook County,Chicago,17031,"3900 North Lawndale Avenue, Chicago, Illinois, 60618",160900,17031160900,2023.0,160900.0,Cook County,Illinois,171.0,0.0,0.0,121.0,50.0,1818.0,11.0,50.0,197.0,230.0,184.0,633.0,513.0,0.0,0.0,70.8,29.2,0.6,2.8,10.8,12.7,10.1,34.8,28.2,1037.0,116063.0,142402.0,2434.0,483.0,19.8,1951.0,80.2,1500.0,61.6,59.0,2.4,0.0,0.0,342.0,14.1,0.0,0.0,0.0,0.0,50.0,2.1
Urban Prep Chtr Acad Englewood HS,City of Chicago SD 299,402.5,386.9,32.0,32.0,Illinois,41.84407059999999,-87.6288359,2710 South Dearborn Street,60616,Cook County,Chicago,17031,"2710 South Dearborn Street, Chicago, Illinois, 60616",350400,17031350400,2023.0,350400.0,Cook County,Illinois,76.0,0.0,42.0,34.0,0.0,937.0,124.0,121.0,245.0,222.0,111.0,47.0,67.0,0.0,55.3,44.7,0.0,13.2,12.9,26.1,23.7,11.8,5.0,7.2,652.0,20938.0,33877.0,1615.0,62.0,3.8,1553.0,96.2,0.0,0.0,1429.0,88.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124.0,7.7
IHSCA Charter High School,City of Chicago SD 299,410.0,387.8,92.0,92.0,Illinois,41.845757,-87.68585879999999,2520 South Western Avenue,60608,Cook County,Chicago,17031,"2520 South Western Avenue, Chicago, Illinois, 60608",841300,17031841300,2023.0,841300.0,Cook County,Illinois,423.0,42.0,75.0,232.0,74.0,3128.0,307.0,224.0,356.0,638.0,149.0,944.0,510.0,9.9,17.7,54.8,17.5,9.8,7.2,11.4,20.4,4.8,30.2,16.3,1930.0,69327.0,105542.0,4157.0,2659.0,64.0,1498.0,36.0,996.0,24.0,199.0,4.8,0.0,0.0,130.0,3.1,0.0,0.0,0.0,0.0,173.0,4.2
Urban Prep Chtr Acad Bronzeville HS,City of Chicago SD 299,417.8,398.5,54.0,54.0,Illinois,41.84407059999999,-87.6288359,2710 South Dearborn Street,60616,Cook County,Chicago,17031,"2710 South Dearborn Street, Chicago, Illinois, 60616",350400,17031350400,2023.0,350400.0,Cook County,Illinois,76.0,0.0,42.0,34.0,0.0,937.0,124.0,121.0,245.0,222.0,111.0,47.0,67.0,0.0,55.3,44.7,0.0,13.2,12.9,26.1,23.7,11.8,5.0,7.2,652.0,20938.0,33877.0,1615.0,62.0,3.8,1553.0,96.2,0.0,0.0,1429.0,88.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124.0,7.7
EPIC Academy High School,City of Chicago SD 299,404.7,388.6,86.0,86.0,Illinois,41.7448288,-87.549707,8255 South Houston Avenue,60617,Cook County,Chicago,17031,"8255 South Houston Avenue, Chicago, Illinois, 60617",460100,17031460100,2023.0,460100.0,Cook County,Illinois,296.0,0.0,127.0,155.0,14.0,1588.0,54.0,150.0,346.0,422.0,236.0,247.0,133.0,0.0,42.9,52.4,4.7,3.4,9.4,21.8,26.6,14.9,15.6,8.4,977.0,48207.0,60543.0,2405.0,444.0,18.5,1961.0,81.5,174.0,7.2,1713.0,71.2,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.5,61.0,2.5
Legal Prep Academy Charter HS,City of Chicago SD 299,397.0,376.5,37.0,37.0,Illinois,41.881796,-87.73380750000001,4319 West Washington Boulevard,60624,Cook County,Chicago,17031,"4319 West Washington Boulevard, Chicago, Illinois, 60624",260300,17031260300,2023.0,260300.0,Cook County,Illinois,245.0,0.0,199.0,46.0,0.0,885.0,69.0,189.0,339.0,229.0,37.0,17.0,5.0,0.0,81.2,18.8,0.0,7.8,21.4,38.3,25.9,4.2,1.9,0.6,469.0,-666666666.0,56566.0,1615.0,171.0,10.6,1444.0,89.4,26.0,1.6,1416.0,87.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.1
IJLA Charter High School,City of Chicago SD 299,376.4,361.6,25.0,25.0,Illinois,41.8456309,-87.6842073,2570 South Blue Island Avenue,60608,Cook County,Chicago,17031,"2570 South Blue Island Avenue, Chicago, Illinois, 60608",841300,17031841300,2023.0,841300.0,Cook County,Illinois,423.0,42.0,75.0,232.0,74.0,3128.0,307.0,224.0,356.0,638.0,149.0,944.0,510.0,9.9,17.7,54.8,17.5,9.8,7.2,11.4,20.4,4.8,30.2,16.3,1930.0,69327.0,105542.0,4157.0,2659.0,64.0,1498.0,36.0,996.0,24.0,199.0,4.8,0.0,0.0,130.0,3.1,0.0,0.0,0.0,0.0,173.0,4.2
Intrinsic Charter High School,City of Chicago SD 299,449.4,441.2,163.0,163.0,Illinois,42.01726559999999,-87.8068196,7500 North Harlem Avenue,60631,Cook County,Chicago,17031,"7500 North Harlem Avenue, Chicago, Illinois, 60631",090100,17031090100,2023.0,90100.0,Cook County,Illinois,225.0,35.0,45.0,89.0,56.0,2629.0,0.0,34.0,439.0,552.0,203.0,796.0,605.0,15.6,20.0,39.6,24.9,0.0,1.3,16.7,21.0,7.7,30.3,23.0,1427.0,136463.0,154979.0,3467.0,381.0,11.0,3086.0,89.0,2924.0,84.3,9.0,0.3,0.0,0.0,57.0,1.6,0.0,0.0,10.0,0.3,86.0,2.5
Noble St Chtr-Pritzker College Prep,City of Chicago SD 299,461.4,437.3,233.0,233.0,Illinois,41.9149225,-87.72974409999999,4131 West Cortland Street,60639,Cook County,Chicago,17031,"4131 West Cortland Street, Chicago, Illinois, 60639",831200,17031831200,2023.0,831200.0,Cook County,Illinois,462.0,124.0,144.0,104.0,90.0,3045.0,706.0,245.0,870.0,601.0,177.0,214.0,232.0,26.8,31.2,22.5,19.5,23.2,8.0,28.6,19.7,5.8,7.0,7.6,1543.0,61250.0,72470.0,4657.0,4120.0,88.5,537.0,11.5,284.0,6.1,216.0,4.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,0.8
Noble St Chtr Rauner College Prep,City of Chicago SD 299,444.8,431.6,151.0,152.0,Illinois,41.8922624,-87.661187,1337 West Ohio Street,60642,Cook County,Chicago,17031,"1337 West Ohio Street, Chicago, Illinois, 60642",243400,17031243400,2023.0,243400.0,Cook County,Illinois,102.0,27.0,34.0,30.0,11.0,2665.0,27.0,58.0,270.0,197.0,81.0,1395.0,637.0,26.5,33.3,29.4,10.8,1.0,2.2,10.1,7.4,3.0,52.3,23.9,1540.0,113966.0,135202.0,3003.0,587.0,19.5,2416.0,80.5,1917.0,63.8,151.0,5.0,0.0,0.0,155.0,5.2,0.0,0.0,0.0,0.0,193.0,6.4
Noble St Chtr-Rowe-Clark MS Acad,City of Chicago SD 299,402.1,382.4,87.0,87.0,Illinois,41.8952347,-87.7181389,3645 West Chicago Avenue,60651,Cook County,Chicago,17031,"3645 West Chicago Avenue, Chicago, Illinois, 60651",231500,17031231500,2023.0,231500.0,Cook County,Illinois,553.0,78.0,158.0,317.0,0.0,3637.0,283.0,693.0,1012.0,820.0,257.0,311.0,261.0,14.1,28.6,57.3,0.0,7.8,19.1,27.8,22.5,7.1,8.6,7.2,2270.0,31755.0,55291.0,6183.0,2281.0,36.9,3902.0,63.1,332.0,5.4,3361.0,54.4,0.0,0.0,176.0,2.8,0.0,0.0,33.0,0.5,0.0,0.0
Noble St Chtr-Golder College Prep,City of Chicago SD 299,439.9,404.9,146.0,146.0,Illinois,41.8954949,-87.6644366,1454 West Superior Street,60642,Cook County,Chicago,17031,"1454 West Superior Street, Chicago, Illinois, 60642",243300,17031243300,2023.0,243300.0,Cook County,Illinois,83.0,30.0,0.0,11.0,42.0,1945.0,86.0,73.0,150.0,154.0,38.0,998.0,446.0,36.1,0.0,13.3,50.6,4.4,3.8,7.7,7.9,2.0,51.3,22.9,1371.0,122917.0,167844.0,2214.0,401.0,18.1,1813.0,81.9,1515.0,68.4,38.0,1.7,0.0,0.0,103.0,4.7,0.0,0.0,0.0,0.0,157.0,7.1
