School Name,District Name,Reading/Writing Score,Math Score,Tests Taken,# Students SAT ELA Participation,state_name_x,latitude,longitude,address,zip_code,county_name_x,city_name,county_code,Street Address,Tract,unique_id,year,tract_number,county_name_y,state_name_y,Population 18 to 24 years (estimate),"18-24, less than high school graduate (estimate)","18-24, high school graduate or eq. (estimate)","18-24, some college or associate's degree (estimate)","18-24, bachelor's degree or higher",Population 25 years and over (estimate),"25 and over, less than 9th grade (estimate)","25 and over, 9th to 12th grade, no diploma (estimate)","25 and over, high school graduate or eq. (estimate)","25 and over, some college, no degree (estimate)","25 and over, associate's degree (estimate)","25 and over, bachelor's degree (estimate)","25 and over, graduate or professional degree (estimate)","18-24, less than high school graduate (percentage)","18-24, high school graduate or eq. (percentage)","18-24, some college or associate's degree (percentage)","18-24, bachelor's degree or higher (percentage)","25 and over, less than 9th grade (percentage)","25 and over, 9th to 12th grade, no diploma (percentage)","25 and over, high school graduate or eq. (percentage)","25 and over, some college, no degree (percentage)","25 and over, associate's degree (percentage)","25 and over, bachelor's degree (percentage)","25 and over, graduate or professional degree (percentage)",Total number of households,Median household income (dollars),Mean household income (dollars),Total population,Hispanic or Latino (estimate),Hispanic or Latino (percentage),Not Hispanic or Latino (estimate),Not Hispanic or Latino (percentage),White alone (estimate),White alone (percentage),Black or African American alone (estimate),Black or African American alone (percentage),American Indian and Alaska Native alone (estimate),American Indian and Alaska Native alone (percentage),Asian alone (estimate),Asian alone (percentage),Native Hawaiian and Other Pacific Islander alone (estimate),Native Hawaiian and Other Pacific Islander alone (percentage),Some other race alone (estimate),Some other race alone (percentage),Two or more races alone (estimate),Two or more races alone (percentage)
Metea Valley High School,Indian Prairie CUSD 204,537.6,539.6,670.0,670.0,Illinois,41.7906308,-88.2396973,1801 North Eola Road,60502,DuPage County,Aurora,17043,"1801 North Eola Road, Aurora, Illinois, 60502",846408,17043846408,2023.0,846408.0,DuPage County,Illinois,226.0,84.0,53.0,47.0,42.0,2704.0,84.0,13.0,88.0,338.0,158.0,962.0,1061.0,37.2,23.5,20.8,18.6,3.1,0.5,3.3,12.5,5.8,35.6,39.2,1361.0,182768.0,210785.0,4169.0,246.0,5.9,3923.0,94.1,1318.0,31.6,330.0,7.9,0.0,0.0,2005.0,48.1,0.0,0.0,41.0,1.0,229.0,5.5
York Comm High School,Elmhurst SD 205,544.8,548.7,684.0,684.0,Illinois,41.89309979999999,-87.9531087,355 West Saint Charles Road,60126,DuPage County,Elmhurst,17043,"355 West Saint Charles Road, Elmhurst, Illinois, 60126",843000,17043843000,2023.0,843000.0,DuPage County,Illinois,340.0,44.0,114.0,164.0,18.0,3017.0,53.0,14.0,373.0,473.0,130.0,1107.0,867.0,12.9,33.5,48.2,5.3,1.8,0.5,12.4,15.7,4.3,36.7,28.7,1736.0,118295.0,179246.0,4468.0,554.0,12.4,3914.0,87.6,3195.0,71.5,128.0,2.9,0.0,0.0,447.0,10.0,0.0,0.0,33.0,0.7,111.0,2.5
Edwards County High School,Edwards County CUSD 1,437.6,437.8,51.0,51.0,Illinois,38.3763559,-88.0678107,361 West Main Street,62806,Edwards County,Albion,17047,"361 West Main Street, Albion, Illinois, 62806",957100,17047957100,2023.0,957100.0,Edwards County,Illinois,185.0,57.0,82.0,46.0,0.0,1427.0,4.0,82.0,563.0,297.0,282.0,120.0,79.0,30.8,44.3,24.9,0.0,0.3,5.7,39.5,20.8,19.8,8.4,5.5,905.0,56683.0,62361.0,2170.0,51.0,2.4,2119.0,97.6,2076.0,95.7,4.0,0.2,0.0,0.0,18.0,0.8,0.0,0.0,0.0,0.0,21.0,1.0
Gallatin High School,Gallatin CUSD 7,447.2,424.2,43.0,43.0,Illinois,37.742019,-88.2773627,5175 Illinois 13,62954,Gallatin County,Junction,17059,"5175 Illinois 13, Junction, Illinois, 62954",972700,17059972700,2023.0,972700.0,Gallatin County,Illinois,236.0,41.0,152.0,39.0,4.0,1688.0,63.0,172.0,594.0,339.0,250.0,175.0,95.0,17.4,64.4,16.5,1.7,3.7,10.2,35.2,20.1,14.8,10.4,5.6,993.0,58948.0,92721.0,2399.0,2.0,0.1,2397.0,99.9,2253.0,93.9,12.0,0.5,0.0,0.0,13.0,0.5,0.0,0.0,0.0,0.0,119.0,5.0
Hamilton County Jr/Sr High School,Hamilton Co CUSD 10,469.6,439.2,83.0,83.0,Illinois,38.0947175,-88.5493496,1 Fox Lane,62859,Hamilton County,McLeansboro,17065,"1 Fox Lane, McLeansboro, Illinois, 62859",973100,17065973100,2023.0,973100.0,Hamilton County,Illinois,253.0,40.0,106.0,107.0,0.0,2103.0,66.0,183.0,695.0,547.0,213.0,218.0,181.0,15.8,41.9,42.3,0.0,3.1,8.7,33.0,26.0,10.1,10.4,8.6,1375.0,49095.0,76589.0,3049.0,54.0,1.8,2995.0,98.2,2900.0,95.1,4.0,0.1,0.0,0.0,25.0,0.8,37.0,1.2,0.0,0.0,29.0,1.0
Hardin County High School,Hardin County CUSD 1,462.1,414.4,34.0,34.0,Illinois,37.4703439,-88.29048979999999,4 School Rd,62931,Hardin County,Elizabethtown,17069,"4 School Rd, Elizabethtown, Illinois, 62931",971000,17069971000,2023.0,971000.0,Hardin County,Illinois,57.0,1.0,19.0,37.0,0.0,1461.0,36.0,139.0,636.0,364.0,122.0,97.0,67.0,1.8,33.3,64.9,0.0,2.5,9.5,43.5,24.9,8.4,6.6,4.6,753.0,55880.0,60448.0,1761.0,12.0,0.7,1749.0,99.3,1691.0,96.0,33.0,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,1.4
Pope Co High School,Pope Co CUD 1,455.5,424.0,42.0,42.0,Illinois,37.417132,-88.59517509999999,,N/A,Pope County,N/A,17151,,971200,17151971200,2023.0,971200.0,Pope County,Illinois,173.0,7.0,66.0,98.0,2.0,1442.0,21.0,68.0,446.0,450.0,201.0,151.0,105.0,4.0,38.2,56.6,1.2,1.5,4.7,30.9,31.2,13.9,10.5,7.3,692.0,69821.0,79666.0,1934.0,19.0,1.0,1915.0,99.0,1777.0,91.9,89.0,4.6,4.0,0.2,1.0,0.1,0.0,0.0,0.0,0.0,44.0,2.3
Galatia High School,Galatia CUSD 1,447.3,425.5,22.0,22.0,Illinois,37.8425831,-88.60460429999999,200 North McKinley Street,62935,Saline County,Galatia,17165,"200 North McKinley Street, Galatia, Illinois, 62935",955700,17165955700,2023.0,955700.0,Saline County,Illinois,188.0,6.0,90.0,89.0,3.0,1854.0,66.0,54.0,710.0,363.0,369.0,206.0,86.0,3.2,47.9,47.3,1.6,3.6,2.9,38.3,19.6,19.9,11.1,4.6,1005.0,62171.0,87395.0,2611.0,17.0,0.7,2594.0,99.3,2495.0,95.6,23.0,0.9,4.0,0.2,0.0,0.0,11.0,0.4,0.0,0.0,61.0,2.3
Carrier Mills-Stonefort H S,Carrier Mills-Stonefort CUSD 2,439.6,424.4,27.0,27.0,Illinois,37.6153091,-88.7068603,1145 Wilson Street,62987,Saline County,Stonefort,17165,"1145 Wilson Street, Stonefort, Illinois, 62987",956200,17165956200,2023.0,956200.0,Saline County,Illinois,168.0,56.0,24.0,82.0,6.0,2494.0,72.0,193.0,640.0,576.0,237.0,522.0,254.0,33.3,14.3,48.8,3.6,2.9,7.7,25.7,23.1,9.5,20.9,10.2,1469.0,74943.0,112635.0,3382.0,64.0,1.9,3318.0,98.1,3207.0,94.8,16.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.0,2.8
Harrisburg High School,Harrisburg CUSD 3,446.9,418.0,124.0,124.0,Illinois,37.7280503,-88.54550379999999,333 West College Street,62946,Saline County,Harrisburg,17165,"333 West College Street, Harrisburg, Illinois, 62946",955800,17165955800,2023.0,955800.0,Saline County,Illinois,209.0,6.0,107.0,96.0,0.0,2185.0,103.0,197.0,687.0,471.0,366.0,289.0,72.0,2.9,51.2,45.9,0.0,4.7,9.0,31.4,21.6,16.8,13.2,3.3,1230.0,60069.0,80370.0,3159.0,0.0,0.0,3159.0,100.0,3104.0,98.3,42.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.4
