School Name,District Name,Reading/Writing Score,Math Score,Tests Taken,# Students SAT ELA Participation
Stephen Mack Middle School,Rockton SD 140,,,,
Rockton Elem School,Rockton SD 140,,,,
Whitman Post Elem School,Rockton SD 140,,,,
,Rockford SD 205,442.8,419.8,1581,1585
Auburn High School,Rockford SD 205,473.6,447.2,356,357
Rockford East High School,Rockford SD 205,429.3,410.3,336,338
Guilford High School,Rockford SD 205,464.9,440.2,439,440
Jefferson High School,Rockford SD 205,406.7,385,450,450
West Middle School,Rockford SD 205,,,,
Eisenhower Middle School,Rockford SD 205,,,,
Bernard W Flinn Middle School,Rockford SD 205,,,,
Abraham Lincoln Middle School,Rockford SD 205,,,,
Kennedy Middle School,Rockford SD 205,,,,
Barbour Two-Way Lang Immersion,Rockford SD 205,,,,
C Henry Bloom Elem School,Rockford SD 205,,,,
Brookview Elem School,Rockford SD 205,,,,
Clifford P Carlson Elem School,Rockford SD 205,,,,
Legacy Acad of Excellence Charter Sch,Rockford SD 205,,,,
Conklin Elem School,Rockford SD 205,,,,
Ellis Elementary School,Rockford SD 205,,,,
Arthur Froberg Elem School,Rockford SD 205,,,,
Gregory Elem School,Rockford SD 205,,,,
Galapagos Rockford Charter Sch,Rockford SD 205,,,,
Haskell Elementary School,Rockford SD 205,,,,
Swan Hillman Elem School,Rockford SD 205,,,,
Maud E Johnson Elem School,Rockford SD 205,,,,
Jackson Charter School,Rockford SD 205,,,,
Constance Lane Elementary School,Rockford SD 205,,,,
Julia Lathrop Elem School,Rockford SD 205,,,,
McIntosh Elementary,Rockford SD 205,,,,
Riverdahl Elem School,Rockford SD 205,,,,
Rolling Green,Rockford SD 205,,,,
Spring Creek Elem School,Rockford SD 205,,,,
R K Welsh Elem School,Rockford SD 205,,,,
West View Elem School,Rockford SD 205,,,,
Whitehead Elem School,Rockford SD 205,,,,
Cherry Valley Elementary School,Rockford SD 205,,,,
Thurgood Marshall Elementary,Rockford SD 205,,,,
Washington Elementary School,Rockford SD 205,,,,
Lewis Lemon Elementary,Rockford SD 205,,,,
Montessori Elementary School,Rockford SD 205,,,,
Rockford Envrnmntl Science Acad,Rockford SD 205,,,,
Thurgood Marshall School,Rockford SD 205,,,,
Fairview Early Childhood Center,Rockford SD 205,,,,
Roosevelt Center,Rockford SD 205,,,,
Summerdale Early Childhood Center,Rockford SD 205,,,,
Wm Nashold Early Childhood Center,Rockford SD 205,,,,
Beyer Early Childhood Center,Rockford SD 205,,,,
,Hononegah CHD 207,548.9,528.4,456,456
Hononegah CHD High School,Hononegah CHD 207,548.9,528.4,456,456
,County of Winnebago SD 320,460.4,462.6,47,47
South Beloit Sr High School,County of Winnebago SD 320,460.4,462.6,47,47
South Beloit Jr High School,County of Winnebago SD 320,,,,
Clark Elementary School,County of Winnebago SD 320,,,,
Riverview Elementary School,County of Winnebago SD 320,,,,
Blackhawk Elementary School,County of Winnebago SD 320,,,,
,Pecatonica CUSD 321,533,510.2,83,83
Pecatonica High School,Pecatonica CUSD 321,533,510.2,83,83
Pecatonica Comm Middle School,Pecatonica CUSD 321,,,,
Pecatonica Elem School,Pecatonica CUSD 321,,,,
,Durand CUSD 322,470.6,446.3,49,49
Durand High School,Durand CUSD 322,470.6,446.3,49,49
Durand Jr High School,Durand CUSD 322,,,,
Durand Elem School,Durand CUSD 322,,,,
,Winnebago CUSD 323,495.9,480.1,80,80
Winnebago High School,Winnebago CUSD 323,495.9,480.1,80,80
Winnebago Middle School,Winnebago CUSD 323,,,,
Dorothy Simon Elem School,Winnebago CUSD 323,,,,
Jean McNair Elementary School,Winnebago CUSD 323,,,,
,Palatine CCSD 15,,,,
Plum Grove Jr High School,Palatine CCSD 15,,,,
Carl Sandburg Jr High School,Palatine CCSD 15,,,,
Winston Campus Jr High,Palatine CCSD 15,,,,
Walter R Sundling Jr High Sch,Palatine CCSD 15,,,,
Jane Addams Elem School,Palatine CCSD 15,,,,
Central Road Elem School,Palatine CCSD 15,,,,
Marion Jordan Elem School,Palatine CCSD 15,,,,
Kimball Hill Elem School,Palatine CCSD 15,,,,
Hunting Ridge Elem School,Palatine CCSD 15,,,,
Lake Louise Elem School,Palatine CCSD 15,,,,
Lincoln Elementary School,Palatine CCSD 15,,,,
Stuart R Paddock School,Palatine CCSD 15,,,,
Pleasant Hill Elem School,Palatine CCSD 15,,,,
Gray M Sanborn Elem School,Palatine CCSD 15,,,,
Virginia Lake Elem School,Palatine CCSD 15,,,,
Willow Bend Elem School,Palatine CCSD 15,,,,
Winston Campus Elementary,Palatine CCSD 15,,,,
Thomas Jefferson Elem School,Palatine CCSD 15,,,,
Frank C Whiteley Elem School,Palatine CCSD 15,,,,
,Wheeling CCSD 21,,,,
Cooper Middle School,Wheeling CCSD 21,,,,
Oliver W Holmes Middle School,Wheeling CCSD 21,,,,
Jack London Middle School,Wheeling CCSD 21,,,,
Eugene Field Elem School,Wheeling CCSD 21,,,,
Robert Frost Elem School,Wheeling CCSD 21,,,,
Joyce Kilmer Elem School,Wheeling CCSD 21,,,,
Henry W Longfellow Elem School,Wheeling CCSD 21,,,,
Edgar A Poe Elem School,Wheeling CCSD 21,,,,
J W Riley Elem School,Wheeling CCSD 21,,,,
Booth Tarkington Elem School,Wheeling CCSD 21,,,,
