tract_number,tract_county,tract_state,Hispanic or Latino (of any race) (percentage),Not Hispanic or Latino (percentage),White alone (percentage),Black or African American alone (percentage),American Indian and Alaska Native alone (percentage),Asian alone (percentage),Native Hawaiian and Other Pacific Islander alone (percentage),Some Other Race alone (percentage),Two or More Races alone (percentage),Total population,Hispanic or Latino (of any race),Not Hispanic or Latino,White alone,Black or African American alone,American Indian and Alaska Native alone,Asian alone,Native Hawaiian and Other Pacific Islander alone,Some Other Race alone,Two or More Races alone
9507,Union County,Arkansas,1.0%,99.0%,57.2%,38.3%,0.0%,2.4%,0.0%,0.0%,1.1%,4718.0,47,4671,2698,1807,0,112,0,0,54
9508,Union County,Arkansas,11.6%,88.4%,60.8%,26.7%,0.0%,0.0%,0.0%,0.0%,1.0%,3150.0,364,2786,1914,842,0,0,0,0,30
9509,Union County,Arkansas,0.2%,99.8%,22.3%,75.5%,0.0%,0.0%,0.0%,0.0%,2.1%,2298.0,4,2294,512,1734,0,0,0,0,48
9510,Union County,Arkansas,12.0%,88.0%,21.6%,61.3%,0.5%,0.0%,0.0%,0.0%,4.6%,4215.0,505,3710,911,2585,19,0,0,0,195
4601,Van Buren County,Arkansas,0.1%,99.9%,99.4%,0.2%,0.0%,0.0%,0.0%,0.0%,0.2%,4022.0,6,4016,3999,7,0,0,0,0,10
4602,Van Buren County,Arkansas,10.7%,89.3%,88.4%,0.6%,0.2%,0.0%,0.0%,0.0%,0.1%,3192.0,342,2850,2822,19,5,0,0,0,4
4603.01,Van Buren County,Arkansas,9.8%,90.2%,87.3%,1.1%,0.1%,0.3%,0.0%,0.0%,1.4%,1742.0,170,1572,1521,20,2,5,0,0,24
4603.03,Van Buren County,Arkansas,0.0%,100.0%,90.4%,0.0%,0.0%,3.9%,0.0%,0.0%,5.7%,1494.0,0,1494,1351,0,0,58,0,0,85
4603.04,Van Buren County,Arkansas,0.6%,99.4%,94.5%,0.6%,0.7%,0.0%,0.5%,0.0%,3.1%,1892.0,11,1881,1788,12,13,0,10,0,58
4604,Van Buren County,Arkansas,0.1%,99.9%,88.2%,1.2%,2.8%,0.0%,0.0%,0.0%,7.7%,3594.0,4,3590,3169,43,102,0,0,0,276
101.01,Washington County,Arkansas,17.3%,82.7%,64.2%,3.4%,0.3%,3.6%,1.7%,0.7%,8.8%,4446.0,771,3675,2854,150,15,159,75,29,393
101.07,Washington County,Arkansas,2.5%,97.5%,84.0%,1.6%,0.0%,2.6%,0.0%,0.9%,8.4%,6629.0,166,6463,5569,103,0,171,0,60,560
101.08,Washington County,Arkansas,2.3%,97.7%,89.4%,0.3%,0.3%,4.0%,0.0%,0.1%,3.7%,5812.0,131,5681,5195,20,16,231,0,5,214
101.09,Washington County,Arkansas,5.6%,94.4%,84.8%,0.1%,1.4%,0.2%,0.0%,0.1%,7.8%,3223.0,179,3044,2734,3,44,7,0,3,253
101.10,Washington County,Arkansas,5.8%,94.2%,82.6%,4.8%,0.0%,3.3%,1.9%,0.0%,1.6%,4829.0,281,4548,3988,232,0,159,90,0,79
101.11,Washington County,Arkansas,1.1%,98.9%,70.2%,0.0%,0.5%,1.6%,0.0%,0.3%,26.3%,2051.0,23,2028,1440,0,11,32,0,6,539
101.12,Washington County,Arkansas,3.3%,96.7%,87.8%,0.0%,1.5%,0.0%,0.0%,0.0%,7.4%,2593.0,85,2508,2276,0,40,0,0,0,192
101.13,Washington County,Arkansas,10.2%,89.8%,76.4%,2.7%,0.2%,3.8%,0.0%,0.0%,6.7%,7841.0,800,7041,5992,208,18,299,0,0,524
101.14,Washington County,Arkansas,6.9%,93.1%,84.8%,1.4%,0.0%,3.1%,0.0%,0.2%,3.7%,3141.0,217,2924,2662,44,0,96,0,5,117
101.15,Washington County,Arkansas,8.9%,91.1%,80.9%,1.7%,0.1%,2.1%,0.0%,0.0%,6.3%,3993.0,357,3636,3230,69,3,84,0,0,250
102.01,Washington County,Arkansas,52.4%,47.6%,24.9%,1.4%,0.0%,0.2%,15.3%,0.0%,5.9%,3804.0,1992,1812,946,53,0,6,583,0,224
102.02,Washington County,Arkansas,52.7%,47.3%,10.5%,3.7%,1.3%,0.0%,22.2%,0.0%,9.6%,3615.0,1906,1709,379,133,46,0,804,0,347
103.03,Washington County,Arkansas,45.8%,54.2%,31.3%,4.0%,0.0%,6.1%,3.9%,0.0%,9.0%,6606.0,3024,3582,2066,264,0,400,258,0,594
103.04,Washington County,Arkansas,35.0%,65.0%,30.0%,12.0%,0.1%,0.3%,19.3%,0.0%,3.3%,5316.0,1859,3457,1597,640,6,15,1026,0,173
103.05,Washington County,Arkansas,57.2%,42.8%,25.9%,3.4%,0.6%,4.0%,4.9%,0.4%,3.5%,5582.0,3192,2390,1448,188,36,225,273,22,198
103.06,Washington County,Arkansas,62.1%,37.9%,12.9%,4.6%,0.3%,3.4%,4.4%,0.0%,12.4%,4620.0,2868,1752,596,212,13,155,202,0,574
103.07,Washington County,Arkansas,47.8%,52.2%,9.6%,1.3%,0.0%,0.0%,38.3%,1.0%,1.9%,4951.0,2368,2583,475,64,0,0,1898,51,95
104.01,Washington County,Arkansas,49.4%,50.6%,38.9%,0.4%,0.2%,0.0%,6.1%,0.0%,4.9%,6361.0,3144,3217,2477,28,12,0,387,0,313
104.02,Washington County,Arkansas,40.1%,59.9%,38.2%,0.0%,1.2%,0.0%,9.0%,2.9%,8.6%,5652.0,2266,3386,2159,0,67,0,511,164,485
104.04,Washington County,Arkansas,77.1%,22.9%,16.1%,0.2%,0.0%,2.2%,0.0%,0.0%,4.4%,2768.0,2135,633,445,6,0,60,0,0,122
104.05,Washington County,Arkansas,25.8%,74.2%,47.1%,2.7%,0.5%,5.3%,0.0%,2.7%,15.8%,5778.0,1491,4287,2722,158,28,309,0,158,912
105.01,Washington County,Arkansas,12.2%,87.8%,75.6%,1.2%,0.5%,1.4%,1.8%,0.0%,7.3%,8003.0,977,7026,6052,93,42,111,143,0,585
105.08,Washington County,Arkansas,5.9%,94.1%,82.4%,4.4%,0.5%,2.3%,0.0%,0.0%,4.5%,6999.0,410,6589,5770,308,35,164,0,0,312
105.10,Washington County,Arkansas,39.3%,60.7%,43.6%,0.1%,0.6%,2.5%,0.7%,0.6%,12.7%,4806.0,1888,2918,2095,4,30,118,32,27,612
105.11,Washington County,Arkansas,13.7%,86.3%,64.8%,4.3%,0.0%,1.5%,2.0%,0.0%,13.9%,5787.0,790,4997,3748,246,0,85,116,0,802
105.12,Washington County,Arkansas,29.7%,70.3%,54.6%,3.0%,0.3%,6.9%,0.6%,0.0%,5.0%,5053.0,1499,3554,2760,153,13,347,30,0,251
105.13,Washington County,Arkansas,9.0%,91.0%,67.1%,0.0%,1.4%,5.2%,0.0%,0.0%,17.2%,3242.0,292,2950,2177,0,45,168,1,0,559
105.14,Washington County,Arkansas,5.2%,94.8%,63.9%,0.3%,0.2%,0.6%,0.0%,0.0%,29.9%,3916.0,203,3713,2503,10,6,22,0,0,1172
105.15,Washington County,Arkansas,11.6%,88.4%,75.5%,0.4%,0.1%,0.0%,0.0%,0.0%,12.4%,6937.0,802,6135,5240,25,8,0,0,0,862
105.16,Washington County,Arkansas,4.5%,95.5%,71.7%,6.8%,2.5%,0.0%,0.0%,0.0%,14.5%,4414.0,200,4214,3165,301,109,0,0,0,639
