tract_number,tract_county,tract_state,total_households,Median income (dollars),Mean income (dollars)
304.03,Faulkner County,Arkansas,"1,508","58,095","75,980"
304.04,Faulkner County,Arkansas,"1,077","60,146","73,249"
305.02,Faulkner County,Arkansas,"2,145","51,250","60,509"
305.03,Faulkner County,Arkansas,"2,392","51,868","93,358"
305.04,Faulkner County,Arkansas,"2,584","84,306","123,122"
306,Faulkner County,Arkansas,"2,075","86,226","103,618"
307.01,Faulkner County,Arkansas,"1,241","45,938","52,356"
307.02,Faulkner County,Arkansas,"1,770","50,546","59,020"
308,Faulkner County,Arkansas,"1,845","50,972","66,336"
309,Faulkner County,Arkansas,"1,474","28,797","39,013"
310.01,Faulkner County,Arkansas,"1,881","61,236","97,102"
310.03,Faulkner County,Arkansas,"1,370","37,087","56,923"
310.06,Faulkner County,Arkansas,"1,778","59,904","89,652"
310.07,Faulkner County,Arkansas,"1,760","49,750","70,375"
310.08,Faulkner County,Arkansas,"2,181","72,819","123,501"
311.01,Faulkner County,Arkansas,"2,034","55,862","65,773"
311.02,Faulkner County,Arkansas,"1,783","61,932","77,761"
9501,Franklin County,Arkansas,"1,217","58,531","71,961"
9502.01,Franklin County,Arkansas,"1,344","53,278","60,681"
9502.02,Franklin County,Arkansas,"1,449","48,176","51,247"
9503.01,Franklin County,Arkansas,"1,583","39,110","73,056"
9503.02,Franklin County,Arkansas,"1,285","59,896","72,769"
5501.01,Fulton County,Arkansas,"1,452","36,370","54,243"
5501.02,Fulton County,Arkansas,868,"40,375","55,144"
5502.01,Fulton County,Arkansas,"1,284","37,214","50,613"
5502.02,Fulton County,Arkansas,"1,204","43,734","57,980"
103.01,Garland County,Arkansas,"1,733","53,497","60,112"
103.02,Garland County,Arkansas,756,"78,234","86,295"
104.01,Garland County,Arkansas,"1,889","64,866","82,283"
104.02,Garland County,Arkansas,"1,469","59,112","70,149"
105.01,Garland County,Arkansas,"1,743","84,014","89,295"
105.02,Garland County,Arkansas,820,"54,634","59,925"
106.01,Garland County,Arkansas,739,"48,281","66,964"
106.02,Garland County,Arkansas,934,"27,656","37,451"
107,Garland County,Arkansas,982,"15,000","35,491"
108,Garland County,Arkansas,"1,248","33,111","43,448"
109,Garland County,Arkansas,"1,815","40,950","61,157"
110.01,Garland County,Arkansas,"1,362","46,905","57,836"
110.02,Garland County,Arkansas,609,"50,281","51,037"
111.01,Garland County,Arkansas,"2,087","64,848","84,936"
111.02,Garland County,Arkansas,"1,486","64,500","76,103"
112.01,Garland County,Arkansas,"2,076","68,172","80,158"
112.02,Garland County,Arkansas,"1,507","62,068","82,325"
113,Garland County,Arkansas,"2,318","41,937","54,786"
114,Garland County,Arkansas,"1,274","32,215","42,921"
115,Garland County,Arkansas,"1,143","30,653","41,824"
116.01,Garland County,Arkansas,"1,982","70,732","94,115"
116.02,Garland County,Arkansas,"2,288","88,611","114,425"
117.01,Garland County,Arkansas,"1,901","52,781","66,850"
117.02,Garland County,Arkansas,504,"35,357","61,055"
118.01,Garland County,Arkansas,"1,056","65,938","86,215"
118.02,Garland County,Arkansas,"1,213","56,865","95,072"
119.01,Garland County,Arkansas,"1,361","69,009","108,199"
119.02,Garland County,Arkansas,"1,010","89,000","154,929"
120.01,Garland County,Arkansas,"2,381","57,569","65,448"
120.02,Garland County,Arkansas,"2,076","52,789","73,001"
4701,Grant County,Arkansas,"1,889","78,618","97,602"
4702,Grant County,Arkansas,"1,231","86,164","129,044"
4703,Grant County,Arkansas,"1,389","65,815","81,094"
4704.01,Grant County,Arkansas,"1,533","61,655","78,054"
4704.02,Grant County,Arkansas,913,"65,583","64,106"
4801,Greene County,Arkansas,"1,204","51,967","60,571"
4802,Greene County,Arkansas,"1,790","65,476","75,190"
4803,Greene County,Arkansas,"1,196","67,857","83,343"
4804.01,Greene County,Arkansas,"1,768","45,625","59,111"
4804.02,Greene County,Arkansas,"1,190","54,303","55,439"
4805.01,Greene County,Arkansas,"1,507","48,371","54,772"
4805.02,Greene County,Arkansas,"1,345","30,918","41,532"
4806.01,Greene County,Arkansas,"1,376","70,170","79,212"
4806.02,Greene County,Arkansas,"1,750","80,000","87,019"
4807,Greene County,Arkansas,826,"28,071","40,781"
4808.01,Greene County,Arkansas,"1,956","76,888","90,502"
4808.02,Greene County,Arkansas,"2,018","60,696","77,966"
4801.01,Hempstead County,Arkansas,824,"54,444","73,480"
4801.02,Hempstead County,Arkansas,847,"51,985","73,762"
4802,Hempstead County,Arkansas,"1,043","39,295","49,418"
4803.01,Hempstead County,Arkansas,842,"31,071","37,274"
4803.02,Hempstead County,Arkansas,"1,175","56,875","65,411"
4804,Hempstead County,Arkansas,"1,352","61,111","68,291"
4805,Hempstead County,Arkansas,"1,371","54,361","88,663"
201.01,Hot Spring County,Arkansas,"1,362","56,786","66,284"
201.02,Hot Spring County,Arkansas,"1,349","65,469","86,238"
202,Hot Spring County,Arkansas,"1,141","37,388","43,670"
203,Hot Spring County,Arkansas,666,"71,354","72,638"
204,Hot Spring County,Arkansas,"2,263","50,260","57,603"
205,Hot Spring County,Arkansas,"1,552","69,407","73,306"
206,Hot Spring County,Arkansas,"1,458","57,500","77,205"
207.01,Hot Spring County,Arkansas,967,"51,784","60,848"
207.02,Hot Spring County,Arkansas,"1,343","58,352","69,161"
9501,Howard County,Arkansas,"1,769","32,852","60,469"
9502,Howard County,Arkansas,"1,765","61,250","72,097"
9503,Howard County,Arkansas,"1,635","39,182","55,084"
4901.01,Independence County,Arkansas,"1,028","52,273","72,545"
4901.02,Independence County,Arkansas,"1,445","73,203","118,244"
4902,Independence County,Arkansas,861,"53,254","75,294"
4903,Independence County,Arkansas,"2,485","59,306","73,407"
4904,Independence County,Arkansas,"1,880","43,869","58,274"
4905,Independence County,Arkansas,"1,357","69,526","103,519"
4906,Independence County,Arkansas,"1,039","37,731","47,228"
4907.01,Independence County,Arkansas,"1,361","75,299","70,602"
4907.02,Independence County,Arkansas,"1,194","48,347","78,638"
4908,Independence County,Arkansas,"1,865","60,440","75,064"
9601,Izard County,Arkansas,"1,298","42,356","57,917"
9602,Izard County,Arkansas,"1,702","41,316","64,838"
9603,Izard County,Arkansas,"1,020","45,000","51,049"
9604,Izard County,Arkansas,"1,007","53,730","70,166"
4801,Jackson County,Arkansas,"1,189","38,839","60,760"
4802,Jackson County,Arkansas,"1,284","42,162","60,291"
4803,Jackson County,Arkansas,"2,053","31,732","43,580"
4804.01,Jackson County,Arkansas,643,"63,208","104,616"
4804.02,Jackson County,Arkansas,256,"51,719","66,155"
4805,Jackson County,Arkansas,669,"53,713","70,205"
1.02,Jefferson County,Arkansas,17,-,N
3.01,Jefferson County,Arkansas,"1,249","49,055","75,627"
3.02,Jefferson County,Arkansas,"2,076","84,722","92,707"
3.03,Jefferson County,Arkansas,"1,256","45,424","61,828"
5.02,Jefferson County,Arkansas,773,"31,356","39,623"
9,Jefferson County,Arkansas,"1,126","34,464","46,196"
10,Jefferson County,Arkansas,453,-,"36,029"
12,Jefferson County,Arkansas,813,"22,113","68,298"
13,Jefferson County,Arkansas,475,"29,271","38,530"
14.01,Jefferson County,Arkansas,710,"21,858","33,463"
14.02,Jefferson County,Arkansas,745,"38,781","62,488"
15.01,Jefferson County,Arkansas,"1,368","46,810","59,575"
15.02,Jefferson County,Arkansas,"1,515","35,091","44,878"
16,Jefferson County,Arkansas,809,"43,536","49,176"
17,Jefferson County,Arkansas,786,"45,560","50,236"
18,Jefferson County,Arkansas,"1,243","59,882","86,875"
19.01,Jefferson County,Arkansas,404,"42,768","62,931"
19.03,Jefferson County,Arkansas,802,"36,429","42,436"
20,Jefferson County,Arkansas,"2,013","79,306","102,255"
21.03,Jefferson County,Arkansas,"1,227","51,607","64,122"
21.04,Jefferson County,Arkansas,"1,808","62,083","74,661"
23,Jefferson County,Arkansas,815,"35,949","55,560"
24,Jefferson County,Arkansas,"1,398","70,948","77,877"
25,Jefferson County,Arkansas,453,"72,726","62,024"
9517,Johnson County,Arkansas,"2,012","56,210","64,653"
9518,Johnson County,Arkansas,"1,522","43,519","57,859"
9519,Johnson County,Arkansas,"1,254","69,569","89,229"
9520,Johnson County,Arkansas,"1,753","30,892","39,488"
9521,Johnson County,Arkansas,"1,495","40,355","59,923"
9522,Johnson County,Arkansas,"2,011","58,069","63,208"
4701.01,Lafayette County,Arkansas,766,"34,808","45,859"
4701.02,Lafayette County,Arkansas,754,"46,552","61,251"
4702,Lafayette County,Arkansas,"1,044","32,386","49,681"
4701,Lawrence County,Arkansas,576,"51,875","71,361"
4702,Lawrence County,Arkansas,"1,559","48,778","68,718"
4703,Lawrence County,Arkansas,757,"50,972","66,938"
4704,Lawrence County,Arkansas,486,"44,500","64,765"
4705.01,Lawrence County,Arkansas,"1,183","35,441","48,548"
4705.02,Lawrence County,Arkansas,"1,876","44,928","65,858"
4701,Lee County,Arkansas,336,"45,556","48,967"
4702,Lee County,Arkansas,640,"46,518","109,352"
4703,Lee County,Arkansas,"1,257","20,860","39,550"
4704,Lee County,Arkansas,408,"42,857","58,863"
9603,Lincoln County,Arkansas,"1,066","61,111","76,074"
9604,Lincoln County,Arkansas,"1,116","50,179","67,699"
9605,Lincoln County,Arkansas,793,"53,818","67,771"
9606,Lincoln County,Arkansas,543,"33,250","50,541"
301.01,Little River County,Arkansas,871,"56,964","73,204"
301.03,Little River County,Arkansas,820,"48,596","63,952"
301.04,Little River County,Arkansas,909,"39,738","65,086"
302,Little River County,Arkansas,964,"52,727","67,317"
303.01,Little River County,Arkansas,441,"53,685","75,097"
303.02,Little River County,Arkansas,785,"63,598","76,166"
9501,Logan County,Arkansas,"1,589","64,727","70,977"
9502,Logan County,Arkansas,"1,436","66,250","92,907"
9503,Logan County,Arkansas,"1,623","48,618","62,344"
9504,Logan County,Arkansas,"1,187","58,917","73,405"
9505,Logan County,Arkansas,"1,612","49,874","56,881"
9506,Logan County,Arkansas,"1,037","63,750","88,038"
201.02,Lonoke County,Arkansas,"2,026","69,719","78,182"
201.03,Lonoke County,Arkansas,"2,738","87,602","114,380"
