tract_number,tract_county,tract_state,"18-24, less than high school graduate (percentage)","18-24, high school graduate (includes equivalency) (percentage)","18-24, some college or associate's degree (percentage)","18-24, bachelor's degree or higher (percentage)","25 and over, less than 9th grade (percentage)","25 and over, 9th to 12th grade, no diploma (percentage)","25 and over, high school graduate (includes equivalency) (percentage)","25 and over, some college, no degree (percentage)","25 and over, associate's degree (percentage)","25 and over, bachelor's degree (percentage)","25 and over, graduate or professional degree (percentage)",Population 18 to 24 years,"18-24, less than high school graduate","18-24, high school graduate (includes equivalency)","18-24, some college or associate's degree","18-24, bachelor's degree or higher",Population 25 years and over,"25 and over, less than 9th grade","25 and over, 9th to 12th grade, no diploma","25 and over, high school graduate (includes equivalency)","25 and over, some college, no degree","25 and over, associate's degree","25 and over, bachelor's degree","25 and over, graduate or professional degree"
104.01,Garland County,Arkansas,25.4%,49.2%,23.8%,1.6%,0.9%,4.9%,33.3%,25.8%,5.9%,17.7%,11.5%,193,49,95,46,3,3215,28,158,1071,829,190,569,370
104.02,Garland County,Arkansas,3.6%,27.8%,61.6%,7.0%,3.3%,6.8%,44.6%,26.4%,11.2%,5.2%,2.5%,302,11,84,186,21,2766,91,188,1233,730,309,145,70
105.01,Garland County,Arkansas,3.5%,80.2%,7.9%,8.4%,0.5%,3.3%,27.9%,26.6%,11.7%,20.9%,9.1%,202,7,162,16,17,3261,16,107,910,869,380,682,297
105.02,Garland County,Arkansas,5.2%,34.3%,26.7%,33.8%,9.1%,13.0%,30.4%,24.3%,8.4%,12.7%,2.1%,210,11,72,56,71,1412,129,184,429,343,119,179,29
106.01,Garland County,Arkansas,0.0%,41.8%,58.2%,0.0%,6.5%,8.7%,25.5%,31.5%,13.5%,13.3%,1.1%,122,0,51,71,0,1217,79,106,310,383,164,162,13
106.02,Garland County,Arkansas,11.1%,28.7%,60.2%,0.0%,7.6%,15.3%,36.3%,23.3%,11.8%,5.7%,0.0%,216,24,62,130,0,1240,94,190,450,289,146,71,0
107,Garland County,Arkansas,44.1%,37.8%,11.8%,6.3%,8.0%,8.5%,35.8%,26.6%,3.1%,15.0%,3.1%,127,56,48,15,8,1376,110,117,492,366,42,206,43
108,Garland County,Arkansas,0.6%,55.3%,44.0%,0.0%,5.5%,8.1%,35.1%,24.4%,5.8%,12.9%,8.3%,477,3,264,210,0,1778,97,144,624,433,103,229,148
109,Garland County,Arkansas,12.1%,72.1%,15.8%,0.0%,0.9%,8.6%,28.8%,31.5%,6.7%,18.5%,4.9%,265,32,191,42,0,2752,26,237,793,867,184,509,136
110.01,Garland County,Arkansas,53.1%,30.2%,16.7%,0.0%,3.0%,6.4%,32.2%,15.8%,12.9%,12.4%,17.2%,96,51,29,16,0,2147,65,138,692,339,278,266,369
110.02,Garland County,Arkansas,5.9%,73.1%,12.9%,8.1%,0.0%,17.1%,38.2%,25.3%,13.8%,3.1%,2.6%,186,11,136,24,15,1081,0,185,413,273,149,33,28
111.01,Garland County,Arkansas,9.3%,53.7%,14.7%,22.3%,3.6%,7.8%,33.2%,21.3%,8.2%,18.8%,7.1%,421,39,226,62,94,3836,138,300,1274,816,314,722,272
111.02,Garland County,Arkansas,6.9%,48.4%,26.6%,18.1%,0.0%,7.1%,37.1%,19.6%,10.9%,14.0%,11.3%,248,17,120,66,45,2891,0,205,1072,568,316,404,326
112.01,Garland County,Arkansas,0.0%,73.7%,26.3%,0.0%,0.3%,2.0%,28.5%,23.9%,12.0%,20.1%,13.2%,247,0,182,65,0,3727,12,74,1061,892,447,750,491
112.02,Garland County,Arkansas,42.0%,24.7%,33.3%,0.0%,1.0%,6.8%,28.1%,28.9%,9.0%,17.5%,8.6%,81,34,20,27,0,2505,25,171,705,724,225,439,216
113,Garland County,Arkansas,12.1%,57.1%,20.6%,10.3%,3.1%,5.2%,32.8%,26.6%,8.8%,17.3%,6.2%,282,34,161,58,29,3693,114,193,1210,982,326,638,230
114,Garland County,Arkansas,31.9%,31.3%,36.8%,0.0%,7.2%,11.9%,31.7%,30.6%,7.9%,6.5%,4.2%,473,151,148,174,0,1868,135,222,593,571,147,121,79
115,Garland County,Arkansas,11.3%,4.2%,84.5%,0.0%,4.0%,12.2%,37.3%,20.0%,2.9%,17.9%,5.7%,238,27,10,201,0,1572,63,192,587,314,46,281,89
116.01,Garland County,Arkansas,7.0%,55.7%,34.2%,3.0%,1.5%,2.8%,25.0%,20.2%,10.4%,24.9%,15.2%,558,39,311,191,17,3251,50,90,812,658,338,810,493
116.02,Garland County,Arkansas,0.6%,72.0%,18.3%,9.1%,1.9%,8.0%,22.5%,20.4%,9.7%,22.5%,15.0%,471,3,339,86,43,4199,78,338,945,858,407,945,628
117.01,Garland County,Arkansas,0.0%,69.6%,30.4%,0.0%,3.7%,4.1%,28.2%,15.0%,14.8%,18.4%,15.9%,375,0,261,114,0,2641,98,107,745,396,391,485,419
117.02,Garland County,Arkansas,42.9%,57.1%,0.0%,0.0%,3.4%,17.8%,31.3%,17.7%,5.9%,20.6%,3.4%,42,18,24,0,0,888,30,158,278,157,52,183,30
118.01,Garland County,Arkansas,0.0%,29.7%,70.3%,0.0%,6.7%,12.3%,17.4%,21.3%,6.0%,19.6%,16.7%,148,0,44,104,0,1661,111,205,289,353,99,326,278
118.02,Garland County,Arkansas,0.0%,0.0%,100.0%,0.0%,1.7%,0.9%,32.0%,22.9%,7.2%,19.5%,15.8%,100,0,0,100,0,1908,33,17,610,437,138,372,301
119.01,Garland County,Arkansas,17.8%,57.3%,24.8%,0.0%,3.1%,3.2%,37.0%,17.3%,7.7%,21.9%,9.7%,157,28,90,39,0,2393,75,77,886,415,184,524,232
119.02,Garland County,Arkansas,19.5%,0.0%,69.2%,11.4%,2.7%,3.6%,13.0%,22.7%,11.1%,27.3%,19.6%,185,36,0,128,21,1927,52,70,250,438,214,526,377
120.01,Garland County,Arkansas,0.0%,100.0%,0.0%,0.0%,1.8%,1.3%,29.1%,26.0%,17.9%,12.3%,11.7%,83,0,83,0,0,4090,72,55,1189,1063,732,502,477
120.02,Garland County,Arkansas,42.9%,49.5%,7.7%,0.0%,0.4%,3.6%,22.2%,30.5%,9.4%,20.1%,13.8%,196,84,97,15,0,3373,12,120,749,1030,317,679,466
4701,Grant County,Arkansas,8.3%,68.9%,7.8%,15.0%,0.9%,6.4%,41.9%,21.1%,8.2%,16.8%,4.7%,412,34,284,32,62,3352,31,214,1404,708,274,563,158
4702,Grant County,Arkansas,1.8%,84.6%,5.1%,8.5%,3.3%,8.6%,40.4%,24.5%,6.8%,11.1%,5.3%,435,8,368,22,37,2325,77,201,939,570,157,258,123
4703,Grant County,Arkansas,12.6%,61.0%,20.1%,6.3%,2.6%,6.1%,45.4%,19.4%,8.1%,14.3%,4.1%,318,40,194,64,20,2814,74,172,1278,545,229,402,114
4704.01,Grant County,Arkansas,27.2%,30.9%,42.0%,0.0%,2.4%,5.0%,37.0%,24.6%,3.8%,19.2%,8.0%,162,44,50,68,0,2742,66,136,1015,674,105,527,219
4704.02,Grant County,Arkansas,3.1%,28.5%,62.7%,5.7%,6.2%,4.6%,45.5%,16.4%,7.3%,17.4%,2.6%,193,6,55,121,11,1490,92,68,678,244,109,260,39
4801,Greene County,Arkansas,8.3%,67.4%,15.0%,9.3%,6.7%,13.4%,44.5%,11.0%,7.6%,13.5%,3.2%,193,16,130,29,18,2017,136,271,897,221,154,273,65
4802,Greene County,Arkansas,17.8%,42.0%,38.8%,1.3%,2.8%,6.5%,41.3%,23.1%,9.7%,13.0%,3.5%,376,67,158,146,5,2976,84,193,1230,688,290,388,103
4803,Greene County,Arkansas,13.4%,31.5%,22.8%,32.2%,2.9%,8.6%,43.4%,16.3%,6.2%,15.8%,6.8%,149,20,47,34,48,2297,66,197,998,374,143,363,156
4804.01,Greene County,Arkansas,6.9%,54.1%,37.8%,1.3%,6.6%,4.4%,39.3%,23.9%,6.0%,11.7%,8.1%,320,22,173,121,4,3167,209,138,1245,758,190,371,256
4804.02,Greene County,Arkansas,3.7%,57.8%,18.9%,19.7%,1.7%,21.4%,51.7%,11.7%,2.5%,4.1%,6.8%,244,9,141,46,48,1967,34,421,1017,230,50,81,134
4805.01,Greene County,Arkansas,23.8%,37.5%,38.7%,0.0%,4.6%,13.1%,45.6%,17.3%,7.3%,7.4%,4.7%,475,113,178,184,0,2233,103,293,1018,387,163,165,104
4805.02,Greene County,Arkansas,42.8%,27.6%,29.6%,0.0%,4.1%,6.7%,57.3%,24.6%,5.2%,1.3%,0.8%,250,107,69,74,0,2198,90,148,1260,540,114,28,18
4806.01,Greene County,Arkansas,0.0%,70.2%,29.8%,0.0%,5.0%,9.2%,43.8%,20.7%,8.4%,7.3%,5.7%,161,0,113,48,0,2582,128,237,1131,534,216,188,148
4806.02,Greene County,Arkansas,14.6%,14.9%,41.3%,29.2%,1.1%,5.4%,36.5%,24.5%,7.8%,10.7%,13.8%,404,59,60,167,118,3313,38,180,1210,813,260,354,458
4807,Greene County,Arkansas,71.3%,23.3%,3.0%,2.5%,8.7%,14.0%,49.9%,14.5%,7.6%,4.9%,0.5%,202,144,47,6,5,1468,128,205,732,213,111,72,7
4808.01,Greene County,Arkansas,0.4%,57.9%,21.8%,20.0%,1.5%,5.4%,34.9%,27.9%,11.9%,13.1%,5.4%,285,1,165,62,57,3475,53,188,1212,968,412,455,187
4808.02,Greene County,Arkansas,12.4%,53.6%,22.1%,11.9%,1.2%,10.0%,38.2%,19.1%,9.6%,14.3%,7.6%,732,91,392,162,87,3540,42,354,1353,675,340,506,270
4801.01,Hempstead County,Arkansas,20.2%,44.0%,33.3%,2.4%,4.3%,7.6%,39.1%,26.5%,12.6%,6.5%,3.4%,84,17,37,28,2,1700,73,129,665,450,215,111,57
4801.02,Hempstead County,Arkansas,1.9%,28.0%,67.8%,2.4%,4.2%,6.3%,33.6%,26.0%,5.2%,13.1%,11.5%,211,4,59,143,5,1640,69,103,551,427,86,215,189
4802,Hempstead County,Arkansas,13.3%,41.7%,45.0%,0.0%,0.7%,13.5%,50.2%,15.8%,11.6%,6.1%,2.1%,60,8,25,27,0,1672,12,225,840,264,194,102,35
4803.01,Hempstead County,Arkansas,0.0%,22.9%,77.1%,0.0%,9.3%,10.8%,52.7%,21.3%,2.3%,2.0%,1.6%,144,0,33,111,0,1265,118,136,667,270,29,25,20
4803.02,Hempstead County,Arkansas,0.0%,37.2%,42.3%,20.5%,2.0%,9.5%,48.3%,17.5%,5.7%,11.5%,5.5%,298,0,111,126,61,2004,40,190,968,351,114,230,111
4804,Hempstead County,Arkansas,22.9%,32.9%,31.3%,12.9%,11.5%,7.0%,29.9%,27.2%,9.0%,10.8%,4.6%,240,55,79,75,31,2410,277,169,721,656,216,261,110
4805,Hempstead County,Arkansas,10.0%,45.0%,34.8%,10.2%,16.2%,9.4%,32.0%,19.1%,5.0%,10.1%,8.2%,460,46,207,160,47,2539,412,239,813,484,126,256,209
201.01,Hot Spring County,Arkansas,9.5%,40.2%,48.8%,1.5%,2.2%,3.3%,38.8%,21.5%,8.4%,17.3%,8.5%,336,32,135,164,5,2316,51,77,899,498,195,400,196
201.02,Hot Spring County,Arkansas,14.4%,44.9%,40.7%,0.0%,4.7%,11.3%,40.6%,16.7%,9.1%,10.9%,6.7%,486,70,218,198,0,2486,116,280,1010,416,227,271,166
202,Hot Spring County,Arkansas,62.6%,24.0%,13.4%,0.0%,2.4%,19.2%,44.2%,23.0%,5.4%,3.7%,2.1%,179,112,43,24,0,2157,52,414,953,496,117,79,46
203,Hot Spring County,Arkansas,4.0%,12.8%,71.1%,12.1%,1.5%,3.6%,35.8%,25.4%,19.6%,8.2%,5.8%,149,6,19,106,18,1242,19,45,445,316,243,102,72
204,Hot Spring County,Arkansas,18.0%,41.6%,29.0%,11.4%,1.6%,7.9%,46.8%,18.6%,9.2%,11.1%,4.8%,466,84,194,135,53,3960,64,313,1855,735,365,438,190
205,Hot Spring County,Arkansas,29.6%,33.6%,33.6%,3.3%,4.2%,8.0%,44.7%,25.3%,5.6%,8.4%,3.7%,453,134,152,152,15,4671,197,374,2090,1182,262,394,172
206,Hot Spring County,Arkansas,15.8%,38.3%,46.0%,0.0%,0.9%,4.8%,36.8%,22.7%,7.5%,17.3%,10.1%,298,47,114,137,0,2834,25,135,1043,642,212,490,287
207.01,Hot Spring County,Arkansas,0.0%,14.8%,78.7%,6.6%,0.0%,12.4%,32.5%,37.1%,8.4%,6.0%,3.6%,61,0,9,48,4,1739,0,216,565,645,146,105,62
207.02,Hot Spring County,Arkansas,3.6%,48.4%,5.4%,42.6%,0.0%,6.4%,37.9%,35.4%,8.0%,4.9%,7.3%,223,8,108,12,95,2587,0,166,981,916,207,128,189
9501,Howard County,Arkansas,18.3%,64.0%,13.4%,4.4%,3.4%,9.8%,39.9%,17.9%,6.6%,15.0%,7.4%,367,67,235,49,16,2688,92,263,1073,481,177,403,199
9502,Howard County,Arkansas,9.7%,56.6%,23.6%,10.1%,3.3%,6.0%,44.4%,20.7%,12.5%,11.3%,1.7%,318,31,180,75,32,3111,102,188,1381,645,390,353,52
9503,Howard County,Arkansas,12.4%,44.9%,42.7%,0.0%,5.2%,4.3%,46.9%,21.5%,6.9%,8.7%,6.4%,314,39,141,134,0,2613,135,113,1225,563,181,228,168
4901.01,Independence County,Arkansas,9.8%,12.2%,78.0%,0.0%,1.7%,10.5%,37.8%,24.5%,6.5%,15.8%,3.1%,123,12,15,96,0,1850,32,194,700,453,121,292,58
4901.02,Independence County,Arkansas,45.3%,28.1%,21.9%,4.7%,6.5%,7.3%,39.9%,23.7%,8.4%,9.3%,4.8%,278,126,78,61,13,2576,168,189,1029,610,216,240,124
4902,Independence County,Arkansas,19.4%,44.4%,12.9%,23.4%,12.3%,2.3%,38.3%,16.6%,20.2%,5.5%,4.8%,124,24,55,16,29,1665,204,39,637,277,336,92,80
4903,Independence County,Arkansas,8.0%,22.3%,67.3%,2.4%,4.7%,7.4%,34.3%,21.9%,7.8%,15.4%,8.5%,1001,80,223,674,24,4233,199,313,1452,926,331,652,360
4904,Independence County,Arkansas,15.9%,38.5%,43.3%,2.3%,3.2%,11.6%,38.0%,26.5%,10.6%,7.8%,2.3%,439,70,169,190,10,3081,99,358,1172,815,326,241,70
4905,Independence County,Arkansas,26.2%,50.0%,23.8%,0.0%,2.1%,5.1%,35.8%,15.4%,6.7%,20.4%,14.4%,164,43,82,39,0,2329,50,119,834,358,157,475,336
4906,Independence County,Arkansas,11.0%,20.7%,68.4%,0.0%,4.5%,14.9%,41.7%,24.4%,6.7%,5.0%,2.8%,237,26,49,162,0,1743,79,259,726,425,117,88,49
4907.01,Independence County,Arkansas,8.9%,37.7%,43.4%,10.0%,3.0%,14.0%,43.3%,15.3%,9.8%,8.4%,6.3%,281,25,106,122,28,2429,73,339,1052,371,238,203,153
4907.02,Independence County,Arkansas,16.4%,28.8%,54.8%,0.0%,3.5%,9.9%,39.3%,23.5%,7.8%,13.4%,2.5%,511,84,147,280,0,2065,73,205,811,486,162,276,52
4908,Independence County,Arkansas,1.3%,9.7%,84.3%,4.7%,0.6%,4.7%,46.6%,24.7%,10.4%,7.9%,5.0%,383,5,37,323,18,3392,22,158,1582,838,354,268,170
9601,Izard County,Arkansas,18.0%,43.9%,19.6%,18.5%,2.2%,10.8%,34.5%,25.5%,8.1%,12.0%,6.8%,189,34,83,37,35,2501,54,271,864,638,203,301,170
9602,Izard County,Arkansas,15.7%,42.6%,38.3%,3.3%,5.3%,7.0%,31.1%,22.8%,11.7%,17.0%,5.0%,420,66,179,161,14,3218,171,225,1002,734,377,547,162
9603,Izard County,Arkansas,26.6%,46.8%,26.0%,0.6%,9.6%,14.8%,42.2%,16.0%,3.5%,11.1%,2.8%,173,46,81,45,1,2647,255,391,1118,423,92,293,75
9604,Izard County,Arkansas,14.4%,71.2%,14.4%,0.0%,1.0%,9.9%,35.5%,24.9%,9.1%,9.7%,9.8%,111,16,79,16,0,2147,22,212,763,535,196,209,210
4801,Jackson County,Arkansas,22.3%,45.5%,27.7%,4.5%,2.4%,11.2%,38.1%,21.2%,6.2%,15.9%,5.0%,224,50,102,62,10,2052,49,230,781,436,128,326,102
4802,Jackson County,Arkansas,28.6%,50.9%,7.8%,12.7%,2.2%,17.1%,43.3%,13.6%,8.6%,7.5%,7.6%,346,99,176,27,44,2199,49,377,952,300,190,164,167
4803,Jackson County,Arkansas,24.4%,70.3%,5.3%,0.0%,2.8%,8.2%,35.8%,28.4%,11.9%,7.7%,5.2%,455,111,320,24,0,2857,79,235,1023,811,341,219,149
4804.01,Jackson County,Arkansas,1.3%,40.9%,56.5%,1.3%,7.0%,11.9%,48.7%,11.4%,2.4%,12.5%,6.1%,154,2,63,87,2,1079,75,128,526,123,26,135,66
4804.02,Jackson County,Arkansas,41.9%,51.0%,7.1%,0.0%,10.2%,13.2%,48.6%,17.5%,5.7%,4.7%,0.2%,210,88,107,15,0,2513,257,331,1221,440,142,117,5
4805,Jackson County,Arkansas,0.0%,91.5%,8.5%,0.0%,4.6%,5.8%,50.2%,19.4%,9.2%,5.7%,5.1%,129,0,118,11,0,1272,59,74,638,247,117,72,65
1.02,Jefferson County,Arkansas,57.3%,23.7%,19.1%,0.0%,2.4%,18.8%,54.2%,20.3%,0.9%,3.4%,0.0%,131,75,31,25,0,1425,34,268,772,289,13,49,0
3.01,Jefferson County,Arkansas,17.2%,70.3%,12.4%,0.0%,1.4%,8.2%,47.1%,19.9%,4.2%,13.2%,6.0%,418,72,294,52,0,2234,32,183,1052,444,94,294,135
3.02,Jefferson County,Arkansas,6.0%,47.5%,28.7%,17.8%,6.1%,4.6%,34.2%,13.9%,4.8%,27.8%,8.5%,383,23,182,110,68,3389,206,156,1160,472,163,943,289
3.03,Jefferson County,Arkansas,0.0%,66.8%,33.2%,0.0%,5.3%,4.8%,55.1%,15.9%,5.1%,11.1%,2.7%,238,0,159,79,0,2140,113,103,1180,340,109,237,58
5.02,Jefferson County,Arkansas,0.0%,16.9%,82.0%,1.1%,8.6%,14.4%,31.8%,30.6%,1.0%,9.2%,4.4%,1451,0,245,1190,16,1080,93,155,343,331,11,99,48
9,Jefferson County,Arkansas,2.1%,41.5%,27.9%,28.6%,0.5%,11.8%,39.2%,25.8%,3.2%,14.0%,5.5%,287,6,119,80,82,1865,9,221,731,481,59,261,103
10,Jefferson County,Arkansas,36.2%,63.8%,0.0%,0.0%,5.8%,15.0%,37.1%,29.5%,3.0%,6.1%,3.6%,94,34,60,0,0,955,55,143,354,282,29,58,34
12,Jefferson County,Arkansas,0.0%,59.8%,33.9%,6.3%,20.7%,6.6%,38.8%,11.3%,4.7%,12.3%,5.7%,112,0,67,38,7,1156,239,76,448,131,54,142,66
13,Jefferson County,Arkansas,0.0%,39.0%,61.0%,0.0%,3.8%,24.3%,45.9%,16.9%,2.2%,6.8%,0.1%,41,0,16,25,0,785,30,191,360,133,17,53,1
14.01,Jefferson County,Arkansas,6.3%,93.7%,0.0%,0.0%,2.7%,13.8%,50.0%,16.2%,5.8%,11.4%,0.0%,222,14,208,0,0,912,25,126,456,148,53,104,0
14.02,Jefferson County,Arkansas,42.2%,47.2%,10.6%,0.0%,0.0%,16.3%,27.7%,31.2%,7.9%,14.4%,2.6%,218,92,103,23,0,1607,0,262,445,501,127,231,41
15.01,Jefferson County,Arkansas,27.7%,37.4%,34.9%,0.0%,0.6%,3.2%,25.6%,31.4%,5.8%,25.8%,7.5%,195,54,73,68,0,2345,15,74,601,736,137,605,177
15.02,Jefferson County,Arkansas,0.0%,36.5%,45.2%,18.3%,1.5%,9.8%,41.8%,16.6%,2.4%,17.7%,10.2%,126,0,46,57,23,2250,34,220,941,373,55,398,229
16,Jefferson County,Arkansas,13.2%,49.0%,37.7%,0.0%,1.6%,6.1%,44.5%,18.9%,6.9%,18.9%,3.2%,151,20,74,57,0,1464,23,90,651,276,101,276,47
17,Jefferson County,Arkansas,25.8%,25.8%,48.5%,0.0%,3.0%,2.6%,50.8%,15.7%,11.0%,16.5%,0.4%,66,17,17,32,0,1378,42,36,700,216,151,228,5
18,Jefferson County,Arkansas,0.8%,44.5%,46.6%,8.1%,2.2%,2.5%,23.6%,14.2%,3.2%,23.9%,30.5%,384,3,171,179,31,1849,40,47,436,262,59,441,564
19.01,Jefferson County,Arkansas,4.6%,93.1%,2.3%,0.0%,1.6%,9.3%,42.5%,19.8%,8.0%,13.1%,5.8%,87,4,81,2,0,702,11,65,298,139,56,92,41
19.03,Jefferson County,Arkansas,0.0%,81.6%,18.4%,0.0%,0.0%,10.4%,39.0%,17.8%,18.3%,11.6%,2.8%,419,0,342,77,0,1162,0,121,453,207,213,135,33
20,Jefferson County,Arkansas,33.7%,13.3%,28.0%,25.0%,6.3%,1.8%,33.1%,22.2%,7.2%,20.9%,8.5%,264,89,35,74,66,4095,257,74,1354,908,296,857,349
21.03,Jefferson County,Arkansas,23.4%,61.4%,11.4%,3.9%,4.2%,10.8%,45.9%,26.6%,4.0%,4.6%,3.8%,414,97,254,47,16,3987,169,432,1832,1059,161,183,151
21.04,Jefferson County,Arkansas,21.5%,25.7%,52.8%,0.0%,2.0%,3.9%,44.5%,25.4%,11.1%,9.0%,4.1%,303,65,78,160,0,3321,65,131,1477,845,369,298,136
23,Jefferson County,Arkansas,29.1%,33.6%,25.5%,11.8%,2.0%,9.3%,57.7%,10.8%,3.4%,12.7%,4.2%,110,32,37,28,13,1491,30,138,860,161,50,189,63
24,Jefferson County,Arkansas,7.2%,64.6%,20.7%,7.5%,1.8%,7.6%,50.4%,22.3%,4.1%,7.7%,6.2%,362,26,234,75,27,2611,46,198,1315,582,107,201,162
25,Jefferson County,Arkansas,15.0%,36.1%,48.9%,0.0%,1.9%,6.3%,34.0%,29.1%,5.6%,11.4%,11.7%,133,20,48,65,0,746,14,47,254,217,42,85,87
9517,Johnson County,Arkansas,18.6%,37.9%,36.6%,6.8%,1.9%,8.5%,41.9%,21.3%,4.8%,16.2%,5.4%,322,60,122,118,22,3471,67,296,1454,739,167,562,186
9518,Johnson County,Arkansas,39.8%,44.8%,13.0%,2.3%,8.4%,15.0%,41.4%,18.3%,5.2%,8.3%,3.4%,299,119,134,39,7,2926,247,438,1211,535,153,243,99
9519,Johnson County,Arkansas,0.0%,36.9%,60.9%,2.1%,9.0%,3.7%,28.5%,19.8%,10.6%,19.9%,8.5%,850,0,314,518,18,2409,216,89,686,478,255,480,205
9520,Johnson County,Arkansas,30.7%,22.9%,41.6%,4.8%,6.7%,15.1%,46.8%,17.3%,1.9%,8.3%,3.9%,332,102,76,138,16,2517,169,381,1178,435,48,209,97
9521,Johnson County,Arkansas,0.0%,46.5%,24.6%,28.8%,10.1%,5.9%,43.6%,16.0%,6.9%,11.6%,5.9%,260,0,121,64,75,2626,266,155,1145,420,180,305,155
9522,Johnson County,Arkansas,31.0%,37.0%,26.0%,6.0%,4.8%,9.0%,43.3%,19.3%,6.2%,12.3%,5.2%,200,62,74,52,12,3371,161,303,1460,649,208,415,175
4701.01,Lafayette County,Arkansas,48.9%,18.5%,23.6%,9.0%,3.0%,10.1%,40.6%,25.2%,7.3%,10.9%,2.9%,178,87,33,42,16,1252,37,127,508,316,92,136,36
4701.02,Lafayette County,Arkansas,19.4%,37.7%,37.7%,5.2%,7.3%,12.0%,50.6%,15.9%,4.7%,5.7%,3.7%,191,37,72,72,10,1486,109,179,752,237,70,84,55
4702,Lafayette County,Arkansas,15.1%,26.1%,37.2%,21.6%,13.3%,8.0%,48.8%,15.6%,8.5%,4.6%,1.3%,199,30,52,74,43,1757,233,141,857,274,149,81,22
4701,Lawrence County,Arkansas,3.1%,21.8%,72.4%,2.7%,6.9%,23.1%,29.2%,9.6%,4.9%,21.0%,5.3%,522,16,114,378,14,1019,70,235,298,98,50,214,54
4702,Lawrence County,Arkansas,6.3%,65.2%,24.7%,3.8%,2.7%,10.1%,42.4%,22.5%,10.2%,9.0%,3.2%,365,23,238,90,14,2801,76,282,1188,629,285,252,89
4703,Lawrence County,Arkansas,20.7%,48.3%,31.0%,0.0%,5.3%,11.8%,37.3%,25.4%,6.2%,8.2%,5.8%,87,18,42,27,0,1299,69,153,485,330,80,107,75
4704,Lawrence County,Arkansas,12.0%,69.3%,16.0%,2.7%,8.1%,12.2%,37.0%,22.5%,13.9%,6.1%,0.2%,75,9,52,12,2,912,74,111,337,205,127,56,2
4705.01,Lawrence County,Arkansas,8.2%,35.7%,52.5%,3.5%,9.4%,8.3%,49.9%,22.3%,5.9%,3.2%,0.9%,255,21,91,134,9,1770,166,147,884,395,105,57,16
4705.02,Lawrence County,Arkansas,4.1%,67.8%,11.2%,16.9%,5.5%,11.8%,26.4%,29.9%,6.8%,11.3%,8.3%,366,15,248,41,62,3127,173,369,824,936,213,354,258
4701,Lee County,Arkansas,15.0%,75.0%,10.0%,0.0%,5.0%,16.6%,54.9%,19.0%,2.7%,1.6%,0.2%,160,24,120,16,0,1917,95,319,1052,364,52,31,4
4702,Lee County,Arkansas,38.2%,43.3%,18.5%,0.0%,11.0%,8.5%,43.5%,15.8%,9.7%,10.8%,0.7%,157,60,68,29,0,1118,123,95,486,177,108,121,8
4703,Lee County,Arkansas,5.1%,72.0%,23.0%,0.0%,2.7%,10.0%,41.4%,29.4%,9.6%,5.1%,1.8%,453,23,326,104,0,2168,59,216,897,638,208,111,39
4704,Lee County,Arkansas,14.3%,83.9%,1.8%,0.0%,6.1%,11.3%,53.4%,9.3%,8.0%,7.5%,4.5%,56,8,47,1,0,842,51,95,450,78,67,63,38
9603,Lincoln County,Arkansas,13.4%,33.2%,38.6%,14.9%,8.7%,7.1%,33.5%,20.4%,11.0%,6.5%,12.8%,202,27,67,78,30,1674,146,119,560,342,184,108,215
9604,Lincoln County,Arkansas,19.7%,63.5%,7.0%,9.8%,6.4%,6.7%,46.0%,18.8%,7.0%,11.3%,3.9%,315,62,200,22,31,1843,118,124,847,346,129,208,71
9605,Lincoln County,Arkansas,10.3%,41.8%,17.0%,30.9%,6.3%,6.7%,42.5%,24.5%,5.5%,10.9%,3.5%,165,17,69,28,51,1498,95,101,637,367,82,164,52
9606,Lincoln County,Arkansas,56.4%,35.7%,8.0%,0.0%,4.5%,15.1%,55.9%,17.6%,1.8%,4.3%,0.9%,415,234,148,33,0,4786,216,722,2675,840,85,207,41
301.01,Little River County,Arkansas,24.0%,56.0%,20.0%,0.0%,1.6%,2.6%,51.4%,14.7%,12.7%,11.4%,5.5%,50,12,28,10,0,1521,25,39,782,224,193,174,84
301.03,Little River County,Arkansas,14.5%,85.5%,0.0%,0.0%,1.2%,5.2%,63.5%,22.5%,0.9%,4.7%,2.0%,69,10,59,0,0,1375,17,71,873,309,13,65,27
301.04,Little River County,Arkansas,9.1%,14.2%,76.7%,0.0%,2.5%,5.7%,26.4%,32.5%,3.2%,22.5%,7.1%,253,23,36,194,0,1589,39,91,420,517,51,358,113
302,Little River County,Arkansas,0.0%,50.8%,49.2%,0.0%,2.4%,5.0%,42.7%,29.5%,7.4%,9.1%,3.9%,191,0,97,94,0,1748,42,88,746,515,130,159,68
303.01,Little River County,Arkansas,2.8%,35.8%,26.6%,34.9%,7.0%,7.5%,23.7%,19.1%,8.0%,23.5%,11.3%,109,3,39,29,38,817,57,61,194,156,65,192,92
303.02,Little River County,Arkansas,5.9%,66.9%,27.2%,0.0%,0.5%,15.8%,47.4%,14.0%,12.1%,5.7%,4.5%,169,10,113,46,0,1407,7,223,667,197,170,80,63
9501,Logan County,Arkansas,23.4%,13.4%,59.3%,3.9%,4.0%,7.4%,37.9%,22.2%,8.0%,12.8%,7.8%,231,54,31,137,9,3053,121,225,1158,678,243,390,238
