School Name,District Name,County,Latitude,Longitude,Tract,Normalized Tract,Unique ID,Grades,Math: % Met Readiness Benchmark,English: % Met Readiness Benchmark,Reading: % Met Readiness Benchmark,Science: % Met Readiness Benchmark,% Met Readiness Benchmark in all Four Subjects,School Enrollment,School % FRL,School % White,School % Hispanic,School % Black,School % Other Races,School Overall % Minority,Region,Number of Students in Grade 11,Number of Students in grade 11 that took the ACT,% Students in grade 11 that took the ACT in 2015-16,Average ACT Math Score,Average ACT English Score,Average ACT Reading Score,Average ACT Science Score,Is Open Enrollment Charter,County,School LEA,DLEA,Hispanic or Latino (of any race) (percentage),Not Hispanic or Latino (percentage),White alone (percentage),Black or African American alone (percentage),American Indian and Alaska Native alone (percentage),Asian alone (percentage),Native Hawaiian and Other Pacific Islander alone (percentage),Some Other Race alone (percentage),Two or More Races alone (percentage),Total population,Hispanic or Latino (of any race),Not Hispanic or Latino,White alone,Black or African American alone,American Indian and Alaska Native alone,Asian alone,Native Hawaiian and Other Pacific Islander alone,Some Other Race alone,Two or More Races alone,"18-24, less than high school graduate (percentage)","18-24, high school graduate (includes equivalency) (percentage)","18-24, some college or associate's degree (percentage)","18-24, bachelor's degree or higher (percentage)","25 and over, less than 9th grade (percentage)","25 and over, 9th to 12th grade, no diploma (percentage)","25 and over, high school graduate (includes equivalency) (percentage)","25 and over, some college, no degree (percentage)","25 and over, associate's degree (percentage)","25 and over, bachelor's degree (percentage)","25 and over, graduate or professional degree (percentage)",Population 18 to 24 years,"18-24, less than high school graduate","18-24, high school graduate (includes equivalency)","18-24, some college or associate's degree","18-24, bachelor's degree or higher",Population 25 years and over,"25 and over, less than 9th grade","25 and over, 9th to 12th grade, no diploma","25 and over, high school graduate (includes equivalency)","25 and over, some college, no degree","25 and over, associate's degree","25 and over, bachelor's degree","25 and over, graduate or professional degree",total_households,Median income (dollars),Mean income (dollars)
Flippin High School,Flippin,MARION,36.2800767,-92.5998122,960202,9602.02,960202MARION,9-12,17%,41%,29%,22%,10%,242,69%,91%,3%,1%,6%,10%,1,74,69,93%,17,16.9,17.9,18.4,0,MARION,4501002,4501000,0.035,0.965,0.91,0.003,0.003,0.009,0,0,0.04,3732,129,3603,3397,12,11,35,0,0,148,0.23,0.342,0.321,0.107,0.075,0.073,0.374,0.198,0.083,0.113,0.083,196,45,67,63,21,2731,206,199,1022,540,227,309,228,1539,52188,61025
Fordyce High School,Fordyce,DALLAS,33.8194791,-92.4339971,970300,9703.00,970300DALLAS,7-12,2%,20%,6%,6%,RV,354,45%,37%,5%,57%,1%,63%,4,57,51,89%,15.3,14,15.6,15.7,0,DALLAS,2002007,2002000,0.019,0.981,0.311,0.637,0,0,0,0,0.033,3540,67,3473,1100,2256,0,0,0,0,117,0.129,0.761,0.058,0.052,0.023,0.088,0.464,0.244,0.093,0.07,0.018,309,40,235,18,16,2300,53,203,1067,561,213,161,42,1274,43542,52907
Foreman High School,Foreman,LITTLE RIVER,33.7126516,-94.3927703,30200,302.00,30200LITTLE,7-12,9%,23%,18%,9%,9%,221,68%,75%,10%,10%,5%,25%,4,28,22,79%,16.2,14.5,15.9,15.9,0,LITTLE RIVER,4102010,4102000,0.073,0.927,0.604,0.272,0.009,0,0,0,0.041,2463,181,2282,1488,669,23,0,0,0,102,0,0.508,0.492,0,0.024,0.05,0.427,0.295,0.074,0.091,0.039,191,0,97,94,0,1748,42,88,746,515,130,159,68,964,52727,67317
Forrest City High School,Forrest City,ST. FRANCIS,35.0203693,-90.7946678,960400,9604.00,960400ST.,9-12,2%,11%,5%,3%,2%,568,73%,4%,2%,94%,1%,96%,2,163,134,82%,14.6,12.3,13.7,14.9,0,ST FRANCIS,6201011,6201000,0,1,0.079,0.915,0,0,0,0,0.007,4348,0,4348,342,3977,0,0,0,0,29,0.613,0.184,0.203,0,0.032,0.15,0.364,0.326,0.073,0.051,0.003,483,296,89,98,0,2435,78,366,887,795,178,123,8,1516,28568,60170
Fort Smith Virtual Academy,Fort Smith,SEBASTIAN,35.3843722,-94.4209646,300,3.00,300SEBASTIAN,K-12,N<10,N<10,N<10,N<10,N<10,133,71%,45%,22%,8%,25%,55%,1,15,N<10,N<10,N<10,N<10,N<10,N<10,0,SEBASTIAN,6601703,6601000,0.461,0.539,0.272,0.108,0.007,0.012,0,0.007,0.132,2416,1114,1302,658,261,17,30,0,16,320,0.084,0.429,0.396,0.091,0.184,0.095,0.315,0.217,0.015,0.115,0.059,154,13,66,61,14,1615,297,154,509,350,25,185,95,877,42201,52273
Fouke High School,Fouke,MILLER,33.2643567,-93.8826373,21002,210.02,21002MILLER,9-12,5%,39%,16%,8%,4%,335,61%,96%,2%,0%,1%,4%,4,100,101,101%,16.5,16.5,17.6,17.3,0,MILLER,4603010,4603000,0.083,0.917,0.892,0.005,0.016,0,0,0,0.003,4360,363,3997,3891,23,71,0,0,0,12,0.087,0.561,0.265,0.087,0.058,0.094,0.382,0.209,0.108,0.087,0.062,378,33,212,100,33,2763,160,259,1056,578,299,240,171,1475,71163,82759
Fountain Lake Charter High School,Fountain Lake,GARLAND,34.6046739,-92.9265606,10401,104.01,10401GARLAND,9-12,23%,53%,26%,29%,11%,359,41%,84%,9%,1%,6%,16%,3,83,73,88%,18.7,18.1,18.6,19.9,0,GARLAND,2602703,2602000,0.009,0.991,0.954,0.003,0.002,0.01,0,0.008,0.015,3980,35,3945,3795,13,9,39,0,31,58,0.254,0.492,0.238,0.016,0.009,0.049,0.333,0.258,0.059,0.177,0.115,193,49,95,46,3,3215,28,158,1071,829,190,569,370,1889,64866,82283
Genoa Central High School,Genoa Central,MILLER,33.3736527,-93.8743089,20902,209.02,20902MILLER,10-12,27%,39%,25%,21%,12%,263,27%,96%,2%,0%,2%,4%,4,108,97,90%,19.1,16.8,18.6,18.8,0,MILLER,4602006,4602000,0.018,0.982,0.913,0.028,0.006,0.023,0,0,0.012,6160,109,6051,5626,175,36,139,0,0,75,0.007,0.721,0.062,0.21,0.023,0.038,0.447,0.25,0.082,0.075,0.085,563,4,406,35,118,4021,94,152,1796,1006,329,303,341,2238,56635,73107
Gentry High School,Gentry,BENTON,36.2575301,-94.4947558,21004,210.04,21004BENTON,9-12,16%,49%,31%,31%,11%,538,52%,61%,21%,0%,18%,39%,1,119,74,62%,17.5,17.8,19.2,19.7,0,BENTON,403017,403000,0.203,0.797,0.688,0,0.016,0.023,0,0,0.07,3995,810,3185,2748,0,65,93,0,0,279,0.153,0.383,0.359,0.105,0.059,0.06,0.316,0.263,0.065,0.205,0.032,541,83,207,194,57,2696,159,161,853,709,174,553,87,1454,73146,84024
Glen Rose High School,Glen Rose,HOT SPRING,34.4568119,-92.7310722,20102,201.02,20102HOT,9-12,22%,46%,35%,19%,11%,301,41%,88%,6%,0%,6%,12%,3,70,54,77%,18.4,18.2,19.6,19.8,0,HOT SPRING,3002009,3002000,0.088,0.912,0.874,0.008,0,0,0,0.002,0.026,4153,367,3786,3631,35,0,0,0,10,110,0.144,0.449,0.407,0,0.047,0.113,0.406,0.167,0.091,0.109,0.067,486,70,218,198,0,2486,116,280,1010,416,227,271,166,1349,65469,86238
Gosnell High School,Gosnell,MISSISSIPPI,35.9643325,-89.9665908,11400,114.00,11400MISSISSIPPI,7-12,16%,44%,28%,21%,15%,606,73%,59%,9%,27%,5%,41%,2,91,61,67%,17.1,18.7,18.6,19.2,0,MISSISSIPPI,4708031,4708000,0.021,0.979,0.762,0.166,0,0.036,0,0,0.016,1801,38,1763,1372,299,0,64,0,0,28,0.142,0.704,0.155,0,0.044,0.035,0.367,0.287,0.063,0.087,0.117,226,32,159,35,0,1192,53,42,437,342,75,104,139,772,59277,74795
Gravette High School,Gravette,BENTON,36.4208184,-94.4351717,20905,209.05,20905BENTON,9-12,30%,65%,46%,38%,25%,625,34%,82%,7%,1%,10%,18%,1,146,132,90%,19.3,19.6,20.8,20.7,0,BENTON,404022,404000,0.026,0.974,0.759,0.004,0.014,0,0,0,0.197,3228,85,3143,2450,12,46,0,0,0,635,0.534,0.034,0.433,0,0.021,0.048,0.425,0.142,0.042,0.178,0.145,326,174,11,141,0,2089,43,100,888,296,88,372,302,1138,73102,111332
Green Forest High School,Green Forest,CARROLL,36.3293203,-93.4345152,950502,9505.02,950502CARROLL,9-12,6%,20%,12%,10%,4%,434,74%,38%,48%,0%,14%,62%,1,119,82,69%,15.6,14.7,16.7,16,0,CARROLL,803012,803000,0.406,0.594,0.444,0,0.003,0.05,0.053,0,0.045,4889,1983,2906,2169,0,17,244,257,0,219,0.417,0.396,0.066,0.121,0.203,0.117,0.349,0.13,0.057,0.103,0.041,528,220,209,35,64,3013,611,353,1052,392,171,310,124,1425,48065,64438
Greenbrier High School,Greenbrier,FAULKNER,35.22303,-92.4041571,30104,301.04,30104FAULKNER,10-12,32%,66%,45%,39%,25%,814,33%,90%,4%,2%,3%,10%,3,298,283,95%,19.4,20,20.7,21,0,FAULKNER,2303017,2303000,0,1,0.975,0.009,0,0,0.002,0,0.015,5048,0,5048,4920,44,0,0,10,0,74,0.049,0.379,0.537,0.036,0.027,0.016,0.381,0.268,0.059,0.168,0.082,391,19,148,210,14,3210,87,50,1222,861,189,538,263,1800,87500,108433
Greene Cty Tech High School,Greene County Tech,GREENE,36.0069915,-90.5306031,480602,4806.02,480602GREENE,10-12,15%,38%,30%,21%,10%,807,40%,91%,4%,2%,3%,9%,2,250,214,86%,17.2,16.5,18.7,18.4,0,GREENE,2807008,2807000,0.079,0.921,0.877,0.004,0.001,0.001,0,0,0.038,4951,392,4559,4340,22,4,5,0,0,188,0.146,0.149,0.413,0.292,0.011,0.054,0.365,0.245,0.078,0.107,0.138,404,59,60,167,118,3313,38,180,1210,813,260,354,458,1750,80000,87019
Greenland High School,Greenland,WASHINGTON,35.9940458,-94.1724213,11105,111.05,11105WASHINGTON,9-12,12%,47%,21%,21%,9%,249,68%,86%,8%,0%,6%,14%,1,74,43,58%,16.7,17.1,17.9,18.9,0,WASHINGTON,7204028,7204000,0.177,0.823,0.615,0.085,0.004,0.009,0.009,0,0.101,5064,896,4168,3114,432,19,48,45,0,510,0.034,0.151,0.727,0.088,0.064,0.07,0.363,0.273,0.042,0.137,0.052,2147,73,325,1561,188,2172,138,153,788,592,91,298,112,1807,36427,47487
Greenwood High School,Greenwood,SEBASTIAN,35.2198584,-94.2522473,10201,102.01,10201SEBASTIAN,9-12,41%,70%,53%,44%,30%,"1,181",24%,81%,6%,1%,12%,19%,1,302,271,90%,20.8,21.2,21.7,21.7,0,SEBASTIAN,6602043,6602000,0.028,0.972,0.878,0.002,0.01,0.002,0,0,0.08,5138,144,4994,4510,9,53,9,0,0,413,0.118,0.458,0.392,0.032,0.011,0.095,0.3,0.244,0.102,0.166,0.082,500,59,229,196,16,3566,40,337,1070,870,365,591,293,2097,65605,101624
Gurdon High School,Gurdon,CLARK,33.9082021,-93.1906511,953902,9539.02,953902CLARK,7-12,5%,24%,19%,10%,5%,251,76%,49%,22%,26%,3%,51%,4,48,21,44%,15.5,15.4,16.9,16.4,0,CLARK,1003018,1003000,0.105,0.895,0.633,0.252,0,0,0,0,0.01,3001,316,2685,1901,755,0,0,0,0,29,0.077,0.591,0.309,0.023,0.055,0.07,0.397,0.267,0.052,0.123,0.036,220,17,130,68,5,1991,110,139,791,532,103,244,72,1226,53750,58267
Guy-Perkins High School,Guy-Perkins,FAULKNER,35.3235473,-92.3249893,30101,301.01,30101FAULKNER,7-12,19%,39%,23%,35%,8%,150,65%,85%,2%,10%,3%,15%,3,32,26,81%,16.9,15.5,18.2,18.9,0,FAULKNER,2304022,2304000,0.014,0.986,0.887,0.055,0.015,0,0,0,0.03,3002,41,2961,2662,164,44,0,0,0,91,0.123,0.38,0.408,0.089,0.021,0.048,0.442,0.253,0.061,0.099,0.075,179,22,68,73,16,2091,44,101,925,530,127,208,156,1143,70972,90375
Hackett High School,Hackett,SEBASTIAN,35.1866287,-94.4092473,10301,103.01,10301SEBASTIAN,7-12,8%,68%,41%,22%,8%,327,64%,87%,5%,0%,8%,13%,1,66,37,56%,17.3,19.8,19.9,18.9,0,SEBASTIAN,6603048,6603000,0.043,0.957,0.836,0.027,0.003,0.012,0,0,0.079,6024,258,5766,5037,163,17,73,0,0,476,0.052,0.263,0.432,0.254,0.039,0.11,0.321,0.259,0.078,0.109,0.083,213,11,56,92,54,4473,176,493,1438,1158,348,488,372,2380,60909,108099
Hamburg High School,Hamburg,ASHLEY,33.2078742,-91.7967227,960300,9603.00,960300ASHLEY,9-12,13%,35%,25%,13%,8%,511,60%,56%,23%,20%,2%,44%,5,139,134,96%,16.6,15.4,17.1,17.4,0,ASHLEY,203018,203000,0.149,0.851,0.659,0.184,0,0,0,0.003,0.005,4372,652,3720,2883,803,0,0,0,12,22,0.365,0.426,0.209,0,0.062,0.105,0.541,0.125,0.062,0.074,0.032,373,136,159,78,0,2867,177,302,1550,358,177,212,91,1647,35387,56087
Hampton High School,Hampton,CALHOUN,33.5367924,-92.4638249,480100,4801.00,480100CALHOUN,7-12,13%,44%,22%,9%,4%,256,71%,67%,5%,27%,0%,33%,4,48,23,48%,15.9,16.2,16.5,16.9,0,CALHOUN,701002,701000,0.038,0.962,0.784,0.167,0.005,0,0,0,0.006,2263,85,2178,1775,378,11,0,0,0,14,0,0.279,0.703,0.018,0.021,0.148,0.396,0.177,0.057,0.129,0.072,165,0,46,116,3,1705,36,253,675,301,97,220,123,856,59000,69305
Har-Ber High School,Springdale,WASHINGTON,36.1842731,-94.2130412,10518,105.18,10518WASHINGTON,10-12,21%,49%,30%,23%,14%,"2,306",60%,40%,45%,3%,12%,60%,1,763,642,84%,17.7,18.3,18.6,19.1,0,WASHINGTON,7207062,7207000,0.107,0.893,0.666,0.005,0,0.044,0.032,0,0.145,4196,450,3746,2796,20,0,184,135,1,610,0.059,0.224,0.397,0.321,0.046,0.017,0.143,0.156,0.091,0.304,0.243,393,23,88,156,126,2816,129,48,402,440,257,857,683,1667,100134,150156
Harmony Grove High School,Harmony Grove,OUACHITA,34.508336,-92.6435323,10514,105.14,10514OUACHITA,7-12,5%,36%,23%,16%,2%,421,37%,78%,5%,14%,4%,22%,4,68,64,94%,16.2,16.1,18.1,18.3,0,OUACHITA,5205029,5205000,Error With ID: 10514OUACHITA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harmony Grove High School,Harmony Grove,SALINE,34.508336,-92.6435323,10514,105.14,10514SALINE,10-12,13%,46%,33%,27%,6%,306,26%,89%,5%,3%,3%,11%,3,101,90,89%,17.7,17.7,18.5,18.7,0,SALINE,6304030,6304000,0.102,0.898,0.788,0.055,0,0.002,0,0.016,0.035,3283,336,2947,2588,182,1,7,0,53,116,0.142,0.702,0.115,0.041,0.033,0.112,0.338,0.176,0.072,0.149,0.121,218,31,153,25,9,2470,82,276,834,434,178,368,298,1027,84990,90690
Harrisburg High School,Harrisburg,POINSETT,35.5634925,-90.7259613,490501,4905.01,490501POINSETT,6-12,5%,37%,26%,11%,3%,523,70%,89%,6%,3%,2%,11%,2,79,65,82%,16.4,15.8,17.5,17.4,0,POINSETT,5602009,5602000,0.008,0.992,0.956,0.02,0,0,0.001,0,0.015,2972,25,2947,2840,58,0,0,3,0,46,0.252,0.592,0.141,0.015,0.038,0.126,0.536,0.189,0.029,0.075,0.007,341,86,202,48,5,1900,73,239,1018,359,55,142,14,1053,53580,60562
Harrison High School,Harrison,BOONE,36.2394152,-93.1333448,790501,7905.01,790501BOONE,9-12,26%,61%,39%,27%,18%,841,45%,90%,5%,0%,4%,10%,1,224,202,90%,18.5,19.3,20.6,19.7,0,BOONE,503019,503000,0.03,0.97,0.935,0.002,0,0.003,0.008,0,0.022,4536,137,4399,4239,10,0,12,36,0,102,0.34,0.193,0.391,0.077,0.018,0.049,0.351,0.261,0.118,0.148,0.055,379,129,73,148,29,3226,59,159,1133,842,380,476,177,1866,52250,71116
Hazen High School,Hazen,PRAIRIE,34.7843835,-91.580752,460200,4602.00,460200PRAIRIE,7-12,10%,46%,18%,13%,5%,252,67%,81%,2%,14%,2%,19%,5,47,39,83%,17.3,17.1,17.9,18.1,0,PRAIRIE,5903012,5903000,0.019,0.981,0.831,0.116,0.001,0,0,0.004,0.028,3056,57,2999,2540,356,4,0,0,12,87,0.064,0.466,0.241,0.229,0.038,0.058,0.369,0.242,0.049,0.172,0.072,266,17,124,64,61,2057,79,120,759,497,101,353,148,1119,66953,88218
Heber Springs High School,Heber Springs,CLEBURNE,35.4962133,-92.038822,480302,4803.02,480302CLEBURNE,9-12,32%,69%,46%,29%,20%,478,33%,90%,6%,0%,3%,10%,2,122,96,79%,19.7,20.6,20,20.2,0,CLEBURNE,1202006,1202000,0.015,0.985,0.955,0.009,0.004,0,0,0,0.018,2979,44,2935,2844,26,11,0,0,0,54,0.177,0.414,0.409,0,0.005,0.086,0.311,0.266,0.136,0.15,0.048,198,35,82,81,0,2207,11,189,686,586,300,330,105,1460,60357,89429
Hector High School,Hector,POPE,35.4696088,-92.9737878,950700,9507.00,950700POPE,7-12,9%,33%,27%,18%,9%,324,72%,94%,4%,0%,2%,6%,1,54,33,61%,16.2,16.8,17.5,19.6,0,POPE,5803010,5803000,0.004,0.996,0.951,0.003,0.002,0,0,0,0.039,4037,18,4019,3838,14,8,0,0,0,159,0.042,0.327,0.552,0.079,0.135,0.133,0.457,0.147,0.031,0.066,0.03,165,7,54,91,13,2929,394,390,1340,431,92,193,89,1627,41536,56351
Hermitage High School,Hermitage,BRADLEY,33.4519677,-92.1703737,950500,9505.00,950500BRADLEY,7-12,5%,24%,7%,2%,2%,202,69%,59%,27%,14%,0%,41%,5,43,41,95%,15.8,14.6,15,16.7,0,BRADLEY,601007,601000,0.088,0.912,0.759,0.118,0,0,0,0,0.035,2010,177,1833,1525,238,0,0,0,0,70,0.519,0.298,0.096,0.087,0.043,0.029,0.496,0.168,0.117,0.083,0.064,104,54,31,10,9,1289,56,37,639,217,151,107,82,763,35568,52944
Highland High School,Highland,SHARP,36.2617891,-91.5314326,470202,4702.02,470202SHARP,9-12,20%,44%,26%,23%,9%,515,70%,94%,4%,1%,2%,6%,2,113,90,80%,18.1,17.5,18.4,19.1,0,SHARP,6804010,6804000,0.027,0.973,0.909,0.003,0,0.007,0,0,0.054,3053,82,2971,2775,8,1,21,0,0,166,0.173,0.812,0.015,0,0.02,0.096,0.363,0.293,0.086,0.101,0.041,133,23,108,2,0,2346,46,225,851,687,202,238,97,1272,36409,46783
Hillcrest High School,Hillcrest,LAWRENCE,35.20105,-91.8318334,71001,710.01,71001LAWRENCE,7-12,16%,48%,28%,20%,12%,181,80%,96%,3%,0%,1%,4%,2,29,25,86%,16.6,18.5,18.8,18.3,0,LAWRENCE,3809023,3809000,Error With ID: 71001LAWRENCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hope High School,Hope,HEMPSTEAD,33.6527043,-93.5848795,480302,4803.02,480302HEMPSTEAD,9-12,8%,26%,16%,10%,5%,606,73%,24%,36%,38%,2%,76%,4,155,131,85%,15.2,14.5,16.1,16.9,0,HEMPSTEAD,2903012,2903000,0.131,0.869,0.482,0.381,0.006,0,0,0,0,3427,448,2979,1651,1306,22,0,0,0,0,0,0.372,0.423,0.205,0.02,0.095,0.483,0.175,0.057,0.115,0.055,298,0,111,126,61,2004,40,190,968,351,114,230,111,1175,56875,65411
Horatio High School,Horatio,SEVIER,33.9479754,-94.347479,80200,802.00,80200SEVIER,7-12,12%,29%,14%,17%,7%,328,80%,66%,28%,2%,4%,34%,4,55,42,76%,17.4,15.6,17.5,18.9,0,SEVIER,6703013,6703000,0.297,0.703,0.587,0.013,0.034,0.012,0,0.01,0.047,3867,1150,2717,2269,50,130,45,0,40,183,0.012,0.301,0.617,0.071,0.141,0.093,0.302,0.267,0.058,0.083,0.057,326,4,98,201,23,2539,358,236,766,677,146,212,144,1359,52292,78760
Hot Springs World Class High School,Hot Springs,GARLAND,34.4754828,-93.0699854,11300,113.00,11300GARLAND,10-12,5%,31%,20%,16%,4%,767,73%,32%,24%,33%,11%,68%,3,269,213,79%,15.7,15.8,16.9,17.6,0,GARLAND,2603703,2603000,0.15,0.85,0.575,0.227,0,0,0,0.003,0.044,5103,768,4335,2934,1158,0,0,0,16,227,0.121,0.571,0.206,0.103,0.031,0.052,0.328,0.266,0.088,0.173,0.062,282,34,161,58,29,3693,114,193,1210,982,326,638,230,2318,41937,54786
Hoxie High School,Hoxie,LAWRENCE,36.0515763,-90.9807212,470501,4705.01,470501LAWRENCE,7-12,16%,50%,22%,19%,5%,345,67%,93%,2%,1%,3%,7%,2,69,58,84%,17,17.6,17.3,18.1,0,LAWRENCE,3804010,3804000,0.028,0.972,0.852,0.013,0,0,0.005,0,0.102,2715,76,2639,2314,34,0,0,13,0,278,0.082,0.357,0.525,0.035,0.094,0.083,0.499,0.223,0.059,0.032,0.009,255,21,91,134,9,1770,166,147,884,395,105,57,16,1183,35441,48548
Huntsville High School,Huntsville,MADISON,36.0809587,-93.7345623,960200,9602.00,960200MADISON,9-12,17%,45%,23%,17%,7%,604,65%,79%,12%,1%,8%,21%,1,171,110,64%,16.9,16.4,18,18.4,0,MADISON,4401003,4401000,0.093,0.907,0.715,0.007,0.009,0.002,0.024,0,0.149,4409,410,3999,3153,31,41,11,105,0,658,0.217,0.352,0.371,0.06,0.061,0.119,0.475,0.144,0.051,0.112,0.038,318,69,112,118,19,2609,159,311,1239,376,133,293,98,1482,53250,76266
Izard Co. Cons. High School,Izard County Consolidated,IZARD,36.1548745,-91.9234721,960200,9602.00,960200IZARD,9-12,20%,36%,34%,22%,16%,191,72%,96%,2%,1%,1%,4%,2,59,50,85%,17.3,17.1,18.9,17.8,0,IZARD,3306015,3306000,0.007,0.993,0.934,0.002,0.016,0.01,0,0,0.031,4877,32,4845,4555,10,78,51,0,0,151,0.157,0.426,0.383,0.033,0.053,0.07,0.311,0.228,0.117,0.17,0.05,420,66,179,161,14,3218,171,225,1002,734,377,547,162,1702,41316,64838
Jacksonville High School,Jacksonville,PULASKI,34.8662707,-92.1242056,3605,36.05,3605PULASKI,9-12,3%,18%,15%,7%,1%,"1,165",57%,27%,9%,58%,6%,73%,3,276,207,75%,15.3,13.7,15.8,16.4,0,PULASKI,6004009,6004000,0.092,0.908,0.374,0.499,0,0.01,0,0.004,0.022,5855,537,5318,2187,2921,0,58,0,24,128,0,0.666,0.255,0.079,0.042,0.089,0.354,0.171,0.087,0.171,0.086,467,0,311,119,37,3914,163,350,1385,671,340,670,335,2510,47330,64277
Jacksonville Lighthouse College Prep Academy High,Jacksonville,PULASKI,34.8687399,-92.1084908,3608,36.08,3608PULASKI,9-12,8%,33%,17%,17%,8%,78,71%,10%,4%,79%,6%,90%,3,13,12,92%,14.3,15.2,16.7,16.4,1,PULASKI,6050703,6050700,0.05,0.95,0.297,0.614,0,0.006,0,0,0.032,5759,290,5469,1711,3536,0,36,0,0,186,0.252,0.355,0.393,0,0.02,0.024,0.449,0.253,0.056,0.144,0.055,679,171,241,267,0,3792,75,90,1703,960,212,545,207,2157,45925,58571
Jasper High School,Jasper,NEWTON,36.0050667,-93.1899672,180100,1801.00,180100NEWTON,7-12,RV,38%,20%,5%,RV,204,63%,99%,0%,0%,0%,1%,1,43,40,93%,15.6,16.1,17.6,17.3,0,NEWTON,5102006,5102000,0.01,0.99,0.937,0.003,0.001,0.002,0.002,0.005,0.041,3687,38,3649,3453,11,4,6,7,17,151,0.205,0.353,0.411,0.03,0.027,0.122,0.3,0.289,0.086,0.099,0.075,331,68,117,136,10,2547,70,312,763,737,220,253,192,1497,52917,62197
Jessieville High School,Jessieville,GARLAND,34.6998624,-93.0618054,12001,120.01,12001GARLAND,9-12,34%,57%,43%,36%,21%,259,66%,79%,8%,2%,12%,21%,3,64,44,69%,18.7,19.7,19.8,20.1,0,GARLAND,2604030,2604000,0.027,0.973,0.937,0.013,0.006,0,0,0,0.016,4671,128,4543,4379,62,29,0,0,0,73,0,1,0,0,0.018,0.013,0.291,0.26,0.179,0.123,0.117,83,0,83,0,0,4090,72,55,1189,1063,732,502,477,2381,57569,65448
Joe T. Robinson High School,Pulaski County Special,PULASKI,34.8139114,-92.5068359,4213,42.13,4213PULASKI,9-12,20%,48%,33%,23%,15%,845,25%,50%,9%,34%,8%,50%,3,189,168,89%,17.5,17.8,19,18.8,0,PULASKI,6003127,6003000,0.003,0.997,0.819,0.088,0,0.066,0,0,0.024,5280,17,5263,4323,466,0,346,0,0,128,0.153,0.027,0.753,0.067,0.021,0.007,0.081,0.186,0.018,0.36,0.328,477,73,13,359,32,3682,76,24,300,686,65,1325,1206,2184,182833,251862
Junction City High School,Junction City,UNION,33.0202734,-92.7282967,950402,9504.02,950402UNION,7-12,5%,40%,26%,14%,2%,310,67%,53%,2%,44%,1%,47%,4,51,43,84%,15.3,17.1,17.8,17.6,0,UNION,7003028,7003000,0.052,0.948,0.713,0.189,0.003,0,0,0,0.043,3758,194,3564,2680,712,10,0,0,0,162,0.022,0.513,0.465,0,0.004,0.082,0.357,0.193,0.081,0.212,0.07,228,5,117,106,0,2554,11,210,911,494,207,542,179,1433,67617,99337
Kingston High School,Jasper,NEWTON,36.008226,-93.1872677,180100,1801.00,180100NEWTON,7-12,7%,27%,27%,20%,7%,100,55%,87%,3%,0%,10%,13%,1,15,15,100%,15.5,14.8,17.2,17.9,0,NEWTON,5102008,5102000,0.01,0.99,0.937,0.003,0.001,0.002,0.002,0.005,0.041,3687,38,3649,3453,11,4,6,7,17,151,0.205,0.353,0.411,0.03,0.027,0.122,0.3,0.289,0.086,0.099,0.075,331,68,117,136,10,2547,70,312,763,737,220,253,192,1497,52917,62197
Kirby High School,Kirby,PIKE,34.2482513,-93.6399655,953300,9533.00,953300PIKE,7-12,4%,18%,21%,11%,4%,199,70%,82%,14%,1%,4%,18%,4,36,28,78%,15.3,14,16.3,15.7,0,PIKE,5503011,5503000,0.178,0.822,0.777,0.021,0,0,0,0,0.025,3510,624,2886,2726,73,0,0,0,0,87,0.032,0.384,0.443,0.141,0.134,0.046,0.309,0.258,0.069,0.128,0.055,411,13,158,182,58,2396,321,111,741,619,166,307,131,1423,48661,70422
Lafayette County High School,Lafayette County,LAFAYETTE,33.3698711,-93.4810849,470101,4701.01,470101LAFAYETTE,7-12,RV,9%,9%,RV,RV,236,92%,26%,6%,63%,5%,74%,4,37,23,62%,14.3,11.9,13.8,14.9,0,LAFAYETTE,3704013,3704000,0.005,0.995,0.365,0.497,0.007,0.033,0,0,0.094,1776,8,1768,648,882,12,59,0,0,167,0.489,0.185,0.236,0.09,0.03,0.101,0.406,0.252,0.073,0.109,0.029,178,87,33,42,16,1252,37,127,508,316,92,136,36,766,34808,45859
Lake Hamilton High School,Lake Hamilton,GARLAND,34.4409766,-93.2123587,11101,111.01,11101GARLAND,10-12,25%,59%,37%,29%,17%,901,61%,74%,14%,3%,9%,26%,3,312,223,71%,18.5,19.5,19.6,19.7,0,GARLAND,2605034,2605000,0.009,0.991,0.933,0.013,0,0,0,0,0.045,5344,50,5294,4987,68,0,0,0,0,239,0.093,0.537,0.147,0.223,0.036,0.078,0.332,0.213,0.082,0.188,0.071,421,39,226,62,94,3836,138,300,1274,816,314,722,272,2087,64848,84936
Lakeside High School,Lakeside,CHICOT,34.4741704,-92.9970904,11601,116.01,11601CHICOT,9-12,3%,21%,9%,9%,RV,268,78%,7%,15%,76%,2%,93%,5,65,58,89%,14.9,13,15.1,16.3,0,CHICOT,903018,903000,Error With ID: 11601CHICOT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
