School Name,District Name,County,Latitude,Longitude,Tract,Normalized Tract,Unique ID,Grades,Math: % Met Readiness Benchmark,English: % Met Readiness Benchmark,Reading: % Met Readiness Benchmark,Science: % Met Readiness Benchmark,% Met Readiness Benchmark in all Four Subjects,School Enrollment,School % FRL,School % White,School % Hispanic,School % Black,School % Other Races,School Overall % Minority,Region,Number of Students in Grade 11,Number of Students in grade 11 that took the ACT,% Students in grade 11 that took the ACT in 2015-16,Average ACT Math Score,Average ACT English Score,Average ACT Reading Score,Average ACT Science Score,Is Open Enrollment Charter,County,School LEA,DLEA,Hispanic or Latino (of any race) (percentage),Not Hispanic or Latino (percentage),White alone (percentage),Black or African American alone (percentage),American Indian and Alaska Native alone (percentage),Asian alone (percentage),Native Hawaiian and Other Pacific Islander alone (percentage),Some Other Race alone (percentage),Two or More Races alone (percentage),Total population,Hispanic or Latino (of any race),Not Hispanic or Latino,White alone,Black or African American alone,American Indian and Alaska Native alone,Asian alone,Native Hawaiian and Other Pacific Islander alone,Some Other Race alone,Two or More Races alone,"18-24, less than high school graduate (percentage)","18-24, high school graduate (includes equivalency) (percentage)","18-24, some college or associate's degree (percentage)","18-24, bachelor's degree or higher (percentage)","25 and over, less than 9th grade (percentage)","25 and over, 9th to 12th grade, no diploma (percentage)","25 and over, high school graduate (includes equivalency) (percentage)","25 and over, some college, no degree (percentage)","25 and over, associate's degree (percentage)","25 and over, bachelor's degree (percentage)","25 and over, graduate or professional degree (percentage)",Population 18 to 24 years,"18-24, less than high school graduate","18-24, high school graduate (includes equivalency)","18-24, some college or associate's degree","18-24, bachelor's degree or higher",Population 25 years and over,"25 and over, less than 9th grade","25 and over, 9th to 12th grade, no diploma","25 and over, high school graduate (includes equivalency)","25 and over, some college, no degree","25 and over, associate's degree","25 and over, bachelor's degree","25 and over, graduate or professional degree",total_households,Median income (dollars),Mean income (dollars)
Bentonville High School,Bentonville,BENTON,36.3517242,-94.1954077,20503,205.03,20503BENTON,9-12,45%,77%,58%,47%,34%,"3,424",13%,74%,11%,2%,13%,26%,1,836,789,94%,21.2,22.4,22.6,21.8,0,BENTON,401003,401000,0.208,0.792,0.406,0.022,0.002,0.192,0.051,0.005,0.113,4329,901,3428,1758,97,7,833,220,23,490,0.277,0.371,0.203,0.149,0.079,0.025,0.211,0.187,0.063,0.271,0.164,469,130,174,95,70,2744,218,68,578,514,172,744,450,1936,61684,76147
Bentonville West High School,Bentonville,BENTON,36.3775561,-94.2963597,20906,209.06,20906BENTON,9-12,33%,60%,40%,31%,21%,"2,522",20%,65%,17%,5%,13%,35%,1,639,591,92%,19.5,19.3,20,20.1,0,BENTON,401019,401000,0.14,0.86,0.674,0.011,0.006,0.037,0,0,0.132,6121,858,5263,4123,70,34,228,0,0,808,0.082,0.402,0.516,0,0.011,0.036,0.252,0.267,0.073,0.266,0.096,498,41,200,257,0,3757,40,136,946,1002,274,999,360,2129,94803,115043
Bergman High School,Bergman,BOONE,36.3137275,-93.0172222,790200,7902.00,790200BOONE,9-12,19%,51%,30%,22%,13%,276,52%,92%,5%,0%,2%,8%,1,71,67,94%,17.7,19,19.2,19,0,BOONE,502007,502000,0.02,0.98,0.915,0.005,0.005,0.01,0,0.004,0.04,6220,127,6093,5691,28,31,65,2,26,250,0.118,0.419,0.445,0.019,0.022,0.081,0.333,0.283,0.136,0.109,0.036,485,57,203,216,9,4223,93,342,1407,1195,575,460,151,2246,60244,80876
Berryville High School,Berryville,CARROLL,36.3699834,-93.5773979,950301,9503.01,950301CARROLL,9-12,9%,41%,33%,18%,6%,553,69%,59%,31%,1%,9%,41%,1,130,117,90%,16.6,16.7,18,17.9,0,CARROLL,801002,801000,0.25,0.75,0.601,0,0,0.004,0,0,0.145,3410,853,2557,2048,0,0,14,0,0,495,0.068,0.717,0.12,0.094,0.187,0.113,0.359,0.11,0.068,0.115,0.049,191,13,137,23,18,2470,463,278,887,271,167,284,120,1510,48377,82161
Bigelow High School,East Poinsett County,PERRY,35.6090777,-90.3371889,490100,4901.00,490100PERRY,7-12,5%,38%,22%,8%,5%,308,60%,82%,11%,3%,4%,18%,1,53,37,70%,16.4,16.5,17.8,18.1,0,PERRY,5301002,5301000,Error With ID: 490100PERRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bismarck High School,Bismarck,HOT SPRING,34.3140918,-93.1800913,20701,207.01,20701HOT,9-12,33%,71%,43%,35%,24%,318,66%,90%,7%,1%,3%,10%,3,75,63,84%,19.6,21,20.8,20.9,0,HOT SPRING,3001003,3001000,0,1,0.956,0,0.016,0,0,0.002,0.026,2248,0,2248,2150,0,35,0,0,5,58,0,0.148,0.787,0.066,0,0.124,0.325,0.371,0.084,0.06,0.036,61,0,9,48,4,1739,0,216,565,645,146,105,62,967,51784,60848
Blevins High School,Blevins,HEMPSTEAD,33.8747387,-93.5722025,480101,4801.01,480101HEMPSTEAD,7-12,RV,37%,19%,22%,RV,196,88%,67%,10%,17%,5%,33%,4,29,27,93%,16,16.9,18,18.3,0,HEMPSTEAD,2901002,2901000,0.156,0.844,0.509,0.291,0,0.012,0,0,0.032,2582,403,2179,1314,751,0,31,0,0,83,0.202,0.44,0.333,0.024,0.043,0.076,0.391,0.265,0.126,0.065,0.034,84,17,37,28,2,1700,73,129,665,450,215,111,57,824,54444,73480
Blytheville High School,Blytheville,MISSISSIPPI,35.933475,-89.9132768,10100,101.00,10100MISSISSIPPI,9-12,2%,8%,5%,3%,RV,411,74%,10%,5%,84%,1%,90%,2,104,66,63%,13.6,12.3,13.9,15.2,0,MISSISSIPPI,4702014,4702000,0.039,0.961,0.229,0.686,0,0,0,0.041,0.005,1641,64,1577,375,1125,0,0,0,68,9,0.236,0.348,0.416,0,0.018,0.121,0.556,0.242,0.002,0.017,0.043,89,21,31,37,0,1041,19,126,579,252,2,18,45,576,27174,39502
Booneville High School,Booneville,LOGAN,35.1469868,-93.9091176,950500,9505.00,950500LOGAN,10-12,16%,50%,29%,19%,7%,266,67%,86%,7%,0%,7%,14%,1,72,58,81%,17.1,17.7,18.7,18.9,0,LOGAN,4201002,4201000,0.026,0.974,0.899,0.053,0.002,0,0,0.002,0.017,3874,101,3773,3484,207,8,0,0,7,67,0.188,0.25,0.563,0,0.03,0.088,0.438,0.262,0.075,0.066,0.041,549,103,137,309,0,2430,72,213,1065,636,183,161,100,1612,49874,56881
Bradford High School,Bradford,WHITE,35.4256095,-91.4598312,70100,701.00,70100WHITE,7-12,9%,30%,17%,9%,9%,200,81%,96%,1%,3%,1%,4%,2,35,23,66%,16.3,15.1,16.2,16.9,0,WHITE,7303015,7303000,0.061,0.939,0.86,0.001,0.001,0.004,0,0.008,0.065,3320,202,3118,2856,4,3,14,0,26,215,0.177,0.586,0.222,0.016,0.025,0.069,0.521,0.209,0.091,0.062,0.023,379,67,222,84,6,2238,55,154,1167,468,203,139,52,1343,39875,55962
Bradley High School,Emerson-Taylor-Bradley,COLUMBIA,33.0825353,-93.2181477,950100,9501.00,950100COLUMBIA,7-12,5%,29%,5%,10%,RV,144,71%,67%,1%,31%,1%,33%,4,23,21,91%,15.5,14.5,17.1,16.3,0,COLUMBIA,1408007,1408000,0.023,0.977,0.749,0.194,0.006,0.013,0,0,0.014,4349,102,4247,3257,843,28,56,0,0,63,0.067,0.259,0.36,0.314,0.039,0.074,0.409,0.19,0.057,0.165,0.065,328,22,85,118,103,2721,106,202,1114,516,156,450,177,1494,65720,94086
Brinkley High School,Brinkley,MONROE,34.877241,-91.1944922,950100,9501.00,950100MONROE,7-12,RV,25%,21%,8%,RV,167,75%,26%,1%,69%,4%,74%,5,26,24,92%,14.6,14.8,15.6,15.3,0,MONROE,4801003,4801000,0,1,0.45,0.523,0,0.018,0,0,0.01,2951,0,2951,1327,1543,0,52,0,0,29,0.224,0.21,0.524,0.042,0.078,0.099,0.487,0.188,0.012,0.098,0.037,143,32,30,75,6,2171,170,214,1058,409,27,212,81,1343,37998,44494
Brookland High School,Brookland,CRAIGHEAD,35.9082055,-90.5818057,1102,11.02,1102CRAIGHEAD,10-12,10%,50%,35%,20%,8%,630,28%,89%,5%,4%,2%,11%,2,193,160,83%,16.8,18,19.6,18.6,0,CRAIGHEAD,1603007,1603000,0.017,0.983,0.901,0.021,0.001,0.003,0,0,0.057,4841,81,4760,4362,100,7,14,0,0,277,0,0.32,0.364,0.316,0.089,0.034,0.458,0.164,0.094,0.093,0.068,253,0,81,92,80,3229,286,109,1480,529,304,301,220,1827,67891,81373
