school_name,Grades,District Name,perc_math_readiness,perc_english_readiness,perc_reading_readiness,perc_science_readiness,perc_all_subject_readiness,number_of_students,perc_frl,perc_white,perc_hispanic,perc_african_american,perc_other_race,perc_minority,Region,number_grade_11_students,number_test_taking_grade_11_students,perc_test_taking_students_15_16,ACT_math,ACT_english,ACT_reading,ACT_science,is_open_enrollment_charter,County,School LEA,DLEA,year
Hillcrest High School,7-12,Hillcrest School District,16,48,28,20,12,181.0,80.0,96.0,3.0,0.0,1.0,4.0,2,29,25.0,86.0,16.6,18.5,18.8,18.3,0,LAWRENCE,3809023,3809000,2023.0
Hope High School,9-12,Hope School District,8,26,16,10,5,606.0,73.0,24.0,36.0,38.0,2.0,76.0,4,155,131.0,85.0,15.2,14.5,16.1,16.9,0,HEMPSTEAD,2903012,2903000,2023.0
Horatio High School,7-12,Horatio School District,12,29,14,17,7,328.0,80.0,66.0,28.0,2.0,4.0,34.0,4,55,42.0,76.0,17.4,15.6,17.5,18.9,0,SEVIER,6703013,6703000,2023.0
Hot Springs World Class High School,10-12,Hot Springs School District,5,31,20,16,4,767.0,73.0,32.0,24.0,33.0,11.0,68.0,3,269,213.0,79.0,15.7,15.8,16.9,17.6,0,GARLAND,2603703,2603000,2023.0
Hoxie High School,7-12,Hoxie School District,16,50,22,19,5,345.0,67.0,93.0,2.0,1.0,3.0,7.0,2,69,58.0,84.0,17.0,17.6,17.3,18.1,0,LAWRENCE,3804010,3804000,2023.0
Huntsville High School,9-12,Huntsville School District,17,45,23,17,7,604.0,65.0,79.0,12.0,1.0,8.0,21.0,1,171,110.0,64.0,16.9,16.4,18.0,18.4,0,MADISON,4401003,4401000,2023.0
Izard Co. Cons. High School,9-12,Izard County Consolidated School District,20,36,34,22,16,191.0,72.0,96.0,2.0,1.0,1.0,4.0,2,59,50.0,85.0,17.3,17.1,18.9,17.8,0,IZARD,3306015,3306000,2023.0
Jacksonville High School,9-12,Jacksonville North Pulaski School District,3,18,15,7,1,1165.0,57.0,27.0,9.0,58.0,6.0,73.0,3,276,207.0,75.0,15.3,13.7,15.8,16.4,0,PULASKI,6004009,6004000,2023.0
Jacksonville Lighthouse College Prep Academy High,9-12,Jacksonville Lighthouse Charter,8,33,17,17,8,78.0,71.0,10.0,4.0,79.0,6.0,90.0,3,13,12.0,92.0,14.3,15.2,16.7,16.4,1,PULASKI,6050703,6050700,2023.0
Jasper High School,7-12,Jasper School District,RV,38,20,5,RV,204.0,63.0,99.0,0.0,0.0,0.0,1.0,1,43,40.0,93.0,15.6,16.1,17.6,17.3,0,NEWTON,5102006,5102000,2023.0
Jessieville High School,9-12,Jessieville School District,34,57,43,36,21,259.0,66.0,79.0,8.0,2.0,12.0,21.0,3,64,44.0,69.0,18.7,19.7,19.8,20.1,0,GARLAND,2604030,2604000,2023.0
Joe T. Robinson High School,9-12,Pulaski County Special School District,20,48,33,23,15,845.0,25.0,50.0,9.0,34.0,8.0,50.0,3,189,168.0,89.0,17.5,17.8,19.0,18.8,0,PULASKI,6003127,6003000,2023.0
Junction City High School,7-12,Junction City School District,5,40,26,14,2,310.0,67.0,53.0,2.0,44.0,1.0,47.0,4,51,43.0,84.0,15.3,17.1,17.8,17.6,0,UNION,7003028,7003000,2023.0
Kingston High School,7-12,Jasper School District,7,27,27,20,7,100.0,55.0,87.0,3.0,0.0,10.0,13.0,1,15,15.0,100.0,15.5,14.8,17.2,17.9,0,NEWTON,5102008,5102000,2023.0
KIPP Blytheville Collegiate High School,7-12,KIPP Delta Public Schools,RV,14,7,RV,RV,133.0,86.0,10.0,7.0,81.0,2.0,90.0,5,18,14.0,78.0,15.1,14.3,15.1,14.7,1,PHILLIPS,5440706,5440700,2023.0
KIPP Delta Collegiate High School,9-12,KIPP Delta Public Schools,5,9,RV,RV,RV,201.0,89.0,4.0,1.0,95.0,0.0,96.0,5,57,44.0,77.0,13.3,11.4,13.2,15.3,1,PHILLIPS,5440703,5440700,2023.0
Kirby High School,7-12,Kirby School District,4,18,21,11,4,199.0,70.0,82.0,14.0,1.0,4.0,18.0,4,36,28.0,78.0,15.3,14.0,16.3,15.7,0,PIKE,5503011,5503000,2023.0
Lafayette County High School,7-12,Lafayette County School District,RV,9,9,RV,RV,236.0,92.0,26.0,6.0,63.0,5.0,74.0,4,37,23.0,62.0,14.3,11.9,13.8,14.9,0,LAFAYETTE,3704013,3704000,2023.0
Lake Hamilton High School,10-12,Lake Hamilton School District,25,59,37,29,17,901.0,61.0,74.0,14.0,3.0,9.0,26.0,3,312,223.0,71.0,18.5,19.5,19.6,19.7,0,GARLAND,2605034,2605000,2023.0
Lakeside High School,9-12,Lakeside School District (Chicot),3,21,9,9,RV,268.0,78.0,7.0,15.0,76.0,2.0,93.0,5,65,58.0,89.0,14.9,13.0,15.1,16.3,0,CHICOT,903018,903000,2023.0
Lakeside High School,9-12,Lakeside School District (Garland),22,65,45,30,14,1114.0,40.0,71.0,13.0,8.0,8.0,29.0,3,268,242.0,90.0,18.4,19.9,21.2,20.1,0,GARLAND,2606044,2606000,2023.0
Lamar High School,9-12,Lamar School District,37,49,34,29,19,360.0,70.0,87.0,8.0,2.0,4.0,13.0,1,93,65.0,70.0,19.9,17.8,18.7,19.9,0,JOHNSON,3604019,3604000,2023.0
Lavaca High School,9-12,Lavaca School District,18,50,35,19,13,268.0,45.0,81.0,9.0,0.0,10.0,19.0,1,71,68.0,96.0,17.5,17.7,18.9,18.5,0,SEBASTIAN,6605057,6605000,2023.0
Lead Hill High School,7-12,Lead Hill School District,5,50,35,10,5,178.0,72.0,93.0,2.0,0.0,6.0,7.0,1,32,20.0,63.0,15.9,17.8,18.7,18.2,0,BOONE,506032,506000,2023.0
Lee High School,7-12,Lee County School District,RV,7,4,RV,RV,279.0,87.0,7.0,5.0,87.0,1.0,93.0,5,48,45.0,94.0,13.9,11.8,13.5,14.2,0,LEE,3904011,3904000,2023.0
Lincoln High School,9-12,Lincoln School District,12,49,40,23,12,359.0,64.0,75.0,13.0,1.0,10.0,25.0,1,99,57.0,58.0,17.0,17.7,19.4,19.2,0,WASHINGTON,7205706,7205000,2023.0
Lisa Academy Arkansas Hybrid School,K-12,Lisa Academy,6,28,33,6,6,251.0,48.0,26.0,12.0,48.0,14.0,74.0,3,19,18.0,95.0,14.9,15.1,16.8,16.9,1,PULASKI,6041709,6041700,2023.0
Lisa Academy North High School,9-12,Lisa Academy,28,49,44,32,21,288.0,59.0,25.0,28.0,37.0,10.0,75.0,3,64,57.0,89.0,19.5,17.9,19.1,18.9,1,PULASKI,6041706,6041700,2023.0
Lisa Academy West High  School,9-12,Lisa Academy,20,42,25,20,14,386.0,73.0,11.0,41.0,40.0,7.0,89.0,3,82,79.0,96.0,17.5,16.8,17.6,18.3,1,PULASKI,6041703,6041700,2023.0
Little Rock Hall Steam Magnet High School,9-12,Little Rock School District,9,27,21,11,2,305.0,77.0,9.0,10.0,80.0,2.0,91.0,3,87,44.0,51.0,15.6,15.0,16.2,16.3,0,PULASKI,6001083,6001000,2023.0
Little Rock Southwest High School,9-12,Little Rock School District,3,16,9,3,1,2163.0,81.0,5.0,34.0,60.0,2.0,95.0,3,506,340.0,67.0,14.4,12.9,14.4,15.8,0,PULASKI,6001082,6001000,2023.0
Little Rock West High School Of Innovation,9-12,Little Rock School District,9,21,19,8,2,270.0,63.0,32.0,9.0,56.0,4.0,68.0,3,76,67.0,88.0,15.5,14.6,16.2,15.6,0,PULASKI,6001081,6001000,2023.0
Lonoke High School,9-12,Lonoke School District,5,28,22,14,1,493.0,59.0,59.0,10.0,27.0,3.0,41.0,3,130,96.0,74.0,16.1,15.6,17.1,17.8,0,LONOKE,4301029,4301000,2023.0
Magazine High School,7-12,Magazine School District,25,41,38,34,19,203.0,70.0,93.0,2.0,0.0,4.0,7.0,1,36,32.0,89.0,18.3,17.4,19.9,19.0,0,LOGAN,4202008,4202000,2023.0
Magnet Cove High School,7-12,Magnet Cove School District,23,65,36,32,13,311.0,47.0,92.0,1.0,1.0,6.0,8.0,3,40,31.0,78.0,18.8,19.2,19.9,20.7,0,HOT SPRING,3003014,3003000,2023.0
Magnolia High School,9-12,Magnolia School District,12,31,21,17,9,807.0,71.0,35.0,7.0,54.0,4.0,65.0,4,201,173.0,86.0,16.8,15.7,17.5,17.9,0,COLUMBIA,1402009,1402000,2023.0
Malvern High School,9-12,Malvern School District,17,42,20,18,10,575.0,74.0,45.0,12.0,32.0,11.0,55.0,3,150,114.0,76.0,17.3,17.1,17.3,18.3,0,HOT SPRING,3004023,3004000,2023.0
Mammoth Spring High School,7-12,Mammoth Spring School District,10,43,38,14,5,220.0,72.0,96.0,1.0,0.0,2.0,4.0,2,41,21.0,51.0,16.9,16.6,19.1,16.7,0,FULTON,2501002,2501000,2023.0
Manila High School,7-12,Manila School District,9,29,29,10,4,493.0,52.0,97.0,3.0,0.0,0.0,3.0,2,81,70.0,86.0,16.4,15.6,16.8,17.1,0,MISSISSIPPI,4712044,4712000,2023.0
Mansfield High School,9-12,Mansfield School District,5,43,19,12,5,225.0,70.0,84.0,4.0,2.0,10.0,16.0,1,58,42.0,72.0,16.0,17.0,18.1,18.1,0,SEBASTIAN,6606062,6606000,2023.0
Marion High School,10-12,Marion School District,7,31,16,8,3,904.0,81.0,32.0,6.0,57.0,4.0,68.0,2,310,277.0,89.0,15.6,15.1,16.6,16.4,0,CRITTENDEN,1804015,1804000,2023.0
Marked Tree High School,7-12,Marked Tree School District,6,16,22,6,RV,220.0,70.0,57.0,5.0,38.0,0.0,43.0,2,39,32.0,82.0,15.3,13.8,16.2,15.8,0,POINSETT,5604017,5604000,2023.0
Marmaduke High School,7-12,Marmaduke School District,12,58,39,24,9,281.0,55.0,96.0,2.0,0.0,1.0,4.0,2,43,33.0,77.0,17.5,17.3,19.5,19.2,0,GREENE,2803017,2803000,2023.0
Marshall High School,7-12,Searcy County School District,22,55,33,28,10,361.0,70.0,91.0,4.0,1.0,4.0,9.0,1,57,51.0,89.0,18.4,19.3,19.1,19.2,0,SEARCY,6502006,6502000,2023.0
Marvell-Elaine High School,7-12,Marvell-Elaine School District,RV,6,6,6,RV,100.0,96.0,9.0,6.0,83.0,2.0,91.0,5,17,16.0,94.0,14.8,12.9,13.9,15.8,0,PHILLIPS,5404032,5404000,2023.0
Maumelle Charter High School,8-12,Academics Plus Public Charter Schools,38,75,57,42,25,506.0,18.0,74.0,5.0,13.0,9.0,26.0,3,87,81.0,93.0,19.9,21.7,22.0,21.4,1,PULASKI,6040703,6040700,2023.0
Maumelle High School,9-12,Pulaski County Special School District,10,37,23,17,8,844.0,41.0,34.0,7.0,51.0,8.0,66.0,3,208,190.0,91.0,16.2,16.0,17.7,18.0,0,PULASKI,6003151,6003000,2023.0
Mayflower High School,9-12,Mayflower School District,4,31,22,12,4,345.0,56.0,76.0,4.0,11.0,10.0,24.0,3,95,74.0,78.0,15.7,15.0,17.4,16.9,0,FAULKNER,2305026,2305000,2023.0
Maynard High School,7-12,Maynard School District,4,32,18,14,4,251.0,70.0,93.0,5.0,0.0,2.0,7.0,2,33,28.0,85.0,15.9,14.7,16.7,17.7,0,RANDOLPH,6102006,6102000,2023.0
McCrory High School,7-12,McCrory School District,22,60,38,32,19,248.0,58.0,87.0,3.0,10.0,0.0,13.0,2,42,37.0,88.0,18.0,19.1,19.7,19.8,0,WOODRUFF,7403013,7403000,2023.0
McGehee High School,9-12,McGehee School District,5,24,15,9,3,324.0,69.0,42.0,8.0,47.0,4.0,58.0,5,84,67.0,80.0,16.1,14.6,16.1,16.2,0,DESHA,2105028,2105000,2023.0
Melbourne High School,7-12,Melbourne School District,39,78,59,50,28,370.0,51.0,96.0,2.0,0.0,2.0,4.0,2,70,64.0,91.0,19.8,22.0,22.2,22.3,0,IZARD,3302006,3302000,2023.0
Mena High School,9-12,Mena School District,21,38,30,19,13,493.0,56.0,85.0,7.0,1.0,7.0,15.0,4,126,112.0,89.0,18.2,16.8,18.1,18.8,0,POLK,5703012,5703000,2023.0
Midland High School,7-12,Midland School District,3,23,20,17,3,240.0,60.0,94.0,3.0,1.0,1.0,6.0,2,39,35.0,90.0,15.6,14.2,16.6,17.2,0,INDEPENDENCE,3211035,3211000,2023.0
Mills University Studies High School,9-12,Pulaski County Special School District,5,24,20,13,5,671.0,58.0,14.0,22.0,60.0,5.0,86.0,3,141,120.0,85.0,15.2,14.5,16.2,16.9,0,PULASKI,6003125,6003000,2023.0
Mineral Springs High School,7-12,Mineral Springs School District,RV,13,7,3,RV,195.0,87.0,13.0,12.0,73.0,2.0,87.0,4,36,31.0,86.0,14.6,13.6,15.0,15.5,0,HOWARD,3104006,3104000,2023.0
Monticello High School,9-12,Monticello School District,10,30,23,13,4,506.0,49.0,55.0,5.0,39.0,2.0,45.0,5,130,115.0,88.0,16.5,15.3,17.3,17.7,0,DREW,2203012,2203000,2023.0
Morrilton Sr. High School,9-12,South Conway County School District,21,58,33,23,12,719.0,68.0,66.0,10.0,19.0,5.0,34.0,1,163,130.0,80.0,17.9,18.6,18.8,19.2,0,CONWAY,1507036,1507000,2023.0
Mount Ida High School,7-12,Mount Ida School District,21,52,27,12,9,203.0,62.0,87.0,5.0,0.0,7.0,13.0,4,45,33.0,73.0,17.6,17.1,19.2,18.5,0,MONTGOMERY,4902007,4902000,2023.0
Mountain Home Career Academies,8-12,Mountain Home School District,24,59,38,34,16,1517.0,38.0,91.0,4.0,0.0,5.0,9.0,1,300,239.0,80.0,18.6,19.0,20.1,20.4,0,BAXTER,303703,303000,2023.0
Mountain Pine High School,7-12,Mountain Pine School District,2,33,23,16,RV,294.0,80.0,79.0,5.0,9.0,7.0,21.0,3,53,43.0,81.0,15.5,15.4,16.8,17.7,0,GARLAND,2607047,2607000,2023.0
Mountain View High School,9-12,Mountain View School District,10,45,32,14,8,329.0,63.0,94.0,2.0,0.0,3.0,6.0,2,73,62.0,85.0,16.2,17.5,19.1,18.0,0,STONE,6901007,6901000,2023.0
Mountainburg High School,9-12,Mountainburg School District,5,40,26,16,3,185.0,68.0,91.0,4.0,1.0,5.0,9.0,1,43,38.0,88.0,15.7,16.1,18.9,17.4,0,CRAWFORD,1703013,1703000,2023.0
Mt. Judea K-12 School,K-12,Deer/Mt. Judea School District,RV,15,8,RV,RV,166.0,79.0,92.0,4.0,0.0,4.0,8.0,1,15,13.0,87.0,14.2,13.6,14.2,16.5,0,NEWTON,5106004,5106000,2023.0
Mt. Vernon/Enola High School,7-12,Mt. Vernon/Enola School District,26,58,45,36,23,250.0,70.0,95.0,1.0,3.0,1.0,5.0,3,35,31.0,89.0,19.5,18.8,19.7,19.9,0,FAULKNER,2306030,2306000,2023.0
Mulberry High School,9-12,Mulberry/Pleasant View Bi-County Schools,23,46,39,23,15,117.0,56.0,92.0,3.0,0.0,5.0,8.0,1,24,13.0,54.0,17.4,17.9,17.6,17.8,0,CRAWFORD,1704017,1704000,2023.0
Murfreesboro High School,7-12,South Pike County School District,4,44,20,11,4,323.0,71.0,81.0,7.0,6.0,6.0,19.0,4,52,46.0,88.0,15.8,16.4,17.3,18.3,0,PIKE,5504015,5504000,2023.0
Nashville High School,10-12,Nashville School District,13,40,22,17,7,480.0,71.0,52.0,28.0,18.0,3.0,48.0,4,162,149.0,92.0,16.6,16.7,17.2,17.9,0,HOWARD,3105011,3105000,2023.0
Nemo Vista High School,9-12,Nemo Vista School District,27,70,50,20,13,129.0,49.0,88.0,4.0,0.0,9.0,12.0,1,30,30.0,100.0,18.6,19.1,19.9,19.4,0,CONWAY,1503017,1503000,2023.0
Nettleton High School,9-12,Nettleton School District,7,36,19,15,5,1041.0,55.0,28.0,11.0,53.0,8.0,72.0,2,246,199.0,81.0,16.3,15.9,17.0,17.1,0,CRAIGHEAD,1611042,1611000,2023.0
Nevada High  School,7-12,Nevada School District,13,25,17,4,4,206.0,75.0,59.0,3.0,34.0,4.0,41.0,4,28,24.0,86.0,15.7,15.0,15.9,16.8,0,NEVADA,5008014,5008000,2023.0
Newport High School,6-12,Newport School District,6,31,19,11,3,564.0,76.0,48.0,9.0,35.0,8.0,52.0,2,84,64.0,76.0,15.9,15.6,18.0,17.6,0,JACKSON,3403013,3403000,2023.0
Norfork High School,7-12,Norfork School District,18,33,33,18,12,203.0,59.0,98.0,1.0,0.0,0.0,2.0,1,40,33.0,83.0,17.1,16.0,18.8,18.0,0,BAXTER,304022,304000,2023.0
North Little Rock Center Of Excellence,9-12,North Little Rock School District,12,37,24,15,9,465.0,74.0,25.0,16.0,55.0,5.0,75.0,3,83,67.0,81.0,16.5,16.0,17.3,18.2,0,PULASKI,6002703,6002000,2023.0
North Little Rock High School,9-12,North Little Rock School District,20,43,31,21,15,1680.0,70.0,24.0,13.0,57.0,5.0,76.0,3,458,329.0,72.0,17.6,17.1,18.6,18.7,0,PULASKI,6002082,6002000,2023.0
Northside High School,9-12,Fort Smith School District,17,39,26,18,8,2253.0,75.0,21.0,53.0,14.0,12.0,79.0,1,580,404.0,70.0,17.0,16.3,17.6,18.1,0,SEBASTIAN,6601024,6601000,2023.0
Northwest Arkansas Classical Academy High,7-12,Responsive Ed Solutions Northwest Ark Classical Academy,34,69,49,37,17,238.0,8.0,76.0,12.0,3.0,9.0,24.0,1,35,35.0,100.0,20.0,20.5,21.5,20.8,1,BENTON,442703,442700,2023.0
Oark High School,7-12,Jasper School District,RV,8,25,8,RV,70.0,79.0,94.0,4.0,1.0,0.0,6.0,1,17,12.0,71.0,15.2,13.3,17.0,16.0,0,NEWTON,5102024,5102000,2023.0
Oden Schools,P-12,Ouachita River School District,23,39,31,23,15,148.0,73.0,82.0,6.0,0.0,11.0,18.0,4,15,13.0,87.0,17.9,17.5,17.7,17.7,0,POLK,5706009,5706000,2023.0
Omaha High School,7-12,Omaha School District,16,40,20,12,4,186.0,66.0,92.0,3.0,0.0,4.0,8.0,1,31,25.0,81.0,16.8,16.9,17.4,18.2,0,BOONE,504023,504000,2023.0
Osceola High School,9-12,Osceola School District,RV,7,RV,RV,RV,261.0,87.0,6.0,3.0,87.0,4.0,94.0,2,69,61.0,88.0,14.9,12.6,15.2,15.1,0,MISSISSIPPI,4713051,4713000,2023.0
Ouachita High School,7-12,Ouachita School District,24,36,27,24,15,272.0,49.0,93.0,3.0,0.0,5.0,7.0,3,45,33.0,73.0,17.5,16.1,17.5,18.8,0,HOT SPRING,3005030,3005000,2023.0
Ozark Jr/Sr High School,8-12,Ozark School District,9,45,33,20,6,675.0,45.0,90.0,4.0,1.0,5.0,10.0,1,134,106.0,79.0,17.0,17.3,17.9,17.9,0,FRANKLIN,2404017,2404000,2023.0
Ozark Mountain High School,7-12,Ozark Mountain School District,15,41,26,19,15,236.0,73.0,94.0,3.0,0.0,3.0,6.0,1,40,27.0,68.0,17.0,17.2,19.1,18.9,0,SEARCY,6505021,6505000,2023.0
Palestine-Wheatley Senior High,7-12,Palestine-Wheatley School District,5,36,20,7,3,356.0,85.0,87.0,2.0,10.0,1.0,13.0,2,68,59.0,87.0,16.2,15.6,17.8,16.9,0,ST FRANCIS,6205028,6205000,2023.0
Pangburn High School,7-12,Pangburn School District,7,42,32,24,5,348.0,58.0,95.0,3.0,0.0,2.0,5.0,2,67,62.0,93.0,16.4,17.0,18.6,18.8,0,WHITE,7309039,7309000,2023.0
Paragould High School,9-12,Paragould School District,23,48,37,28,19,864.0,59.0,76.0,9.0,7.0,8.0,24.0,2,215,178.0,83.0,17.9,18.8,18.7,19.0,0,GREENE,2808043,2808000,2023.0
Paris High School,9-12,Paris School District,6,30,21,16,4,302.0,70.0,84.0,5.0,1.0,9.0,16.0,1,94,71.0,76.0,15.7,14.9,16.7,17.1,0,LOGAN,4203012,4203000,2023.0
Parkers Chapel High School,7-12,Parkers Chapel School District,18,44,24,19,11,359.0,31.0,82.0,4.0,11.0,4.0,18.0,4,68,62.0,91.0,17.3,17.0,17.9,17.8,0,UNION,7007040,7007000,2023.0
Parkview Magnet High School,9-12,Little Rock School District,7,31,21,10,5,1063.0,70.0,12.0,11.0,76.0,2.0,88.0,3,233,207.0,89.0,15.5,15.3,17.3,16.7,0,PULASKI,6001005,6001000,2023.0
Pea Ridge High School,10-12,Pea Ridge School District,27,46,35,30,22,580.0,26.0,87.0,7.0,2.0,4.0,13.0,1,201,165.0,82.0,18.9,18.2,19.0,19.4,0,BENTON,407027,407000,2023.0
Perryville High School,7-12,Perryville School District,11,50,29,16,10,416.0,58.0,94.0,3.0,0.0,3.0,6.0,1,71,62.0,87.0,16.8,17.8,19.4,18.7,0,PERRY,5303011,5303000,2023.0
Piggott High School,7-12,Piggott School District,2,22,16,4,2,343.0,58.0,95.0,3.0,1.0,2.0,5.0,2,49,45.0,92.0,15.2,14.6,16.2,16.5,0,CLAY,1104018,1104000,2023.0
Pine Bluff High School,10-12,Pine Bluff School District,3,19,9,6,2,780.0,78.0,2.0,1.0,95.0,2.0,98.0,3,270,163.0,60.0,14.6,13.9,15.1,16.5,0,JEFFERSON,3505042,3505000,2023.0
Pocahontas High School,10-12,Pocahontas School District,18,44,26,21,14,384.0,53.0,79.0,3.0,1.0,17.0,21.0,2,137,124.0,91.0,17.1,17.1,17.4,18.0,0,RANDOLPH,6103010,6103000,2023.0
Pottsville High School,10-12,Pottsville School District,13,40,33,27,7,395.0,35.0,89.0,7.0,2.0,2.0,11.0,1,111,93.0,84.0,17.6,17.3,19.2,19.0,0,POPE,5804014,5804000,2023.0
Poyen High School,7-12,Poyen School District,10,50,18,8,RV,253.0,45.0,94.0,3.0,0.0,3.0,6.0,3,41,40.0,98.0,16.6,16.5,17.5,17.9,0,GRANT,2703010,2703000,2023.0
Prairie Grove High School,9-12,Prairie Grove School District,16,41,33,20,10,595.0,29.0,82.0,10.0,2.0,6.0,18.0,1,147,121.0,82.0,17.1,16.6,19.3,18.5,0,WASHINGTON,7206703,7206000,2023.0
Premier High School Of Fort Smith,9-12,Premier High Schools Of Arkansas,RV,26,RV,RV,RV,98.0,40.0,57.0,18.0,11.0,13.0,43.0,3,31,19.0,61.0,14.8,13.3,13.7,14.9,1,PULASKI,6053706,6053700,2023.0
Premier High School Of Texarkana,9-12,Premier High Schools Of Arkansas,8,8,8,RV,RV,68.0,68.0,44.0,3.0,47.0,6.0,56.0,4,18,13.0,72.0,14.5,13.2,13.9,15.5,1,MILLER,6053709,6053700,2023.0
Premier High School Online,9-12,Premier High Schools Of Arkansas,RV,9,9,RV,RV,277.0,34.0,30.0,9.0,52.0,9.0,70.0,3,84,22.0,26.0,14.3,12.9,14.6,15.6,1,PULASKI,6053712,6053700,2023.0
Prescott High School,9-12,Prescott School District,1,35,14,8,RV,303.0,68.0,50.0,8.0,41.0,1.0,50.0,4,91,86.0,95.0,15.3,15.0,17.1,17.3,0,NEVADA,5006024,5006000,2023.0
Quitman High School,9-12,Quitman School District,14,45,39,20,11,275.0,40.0,95.0,1.0,1.0,2.0,5.0,2,71,56.0,79.0,17.6,17.4,19.4,19.1,0,CLEBURNE,1203011,1203000,2023.0
Rector High School,7-12,Rector School District,12,56,29,24,9,252.0,66.0,95.0,3.0,0.0,2.0,5.0,2,36,34.0,94.0,16.9,18.5,18.9,18.0,0,CLAY,1106023,1106000,2023.0
Responsive Ed Solutions Premier High School Of Springdale,9-12,Responsive Ed Solutions Premier High School Of Springdale,7,7,3,RV,RV,73.0,32.0,34.0,49.0,4.0,12.0,66.0,1,25,29.0,116.0,14.7,11.8,13.0,14.9,1,WASHINGTON,7242703,7242700,2023.0
Rison High School,7-12,Cleveland County School District,18,39,28,23,12,345.0,51.0,72.0,3.0,21.0,4.0,28.0,5,62,57.0,92.0,17.4,15.9,17.6,18.3,0,CLEVELAND,1305010,1305000,2023.0
River Valley Virtual Academy,K-12,Van Buren School District,8,39,31,8,8,105.0,68.0,86.0,4.0,2.0,9.0,14.0,1,23,13.0,57.0,15.2,16.2,17.3,17.8,0,CRAWFORD,1705703,1705000,2023.0
Riverside High School,7-12,Riverside School District,19,51,46,32,19,353.0,46.0,89.0,6.0,3.0,2.0,11.0,2,42,37.0,88.0,17.1,18.1,19.2,19.8,0,CRAIGHEAD,1613021,1613000,2023.0
Riverview High School,9-12,Riverview School District,3,20,15,8,2,316.0,59.0,66.0,15.0,9.0,10.0,34.0,2,73,66.0,90.0,15.2,14.6,16.4,16.4,0,WHITE,7307032,7307000,2023.0
Rogers Heritage High School,9-12,Rogers School District,12,34,18,15,7,2125.0,49.0,39.0,52.0,2.0,7.0,61.0,1,553,509.0,92.0,16.6,15.9,17.2,17.6,0,BENTON,405052,405000,2023.0
Rogers High School,9-12,Rogers School District,20,47,32,26,15,2379.0,41.0,42.0,49.0,2.0,8.0,58.0,1,620,532.0,86.0,17.7,17.7,19.0,18.9,0,BENTON,405048,405000,2023.0
Rogers New Technology High School,9-12,Rogers School District,16,54,41,35,12,672.0,42.0,40.0,54.0,2.0,5.0,60.0,1,164,159.0,97.0,17.7,18.5,20.5,20.3,0,BENTON,405703,405000,2023.0
Rose Bud High School,7-12,Rose Bud School District,RV,18,16,2,RV,340.0,42.0,92.0,6.0,1.0,1.0,8.0,2,51,44.0,86.0,15.9,13.8,16.2,17.0,0,WHITE,7310043,7310000,2023.0
Rural Special High School,7-12,Mountain View School District,8,54,46,39,8,85.0,67.0,89.0,11.0,0.0,0.0,11.0,2,14,13.0,93.0,17.4,18.5,21.2,19.5,0,STONE,6901012,6901000,2023.0
Russellville High School,10-12,Russellville School District,25,56,42,31,19,1284.0,56.0,58.0,27.0,6.0,9.0,42.0,1,438,351.0,80.0,18.2,19.1,20.2,20.0,0,POPE,5805024,5805000,2023.0
Salem High School,7-12,Salem School District,14,61,45,33,10,416.0,61.0,93.0,3.0,1.0,3.0,7.0,2,63,51.0,81.0,18.4,19.1,21.0,19.6,0,FULTON,2502006,2502000,2023.0
School For The Deaf,K-12,Ark. School For The Deaf,RV,RV,RV,RV,RV,102.0,63.0,48.0,15.0,29.0,8.0,52.0,3,16,11.0,69.0,13.6,11.5,12.2,13.3,0,PULASKI,6092004,6092000,2023.0
Scott Charter School,K-12,Academics Plus Public Charter Schools,27,46,36,36,27,204.0,58.0,41.0,8.0,48.0,3.0,59.0,3,11,11.0,100.0,17.2,16.3,17.3,18.9,1,PULASKI,6040704,6040700,2023.0
Scranton High School,7-12,Scranton School District,21,38,33,33,17,207.0,47.0,91.0,2.0,0.0,7.0,9.0,1,27,24.0,89.0,18.0,18.1,19.9,19.9,0,LOGAN,4204019,4204000,2023.0
Searcy High School,9-12,Searcy School District,32,67,45,38,21,1208.0,43.0,67.0,12.0,11.0,10.0,33.0,2,311,262.0,84.0,19.5,21.0,20.7,20.5,0,WHITE,7311052,7311000,2023.0
Sheridan High School,9-12,Sheridan School District,14,37,29,16,8,1265.0,35.0,86.0,7.0,2.0,4.0,14.0,3,329,295.0,90.0,17.3,16.1,18.4,18.4,0,GRANT,2705021,2705000,2023.0
Shirley High School,7-12,Shirley School District,RV,25,8,RV,RV,134.0,81.0,94.0,1.0,4.0,1.0,6.0,1,16,12.0,75.0,14.9,13.6,14.0,12.8,0,VAN BUREN,7104015,7104000,2023.0
Siloam Springs High School Conversion Charter,9-12,Siloam Springs School District,22,42,33,25,15,1449.0,49.0,49.0,36.0,1.0,13.0,51.0,1,373,301.0,81.0,18.1,17.3,18.6,19.2,0,BENTON,406703,406000,2023.0
Sloan-Hendrix High School,7-12,Sloan-Hendrix School District,15,54,33,26,5,353.0,67.0,96.0,2.0,1.0,2.0,4.0,2,54,39.0,72.0,17.7,18.5,20.5,20.1,0,LAWRENCE,3806019,3806000,2023.0
Smackover High School,9-12,Smackover-Norphlet School District,1,33,12,4,RV,314.0,36.0,75.0,5.0,19.0,1.0,25.0,4,85,83.0,98.0,14.9,14.9,16.4,16.3,0,UNION,7008045,7008000,2023.0
