school_name,Grades,District Name,perc_math_readiness,perc_english_readiness,perc_reading_readiness,perc_science_readiness,perc_all_subject_readiness,number_of_students,perc_frl,perc_white,perc_hispanic,perc_african_american,perc_other_race,perc_minority,Region,number_grade_11_students,number_test_taking_grade_11_students,perc_test_taking_students_15_16,ACT_math,ACT_english,ACT_reading,ACT_science,is_open_enrollment_charter,County,School LEA,DLEA,year
Bay High School,7-12,Bay School District,10,52,31,14,3,229.0,49.0,94.0,2.0,3.0,0.0,6.0,2,33,29.0,88.0,16.6,17.8,18.2,18.8,0,CRAIGHEAD,1601002,1601000,2023.0
Bearden High School,7-12,Bearden School District,6,31,17,17,6,231.0,71.0,57.0,4.0,30.0,9.0,43.0,4,40,36.0,90.0,16.2,16.4,18.0,17.4,0,OUACHITA,5201002,5201000,2023.0
Beebe High School,9-12,Beebe School District,22,51,26,24,10,1055.0,46.0,82.0,9.0,4.0,5.0,18.0,2,278,228.0,82.0,18.3,18.1,18.7,19.0,0,WHITE,7302010,7302000,2023.0
Benton High School,10-12,Benton School District,36,63,45,38,25,1298.0,33.0,72.0,12.0,9.0,7.0,28.0,3,472,405.0,86.0,20.0,20.2,20.7,20.9,0,SALINE,6302012,6302000,2023.0
Bentonville High School,9-12,Bentonville School District,45,77,58,47,34,3424.0,13.0,74.0,11.0,2.0,13.0,26.0,1,836,789.0,94.0,21.2,22.4,22.6,21.8,0,BENTON,401003,401000,2023.0
Bentonville West High School,9-12,Bentonville School District,33,60,40,31,21,2522.0,20.0,65.0,17.0,5.0,13.0,35.0,1,639,591.0,92.0,19.5,19.3,20.0,20.1,0,BENTON,401019,401000,2023.0
Bergman High School,9-12,Bergman School District,19,51,30,22,13,276.0,52.0,92.0,5.0,0.0,2.0,8.0,1,71,67.0,94.0,17.7,19.0,19.2,19.0,0,BOONE,502007,502000,2023.0
Berryville High School,9-12,Berryville School District,9,41,33,18,6,553.0,69.0,59.0,31.0,1.0,9.0,41.0,1,130,117.0,90.0,16.6,16.7,18.0,17.9,0,CARROLL,801002,801000,2023.0
Bigelow High School,7-12,East End School District,5,38,22,8,5,308.0,60.0,82.0,11.0,3.0,4.0,18.0,1,53,37.0,70.0,16.4,16.5,17.8,18.1,0,PERRY,5301002,5301000,2023.0
Bismarck High School,9-12,Bismarck School District,33,71,43,35,24,318.0,66.0,90.0,7.0,1.0,3.0,10.0,3,75,63.0,84.0,19.6,21.0,20.8,20.9,0,HOT SPRING,3001003,3001000,2023.0
Blevins High School,7-12,Blevins School District,RV,37,19,22,RV,196.0,88.0,67.0,10.0,17.0,5.0,33.0,4,29,27.0,93.0,16.0,16.9,18.0,18.3,0,HEMPSTEAD,2901002,2901000,2023.0
Blytheville High School,9-12,Blytheville School District,2,8,5,3,RV,411.0,74.0,10.0,5.0,84.0,1.0,90.0,2,104,66.0,63.0,13.6,12.3,13.9,15.2,0,MISSISSIPPI,4702014,4702000,2023.0
Booneville High School,10-12,Booneville School District,16,50,29,19,7,266.0,67.0,86.0,7.0,0.0,7.0,14.0,1,72,58.0,81.0,17.1,17.7,18.7,18.9,0,LOGAN,4201002,4201000,2023.0
Bradford High School,7-12,Bradford School District,9,30,17,9,9,200.0,81.0,96.0,1.0,3.0,1.0,4.0,2,35,23.0,66.0,16.3,15.1,16.2,16.9,0,WHITE,7303015,7303000,2023.0
Bradley High School,7-12,Emerson-Taylor-Bradley School District,5,29,5,10,RV,144.0,71.0,67.0,1.0,31.0,1.0,33.0,4,23,21.0,91.0,15.5,14.5,17.1,16.3,0,COLUMBIA,1408007,1408000,2023.0
Brinkley High School,7-12,Brinkley School District,RV,25,21,8,RV,167.0,75.0,26.0,1.0,69.0,4.0,74.0,5,26,24.0,92.0,14.6,14.8,15.6,15.3,0,MONROE,4801003,4801000,2023.0
Brookland High School,10-12,Brookland School District,10,50,35,20,8,630.0,28.0,89.0,5.0,4.0,2.0,11.0,2,193,160.0,83.0,16.8,18.0,19.6,18.6,0,CRAIGHEAD,1603007,1603000,2023.0
Bryant High School,10-12,Bryant School District,25,53,37,25,18,2290.0,39.0,54.0,18.0,23.0,5.0,46.0,3,800,694.0,87.0,18.3,18.6,19.2,19.2,0,SALINE,6303022,6303000,2023.0
Buffalo Island Central High School,7-12,Buffalo Is. Central School District,9,46,26,11,3,325.0,55.0,78.0,19.0,1.0,2.0,22.0,2,44,35.0,80.0,17.2,17.3,18.3,16.9,0,CRAIGHEAD,1605065,1605000,2023.0
