Unnamed: 0,School Name,Grades,District Name,Math: % Met Readiness Benchmark,English: % Met Readiness Benchmark,Reading: % Met Readiness Benchmark,Science: % Met Readiness Benchmark,% Met Readiness Benchmark in all Four Subjects,School Enrollment,School % FRL,School % White,School % Hispanic,School % Black,School % Other Races,School Overall % Minority,Region,Number of Students in Grade 11, Number of Students in grade 11 that took the ACT, % Students in grade 11 that took the ACT in 2015-16,Average ACT Math Score,Average ACT English Score,Average ACT Reading Score,Average ACT Science Score,Is Open Enrollment Charter,County,School LEA,DLEA,state_name_x,latitude,longitude,address,zip_code,county_name_x,city_name,county_code,Street Address,Tract,unique_id,year,tract_number,county_name_y,state_name_y,Population 18 to 24 years (estimate),"18-24, less than high school graduate (estimate)","18-24, high school graduate or eq. (estimate)","18-24, some college or associate's degree (estimate)","18-24, bachelor's degree or higher",Population 25 years and over (estimate),"25 and over, less than 9th grade (estimate)","25 and over, 9th to 12th grade, no diploma (estimate)","25 and over, high school graduate or eq. (estimate)","25 and over, some college, no degree (estimate)","25 and over, associate's degree (estimate)","25 and over, bachelor's degree (estimate)","25 and over, graduate or professional degree (estimate)","18-24, less than high school graduate (percentage)","18-24, high school graduate or eq. (percentage)","18-24, some college or associate's degree (percentage)","18-24, bachelor's degree or higher (percentage)","25 and over, less than 9th grade (percentage)","25 and over, 9th to 12th grade, no diploma (percentage)","25 and over, high school graduate or eq. (percentage)","25 and over, some college, no degree (percentage)","25 and over, associate's degree (percentage)","25 and over, bachelor's degree (percentage)","25 and over, graduate or professional degree (percentage)",Total number of households,Median household income (dollars),Mean household income (dollars),Total population,Hispanic or Latino (estimate),Hispanic or Latino (percentage),Not Hispanic or Latino (estimate),Not Hispanic or Latino (percentage),White alone (estimate),White alone (percentage),Black or African American alone (estimate),Black or African American alone (percentage),American Indian and Alaska Native alone (estimate),American Indian and Alaska Native alone (percentage),Asian alone (estimate),Asian alone (percentage),Native Hawaiian and Other Pacific Islander alone (estimate),Native Hawaiian and Other Pacific Islander alone (percentage),Some other race alone (estimate),Some other race alone (percentage),Two or more races alone (estimate),Two or more races alone (percentage),Math Scores,RW Scores
21,Augusta High School,12-Jul,Augusta School District,RV,0.143,0.107,0.071,RV,151,0.8477,0.3709,0.0066,0.5629,0.06,0.63,2,29,28,0.965517241,14.9,13,15.5,15.4,0,WOODRUFF,7401003,7401000,Arkansas,35.283595,-91.355537,1011 Main Street,72006,Woodruff County,Augusta,5147,"1011 Main Street, Augusta, Arkansas, 72006",490200,5147490200,2023,490200,Woodruff County,Arkansas,203,34,78,91,0,1612,34,209,741,200,170,109,149,16.7,38.4,44.8,0,2.1,13,46,12.4,10.5,6.8,9.2,1071,53647,66607,2274,22,1,2252,99,1400,61.6,797,35,1,0,0,0,19,0.8,0,0,35,1.5,14.9,15.5
22,Bald Knob High School,12-Sep,Bald Knob School District,0.125,0.425,0.275,0.15,0.05,336,0.5506,0.8869,0.0476,0.0149,0.05,0.11,2,83,40,0.481927711,17.2,16.8,18.4,17.8,0,WHITE,7301003,7301000,Arkansas,35.3168149,-91.5718281,901 North Hickory Street,72010,White County,Bald Knob,5145,"901 North Hickory Street, Bald Knob, Arkansas, 72010",70600,5145070600,2023,70600,White County,Arkansas,270,66,122,69,13,2413,80,327,1222,307,180,174,123,24.4,45.2,25.6,4.8,3.3,13.6,50.6,12.7,7.5,7.2,5.1,1384,47500,57364,3580,147,4.1,3433,95.9,3236,90.4,14,0.4,14,0.4,0,0,0,0,0,0,169,4.7,17.2,18.4
23,Barton High School,12-Jul,Barton-Lexa School District,0.059,0.176,0.088,0.088,0.029,308,0.8474,0.5357,0.039,0.3994,0.03,0.46,5,39,34,0.871794872,15.9,14.1,14.5,17.3,0,PHILLIPS,5401003,5401000,Arkansas,34.5523289,-90.7673009,9546 Arkansas 85,72390,Phillips County,N/A,5107,"9546 Arkansas 85, N/A, Arkansas, 72390",480202,5107480202,2023,480202,Phillips County,Arkansas,151,7,48,96,0,1338,29,124,480,314,129,187,75,4.6,31.8,63.6,0,2.2,9.3,35.9,23.5,9.6,14,5.6,681,66250,81204,1974,24,1.2,1950,98.8,1225,62.1,607,30.7,3,0.2,0,0,0,0,0,0,115,5.8,15.9,14.5
24,Batesville High School Charter,12-Sep,Batesville School District,0.211,0.447,0.348,0.292,0.143,997,0.4584,0.5978,0.2939,0.0532,0.06,0.4,2,235,161,0.685106383,18.2,17.8,19.5,19.4,0,INDEPENDENCE,3201703,3201000,Arkansas,35.7549833,-91.6239899,1 Pioneer Drive,72501,Independence County,Batesville,5063,"1 Pioneer Drive, Batesville, Arkansas, 72501",490500,5063490500,2023,490500,Independence County,Arkansas,164,43,82,39,0,2329,50,119,834,358,157,475,336,26.2,50,23.8,0,2.1,5.1,35.8,15.4,6.7,20.4,14.4,1357,69526,103519,3329,497,14.9,2832,85.1,2580,77.5,102,3.1,0,0,56,1.7,0,0,87,2.6,7,0.2,18.2,19.5
25,Bauxite High School,12-Sep,Bauxite School District,0.101,0.304,0.21,0.174,0.072,549,0.2987,0.8889,0.0619,0.0291,0.02,0.11,3,144,138,0.958333333,16.5,15.3,17.2,17.5,0,SALINE,6301002,6301000,Arkansas,34.5535477,-92.5108387,800 School Street,72011,Saline County,Bauxite,5125,"800 School Street, Bauxite, Arkansas, 72011",10602,5125010602,2023,10602,Saline County,Arkansas,74,0,43,31,0,1688,0,190,754,309,145,232,58,0,58.1,41.9,0,0,11.3,44.7,18.3,8.6,13.7,3.4,1016,53077,62112,2506,166,6.6,2340,93.4,1868,74.5,336,13.4,0,0,0,0,0,0,0,0,136,5.4,16.5,17.2
26,Bay High School,12-Jul,Bay School District,0.103,0.517,0.31,0.138,0.034,229,0.4891,0.9389,0.0218,0.0349,0,0.06,2,33,29,0.878787879,16.6,17.8,18.2,18.8,0,CRAIGHEAD,1601002,1601000,Arkansas,35.7470474,-90.566101,700 School Street,72411,Craighead County,Bay,5031,"700 School Street, Bay, Arkansas, 72411",900,5031000900,2023,900,Craighead County,Arkansas,431,20,203,173,35,4100,128,307,1764,838,454,366,243,4.6,47.1,40.1,8.1,3.1,7.5,43,20.4,11.1,8.9,5.9,2455,58382,70936,6130,84,1.4,6046,98.6,5547,90.5,204,3.3,14,0.2,0,0,0,0,0,0,281,4.6,16.6,18.2
27,Bearden High School,12-Jul,Bearden School District,0.056,0.306,0.167,0.167,0.056,231,0.7056,0.5714,0.039,0.303,0.09,0.43,4,40,36,0.9,16.2,16.4,18,17.4,0,OUACHITA,5201002,5201000,Arkansas,33.7309841,-92.6212832,635 North Plum Street,71720,Ouachita County,Bearden,5103,"635 North Plum Street, Bearden, Arkansas, 71720",950102,5103950102,2023,950102,Ouachita County,Arkansas,122,64,28,30,0,1954,46,203,1011,387,113,141,53,52.5,23,24.6,0,2.4,10.4,51.7,19.8,5.8,7.2,2.7,1023,48569,67278,2817,42,1.5,2775,98.5,1805,64.1,931,33,0,0,0,0,0,0,0,0,39,1.4,16.2,18
28,Beebe High School,12-Sep,Beebe School District,0.219,0.509,0.259,0.241,0.096,1055,0.4635,0.8246,0.0872,0.0408,0.05,0.18,2,278,228,0.820143885,18.3,18.1,18.7,19,0,WHITE,7302010,7302000,Arkansas,35.0642972,-91.8927462,1201 West Center Street,72012,White County,Beebe,5145,"1201 West Center Street, Beebe, Arkansas, 72012",71202,5145071202,2023,71202,White County,Arkansas,175,66,92,17,0,3847,177,100,1507,906,574,476,107,37.7,52.6,9.7,0,4.6,2.6,39.2,23.6,14.9,12.4,2.8,2190,49883,61788,5555,179,3.2,5376,96.8,4855,87.4,149,2.7,0,0,0,0,0,0,0,0,372,6.7,18.3,18.7
29,Belle Point Alternative Center,12-Jun,Fort Smith School District,N<10,N<10,N<10,N<10,N<10,73,0.7534,0.3699,0.2192,0.2329,0.18,0.63,1,12,N<10,N<10,N<10,N<10,N<10,N<10,0,SEBASTIAN,6601005,6601000,Arkansas,35.3729158,-94.4172264,1501 Dodson Avenue,72901,Sebastian County,Fort Smith,5131,"1501 Dodson Avenue, Fort Smith, Arkansas, 72901",800,5131000800,2023,800,Sebastian County,Arkansas,617,89,190,313,25,2599,64,384,769,756,129,272,225,14.4,30.8,50.7,4.1,2.5,14.8,29.6,29.1,5,10.5,8.7,1862,34333,55139,4201,941,22.4,3260,77.6,2398,57.1,378,9,13,0.3,62,1.5,0,0,0,0,409,9.7,,
30,Benton High School,12-Oct,Benton School District,0.358,0.632,0.449,0.378,0.247,1298,0.3274,0.7157,0.1217,0.0948,0.07,0.28,3,472,405,0.858050847,20,20.2,20.7,20.9,0,SALINE,6302012,6302000,Arkansas,34.5654181,-92.5743607,211 North Border Street,72015,Saline County,Benton,5125,"211 North Border Street, Benton, Arkansas, 72015",10101,5125010101,2023,10101,Saline County,Arkansas,448,74,249,95,30,2655,56,340,982,654,226,291,106,16.5,55.6,21.2,6.7,2.1,12.8,37,24.6,8.5,11,4,1727,53295,61375,3762,237,6.3,3525,93.7,3242,86.2,243,6.5,5,0.1,2,0.1,0,0,0,0,33,0.9,20,20.7
