Unnamed: 0,School Name,Grades,District Name,Math: % Met Readiness Benchmark,English: % Met Readiness Benchmark,Reading: % Met Readiness Benchmark,Science: % Met Readiness Benchmark,% Met Readiness Benchmark in all Four Subjects,School Enrollment,School % FRL,School % White,School % Hispanic,School % Black,School % Other Races,School Overall % Minority,Region,Number of Students in Grade 11, Number of Students in grade 11 that took the ACT, % Students in grade 11 that took the ACT in 2015-16,Average ACT Math Score,Average ACT English Score,Average ACT Reading Score,Average ACT Science Score,Is Open Enrollment Charter,County,School LEA,DLEA,state_name_x,latitude,longitude,address,zip_code,county_name_x,city_name,county_code,Street Address,Tract,unique_id,year,tract_number,county_name_y,state_name_y,Population 18 to 24 years (estimate),"18-24, less than high school graduate (estimate)","18-24, high school graduate or eq. (estimate)","18-24, some college or associate's degree (estimate)","18-24, bachelor's degree or higher",Population 25 years and over (estimate),"25 and over, less than 9th grade (estimate)","25 and over, 9th to 12th grade, no diploma (estimate)","25 and over, high school graduate or eq. (estimate)","25 and over, some college, no degree (estimate)","25 and over, associate's degree (estimate)","25 and over, bachelor's degree (estimate)","25 and over, graduate or professional degree (estimate)","18-24, less than high school graduate (percentage)","18-24, high school graduate or eq. (percentage)","18-24, some college or associate's degree (percentage)","18-24, bachelor's degree or higher (percentage)","25 and over, less than 9th grade (percentage)","25 and over, 9th to 12th grade, no diploma (percentage)","25 and over, high school graduate or eq. (percentage)","25 and over, some college, no degree (percentage)","25 and over, associate's degree (percentage)","25 and over, bachelor's degree (percentage)","25 and over, graduate or professional degree (percentage)",Total number of households,Median household income (dollars),Mean household income (dollars),Total population,Hispanic or Latino (estimate),Hispanic or Latino (percentage),Not Hispanic or Latino (estimate),Not Hispanic or Latino (percentage),White alone (estimate),White alone (percentage),Black or African American alone (estimate),Black or African American alone (percentage),American Indian and Alaska Native alone (estimate),American Indian and Alaska Native alone (percentage),Asian alone (estimate),Asian alone (percentage),Native Hawaiian and Other Pacific Islander alone (estimate),Native Hawaiian and Other Pacific Islander alone (percentage),Some other race alone (estimate),Some other race alone (percentage),Two or more races alone (estimate),Two or more races alone (percentage),Math Scores,RW Scores
69,Crossett High School,12-Sep,Crossett School District,0.032,0.158,0.147,0.063,0.021,483,0.4886,0.5839,0.0393,0.354,0.02,0.42,5,114,95,0.833333333,15.2,13.9,16.2,15.8,0,ASHLEY,201006,201000,Arkansas,33.1074892,-92.027319,,N/A,Ashley County,N/A,5003,,960700,5003960700,2023,960700,Ashley County,Arkansas,74,0,34,40,0,1155,51,96,557,225,76,83,67,0,45.9,54.1,0,4.4,8.3,48.2,19.5,6.6,7.2,5.8,577,54125,82595,1691,58,3.4,1633,96.6,1110,65.6,461,27.3,0,0,3,0.2,50,3,0,0,9,0.5,15.2,16.2
70,Cutter-Morning Star High School,12-Jul,Cutter-Morning Star School District,0.04,0.48,0.3,0.08,0.02,316,0.6899,0.7184,0.1266,0.038,0.12,0.28,3,59,50,0.847457627,16.1,16.5,18.4,17.3,0,GARLAND,2601002,2601000,Arkansas,34.5031471,-92.9905242,2801 Spring Street,71901,Garland County,Hot Springs,5051,"2801 Spring Street, Hot Springs, Arkansas, 71901",11601,5051011601,2023,11601,Garland County,Arkansas,558,39,311,191,17,3251,50,90,812,658,338,810,493,7,55.7,34.2,3,1.5,2.8,25,20.2,10.4,24.9,15.2,1982,70732,94115,4930,560,11.4,4370,88.6,3643,73.9,389,7.9,0,0,112,2.3,0,0,0,0,226,4.6,16.1,18.4
71,Danville High School,12-Sep,Danville School District,0.069,0.414,0.207,0.138,0.069,234,0.7308,0.4402,0.5171,0.0085,0.03,0.56,1,63,58,0.920634921,16.2,16.8,16.8,18.1,0,YELL,7503006,7503000,Arkansas,35.0526252,-93.3912744,201 East 11th Street,72833,Yell County,Danville,5149,"201 East 11th Street, Danville, Arkansas, 72833",952500,5149952500,2023,952500,Yell County,Arkansas,381,92,141,111,37,2852,155,497,1069,684,152,235,60,24.1,37,29.1,9.7,5.4,17.4,37.5,24,5.3,8.2,2.1,1619,47766,56642,4231,1096,25.9,3135,74.1,3018,71.3,49,1.2,25,0.6,0,0,0,0,14,0.3,29,0.7,16.2,16.8
72,Dardanelle High School,12-Sep,Dardanelle School District,0.37,0.741,0.519,0.407,0.185,666,0.6742,0.53,0.4024,0.0285,0.04,0.47,1,179,81,0.452513966,20.6,20.9,21.4,22,0,YELL,7504011,7504000,Arkansas,35.2074294,-93.1571745,2306 Old Highway 7 South,72834,Yell County,Dardanelle,5149,"2306 Old Highway 7 South, Dardanelle, Arkansas, 72834",952301,5149952301,2023,952301,Yell County,Arkansas,342,16,137,78,111,1738,217,282,679,244,84,112,120,4.7,40.1,22.8,32.5,12.5,16.2,39.1,14,4.8,6.4,6.9,1018,48150,60050,2709,911,33.6,1798,66.4,1518,56,182,6.7,22,0.8,5,0.2,0,0,0,0,71,2.6,20.6,21.4
73,Decatur High School,12-Sep,Decatur School District,0.069,0.241,0.207,0.103,RV,175,0.7143,0.4057,0.44,0.0171,0.14,0.59,1,40,29,0.725,15.6,14.6,15.8,16.1,0,BENTON,402009,402000,Arkansas,36.3422712,-94.4696765,,N/A,Benton County,N/A,5007,,21003,5007021003,2023,21003,Benton County,Arkansas,157,42,72,43,0,1830,85,235,811,257,148,225,69,26.8,45.9,27.4,0,4.6,12.8,44.3,14,8.1,12.3,3.8,937,61205,71026,2722,489,18,2233,82,1365,50.1,82,3,50,1.8,83,3,136,5,0,0,517,19,15.6,15.8
74,Deer K-12 School,K-12,Deer/Mt. Judea School District,N<10,N<10,N<10,N<10,N<10,166,0.6807,0.8614,0.0422,0.006,0.09,0.14,1,13,N<10,N<10,N<10,N<10,N<10,N<10,0,NEWTON,5106003,5106000,Arkansas,35.8987234,-93.0375914,,N/A,Newton County,N/A,5101,,180200,5101180200,2023,180200,Newton County,Arkansas,250,0,91,152,7,2680,124,255,1248,553,200,234,66,0,36.4,60.8,2.8,4.6,9.5,46.6,20.6,7.5,8.7,2.5,1552,46270,66989,3488,85,2.4,3403,97.6,3189,91.4,0,0,63,1.8,0,0,0,0,0,0,151,4.3,,
75,DeQueen High School,12-Oct,DeQueen School District,0.091,0.354,0.171,0.109,0.057,522,0.7088,0.2874,0.6341,0.0172,0.06,0.71,4,182,175,0.961538462,16.5,16.3,16.9,17.3,0,SEVIER,6701003,6701000,Arkansas,34.028774,-94.358886,1803 West Coulter Drive,71832,Sevier County,De Queen,5133,"1803 West Coulter Drive, De Queen, Arkansas, 71832",80200,5133080200,2023,80200,Sevier County,Arkansas,326,4,98,201,23,2539,358,236,766,677,146,212,144,1.2,30.1,61.7,7.1,14.1,9.3,30.2,26.7,5.8,8.3,5.7,1359,52292,78760,3867,1150,29.7,2717,70.3,2269,58.7,50,1.3,130,3.4,45,1.2,0,0,40,1,183,4.7,16.5,16.9
76,Dermott High School,12-Jul,Dermott School District,RV,0.231,0.077,RV,RV,144,0.9375,0.0139,0.0278,0.9583,0,0.99,5,15,13,0.866666667,13.3,12.5,13.9,15.4,0,CHICOT,901003,901000,Arkansas,33.5232086,-91.4289779,525 East Speedway Street,71638,Chicot County,Dermott,5017,"525 East Speedway Street, Dermott, Arkansas, 71638",80200,5017080200,2023,80200,Chicot County,Arkansas,152,8,97,47,0,1372,79,161,573,309,28,205,17,5.3,63.8,30.9,0,5.8,11.7,41.8,22.5,2,14.9,1.2,889,25518,43304,2173,1,0,2172,100,494,22.7,1662,76.5,0,0,8,0.4,0,0,0,0,8,0.4,13.3,13.9
77,Des Arc High School,12-Jul,Des Arc School District,0.195,0.488,0.268,0.146,0.073,264,0.697,0.8598,0.0492,0.0795,0.01,0.14,5,44,41,0.931818182,18.4,17.4,18.2,17.3,0,PRAIRIE,5901002,5901000,Arkansas,34.977855,-91.4990196,601 Main Street,72040,Prairie County,Des Arc,5117,"601 Main Street, Des Arc, Arkansas, 72040",460100,5117460100,2023,460100,Prairie County,Arkansas,225,39,67,99,20,2664,193,249,1286,329,258,207,142,17.3,29.8,44,8.9,7.2,9.3,48.3,12.3,9.7,7.8,5.3,1442,39506,68932,3473,116,3.3,3357,96.7,3015,86.8,207,6,0,0,0,0,0,0,0,0,135,3.9,18.4,18.2
78,DeWitt High School,12-Sep,DeWitt School District,0.22,0.439,0.329,0.28,0.134,350,0.5743,0.74,0.0543,0.1514,0.05,0.26,5,101,82,0.811881188,18.1,16.9,19,19.9,0,ARKANSAS,101004,101000,Arkansas,34.2772634,-91.3494126,1614 South Grandview Drive,72042,Arkansas County,DeWitt,5001,"1614 South Grandview Drive, DeWitt, Arkansas, 72042",480600,5001480600,2023,480600,Arkansas County,Arkansas,147,15,72,56,4,1260,52,56,600,237,98,125,92,10.2,49,38.1,2.7,4.1,4.4,47.6,18.8,7.8,9.9,7.3,659,71227,79408,1695,92,5.4,1603,94.6,1534,90.5,42,2.5,0,0,0,0,0,0,0,0,27,1.6,18.1,19
79,Dierks High School,12-Jul,Dierks School District,0.111,0.222,0.278,0.111,0.056,239,0.749,0.8787,0.1046,0.0042,0.01,0.12,4,35,36,1.028571429,16.7,15.1,17.7,18,0,HOWARD,3102002,3102000,Arkansas,34.1190901,-94.0304333,900 Old Highway 70 West,71833,Howard County,Dierks,5061,"900 Old Highway 70 West, Dierks, Arkansas, 71833",950100,5061950100,2023,950100,Howard County,Arkansas,367,67,235,49,16,2688,92,263,1073,481,177,403,199,18.3,64,13.4,4.4,3.4,9.8,39.9,17.9,6.6,15,7.4,1769,32852,60469,3951,6,0.2,3945,99.8,3696,93.5,90,2.3,9,0.2,0,0,0,0,0,0,150,3.8,16.7,17.7
80,Don Tyson School Of Innovation,K-12,Springdale School District,0.259,0.62,0.424,0.349,0.192,2022,0.6053,0.4209,0.4763,0.0173,0.09,0.58,1,285,255,0.894736842,18.7,19.8,20.5,20.3,0,WASHINGTON,7207703,7207000,Arkansas,36.1601029,-94.0845611,2667 Hylton Road,72764,Washington County,Springdale,5143,"2667 Hylton Road, Springdale, Arkansas, 72764",10109,5143010109,2023,10109,Washington County,Arkansas,125,19,63,43,0,2306,67,141,749,279,153,574,343,15.2,50.4,34.4,0,2.9,6.1,32.5,12.1,6.6,24.9,14.9,1217,95704,103988,3223,179,5.6,3044,94.4,2734,84.8,3,0.1,44,1.4,7,0.2,0,0,3,0.1,253,7.8,18.7,20.5
81,Dover High School,12-Sep,Dover School District,0.176,0.509,0.333,0.259,0.13,400,0.475,0.9175,0.025,0.015,0.04,0.08,1,121,108,0.892561983,17.3,18.3,18.3,19.2,0,POPE,5802006,5802000,Arkansas,35.3971901,-93.1164735,101 Pirate Loop,72837,Pope County,Dover,5115,"101 Pirate Loop, Dover, Arkansas, 72837",950902,5115950902,2023,950902,Pope County,Arkansas,126,15,59,47,5,2926,134,317,975,762,295,364,79,11.9,46.8,37.3,4,4.6,10.8,33.3,26,10.1,12.4,2.7,1661,43125,68580,4073,267,6.6,3806,93.4,3517,86.3,69,1.7,9,0.2,0,0,0,0,0,0,211,5.2,17.3,18.3
82,Drew Central High School,12-Sep,Drew Central School District,0.062,0.246,0.185,0.138,0.031,326,0.6472,0.681,0.0552,0.2209,0.04,0.32,5,69,65,0.942028986,16.4,15.2,17,17.3,0,DREW,2202005,2202000,Arkansas,33.5912894,-91.807627,250 University Drive,71655,Drew County,Monticello,5043,"250 University Drive, Monticello, Arkansas, 71655",490300,5043490300,2023,490300,Drew County,Arkansas,1380,139,224,848,169,3287,45,212,1207,421,191,753,458,10.1,16.2,61.4,12.2,1.4,6.4,36.7,12.8,5.8,22.9,13.9,2237,29756,63607,5632,39,0.7,5593,99.3,4037,71.7,1365,24.2,0,0,121,2.1,0,0,0,0,70,1.2,16.4,17
83,Driven Virtual Academy,K-12,Pulaski County Special School District,0.133,0.333,0.2,0.133,0.133,218,0.3991,0.4083,0.0826,0.422,0.09,0.59,3,23,15,0.652173913,16.1,16,17.5,17.9,0,PULASKI,6003703,6003000,Arkansas,34.7429985,-92.279519,717 West 7th Street,72201,Pulaski County,Little Rock,5119,"717 West 7th Street, Little Rock, Arkansas, 72201",4500,5119004500,2023,4500,Pulaski County,Arkansas,580,30,44,492,14,1217,37,88,422,338,39,209,84,5.2,7.6,84.8,2.4,3,7.2,34.7,27.8,3.2,17.2,6.9,748,36154,51933,2118,37,1.7,2081,98.3,240,11.3,1740,82.2,9,0.4,38,1.8,0,0,0,0,54,2.5,16.1,17.5
84,Dumas High School,12-Sep,Dumas School District,0.081,0.177,0.032,0.032,RV,310,0.7419,0.129,0.1613,0.6742,0.04,0.87,5,69,62,0.898550725,15.1,13.3,14.9,15.6,0,DESHA,2104021,2104000,Arkansas,33.8772133,-91.4701812,709 Dan Gill Drive,71639,Desha County,Dumas,5041,"709 Dan Gill Drive, Dumas, Arkansas, 71639",950200,5041950200,2023,950200,Desha County,Arkansas,264,25,167,66,6,2481,209,305,929,647,78,183,130,9.5,63.3,25,2.3,8.4,12.3,37.4,26.1,3.1,7.4,5.2,1546,36707,47586,3808,390,10.2,3418,89.8,1410,37,1983,52.1,10,0.3,0,0,7,0.2,0,0,8,0.2,15.1,14.9
85,Earle High School,12-Jul,Earle School District,0.042,0.083,0.042,0.042,RV,186,0.9409,0.0108,0.0108,0.9355,0.04,0.99,2,28,24,0.857142857,13.5,11.7,13.4,16.3,0,CRITTENDEN,1802007,1802000,Arkansas,35.2770661,-90.4487883,16432 U.S. 64,72331,Crittenden County,Earle,5035,"16432 U.S. 64, Earle, Arkansas, 72331",31100,5035031100,2023,31100,Crittenden County,Arkansas,176,45,67,64,0,1007,101,199,442,121,26,105,13,25.6,38.1,36.4,0,10,19.8,43.9,12,2.6,10.4,1.3,632,31204,49153,1610,20,1.2,1590,98.8,224,13.9,1141,70.9,0,0,0,0,0,0,0,0,225,14,13.5,13.4
86,East Poinsett Co. High School,12-Jul,East Poinsett Co. School District,0.086,0.343,0.257,0.114,0.057,274,0.7737,0.7117,0.0803,0.146,0.06,0.29,2,35,35,1,16.3,16.6,18,17,0,POINSETT,5608037,5608000,Arkansas,35.6083508,-90.3404851,616 McClellan Avenue,72354,Poinsett County,Lepanto,5111,"616 McClellan Avenue, Lepanto, Arkansas, 72354",490100,5111490100,2023,490100,Poinsett County,Arkansas,365,104,59,145,57,2670,196,271,1160,478,140,354,71,28.5,16.2,39.7,15.6,7.3,10.1,43.4,17.9,5.2,13.3,2.7,1450,47069,75600,3798,197,5.2,3601,94.8,3023,79.6,241,6.3,35,0.9,0,0,4,0.1,0,0,298,7.8,16.3,18
87,El Dorado High School,12-Sep,El Dorado School District,0.168,0.414,0.271,0.232,0.111,1220,0.582,0.3582,0.118,0.459,0.06,0.64,4,328,280,0.853658537,17.1,17.1,18.2,18.8,0,UNION,7001012,7001000,Arkansas,33.1998926,-92.6937606,2000 Wildcat Drive,71730,Union County,El Dorado,5139,"2000 Wildcat Drive, El Dorado, Arkansas, 71730",950900,5139950900,2023,950900,Union County,Arkansas,116,29,72,15,0,1554,37,287,710,335,75,99,11,25,62.1,12.9,0,2.4,18.5,45.7,21.6,4.8,6.4,0.7,881,29876,40594,2298,4,0.2,2294,99.8,512,22.3,1734,75.5,0,0,0,0,0,0,0,0,48,2.1,17.1,18.2
88,Elkins High School,12-Sep,Elkins School District,0.155,0.451,0.324,0.239,0.099,435,0.3862,0.8184,0.069,0.0184,0.09,0.18,1,107,71,0.663551402,17.4,17,19.1,19.2,0,WASHINGTON,7201002,7201000,Arkansas,36.0042193,-94.014391,259 Carrigan Road,72727,Washington County,Elkins,5143,"259 Carrigan Road, Elkins, Arkansas, 72727",11106,5143011106,2023,11106,Washington County,Arkansas,361,45,101,207,8,2504,130,102,944,494,341,369,124,12.5,28,57.3,2.2,5.2,4.1,37.7,19.7,13.6,14.7,5,1302,95208,97503,3893,602,15.5,3291,84.5,2820,72.4,5,0.1,17,0.4,21,0.5,0,0,57,1.5,371,9.5,17.4,19.1
89,Emerson High School,12-Jul,Emerson-Taylor-Bradley School District,0.038,0.423,0.231,0.038,0.038,149,0.5034,0.6577,0.0537,0.2483,0.04,0.34,4,28,26,0.928571429,16.2,16.5,18.2,18,0,COLUMBIA,1408002,1408000,Arkansas,33.0979316,-93.1976136,212 Grayson Street,71740,Columbia County,Emerson,5027,"212 Grayson Street, Emerson, Arkansas, 71740",950100,5027950100,2023,950100,Columbia County,Arkansas,328,22,85,118,103,2721,106,202,1114,516,156,450,177,6.7,25.9,36,31.4,3.9,7.4,40.9,19,5.7,16.5,6.5,1494,65720,94086,4349,102,2.3,4247,97.7,3257,74.9,843,19.4,28,0.6,56,1.3,0,0,0,0,63,1.4,16.2,18.2
90,England High School,12-Jul,England School District,0.156,0.281,0.219,0.125,0.063,279,0.7455,0.491,0.0789,0.362,0.07,0.51,3,40,32,0.8,16.5,15.3,15.5,17.2,0,LONOKE,4302018,4302000,Arkansas,34.5426933,-91.9543822,501 Pine Bluff Highway,72046,Lonoke County,England,5085,"501 Pine Bluff Highway, England, Arkansas, 72046",20700,5085020700,2023,20700,Lonoke County,Arkansas,100,0,48,41,11,1869,85,94,739,509,60,254,128,0,48,41,11,4.5,5,39.5,27.2,3.2,13.6,6.8,1133,48324,66294,2640,116,4.4,2524,95.6,1831,69.4,565,21.4,8,0.3,0,0,0,0,0,0,120,4.5,16.5,15.5
91,ESTEM High School,12-Oct,ESTEM Public Charter School,0.191,0.472,0.287,0.253,0.157,561,0.574,0.1872,0.1123,0.6328,0.07,0.81,3,191,178,0.931937173,17.9,18.1,18.8,19.5,1,PULASKI,6047703,6047700,Arkansas,35.20105,-91.8318334,,N/A,White County,N/A,5145,,71001,5145071001,2023,71001,White County,Arkansas,54,9,28,8,9,2464,74,139,1087,377,183,451,153,16.7,51.9,14.8,16.7,3,5.6,44.1,15.3,7.4,18.3,6.2,1352,58339,83939,3098,93,3,3005,97,2779,89.7,75,2.4,14,0.5,0,0,0,0,0,0,137,4.4,17.9,18.8
92,Eureka Springs High School,12-Sep,Eureka Springs School District,0.38,0.64,0.48,0.3,0.24,220,0.5955,0.8636,0.1,0.0182,0.02,0.14,1,56,50,0.892857143,19.8,20,21.6,21,0,CARROLL,802007,802000,Arkansas,36.3812141,-93.7346801,2 Lake Lucerne Road,72632,Carroll County,Eureka Springs,5015,"2 Lake Lucerne Road, Eureka Springs, Arkansas, 72632",950100,5015950100,2023,950100,Carroll County,Arkansas,132,15,52,61,4,2349,19,100,607,743,207,448,225,11.4,39.4,46.2,3,0.8,4.3,25.8,31.6,8.8,19.1,9.6,1372,45000,66141,2954,125,4.2,2829,95.8,2600,88,7,0.2,43,1.5,0,0,0,0,18,0.6,161,5.5,19.8,21.6
93,Farmington High School,12-Oct,Farmington School District,0.133,0.474,0.372,0.24,0.107,679,0.2842,0.7703,0.1075,0.0295,0.09,0.23,1,226,196,0.867256637,17.4,17.8,20.1,19.1,0,WASHINGTON,7202012,7202000,Arkansas,36.026242,-94.24674,12327 Arkansas 170,72730,Washington County,Farmington,5143,"12327 Arkansas 170, Farmington, Arkansas, 72730",11006,5143011006,2023,11006,Washington County,Arkansas,353,67,162,99,25,4243,45,128,1268,954,315,950,583,19,45.9,28,7.1,1.1,3,29.9,22.5,7.4,22.4,13.7,2356,81932,95377,6304,69,1.1,6235,98.9,5316,84.3,256,4.1,36,0.6,63,1,0,0,42,0.7,522,8.3,17.4,20.1
94,Fayetteville High School,12-Sep,Fayetteville School District,0.349,0.623,0.508,0.39,0.281,2599,0.3009,0.6199,0.1447,0.1089,0.13,0.38,1,617,533,0.863857374,19.7,20.5,22.3,20.9,0,WASHINGTON,7203020,7203000,Arkansas,36.0578962,-94.1741336,994 Martin Luther King Junior Boulevard,72701,Washington County,Fayetteville,5143,"994 Martin Luther King Junior Boulevard, Fayetteville, Arkansas, 72701",11301,5143011301,2023,11301,Washington County,Arkansas,6472,16,481,5855,120,368,0,8,91,71,0,150,48,0.2,7.4,90.5,1.9,0,2.2,24.7,19.3,0,40.8,13,791,28594,50868,6893,248,3.6,6645,96.4,5043,73.2,642,9.3,108,1.6,413,6,0,0,6,0.1,433,6.3,19.7,22.3
95,Fayetteville Virtual Academy A District Conversion Charter School,K-12,Fayetteville School District,0.333,0.6,0.533,0.467,0.333,129,0.093,0.876,0.0233,0.0465,0.05,0.12,1,20,15,0.75,18.6,21.1,24.7,21.5,0,WASHINGTON,7203703,7203000,Arkansas,36.0579721,-94.1327105,300 South Ray Avenue,72701,Washington County,Fayetteville,5143,"300 South Ray Avenue, Fayetteville, Arkansas, 72701",10110,5143010110,2023,10110,Washington County,Arkansas,606,55,320,144,87,3042,138,62,488,483,213,869,789,9.1,52.8,23.8,14.4,4.5,2,16,15.9,7,28.6,25.9,2123,59672,109209,4829,281,5.8,4548,94.2,3988,82.6,232,4.8,0,0,159,3.3,90,1.9,0,0,79,1.6,18.6,24.7
96,Flippin High School,12-Sep,Flippin School District,0.174,0.406,0.29,0.217,0.101,242,0.6901,0.905,0.0289,0.0083,0.06,0.1,1,74,69,0.932432432,17,16.9,17.9,18.4,0,MARION,4501002,4501000,Arkansas,36.2800767,-92.5998122,103 Alford Street,72634,Marion County,Flippin,5089,"103 Alford Street, Flippin, Arkansas, 72634",960202,5089960202,2023,960202,Marion County,Arkansas,196,45,67,63,21,2731,206,199,1022,540,227,309,228,23,34.2,32.1,10.7,7.5,7.3,37.4,19.8,8.3,11.3,8.3,1539,52188,61025,3732,129,3.5,3603,96.5,3397,91,12,0.3,11,0.3,35,0.9,0,0,0,0,148,4,17,17.9
97,Fordyce High School,12-Jul,Fordyce School District,0.02,0.196,0.059,0.059,RV,354,0.4548,0.3729,0.0452,0.5678,0.01,0.63,4,57,51,0.894736842,15.3,14,15.6,15.7,0,DALLAS,2002007,2002000,Arkansas,33.8194791,-92.4339971,100 Redbug Blvd,71742,Dallas County,Fordyce,5039,"100 Redbug Blvd, Fordyce, Arkansas, 71742",970300,5039970300,2023,970300,Dallas County,Arkansas,309,40,235,18,16,2300,53,203,1067,561,213,161,42,12.9,76.1,5.8,5.2,2.3,8.8,46.4,24.4,9.3,7,1.8,1274,43542,52907,3540,67,1.9,3473,98.1,1100,31.1,2256,63.7,0,0,0,0,0,0,0,0,117,3.3,15.3,15.6
98,Foreman High School,12-Jul,Foreman School District,0.091,0.227,0.182,0.091,0.091,221,0.6787,0.7511,0.095,0.1041,0.05,0.25,4,28,22,0.785714286,16.2,14.5,15.9,15.9,0,LITTLE RIVER,4102010,4102000,Arkansas,33.7126516,-94.3927703,603 East Dollarhide Avenue,71836,Little River County,Foreman,5081,"603 East Dollarhide Avenue, Foreman, Arkansas, 71836",30200,5081030200,2023,30200,Little River County,Arkansas,191,0,97,94,0,1748,42,88,746,515,130,159,68,0,50.8,49.2,0,2.4,5,42.7,29.5,7.4,9.1,3.9,964,52727,67317,2463,181,7.3,2282,92.7,1488,60.4,669,27.2,23,0.9,0,0,0,0,0,0,102,4.1,16.2,15.9
99,Forrest City High School,12-Sep,Forrest City School District,0.015,0.112,0.045,0.03,0.015,568,0.7324,0.0352,0.0176,0.9366,0.01,0.96,2,163,134,0.82208589,14.6,12.3,13.7,14.9,0,ST FRANCIS,6201011,6201000,Arkansas,35.0203693,-90.7946678,467 Victoria Avenue,72335,St. Francis County,Forrest City,5123,"467 Victoria Avenue, Forrest City, Arkansas, 72335",960400,5123960400,2023,960400,St. Francis County,Arkansas,483,296,89,98,0,2435,78,366,887,795,178,123,8,61.3,18.4,20.3,0,3.2,15,36.4,32.6,7.3,5.1,0.3,1516,28568,60170,4348,0,0,4348,100,342,7.9,3977,91.5,0,0,0,0,0,0,0,0,29,0.7,14.6,13.7
100,Fort Smith Virtual Academy,K-12,Fort Smith School District,N<10,N<10,N<10,N<10,N<10,133,0.7068,0.4511,0.218,0.0827,0.25,0.55,1,15,N<10,N<10,N<10,N<10,N<10,N<10,0,SEBASTIAN,6601703,6601000,Arkansas,35.3334387,-94.3770704,,N/A,Sebastian County,N/A,5131,,1102,5131001102,2023,1102,Sebastian County,Arkansas,432,106,194,110,22,2249,78,69,549,702,216,398,237,24.5,44.9,25.5,5.1,3.5,3.1,24.4,31.2,9.6,17.7,10.5,1457,62339,79714,3493,485,13.9,3008,86.1,1918,54.9,622,17.8,21,0.6,89,2.5,0,0,0,0,358,10.2,,
101,Fouke High School,12-Sep,Fouke School District,0.05,0.386,0.158,0.079,0.04,335,0.6119,0.9642,0.0179,0.003,0.01,0.04,4,100,101,1.01,16.5,16.5,17.6,17.3,0,MILLER,4603010,4603000,Arkansas,33.2643567,-93.8826373,403 Panther Dr,71837,Miller County,Fouke,5091,"403 Panther Dr, Fouke, Arkansas, 71837",21002,5091021002,2023,21002,Miller County,Arkansas,378,33,212,100,33,2763,160,259,1056,578,299,240,171,8.7,56.1,26.5,8.7,5.8,9.4,38.2,20.9,10.8,8.7,6.2,1475,71163,82759,4360,363,8.3,3997,91.7,3891,89.2,23,0.5,71,1.6,0,0,0,0,0,0,12,0.3,16.5,17.6
102,Fountain Lake Charter High School,12-Sep,Fountain Lake School District,0.233,0.534,0.26,0.288,0.11,359,0.4067,0.8357,0.0891,0.0139,0.06,0.16,3,83,73,0.879518072,18.7,18.1,18.6,19.9,0,GARLAND,2602703,2602000,Arkansas,34.605212,-92.9775558,,N/A,Garland County,N/A,5051,,10401,5051010401,2023,10401,Garland County,Arkansas,193,49,95,46,3,3215,28,158,1071,829,190,569,370,25.4,49.2,23.8,1.6,0.9,4.9,33.3,25.8,5.9,17.7,11.5,1889,64866,82283,3980,35,0.9,3945,99.1,3795,95.4,13,0.3,9,0.2,39,1,0,0,31,0.8,58,1.5,18.7,18.6
103,Future School Of Fort Smith,12-Sep,Future School Of Fort Smith,0.017,0.283,0.167,0.05,RV,219,0.726,0.5388,0.1963,0.1324,0.13,0.46,1,67,60,0.895522388,14.5,15.2,15.7,15.6,1,SEBASTIAN,6640703,6640700,Arkansas,35.3914905,-94.4193372,622 North 7th Street,72901,Sebastian County,Fort Smith,5131,"622 North 7th Street, Fort Smith, Arkansas, 72901",300,5131000300,2023,300,Sebastian County,Arkansas,154,13,66,61,14,1615,297,154,509,350,25,185,95,8.4,42.9,39.6,9.1,18.4,9.5,31.5,21.7,1.5,11.5,5.9,877,42201,52273,2416,1114,46.1,1302,53.9,658,27.2,261,10.8,17,0.7,30,1.2,0,0,16,0.7,320,13.2,14.5,15.7
104,Genoa Central High School,12-Oct,Genoa Central School District,0.268,0.392,0.247,0.206,0.124,263,0.27,0.9582,0.0152,0.0038,0.02,0.04,4,108,97,0.898148148,19.1,16.8,18.6,18.8,0,MILLER,4602006,4602000,Arkansas,33.3736527,-93.8743089,12472 Arkansas 196,71854,Miller County,Texarkana,5091,"12472 Arkansas 196, Texarkana, Arkansas, 71854",20902,5091020902,2023,20902,Miller County,Arkansas,563,4,406,35,118,4021,94,152,1796,1006,329,303,341,0.7,72.1,6.2,21,2.3,3.8,44.7,25,8.2,7.5,8.5,2238,56635,73107,6160,109,1.8,6051,98.2,5626,91.3,175,2.8,36,0.6,139,2.3,0,0,0,0,75,1.2,19.1,18.6
105,Gentry High School,12-Sep,Gentry School District,0.162,0.486,0.311,0.311,0.108,538,0.5204,0.6115,0.2063,0.0037,0.18,0.39,1,119,74,0.621848739,17.5,17.8,19.2,19.7,0,BENTON,403017,403000,Arkansas,36.2575301,-94.4947558,1155 Pioneer Lane,72734,Benton County,Gentry,5007,"1155 Pioneer Lane, Gentry, Arkansas, 72734",21004,5007021004,2023,21004,Benton County,Arkansas,541,83,207,194,57,2696,159,161,853,709,174,553,87,15.3,38.3,35.9,10.5,5.9,6,31.6,26.3,6.5,20.5,3.2,1454,73146,84024,3995,810,20.3,3185,79.7,2748,68.8,0,0,65,1.6,93,2.3,0,0,0,0,279,7,17.5,19.2
