tract_number,tract_county,tract_state,Hispanic or Latino (of any race) (percentage),Not Hispanic or Latino (percentage),White alone (percentage),Black or African American alone (percentage),American Indian and Alaska Native alone (percentage),Asian alone (percentage),Native Hawaiian and Other Pacific Islander alone (percentage),Some Other Race alone (percentage),Two or More Races alone (percentage),Total population,Hispanic or Latino (of any race),Not Hispanic or Latino,White alone,Black or African American alone,American Indian and Alaska Native alone,Asian alone,Native Hawaiian and Other Pacific Islander alone,Some Other Race alone,Two or More Races alone,"18-24, less than high school graduate (percentage)","18-24, high school graduate (includes equivalency) (percentage)","18-24, some college or associate's degree (percentage)","18-24, bachelor's degree or higher (percentage)","25 and over, less than 9th grade (percentage)","25 and over, 9th to 12th grade, no diploma (percentage)","25 and over, high school graduate (includes equivalency) (percentage)","25 and over, some college, no degree (percentage)","25 and over, associate's degree (percentage)","25 and over, bachelor's degree (percentage)","25 and over, graduate or professional degree (percentage)",Population 18 to 24 years,"18-24, less than high school graduate","18-24, high school graduate (includes equivalency)","18-24, some college or associate's degree","18-24, bachelor's degree or higher",Population 25 years and over,"25 and over, less than 9th grade","25 and over, 9th to 12th grade, no diploma","25 and over, high school graduate (includes equivalency)","25 and over, some college, no degree","25 and over, associate's degree","25 and over, bachelor's degree","25 and over, graduate or professional degree",total_households,Median income (dollars),Mean income (dollars)
202.01,Benton County,Arkansas,42.7%,57.3%,45.2%,0.4%,1.0%,0.6%,0.0%,0.0%,10.1%,4964.0,2122,2842,2242,18,51,31,0,1,499,10.8%,67.2%,17.4%,4.6%,15.2%,7.9%,27.2%,25.9%,7.5%,8.9%,7.5%,649,70,436,113,30,3051,463,240,829,789,229,273,228,"1,548","78,929","108,193"
202.03,Benton County,Arkansas,34.4%,65.6%,59.6%,0.0%,0.2%,0.0%,0.0%,0.4%,5.4%,2850.0,980,1870,1700,0,7,0,0,10,153,0.0%,8.4%,67.6%,24.0%,9.9%,2.8%,24.8%,11.0%,13.4%,29.2%,8.8%,262,0,22,177,63,2036,202,58,505,223,273,595,180,"1,147","79,358","106,675"
202.05,Benton County,Arkansas,56.8%,43.2%,31.0%,0.0%,0.5%,0.0%,0.0%,1.0%,10.7%,5932.0,3368,2564,1840,0,32,0,0,59,633,13.8%,58.6%,21.1%,6.5%,16.8%,12.0%,40.1%,13.4%,8.3%,5.8%,3.7%,705,97,413,149,46,3512,591,421,1407,469,290,204,130,"1,824","62,253","89,863"
202.06,Benton County,Arkansas,53.7%,46.3%,27.0%,0.5%,0.0%,1.8%,4.2%,2.8%,10.0%,8407.0,4517,3890,2269,42,0,150,351,234,844,10.9%,46.6%,33.0%,9.5%,19.7%,13.5%,32.9%,10.4%,5.0%,15.6%,2.8%,624,68,291,206,59,4684,924,634,1542,486,234,732,132,"2,360","79,390","81,726"
203.01,Benton County,Arkansas,37.0%,63.0%,45.1%,2.8%,0.0%,0.3%,0.8%,0.0%,14.0%,4103.0,1519,2584,1852,114,0,12,31,0,575,39.5%,43.1%,17.4%,0.0%,6.2%,9.5%,44.8%,24.4%,7.8%,5.6%,1.8%,413,163,178,72,0,2713,169,257,1216,661,211,151,48,"1,850","37,981","48,086"
203.02,Benton County,Arkansas,39.3%,60.7%,32.1%,2.2%,0.7%,7.0%,3.1%,0.0%,15.7%,4063.0,1598,2465,1303,88,30,283,124,0,637,25.0%,24.6%,41.7%,8.7%,6.6%,6.2%,48.1%,18.5%,5.7%,10.3%,4.6%,472,118,116,197,41,2574,169,159,1239,475,148,265,119,"1,444","80,900","106,545"
203.04,Benton County,Arkansas,29.6%,70.4%,59.7%,2.2%,0.4%,0.8%,0.0%,0.3%,7.2%,4397.0,1300,3097,2624,96,17,34,0,11,315,26.2%,52.6%,16.4%,4.7%,3.0%,8.0%,30.6%,17.4%,6.8%,22.6%,11.6%,572,150,301,94,27,2855,85,228,873,496,195,646,332,"1,841","65,874","90,112"
203.05,Benton County,Arkansas,35.3%,64.7%,50.1%,1.7%,0.0%,1.5%,2.9%,1.0%,7.6%,3696.0,1305,2391,1850,63,0,54,106,36,282,3.9%,54.3%,41.9%,0.0%,3.0%,9.4%,31.1%,20.0%,8.6%,19.6%,8.2%,129,5,70,54,0,2704,82,254,841,542,232,531,222,"1,457","89,063","96,320"
204.01,Benton County,Arkansas,19.0%,81.0%,59.6%,1.0%,0.5%,1.3%,0.0%,0.6%,18.0%,7005.0,1329,5676,4177,69,35,93,0,42,1260,3.7%,55.9%,37.4%,3.0%,3.1%,4.8%,35.1%,18.4%,6.9%,23.3%,8.5%,562,21,314,210,17,4776,146,228,1677,877,331,1112,405,"2,668","69,943","86,285"
204.02,Benton County,Arkansas,46.1%,53.9%,32.2%,0.6%,0.6%,0.0%,0.0%,0.0%,20.5%,6559.0,3023,3536,2110,41,38,0,0,0,1347,8.5%,46.3%,40.1%,5.1%,10.4%,4.1%,41.9%,17.4%,4.6%,16.6%,5.1%,691,59,320,277,35,4524,471,185,1895,785,208,749,231,"1,986","73,841","89,848"
204.04,Benton County,Arkansas,36.7%,63.3%,47.7%,0.8%,0.0%,0.0%,0.0%,0.0%,14.8%,4890.0,1795,3095,2332,37,0,0,0,0,726,11.5%,28.9%,42.7%,16.9%,11.2%,10.5%,37.4%,16.7%,4.0%,14.2%,6.0%,620,71,179,265,105,2731,305,286,1021,457,110,388,164,"1,651","65,173","86,627"
204.05,Benton County,Arkansas,14.0%,86.0%,66.4%,0.2%,0.5%,13.7%,0.0%,0.0%,5.3%,5406.0,756,4650,3588,11,26,740,0,0,285,1.8%,5.9%,56.8%,35.5%,0.5%,2.2%,18.5%,14.4%,8.6%,32.6%,23.2%,609,11,36,346,216,3712,20,82,688,533,319,1209,861,"2,330","100,429","121,044"
205.01,Benton County,Arkansas,4.7%,95.3%,78.5%,1.0%,0.7%,4.2%,0.0%,0.1%,10.9%,5539.0,260,5279,4350,53,40,231,0,4,601,19.6%,29.4%,36.7%,14.3%,3.0%,0.2%,16.4%,16.8%,8.8%,31.8%,22.9%,490,96,144,180,70,3520,106,8,579,593,309,1119,806,"2,327","89,284","168,884"
205.03,Benton County,Arkansas,20.8%,79.2%,40.6%,2.2%,0.2%,19.2%,5.1%,0.5%,11.3%,4329.0,901,3428,1758,97,7,833,220,23,490,27.7%,37.1%,20.3%,14.9%,7.9%,2.5%,21.1%,18.7%,6.3%,27.1%,16.4%,469,130,174,95,70,2744,218,68,578,514,172,744,450,"1,936","61,684","76,147"
205.04,Benton County,Arkansas,11.1%,88.9%,67.1%,0.9%,0.8%,8.5%,0.0%,0.0%,11.7%,2630.0,291,2339,1765,23,21,223,0,0,307,0.0%,46.4%,32.1%,21.4%,3.8%,7.2%,26.2%,23.6%,8.5%,13.4%,17.4%,84,0,39,27,18,1952,74,140,512,461,165,261,339,"1,300","61,594","92,000"
206.04,Benton County,Arkansas,10.2%,89.8%,58.1%,4.2%,0.6%,4.7%,0.2%,1.1%,20.9%,5260.0,538,4722,3055,219,30,246,12,59,1101,6.9%,55.3%,14.0%,23.8%,1.8%,7.5%,27.0%,14.4%,4.1%,28.8%,16.5%,407,28,225,57,97,3481,62,260,940,501,143,1002,573,"1,818","95,552","136,909"
206.05,Benton County,Arkansas,5.1%,94.9%,70.0%,2.5%,0.1%,4.6%,0.0%,0.6%,17.1%,3807.0,195,3612,2664,95,3,176,0,24,650,6.4%,64.0%,22.0%,7.6%,3.7%,2.1%,21.9%,20.4%,5.8%,25.1%,20.9%,236,15,151,52,18,2520,92,53,553,515,147,633,527,"1,493","98,512","119,474"
206.06,Benton County,Arkansas,8.0%,92.0%,70.7%,3.3%,0.9%,0.9%,0.0%,0.0%,16.3%,5034.0,401,4633,3559,165,44,46,0,0,819,21.5%,17.9%,46.7%,13.8%,0.1%,1.7%,10.5%,19.5%,12.3%,39.6%,16.3%,441,95,79,206,61,2977,4,52,313,580,366,1178,484,"1,567","173,355","199,242"
206.07,Benton County,Arkansas,7.0%,93.0%,49.6%,2.1%,0.0%,30.7%,0.0%,0.0%,10.6%,10956.0,764,10192,5432,235,0,3364,0,0,1161,0.5%,40.5%,17.2%,41.9%,0.6%,2.2%,10.3%,11.4%,3.8%,34.1%,37.5%,927,5,375,159,388,7022,43,156,725,804,267,2396,2631,"4,706","108,021","124,143"
206.08,Benton County,Arkansas,18.7%,81.3%,42.7%,3.4%,0.0%,12.8%,0.0%,0.5%,21.9%,4116.0,769,3347,1756,142,0,526,0,22,901,8.3%,58.7%,33.0%,0.0%,0.0%,0.9%,33.8%,14.6%,8.9%,25.7%,16.1%,557,46,327,184,0,2124,0,20,717,310,188,546,343,"1,466","108,134","121,750"
207.01,Benton County,Arkansas,5.2%,94.8%,87.5%,0.0%,0.4%,0.0%,0.0%,0.0%,7.0%,6675.0,347,6328,5839,0,25,0,0,0,464,10.6%,36.1%,36.3%,16.9%,0.5%,4.1%,32.1%,24.2%,9.0%,19.4%,10.8%,490,52,177,178,83,4547,22,185,1460,1101,409,881,489,"2,377","93,132","122,647"
207.03,Benton County,Arkansas,3.0%,97.0%,82.4%,0.0%,0.3%,1.7%,0.0%,0.4%,12.1%,5223.0,157,5066,4305,0,15,91,0,23,632,11.9%,62.8%,25.2%,0.0%,2.8%,0.2%,17.9%,23.8%,9.0%,27.6%,18.7%,218,26,137,55,0,3905,109,9,698,929,353,1078,729,"2,059","113,966","131,924"
207.04,Benton County,Arkansas,8.7%,91.3%,77.5%,0.5%,0.1%,0.9%,0.0%,0.5%,11.8%,4548.0,397,4151,3526,22,3,43,0,21,536,9.7%,52.8%,28.4%,9.1%,1.0%,2.2%,21.7%,24.0%,6.1%,32.5%,12.5%,341,33,180,97,31,3188,32,70,693,766,195,1035,397,"1,776","97,073","140,966"
208.01,Benton County,Arkansas,2.2%,97.8%,94.3%,0.0%,0.4%,0.0%,0.0%,0.0%,3.1%,4211.0,92,4119,3971,0,16,0,0,0,132,0.0%,0.0%,0.0%,100.0%,0.2%,3.9%,24.6%,28.5%,8.9%,24.8%,9.1%,48,0,0,0,48,3894,8,151,959,1108,347,965,356,"2,147","84,669","100,839"
208.03,Benton County,Arkansas,6.1%,93.9%,82.5%,0.8%,1.5%,0.7%,0.0%,0.0%,8.5%,5083.0,309,4774,4194,40,76,34,0,0,430,0.0%,39.3%,32.8%,27.9%,0.7%,3.5%,29.4%,19.1%,11.6%,28.1%,7.7%,122,0,48,40,34,4238,28,148,1244,808,492,1192,326,"2,209","81,397","182,836"
208.05,Benton County,Arkansas,7.1%,92.9%,68.8%,5.0%,0.0%,2.9%,0.0%,0.5%,15.8%,4874.0,345,4529,3353,243,0,142,0,23,768,19.2%,21.2%,59.6%,0.0%,0.0%,0.4%,19.2%,23.6%,10.8%,29.9%,16.0%,411,79,87,245,0,3570,0,15,685,844,387,1067,572,"2,023","91,675","128,034"
208.06,Benton County,Arkansas,7.2%,92.8%,83.0%,1.1%,1.3%,3.0%,0.0%,0.0%,4.4%,7045.0,504,6541,5848,79,89,212,0,0,313,0.0%,72.4%,19.0%,8.6%,1.2%,5.9%,23.4%,17.1%,6.4%,28.2%,17.8%,326,0,236,62,28,5042,61,296,1179,862,325,1420,899,"2,578","89,947","223,084"
209.03,Benton County,Arkansas,12.5%,87.5%,58.4%,4.6%,0.0%,13.0%,0.0%,0.0%,11.5%,5435.0,680,4755,3173,251,0,707,0,0,624,16.6%,19.8%,63.6%,0.0%,2.2%,0.9%,26.2%,22.4%,8.6%,22.8%,16.9%,429,71,85,273,0,3581,78,31,938,803,308,818,605,"1,953","98,979","119,938"
209.04,Benton County,Arkansas,10.5%,89.5%,52.6%,11.7%,0.0%,4.6%,0.0%,0.0%,20.6%,8009.0,839,7170,4215,941,0,368,0,0,1646,8.6%,33.5%,57.8%,0.0%,0.6%,3.8%,19.8%,27.1%,7.1%,29.1%,12.5%,474,41,159,274,0,4934,30,187,977,1336,349,1436,619,"2,569","114,993","142,364"
209.05,Benton County,Arkansas,2.6%,97.4%,75.9%,0.4%,1.4%,0.0%,0.0%,0.0%,19.7%,3228.0,85,3143,2450,12,46,0,0,0,635,53.4%,3.4%,43.3%,0.0%,2.1%,4.8%,42.5%,14.2%,4.2%,17.8%,14.5%,326,174,11,141,0,2089,43,100,888,296,88,372,302,"1,138","73,102","111,332"
209.06,Benton County,Arkansas,14.0%,86.0%,67.4%,1.1%,0.6%,3.7%,0.0%,0.0%,13.2%,6121.0,858,5263,4123,70,34,228,0,0,808,8.2%,40.2%,51.6%,0.0%,1.1%,3.6%,25.2%,26.7%,7.3%,26.6%,9.6%,498,41,200,257,0,3757,40,136,946,1002,274,999,360,"2,129","94,803","115,043"
210.01,Benton County,Arkansas,1.7%,98.3%,76.1%,1.1%,0.2%,6.2%,0.0%,0.3%,14.5%,5813.0,100,5713,4425,62,9,360,0,15,842,50.5%,15.9%,33.7%,0.0%,6.4%,12.7%,46.9%,11.6%,8.3%,9.7%,4.4%,630,318,100,212,0,3548,226,452,1663,410,295,345,157,"1,817","59,417","86,655"
210.03,Benton County,Arkansas,18.0%,82.0%,50.1%,3.0%,1.8%,3.0%,5.0%,0.0%,19.0%,2722.0,489,2233,1365,82,50,83,136,0,517,26.8%,45.9%,27.4%,0.0%,4.6%,12.8%,44.3%,14.0%,8.1%,12.3%,3.8%,157,42,72,43,0,1830,85,235,811,257,148,225,69,937,"61,205","71,026"
