tract_number,tract_county,tract_state,Hispanic or Latino (of any race) (percentage),Not Hispanic or Latino (percentage),White alone (percentage),Black or African American alone (percentage),American Indian and Alaska Native alone (percentage),Asian alone (percentage),Native Hawaiian and Other Pacific Islander alone (percentage),Some Other Race alone (percentage),Two or More Races alone (percentage),Total population,Hispanic or Latino (of any race),Not Hispanic or Latino,White alone,Black or African American alone,American Indian and Alaska Native alone,Asian alone,Native Hawaiian and Other Pacific Islander alone,Some Other Race alone,Two or More Races alone,"18-24, less than high school graduate (percentage)","18-24, high school graduate (includes equivalency) (percentage)","18-24, some college or associate's degree (percentage)","18-24, bachelor's degree or higher (percentage)","25 and over, less than 9th grade (percentage)","25 and over, 9th to 12th grade, no diploma (percentage)","25 and over, high school graduate (includes equivalency) (percentage)","25 and over, some college, no degree (percentage)","25 and over, associate's degree (percentage)","25 and over, bachelor's degree (percentage)","25 and over, graduate or professional degree (percentage)",Population 18 to 24 years,"18-24, less than high school graduate","18-24, high school graduate (includes equivalency)","18-24, some college or associate's degree","18-24, bachelor's degree or higher",Population 25 years and over,"25 and over, less than 9th grade","25 and over, 9th to 12th grade, no diploma","25 and over, high school graduate (includes equivalency)","25 and over, some college, no degree","25 and over, associate's degree","25 and over, bachelor's degree","25 and over, graduate or professional degree",total_households,Median income (dollars),Mean income (dollars)
9601.0,Marion County,Arkansas,2.4%,97.6%,95.5%,0.0%,0.9%,0.0%,0.0%,0.0%,1.1%,4234.0,102,4132,4044,0,40,0,0,0,48,10.3%,34.4%,55.3%,0.0%,7.2%,6.7%,35.0%,28.1%,8.3%,9.0%,5.7%,273,28,94,151,0,3283,238,219,1150,921,272,297,186,"1,992","51,654","64,622"
9602.01,Marion County,Arkansas,4.9%,95.1%,87.5%,0.5%,0.0%,0.6%,0.0%,0.0%,6.5%,3563.0,176,3387,3117,18,0,22,0,0,230,23.6%,37.0%,23.6%,15.9%,3.4%,7.0%,40.1%,24.7%,8.8%,6.2%,9.7%,276,65,102,65,44,2386,81,168,956,590,211,149,231,"1,290","52,115","65,865"
9602.02,Marion County,Arkansas,3.5%,96.5%,91.0%,0.3%,0.3%,0.9%,0.0%,0.0%,4.0%,3732.0,129,3603,3397,12,11,35,0,0,148,23.0%,34.2%,32.1%,10.7%,7.5%,7.3%,37.4%,19.8%,8.3%,11.3%,8.3%,196,45,67,63,21,2731,206,199,1022,540,227,309,228,"1,539","52,188","61,025"
9603.01,Marion County,Arkansas,0.0%,100.0%,93.6%,0.0%,0.6%,0.0%,0.0%,0.0%,5.8%,2430.0,0,2430,2275,0,15,0,0,0,140,27.4%,47.6%,25.0%,0.0%,4.3%,13.2%,31.6%,37.8%,8.0%,2.3%,2.8%,84,23,40,21,0,1994,86,264,631,753,159,45,56,"1,008","35,625","50,442"
9603.02,Marion County,Arkansas,1.3%,98.7%,93.4%,0.1%,0.0%,2.1%,0.7%,0.4%,2.1%,3117.0,39,3078,2911,2,0,64,22,12,67,21.4%,41.1%,37.5%,0.0%,2.4%,9.9%,36.1%,23.7%,8.6%,14.5%,4.9%,56,12,23,21,0,2625,62,259,947,623,225,380,129,"1,467","42,903","63,839"
201.0,Miller County,Arkansas,2.9%,97.1%,39.7%,51.6%,0.2%,0.0%,0.0%,0.1%,5.4%,3592.0,104,3488,1427,1855,8,0,0,5,193,26.4%,41.5%,26.4%,5.7%,2.1%,7.4%,47.8%,27.4%,4.4%,4.4%,6.5%,212,56,88,56,12,2400,51,177,1147,657,106,106,156,"1,500","37,294","46,220"
202.0,Miller County,Arkansas,6.2%,93.8%,46.8%,43.9%,0.0%,0.0%,0.0%,0.0%,3.0%,2617.0,163,2454,1226,1150,0,0,0,0,78,49.3%,15.2%,35.4%,0.0%,2.5%,9.2%,49.9%,20.4%,7.8%,8.5%,1.8%,302,149,46,107,0,1921,48,177,958,392,149,163,34,"1,168","30,227","43,682"
204.0,Miller County,Arkansas,5.1%,94.9%,54.8%,35.2%,1.7%,0.0%,0.0%,0.4%,2.8%,2977.0,151,2826,1632,1047,51,0,0,13,83,20.2%,39.4%,40.4%,0.0%,12.7%,12.4%,44.2%,25.3%,2.0%,2.3%,1.1%,282,57,111,114,0,1982,252,246,877,501,39,45,22,850,"33,942","59,252"
205.0,Miller County,Arkansas,5.5%,94.5%,40.1%,44.8%,0.2%,1.4%,0.0%,0.7%,7.3%,2533.0,139,2394,1015,1135,6,35,0,17,186,3.5%,72.0%,24.6%,0.0%,6.4%,14.8%,50.3%,19.8%,1.8%,4.2%,2.7%,403,14,290,99,0,1558,100,230,783,309,28,66,42,832,"34,048","58,657"
206.0,Miller County,Arkansas,0.0%,100.0%,11.2%,85.5%,0.0%,0.0%,0.0%,0.0%,3.3%,2122.0,0,2122,237,1815,0,0,0,0,70,0.0%,100.0%,0.0%,0.0%,3.9%,16.0%,39.7%,19.5%,5.6%,9.4%,6.0%,245,0,245,0,0,1109,43,177,440,216,62,104,67,822,"23,771","26,981"
207.01,Miller County,Arkansas,5.2%,94.8%,69.9%,21.6%,0.3%,1.8%,0.0%,0.4%,0.8%,3504.0,183,3321,2451,756,9,63,0,13,29,13.4%,21.3%,65.3%,0.0%,1.3%,10.5%,35.7%,20.5%,12.0%,15.1%,4.9%,202,27,43,132,0,2814,37,295,1006,576,337,426,137,"1,612","54,093","60,581"
207.02,Miller County,Arkansas,0.6%,99.4%,47.3%,50.4%,0.0%,0.0%,0.0%,0.0%,1.7%,3453.0,21,3432,1633,1740,0,0,0,0,59,3.8%,63.9%,28.4%,3.8%,2.5%,2.2%,35.7%,28.0%,7.7%,13.3%,10.7%,313,12,200,89,12,2367,59,51,845,662,182,314,254,"1,635","48,692","68,107"
208.01,Miller County,Arkansas,2.9%,97.1%,71.2%,19.7%,0.4%,2.1%,0.0%,1.0%,2.8%,3014.0,86,2928,2145,595,11,63,0,31,83,5.4%,52.6%,35.4%,6.5%,0.4%,8.6%,28.5%,18.6%,10.0%,22.9%,10.9%,367,20,193,130,24,1754,7,151,500,327,176,401,192,"1,018","98,750","121,011"
208.02,Miller County,Arkansas,14.1%,85.9%,75.3%,3.7%,0.9%,0.0%,0.0%,0.0%,6.0%,2364.0,334,2030,1780,87,21,0,0,0,142,0.0%,60.6%,39.4%,0.0%,7.1%,5.5%,43.6%,24.2%,9.0%,4.8%,5.8%,33,0,20,13,0,1808,129,99,788,437,163,87,105,983,"70,906","76,315"
209.01,Miller County,Arkansas,1.3%,98.7%,85.9%,12.7%,0.0%,0.0%,0.0%,0.0%,0.2%,2316.0,30,2286,1989,293,0,0,0,0,4,7.8%,91.5%,0.8%,0.0%,5.9%,13.8%,32.6%,19.3%,3.1%,12.1%,13.2%,129,10,118,1,0,1759,103,243,574,340,55,212,232,837,"59,095","87,271"
209.02,Miller County,Arkansas,1.8%,98.2%,91.3%,2.8%,0.6%,2.3%,0.0%,0.0%,1.2%,6160.0,109,6051,5626,175,36,139,0,0,75,0.7%,72.1%,6.2%,21.0%,2.3%,3.8%,44.7%,25.0%,8.2%,7.5%,8.5%,563,4,406,35,118,4021,94,152,1796,1006,329,303,341,"2,238","56,635","73,107"
210.01,Miller County,Arkansas,0.0%,100.0%,89.1%,5.3%,3.0%,0.0%,0.0%,0.0%,2.7%,3463.0,0,3463,3086,182,103,0,0,0,92,0.0%,36.9%,40.9%,22.2%,4.3%,12.8%,34.1%,25.3%,7.4%,9.3%,6.9%,225,0,83,92,50,2555,109,328,871,646,188,237,176,"1,306","63,592","83,586"
210.02,Miller County,Arkansas,8.3%,91.7%,89.2%,0.5%,1.6%,0.0%,0.0%,0.0%,0.3%,4360.0,363,3997,3891,23,71,0,0,0,12,8.7%,56.1%,26.5%,8.7%,5.8%,9.4%,38.2%,20.9%,10.8%,8.7%,6.2%,378,33,212,100,33,2763,160,259,1056,578,299,240,171,"1,475","71,163","82,759"
9800.0,Miller County,Arkansas,0.0%,100.0%,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,113.0,0,113,113,0,0,0,0,0,0,-,-,-,-,0.0%,0.0%,51.7%,41.7%,6.7%,0.0%,0.0%,0,0,0,0,0,60,0,0,31,25,4,0,0,35,-,N
101.0,Mississippi County,Arkansas,3.9%,96.1%,22.9%,68.6%,0.0%,0.0%,0.0%,4.1%,0.5%,1641.0,64,1577,375,1125,0,0,0,68,9,23.6%,34.8%,41.6%,0.0%,1.8%,12.1%,55.6%,24.2%,0.2%,1.7%,4.3%,89,21,31,37,0,1041,19,126,579,252,2,18,45,576,"27,174","39,502"
102.0,Mississippi County,Arkansas,10.5%,89.5%,30.5%,54.8%,0.0%,0.0%,0.0%,0.7%,3.5%,4393.0,460,3933,1339,2409,0,0,0,30,155,19.6%,25.0%,55.4%,0.0%,7.2%,4.6%,49.7%,15.9%,7.4%,9.0%,6.1%,276,54,69,153,0,3263,234,149,1623,520,242,295,200,"1,948","44,929","60,574"
103.0,Mississippi County,Arkansas,3.7%,96.3%,11.4%,81.9%,0.0%,0.0%,0.0%,0.0%,3.1%,2503.0,92,2411,285,2049,0,0,0,0,77,14.1%,13.0%,41.3%,31.5%,12.1%,15.7%,34.2%,18.8%,8.5%,4.3%,6.3%,92,13,12,38,29,1581,191,249,540,298,135,68,100,"1,033","32,050","41,867"
106.01,Mississippi County,Arkansas,1.1%,98.9%,54.0%,43.9%,0.0%,0.0%,0.0%,0.0%,1.1%,4421.0,48,4373,2386,1940,0,0,0,0,47,1.8%,23.7%,74.5%,0.0%,0.9%,4.3%,33.1%,32.4%,9.7%,12.1%,7.5%,333,6,79,248,0,2843,27,122,940,922,275,344,213,"1,780","76,406","105,841"
106.02,Mississippi County,Arkansas,0.0%,100.0%,61.1%,34.4%,0.0%,0.0%,0.0%,0.0%,4.4%,1889.0,0,1889,1155,650,0,0,0,0,84,2.6%,50.0%,47.4%,0.0%,1.5%,3.2%,56.9%,20.5%,2.8%,8.8%,6.3%,38,1,19,18,0,1113,17,36,633,228,31,98,70,513,"41,994","73,491"
107.0,Mississippi County,Arkansas,2.7%,97.3%,91.9%,0.9%,0.1%,1.5%,0.0%,0.0%,2.9%,3903.0,105,3798,3588,35,5,58,0,0,112,0.6%,46.3%,47.2%,5.8%,5.0%,5.0%,38.8%,20.6%,9.5%,14.5%,6.5%,326,2,151,154,19,2564,129,127,995,529,244,373,167,"1,543","88,393","102,654"
108.01,Mississippi County,Arkansas,14.8%,85.2%,78.6%,0.6%,0.0%,0.0%,0.0%,0.0%,6.0%,2813.0,415,2398,2211,18,0,0,0,0,169,4.7%,73.2%,10.2%,11.8%,6.7%,19.2%,37.7%,11.6%,7.4%,13.0%,4.4%,127,6,93,13,15,2036,136,390,768,236,151,265,90,"1,262","54,717","78,202"
108.02,Mississippi County,Arkansas,0.0%,100.0%,96.7%,0.5%,0.0%,0.0%,0.0%,0.0%,2.8%,3566.0,0,3566,3448,17,0,0,0,0,101,2.9%,88.8%,8.3%,0.0%,2.7%,8.5%,43.7%,12.9%,21.6%,8.5%,2.1%,241,7,214,20,0,2261,60,192,988,292,489,192,48,"1,093","65,103","109,774"
109.0,Mississippi County,Arkansas,7.4%,92.6%,57.9%,30.4%,0.0%,0.0%,0.0%,0.1%,4.2%,2076.0,153,1923,1202,631,0,0,0,3,87,16.0%,61.7%,5.7%,16.6%,9.2%,20.2%,42.0%,16.7%,5.6%,5.8%,0.4%,175,28,108,10,29,1419,131,287,596,237,79,83,6,682,"34,435","50,186"
110.0,Mississippi County,Arkansas,4.1%,95.9%,16.5%,74.6%,0.0%,0.0%,0.0%,0.0%,4.8%,3430.0,140,3290,565,2559,0,0,0,0,166,12.5%,74.4%,11.8%,1.3%,5.3%,13.1%,53.1%,19.1%,4.2%,4.5%,0.8%,559,70,416,66,7,1966,104,257,1043,375,83,88,16,"1,426","32,913","56,051"
111.0,Mississippi County,Arkansas,6.7%,93.3%,48.7%,37.4%,0.0%,1.2%,0.0%,0.0%,6.0%,3477.0,232,3245,1695,1302,0,40,0,0,208,9.9%,74.9%,15.3%,0.0%,5.6%,7.9%,40.6%,27.9%,6.0%,9.0%,3.1%,557,55,417,85,0,2127,119,167,863,593,128,191,66,"1,244","58,093","74,642"
112.0,Mississippi County,Arkansas,1.4%,98.6%,83.5%,11.0%,0.0%,0.3%,0.1%,0.0%,3.7%,2171.0,30,2141,1812,239,0,6,3,0,81,19.2%,39.4%,24.4%,16.9%,3.1%,12.0%,33.9%,24.9%,5.2%,17.6%,3.3%,213,41,84,52,36,1377,42,165,467,343,71,243,46,866,"65,441","77,399"
113.0,Mississippi County,Arkansas,5.0%,95.0%,58.2%,32.7%,0.0%,0.0%,0.0%,0.0%,4.1%,1665.0,84,1581,969,544,0,0,0,0,68,9.0%,50.3%,28.2%,12.4%,4.6%,9.4%,47.0%,23.5%,6.0%,7.0%,2.4%,177,16,89,50,22,1144,53,107,538,269,69,80,28,643,"39,047","79,889"
114.0,Mississippi County,Arkansas,2.1%,97.9%,76.2%,16.6%,0.0%,3.6%,0.0%,0.0%,1.6%,1801.0,38,1763,1372,299,0,64,0,0,28,14.2%,70.4%,15.5%,0.0%,4.4%,3.5%,36.7%,28.7%,6.3%,8.7%,11.7%,226,32,159,35,0,1192,53,42,437,342,75,104,139,772,"59,277","74,795"
9501.0,Monroe County,Arkansas,0.0%,100.0%,45.0%,52.3%,0.0%,1.8%,0.0%,0.0%,1.0%,2951.0,0,2951,1327,1543,0,52,0,0,29,22.4%,21.0%,52.4%,4.2%,7.8%,9.9%,48.7%,18.8%,1.2%,9.8%,3.7%,143,32,30,75,6,2171,170,214,1058,409,27,212,81,"1,343","37,998","44,494"
9502.0,Monroe County,Arkansas,2.1%,97.9%,69.4%,23.6%,0.0%,0.0%,0.0%,0.3%,4.7%,2258.0,47,2211,1566,532,0,0,0,6,107,16.7%,54.0%,27.8%,1.6%,7.1%,9.1%,31.0%,23.1%,9.9%,15.4%,4.4%,126,21,68,35,2,1501,106,136,466,347,149,231,66,826,"48,611","68,595"
9503.0,Monroe County,Arkansas,9.6%,90.4%,45.6%,41.5%,0.0%,1.0%,0.0%,0.0%,2.3%,1472.0,142,1330,671,611,0,14,0,0,34,31.6%,10.3%,58.1%,0.0%,8.2%,6.7%,37.7%,19.4%,13.8%,12.0%,2.2%,136,43,14,79,0,1060,87,71,400,206,146,127,23,650,"62,569","69,610"
9530.0,Montgomery County,Arkansas,1.2%,98.8%,93.6%,1.0%,2.1%,0.0%,0.0%,0.0%,2.1%,3180.0,37,3143,2977,32,67,0,0,0,67,0.0%,43.6%,56.4%,0.0%,6.7%,7.7%,32.3%,31.9%,5.7%,12.9%,2.8%,149,0,65,84,0,2535,170,195,820,808,144,326,72,"1,500","47,531","69,990"
9531.0,Montgomery County,Arkansas,8.7%,91.3%,87.8%,0.4%,0.7%,0.3%,0.0%,0.3%,1.9%,1963.0,170,1793,1724,8,13,5,0,6,37,8.9%,14.1%,74.8%,2.2%,5.7%,7.2%,36.0%,16.6%,14.0%,13.6%,6.9%,135,12,19,101,3,1445,82,104,520,240,203,197,99,857,"43,212","55,153"
9532.0,Montgomery County,Arkansas,5.9%,94.1%,87.2%,0.9%,0.8%,2.2%,0.0%,0.0%,2.9%,3428.0,203,3225,2988,32,28,77,0,0,100,34.5%,25.6%,32.3%,7.6%,3.9%,6.3%,42.1%,23.6%,8.2%,11.9%,4.0%,223,77,57,72,17,2526,99,158,1064,597,206,301,101,"1,395","55,793","67,041"
901.0,Nevada County,Arkansas,0.8%,99.2%,60.5%,35.4%,0.1%,0.0%,0.0%,0.4%,2.8%,2276.0,18,2258,1378,805,2,0,0,10,63,5.1%,45.7%,46.9%,2.3%,6.4%,5.5%,55.4%,18.7%,5.5%,5.3%,3.2%,175,9,80,82,4,1757,113,96,974,329,96,93,56,985,"57,148","65,829"
902.0,Nevada County,Arkansas,7.9%,92.1%,61.7%,28.7%,0.0%,0.0%,0.2%,0.0%,1.5%,4334.0,344,3990,2676,1243,0,0,7,0,64,2.1%,74.8%,23.1%,0.0%,2.8%,6.3%,45.2%,18.5%,12.1%,12.5%,2.6%,516,11,386,119,0,2698,75,170,1219,500,326,337,71,"1,705","40,126","48,045"
903.0,Nevada County,Arkansas,1.1%,98.9%,68.2%,30.6%,0.0%,0.0%,0.0%,0.0%,0.1%,1618.0,17,1601,1104,495,0,0,0,0,2,2.2%,53.3%,42.2%,2.2%,3.8%,4.9%,47.1%,33.4%,2.3%,6.8%,1.7%,90,2,48,38,2,1149,44,56,541,384,27,78,19,712,"32,278","44,334"
1801.0,Newton County,Arkansas,1.0%,99.0%,93.7%,0.3%,0.1%,0.2%,0.2%,0.5%,4.1%,3687.0,38,3649,3453,11,4,6,7,17,151,20.5%,35.3%,41.1%,3.0%,2.7%,12.2%,30.0%,28.9%,8.6%,9.9%,7.5%,331,68,117,136,10,2547,70,312,763,737,220,253,192,"1,497","52,917","62,197"
1802.0,Newton County,Arkansas,2.4%,97.6%,91.4%,0.0%,1.8%,0.0%,0.0%,0.0%,4.3%,3488.0,85,3403,3189,0,63,0,0,0,151,0.0%,36.4%,60.8%,2.8%,4.6%,9.5%,46.6%,20.6%,7.5%,8.7%,2.5%,250,0,91,152,7,2680,124,255,1248,553,200,234,66,"1,552","46,270","66,989"
9501.01,Ouachita County,Arkansas,7.9%,92.1%,62.4%,23.1%,0.9%,0.0%,0.0%,0.0%,5.7%,2391.0,190,2201,1492,552,21,0,0,0,136,8.1%,52.5%,30.6%,8.8%,0.4%,5.6%,44.9%,28.2%,8.2%,6.6%,6.1%,297,24,156,91,26,1421,5,79,638,401,117,94,87,858,"55,761","63,861"
9501.02,Ouachita County,Arkansas,1.5%,98.5%,64.1%,33.0%,0.0%,0.0%,0.0%,0.0%,1.4%,2817.0,42,2775,1805,931,0,0,0,0,39,52.5%,23.0%,24.6%,0.0%,2.4%,10.4%,51.7%,19.8%,5.8%,7.2%,2.7%,122,64,28,30,0,1954,46,203,1011,387,113,141,53,"1,023","48,569","67,278"
9502.0,Ouachita County,Arkansas,0.4%,99.6%,55.2%,40.3%,0.0%,1.8%,0.0%,0.0%,2.4%,2399.0,9,2390,1324,966,0,43,0,0,57,25.3%,57.1%,17.6%,0.0%,0.9%,7.2%,27.5%,25.8%,9.1%,18.1%,11.3%,91,23,52,16,0,1918,18,139,527,495,174,348,217,956,"42,262","62,458"
9503.01,Ouachita County,Arkansas,0.0%,100.0%,89.7%,9.8%,0.5%,0.0%,0.0%,0.0%,0.0%,1632.0,0,1632,1464,160,8,0,0,0,0,12.2%,40.5%,20.3%,27.0%,2.4%,4.8%,47.3%,13.3%,20.1%,6.2%,5.8%,74,9,30,15,20,1236,30,59,585,165,248,77,72,715,"45,700","59,298"
9503.02,Ouachita County,Arkansas,0.0%,100.0%,60.5%,38.3%,0.0%,0.0%,0.0%,0.0%,1.2%,2949.0,0,2949,1785,1130,0,0,0,0,34,0.6%,84.5%,9.1%,5.8%,2.8%,4.8%,53.3%,23.6%,5.8%,5.7%,3.9%,342,2,289,31,20,2165,61,105,1154,512,125,123,85,957,"63,304","68,678"
9504.0,Ouachita County,Arkansas,0.4%,99.6%,37.2%,61.9%,0.0%,0.0%,0.0%,0.0%,0.5%,3478.0,13,3465,1295,2153,0,0,0,0,17,6.3%,77.6%,13.3%,2.7%,0.0%,5.8%,43.1%,28.2%,5.1%,12.1%,5.6%,255,16,198,34,7,2124,0,123,916,599,109,257,120,"1,270","63,902","68,470"
9505.0,Ouachita County,Arkansas,1.3%,98.7%,56.4%,40.5%,0.4%,0.0%,0.0%,0.0%,1.3%,3345.0,45,3300,1888,1356,12,0,0,0,44,18.6%,49.2%,25.1%,7.1%,2.7%,17.0%,33.0%,23.2%,8.4%,8.7%,7.1%,183,34,90,46,13,2588,69,439,854,600,217,224,185,"1,466","46,111","68,542"
9506.0,Ouachita County,Arkansas,8.0%,92.0%,31.8%,57.4%,0.0%,0.3%,0.0%,0.0%,2.5%,3306.0,263,3043,1051,1898,0,10,0,0,84,15.7%,25.0%,56.8%,2.5%,3.8%,12.4%,41.4%,23.9%,6.0%,8.7%,3.8%,324,51,81,184,8,2255,86,280,934,539,135,196,85,"1,345","50,364","48,366"
9527.0,Perry County,Arkansas,0.3%,99.7%,93.9%,2.7%,0.1%,0.1%,0.0%,0.0%,2.9%,5047.0,14,5033,4738,138,5,5,0,0,147,41.7%,35.0%,19.6%,3.6%,3.9%,4.8%,47.3%,19.4%,5.7%,13.7%,5.2%,331,138,116,65,12,3705,146,179,1751,717,213,508,191,"1,897","61,422","79,337"
9528.0,Perry County,Arkansas,7.3%,92.7%,85.2%,0.9%,0.3%,1.1%,0.0%,0.0%,5.1%,3230.0,236,2994,2751,30,11,36,0,0,166,14.6%,61.8%,20.8%,2.8%,2.8%,5.5%,43.0%,30.2%,5.0%,9.7%,3.7%,212,31,131,44,6,2200,62,122,945,665,110,214,82,"1,213","55,750","66,175"
9529.0,Perry County,Arkansas,4.6%,95.4%,88.3%,0.6%,0.2%,0.0%,0.0%,0.0%,6.3%,1796.0,82,1714,1586,11,4,0,0,0,113,16.3%,26.1%,57.6%,0.0%,1.6%,5.3%,37.8%,26.0%,10.9%,12.0%,6.4%,92,15,24,53,0,1333,21,71,504,347,145,160,85,730,"62,250","80,773"
4801.0,Phillips County,Arkansas,7.7%,92.3%,38.3%,42.7%,0.0%,6.0%,0.0%,0.8%,4.6%,2502.0,192,2310,958,1068,0,149,0,20,115,8.5%,21.1%,54.9%,15.5%,6.7%,9.4%,28.0%,26.0%,6.0%,17.1%,6.7%,71,6,15,39,11,1865,125,176,523,485,112,319,125,970,"46,111","69,032"
4802.01,Phillips County,Arkansas,1.8%,98.2%,50.2%,44.4%,0.1%,0.0%,0.0%,0.0%,3.5%,2054.0,37,2017,1031,912,3,0,0,0,71,20.5%,37.7%,41.8%,0.0%,6.8%,10.5%,35.1%,21.2%,14.1%,5.5%,6.8%,268,55,101,112,0,1323,90,139,464,280,187,73,90,832,"55,045","67,384"
4802.02,Phillips County,Arkansas,1.2%,98.8%,62.1%,30.7%,0.2%,0.0%,0.0%,0.0%,5.8%,1974.0,24,1950,1225,607,3,0,0,0,115,4.6%,31.8%,63.6%,0.0%,2.2%,9.3%,35.9%,23.5%,9.6%,14.0%,5.6%,151,7,48,96,0,1338,29,124,480,314,129,187,75,681,"66,250","81,204"
4803.0,Phillips County,Arkansas,0.0%,100.0%,22.8%,76.5%,0.0%,0.0%,0.0%,0.0%,0.7%,4944.0,0,4944,1129,3782,0,0,0,0,33,39.1%,30.3%,21.5%,9.1%,10.3%,9.4%,30.2%,19.9%,19.8%,8.1%,2.3%,353,138,107,76,32,2800,287,264,845,557,555,227,65,"1,804","33,000","45,178"
4804.0,Phillips County,Arkansas,0.0%,100.0%,21.3%,76.7%,0.0%,0.0%,0.0%,0.6%,1.5%,1388.0,0,1388,295,1064,0,0,0,8,21,18.5%,70.7%,10.9%,0.0%,3.9%,17.9%,35.3%,21.7%,7.0%,6.5%,7.7%,92,17,65,10,0,1046,41,187,369,227,73,68,81,628,"19,447","37,342"
4805.0,Phillips County,Arkansas,2.4%,97.6%,13.7%,83.0%,0.0%,0.0%,0.0%,0.0%,1.0%,1802.0,43,1759,246,1495,0,0,0,0,18,7.0%,40.8%,42.5%,9.6%,2.9%,8.9%,46.9%,13.6%,17.9%,7.2%,2.7%,228,16,93,97,22,1127,33,100,528,153,202,81,30,711,"24,583","34,639"
4806.0,Phillips County,Arkansas,0.7%,99.3%,32.3%,66.2%,0.0%,0.0%,0.0%,0.0%,0.7%,1246.0,9,1237,403,825,0,0,0,0,9,12.1%,50.0%,37.9%,0.0%,10.7%,12.4%,31.7%,29.5%,5.5%,5.6%,4.6%,58,7,29,22,0,933,100,116,296,275,51,52,43,553,"37,989","52,580"
9533.0,Pike County,Arkansas,17.8%,82.2%,77.7%,2.1%,0.0%,0.0%,0.0%,0.0%,2.5%,3510.0,624,2886,2726,73,0,0,0,0,87,3.2%,38.4%,44.3%,14.1%,13.4%,4.6%,30.9%,25.8%,6.9%,12.8%,5.5%,411,13,158,182,58,2396,321,111,741,619,166,307,131,"1,423","48,661","70,422"
9534.0,Pike County,Arkansas,1.3%,98.7%,94.9%,0.0%,0.0%,0.8%,0.0%,0.0%,3.1%,2391.0,30,2361,2268,0,0,18,0,0,75,5.3%,72.0%,22.8%,0.0%,6.3%,5.3%,40.9%,16.0%,7.9%,12.4%,11.1%,189,10,136,43,0,1594,101,85,652,255,126,198,177,837,"70,521","96,070"
9535.0,Pike County,Arkansas,3.4%,96.6%,83.1%,7.5%,0.0%,0.0%,0.0%,0.1%,5.8%,4281.0,147,4134,3559,319,1,0,0,5,250,0.9%,43.2%,40.1%,15.8%,3.9%,5.7%,39.4%,26.9%,5.7%,14.8%,3.7%,222,2,96,89,35,3101,120,176,1221,834,176,460,114,"1,860","50,756","59,212"
4901.0,Poinsett County,Arkansas,5.2%,94.8%,79.6%,6.3%,0.9%,0.0%,0.1%,0.0%,7.8%,3798.0,197,3601,3023,241,35,0,4,0,298,28.5%,16.2%,39.7%,15.6%,7.3%,10.1%,43.4%,17.9%,5.2%,13.3%,2.7%,365,104,59,145,57,2670,196,271,1160,478,140,354,71,"1,450","47,069","75,600"
4902.0,Poinsett County,Arkansas,0.4%,99.6%,94.7%,0.0%,0.0%,0.0%,0.0%,0.0%,4.9%,1322.0,5,1317,1252,0,0,0,0,0,65,23.2%,51.6%,25.3%,0.0%,13.9%,21.3%,35.3%,12.9%,4.1%,5.5%,7.0%,95,22,49,24,0,938,130,200,331,121,38,52,66,581,"48,661","67,515"
4903.0,Poinsett County,Arkansas,5.5%,94.5%,78.6%,11.0%,0.0%,0.0%,0.0%,0.0%,4.9%,3067.0,170,2897,2411,336,0,0,0,0,150,27.2%,44.1%,19.9%,8.8%,7.7%,12.9%,56.7%,14.2%,4.3%,2.9%,1.2%,136,37,60,27,12,2168,168,280,1230,308,94,63,25,"1,512","22,982","36,834"
4904.0,Poinsett County,Arkansas,1.6%,98.4%,86.9%,5.6%,0.0%,0.0%,0.0%,0.2%,5.8%,4520.0,72,4448,3927,254,0,0,0,7,260,0.0%,43.6%,38.6%,17.8%,12.0%,5.0%,37.6%,24.2%,4.8%,10.7%,5.7%,381,0,166,147,68,2977,357,149,1120,719,142,320,170,"1,724","58,255","65,237"
4905.01,Poinsett County,Arkansas,0.8%,99.2%,95.6%,2.0%,0.0%,0.0%,0.1%,0.0%,1.5%,2972.0,25,2947,2840,58,0,0,3,0,46,25.2%,59.2%,14.1%,1.5%,3.8%,12.6%,53.6%,18.9%,2.9%,7.5%,0.7%,341,86,202,48,5,1900,73,239,1018,359,55,142,14,"1,053","53,580","60,562"
4905.02,Poinsett County,Arkansas,5.5%,94.5%,86.9%,4.4%,0.0%,0.0%,0.0%,0.0%,3.2%,3519.0,195,3324,3057,156,0,0,0,0,111,6.4%,17.0%,71.7%,4.9%,2.8%,6.3%,53.4%,21.3%,7.0%,5.5%,3.8%,283,18,48,203,14,2315,64,146,1236,492,163,127,87,"1,332","59,609","80,388"
4906.0,Poinsett County,Arkansas,2.0%,98.0%,86.5%,1.1%,0.0%,0.2%,0.0%,0.0%,10.2%,1418.0,29,1389,1226,16,0,3,0,0,144,12.6%,47.1%,31.0%,9.2%,3.6%,11.0%,44.5%,23.3%,5.9%,8.0%,3.6%,87,11,41,27,8,935,34,103,416,218,55,75,34,531,"51,250","61,303"
4907.0,Poinsett County,Arkansas,6.9%,93.1%,70.9%,12.7%,4.9%,0.1%,0.0%,0.3%,4.2%,2124.0,147,1977,1505,270,104,2,0,6,90,47.8%,27.4%,12.4%,12.4%,6.2%,14.4%,38.3%,21.8%,3.7%,11.3%,4.3%,113,54,31,14,14,1552,96,223,594,338,58,176,67,848,"45,263","50,827"
