School Name,District Name,RW Scores,Math Scores,Tests Taken,# Students SAT ELA Participation,state_name_x,latitude,longitude,address,zip_code,county_name_x,city_name,county_code,Street Address,Tract,unique_id,year,tract_number,county_name_y,state_name_y,Population 18 to 24 years (estimate),"18-24, less than high school graduate (estimate)","18-24, high school graduate or eq. (estimate)","18-24, some college or associate's degree (estimate)","18-24, bachelor's degree or higher",Population 25 years and over (estimate),"25 and over, less than 9th grade (estimate)","25 and over, 9th to 12th grade, no diploma (estimate)","25 and over, high school graduate or eq. (estimate)","25 and over, some college, no degree (estimate)","25 and over, associate's degree (estimate)","25 and over, bachelor's degree (estimate)","25 and over, graduate or professional degree (estimate)","18-24, less than high school graduate (percentage)","18-24, high school graduate or eq. (percentage)","18-24, some college or associate's degree (percentage)","18-24, bachelor's degree or higher (percentage)","25 and over, less than 9th grade (percentage)","25 and over, 9th to 12th grade, no diploma (percentage)","25 and over, high school graduate or eq. (percentage)","25 and over, some college, no degree (percentage)","25 and over, associate's degree (percentage)","25 and over, bachelor's degree (percentage)","25 and over, graduate or professional degree (percentage)",Total number of households,Median household income (dollars),Mean household income (dollars),Total population,Hispanic or Latino (estimate),Hispanic or Latino (percentage),Not Hispanic or Latino (estimate),Not Hispanic or Latino (percentage),White alone (estimate),White alone (percentage),Black or African American alone (estimate),Black or African American alone (percentage),American Indian and Alaska Native alone (estimate),American Indian and Alaska Native alone (percentage),Asian alone (estimate),Asian alone (percentage),Native Hawaiian and Other Pacific Islander alone (estimate),Native Hawaiian and Other Pacific Islander alone (percentage),Some other race alone (estimate),Some other race alone (percentage),Two or more races alone (estimate),Two or more races alone (percentage)
Cissna Park Sr High School,Cissna Park CUSD 6,533.7,494.2,19,19,Illinois,40.5542527,-87.8746146,,N/A,Iroquois County,N/A,17075,,950800,17075950800,2019,950800,Iroquois County,Illinois,222,12,70,125,15,1597,11,87,584,324,206,260,125,5.4,31.5,56.3,6.8,0.7,5.4,36.6,20.3,12.9,16.3,7.8,970,66667,75033,2498,51,2,2447,98,2396,95.9,0,0,0,0,0,0,0,0,0,0,51,2
Payton College Preparatory HS,City of Chicago SD 299,669.7,677.2,282,282,Illinois,41.9016989,-87.6350785,1034 North Wells Street,60610,Cook County,Chicago,17031,"1034 North Wells Street, Chicago, Illinois, 60610",838300,17031838300,2019,838300,Cook County,Illinois,173,7,37,56,73,1438,20,85,173,139,46,610,365,4,21.4,32.4,42.2,1.4,5.9,12,9.7,3.2,42.4,25.4,908,89968,133694,1869,74,4,1795,96,936,50.1,443,23.7,0,0,346,18.5,0,0,0,0,70,3.7
Red Bud High School,Red Bud CUSD 132,484.2,470.9,106,106,Illinois,38.2046594,-89.9959458,815 Locust Street,62278,Randolph County,Red Bud,17157,"815 Locust Street, Red Bud, Illinois, 62278",950800,17157950800,2019,950800,Randolph County,Illinois,319,25,151,114,29,3104,40,209,1070,947,379,223,236,7.8,47.3,35.7,9.1,1.3,6.7,34.5,30.5,12.2,7.2,7.6,1838,58051,70525,4432,21,0.5,4411,99.5,4355,98.3,0,0,0,0,0,0,0,0,0,0,56,1.3
DD Eisenhower High Sch (Campus),CHSD 218,437.7,436.9,447,447,Illinois,41.661215,-87.6952439,12700 Sacramento Avenue,60406,Cook County,Blue Island,17031,"12700 Sacramento Avenue, Blue Island, Illinois, 60406",823400,17031823400,2019,823400,Cook County,Illinois,433,29,261,124,19,3229,259,195,1113,821,200,388,253,6.7,60.3,28.6,4.4,8,6,34.5,25.4,6.2,12,7.8,1818,49076,58214,4969,2312,46.5,2657,53.5,1401,28.2,1139,22.9,0,0,38,0.8,0,0,0,0,79,1.6
Griggsville-Perry High School,Griggsville-Perry CUSD 4,471.2,425,26,26,Illinois,39.7728701,-90.7913227,,N/A,Pike County,N/A,17149,,952400,17149952400,2019,952400,Pike County,Illinois,329,91,171,64,3,2392,78,232,944,576,219,221,122,27.7,52,19.5,0.9,3.3,9.7,39.5,24.1,9.2,9.2,5.1,1402,47713,63299,3302,91,2.8,3211,97.2,3005,91,8,0.2,0,0,4,0.1,107,3.2,7,0.2,80,2.4
Belvidere High School,Belvidere CUSD 100,460,449.9,270,270,Illinois,42.2444132,-88.8308238,1500 East Avenue,61008,Boone County,Belvidere,17007,"1500 East Avenue, Belvidere, Illinois, 61008",10200,17007010200,2019,10200,Boone County,Illinois,557,37,133,387,0,3844,321,376,1188,978,262,457,262,6.6,23.9,69.5,0,8.4,9.8,30.9,25.4,6.8,11.9,6.8,2190,39260,55889,6006,2495,41.5,3511,58.5,3185,53,167,2.8,0,0,44,0.7,0,0,0,0,115,1.9
Woodstock High School,Woodstock CUSD 200,512.1,512.4,233,233,Illinois,42.3118411,-88.4540741,501 West South Street,60098,McHenry County,Woodstock,17111,"501 West South Street, Woodstock, Illinois, 60098",870904,17111870904,2019,870904,McHenry County,Illinois,702,98,74,400,130,3359,255,184,939,884,246,538,313,14,10.5,57,18.5,7.6,5.5,28,26.3,7.3,16,9.3,1835,81180,80483,4895,1465,29.9,3430,70.1,3254,66.5,75,1.5,20,0.4,0,0,0,0,0,0,81,1.7
Bloomington High School,Bloomington SD 87,477.1,460.4,339,339,Illinois,40.4868418,-88.973913,1202 East Locust Street,61701,McLean County,Bloomington,17113,"1202 East Locust Street, Bloomington, Illinois, 61701",1200,17113001200,2019,1200,McLean County,Illinois,331,0,83,180,68,1611,1,15,457,294,175,462,207,0,25.1,54.4,20.5,0.1,0.9,28.4,18.2,10.9,28.7,12.8,1147,58085,76235,2305,268,11.6,2037,88.4,1605,69.6,243,10.5,0,0,72,3.1,13,0.6,0,0,104,4.5
Shelbyville High School,Shelbyville CUSD 4,495.4,497.8,69,69,Illinois,39.413757,-88.8045411,1001 West North 6th Street,62565,Shelby County,Shelbyville,17173,"1001 West North 6th Street, Shelbyville, Illinois, 62565",959300,17173959300,2019,959300,Shelby County,Illinois,491,16,362,90,23,3412,28,286,1470,814,265,316,233,3.3,73.7,18.3,4.7,0.8,8.4,43.1,23.9,7.8,9.3,6.8,2200,53404,60326,4813,47,1,4766,99,4581,95.2,119,2.5,12,0.2,10,0.2,0,0,0,0,44,0.9
Fulton High School,River Bend CUSD 2,498.8,458.6,64,64,Illinois,41.8650201,-90.1538369,1207 12th Street,61252,Whiteside County,Fulton,17195,"1207 12th Street, Fulton, Illinois, 61252",500,17195000500,2019,500,Whiteside County,Illinois,120,27,76,17,0,2480,14,121,995,549,266,364,171,22.5,63.3,14.2,0,0.6,4.9,40.1,22.1,10.7,14.7,6.9,1588,49375,65930,3255,31,1,3224,99,3151,96.8,36,1.1,0,0,5,0.2,0,0,0,0,32,1
Glenbard East High School,Glenbard Twp HSD 87,494.3,489.9,534,534,Illinois,41.866286,-88.019176,1014 South Main Street,60148,DuPage County,Lombard,17043,"1014 South Main Street, Lombard, Illinois, 60148",844201,17043844201,2019,844201,DuPage County,Illinois,788,57,271,375,85,3925,14,117,879,891,339,1243,442,7.2,34.4,47.6,10.8,0.4,3,22.4,22.7,8.6,31.7,11.3,1890,92271,113835,5956,553,9.3,5403,90.7,4383,73.6,319,5.4,0,0,347,5.8,0,0,0,0,354,5.9
Noble St Chtr-Muchin College Prep,City of Chicago SD 299,499.6,519,232,232,Illinois,41.8823418,-87.6273168,1 North State Street,60602,Cook County,Chicago,17031,"1 North State Street, Chicago, Illinois, 60602",320102,17031320102,2019,320102,Cook County,Illinois,840,41,234,15,550,3403,0,0,48,155,15,1625,1560,4.9,27.9,1.8,65.5,0,0,1.4,4.6,0.4,47.8,45.8,2243,176506,230462,4356,179,4.1,4177,95.9,2979,68.4,3,0.1,205,4.7,898,20.6,0,0,0,0,92,2.1
Washington G High School,City of Chicago SD 299,452.5,443.5,324,324,Illinois,41.6877874,-87.536111,3611 East 114th Street,60617,Cook County,Chicago,17031,"3611 East 114th Street, Chicago, Illinois, 60617",520600,17031520600,2019,520600,Cook County,Illinois,118,34,48,25,11,1662,226,115,705,257,185,111,63,28.8,40.7,21.2,9.3,13.6,6.9,42.4,15.5,11.1,6.7,3.8,775,60871,74059,2727,2363,86.7,364,13.3,349,12.8,0,0,0,0,15,0.6,0,0,0,0,0,0
Patoka Sr High School,Patoka CUSD 100,498.3,466.7,12,12,Illinois,38.7553259,-89.0953417,,62875,Marion County,Patoka,17121,,951700,17121951700,2019,951700,Marion County,Illinois,205,15,44,143,3,1824,31,125,476,467,265,366,94,7.3,21.5,69.8,1.5,1.7,6.9,26.1,25.6,14.5,20.1,5.2,1075,65720,79405,2551,18,0.7,2533,99.3,2503,98.1,0,0,0,0,6,0.2,0,0,0,0,24,0.9
Solorio Academy High School,City of Chicago SD 299,483.4,502.2,260,260,Illinois,41.7949284,-87.7114938,5400 South Saint Louis Avenue,60632,Cook County,Chicago,17031,"5400 South Saint Louis Avenue, Chicago, Illinois, 60632",630300,17031630300,2019,630300,Cook County,Illinois,566,102,115,224,125,3337,639,543,1292,201,283,353,26,18,20.3,39.6,22.1,19.1,16.3,38.7,6,8.5,10.6,0.8,1354,53173,65085,5178,4875,94.1,303,5.9,235,4.5,22,0.4,0,0,46,0.9,0,0,0,0,0,0
Grayville Jr Sr High School,Grayville CUSD 1,435.3,472.4,17,17,Illinois,38.2583236,-88.0055541,728 West North Street,62844,White County,Grayville,17193,"728 West North Street, Grayville, Illinois, 62844",958200,17193958200,2019,958200,White County,Illinois,215,47,53,109,6,1984,36,178,658,474,296,281,61,21.9,24.7,50.7,2.8,1.8,9,33.2,23.9,14.9,14.2,3.1,1257,55205,61508,2832,59,2.1,2773,97.9,2684,94.8,22,0.8,11,0.4,8,0.3,2,0.1,0,0,46,1.6
Addison Trail High School,DuPage HSD 88,456.2,460.6,438,438,Illinois,41.931314,-88.0213463,213 North Lombard Road,60101,DuPage County,Addison,17043,"213 North Lombard Road, Addison, Illinois, 60101",846604,17043846604,2019,846604,DuPage County,Illinois,407,30,160,158,59,2846,313,143,867,468,354,430,271,7.4,39.3,38.8,14.5,11,5,30.5,16.4,12.4,15.1,9.5,1414,77000,100672,4213,1769,42,2444,58,1828,43.4,101,2.4,0,0,480,11.4,0,0,28,0.7,7,0.2
Georgetown-Ridge Farm High School,Georgetown-Ridge Farm CUD 4,466.6,431.9,67,67,Illinois,39.972451,-87.6402325,500 West Mulberry Street,61846,Vermilion County,Georgetown,17183,"500 West Mulberry Street, Georgetown, Illinois, 61846",11000,17183011000,2019,11000,Vermilion County,Illinois,365,23,156,176,10,2868,0,144,1488,573,232,351,80,6.3,42.7,48.2,2.7,0,5,51.9,20,8.1,12.2,2.8,1756,48421,61196,3996,26,0.7,3970,99.3,3639,91.1,285,7.1,0,0,0,0,0,0,0,0,46,1.2
United High School,United CUSD 304,506.7,509.5,63,63,Illinois,40.9075695,-90.5909924,1905 100th Street,61462,Warren County,Monmouth,17187,"1905 100th Street, Monmouth, Illinois, 61462",870300,17187870300,2019,870300,Warren County,Illinois,241,7,99,127,8,1890,19,140,707,430,242,277,75,2.9,41.1,52.7,3.3,1,7.4,37.4,22.8,12.8,14.7,4,1132,66837,84090,2557,42,1.6,2515,98.4,2498,97.7,0,0,0,0,0,0,0,0,0,0,17,0.7
Washington Comm High School,Washington CHSD 308,518.9,523.9,338,338,Illinois,40.704325,-89.418425,115 Bondurant Street,61571,Tazewell County,Washington,17179,"115 Bondurant Street, Washington, Illinois, 61571",22300,17179022300,2019,22300,Tazewell County,Illinois,370,0,227,89,54,3741,10,36,712,787,481,1122,593,0,61.4,24.1,14.6,0.3,1,19,21,12.9,30,15.9,2121,98024,102881,6171,107,1.7,6064,98.3,5845,94.7,39,0.6,0,0,180,2.9,0,0,0,0,0,0
Gallatin High School,Gallatin CUSD 7,463.5,455.9,46,46,Illinois,37.742019,-88.2773627,5175 Illinois 13,62954,Gallatin County,Junction,17059,"5175 Illinois 13, Junction, Illinois, 62954",972700,17059972700,2019,972700,Gallatin County,Illinois,222,17,116,79,10,1751,77,140,642,429,209,174,80,7.7,52.3,35.6,4.5,4.4,8,36.7,24.5,11.9,9.9,4.6,1079,55329,69682,2369,25,1.1,2344,98.9,2246,94.8,0,0,0,0,6,0.3,0,0,8,0.3,84,3.5
Steinmetz College Prep HS,City of Chicago SD 299,435.3,417.5,317,317,Illinois,41.935631,-87.784152,3030 North Mobile Avenue,60634,Cook County,Chicago,17031,"3030 North Mobile Avenue, Chicago, Illinois, 60634",190401,17031190401,2019,190401,Cook County,Illinois,384,9,202,154,19,3050,301,236,822,832,195,360,304,2.3,52.6,40.1,4.9,9.9,7.7,27,27.3,6.4,11.8,10,1326,70510,86971,4408,2828,64.2,1580,35.8,1170,26.5,74,1.7,0,0,336,7.6,0,0,0,0,0,0
Westmont High School,CUSD 201,541.1,540.9,110,110,Illinois,41.8189419,-87.962731,909 Oakwood Drive,60559,DuPage County,Westmont,17043,"909 Oakwood Drive, Westmont, Illinois, 60559",844702,17043844702,2019,844702,DuPage County,Illinois,256,38,7,117,94,3873,55,116,309,413,173,1471,1336,14.8,2.7,45.7,36.7,1.4,3,8,10.7,4.5,38,34.5,1926,153250,235998,5835,323,5.5,5512,94.5,4413,75.6,36,0.6,0,0,801,13.7,0,0,11,0.2,251,4.3
Centralia High School,Centralia HSD 200,472.2,468.4,223,223,Illinois,38.5185957,-89.103963,2100 East Calumet Street,62801,Marion County,Centralia,17121,"2100 East Calumet Street, Centralia, Illinois, 62801",952400,17121952400,2019,952400,Marion County,Illinois,174,16,61,97,0,2856,96,66,714,885,266,461,368,9.2,35.1,55.7,0,3.4,2.3,25,31,9.3,16.1,12.9,1778,61144,71352,3909,190,4.9,3719,95.1,3172,81.1,365,9.3,8,0.2,73,1.9,0,0,0,0,101,2.6
Farmington Central High Sch,Farmington Central CUSD 265,474.6,453,101,101,Illinois,40.7563942,-90.0373201,,N/A,Knox County,N/A,17095,,1600,17095001600,2019,1600,Knox County,Illinois,268,27,134,98,9,2104,22,94,872,550,253,222,91,10.1,50,36.6,3.4,1,4.5,41.4,26.1,12,10.6,4.3,1230,57554,72325,3039,19,0.6,3020,99.4,2858,94,75,2.5,55,1.8,4,0.1,0,0,0,0,28,0.9
Hampshire High School,CUSD 300,527.9,533.4,387,387,Illinois,42.1219639,-88.4967067,1600 Big Timber Road,60140,Kane County,Hampshire,17089,"1600 Big Timber Road, Hampshire, Illinois, 60140",850706,17089850706,2019,850706,Kane County,Illinois,101,0,0,101,0,2007,0,85,667,487,0,382,386,0,0,100,0,0,4.2,33.2,24.3,0,19,19.2,1113,64422,80444,2216,0,0,2216,100,2216,100,0,0,0,0,0,0,0,0,0,0,0,0
Stockton Sr High School,Stockton CUSD 206,505.6,496.9,39,39,Illinois,42.3562429,-90.0129041,540 North Rush Street,61085,Jo Daviess County,Stockton,17085,"540 North Rush Street, Stockton, Illinois, 61085",20500,17085020500,2019,20500,Jo Daviess County,Illinois,103,20,36,42,5,2074,57,60,785,561,273,260,78,19.4,35,40.8,4.9,2.7,2.9,37.8,27,13.2,12.5,3.8,1296,48846,61222,2746,94,3.4,2652,96.6,2577,93.8,11,0.4,11,0.4,19,0.7,5,0.2,0,0,29,1.1
Noble St Chtr-UIC College Prep,City of Chicago SD 299,515.8,550.2,223,223,Illinois,41.8656136,-87.6760518,1231 South Damen Avenue,60608,Cook County,Chicago,17031,"1231 South Damen Avenue, Chicago, Illinois, 60608",842900,17031842900,2019,842900,Cook County,Illinois,154,0,22,107,25,1845,62,348,398,429,14,501,93,0,14.3,69.5,16.2,3.4,18.9,21.6,23.3,0.8,27.2,5,1316,20089,55819,2711,173,6.4,2538,93.6,333,12.3,1693,62.4,0,0,335,12.4,0,0,80,3,97,3.6
LeRoy High School,LeRoy CUSD 2,499.1,499.4,53,53,Illinois,40.3467216,-88.7554602,505 East Center Street,61752,McLean County,Le Roy,17113,"505 East Center Street, Le Roy, Illinois, 61752",5501,17113005501,2019,5501,McLean County,Illinois,245,13,100,132,0,1767,41,14,867,312,134,340,59,5.3,40.8,53.9,0,2.3,0.8,49.1,17.7,7.6,19.2,3.3,946,74421,82797,2435,0,0,2435,100,2408,98.9,0,0,0,0,0,0,0,0,0,0,27,1.1
Lane Technical High School,City of Chicago SD 299,608.6,627,902,902,Illinois,41.945166,-87.6906541,2501 West Addison Street,60618,Cook County,Chicago,17031,"2501 West Addison Street, Chicago, Illinois, 60618",843700,17031843700,2019,843700,Cook County,Illinois,56,12,0,40,4,1670,105,103,92,193,49,496,632,21.4,0,71.4,7.1,6.3,6.2,5.5,11.6,2.9,29.7,37.8,989,153424,204726,2376,510,21.5,1866,78.5,1540,64.8,62,2.6,0,0,178,7.5,0,0,0,0,86,3.6
North Clay Community High School,North Clay CUSD 25,468.7,459.8,47,47,Illinois,38.7667577,-88.5100074,953 Kinmundy Road,62858,Clay County,Louisville,17025,"953 Kinmundy Road, Louisville, Illinois, 62858",972000,17025972000,2019,972000,Clay County,Illinois,156,41,60,20,35,2131,89,182,802,581,282,159,36,26.3,38.5,12.8,22.4,4.2,8.5,37.6,27.3,13.2,7.5,1.7,1276,48232,58563,2838,16,0.6,2822,99.4,2760,97.3,21,0.7,1,0,32,1.1,0,0,0,0,8,0.3
Noble St Chtr-Johnson College Prep,City of Chicago SD 299,437.6,448.5,163,163,Illinois,41.7786215,-87.6354225,6350 South Stewart Avenue,60621,Cook County,Chicago,17031,"6350 South Stewart Avenue, Chicago, Illinois, 60621",680900,17031680900,2019,680900,Cook County,Illinois,123,83,0,40,0,2495,192,540,925,558,96,126,58,67.5,0,32.5,0,7.7,21.6,37.1,22.4,3.8,5.1,2.3,1862,19167,26520,3317,18,0.5,3299,99.5,67,2,3031,91.4,0,0,75,2.3,0,0,0,0,126,3.8
Oswego High School,CUSD 308,515.4,515.3,656,656,Illinois,41.6837548,-88.3413883,4250 Illinois 71,60543,Kendall County,Oswego,17093,"4250 Illinois 71, Oswego, Illinois, 60543",890107,17093890107,2019,890107,Kendall County,Illinois,303,11,68,184,40,2777,51,43,493,434,191,898,667,3.6,22.4,60.7,13.2,1.8,1.5,17.8,15.6,6.9,32.3,24,1297,108393,132340,4467,497,11.1,3970,88.9,3659,81.9,58,1.3,0,0,88,2,0,0,0,0,165,3.7
IHSCA Charter High School,City of Chicago SD 299,417.1,405.9,158,158,Illinois,41.845757,-87.6858588,2520 South Western Avenue,60608,Cook County,Chicago,17031,"2520 South Western Avenue, Chicago, Illinois, 60608",841300,17031841300,2019,841300,Cook County,Illinois,500,36,117,264,83,3027,436,295,615,528,141,654,358,7.2,23.4,52.8,16.6,14.4,9.7,20.3,17.4,4.7,21.6,11.8,1736,54152,80039,4299,3097,72,1202,28,800,18.6,126,2.9,0,0,125,2.9,0,0,0,0,151,3.5
Noble St Chtr-Baker Campus,City of Chicago SD 299,442.3,457.3,44,44,Illinois,41.8997931,-87.6624966,North Noble Street,60642,Cook County,Chicago,17031,"North Noble Street, Chicago, Illinois, 60642",842300,17031842300,2019,842300,Cook County,Illinois,89,0,59,10,20,2770,35,20,182,330,156,1380,667,0,66.3,11.2,22.5,1.3,0.7,6.6,11.9,5.6,49.8,24.1,1487,147056,159528,3123,293,9.4,2830,90.6,2131,68.2,449,14.4,0,0,209,6.7,0,0,0,0,41,1.3
King College Prep High School,City of Chicago SD 299,517.7,508,103,103,Illinois,41.8138852,-87.6029812,4445 South Drexel Boulevard,60653,Cook County,Chicago,17031,"4445 South Drexel Boulevard, Chicago, Illinois, 60653",390300,17031390300,2019,390300,Cook County,Illinois,70,0,21,35,14,2098,62,207,577,484,118,350,300,0,30,50,20,3,9.9,27.5,23.1,5.6,16.7,14.3,1644,26102,52093,3002,89,3,2913,97,357,11.9,2485,82.8,5,0.2,27,0.9,0,0,0,0,39,1.3
Jones College Prep High School,City of Chicago SD 299,640.1,644.5,448,448,Illinois,41.8729672,-87.6279213,700 South State Street,60605,Cook County,Chicago,17031,"700 South State Street, Chicago, Illinois, 60605",839000,17031839000,2019,839000,Cook County,Illinois,1315,0,277,607,431,7997,0,144,256,870,488,2830,3409,0,21.1,46.2,32.8,0,1.8,3.2,10.9,6.1,35.4,42.6,5644,99438,118218,10026,1245,12.4,8781,87.6,5970,59.5,908,9.1,36,0.4,1530,15.3,0,0,0,0,337,3.4
YBMC Charter Sch,McLean County USD 5,392,363.5,20,20,Illinois,40.4964232,-89.0339033,360 Wylie Drive,61761,McLean County,Normal,17113,"360 Wylie Drive, Normal, Illinois, 61761",302,17113000302,2019,302,McLean County,Illinois,761,334,64,218,145,4201,11,183,990,815,469,905,828,43.9,8.4,28.6,19.1,0.3,4.4,23.6,19.4,11.2,21.5,19.7,2553,66492,96625,5794,129,2.2,5665,97.8,4747,81.9,857,14.8,0,0,48,0.8,0,0,0,0,13,0.2
Central A & M High School,Central A & M CUD 21,490,462.5,56,56,Illinois,39.6316906,-89.0170657,229 East Pine Street,62550,Shelby County,Moweaqua,17173,"229 East Pine Street, Moweaqua, Illinois, 62550",959100,17173959100,2019,959100,Shelby County,Illinois,254,46,78,122,8,2570,37,117,1047,615,241,385,128,18.1,30.7,48,3.1,1.4,4.6,40.7,23.9,9.4,15,5,1486,65156,71429,3823,27,0.7,3796,99.3,3756,98.2,11,0.3,0,0,13,0.3,0,0,1,0,15,0.4
Annawan High School,Annawan CUSD 226,499.6,510,25,25,Illinois,41.393713,-89.911843,501 West South Street,61234,Henry County,Annawan,17073,"501 West South Street, Annawan, Illinois, 61234",30500,17073030500,2019,30500,Henry County,Illinois,129,5,65,39,20,1633,37,59,586,253,220,387,91,3.9,50.4,30.2,15.5,2.3,3.6,35.9,15.5,13.5,23.7,5.6,887,66607,80833,2195,104,4.7,2091,95.3,2037,92.8,21,1,0,0,0,0,0,0,13,0.6,20,0.9
Quest Charter School Academy,Peoria SD 150,433.2,439.1,53,53,Illinois,40.71847,-89.613107,,61604,Peoria County,Peoria,17143,,2200,17143002200,2019,2200,Peoria County,Illinois,239,82,87,59,11,2647,92,144,723,740,171,457,320,34.3,36.4,24.7,4.6,3.5,5.4,27.3,28,6.5,17.3,12.1,1674,55179,58824,3842,193,5,3649,95,2031,52.9,1509,39.3,0,0,5,0.1,0,0,0,0,104,2.7
Canton High School,Canton Union SD 66,497.4,489.2,156,156,Illinois,40.5686463,-90.0342194,1001 North Main Street,61520,Fulton County,Canton,17057,"1001 North Main Street, Canton, Illinois, 61520",953300,17057953300,2019,953300,Fulton County,Illinois,271,18,62,171,20,2605,48,135,833,508,199,453,429,6.6,22.9,63.1,7.4,1.8,5.2,32,19.5,7.6,17.4,16.5,1514,67969,95998,3400,58,1.7,3342,98.3,3285,96.6,40,1.2,0,0,0,0,0,0,0,0,17,0.5
Infinity Math  Science & Tech HS,City of Chicago SD 299,439.3,488.8,96,96,Illinois,41.8354286,-87.7356529,3120 South Kostner Avenue,60623,Cook County,Chicago,17031,"3120 South Kostner Avenue, Chicago, Illinois, 60623",830500,17031830500,2019,830500,Cook County,Illinois,336,35,180,103,18,2274,820,191,652,337,115,159,0,10.4,53.6,30.7,5.4,36.1,8.4,28.7,14.8,5.1,7,0,1037,37306,52638,3910,3867,98.9,43,1.1,43,1.1,0,0,0,0,0,0,0,0,0,0,0,0
Pawnee Jr/Sr High Sch,Pawnee CUSD 11,501.5,453,40,40,Illinois,39.5890551,-89.5686271,,N/A,Sangamon County,N/A,17167,,3300,17167003300,2019,3300,Sangamon County,Illinois,511,74,111,277,49,3213,11,172,1301,703,349,442,235,14.5,21.7,54.2,9.6,0.3,5.4,40.5,21.9,10.9,13.8,7.3,1978,68258,76612,4767,16,0.3,4751,99.7,4674,98,0,0,0,0,15,0.3,0,0,6,0.1,56,1.2
Oak Lawn Comm High School,Oak Lawn CHSD 229,477.6,482.6,449,449,Illinois,41.72162,-87.767984,9400 Southwest Highway,60453,Cook County,Oak Lawn,17031,"9400 Southwest Highway, Oak Lawn, Illinois, 60453",822200,17031822200,2019,822200,Cook County,Illinois,321,12,95,157,57,2386,39,64,857,535,327,418,146,3.7,29.6,48.9,17.8,1.6,2.7,35.9,22.4,13.7,17.5,6.1,1207,86151,87042,3583,351,9.8,3232,90.2,2871,80.1,28,0.8,0,0,112,3.1,0,0,14,0.4,207,5.8
Willowbrook High School,DuPage HSD 88,515,514.3,422,422,Illinois,41.864607,-87.9823228,1250 Ardmore Avenue,60181,DuPage County,Villa Park,17043,"1250 Ardmore Avenue, Villa Park, Illinois, 60181",844307,17043844307,2019,844307,DuPage County,Illinois,267,11,72,50,134,2401,18,40,657,380,199,720,387,4.1,27,18.7,50.2,0.7,1.7,27.4,15.8,8.3,30,16.1,1378,80565,94603,3568,208,5.8,3360,94.2,2168,60.8,358,10,0,0,796,22.3,0,0,0,0,38,1.1
Orr Academy High School,City of Chicago SD 299,390.9,381.3,76,76,Illinois,41.893927,-87.726435,730 North Pulaski Road,60624,Cook County,Chicago,17031,"730 North Pulaski Road, Chicago, Illinois, 60624",842100,17031842100,2019,842100,Cook County,Illinois,679,203,140,301,35,4108,405,535,1191,1217,416,193,151,29.9,20.6,44.3,5.2,9.9,13,29,29.6,10.1,4.7,3.7,2077,39576,47734,7608,3396,44.6,4212,55.4,190,2.5,3963,52.1,0,0,27,0.4,0,0,30,0.4,2,0
Mascoutah High School,Mascoutah CUD 19,538.1,540.6,270,270,Illinois,38.4955294,-89.8190384,1313 West Main Street,62258,St. Clair County,Mascoutah,17163,"1313 West Main Street, Mascoutah, Illinois, 62258",504356,17163504356,2019,504356,St. Clair County,Illinois,366,76,109,82,99,2820,84,146,686,618,328,606,352,20.8,29.8,22.4,27,3,5.2,24.3,21.9,11.6,21.5,12.5,1416,78750,92595,4548,432,9.5,4116,90.5,3658,80.4,248,5.5,0,0,68,1.5,0,0,66,1.5,76,1.7
Illini Bluffs High School,Illini Bluffs CUSD 327,502,495.1,69,69,Illinois,40.574449,-89.8073123,9611 South Hanna City Glasford Road,61533,Peoria County,Glasford,17143,"9611 South Hanna City Glasford Road, Glasford, Illinois, 61533",4901,17143004901,2019,4901,Peoria County,Illinois,235,21,86,122,6,2582,41,76,1056,669,285,351,104,8.9,36.6,51.9,2.6,1.6,2.9,40.9,25.9,11,13.6,4,1361,65568,77749,3785,14,0.4,3771,99.6,3760,99.3,2,0.1,0,0,0,0,0,0,0,0,9,0.2
Cumberland High School,Cumberland CUSD 77,486.2,474.6,69,69,Illinois,39.2573204,-88.193901,1496 Illinois 121,62428,Cumberland County,Greenup,17035,"1496 Illinois 121, Greenup, Illinois, 62428",972500,17035972500,2019,972500,Cumberland County,Illinois,207,33,65,102,7,2281,80,212,1012,426,244,201,106,15.9,31.4,49.3,3.4,3.5,9.3,44.4,18.7,10.7,8.8,4.6,1262,65365,75425,3276,80,2.4,3196,97.6,3096,94.5,3,0.1,0,0,0,0,0,0,0,0,97,3
Horizon Science Acad-McKinley Park Charter Sch,Horizon Science Acad-McKinley Park Charter Sch,462.6,473.5,57,57,Illinois,41.8316175,-87.6729074,,N/A,Cook County,Chicago,17031,,840400,17031840400,2019,840400,Cook County,Illinois,91,8,28,21,34,2466,378,223,785,249,172,397,262,8.8,30.8,23.1,37.4,15.3,9,31.8,10.1,7,16.1,10.6,1123,46813,65160,3153,1240,39.3,1913,60.7,486,15.4,0,0,0,0,1427,45.3,0,0,0,0,0,0
Glenbrook North High School,Northfield Twp HSD 225,584.1,601.2,506,506,Illinois,42.1114267,-87.8319199,2300 Shermer Road,60062,Cook County,Northbrook,17031,"2300 Shermer Road, Northbrook, Illinois, 60062",801608,17031801608,2019,801608,Cook County,Illinois,238,45,19,90,84,5072,4,73,464,593,302,1830,1806,18.9,8,37.8,35.3,0.1,1.4,9.1,11.7,6,36.1,35.6,2676,116583,157320,6526,54,0.8,6472,99.2,4308,66,13,0.2,0,0,2025,31,0,0,0,0,126,1.9
