School Name,District Name,RW Scores,Math Scores,Tests Taken,# Students SAT ELA Participation,state_name_x,latitude,longitude,address,zip_code,county_name_x,city_name,county_code,Street Address,Tract,unique_id,year,tract_number,county_name_y,state_name_y,Population 18 to 24 years (estimate),"18-24, less than high school graduate (estimate)","18-24, high school graduate or eq. (estimate)","18-24, some college or associate's degree (estimate)","18-24, bachelor's degree or higher",Population 25 years and over (estimate),"25 and over, less than 9th grade (estimate)","25 and over, 9th to 12th grade, no diploma (estimate)","25 and over, high school graduate or eq. (estimate)","25 and over, some college, no degree (estimate)","25 and over, associate's degree (estimate)","25 and over, bachelor's degree (estimate)","25 and over, graduate or professional degree (estimate)","18-24, less than high school graduate (percentage)","18-24, high school graduate or eq. (percentage)","18-24, some college or associate's degree (percentage)","18-24, bachelor's degree or higher (percentage)","25 and over, less than 9th grade (percentage)","25 and over, 9th to 12th grade, no diploma (percentage)","25 and over, high school graduate or eq. (percentage)","25 and over, some college, no degree (percentage)","25 and over, associate's degree (percentage)","25 and over, bachelor's degree (percentage)","25 and over, graduate or professional degree (percentage)",Total number of households,Median household income (dollars),Mean household income (dollars),Total population,Hispanic or Latino (estimate),Hispanic or Latino (percentage),Not Hispanic or Latino (estimate),Not Hispanic or Latino (percentage),White alone (estimate),White alone (percentage),Black or African American alone (estimate),Black or African American alone (percentage),American Indian and Alaska Native alone (estimate),American Indian and Alaska Native alone (percentage),Asian alone (estimate),Asian alone (percentage),Native Hawaiian and Other Pacific Islander alone (estimate),Native Hawaiian and Other Pacific Islander alone (percentage),Some other race alone (estimate),Some other race alone (percentage),Two or more races alone (estimate),Two or more races alone (percentage)
Tri-Point High School,Tri Point CUSD 6-J,477.7,451.2,26,26,Illinois,40.8819168,-88.2683583,100 East Van Alstyne Street,60929,Livingston County,Cullom,17105,"100 East Van Alstyne Street, Cullom, Illinois, 60929",960200,17105960200,2019,960200,Livingston County,Illinois,244,10,143,73,18,2076,46,130,811,570,168,236,115,4.1,58.6,29.9,7.4,2.2,6.3,39.1,27.5,8.1,11.4,5.5,1220,66250,83316,3109,49,1.6,3060,98.4,3034,97.6,0,0,0,0,3,0.1,0,0,0,0,23,0.7
Lexington High School,Lexington CUSD 7,512.1,500.7,29,29,Illinois,40.6484484,-88.7686382,,N/A,McLean County,N/A,17113,,5700,17113005700,2019,5700,McLean County,Illinois,510,179,103,207,21,3193,28,79,1169,703,195,690,329,35.1,20.2,40.6,4.1,0.9,2.5,36.6,22,6.1,21.6,10.3,1820,69135,90454,4951,160,3.2,4791,96.8,4685,94.6,40,0.8,0,0,11,0.2,0,0,0,0,55,1.1
Franklin Jr/Sr High School,Franklin CUSD 1,487.6,476.2,21,21,Illinois,39.623455,-90.0469665,110 State Street,62638,Morgan County,Franklin,17137,"110 State Street, Franklin, Illinois, 62638",952300,17137952300,2019,952300,Morgan County,Illinois,234,25,123,65,21,2212,49,109,965,451,188,292,158,10.7,52.6,27.8,9,2.2,4.9,43.6,20.4,8.5,13.2,7.1,1267,63277,88239,3275,6,0.2,3269,99.8,3180,97.1,17,0.5,0,0,35,1.1,0,0,2,0.1,35,1.1
West Prairie High School,West Prairie CUSD 103,487.6,449.2,37,37,Illinois,40.4184095,-90.7921425,640 South Hun Street,62326,McDonough County,Colchester,17109,"640 South Hun Street, Colchester, Illinois, 62326",11100,17109011100,2019,11100,McDonough County,Illinois,293,142,132,6,13,2005,44,121,874,349,210,251,156,48.5,45.1,2,4.4,2.2,6,43.6,17.4,10.5,12.5,7.8,1228,44375,56750,2828,2,0.1,2826,99.9,2802,99.1,0,0,1,0,0,0,0,0,0,0,23,0.8
Comm H S Dist 99 - South High Sch,CHSD 99,515.1,535.9,652,652,Illinois,41.7637423,-88.0314174,,N/A,DuPage County,N/A,17043,,845703,17043845703,2019,845703,DuPage County,Illinois,415,7,92,235,81,3239,33,63,455,804,203,1016,665,1.7,22.2,56.6,19.5,1,1.9,14,24.8,6.3,31.4,20.5,1813,80974,103125,4428,263,5.9,4165,94.1,2951,66.6,376,8.5,0,0,798,18,0,0,30,0.7,10,0.2
Fairfield Comm High School,Fairfield Comm H S Dist 225,471.6,437.9,92,92,Illinois,38.3745744,-88.3634736,300 West King Street,62837,Wayne County,Fairfield,17191,"300 West King Street, Fairfield, Illinois, 62837",955200,17191955200,2019,955200,Wayne County,Illinois,239,73,44,112,10,2099,135,142,703,483,324,235,77,30.5,18.4,46.9,4.2,6.4,6.8,33.5,23,15.4,11.2,3.7,1399,48375,56503,3052,28,0.9,3024,99.1,2846,93.3,118,3.9,0,0,13,0.4,0,0,0,0,47,1.5
Dee-Mack High School,Deer Creek-Mackinaw CUSD 701,526.7,521.2,73,73,Illinois,40.5342809,-89.3539642,401 East 5th Street,61755,Tazewell County,Mackinaw,17179,"401 East 5th Street, Mackinaw, Illinois, 61755",21701,17179021701,2019,21701,Tazewell County,Illinois,362,51,85,148,78,3930,28,89,1073,925,443,980,392,14.1,23.5,40.9,21.5,0.7,2.3,27.3,23.5,11.3,24.9,10,2346,80878,94334,5910,108,1.8,5802,98.2,5716,96.7,2,0,17,0.3,0,0,0,0,0,0,67,1.1
Anna-Jonesboro High School,Anna Jonesboro CHSD 81,482.8,473.1,111,111,Illinois,37.4864438,-89.1515476,,N/A,Union County,N/A,17181,,950100,17181950100,2019,950100,Union County,Illinois,435,57,196,149,33,3400,160,172,1193,698,301,600,276,13.1,45.1,34.3,7.6,4.7,5.1,35.1,20.5,8.9,17.6,8.1,1914,60000,79163,4486,408,9.1,4078,90.9,3955,88.2,7,0.2,2,0,0,0,0,0,53,1.2,61,1.4
Uplift Community High School,City of Chicago SD 299,392.2,369.4,32,32,Illinois,41.9659998,-87.6522014,900 West Wilson Avenue,60640,Cook County,Chicago,17031,"900 West Wilson Avenue, Chicago, Illinois, 60640",31501,17031031501,2019,31501,Cook County,Illinois,427,71,87,156,113,3374,209,364,652,510,151,994,494,16.6,20.4,36.5,26.5,6.2,10.8,19.3,15.1,4.5,29.5,14.6,1859,42519,51937,4794,790,16.5,4004,83.5,1547,32.3,1538,32.1,0,0,827,17.3,0,0,0,0,92,1.9
Wm Fremd High School,Township HSD 211,568.6,601.5,661,661,Illinois,42.0947146,-88.0647694,1000 South Quentin Road,60067,Cook County,Palatine,17031,"1000 South Quentin Road, Palatine, Illinois, 60067",804102,17031804102,2019,804102,Cook County,Illinois,264,21,118,72,53,4867,60,79,482,791,288,1806,1361,8,44.7,27.3,20.1,1.2,1.6,9.9,16.3,5.9,37.1,28,2438,137500,179668,6686,156,2.3,6530,97.7,5328,79.7,167,2.5,0,0,868,13,0,0,0,0,167,2.5
V I T Sr High School,V I T CUSD 2,466.9,444.6,26,26,Illinois,40.3576325,-90.4190562,1500 US Highway 136,61482,Fulton County,Table Grove,17057,"1500 US Highway 136, Table Grove, Illinois, 61482",953100,17057953100,2019,953100,Fulton County,Illinois,184,4,54,102,24,1784,58,103,715,434,214,211,49,2.2,29.3,55.4,13,3.3,5.8,40.1,24.3,12,11.8,2.7,1047,55590,61694,2601,27,1,2574,99,2524,97,0,0,0,0,2,0.1,0,0,0,0,48,1.8
Lockport Township High Sch East,Lockport Twp HSD 205,514.5,519.4,940,940,Illinois,41.5890612,-88.0311117,1333 East 7th Street,60441,Will County,Lockport,17197,"1333 East 7th Street, Lockport, Illinois, 60441",880601,17197880601,2019,880601,Will County,Illinois,237,9,70,93,65,2127,68,47,479,557,167,393,416,3.8,29.5,39.2,27.4,3.2,2.2,22.5,26.2,7.9,18.5,19.6,1163,100250,103752,2936,229,7.8,2707,92.2,2452,83.5,18,0.6,0,0,184,6.3,0,0,0,0,53,1.8
Staunton High School,Staunton CUSD 6,479.3,489.7,86,86,Illinois,39.0184376,-89.79523,801 North Deneen Street,62088,Macoupin County,Staunton,17117,"801 North Deneen Street, Staunton, Illinois, 62088",957200,17117957200,2019,957200,Macoupin County,Illinois,480,28,196,219,37,3286,0,128,1394,890,318,433,123,5.8,40.8,45.6,7.7,0,3.9,42.4,27.1,9.7,13.2,3.7,2008,50690,58600,4618,14,0.3,4604,99.7,4500,97.4,8,0.2,0,0,49,1.1,0,0,0,0,47,1
Taylorville Sr High School,Taylorville CUSD 3,475,475.4,192,192,Illinois,39.60783,-89.2086773,,N/A,Christian County,N/A,17021,,958600,17021958600,2019,958600,Christian County,Illinois,81,17,27,13,24,1489,29,164,510,282,125,286,93,21,33.3,16,29.6,1.9,11,34.3,18.9,8.4,19.2,6.2,934,65909,75251,2046,4,0.2,2042,99.8,2039,99.7,0,0,0,0,0,0,0,0,0,0,3,0.1
