School Name,District Name,Reading/Writing Score,Math Score,Tests Taken,# Students SAT ELA Participation
Dupo High School,Dupo CUSD 196,467.9,462.3,61.0,61.0
Lewistown Jr/Sr High School,Lewistown CUSD 97,482.1,448.8,56.0,56.0
Streamwood High School,SD U-46,471.9,464.4,464.0,464.0
Heyworth Jr-Sr High School,Heyworth CUSD 4,495.3,480.7,76.0,76.0
Amandla Charter School,Amandla Charter School,389.1,375.9,70.0,70.0
Noble St Chtr-Comer College Prep,City of Chicago SD 299,463.4,452.3,191.0,191.0
Austin College and Career Academy High School,City of Chicago SD 299,384.7,383.1,58.0,58.0
Pontiac High School,Pontiac Twp HSD 90,481.7,483.6,144.0,144.0
Edinburg High School,Edinburg CUSD 4,442.0,431.0,10.0,10.0
Eisenhower High School,Decatur SD 61,418.6,404.8,258.0,258.0
Midland High School,Midland CUSD 7,521.6,499.6,55.0,55.0
Altamont High School,Altamont CUSD 10,472.1,474.9,47.0,47.0
Spry Community Links High School,City of Chicago SD 299,422.2,421.9,32.0,32.0
YCCS-Olive Harvey Mid College HS,City of Chicago SD 299,387.3,369.8,44.0,44.0
Westinghouse High School,City of Chicago SD 299,521.0,527.2,271.0,271.0
Johnsburg High School,Johnsburg CUSD 12,505.2,505.8,149.0,149.0
Steeleville High School,Steeleville CUSD 138,499.4,490.3,35.0,35.0
Hall High School,Hall HSD 502,481.3,486.0,104.0,104.0
Bolingbrook High School,Valley View CUSD 365U,484.8,491.9,853.0,853.0
Illini Central High School,Illini Central CUSD 189,478.6,426.8,37.0,37.0
Mt Zion High School,Mt Zion CUSD 3,520.2,522.1,212.0,212.0
Paris Cooperative High School,Paris Cooperative High School,484.2,472.8,142.0,142.0
Springfield High School,Springfield SD 186,516.8,509.8,275.0,275.0
DePue High School,DePue USD 103,423.3,414.2,24.0,24.0
Woodland High School,Woodland CUSD 5,459.0,478.2,39.0,39.0
Noble St Chtr-DRW Trading College Prep,City of Chicago SD 299,429.5,427.4,77.0,77.0
Mendota Twp High School,Mendota Twp HSD 280,483.7,491.2,125.0,125.0
Elmwood Park High School,Elmwood Park CUSD 401,490.7,490.1,210.0,210.0
Cairo Jr/Sr High School,Cairo USD 1,419.3,400.0,14.0,14.0
Pearl City High School,Pearl City CUSD 200,496.4,490.7,28.0,28.0
Chicago Academy High School,City of Chicago SD 299,468.7,452.4,141.0,141.0
Ottawa Township High School,Ottawa Twp HSD 140,491.0,472.9,271.0,271.0
Douglass Academy High School,City of Chicago SD 299,400.0,372.7,15.0,15.0
Salt Fork High School,Salt Fork Community Unit District  512,473.0,467.0,64.0,64.0
McHenry High School-West Campus,McHenry CHSD 156,497.4,498.5,343.0,343.0
ASPIRA Charter - Early College Prep HS,City of Chicago SD 299,421.6,424.8,85.0,85.0
Dunbar Vocational Career Acad HS,City of Chicago SD 299,402.1,386.3,75.0,75.0
Oakland High School,Oakland CUSD 5,488.1,443.8,16.0,16.0
O Fallon High School,O Fallon Twp HSD 203,533.3,540.3,587.0,587.0
Gage Park High School,City of Chicago SD 299,397.9,381.7,121.0,121.0
Ohio Community High School,Ohio CHSD 505,437.5,436.3,,
Lincoln Comm High School,Lincoln CHSD 404,488.4,484.1,185.0,185.0
Mercer County High School,Mercer County School District 404,507.6,494.4,84.0,84.0
