unique_id,year,tract_number,county_name,state_name,Population 18 to 24 years (estimate),"18-24, less than high school graduate (estimate)","18-24, high school graduate or eq. (estimate)","18-24, some college or associate's degree (estimate)","18-24, bachelor's degree or higher",Population 25 years and over (estimate),"25 and over, less than 9th grade (estimate)","25 and over, 9th to 12th grade, no diploma (estimate)","25 and over, high school graduate or eq. (estimate)","25 and over, some college, no degree (estimate)","25 and over, associate's degree (estimate)","25 and over, bachelor's degree (estimate)","25 and over, graduate or professional degree (estimate)","18-24, less than high school graduate (percentage)","18-24, high school graduate or eq. (percentage)","18-24, some college or associate's degree (percentage)","18-24, bachelor's degree or higher (percentage)","25 and over, less than 9th grade (percentage)","25 and over, 9th to 12th grade, no diploma (percentage)","25 and over, high school graduate or eq. (percentage)","25 and over, some college, no degree (percentage)","25 and over, associate's degree (percentage)","25 and over, bachelor's degree (percentage)","25 and over, graduate or professional degree (percentage)",Total number of households,Median household income (dollars),Mean household income (dollars),Total population,Hispanic or Latino (estimate),Hispanic or Latino (percentage),Not Hispanic or Latino (estimate),Not Hispanic or Latino (percentage),White alone (estimate),White alone (percentage),Black or African American alone (estimate),Black or African American alone (percentage),American Indian and Alaska Native alone (estimate),American Indian and Alaska Native alone (percentage),Asian alone (estimate),Asian alone (percentage),Native Hawaiian and Other Pacific Islander alone (estimate),Native Hawaiian and Other Pacific Islander alone (percentage),Some other race alone (estimate),Some other race alone (percentage),Two or more races alone (estimate),Two or more races alone (percentage)
05015950100,2023,950100,Carroll County,Arkansas,132,15,52,61,4,2349,19,100,607,743,207,448,225,11.4,39.4,46.2,3.0,0.8,4.3,25.8,31.6,8.8,19.1,9.6,1372,45000,66141,2954,125,4.2,2829,95.8,2600,88.0,7,0.2,43,1.5,0,0.0,0,0.0,18,0.6,161,5.5
05015950201,2023,950201,Carroll County,Arkansas,189,12,94,83,0,3049,0,63,868,768,318,812,220,6.3,49.7,43.9,0.0,0.0,2.1,28.5,25.2,10.4,26.6,7.2,1712,78833,82391,3806,83,2.2,3723,97.8,3341,87.8,26,0.7,48,1.3,30,0.8,0,0.0,0,0.0,278,7.3
05015950202,2023,950202,Carroll County,Arkansas,184,23,86,75,0,2179,88,95,633,410,375,361,217,12.5,46.7,40.8,0.0,4.0,4.4,29.1,18.8,17.2,16.6,10.0,1114,51892,58338,2579,214,8.3,2365,91.7,2205,85.5,0,0.0,0,0.0,46,1.8,0,0.0,0,0.0,114,4.4
05015950301,2023,950301,Carroll County,Arkansas,191,13,137,23,18,2470,463,278,887,271,167,284,120,6.8,71.7,12.0,9.4,18.7,11.3,35.9,11.0,6.8,11.5,4.9,1510,48377,82161,3410,853,25.0,2557,75.0,2048,60.1,0,0.0,0,0.0,14,0.4,0,0.0,0,0.0,495,14.5
05015950302,2023,950302,Carroll County,Arkansas,330,115,112,46,57,2796,338,169,1044,513,217,166,349,34.8,33.9,13.9,17.3,12.1,6.0,37.3,18.3,7.8,5.9,12.5,1609,44583,60195,4586,926,20.2,3660,79.8,2634,57.4,21,0.5,100,2.2,105,2.3,97,2.1,0,0.0,703,15.3
05015950400,2023,950400,Carroll County,Arkansas,146,25,50,62,9,2933,240,283,1274,563,178,343,52,17.1,34.2,42.5,6.2,8.2,9.6,43.4,19.2,6.1,11.7,1.8,1559,71116,78167,3962,216,5.5,3746,94.5,3062,77.3,0,0.0,64,1.6,9,0.2,0,0.0,26,0.7,585,14.8
05015950501,2023,950501,Carroll County,Arkansas,193,102,19,72,0,1554,49,106,713,293,128,204,61,52.8,9.8,37.3,0.0,3.2,6.8,45.9,18.9,8.2,13.1,3.9,805,55486,87321,2340,23,1.0,2317,99.0,2054,87.8,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,263,11.2
05015950502,2023,950502,Carroll County,Arkansas,528,220,209,35,64,3013,611,353,1052,392,171,310,124,41.7,39.6,6.6,12.1,20.3,11.7,34.9,13.0,5.7,10.3,4.1,1425,48065,64438,4889,1983,40.6,2906,59.4,2169,44.4,0,0.0,17,0.3,244,5.0,257,5.3,0,0.0,219,4.5
05017080100,2023,80100,Chicot County,Arkansas,278,36,192,41,9,2239,122,251,920,472,58,304,112,12.9,69.1,14.7,3.2,5.4,11.2,41.1,21.1,2.6,13.6,5.0,974,69207,92056,3058,295,9.6,2763,90.4,2088,68.3,586,19.2,8,0.3,0,0.0,0,0.0,0,0.0,81,2.6
05017080200,2023,80200,Chicot County,Arkansas,152,8,97,47,0,1372,79,161,573,309,28,205,17,5.3,63.8,30.9,0.0,5.8,11.7,41.8,22.5,2.0,14.9,1.2,889,25518,43304,2173,1,0.0,2172,100.0,494,22.7,1662,76.5,0,0.0,8,0.4,0,0.0,0,0.0,8,0.4
