unique_id,year,tract_number,county_name,state_name,Total population,Hispanic or Latino (estimate),Hispanic or Latino (percentage),Not Hispanic or Latino (estimate),Not Hispanic or Latino (percentage),White alone (estimate),White alone (percentage),Black or African American alone (estimate),Black or African American alone (percentage),American Indian and Alaska Native alone (estimate),American Indian and Alaska Native alone (percentage),Asian alone (estimate),Asian alone (percentage),Native Hawaiian and Other Pacific Islander alone (estimate),Native Hawaiian and Other Pacific Islander alone (percentage),Some other race alone (estimate),Some other race alone (percentage),Two or more races alone (estimate),Two or more races alone (percentage)
05119002405,2023,2405,Pulaski County,Arkansas,6114,1705,27.9,4409,72.1,944,15.4,3465,56.7,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
05119002406,2023,2406,Pulaski County,Arkansas,3052,826,27.1,2226,72.9,700,22.9,1475,48.3,0,0.0,0,0.0,0,0.0,0,0.0,51,1.7
05119002407,2023,2407,Pulaski County,Arkansas,2113,432,20.4,1681,79.6,1197,56.6,230,10.9,13,0.6,224,10.6,0,0.0,0,0.0,17,0.8
05119002409,2023,2409,Pulaski County,Arkansas,3399,133,3.9,3266,96.1,719,21.2,2248,66.1,0,0.0,107,3.1,0,0.0,0,0.0,192,5.6
05119002410,2023,2410,Pulaski County,Arkansas,3372,5,0.1,3367,99.9,696,20.6,2584,76.6,0,0.0,39,1.2,0,0.0,0,0.0,48,1.4
05119002500,2023,2500,Pulaski County,Arkansas,1259,28,2.2,1231,97.8,660,52.4,434,34.5,0,0.0,54,4.3,6,0.5,0,0.0,77,6.1
05119002600,2023,2600,Pulaski County,Arkansas,988,0,0.0,988,100.0,128,13.0,860,87.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
05119002700,2023,2700,Pulaski County,Arkansas,5960,608,10.2,5352,89.8,1058,17.8,3978,66.7,116,1.9,0,0.0,0,0.0,0,0.0,200,3.4
05119002800,2023,2800,Pulaski County,Arkansas,1820,35,1.9,1785,98.1,0,0.0,1753,96.3,0,0.0,0,0.0,0,0.0,0,0.0,32,1.8
05119002900,2023,2900,Pulaski County,Arkansas,1241,179,14.4,1062,85.6,84,6.8,957,77.1,0,0.0,0,0.0,0,0.0,0,0.0,21,1.7
05119003001,2023,3001,Pulaski County,Arkansas,2596,117,4.5,2479,95.5,1099,42.3,1324,51.0,4,0.2,47,1.8,0,0.0,0,0.0,5,0.2
05119003002,2023,3002,Pulaski County,Arkansas,2828,113,4.0,2715,96.0,864,30.6,1819,64.3,0,0.0,0,0.0,0,0.0,0,0.0,32,1.1
05119003100,2023,3100,Pulaski County,Arkansas,1007,7,0.7,1000,99.3,106,10.5,884,87.8,10,1.0,0,0.0,0,0.0,0,0.0,0,0.0
05119003202,2023,3202,Pulaski County,Arkansas,6619,767,11.6,5852,88.4,2187,33.0,3486,52.7,13,0.2,0,0.0,0,0.0,0,0.0,166,2.5
05119003207,2023,3207,Pulaski County,Arkansas,2357,225,9.5,2132,90.5,964,40.9,879,37.3,0,0.0,16,0.7,0,0.0,0,0.0,273,11.6
05119003208,2023,3208,Pulaski County,Arkansas,5009,538,10.7,4471,89.3,1638,32.7,2378,47.5,0,0.0,0,0.0,0,0.0,375,7.5,80,1.6
05119003303,2023,3303,Pulaski County,Arkansas,4969,225,4.5,4744,95.5,3989,80.3,302,6.1,18,0.4,30,0.6,0,0.0,0,0.0,405,8.2
05119003305,2023,3304,Pulaski County,Arkansas,4267,1064,24.9,3203,75.1,1873,43.9,1135,26.6,0,0.0,39,0.9,0,0.0,0,0.0,156,3.7
05119003306,2023,3306,Pulaski County,Arkansas,3126,125,4.0,3001,96.0,1700,54.4,1006,32.2,16,0.5,122,3.9,0,0.0,17,0.5,140,4.5
05119003307,2023,3307,Pulaski County,Arkansas,1705,73,4.3,1632,95.7,1058,62.1,517,30.3,0,0.0,0,0.0,0,0.0,0,0.0,57,3.3
05119003308,2023,3308,Pulaski County,Arkansas,4044,42,1.0,4002,99.0,3520,87.0,331,8.2,0,0.0,30,0.7,0,0.0,44,1.1,77,1.9
05119003403,2023,3403,Pulaski County,Arkansas,2623,28,1.1,2595,98.9,2364,90.1,42,1.6,0,0.0,51,1.9,0,0.0,0,0.0,138,5.3
05119003404,2023,3404,Pulaski County,Arkansas,4486,54,1.2,4432,98.8,3669,81.8,306,6.8,10,0.2,261,5.8,0,0.0,0,0.0,186,4.1
05119003405,2023,3404,Pulaski County,Arkansas,1315,53,4.0,1262,96.0,918,69.8,246,18.7,2,0.2,55,4.2,0,0.0,0,0.0,41,3.1
05119003406,2023,3406,Pulaski County,Arkansas,4610,98,2.1,4512,97.9,3274,71.0,954,20.7,38,0.8,30,0.7,0,0.0,3,0.1,213,4.6
05119003604,2023,3604,Pulaski County,Arkansas,6394,110,1.7,6284,98.3,2954,46.2,2594,40.6,25,0.4,146,2.3,0,0.0,0,0.0,565,8.8
05119003605,2023,3604,Pulaski County,Arkansas,5855,537,9.2,5318,90.8,2187,37.4,2921,49.9,0,0.0,58,1.0,0,0.0,24,0.4,128,2.2
05119003606,2023,3606,Pulaski County,Arkansas,3484,983,28.2,2501,71.8,1024,29.4,1464,42.0,0,0.0,0,0.0,0,0.0,0,0.0,13,0.4
05119003607,2023,3607,Pulaski County,Arkansas,4168,304,7.3,3864,92.7,1341,32.2,2092,50.2,11,0.3,122,2.9,0,0.0,43,1.0,255,6.1
05119003608,2023,3608,Pulaski County,Arkansas,5759,290,5.0,5469,95.0,1711,29.7,3536,61.4,0,0.0,36,0.6,0,0.0,0,0.0,186,3.2
05119003609,2023,3609,Pulaski County,Arkansas,4553,367,8.1,4186,91.9,2063,45.3,1710,37.6,0,0.0,47,1.0,0,0.0,0,0.0,366,8.0
05119003703,2023,3703,Pulaski County,Arkansas,6159,186,3.0,5973,97.0,4673,75.9,1080,17.5,0,0.0,12,0.2,0,0.0,17,0.3,191,3.1
05119003704,2023,3704,Pulaski County,Arkansas,3675,203,5.5,3472,94.5,2123,57.8,1226,33.4,16,0.4,60,1.6,0,0.0,0,0.0,47,1.3
05119003707,2023,3707,Pulaski County,Arkansas,3857,26,0.7,3831,99.3,2415,62.6,1231,31.9,0,0.0,31,0.8,0,0.0,50,1.3,104,2.7
05119003711,2023,3711,Pulaski County,Arkansas,5753,66,1.1,5687,98.9,4115,71.5,1493,26.0,5,0.1,67,1.2,0,0.0,0,0.0,7,0.1
05119003712,2023,3711,Pulaski County,Arkansas,4404,100,2.3,4304,97.7,3073,69.8,996,22.6,0,0.0,20,0.5,0,0.0,0,0.0,215,4.9
