unique_id,year,tract_number,county_name,state_name,Population 18 to 24 years (estimate),"18-24, less than high school graduate (estimate)","18-24, high school graduate or eq. (estimate)","18-24, some college or associate's degree (estimate)","18-24, bachelor's degree or higher",Population 25 years and over (estimate),"25 and over, less than 9th grade (estimate)","25 and over, 9th to 12th grade, no diploma (estimate)","25 and over, high school graduate or eq. (estimate)","25 and over, some college, no degree (estimate)","25 and over, associate's degree (estimate)","25 and over, bachelor's degree (estimate)","25 and over, graduate or professional degree (estimate)","18-24, less than high school graduate (percentage)","18-24, high school graduate or eq. (percentage)","18-24, some college or associate's degree (percentage)","18-24, bachelor's degree or higher (percentage)","25 and over, less than 9th grade (percentage)","25 and over, 9th to 12th grade, no diploma (percentage)","25 and over, high school graduate or eq. (percentage)","25 and over, some college, no degree (percentage)","25 and over, associate's degree (percentage)","25 and over, bachelor's degree (percentage)","25 and over, graduate or professional degree (percentage)",Total number of households,Median household income (dollars),Mean household income (dollars),Total population,Hispanic or Latino (estimate),Hispanic or Latino (percentage),Not Hispanic or Latino (estimate),Not Hispanic or Latino (percentage),White alone (estimate),White alone (percentage),Black or African American alone (estimate),Black or African American alone (percentage),American Indian and Alaska Native alone (estimate),American Indian and Alaska Native alone (percentage),Asian alone (estimate),Asian alone (percentage),Native Hawaiian and Other Pacific Islander alone (estimate),Native Hawaiian and Other Pacific Islander alone (percentage),Some other race alone (estimate),Some other race alone (percentage),Two or more races alone (estimate),Two or more races alone (percentage)
25025130200,2020,130200,Suffolk County,Massachusetts,187,0,0,99,88,3618,73,43,413,308,166,1242,1373,0.0,0.0,52.9,47.1,2.0,1.2,11.4,8.5,4.6,34.3,37.9,1965,126659,147556,4890,530,10.8,4360,89.2,3990,81.6,116,2.4,0,0.0,166,3.4,0,0.0,0,0.0,88,1.8
25025130300,2020,130300,Suffolk County,Massachusetts,187,60,51,48,28,3418,25,43,521,229,186,1114,1300,32.1,27.3,25.7,15.0,0.7,1.3,15.2,6.7,5.4,32.6,38.0,1725,132344,170303,4446,285,6.4,4161,93.6,3922,88.2,96,2.2,0,0.0,118,2.7,0,0.0,7,0.2,18,0.4
25025130402,2020,130402,Suffolk County,Massachusetts,166,0,25,71,70,4396,111,38,840,695,293,1416,1003,0.0,15.1,42.8,42.2,2.5,0.9,19.1,15.8,6.7,32.2,22.8,2257,98102,129787,5646,662,11.7,4984,88.3,3699,65.5,80,1.4,0,0.0,686,12.2,0,0.0,8,0.1,511,9.1
25025130404,2020,130404,Suffolk County,Massachusetts,58,0,34,24,0,2479,158,112,564,481,227,468,469,0.0,58.6,41.4,0.0,6.4,4.5,22.8,19.4,9.2,18.9,18.9,1333,77841,91503,3003,384,12.8,2619,87.2,1673,55.7,489,16.3,0,0.0,321,10.7,0,0.0,0,0.0,136,4.5
25025130406,2020,130406,Suffolk County,Massachusetts,314,97,78,93,46,3771,268,315,765,656,515,755,497,30.9,24.8,29.6,14.6,7.1,8.4,20.3,17.4,13.7,20.0,13.2,2368,49488,64161,6081,1203,19.8,4878,80.2,1599,26.3,2733,44.9,0,0.0,366,6.0,0,0.0,0,0.0,180,3.0
25025140102,2020,140102,Suffolk County,Massachusetts,580,64,132,326,58,3717,129,238,1054,581,375,811,529,11.0,22.8,56.2,10.0,3.5,6.4,28.4,15.6,10.1,21.8,14.2,1849,102924,112538,5817,1128,19.4,4689,80.6,1847,31.8,2513,43.2,0,0.0,220,3.8,0,0.0,0,0.0,109,1.9
25025140105,2020,140105,Suffolk County,Massachusetts,330,13,119,137,61,2675,180,163,548,751,194,468,371,3.9,36.1,41.5,18.5,6.7,6.1,20.5,28.1,7.3,17.5,13.9,1318,86543,91395,3770,1283,34.0,2487,66.0,1036,27.5,1333,35.4,0,0.0,17,0.5,0,0.0,68,1.8,33,0.9
25025140106,2020,140106,Suffolk County,Massachusetts,172,10,79,41,42,1557,119,154,480,374,96,185,149,5.8,45.9,23.8,24.4,7.6,9.9,30.8,24.0,6.2,11.9,9.6,1040,38939,63568,2329,662,28.4,1667,71.6,445,19.1,1099,47.2,0,0.0,71,3.0,0,0.0,17,0.7,35,1.5
25025140107,2020,140107,Suffolk County,Massachusetts,120,11,43,54,12,2313,196,147,635,282,223,498,332,9.2,35.8,45.0,10.0,8.5,6.4,27.5,12.2,9.6,21.5,14.4,1104,78098,102106,3153,877,27.8,2276,72.2,958,30.4,1208,38.3,17,0.5,0,0.0,0,0.0,7,0.2,86,2.7
25025140201,2020,140201,Suffolk County,Massachusetts,133,18,26,52,37,1959,96,161,437,373,267,443,182,13.5,19.5,39.1,27.8,4.9,8.2,22.3,19.0,13.6,22.6,9.3,970,93500,94613,2803,498,17.8,2305,82.2,1137,40.6,942,33.6,0,0.0,126,4.5,0,0.0,12,0.4,88,3.1
25025140202,2020,140202,Suffolk County,Massachusetts,570,62,297,184,27,4828,408,185,1246,1076,405,998,510,10.9,52.1,32.3,4.7,8.5,3.8,25.8,22.3,8.4,20.7,10.6,2161,86553,135337,6678,2553,38.2,4125,61.8,2072,31.0,1571,23.5,0,0.0,313,4.7,0,0.0,22,0.3,147,2.2
25025140300,2020,140300,Suffolk County,Massachusetts,562,199,283,80,0,5678,361,305,1523,1215,619,1341,314,35.4,50.4,14.2,0.0,6.4,5.4,26.8,21.4,10.9,23.6,5.5,2770,68472,71780,7517,1973,26.2,5544,73.8,1241,16.5,4169,55.5,0,0.0,78,1.0,0,0.0,0,0.0,56,0.7
25025140400,2020,140400,Suffolk County,Massachusetts,632,202,64,243,123,6904,605,767,1812,1387,489,972,872,32.0,10.1,38.4,19.5,8.8,11.1,26.2,20.1,7.1,14.1,12.6,3091,62910,79746,9621,2846,29.6,6775,70.4,949,9.9,5439,56.5,26,0.3,22,0.2,0,0.0,19,0.2,320,3.3
25025160102,2020,160102,Suffolk County,Massachusetts,373,149,109,69,46,2250,570,231,585,368,22,383,91,39.9,29.2,18.5,12.3,25.3,10.3,26.0,16.4,1.0,17.0,4.0,1223,58785,72386,3671,2831,77.1,840,22.9,222,6.0,175,4.8,0,0.0,302,8.2,0,0.0,0,0.0,141,3.8
25025160103,2020,160103,Suffolk County,Massachusetts,449,92,26,298,33,3004,1024,227,909,348,167,208,121,20.5,5.8,66.4,7.3,34.1,7.6,30.3,11.6,5.6,6.9,4.0,1177,68545,87477,4902,3980,81.2,922,18.8,591,12.1,280,5.7,0,0.0,0,0.0,0,0.0,0,0.0,51,1.0
25025160200,2020,160200,Suffolk County,Massachusetts,260,33,125,85,17,2491,719,286,794,328,61,206,97,12.7,48.1,32.7,6.5,28.9,11.5,31.9,13.2,2.4,8.3,3.9,1197,54725,61402,4222,3812,90.3,410,9.7,272,6.4,58,1.4,0,0.0,36,0.9,0,0.0,0,0.0,44,1.0
25025160300,2020,160300,Suffolk County,Massachusetts,39,15,13,0,11,1908,95,253,294,324,137,444,361,38.5,33.3,0.0,28.2,5.0,13.3,15.4,17.0,7.2,23.3,18.9,1267,62125,80016,2112,738,34.9,1374,65.1,1233,58.4,96,4.5,0,0.0,11,0.5,0,0.0,8,0.4,26,1.2
25025160400,2020,160400,Suffolk County,Massachusetts,337,51,149,23,114,2266,456,229,385,434,66,392,304,15.1,44.2,6.8,33.8,20.1,10.1,17.0,19.2,2.9,17.3,13.4,1457,62784,72182,3282,2098,63.9,1184,36.1,813,24.8,221,6.7,0,0.0,58,1.8,0,0.0,19,0.6,73,2.2
25025160501,2020,160501,Suffolk County,Massachusetts,412,37,115,230,30,4074,953,333,1279,497,123,599,290,9.0,27.9,55.8,7.3,23.4,8.2,31.4,12.2,3.0,14.7,7.1,1906,54773,70054,5738,4172,72.7,1566,27.3,965,16.8,270,4.7,0,0.0,315,5.5,0,0.0,16,0.3,0,0.0
25025160502,2020,160502,Suffolk County,Massachusetts,466,202,173,77,14,3483,779,364,1355,346,265,263,111,43.3,37.1,16.5,3.0,22.4,10.5,38.9,9.9,7.6,7.6,3.2,1827,50140,62110,5546,3556,64.1,1990,35.9,1010,18.2,229,4.1,0,0.0,156,2.8,0,0.0,10,0.2,585,10.5
25025160601,2020,160601,Suffolk County,Massachusetts,593,132,236,151,74,3735,482,392,1083,515,356,605,302,22.3,39.8,25.5,12.5,12.9,10.5,29.0,13.8,9.5,16.2,8.1,1516,72305,82593,5219,3070,58.8,2149,41.2,1488,28.5,219,4.2,0,0.0,137,2.6,0,0.0,55,1.1,250,4.8
