unique_id,year,tract_number,county_name,state_name,Population 18 to 24 years (estimate),"18-24, less than high school graduate (estimate)","18-24, high school graduate or eq. (estimate)","18-24, some college or associate's degree (estimate)","18-24, bachelor's degree or higher",Population 25 years and over (estimate),"25 and over, less than 9th grade (estimate)","25 and over, 9th to 12th grade, no diploma (estimate)","25 and over, high school graduate or eq. (estimate)","25 and over, some college, no degree (estimate)","25 and over, associate's degree (estimate)","25 and over, bachelor's degree (estimate)","25 and over, graduate or professional degree (estimate)","18-24, less than high school graduate (percentage)","18-24, high school graduate or eq. (percentage)","18-24, some college or associate's degree (percentage)","18-24, bachelor's degree or higher (percentage)","25 and over, less than 9th grade (percentage)","25 and over, 9th to 12th grade, no diploma (percentage)","25 and over, high school graduate or eq. (percentage)","25 and over, some college, no degree (percentage)","25 and over, associate's degree (percentage)","25 and over, bachelor's degree (percentage)","25 and over, graduate or professional degree (percentage)"
17199020900,2020,20900,Williamson County,Illinois,394,16,60,214,104,3704,72,94,1165,773,454,692,454,4.1,15.2,54.3,26.4,1.9,2.5,31.5,20.9,12.3,18.7,12.3
17199021001,2020,21001,Williamson County,Illinois,232,12,86,134,0,1978,69,139,608,636,60,260,206,5.2,37.1,57.8,0.0,3.5,7.0,30.7,32.2,3.0,13.1,10.4
17199021002,2020,21002,Williamson County,Illinois,23,2,19,0,2,1148,23,22,304,244,153,255,147,8.7,82.6,0.0,8.7,2.0,1.9,26.5,21.3,13.3,22.2,12.8
17199021003,2020,21003,Williamson County,Illinois,6,0,6,0,0,921,0,16,421,107,15,243,119,0.0,100.0,0.0,0.0,0.0,1.7,45.7,11.6,1.6,26.4,12.9
17199021100,2020,21100,Williamson County,Illinois,241,71,73,97,0,1860,40,183,607,451,248,186,145,29.5,30.3,40.2,0.0,2.2,9.8,32.6,24.2,13.3,10.0,7.8
17199021200,2020,21200,Williamson County,Illinois,249,15,88,131,15,3126,33,95,1133,816,357,455,237,6.0,35.3,52.6,6.0,1.1,3.0,36.2,26.1,11.4,14.6,7.6
17199021300,2020,21300,Williamson County,Illinois,317,19,76,177,45,3397,50,85,782,1073,429,615,363,6.0,24.0,55.8,14.2,1.5,2.5,23.0,31.6,12.6,18.1,10.7
17199021400,2020,21400,Williamson County,Illinois,310,48,192,47,23,4450,107,262,1334,1160,366,745,476,15.5,61.9,15.2,7.4,2.4,5.9,30.0,26.1,8.2,16.7,10.7
17201000101,2020,101,Winnebago County,Illinois,404,18,154,232,0,3182,66,277,1040,1113,377,161,148,4.5,38.1,57.4,0.0,2.1,8.7,32.7,35.0,11.8,5.1,4.7
17201000103,2020,103,Winnebago County,Illinois,196,48,81,67,0,1719,50,158,781,405,154,123,48,24.5,41.3,34.2,0.0,2.9,9.2,45.4,23.6,9.0,7.2,2.8
17201000104,2020,104,Winnebago County,Illinois,157,22,78,44,13,1861,27,120,1048,362,154,101,49,14.0,49.7,28.0,8.3,1.5,6.4,56.3,19.5,8.3,5.4,2.6
17201000105,2020,105,Winnebago County,Illinois,317,82,88,122,25,2807,19,184,1155,693,280,407,69,25.9,27.8,38.5,7.9,0.7,6.6,41.1,24.7,10.0,14.5,2.5
17201000200,2020,200,Winnebago County,Illinois,508,139,298,55,16,2053,65,101,844,501,205,244,93,27.4,58.7,10.8,3.1,3.2,4.9,41.1,24.4,10.0,11.9,4.5
