school_name,Grades,District Name,perc_math_readiness,perc_english_readiness,perc_reading_readiness,perc_science_readiness,perc_all_subject_readiness,number_of_students,perc_frl,perc_white,perc_hispanic,perc_african_american,perc_other_race,perc_minority,Region,number_grade_11_students,number_test_taking_grade_11_students,perc_test_taking_students_15_16,ACT_math,ACT_english,ACT_reading,ACT_science,is_open_enrollment_charter,County,School LEA,DLEA,year
BLEVINS HIGH SCHOOL,7-12,BLEVINS SCHOOL DISTRICT,7.0,30.0,26.0,7.0,4.0,195.0,80.0,64.0,13.0,18.0,6.0,36.0,4,30,27.0,90.0,16.0,16.1,16.9,16.6,0,HEMPSTEAD,2901002,2901000,2021.0
BOONEVILLE HIGH SCHOOL,10-12,BOONEVILLE SCHOOL DISTRICT,19.0,46.0,31.0,21.0,13.0,252.0,67.0,87.0,8.0,1.0,5.0,13.0,1,91,80.0,88.0,17.7,17.8,18.5,18.8,0,LOGAN,4201002,4201000,2021.0
BRADFORD HIGH SCHOOL,7-12,BRADFORD SCHOOL DISTRICT,4.0,39.0,30.0,17.0,4.0,208.0,80.0,97.0,0.0,2.0,0.0,3.0,2,31,23.0,74.0,15.8,16.9,18.1,17.4,0,WHITE,7303015,7303000,2021.0
BRADLEY HIGH SCHOOL,7-12,EMERSON-TAYLOR-BRADLEY SCHOOL DISTRICT,35.0,65.0,41.0,29.0,24.0,137.0,57.0,63.0,4.0,34.0,0.0,37.0,4,17,17.0,100.0,18.8,18.9,19.3,19.2,0,COLUMBIA,1408007,1408000,2021.0
BRINKLEY HIGH SCHOOL,7-12,BRINKLEY SCHOOL DISTRICT,8.0,15.0,12.0,4.0,0.0,179.0,75.0,31.0,2.0,65.0,2.0,69.0,5,35,26.0,74.0,15.2,12.7,14.4,14.8,0,MONROE,4801003,4801000,2021.0
BROOKLAND HIGH SCHOOL,10-12,BROOKLAND SCHOOL DISTRICT,16.0,43.0,36.0,28.0,11.0,569.0,30.0,91.0,4.0,4.0,2.0,9.0,2,198,172.0,87.0,18.1,17.5,19.2,19.7,0,CRAIGHEAD,1603007,1603000,2021.0
BRUNO-PYATT K-12 SCHOOL,K-12,OZARK MOUNTAIN SCHOOL DISTRICT,8.0,42.0,42.0,8.0,8.0,157.0,80.0,94.0,3.0,0.0,3.0,6.0,1,15,12.0,80.0,16.8,17.6,20.4,19.3,0,SEARCY,6505017,6505000,2021.0
BRYANT HIGH SCHOOL,10-12,BRYANT SCHOOL DISTRICT,26.0,54.0,37.0,29.0,19.0,2063.0,36.0,62.0,15.0,20.0,4.0,38.0,3,701,609.0,87.0,18.5,18.9,20.0,19.5,0,SALINE,6303022,6303000,2021.0
BUFFALO ISLAND CENTRAL HIGH SCHOOL,7-12,BUFFALO ISLAND CENTRAL SCHOOL DISTRICT,5.0,44.0,27.0,20.0,2.0,341.0,56.0,78.0,21.0,0.0,1.0,22.0,2,53,41.0,77.0,16.2,17.6,18.6,18.2,0,CRAIGHEAD,1605065,1605000,2021.0
CABOT HIGH SCHOOL,10-12,CABOT SCHOOL DISTRICT,26.0,53.0,38.0,33.0,20.0,2138.0,29.0,83.0,8.0,3.0,7.0,17.0,3,698,636.0,91.0,18.9,18.8,19.8,20.1,0,LONOKE,4304005,4304000,2021.0
CADDO HILLS HIGH SCHOOL,7-12,CADDO HILLS SCHOOL DISTRICT,9.0,36.0,18.0,12.0,9.0,259.0,71.0,79.0,17.0,0.0,4.0,21.0,4,42,33.0,79.0,16.8,16.1,16.8,17.7,0,MONTGOMERY,4901003,4901000,2021.0
CALICO ROCK HIGH SCHOOL,7-12,CALICO ROCK SCHOOL DISTRICT,11.0,37.0,30.0,22.0,11.0,180.0,62.0,97.0,2.0,0.0,1.0,3.0,2,28,27.0,96.0,17.2,17.1,19.4,18.7,0,IZARD,3301002,3301000,2021.0
CAMDEN FAIRVIEW HIGH SCHOOL,9-12,CAMDEN FAIRVIEW SCHOOL DISTRICT,3.0,26.0,15.0,13.0,3.0,689.0,71.0,29.0,3.0,63.0,5.0,71.0,4,155,145.0,94.0,15.3,14.5,16.0,16.3,0,OUACHITA,5204023,5204000,2021.0
CARLISLE HIGH SCHOOL,7-12,CARLISLE SCHOOL DISTRICT,8.0,37.0,22.0,14.0,6.0,288.0,63.0,81.0,5.0,10.0,4.0,19.0,3,51,49.0,96.0,16.4,15.8,17.0,18.0,0,LONOKE,4303013,4303000,2021.0
CAVE CITY HIGH CAREER & COLLEGIATE PREPARATORY SCH,9-12,CAVE CITY SCHOOL DISTRICT,24.0,50.0,26.0,22.0,12.0,409.0,76.0,95.0,3.0,1.0,1.0,5.0,2,107,82.0,77.0,18.2,18.4,18.7,19.4,0,SHARP,6802703,6802000,2021.0
CEDAR RIDGE HIGH SCHOOL,6-12,CEDAR RIDGE SCHOOL DISTRICT,13.0,30.0,23.0,15.0,10.0,365.0,67.0,92.0,7.0,1.0,1.0,8.0,2,48,40.0,83.0,16.8,16.0,17.8,17.5,0,INDEPENDENCE,3212027,3212000,2021.0
CEDARVILLE HIGH SCHOOL,9-12,CEDARVILLE SCHOOL DISTRICT,15.0,46.0,27.0,17.0,6.0,253.0,68.0,82.0,4.0,0.0,14.0,18.0,1,58,48.0,83.0,17.1,16.5,17.6,17.5,0,CRAWFORD,1702009,1702000,2021.0
CENTERPOINT ACADEMY OF AGRICULTURE & SKILLED TRADE,11-12,CENTERPOINT SCHOOL DISTRICT,0.0,13.0,19.0,0.0,0.0,28.0,57.0,96.0,4.0,0.0,0.0,4.0,4,18,16.0,89.0,14.1,12.6,13.9,14.4,0,PIKE,5502703,5502000,2021.0
CENTRAL HIGH SCHOOL,7-12,HELENA/ WEST HELENA SCHOOL DISTRICT,4.0,18.0,11.0,6.0,0.0,524.0,96.0,3.0,1.0,96.0,1.0,97.0,5,94,73.0,78.0,14.8,13.7,15.4,16.3,0,PHILLIPS,5403019,5403000,2021.0
CENTRAL HIGH SCHOOL,9-12,LITTLE ROCK SCHOOL DISTRICT,31.0,54.0,42.0,36.0,26.0,2506.0,49.0,30.0,7.0,53.0,10.0,70.0,3,530,414.0,78.0,19.3,19.3,20.1,20.0,0,PULASKI,6001001,6001000,2021.0
CHARLESTON HIGH SCHOOL,7-12,CHARLESTON SCHOOL DISTRICT,31.0,69.0,33.0,31.0,18.0,449.0,44.0,90.0,4.0,1.0,5.0,10.0,1,70,45.0,64.0,19.9,20.8,19.6,20.8,0,FRANKLIN,2402007,2402000,2021.0
CLARENDON HIGH SCHOOL,7-12,CLARENDON SCHOOL DISTRICT,6.0,32.0,12.0,6.0,0.0,194.0,91.0,28.0,6.0,57.0,9.0,72.0,5,37,34.0,92.0,16.0,15.6,16.5,15.9,0,MONROE,4802010,4802000,2021.0
CLARKSVILLE HIGH SCHOOL,10-12,CLARKSVILLE SCHOOL DISTRICT,11.0,48.0,27.0,20.0,7.0,565.0,63.0,52.0,35.0,1.0,11.0,48.0,1,185,146.0,79.0,17.0,17.6,18.8,18.7,0,JOHNSON,3601005,3601000,2021.0
CLINTON HIGH SCHOOL,9-12,CLINTON SCHOOL DISTRICT,29.0,52.0,31.0,30.0,15.0,404.0,62.0,94.0,3.0,0.0,3.0,6.0,1,109,91.0,83.0,18.4,18.0,19.4,20.1,0,VAN BUREN,7102006,7102000,2021.0
CONCORD HIGH SCHOOL,7-12,CONCORD SCHOOL DISTRICT,13.0,27.0,20.0,13.0,7.0,188.0,65.0,97.0,3.0,0.0,1.0,3.0,2,24,15.0,63.0,17.7,16.1,18.5,18.6,0,CLEBURNE,1201002,1201000,2021.0
CONWAY HIGH SCHOOL,10-12,CONWAY SCHOOL DISTRICT,29.0,52.0,35.0,31.0,20.0,2133.0,36.0,55.0,11.0,28.0,6.0,45.0,3,735,635.0,86.0,18.9,19.3,19.7,19.9,0,FAULKNER,2301006,2301000,2021.0
CORNING HIGH SCHOOL,9-12,CORNING SCHOOL DISTRICT,4.0,50.0,25.0,19.0,4.0,249.0,72.0,96.0,3.0,1.0,0.0,4.0,2,76,48.0,63.0,16.1,17.9,18.4,18.4,0,CLAY,1101004,1101000,2021.0
COSSATOT RIVER HIGH SCHOOL,7-12,COSSATOT RIVER SCHOOL DISTRICT,8.0,45.0,19.0,9.0,2.0,388.0,72.0,62.0,30.0,0.0,9.0,38.0,4,60,53.0,88.0,16.7,16.3,17.8,17.8,0,POLK,5707023,5707000,2021.0
COTTER HIGH SCHOOL,7-12,COTTER SCHOOL DISTRICT,16.0,41.0,27.0,18.0,11.0,361.0,66.0,96.0,2.0,0.0,2.0,4.0,1,51,44.0,86.0,16.8,17.5,18.1,18.1,0,BAXTER,302007,302000,2021.0
COUNTY LINE HIGH SCHOOL,7-12,COUNTY LINE SCHOOL DISTRICT,30.0,46.0,30.0,33.0,27.0,243.0,69.0,90.0,1.0,2.0,8.0,10.0,1,39,33.0,85.0,18.9,17.9,19.0,20.2,0,FRANKLIN,2403012,2403000,2021.0
CREATIVE ACTION TEAM SCHOOL,K-12,HOPE SCHOOL DISTRICT,0.0,0.0,0.0,0.0,0.0,33.0,88.0,15.0,9.0,76.0,0.0,85.0,4,10,10.0,100.0,12.5,9.5,11.1,11.7,0,HEMPSTEAD,2903015,2903000,2021.0
CROSS COUNTY HIGH A NEW TECH SCHOOL,7-12,CROSS COUNTY SCHOOL DISTRICT,10.0,46.0,28.0,28.0,5.0,300.0,73.0,88.0,3.0,8.0,0.0,12.0,2,44,39.0,89.0,16.8,16.6,18.9,19.1,0,CROSS,1901703,1901000,2021.0
CROSSETT HIGH SCHOOL,9-12,CROSSETT SCHOOL DISTRICT,7.0,30.0,21.0,13.0,5.0,473.0,54.0,59.0,5.0,33.0,3.0,41.0,5,104,92.0,88.0,16.0,15.6,17.0,17.9,0,ASHLEY,201006,201000,2021.0
CUTTER-MORNING STAR HIGH SCHOOL,7-12,CUTTER-MORNING STAR SCHOOL DISTRICT,8.0,29.0,20.0,10.0,4.0,331.0,66.0,76.0,11.0,3.0,10.0,24.0,3,62,49.0,79.0,16.5,15.4,16.9,17.4,0,GARLAND,2601002,2601000,2021.0
DANVILLE HIGH SCHOOL,9-12,DANVILLE SCHOOL DISTRICT,13.0,38.0,20.0,18.0,2.0,239.0,71.0,43.0,51.0,2.0,5.0,57.0,1,59,45.0,76.0,17.3,16.8,18.6,18.9,0,YELL,7503006,7503000,2021.0
DARDANELLE HIGH SCHOOL,9-12,DARDANELLE SCHOOL DISTRICT,37.0,81.0,51.0,50.0,30.0,617.0,71.0,55.0,39.0,2.0,4.0,45.0,1,132,70.0,53.0,20.5,22.3,22.2,22.0,0,YELL,7504011,7504000,2021.0
DECATUR HIGH SCHOOL,9-12,DECATUR SCHOOL DISTRICT,3.0,30.0,13.0,13.0,3.0,159.0,72.0,49.0,39.0,3.0,9.0,51.0,1,39,30.0,77.0,15.2,13.7,15.2,14.7,0,BENTON,402009,402000,2021.0
DEER K-12 SCHOOL,K-12,DEER-MT. JUDEA SCHOOL DISTRICT,21.0,71.0,29.0,36.0,7.0,198.0,68.0,91.0,3.0,1.0,6.0,9.0,1,19,14.0,74.0,16.9,19.3,19.1,20.6,0,NEWTON,5106003,5106000,2021.0
DEQUEEN HIGH SCHOOL,10-12,DEQUEEN SCHOOL DISTRICT,14.0,42.0,24.0,20.0,8.0,457.0,77.0,29.0,63.0,2.0,7.0,71.0,4,152,144.0,95.0,17.5,16.4,18.0,18.3,0,SEVIER,6701003,6701000,2021.0
DERMOTT HIGH SCHOOL,7-12,DERMOTT SCHOOL DISTRICT,4.0,16.0,20.0,0.0,0.0,159.0,94.0,3.0,2.0,95.0,1.0,97.0,5,30,25.0,83.0,14.2,14.2,15.4,15.7,0,CHICOT,901003,901000,2021.0
DES ARC HIGH SCHOOL,7-12,DES ARC SCHOOL DISTRICT,25.0,63.0,31.0,28.0,13.0,251.0,62.0,89.0,3.0,8.0,1.0,11.0,5,31,32.0,103.0,18.2,18.7,18.8,19.1,0,PRAIRIE,5901002,5901000,2021.0
DEWITT HIGH SCHOOL,9-12,DEWITT SCHOOL DISTRICT,24.0,53.0,22.0,26.0,11.0,359.0,55.0,81.0,4.0,13.0,3.0,19.0,5,86,74.0,86.0,18.1,18.0,18.3,19.3,0,ARKANSAS,101004,101000,2021.0
DIERKS HIGH SCHOOL,7-12,DIERKS SCHOOL DISTRICT,42.0,61.0,39.0,33.0,24.0,232.0,65.0,90.0,8.0,0.0,2.0,10.0,4,34,33.0,97.0,19.5,19.8,20.2,20.7,0,HOWARD,3102002,3102000,2021.0
DON TYSON SCHOOL OF INNOVATION,K-12,SPRINGDALE SCHOOL DISTRICT,21.0,60.0,42.0,31.0,17.0,2368.0,58.0,43.0,45.0,2.0,9.0,57.0,1,278,242.0,87.0,18.0,19.5,20.0,19.9,0,WASHINGTON,7207703,7207000,2021.0
DOVER HIGH SCHOOL,9-12,DOVER SCHOOL DISTRICT,18.0,57.0,39.0,31.0,13.0,375.0,49.0,93.0,4.0,0.0,3.0,7.0,1,83,72.0,87.0,17.3,18.7,19.8,19.5,0,POPE,5802006,5802000,2021.0
DREW CENTRAL HIGH SCHOOL,9-12,DREW CENTRAL SCHOOL DISTRICT,7.0,38.0,22.0,8.0,1.0,312.0,65.0,64.0,6.0,26.0,4.0,36.0,5,82,74.0,90.0,16.3,16.2,16.8,17.3,0,DREW,2202005,2202000,2021.0
DUMAS HIGH SCHOOL,10-12,DUMAS SCHOOL DISTRICT,0.0,21.0,4.0,6.0,0.0,204.0,74.0,14.0,19.0,64.0,2.0,86.0,5,53,48.0,91.0,15.2,14.2,14.5,15.5,0,DESHA,2104021,2104000,2021.0
EARLE HIGH SCHOOL,7-12,EARLE SCHOOL DISTRICT,4.0,8.0,4.0,4.0,0.0,203.0,94.0,0.0,0.0,97.0,2.0,100.0,2,30,26.0,87.0,15.5,12.7,13.7,15.8,0,CRITTENDEN,1802007,1802000,2021.0
EAST POINSETT COUNTY HIGH SCHOOL,7-12,EAST POINSETT CO. SCHOOL DISTRICT,9.0,44.0,28.0,13.0,2.0,281.0,73.0,75.0,6.0,13.0,6.0,25.0,2,44,46.0,105.0,17.0,16.8,18.7,18.3,0,POINSETT,5608037,5608000,2021.0
EL DORADO HIGH SCHOOL,9-12,EL DORADO SCHOOL DISTRICT,14.0,36.0,26.0,18.0,10.0,1307.0,58.0,39.0,11.0,45.0,5.0,61.0,4,339,296.0,87.0,17.0,15.9,17.4,17.5,0,UNION,7001012,7001000,2021.0
ELKINS HIGH SCHOOL,9-12,ELKINS SCHOOL DISTRICT,10.0,35.0,20.0,21.0,7.0,381.0,43.0,85.0,5.0,2.0,8.0,15.0,1,108,99.0,92.0,16.6,16.1,17.6,18.2,0,WASHINGTON,7201002,7201000,2021.0
EMERSON HIGH SCHOOL,7-12,EMERSON-TAYLOR-BRADLEY SCHOOL DISTRICT,31.0,63.0,56.0,31.0,19.0,146.0,51.0,66.0,3.0,24.0,6.0,34.0,4,17,16.0,94.0,18.8,19.4,23.2,19.8,0,COLUMBIA,1408002,1408000,2021.0
ENGLAND HIGH SCHOOL,7-12,ENGLAND SCHOOL DISTRICT,7.0,40.0,19.0,19.0,2.0,292.0,74.0,50.0,10.0,35.0,5.0,50.0,3,55,43.0,78.0,16.2,16.2,16.6,17.9,0,LONOKE,4302018,4302000,2021.0
ESTEM HIGH SCHOOL,10-12,ESTEM PUBLIC CHARTER SCHOOL,22.0,45.0,32.0,25.0,18.0,496.0,56.0,23.0,9.0,61.0,7.0,77.0,3,170,163.0,96.0,18.0,18.0,18.9,19.1,1,PULASKI,6047703,6047700,2021.0
EUREKA SPRINGS HIGH SCHOOL,9-12,EUREKA SPRINGS SCHOOL DISTRICT,19.0,53.0,45.0,30.0,9.0,202.0,38.0,87.0,6.0,2.0,4.0,13.0,1,56,53.0,95.0,18.2,18.1,20.3,20.2,0,CARROLL,802007,802000,2021.0
FARMINGTON HIGH SCHOOL,10-12,FARMINGTON SCHOOL DISTRICT,20.0,53.0,40.0,28.0,13.0,626.0,25.0,78.0,11.0,3.0,8.0,22.0,1,214,184.0,86.0,17.8,18.5,20.8,20.1,0,WASHINGTON,7202012,7202000,2021.0
FAYETTEVILLE HIGH SCHOOL,9-12,FAYETTEVILLE SCHOOL DISTRICT,42.0,71.0,57.0,45.0,33.0,2538.0,30.0,66.0,13.0,9.0,12.0,34.0,1,622,531.0,85.0,20.6,22.1,22.4,21.8,0,WASHINGTON,7203020,7203000,2021.0
FAYETTEVILLE VIRTUAL ACADEMY A DISTRICT CONVERSION,K-12,FAYETTEVILLE SCHOOL DISTRICT,22.0,61.0,39.0,26.0,13.0,396.0,32.0,71.0,9.0,10.0,9.0,29.0,1,32,23.0,72.0,17.9,20.4,21.4,20.5,0,WASHINGTON,7203703,7203000,2021.0
FLIPPIN HIGH SCHOOL,9-12,FLIPPIN SCHOOL DISTRICT,17.0,46.0,40.0,23.0,12.0,266.0,69.0,92.0,4.0,0.0,4.0,8.0,1,76,65.0,86.0,17.0,17.6,19.3,19.2,0,MARION,4501002,4501000,2021.0
FORDYCE HIGH SCHOOL,7-12,FORDYCE SCHOOL DISTRICT,11.0,32.0,19.0,11.0,7.0,376.0,61.0,33.0,5.0,61.0,1.0,67.0,4,64,54.0,84.0,16.4,15.9,16.5,16.9,0,DALLAS,2002007,2002000,2021.0
FOREMAN HIGH SCHOOL,7-12,FOREMAN SCHOOL DISTRICT,12.0,41.0,18.0,12.0,6.0,239.0,68.0,77.0,6.0,9.0,8.0,23.0,4,41,34.0,83.0,16.6,16.5,16.9,16.3,0,LITTLE RIVER,4102010,4102000,2021.0
FORREST CITY HIGH SCHOOL,9-12,FORREST CITY SCHOOL DISTRICT,3.0,13.0,8.0,2.0,2.0,615.0,73.0,5.0,1.0,93.0,1.0,95.0,2,165,128.0,78.0,14.8,12.6,13.8,14.5,0,ST FRANCIS,6201011,6201000,2021.0
FOUKE HIGH SCHOOL,9-12,FOUKE SCHOOL DISTRICT,10.0,50.0,30.0,23.0,8.0,310.0,55.0,95.0,2.0,0.0,2.0,5.0,4,64,60.0,94.0,16.7,18.4,19.3,19.2,0,MILLER,4603010,4603000,2021.0
FOUNTAIN LAKE CHARTER HIGH SCHOOL,9-12,FOUNTAIN LAKE SCHOOL DISTRICT,23.0,56.0,43.0,31.0,19.0,412.0,43.0,86.0,7.0,1.0,6.0,14.0,3,120,96.0,80.0,18.5,18.9,19.6,19.5,0,GARLAND,2602703,2602000,2021.0
FRIENDSHIP ASPIRE ACADEMY SOUTHEAST PINE BLUFF HIG,6-12,FRIENDSHIP ASPIRE ACADEMY SOUTHEAST PINE BLUFF,0.0,0.0,5.0,0.0,0.0,34.0,97.0,3.0,0.0,97.0,0.0,97.0,3,14,19.0,136.0,13.6,10.5,12.2,13.3,1,JEFFERSON,3545703,3545700,2021.0
FUTURE SCHOOL OF FORT SMITH,9-12,FUTURE SCHOOL OF FORT SMITH,6.0,32.0,19.0,9.0,0.0,251.0,73.0,53.0,22.0,13.0,13.0,47.0,1,66,47.0,71.0,15.4,14.8,16.0,16.4,1,SEBASTIAN,6640703,6640700,2021.0
