District Name,School Name,N,English Avg,English % Met,Math Avg,Math % Met,Reading Avg,Reading % Met,Science Avg,Science % Met,All % Met
WATSON CHAPEL SCHOOL DISTRICT,WATSON CHAPEL HIGH SCHOOL,144,13.3,18.8%,14.9,0.7%,14.5,9.0%,15.1,2.8%,0.7%
WHITE HALL SCHOOL DISTRICT,WHITE HALL HIGH SCHOOL,205,17.0,43.9%,17.7,18.0%,18.0,22.4%,18.2,17.1%,8.8%
FRIENDSHIP ASPIRE ACADEMY SOUTHEAST PINE BLUFF,FRIENDSHIP ASPIRE ACADEMY SOUTHEAST PINE BLUFF HIG,24,12.5,12.5%,13.5,0.0%,14.6,16.7%,15.3,0.0%,0.0%
CLARKSVILLE SCHOOL DISTRICT,CLARKSVILLE HIGH SCHOOL,140,18.0,51.4%,17.4,15.0%,17.8,22.1%,18.2,18.6%,10.0%
LAMAR SCHOOL DISTRICT,LAMAR HIGH SCHOOL,79,17.1,36.7%,17.6,15.2%,18.5,26.6%,18.9,20.3%,11.4%
WESTSIDE SCHOOL DISTRICT (JOHNSON),WESTSIDE HIGH SCHOOL,33,12.9,15.2%,14.6,0.0%,14.9,6.1%,15.5,0.0%,0.0%
LAFAYETTE COUNTY SCHOOL DISTRICT,LAFAYETTE COUNTY HIGH SCHOOL,31,13.9,16.1%,15.4,3.2%,15.2,12.9%,15.6,6.5%,3.2%
HOXIE SCHOOL DISTRICT,HOXIE HIGH SCHOOL,54,17.3,44.4%,16.4,5.6%,17.6,24.1%,18.4,22.2%,5.6%
SLOAN-HENDRIX SCHOOL DISTRICT,SLOAN-HENDRIX HIGH SCHOOL,46,17.1,39.1%,16.8,6.5%,17.2,21.7%,17.5,8.7%,2.2%
HILLCREST SCHOOL DISTRICT,HILLCREST HIGH SCHOOL,26,18.1,50.0%,15.8,7.7%,18.1,23.1%,17.7,11.5%,7.7%
LAWRENCE COUNTY SCHOOL DISTRICT,WALNUT RIDGE HIGH SCHOOL,63,18.0,52.4%,17.3,17.5%,17.8,30.2%,18.3,15.9%,11.1%
LEE COUNTY SCHOOL DISTRICT,LEE HIGH SCHOOL,30,11.3,0.0%,14.3,0.0%,12.0,0.0%,13.7,0.0%,0.0%
STAR CITY SCHOOL DISTRICT,STAR CITY HIGH SCHOOL,104,15.6,30.8%,16.1,10.6%,16.6,19.2%,16.9,11.5%,6.7%
ASHDOWN SCHOOL DISTRICT,ASHDOWN HIGH SCHOOL,85,15.7,37.6%,17.2,16.5%,17.8,23.5%,18.0,12.9%,9.4%
FOREMAN SCHOOL DISTRICT,FOREMAN HIGH SCHOOL,29,15.4,31.0%,16.7,13.8%,16.8,13.8%,16.3,6.9%,3.4%
BOONEVILLE SCHOOL DISTRICT,BOONEVILLE HIGH SCHOOL,57,17.0,40.4%,16.8,10.5%,17.7,21.1%,17.7,12.3%,8.8%
MAGAZINE SCHOOL DISTRICT,MAGAZINE HIGH SCHOOL,25,16.0,32.0%,17.5,20.0%,18.1,28.0%,17.7,16.0%,8.0%
PARIS SCHOOL DISTRICT,PARIS HIGH SCHOOL,67,15.8,37.3%,18.1,20.9%,18.5,31.3%,18.3,25.4%,14.9%
SCRANTON SCHOOL DISTRICT,SCRANTON HIGH SCHOOL,21,20.8,71.4%,20.0,28.6%,23.3,52.4%,21.6,42.9%,23.8%
LONOKE SCHOOL DISTRICT,LONOKE HIGH SCHOOL,95,16.2,40.0%,16.6,8.4%,16.4,16.8%,17.1,8.4%,3.2%
ENGLAND SCHOOL DISTRICT,ENGLAND HIGH SCHOOL,33,15.5,30.3%,15.6,6.1%,17.1,15.2%,16.4,9.1%,0.0%
