District Name,School Name,N,English Avg,English % Met,Math Avg,Math % Met,Reading Avg,Reading % Met,Science Avg,Science % Met,All % Met,state_name_x,latitude,longitude,address,zip_code,county_name_x,city_name,county_code,Street Address,Tract,unique_id,year,tract_number,county_name_y,state_name_y,Population 18 to 24 years (estimate),"18-24, less than high school graduate (estimate)","18-24, high school graduate or eq. (estimate)","18-24, some college or associate's degree (estimate)","18-24, bachelor's degree or higher",Population 25 years and over (estimate),"25 and over, less than 9th grade (estimate)","25 and over, 9th to 12th grade, no diploma (estimate)","25 and over, high school graduate or eq. (estimate)","25 and over, some college, no degree (estimate)","25 and over, associate's degree (estimate)","25 and over, bachelor's degree (estimate)","25 and over, graduate or professional degree (estimate)","18-24, less than high school graduate (percentage)","18-24, high school graduate or eq. (percentage)","18-24, some college or associate's degree (percentage)","18-24, bachelor's degree or higher (percentage)","25 and over, less than 9th grade (percentage)","25 and over, 9th to 12th grade, no diploma (percentage)","25 and over, high school graduate or eq. (percentage)","25 and over, some college, no degree (percentage)","25 and over, associate's degree (percentage)","25 and over, bachelor's degree (percentage)","25 and over, graduate or professional degree (percentage)",Total number of households,Median household income (dollars),Mean household income (dollars),Total population,Hispanic or Latino (estimate),Hispanic or Latino (percentage),Not Hispanic or Latino (estimate),Not Hispanic or Latino (percentage),White alone (estimate),White alone (percentage),Black or African American alone (estimate),Black or African American alone (percentage),American Indian and Alaska Native alone (estimate),American Indian and Alaska Native alone (percentage),Asian alone (estimate),Asian alone (percentage),Native Hawaiian and Other Pacific Islander alone (estimate),Native Hawaiian and Other Pacific Islander alone (percentage),Some other race alone (estimate),Some other race alone (percentage),Two or more races alone (estimate),Two or more races alone (percentage),Math Scores,RW Scores
DUMAS SCHOOL DISTRICT,DUMAS HIGH SCHOOL,56,15.7,32.10%,16.2,5.40%,16.2,16.10%,15.9,7.10%,5.40%,Arkansas,33.8772133,-91.4701812,709 Dan Gill Drive,71639,Desha County,Dumas,5041,"709 Dan Gill Drive, Dumas, Arkansas, 71639",950200,5041950200,2021,950200,Desha County,Arkansas,322,15,185,89,33,2541,124,299,1111,489,63,301,154,4.7,57.5,27.6,10.2,4.9,11.8,43.7,19.2,2.5,11.8,6.1,1566,35373,51587,3931,476,12.1,3455,87.9,1530,38.9,1880,47.8,11,0.3,27,0.7,0,0,0,0,7,0.2,16.2,16.2
MCGEHEE SCHOOL DISTRICT,MCGEHEE HIGH SCHOOL,69,15.8,29.00%,16.5,11.60%,16.7,17.40%,16.8,13.00%,5.80%,Arkansas,33.6455327,-91.3840798,1902 East Ash Street,71654,Desha County,McGehee,5041,"1902 East Ash Street, McGehee, Arkansas, 71654",950500,5041950500,2021,950500,Desha County,Arkansas,71,10,12,35,14,1195,50,80,571,233,29,178,54,14.1,16.9,49.3,19.7,4.2,6.7,47.8,19.5,2.4,14.9,4.5,722,34091,52611,1702,36,2.1,1666,97.9,995,58.5,629,37,0,0,0,0,0,0,4,0.2,38,2.2,16.5,16.7
DREW CENTRAL SCHOOL DISTRICT,DREW CENTRAL HIGH SCHOOL,72,15.1,33.30%,16.1,5.60%,17.3,27.80%,16.6,9.70%,2.80%,Arkansas,33.5912894,-91.807627,250 University Drive,71655,Drew County,Monticello,5043,"250 University Drive, Monticello, Arkansas, 71655",490300,5043490300,2021,490300,Drew County,Arkansas,1534,45,215,1172,102,3310,95,243,986,541,144,784,517,2.9,14,76.4,6.6,2.9,7.3,29.8,16.3,4.4,23.7,15.6,2176,42267,58089,5821,84,1.4,5737,98.6,3913,67.2,1764,30.3,0,0,0,0,0,0,0,0,60,1,16.1,17.3
MONTICELLO SCHOOL DISTRICT,MONTICELLO HIGH SCHOOL,95,17.1,42.10%,17.9,20.00%,18,27.40%,18.6,22.10%,11.60%,Arkansas,33.6116737,-91.8117934,390 Clyde Ross Drive,71655,Drew County,Monticello,5043,"390 Clyde Ross Drive, Monticello, Arkansas, 71655",490300,5043490300,2021,490300,Drew County,Arkansas,1534,45,215,1172,102,3310,95,243,986,541,144,784,517,2.9,14,76.4,6.6,2.9,7.3,29.8,16.3,4.4,23.7,15.6,2176,42267,58089,5821,84,1.4,5737,98.6,3913,67.2,1764,30.3,0,0,0,0,0,0,0,0,60,1,17.9,18
CONWAY SCHOOL DISTRICT,CONWAY HIGH SCHOOL,541,19.6,57.70%,19.2,30.50%,19.8,36.60%,19.8,30.50%,19.20%,Arkansas,35.0588005,-92.4208713,,N/A,Faulkner County,N/A,5045,,31006,5045031006,2021,31006,Faulkner County,Arkansas,378,2,66,189,121,2471,18,38,682,480,153,778,322,0.5,17.5,50,32,0.7,1.5,27.6,19.4,6.2,31.5,13,1698,50242,63754,3505,69,2,3436,98,2286,65.2,965,27.5,79,2.3,48,1.4,0,0,0,0,58,1.7,19.2,19.8
GREENBRIER SCHOOL DISTRICT,GREENBRIER HIGH SCHOOL,265,20.6,68.70%,21,47.20%,20.4,41.50%,20.9,37.40%,27.20%,Arkansas,35.22303,-92.4041571,72 Green Valley Drive,72058,Faulkner County,Greenbrier,5045,"72 Green Valley Drive, Greenbrier, Arkansas, 72058",30104,5045030104,2021,30104,Faulkner County,Arkansas,343,1,116,212,14,3458,146,130,1175,905,176,666,260,0.3,33.8,61.8,4.1,4.2,3.8,34,26.2,5.1,19.3,7.5,1864,76458,89338,5438,31,0.6,5407,99.4,5308,97.6,30,0.6,0,0,0,0,0,0,0,0,69,1.3,21,20.4
GUY-PERKINS SCHOOL DISTRICT,GUY-PERKINS HIGH SCHOOL,15,16.4,40.00%,16.6,6.70%,18,33.30%,19.2,33.30%,6.70%,Arkansas,35.3235473,-92.3249893,492 Arkansas 25,72061,Faulkner County,Guy,5045,"492 Arkansas 25, Guy, Arkansas, 72061",30101,5045030101,2021,30101,Faulkner County,Arkansas,265,61,104,79,21,2057,59,112,861,455,152,258,160,23,39.2,29.8,7.9,2.9,5.4,41.9,22.1,7.4,12.5,7.8,1102,62961,86314,3076,23,0.7,3053,99.3,2650,86.2,253,8.2,38,1.2,3,0.1,0,0,0,0,109,3.5,16.6,18
MAYFLOWER SCHOOL DISTRICT,MAYFLOWER HIGH SCHOOL,70,15.3,31.40%,16.2,5.70%,16.2,18.60%,16.3,10.00%,1.40%,Arkansas,34.9572533,-92.4444232,10 Leslie King N,72106,Faulkner County,Mayflower,5045,"10 Leslie King N, Mayflower, Arkansas, 72106",31102,5045031102,2021,31102,Faulkner County,Arkansas,471,79,161,156,75,3645,297,169,1218,729,207,754,271,16.8,34.2,33.1,15.9,8.1,4.6,33.4,20,5.7,20.7,7.4,1801,48044,71134,5121,192,3.7,4929,96.3,4266,83.3,455,8.9,25,0.5,2,0,0,0,0,0,181,3.5,16.2,16.2
MT. VERNON-ENOLA SCHOOL DISTRICT,MT. VERNON-ENOLA HIGH SCHOOL,39,18.6,56.40%,19.1,30.80%,20.6,46.20%,20.5,38.50%,17.90%,Arkansas,35.2262159,-92.1315399,38 Garland Springs Road,72111,Faulkner County,Mount Vernon,5045,"38 Garland Springs Road, Mount Vernon, Arkansas, 72111",30202,5045030202,2021,30202,Faulkner County,Arkansas,280,28,28,170,54,1934,147,267,648,359,184,166,163,10,10,60.7,19.3,7.6,13.8,33.5,18.6,9.5,8.6,8.4,1139,50256,61555,2530,12,0.5,2518,99.5,2492,98.5,0,0,25,1,0,0,0,0,1,0,0,0,19.1,20.6
VILONIA SCHOOL DISTRICT,VILONIA HIGH SCHOOL,250,19.1,58.40%,18.5,27.20%,20.2,42.00%,20.3,35.60%,20.00%,Arkansas,35.08546,-92.1944196,1164 Main Street,72173,Faulkner County,Vilonia,5045,"1164 Main Street, Vilonia, Arkansas, 72173",30302,5045030302,2021,30302,Faulkner County,Arkansas,437,0,49,328,60,4244,67,274,1054,1041,539,823,446,0,11.2,75.1,13.7,1.6,6.5,24.8,24.5,12.7,19.4,10.5,2227,63697,72241,6130,27,0.4,6103,99.6,6006,98,48,0.8,0,0,0,0,0,0,0,0,49,0.8,18.5,20.2
CHARLESTON SCHOOL DISTRICT,CHARLESTON HIGH SCHOOL,45,16.5,37.80%,18.4,22.20%,18.7,31.10%,18.9,24.40%,13.30%,Arkansas,35.2941544,-94.046352,305 Dale Bumpers Drive,72933,Franklin County,Charleston,5047,"305 Dale Bumpers Drive, Charleston, Arkansas, 72933",950302,5047950302,2021,950302,Franklin County,Arkansas,325,37,150,94,44,2005,29,148,783,525,198,244,78,11.4,46.2,28.9,13.5,1.4,7.4,39.1,26.2,9.9,12.2,3.9,1155,54922,65026,3083,16,0.5,3067,99.5,2851,92.5,31,1,3,0.1,7,0.2,0,0,0,0,175,5.7,18.4,18.7
COUNTY LINE SCHOOL DISTRICT,COUNTY LINE HIGH SCHOOL,20,19,65.00%,19.9,45.00%,20.3,45.00%,19.4,35.00%,20.00%,Arkansas,35.307318,-93.9167499,Arkansas 22,72928,Logan County,Branch,5083,"Arkansas 22, Branch, Arkansas, 72928",950200,5083950200,2021,950200,Logan County,Arkansas,334,8,112,168,46,2306,89,218,901,549,184,265,100,2.4,33.5,50.3,13.8,3.9,9.5,39.1,23.8,8,11.5,4.3,1265,58661,67017,3650,59,1.6,3591,98.4,2987,81.8,55,1.5,3,0.1,95,2.6,0,0,0,0,451,12.4,19.9,20.3
OZARK SCHOOL DISTRICT,OZARK JR/SR HIGH SCHOOL,78,17.5,46.20%,16.7,11.50%,16.8,19.20%,17.5,15.40%,6.40%,Arkansas,35.55037,-93.7841503,,N/A,Franklin County,N/A,5047,,950201,5047950201,2021,950201,Franklin County,Arkansas,158,64,66,19,9,2402,176,224,932,681,176,164,49,40.5,41.8,12,5.7,7.3,9.3,38.8,28.4,7.3,6.8,2,1253,40673,57610,3286,144,4.4,3142,95.6,2886,87.8,2,0.1,10,0.3,0,0,0,0,0,0,244,7.4,16.7,16.8
MAMMOTH SPRING SCHOOL DISTRICT,MAMMOTH SPRING HIGH SCHOOL,23,18.7,65.20%,17.1,0.00%,19.4,34.80%,19,21.70%,0.00%,Arkansas,36.490791,-91.5418359,410 Goldsmith Avenue,72554,Fulton County,Mammoth Spring,5049,"410 Goldsmith Avenue, Mammoth Spring, Arkansas, 72554",550102,5049550102,2021,550102,Fulton County,Arkansas,146,41,63,42,0,1632,15,235,438,552,166,157,69,28.1,43.2,28.8,0,0.9,14.4,26.8,33.8,10.2,9.6,4.2,861,47257,55736,2239,0,0,2239,100,2090,93.3,0,0,21,0.9,0,0,0,0,0,0,128,5.7,17.1,19.4
SALEM SCHOOL DISTRICT,SALEM HIGH SCHOOL,50,20,60.00%,19,26.00%,20.2,42.00%,20.1,38.00%,16.00%,Arkansas,36.3593264,-91.8166092,313 U.S. 62,72576,Fulton County,Salem,5049,"313 U.S. 62, Salem, Arkansas, 72576",550201,5049550201,2021,550201,Fulton County,Arkansas,241,32,79,128,2,2109,90,81,809,698,157,191,83,13.3,32.8,53.1,0.8,4.3,3.8,38.4,33.1,7.4,9.1,3.9,1186,32868,44064,2832,29,1,2803,99,2649,93.5,10,0.4,0,0,3,0.1,0,0,0,0,141,5,19,20.2
VIOLA SCHOOL DISTRICT,VIOLA HIGH SCHOOL,23,17.6,56.50%,17.3,13.00%,18.4,30.40%,18.7,17.40%,4.30%,Arkansas,36.3959776,-91.9864296,314 Longhorn Drive,72583,Fulton County,Viola,5049,"314 Longhorn Drive, Viola, Arkansas, 72583",550202,5049550202,2021,550202,Fulton County,Arkansas,322,12,252,48,10,2435,134,297,864,642,223,126,149,3.7,78.3,14.9,3.1,5.5,12.2,35.5,26.4,9.2,5.2,6.1,1199,40085,58700,3600,0,0,3600,100,3487,96.9,22,0.6,0,0,0,0,0,0,0,0,91,2.5,17.3,18.4
CUTTER-MORNING STAR SCHOOL DISTRICT,CUTTER-MORNING STAR HIGH SCHOOL,40,15.4,35.00%,16.5,5.00%,16.1,15.00%,16.2,5.00%,5.00%,Arkansas,34.5031471,-92.9905242,2801 Spring Street,71901,Garland County,Hot Springs,5051,"2801 Spring Street, Hot Springs, Arkansas, 71901",11601,5051011601,2021,11601,Garland County,Arkansas,494,26,281,170,17,3435,98,94,918,709,383,701,532,5.3,56.9,34.4,3.4,2.9,2.7,26.7,20.6,11.1,20.4,15.5,1974,68547,80015,4963,436,8.8,4527,91.2,3811,76.8,353,7.1,0,0,158,3.2,0,0,11,0.2,194,3.9,16.5,16.1
FOUNTAIN LAKE SCHOOL DISTRICT,FOUNTAIN LAKE CHARTER HIGH SCHOOL,62,18,50.00%,17.7,14.50%,19,35.50%,18.7,25.80%,8.10%,Arkansas,34.605212,-92.9775558,,N/A,Garland County,N/A,5051,,10401,5051010401,2021,10401,Garland County,Arkansas,243,61,91,91,0,2973,92,216,944,776,83,540,322,25.1,37.4,37.4,0,3.1,7.3,31.8,26.1,2.8,18.2,10.8,1709,59003,65819,3696,21,0.6,3675,99.4,3475,94,14,0.4,13,0.4,52,1.4,0,0,0,0,121,3.3,17.7,19
HOT SPRINGS SCHOOL DISTRICT,HOT SPRINGS WORLD CLASS HIGH SCHOOL,152,16.2,36.80%,16.2,7.90%,17.3,26.30%,17.3,15.80%,3.90%,Arkansas,34.4754828,-93.0699854,701 Emory Street,71913,Garland County,Hot Springs,5051,"701 Emory Street, Hot Springs, Arkansas, 71913",11300,5051011300,2021,11300,Garland County,Arkansas,463,93,211,159,0,3583,171,232,999,1015,304,578,284,20.1,45.6,34.3,0,4.8,6.5,27.9,28.3,8.5,16.1,7.9,2068,39912,54045,5194,768,14.8,4426,85.2,2934,56.5,1290,24.8,0,0,27,0.5,0,0,15,0.3,160,3.1,16.2,17.3
JESSIEVILLE SCHOOL DISTRICT,JESSIEVILLE HIGH SCHOOL,53,17.9,49.10%,17.8,18.90%,18.7,34.00%,19,26.40%,17.00%,Arkansas,34.6998624,-93.0618054,7900 North Highway 7,71949,Garland County,Hot Springs Village,5051,"7900 North Highway 7, Hot Springs Village, Arkansas, 71949",12001,5051012001,2021,12001,Garland County,Arkansas,0,0,0,0,0,3647,39,120,1235,716,613,497,427,-666666666,-666666666,-666666666,-666666666,1.1,3.3,33.9,19.6,16.8,13.6,11.7,2137,44588,52779,4153,0,0,4153,100,3977,95.8,79,1.9,39,0.9,0,0,0,0,0,0,58,1.4,17.8,18.7
LAKE HAMILTON SCHOOL DISTRICT,LAKE HAMILTON HIGH SCHOOL,245,17.6,46.90%,17.8,15.10%,18.3,29.00%,18.5,24.50%,9.00%,Arkansas,34.4409766,-93.2123587,280 Wolf Street,71964,Garland County,Pearcy,5051,"280 Wolf Street, Pearcy, Arkansas, 71964",11101,5051011101,2021,11101,Garland County,Arkansas,508,32,140,206,130,3672,105,152,1299,824,375,680,237,6.3,27.6,40.6,25.6,2.9,4.1,35.4,22.4,10.2,18.5,6.5,2058,55682,73201,5356,64,1.2,5292,98.8,5107,95.4,7,0.1,0,0,0,0,0,0,0,0,178,3.3,17.8,18.3
LAKESIDE SCHOOL DISTRICT (GARLAND),LAKESIDE HIGH SCHOOL,214,18.3,50.00%,18.2,20.60%,19.6,36.40%,19.4,22.40%,14.50%,Arkansas,34.4741704,-92.9970904,2871 Malvern Avenue,71901,Garland County,Hot Springs,5051,"2871 Malvern Avenue, Hot Springs, Arkansas, 71901",11601,5051011601,2021,11601,Garland County,Arkansas,494,26,281,170,17,3435,98,94,918,709,383,701,532,5.3,56.9,34.4,3.4,2.9,2.7,26.7,20.6,11.1,20.4,15.5,1974,68547,80015,4963,436,8.8,4527,91.2,3811,76.8,353,7.1,0,0,158,3.2,0,0,11,0.2,194,3.9,18.2,19.6
MOUNTAIN PINE SCHOOL DISTRICT,MOUNTAIN PINE HIGH SCHOOL,19,18.1,52.60%,15.7,0.00%,17.5,36.80%,18.4,21.10%,0.00%,Arkansas,34.5761762,-93.1786983,734 Blakely Dam Road,71956,Garland County,Mountain Pine,5051,"734 Blakely Dam Road, Mountain Pine, Arkansas, 71956",10301,5051010301,2021,10301,Garland County,Arkansas,143,71,27,31,14,2795,34,165,1309,871,157,147,112,49.7,18.9,21.7,9.8,1.2,5.9,46.8,31.2,5.6,5.3,4,1580,40882,57162,3500,158,4.5,3342,95.5,3104,88.7,67,1.9,0,0,0,0,41,1.2,0,0,130,3.7,15.7,17.5
POYEN SCHOOL DISTRICT,POYEN HIGH SCHOOL,45,18.3,51.10%,19.2,33.30%,18.8,26.70%,19.4,28.90%,17.80%,Arkansas,34.3247954,-92.6445624,111 North School Street,72128,Grant County,Poyen,5053,"111 North School Street, Poyen, Arkansas, 72128",470300,5053470300,2021,470300,Grant County,Arkansas,245,25,171,48,1,2698,84,167,1266,521,224,322,114,10.2,69.8,19.6,0.4,3.1,6.2,46.9,19.3,8.3,11.9,4.2,1349,55772,71805,3871,340,8.8,3531,91.2,3292,85,169,4.4,5,0.1,3,0.1,0,0,9,0.2,53,1.4,19.2,18.8
SHERIDAN SCHOOL DISTRICT,SHERIDAN HIGH SCHOOL,231,17.5,44.60%,17.6,16.50%,17.6,23.80%,19.1,22.90%,11.70%,Arkansas,34.3112523,-92.4076598,800 West Vine Street,72150,Grant County,Sheridan,5053,"800 West Vine Street, Sheridan, Arkansas, 72150",470401,5053470401,2021,470401,Grant County,Arkansas,233,62,49,122,0,2594,63,88,838,680,261,448,216,26.6,21,52.4,0,2.4,3.4,32.3,26.2,10.1,17.3,8.3,1563,53495,68642,3733,88,2.4,3645,97.6,3344,89.6,81,2.2,0,0,0,0,38,1,74,2,108,2.9,17.6,17.6
MARMADUKE SCHOOL DISTRICT,MARMADUKE HIGH SCHOOL,35,17.5,54.30%,17.6,14.30%,17.8,20.00%,18.5,22.90%,8.60%,Arkansas,36.1930301,-90.3937388,1010 Greyhound Drive,72443,Greene County,Marmaduke,5055,"1010 Greyhound Drive, Marmaduke, Arkansas, 72443",480100,5055480100,2021,480100,Greene County,Arkansas,281,61,127,63,30,2104,118,284,1041,255,148,204,54,21.7,45.2,22.4,10.7,5.6,13.5,49.5,12.1,7,9.7,2.6,1251,46351,56861,3117,83,2.7,3034,97.3,2967,95.2,0,0,0,0,0,0,0,0,0,0,67,2.1,17.6,17.8
GREENE COUNTY TECH SCHOOL DISTRICT,GREENE COUNTY TECH HIGH SCHOOL,228,17.3,47.40%,17.7,19.30%,18.7,34.60%,19.1,25.00%,13.20%,Arkansas,36.0069915,-90.5306031,4601 Linwood Drive,72450,Greene County,Paragould,5055,"4601 Linwood Drive, Paragould, Arkansas, 72450",480802,5055480802,2021,480802,Greene County,Arkansas,573,75,384,90,24,3032,23,148,1204,673,274,464,246,13.1,67,15.7,4.2,0.8,4.9,39.7,22.2,9,15.3,8.1,1853,52811,69782,4869,109,2.2,4760,97.8,4227,86.8,201,4.1,0,0,224,4.6,0,0,0,0,108,2.2,17.7,18.7
PARAGOULD SCHOOL DISTRICT,PARAGOULD HIGH SCHOOL,159,17.8,47.20%,17.9,18.20%,18.2,27.70%,18.5,23.30%,13.80%,Arkansas,36.0582487,-90.5070714,1701 West Court Street,72450,Greene County,Paragould,5055,"1701 West Court Street, Paragould, Arkansas, 72450",480402,5055480402,2021,480402,Greene County,Arkansas,166,8,54,77,27,1708,49,191,1035,265,33,34,101,4.8,32.5,46.4,16.3,2.9,11.2,60.6,15.5,1.9,2,5.9,1137,47895,50250,2424,163,6.7,2261,93.3,2139,88.2,83,3.4,0,0,0,0,0,0,0,0,39,1.6,17.9,18.2
BLEVINS SCHOOL DISTRICT,BLEVINS HIGH SCHOOL,22,15.6,31.80%,16.1,9.10%,16.2,18.20%,17,4.50%,0.00%,Arkansas,33.8747387,-93.5722025,5954 Arkansas 29,71825,Hempstead County,Blevins,5057,"5954 Arkansas 29, Blevins, Arkansas, 71825",480102,5057480102,2021,480102,Hempstead County,Arkansas,261,8,134,119,0,1831,134,110,567,384,117,285,234,3.1,51.3,45.6,0,7.3,6,31,21,6.4,15.6,12.8,948,62632,64831,2590,289,11.2,2301,88.8,1949,75.3,290,11.2,0,0,0,0,0,0,0,0,62,2.4,16.1,16.2
HOPE SCHOOL DISTRICT,HOPE HIGH SCHOOL,125,15.1,28.80%,15.8,8.80%,16,16.00%,16.6,10.40%,5.60%,Arkansas,33.6527043,-93.5848795,1701 South Main Street,71801,Hempstead County,Hope,5057,"1701 South Main Street, Hope, Arkansas, 71801",480302,5057480302,2021,480302,Hempstead County,Arkansas,180,7,118,55,0,1989,94,158,811,367,143,303,113,3.9,65.6,30.6,0,4.7,7.9,40.8,18.5,7.2,15.2,5.7,1185,41793,61241,3272,267,8.2,3005,91.8,1611,49.2,1338,40.9,56,1.7,0,0,0,0,0,0,0,0,15.8,16
HOPE SCHOOL DISTRICT,CREATIVE ACTION TEAM SCHOOL,2,N<10,N<10,N<10,N<10,N<10,N<10,N<10,N<10,N<10,Arkansas,33.6988777,-93.6217802,,N/A,Hempstead County,N/A,5057,,480102,5057480102,2021,480102,Hempstead County,Arkansas,261,8,134,119,0,1831,134,110,567,384,117,285,234,3.1,51.3,45.6,0,7.3,6,31,21,6.4,15.6,12.8,948,62632,64831,2590,289,11.2,2301,88.8,1949,75.3,290,11.2,0,0,0,0,0,0,0,0,62,2.4,,
SPRING HILL SCHOOL DISTRICT,SPRING HILL HIGH SCHOOL,20,18.2,45.00%,16.4,10.00%,17.6,25.00%,18.4,20.00%,10.00%,Arkansas,33.5848428,-93.6512498,633 Arkansas 355,71801,Hempstead County,Hope,5057,"633 Arkansas 355, Hope, Arkansas, 71801",480400,5057480400,2021,480400,Hempstead County,Arkansas,214,29,62,112,11,2551,225,159,775,743,252,241,156,13.6,29,52.3,5.1,8.8,6.2,30.4,29.1,9.9,9.4,6.1,1394,52372,60732,3789,437,11.5,3352,88.5,2937,77.5,302,8,0,0,15,0.4,54,1.4,19,0.5,25,0.7,16.4,17.6
GLEN ROSE SCHOOL DISTRICT,GLEN ROSE HIGH SCHOOL,72,17.6,43.10%,18.3,25.00%,19,34.70%,19.5,25.00%,13.90%,Arkansas,34.4568119,-92.7310722,14334 U.S. 67,72104,Hot Spring County,Malvern,5059,"14334 U.S. 67, Malvern, Arkansas, 72104",20102,5059020102,2021,20102,Hot Spring County,Arkansas,289,0,128,161,0,2368,81,232,1021,437,198,268,131,0,44.3,55.7,0,3.4,9.8,43.1,18.5,8.4,11.3,5.5,1249,54479,80523,3468,34,1,3434,99,3159,91.1,118,3.4,0,0,29,0.8,0,0,0,0,128,3.7,18.3,19
MAGNET COVE SCHOOL DISTRICT,MAGNET COVE HIGH SCHOOL,50,18.2,50.00%,18,18.00%,19,30.00%,19.4,22.00%,8.00%,Arkansas,34.4452518,-92.8357306,472 Magnet School Road,72104,Hot Spring County,Malvern,5059,"472 Magnet School Road, Malvern, Arkansas, 72104",20101,5059020101,2021,20101,Hot Spring County,Arkansas,481,58,265,158,0,2456,0,114,868,655,273,383,163,12.1,55.1,32.8,0,0,4.6,35.3,26.7,11.1,15.6,6.6,1331,65174,71589,3798,47,1.2,3751,98.8,3695,97.3,0,0,0,0,0,0,0,0,0,0,56,1.5,18,19
MALVERN SCHOOL DISTRICT,MALVERN HIGH SCHOOL,95,17.3,44.20%,17.2,18.90%,17.8,24.20%,18.5,15.80%,7.40%,Arkansas,34.3556676,-92.8050971,525 East Highland Avenue,72104,Hot Spring County,Malvern,5059,"525 East Highland Avenue, Malvern, Arkansas, 72104",20400,5059020400,2021,20400,Hot Spring County,Arkansas,283,34,90,124,35,3899,143,276,1525,930,327,428,270,12,31.8,43.8,12.4,3.7,7.1,39.1,23.9,8.4,11,6.9,2377,34926,51028,5633,389,6.9,5244,93.1,3986,70.8,1050,18.6,40,0.7,47,0.8,0,0,0,0,121,2.1,17.2,17.8
OUACHITA SCHOOL DISTRICT,OUACHITA HIGH SCHOOL,36,17.3,38.90%,17.4,16.70%,18.1,33.30%,18.4,13.90%,8.30%,Arkansas,34.2393626,-92.963071,258 Schoolhouse Road,71941,Hot Spring County,Donaldson,5059,"258 Schoolhouse Road, Donaldson, Arkansas, 71941",20600,5059020600,2021,20600,Hot Spring County,Arkansas,228,12,82,134,0,2709,25,104,1125,648,170,407,230,5.3,36,58.8,0,0.9,3.8,41.5,23.9,6.3,15,8.5,1519,50799,63824,3678,15,0.4,3663,99.6,3578,97.3,0,0,37,1,9,0.2,0,0,0,0,39,1.1,17.4,18.1
DIERKS SCHOOL DISTRICT,DIERKS HIGH SCHOOL,33,17,42.40%,17,9.10%,18.2,24.20%,17.7,18.20%,6.10%,Arkansas,34.1190901,-94.0304333,900 Old Highway 70 West,71833,Howard County,Dierks,5061,"900 Old Highway 70 West, Dierks, Arkansas, 71833",950100,5061950100,2021,950100,Howard County,Arkansas,167,0,44,104,19,2555,83,195,1133,534,233,233,144,0,26.3,62.3,11.4,3.2,7.6,44.3,20.9,9.1,9.1,5.6,1562,40523,64525,3748,268,7.2,3480,92.8,3272,87.3,168,4.5,0,0,0,0,0,0,0,0,40,1.1,17,18.2
MINERAL SPRINGS SCHOOL DISTRICT,MINERAL SPRINGS HIGH SCHOOL,15,12.3,6.70%,14.9,6.70%,14.4,13.30%,14.9,6.70%,6.70%,Arkansas,33.8782324,-93.9179431,130 West Browning Street,71851,Howard County,Mineral Springs,5061,"130 West Browning Street, Mineral Springs, Arkansas, 71851",950200,5061950200,2021,950200,Howard County,Arkansas,310,34,135,127,14,3268,83,297,1390,675,444,324,55,11,43.5,41,4.5,2.5,9.1,42.5,20.7,13.6,9.9,1.7,1944,45000,62111,5000,470,9.4,4530,90.6,2672,53.4,1633,32.7,17,0.3,39,0.8,29,0.6,0,0,140,2.8,14.9,14.4
NASHVILLE SCHOOL DISTRICT,NASHVILLE HIGH SCHOOL,123,17.9,49.60%,17.4,18.70%,18.9,30.10%,18.8,20.30%,11.40%,Arkansas,33.9562806,-93.8517684,1301 Mount Pleasant Drive,71852,Howard County,Nashville,5061,"1301 Mount Pleasant Drive, Nashville, Arkansas, 71852",950200,5061950200,2021,950200,Howard County,Arkansas,310,34,135,127,14,3268,83,297,1390,675,444,324,55,11,43.5,41,4.5,2.5,9.1,42.5,20.7,13.6,9.9,1.7,1944,45000,62111,5000,470,9.4,4530,90.6,2672,53.4,1633,32.7,17,0.3,39,0.8,29,0.6,0,0,140,2.8,17.4,18.9
BATESVILLE SCHOOL DISTRICT,BATESVILLE HIGH SCHOOL,159,18.1,50.30%,17.8,18.20%,18.8,34.00%,19.2,29.60%,13.80%,Arkansas,35.7549833,-91.6239899,1 Pioneer Drive,72501,Independence County,Batesville,5063,"1 Pioneer Drive, Batesville, Arkansas, 72501",490500,5063490500,2021,490500,Independence County,Arkansas,132,38,58,30,6,2082,22,95,615,481,138,494,237,28.8,43.9,22.7,4.5,1.1,4.6,29.5,23.1,6.6,23.7,11.4,1238,66737,95589,2875,309,10.7,2566,89.3,2498,86.9,28,1,0,0,0,0,0,0,0,0,40,1.4,17.8,18.8
SOUTHSIDE SCHOOL DISTRICT (INDEPENDENCE),SOUTHSIDE CHARTER HIGH SCHOOL,121,18,48.80%,17.9,19.80%,18,26.40%,18.7,23.10%,9.10%,Arkansas,35.7004824,-91.62609,70 Scott Drive,72501,Independence County,Batesville,5063,"70 Scott Drive, Batesville, Arkansas, 72501",490702,5063490702,2021,490702,Independence County,Arkansas,530,105,126,299,0,2156,50,222,984,539,154,153,54,19.8,23.8,56.4,0,2.3,10.3,45.6,25,7.1,7.1,2.5,1224,41136,56361,3588,229,6.4,3359,93.6,3017,84.1,41,1.1,0,0,0,0,121,3.4,0,0,180,5,17.9,18
