,School Name,Grades,District Name,Math: % Met Readiness Benchmark,English: % Met Readiness Benchmark,Reading: % Met Readiness Benchmark,Science: % Met Readiness Benchmark,% Met Readiness Benchmark in all Four Subjects, School Enrollment ,School % FRL,School % White,School % Hispanic,School % Black,School % Other Races,School Overall % Minority,Region,Number of Students in Grade 11, Number of Students in grade 11 that took the ACT, % Students in grade 11 that took the ACT in 2015-16, Average ACT Math Score , Average ACT English Score , Average ACT Reading Score , Average ACT Science Score ,Is Open Enrollment Charter,County,School LEA,DLEA,Year
154,LISA ACADEMY NORTH HIGH SCHOOL,9-12,LISA ACADEMY,22%,43%,22%,18%,14%,282,57%,26%,24%,40%,9%,74%,3,72,63,88%,18.5,18.3,18.1,18.6,1,PULASKI,6041706,6041700,2021
155,LISA ACADEMY WEST HIGH SCHOOL,9-12,LISA ACADEMY,16%,35%,19%,13%,5%,451,63%,16%,33%,43%,7%,84%,3,121,105,87%,17.2,15.9,16.7,17.6,1,PULASKI,6041703,6041700,2021
156,LITTLE ROCK HALL STEAM MAGNET HIGH SCHOOL,9-12,LITTLE ROCK SCHOOL DISTRICT,0%,14%,8%,2%,0%,259,86%,7%,16%,75%,2%,93%,3,74,66,89%,14.1,13.2,15,15.5,0,PULASKI,6001083,6001000,2021
157,LITTLE ROCK SOUTHWEST HIGH SCHOOL,9-12,LITTLE ROCK SCHOOL DISTRICT,1%,9%,5%,2%,0%,2154,86%,5%,27%,66%,1%,95%,3,445,291,65%,14.4,12.3,13.3,14.5,0,PULASKI,6001082,6001000,2021
158,LITTLE ROCK WEST HIGH SCHOOL OF INNOVATION,9-12,LITTLE ROCK SCHOOL DISTRICT,10%,28%,18%,16%,6%,234,42%,35%,4%,53%,8%,65%,3,66,51,77%,16.4,14.7,16.7,16.7,0,PULASKI,6001081,6001000,2021
159,LONOKE HIGH SCHOOL,9-12,LONOKE SCHOOL DISTRICT,16%,47%,37%,27%,11%,479,64%,62%,9%,25%,4%,38%,3,112,73,65%,17.8,17.6,19.9,19.4,0,LONOKE,4301029,4301000,2021
160,MAGAZINE HIGH SCHOOL,7-12,MAGAZINE SCHOOL DISTRICT,3%,35%,24%,14%,0%,224,81%,91%,4%,0%,4%,9%,1,37,29,78%,16.8,16.2,17.6,18.3,0,LOGAN,4202008,4202000,2021
161,MAGNET COVE HIGH SCHOOL,7-12,MAGNET COVE SCHOOL DISTRICT,14%,57%,27%,27%,5%,327,38%,91%,3%,1%,4%,9%,3,51,37,73%,17.5,18.5,18.3,18.9,0,HOT SPRING,3003014,3003000,2021
162,MAGNOLIA HIGH SCHOOL,9-12,MAGNOLIA SCHOOL DISTRICT,14%,35%,20%,19%,9%,808,65%,38%,6%,51%,5%,62%,4,195,165,85%,16.5,16.1,16.3,17.2,0,COLUMBIA,1402009,1402000,2021
163,MALVERN HIGH SCHOOL,9-12,MALVERN SCHOOL DISTRICT,10%,36%,22%,14%,6%,594,72%,52%,10%,28%,10%,48%,3,126,83,66%,16.7,16.1,17.8,18,0,HOT SPRING,3004023,3004000,2021
164,MAMMOTH SPRING HIGH SCHOOL,7-12,MAMMOTH SPRING SCHOOL DISTRICT,16%,32%,32%,11%,5%,231,72%,97%,1%,0%,2%,3%,2,26,19,73%,17.2,16.1,18.4,17.6,0,FULTON,2501002,2501000,2021
165,MANILA HIGH SCHOOL,7-12,MANILA SCHOOL DISTRICT,13%,43%,28%,21%,10%,488,58%,94%,5%,0%,1%,6%,2,75,61,81%,17.1,16.8,18.1,18.1,0,MISSISSIPPI,4712044,4712000,2021
166,MANSFIELD HIGH SCHOOL,9-12,MANSFIELD SCHOOL DISTRICT,24%,35%,28%,20%,8%,246,63%,83%,6%,2%,9%,17%,1,73,51,70%,17.7,16.7,19.2,18.3,0,SEBASTIAN,6606062,6606000,2021
167,MARION HIGH SCHOOL,10-12,MARION SCHOOL DISTRICT,12%,35%,25%,13%,8%,850,71%,37%,7%,52%,4%,63%,2,293,241,82%,16.6,16.3,17.2,17.1,0,CRITTENDEN,1804015,1804000,2021
168,MARKED TREE HIGH SCHOOL,7-12,MARKED TREE SCHOOL DISTRICT,0%,3%,14%,6%,0%,236,81%,58%,3%,39%,0%,42%,2,45,35,78%,15.2,12,15.4,15.4,0,POINSETT,5604017,5604000,2021
169,MARMADUKE HIGH SCHOOL,7-12,MARMADUKE SCHOOL DISTRICT,7%,28%,26%,14%,7%,333,59%,95%,3%,0%,2%,5%,2,60,43,72%,16.3,15.7,17.1,18.5,0,GREENE,2803017,2803000,2021
170,MARSHALL HIGH SCHOOL,7-12,SEARCY COUNTY SCHOOL DISTRICT,8%,46%,35%,15%,4%,367,69%,93%,3%,0%,4%,7%,1,60,52,87%,16.5,17.8,18,17.3,0,SEARCY,6502006,6502000,2021
171,MARVELL-ELAINE HIGH SCHOOL,6-12,MARVELL-ELAINE SCHOOL DISTRICT,0%,8%,0%,0%,0%,165,96%,9%,4%,86%,1%,91%,5,32,25,78%,13.5,11.5,12.9,14.7,0,PHILLIPS,5404032,5404000,2021
172,MAUMELLE CHARTER HIGH SCHOOL,6-12,ACADEMICS PLUS PUBLIC CHARTER SCHOOLS,32%,60%,40%,33%,23%,641,17%,73%,5%,13%,9%,27%,3,63,60,95%,19.3,20.6,20.6,20.4,1,PULASKI,6040703,6040700,2021
173,MAUMELLE HIGH SCHOOL,9-12,PULASKI COUNTY SPECIAL SCHOOL DISTRICT,14%,40%,24%,17%,9%,875,32%,41%,7%,48%,5%,59%,3,204,176,86%,16.6,16.7,17.6,18.1,0,PULASKI,6003151,6003000,2021
174,MAYFLOWER HIGH SCHOOL,9-12,MAYFLOWER SCHOOL DISTRICT,9%,42%,19%,16%,6%,333,53%,77%,4%,11%,8%,23%,3,78,69,88%,17,16.7,16.6,17.8,0,FAULKNER,2305026,2305000,2021
175,MAYNARD HIGH SCHOOL,7-12,MAYNARD SCHOOL DISTRICT,3%,41%,12%,9%,3%,235,70%,97%,3%,0%,0%,3%,2,39,34,87%,15.5,15.6,16.7,18.1,0,RANDOLPH,6102006,6102000,2021
176,MCCRORY HIGH SCHOOL,7-12,MCCRORY SCHOOL DISTRICT,19%,51%,38%,35%,16%,264,51%,85%,2%,13%,1%,15%,2,42,37,88%,18.1,18.4,19.8,19.2,0,WOODRUFF,7403013,7403000,2021
177,MCGEHEE HIGH SCHOOL,9-12,MCGEHEE SCHOOL DISTRICT,10%,31%,15%,12%,8%,341,69%,43%,8%,45%,4%,57%,5,77,61,79%,16.5,17,16.7,17.6,0,DESHA,2105028,2105000,2021
178,MELBOURNE HIGH SCHOOL,7-12,MELBOURNE SCHOOL DISTRICT,41%,74%,47%,45%,29%,404,50%,95%,2%,1%,1%,5%,2,69,49,71%,20.4,21.8,21.8,22.2,0,IZARD,3302006,3302000,2021
179,MENA HIGH SCHOOL,9-12,MENA SCHOOL DISTRICT,20%,33%,20%,17%,9%,494,58%,85%,7%,1%,6%,15%,4,141,118,84%,17.7,16,17.7,18,0,POLK,5703012,5703000,2021
180,MIDLAND HIGH SCHOOL,7-12,MIDLAND SCHOOL DISTRICT,0%,21%,31%,3%,0%,230,65%,91%,4%,3%,2%,9%,2,33,29,88%,15.5,14.1,18.3,17.1,0,INDEPENDENCE,3211035,3211000,2021
181,MILLS UNIVERSITY STUDIES HIGH SCHOOL,9-12,PULASKI COUNTY SPECIAL SCHOOL DISTRICT,3%,21%,11%,3%,1%,568,58%,18%,19%,60%,3%,82%,3,117,108,92%,14.7,13.4,14.8,15.7,0,PULASKI,6003125,6003000,2021
182,MINER ACADEMY,6-12,BAUXITE SCHOOL DISTRICT,N<10,N<10,N<10,N<10,N<10,45,47%,87%,7%,2%,4%,13%,3,6,N<10,#VALUE!,N<10,N<10,N<10,N<10,0,SALINE,6301703,6301000,2021
183,MINERAL SPRINGS HIGH SCHOOL,7-12,MINERAL SPRINGS SCHOOL DISTRICT,5%,14%,19%,5%,5%,157,87%,18%,12%,67%,3%,82%,4,24,21,88%,14.5,13,14.7,15.2,0,HOWARD,3104006,3104000,2021
184,MONTICELLO HIGH SCHOOL,9-12,MONTICELLO SCHOOL DISTRICT,16%,42%,34%,26%,12%,513,47%,59%,5%,35%,2%,41%,5,118,106,90%,17,16.7,19,18.9,0,DREW,2203012,2203000,2021
185,MORRILTON SENIOR HIGH SCHOOL,9-12,SOUTH CONWAY COUNTY SCHOOL DISTRICT,11%,39%,18%,17%,7%,711,68%,71%,8%,15%,5%,29%,6,165,140,85%,16.8,16.6,17.6,18.3,0,CONWAY,1507036,1507000,2021
186,MOUNT IDA HIGH SCHOOL,7-12,MOUNT IDA SCHOOL DISTRICT,18%,36%,27%,23%,14%,194,62%,92%,3%,1%,5%,8%,4,26,22,85%,17.7,16.8,17.2,18.3,0,MONTGOMERY,4902007,4902000,2021
187,MOUNTAIN HOME CAREER ACADEMIES,8-12,MOUNTAIN HOME SCHOOL DISTRICT,23%,55%,38%,29%,14%,1593,45%,89%,5%,0%,5%,11%,1,311,249,80%,18.2,18.7,19.6,19.9,0,BAXTER,303703,303000,2021
188,MOUNTAIN PINE HIGH SCHOOL,7-12,MOUNTAIN PINE SCHOOL DISTRICT,14%,43%,50%,29%,14%,305,80%,79%,5%,7%,10%,21%,3,57,14,25%,16.5,17.5,20.1,20.4,0,GARLAND,2607047,2607000,2021
189,MOUNTAIN VIEW HIGH SCHOOL,9-12,MOUNTAIN VIEW SCHOOL DISTRICT,11%,51%,40%,32%,10%,355,63%,95%,3%,1%,2%,5%,2,81,73,90%,17.1,18.4,19.7,19.5,0,STONE,6901007,6901000,2021
190,MOUNTAINBURG HIGH SCHOOL,9-12,MOUNTAINBURG SCHOOL DISTRICT,5%,33%,28%,14%,5%,201,68%,90%,3%,0%,6%,10%,1,54,43,80%,16,15.8,18.6,17.7,0,CRAWFORD,1703013,1703000,2021
191,MT. JUDEA K-12 SCHOOL,K-12,DEER-MT. JUDEA SCHOOL DISTRICT,N<10,N<10,N<10,N<10,N<10,169,79%,95%,1%,1%,3%,5%,1,18,N<10,N/A,N<10,N<10,N<10,N<10,0,NEWTON,5106004,5106000,2021
192,MT. VERNON-ENOLA HIGH SCHOOL,7-12,MT. VERNON-ENOLA SCHOOL DISTRICT,30%,44%,33%,33%,7%,265,55%,96%,1%,2%,2%,4%,3,31,27,87%,18.5,17.6,19.1,19.2,0,FAULKNER,2306030,2306000,2021
193,MULBERRY HIGH SCHOOL,9-12,MULBERRY/PLEASANT VIEW BI-COUNTY SCHOOLS,8%,45%,18%,13%,5%,126,56%,94%,1%,1%,5%,6%,1,41,38,93%,15.6,16,17.2,18,0,CRAWFORD,1704017,1704000,2021
194,MURFREESBORO HIGH SCHOOL,7-12,SOUTH PIKE COUNTY SCHOOL DISTRICT,4%,54%,29%,25%,0%,318,67%,84%,6%,6%,4%,16%,4,30,24,80%,16.2,17.3,18.2,18.9,0,PIKE,5504015,5504000,2021
195,NASHVILLE HIGH SCHOOL,10-12,NASHVILLE SCHOOL DISTRICT,13%,40%,22%,15%,7%,444,73%,49%,28%,19%,4%,51%,4,153,140,92%,16.6,16.9,17.3,17.7,0,HOWARD,3105011,3105000,2021
196,NEMO VISTA HIGH SCHOOL,9-12,NEMO VISTA SCHOOL DISTRICT,31%,58%,54%,46%,23%,118,61%,87%,3%,1%,8%,13%,6,33,26,79%,19.8,19.3,19.9,20.2,0,CONWAY,1503017,1503000,2021
197,NETTLETON HIGH SCHOOL,9-12,NETTLETON SCHOOL DISTRICT,8%,38%,21%,14%,7%,1005,69%,36%,10%,48%,6%,64%,2,220,193,88%,16.1,16.9,17.5,17.6,0,CRAIGHEAD,1611042,1611000,2021
198,NEVADA HIGH  SCHOOL,7-12,NEVADA SCHOOL DISTRICT,8%,31%,15%,4%,0%,173,75%,58%,2%,32%,7%,42%,4,26,26,100%,15.7,15.8,16.5,17.7,0,NEVADA,5008014,5008000,2021
199,NEWPORT HIGH SCHOOL,6-12,NEWPORT SCHOOL DISTRICT,4%,21%,13%,5%,2%,594,76%,51%,8%,35%,6%,49%,2,99,82,83%,15.3,14.3,15.8,16.4,0,JACKSON,3403013,3403000,2021
200,NORFORK HIGH SCHOOL,7-12,NORFORK SCHOOL DISTRICT,14%,40%,23%,14%,9%,221,74%,98%,1%,0%,1%,2%,1,45,35,78%,17.3,16.9,18.1,18.3,0,BAXTER,304022,304000,2021
201,NORTH LITTLE ROCK CENTER OF EXCELLENCE,9-12,NORTH LITTLE ROCK SCHOOL DISTRICT,6%,29%,16%,8%,2%,326,74%,21%,16%,59%,5%,79%,3,71,51,72%,15.9,15.1,16.2,16.3,0,PULASKI,6002703,6002000,2021
202,NORTH LITTLE ROCK HIGH SCHOOL,9-12,NORTH LITTLE ROCK SCHOOL DISTRICT,13%,33%,23%,16%,8%,2032,70%,28%,10%,56%,5%,72%,3,472,333,71%,16.6,16.1,17.2,17.2,0,PULASKI,6002082,6002000,2021
203,NORTHSIDE HIGH SCHOOL,9-12,FORT SMITH SCHOOL DISTRICT,13%,38%,26%,17%,9%,2497,77%,25%,50%,14%,12%,75%,1,597,384,64%,16.9,16.5,17.9,18,0,SEBASTIAN,6601024,6601000,2021
204,NORTHWEST ARKANSAS CLASSICAL ACADEMY HIGH,7-12,RESPONSIVE ED SOLUTIONS NORTHWEST ARKANSAS CLASSIC,55%,80%,65%,45%,30%,183,9%,70%,13%,2%,14%,30%,1,24,20,83%,21.8,22.6,22.6,23.1,1,BENTON,442703,442700,2021
205,OARK HIGH SCHOOL,7-12,JASPER SCHOOL DISTRICT,N<10,N<10,N<10,N<10,N<10,67,88%,99%,1%,0%,0%,1%,1,10,N<10,N/A,N<10,N<10,N<10,N<10,0,NEWTON,5102024,5102000,2021
206,ODEN SCHOOLS,P-12,OUACHITA RIVER SCHOOL DISTRICT,0%,62%,31%,8%,0%,172,74%,88%,5%,0%,7%,12%,4,16,13,81%,17.2,16.8,18.3,17.6,0,POLK,5706009,5706000,2021
207,OMAHA HIGH SCHOOL,7-12,OMAHA SCHOOL DISTRICT,30%,74%,70%,48%,26%,186,71%,92%,4%,0%,4%,8%,1,30,23,77%,20.2,22,22.4,21.1,0,BOONE,504023,504000,2021
208,OSCEOLA HIGH SCHOOL,9-12,OSCEOLA SCHOOL DISTRICT,4%,13%,5%,4%,2%,296,87%,7%,1%,89%,3%,93%,2,67,56,84%,14.8,12.6,13.8,14.8,0,MISSISSIPPI,4713051,4713000,2021
209,OUACHITA HIGH SCHOOL,7-12,OUACHITA SCHOOL DISTRICT,13%,45%,23%,23%,8%,257,47%,96%,2%,0%,3%,4%,3,40,40,100%,17.4,16.9,17.9,18.8,0,HOT SPRING,3005030,3005000,2021
210,OZARK JR/SR HIGH SCHOOL,8-12,OZARK SCHOOL DISTRICT,11%,40%,30%,17%,8%,694,49%,90%,4%,0%,6%,10%,1,122,104,85%,16.9,16.9,18.2,17.9,0,FRANKLIN,2404017,2404000,2021
211,PALESTINE-WHEATLEY SENIOR HIGH,7-12,PALESTINE-WHEATLEY SCHOOL DISTRICT,3%,38%,9%,6%,3%,340,85%,88%,2%,10%,1%,12%,2,52,32,62%,15.8,16.2,16.5,16.8,0,ST FRANCIS,6205028,6205000,2021
212,PANGBURN HIGH SCHOOL,7-12,PANGBURN SCHOOL DISTRICT,19%,42%,32%,25%,13%,391,64%,96%,2%,1%,2%,4%,2,59,53,90%,17.3,16.7,18.4,17.6,0,WHITE,7309039,7309000,2021
213,PARAGOULD HIGH SCHOOL,9-12,PARAGOULD SCHOOL DISTRICT,19%,46%,24%,24%,11%,886,59%,80%,8%,6%,6%,20%,2,200,172,86%,17.5,17.5,17.7,18.2,0,GREENE,2808043,2808000,2021
214,PARIS HIGH SCHOOL,9-12,PARIS SCHOOL DISTRICT,14%,41%,23%,19%,7%,307,70%,87%,3%,3%,7%,13%,1,70,69,99%,17.2,16.7,18,18.2,0,LOGAN,4203012,4203000,2021
215,PARKERS CHAPEL HIGH SCHOOL,7-12,PARKERS CHAPEL SCHOOL DISTRICT,24%,64%,38%,31%,19%,344,36%,84%,3%,8%,4%,16%,4,48,42,88%,18.5,19.8,19.5,19.5,0,UNION,7007040,7007000,2021
216,PARKVIEW MAGNET HIGH SCHOOL,9-12,LITTLE ROCK SCHOOL DISTRICT,14%,35%,24%,21%,9%,1032,56%,13%,12%,73%,2%,87%,3,289,254,88%,17,16.1,17.7,18.2,0,PULASKI,6001005,6001000,2021
217,PEA RIDGE HIGH SCHOOL,10-12,PEA RIDGE SCHOOL DISTRICT,18%,43%,33%,24%,12%,528,31%,88%,8%,1%,3%,12%,1,198,162,82%,17.8,16.8,18.8,19.1,0,BENTON,407027,407000,2021
218,PERRYVILLE HIGH SCHOOL,7-12,PERRYVILLE SCHOOL DISTRICT,8%,39%,24%,18%,7%,439,61%,92%,4%,0%,4%,8%,1,78,62,79%,16.5,16.8,17.7,18.1,0,PERRY,5303011,5303000,2021
219,PIGGOTT HIGH SCHOOL,7-12,PIGGOTT SCHOOL DISTRICT,2%,31%,26%,14%,0%,339,35%,94%,3%,1%,2%,6%,2,60,58,97%,15.5,15.1,16.2,17.2,0,CLAY,1104018,1104000,2021
220,PINE BLUFF HIGH SCHOOL,9-12,PINE BLUFF SCHOOL DISTRICT,4%,22%,14%,6%,3%,890,79%,2%,2%,95%,1%,98%,3,181,117,65%,14.9,14.4,15.5,16.2,0,JEFFERSON,3505042,3505000,2021
221,POCAHONTAS HIGH SCHOOL,10-12,POCAHONTAS SCHOOL DISTRICT,16%,47%,27%,18%,9%,405,53%,83%,3%,0%,14%,17%,2,166,155,93%,17.1,17.5,17.6,17.6,0,RANDOLPH,6103010,6103000,2021
222,POTTSVILLE HIGH SCHOOL,10-12,POTTSVILLE SCHOOL DISTRICT,18%,50%,32%,24%,11%,388,35%,89%,7%,3%,1%,11%,1,125,123,98%,17.6,18.6,19,18.8,0,POPE,5804014,5804000,2021
223,POYEN HIGH SCHOOL,7-12,POYEN SCHOOL DISTRICT,11%,29%,26%,6%,3%,270,49%,93%,4%,0%,3%,7%,3,39,35,90%,16.7,15.5,17.1,17.4,0,GRANT,2703010,2703000,2021
224,PRAIRIE GROVE HIGH SCHOOL,9-12,PRAIRIE GROVE SCHOOL DISTRICT,17%,43%,30%,22%,12%,630,36%,84%,7%,2%,7%,16%,1,167,146,87%,17.4,16.9,18,18.9,0,WASHINGTON,7206703,7206000,2021
225,PREMIER HIGH SCHOOL OF LITTLE ROCK,9-12,RESPONSIVE ED SOLUTIONS PREMIER HIGH SCHOOL OF LIT,0%,15%,0%,0%,0%,125,82%,14%,0%,81%,5%,86%,3,44,13,30%,13.4,12.4,14.2,15.2,1,PULASKI,6053703,6053700,2021
226,PREMIER HIGH SCHOOL OF NORTH LITTLE ROCK,9-12,RESPONSIVE ED SOLUTIONS PREMIER HIGH SCHOOL OF NOR,0%,9%,0%,0%,0%,143,86%,22%,3%,71%,3%,78%,3,41,11,27%,14.4,13.5,14.8,15.8,1,PULASKI,6062703,6062700,2021
227,PRESCOTT HIGH SCHOOL,9-12,PRESCOTT SCHOOL DISTRICT,3%,18%,19%,11%,2%,303,68%,52%,7%,38%,3%,48%,4,74,63,85%,15.4,14.6,16.1,16.1,0,NEVADA,5006024,5006000,2021
228,QUITMAN HIGH SCHOOL,9-12,QUITMAN SCHOOL DISTRICT,19%,45%,23%,21%,11%,243,51%,95%,1%,2%,2%,5%,2,58,53,91%,17.7,16.8,17.4,18,0,CLEBURNE,1203011,1203000,2021
229,RECTOR HIGH SCHOOL,7-12,RECTOR SCHOOL DISTRICT,21%,39%,36%,36%,13%,251,58%,96%,3%,0%,0%,4%,2,44,39,89%,18.2,17.4,18.7,20.8,0,CLAY,1106023,1106000,2021
230,RISON HIGH SCHOOL,7-12,CLEVELAND COUNTY SCHOOL DISTRICT,18%,39%,29%,22%,10%,371,58%,71%,2%,24%,4%,29%,5,59,51,86%,17.5,17.3,18.5,18.9,0,CLEVELAND,1305010,1305000,2021
231,RIVER VALLEY VIRTUAL ACADEMY,K-12,VAN BUREN SCHOOL DISTRICT,12%,29%,24%,12%,6%,230,66%,73%,10%,3%,14%,27%,1,27,17,63%,15.4,16.4,17.8,16.9,0,CRAWFORD,1705703,1705000,2021
232,RIVERSIDE HIGH SCHOOL,7-12,RIVERSIDE SCHOOL DISTRICT,9%,34%,17%,6%,4%,337,51%,90%,8%,0%,2%,10%,2,58,47,81%,16.1,15.9,17.2,17.4,0,CRAIGHEAD,1613021,1613000,2021
233,RIVERVIEW HIGH SCHOOL,9-12,RIVERVIEW SCHOOL DISTRICT,5%,25%,26%,14%,4%,355,66%,64%,20%,8%,8%,36%,2,88,77,88%,15.8,14.9,17.6,16.7,0,WHITE,7307032,7307000,2021
234,ROGERS HERITAGE HIGH SCHOOL,9-12,ROGERS SCHOOL DISTRICT,16%,34%,24%,19%,11%,2106,56%,42%,50%,1%,7%,58%,1,513,458,89%,17.1,16,17.4,17.7,0,BENTON,405052,405000,2021
235,ROGERS HIGH SCHOOL,9-12,ROGERS SCHOOL DISTRICT,24%,51%,33%,29%,18%,2157,44%,41%,50%,1%,7%,59%,1,517,464,90%,18.3,18.4,18.8,19.3,0,BENTON,405048,405000,2021
236,ROGERS NEW TECHNOLOGY HIGH SCHOOL,9-12,ROGERS SCHOOL DISTRICT,15%,45%,35%,22%,9%,677,55%,40%,53%,2%,5%,60%,1,136,127,93%,17.8,17.8,19.9,19.8,0,BENTON,405703,405000,2021
237,ROSE BUD HIGH SCHOOL,7-12,ROSE BUD SCHOOL DISTRICT,13%,40%,25%,15%,8%,361,55%,93%,6%,1%,1%,7%,2,61,48,79%,17.5,16.6,18.8,18.2,0,WHITE,7310043,7310000,2021
238,RURAL SPECIAL HIGH SCHOOL,7-12,MOUNTAIN VIEW SCHOOL DISTRICT,33%,75%,42%,25%,25%,93,67%,89%,10%,0%,1%,11%,2,12,12,100%,19.1,21.8,20.8,20.5,0,STONE,6901012,6901000,2021
239,RUSSELLVILLE HIGH SCHOOL,10-12,RUSSELLVILLE SCHOOL DISTRICT,24%,52%,37%,30%,17%,1168,45%,61%,26%,7%,6%,39%,1,388,283,73%,18.4,18.5,19.8,19.8,0,POPE,5805024,5805000,2021
240,SALEM HIGH SCHOOL,7-12,SALEM SCHOOL DISTRICT,23%,55%,34%,28%,15%,415,60%,93%,2%,0%,5%,7%,2,61,53,87%,18.4,18.3,19.8,19.7,0,FULTON,2502006,2502000,2021
241,SCOTT CHARTER SCHOOL,K-11,ACADEMICS PLUS PUBLIC CHARTER SCHOOLS,N<10,N<10,N<10,N<10,N<10,215,69%,42%,8%,48%,2%,58%,3,8,N<10,N/A,N<10,N<10,N<10,N<10,1,PULASKI,6040704,6040700,2021
242,SCRANTON HIGH SCHOOL,7-12,SCRANTON SCHOOL DISTRICT,24%,48%,40%,32%,20%,206,53%,90%,4%,0%,6%,10%,1,32,25,78%,18.6,18.5,20.5,20.1,0,LOGAN,4204019,4204000,2021
243,SEARCY HIGH SCHOOL,9-12,SEARCY SCHOOL DISTRICT,29%,58%,40%,31%,22%,1094,40%,70%,11%,11%,9%,30%,2,250,230,92%,19.1,19.8,20.5,19.9,0,WHITE,7311052,7311000,2021
244,SHERIDAN HIGH SCHOOL,9-12,SHERIDAN SCHOOL DISTRICT,23%,47%,35%,27%,17%,1241,31%,89%,6%,2%,3%,11%,3,296,243,82%,18.3,17.8,19.2,19,0,GRANT,2705021,2705000,2021
245,SHIRLEY HIGH SCHOOL,7-12,SHIRLEY SCHOOL DISTRICT,11%,21%,5%,11%,5%,144,81%,94%,1%,1%,3%,6%,1,32,19,59%,14.9,13.6,14.7,15.9,0,VAN BUREN,7104015,7104000,2021
246,SILOAM SPRINGS HIGH SCHOOL CONVERSION CHARTER,9-12,SILOAM SPRINGS SCHOOL DISTRICT,28%,49%,37%,33%,17%,1358,40%,52%,35%,1%,12%,48%,1,307,254,83%,18.8,17.7,19.3,19.6,0,BENTON,406703,406000,2021
247,SLOAN-HENDRIX HIGH SCHOOL,7-12,SLOAN-HENDRIX SCHOOL DISTRICT,15%,45%,30%,19%,11%,357,69%,97%,1%,0%,1%,3%,2,56,47,84%,17.5,18.6,18.8,19.3,0,LAWRENCE,3806019,3806000,2021
248,SMACKOVER HIGH SCHOOL,9-12,SMACKOVER-NORPHLET SCHOOL DISTRICT,4%,24%,7%,6%,3%,316,49%,72%,5%,20%,3%,28%,4,72,68,94%,15.5,14,15.2,15.9,0,UNION,7008045,7008000,2021
