school_name,School Code,tests_taken,SAT_reading_writing,Total # of Classes,avg_class_size,number_of_students,Female %,Male %,perc_english_learner,perc_disabilities,perc_econ_disadvg,District Code,perc_african_american,perc_asian,perc_hispanic,perc_white,perc_native_american,perc_hawaiian_pacific_isl,perc_multi_race_non_hisp,District Name,In-District Expenditures,Total In-district FTEs,In-District Expenditures per Pupil,Total Expenditures,Total Pupil FTEs,total_exp_per_pupil,year,SAT_math_19,SAT_math_20,SAT_math_21,SAT_math_22,SAT_math_23
mount greylock - mt greylock regional high,7150505,95,613,338.0,13.5,553.0,52.3,47.7,15.7,0.2,13.6,7150000.0,2.0,2.0,3.4,89.5,0.0,0.0,3.1,Mount Greylock,"          $20,342,432.26",1187.0,"              $17,137.69","          $21,673,316.92",1251.1,17323.41,2019.0,598.0,590.0,578.0,597.0,587.0
mystic valley regional charter (district) - mystic valley regional charter school,4700105,128,569,759.0,23.8,1581.0,51.4,48.6,19.0,1.8,12.3,4700000.0,17.7,23.0,9.4,45.2,0.3,0.0,4.4,Mystic Valley Regional Charter (District),"          $20,563,649.00",1572.1,"              $13,080.12","          $20,563,649.00",1572.1,13080.12,2019.0,582.0,586.0,594.0,595.0,607.0
nantucket - nantucket high,1970505,176,544,294.0,14.8,542.0,48.2,51.3,22.1,11.6,14.8,1970000.0,12.6,1.5,26.9,53.7,0.6,0.0,4.8,Nantucket,"          $37,454,275.00",1649.2,"              $22,710.57","          $38,357,521.00",1664.5,23044.47,2019.0,526.0,526.0,507.0,501.0,515.0
narragansett - narragansett regional high,7200505,60,558,221.0,13.1,349.0,49.3,50.7,31.0,0.0,14.9,7200000.0,0.9,0.0,8.6,88.0,0.0,0.0,2.6,Narragansett,"          $19,038,589.91",1421.7,"              $13,391.43","          $21,563,480.91",1603.5,13447.76,2019.0,558.0,548.0,606.0,527.0,518.0
nashoba - nashoba regional,7250505,255,591,572.0,13.2,914.0,49.9,50.0,7.4,1.5,12.9,7250000.0,1.8,3.1,3.6,89.6,0.0,0.2,1.8,Nashoba,"          $55,191,794.88",3229.4,"              $17,090.42","          $58,444,305.68",3366.1,17362.62,2019.0,599.0,608.0,593.0,593.0,591.0
nashoba valley regional vocational technical - nashoba valley technical high school,8520605,118,527,384.0,14.0,690.0,38.3,61.2,21.5,0.7,32.0,8520000.0,2.0,1.6,6.5,87.1,0.6,0.1,2.0,Nashoba Valley Regional Vocational Technical,"          $14,937,986.72",697.1,"              $21,428.76","          $14,937,986.72",697.1,21428.76,2019.0,521.0,497.0,536.0,516.0,506.0
natick - natick high,1980505,500,583,1335.0,17.4,1780.0,49.0,50.8,10.8,3.4,16.2,1980000.0,3.4,8.4,6.6,76.7,0.1,0.1,4.8,Natick,"          $83,516,897.00",5497.2,"              $15,192.62","          $91,526,031.00",5651.5,16195.0,2019.0,586.0,597.0,603.0,589.0,596.0
nauset - nauset regional high,6600505,257,578,573.0,13.4,906.0,54.5,45.3,21.0,2.5,11.0,6600000.0,6.5,2.8,3.6,83.3,0.1,0.1,3.5,Nauset,"          $30,239,017.00",1494.1,"              $20,238.95","          $33,744,606.00",1613.2,20917.81,2019.0,566.0,561.0,534.0,556.0,525.0
needham - needham high,1990505,432,610,718.0,16.9,1656.0,50.4,49.5,4.7,0.4,17.4,1990000.0,2.1,8.4,5.0,79.8,0.1,0.1,4.6,Needham,"         $102,579,161.00",5736.2,"              $17,882.77","         $109,800,578.00",5832.2,18826.61,2019.0,617.0,619.0,645.0,640.0,632.0
new bedford - new bedford high,2010505,260,484,1207.0,18.9,2625.0,49.3,50.7,65.1,31.1,18.1,2010000.0,16.2,1.1,43.8,33.5,0.7,0.2,4.6,New Bedford,"         $186,577,141.52",12971.9,"              $14,383.18","         $212,607,408.52",14491.4,14671.28,2019.0,478.0,477.0,490.0,478.0,469.0
newburyport - newburyport high,2040505,231,579,628.0,16.4,786.0,52.9,47.0,9.4,1.8,10.4,2040000.0,0.3,2.3,3.6,91.4,0.1,0.0,2.4,Newburyport,"          $38,291,416.40",2233.7,"              $17,142.60","          $44,121,148.03",2462.8,17915.03,2019.0,585.0,585.0,583.0,574.0,592.0
newton - newton north high,2070505,514,619,1046.0,15.9,2086.0,48.5,51.3,12.0,2.8,16.3,2070000.0,6.4,15.0,9.6,61.9,0.1,0.0,7.0,Newton,"         $247,574,343.00",12829.4,"              $19,297.42","         $262,570,016.00",12985.7,20219.94,2019.0,624.0,640.0,648.0,627.0,624.0
newton - newton south high,2070510,491,633,1141.0,13.9,1970.0,47.5,52.3,8.1,2.4,16.6,2070000.0,4.6,22.1,6.2,61.2,0.0,0.0,5.9,Newton,"         $247,574,343.00",12829.4,"              $19,297.42","         $262,570,016.00",12985.7,20219.94,2019.0,651.0,645.0,665.0,648.0,651.0
norfolk county agricultural - norfolk county agricultural,9150705,133,537,470.0,16.0,553.0,70.5,29.3,13.6,0.2,19.9,9150000.0,1.3,1.5,2.0,90.4,0.2,0.4,4.3,Norfolk County Agricultural,"          $13,402,717.79",553.2,"              $24,227.62","          $13,402,717.79",553.2,24227.62,2019.0,512.0,505.0,506.0,507.0,510.0
north andover - north andover high,2110505,431,572,1169.0,18.1,1387.0,50.0,50.0,15.0,0.9,11.7,2110000.0,3.5,7.1,10.8,76.5,0.0,0.1,1.9,North Andover,"          $62,906,308.63",4775.8,"              $13,171.89","          $69,168,660.54",4874.1,14191.06,2019.0,568.0,575.0,567.0,568.0,577.0
north attleborough - north attleboro high,2120505,346,564,626.0,16.4,1105.0,48.3,51.5,16.4,2.0,12.0,2120000.0,4.4,7.0,4.9,80.4,0.2,0.3,2.9,North Attleborough,"          $55,988,473.12",4176.4,"              $13,405.92","          $60,745,994.86",4386.1,13849.66,2019.0,562.0,567.0,585.0,568.0,567.0
north middlesex - north middlesex regional,7350505,206,566,464.0,17.4,816.0,51.8,48.2,13.2,1.2,16.7,7350000.0,1.1,1.5,5.0,88.4,0.3,0.1,3.7,North Middlesex,"          $46,455,803.60",3057.9,"              $15,192.06","          $54,094,833.98",3283.0,16477.26,2019.0,548.0,532.0,548.0,531.0,536.0
north reading - north reading high,2170505,231,565,322.0,18.3,739.0,51.3,48.7,6.8,0.7,12.5,2170000.0,0.7,3.9,2.4,90.3,0.1,0.1,2.4,North Reading,"          $38,990,988.87",2405.2,"              $16,211.12","          $42,232,125.14",2452.7,17218.63,2019.0,567.0,557.0,571.0,576.0,580.0
northampton - northampton high,2100505,231,599,379.0,17.8,882.0,50.2,49.7,19.3,1.9,16.9,2100000.0,2.6,3.1,13.2,75.5,0.2,0.0,5.4,Northampton,"          $40,111,139.00",2647.9,"              $15,148.28","          $46,093,680.00",2943.4,15660.01,2019.0,591.0,602.0,596.0,583.0,599.0
northboro-southboro - algonquin regional high,7300505,437,591,773.0,15.6,1404.0,50.5,49.5,7.3,1.4,13.8,7300000.0,1.2,11.5,6.1,76.8,0.4,0.4,3.6,Northboro-Southboro,"          $24,594,695.92",1423.9,"              $17,272.77","          $25,854,963.92",1460.2,17706.45,2019.0,599.0,606.0,615.0,626.0,618.0
northbridge - northbridge high,2140505,105,541,357.0,15.2,541.0,46.8,53.2,24.2,1.5,12.4,2140000.0,0.9,1.1,6.5,87.6,0.0,0.2,3.7,Northbridge,"          $29,749,779.71",2046.7,"              $14,535.49","          $34,212,718.03",2272.7,15053.78,2019.0,530.0,517.0,542.0,532.0,533.0
northeast metropolitan regional vocational technical - northeast metro regional vocational,8530605,164,486,896.0,18.7,1281.0,45.1,54.9,35.4,4.1,20.0,8530000.0,2.6,0.6,34.8,59.8,0.1,0.2,1.9,Northeast Metropolitan Regional Vocational Technical,"          $29,059,023.88",1231.8,"              $23,590.70","          $29,090,223.88",1231.8,23616.03,2019.0,469.0,462.0,462.0,467.0,474.0
northern berkshire regional vocational technical - charles mccann vocational technical,8510605,50,513,371.0,15.3,508.0,40.0,60.0,35.0,0.0,16.3,8510000.0,0.8,0.4,1.4,94.9,0.0,0.0,2.6,Northern Berkshire Regional Vocational Technical,"          $10,429,005.25",466.5,"              $22,355.85","          $10,485,792.25",471.5,22239.22,2019.0,496.0,481.0,480.0,493.0,481.0
norton - norton high,2180505,200,558,371.0,16.7,702.0,49.6,50.4,16.5,1.1,16.0,2180000.0,1.7,2.6,3.4,90.3,0.0,0.3,1.7,Norton,"          $35,569,578.00",2455.2,"              $14,487.45","          $40,838,101.00",2610.5,15643.79,2019.0,549.0,549.0,549.0,548.0,550.0
norwell - norwell high,2190505,239,588,338.0,13.9,671.0,55.6,44.4,6.0,0.3,12.5,2190000.0,0.8,2.4,1.9,93.0,0.0,0.3,1.6,Norwell,"          $34,390,049.63",2181.5,"              $15,764.41","          $37,780,047.64",2227.7,16959.22,2019.0,577.0,585.0,581.0,574.0,600.0
norwood - norwood high,2200505,272,552,547.0,14.5,1001.0,50.1,49.8,26.5,5.8,14.9,2200000.0,13.2,5.0,15.2,64.1,0.0,0.1,2.4,Norwood,"          $55,342,454.23",3452.2,"              $16,031.07","          $62,255,745.59",3600.1,17292.78,2019.0,559.0,567.0,562.0,548.0,554.0
old colony regional vocational technical - old colony regional vocational technical,8550605,68,502,249.0,16.7,556.0,35.6,64.2,17.6,0.0,22.7,8550000.0,1.1,0.9,2.3,93.0,0.2,0.0,2.5,Old Colony Regional Vocational Technical,"          $11,927,431.00",539.7,"              $22,100.11","          $11,942,431.00",542.7,22005.59,2019.0,519.0,522.0,543.0,542.0,519.0
old rochester - old rochester regional high,7400505,229,565,342.0,17.9,746.0,49.2,50.8,12.3,0.0,11.7,7400000.0,2.6,1.6,2.0,89.8,0.1,0.0,3.9,Old Rochester,"          $20,251,887.90",1208.8,"              $16,753.71","          $20,341,316.90",1220.8,16662.28,2019.0,566.0,580.0,583.0,564.0,560.0
oxford - oxford high,2260505,70,502,259.0,16.5,554.0,52.5,47.3,36.6,0.0,15.0,2260000.0,2.4,2.2,11.6,78.9,0.2,0.4,4.5,Oxford,"          $22,680,294.82",1627.4,"              $13,936.52","          $25,796,931.06",1777.3,14514.67,2019.0,501.0,506.0,506.0,516.0,520.0
peabody - peabody veterans memorial high,2290510,328,533,705.0,16.1,1455.0,47.0,52.9,31.4,5.8,15.4,2290000.0,3.8,2.1,18.6,73.8,0.0,0.0,1.7,Peabody,"          $85,434,763.41",5966.5,"              $14,319.08","          $94,524,413.54",6178.4,15299.17,2019.0,534.0,526.0,530.0,530.0,544.0
pembroke - pembroke high school,2310505,240,557,379.0,16.7,812.0,52.0,47.9,11.2,0.5,11.1,2310000.0,0.7,1.6,1.6,95.1,0.0,0.1,0.9,Pembroke,"          $39,849,746.61",2802.9,"              $14,217.33","          $44,807,761.04",2960.0,15137.76,2019.0,557.0,558.0,561.0,560.0,577.0
pentucket - pentucket regional sr high,7450505,177,576,397.0,15.2,721.0,45.8,54.2,8.9,0.0,12.6,7450000.0,0.8,2.4,3.3,92.2,0.0,0.0,1.3,Pentucket,"          $37,026,427.83",2404.6,"              $15,398.17","          $41,233,427.83",2513.1,16407.4,2019.0,574.0,559.0,572.0,563.0,564.0
pioneer charter school of science (district) - pioneer charter school of science,4940205,70,573,363.0,18.3,800.0,51.4,48.6,38.1,22.3,9.8,4940000.0,24.8,7.4,30.0,34.5,1.8,0.0,1.6,Pioneer Charter School of Science (District),"          $11,065,851.30",784.0,"              $14,114.43","          $11,065,851.30",784.0,14114.43,2019.0,624.0,604.0,608.0,598.0,568.0
pioneer valley - pioneer valley regional,7500505,51,555,306.0,12.3,292.0,51.7,48.3,20.2,0.3,15.4,7500000.0,1.0,1.0,2.1,92.5,0.0,0.0,3.4,Pioneer Valley,"          $14,113,693.94",738.0,"              $19,124.25","          $15,722,055.62",837.3,18777.09,2019.0,520.0,573.0,507.0,496.0,516.0
pioneer valley performing arts charter public (district) - pioneer valley performing arts charter public school,4790505,68,568,346.0,12.5,398.0,67.6,32.2,31.9,0.3,24.1,4790000.0,8.8,1.8,19.4,62.1,0.0,0.3,7.8,Pioneer Valley Performing Arts Charter Public (District),"           $7,049,225.01",392.3,"              $17,969.88","           $7,049,225.01",392.3,17969.88,2019.0,517.0,512.0,556.0,499.0,551.0
pittsfield - pittsfield high,2360505,140,533,441.0,12.6,753.0,49.1,50.9,45.3,4.8,23.5,2360000.0,11.0,2.1,13.8,68.4,0.1,0.0,4.5,Pittsfield,"          $90,795,896.19",5420.4,"              $16,750.77","         $100,826,852.19",6201.6,16258.2,2019.0,525.0,535.0,521.0,547.0,524.0
pittsfield - taconic high,2360510,114,526,470.0,12.8,811.0,50.6,49.3,46.5,2.5,23.7,2360000.0,13.9,1.1,13.3,62.6,0.1,0.0,8.9,Pittsfield,"          $90,795,896.19",5420.4,"              $16,750.77","         $100,826,852.19",6201.6,16258.2,2019.0,518.0,513.0,507.0,525.0,513.0
plymouth - plymouth north high,2390505,544,523,926.0,15.1,1225.0,48.4,51.6,23.4,3.6,17.7,2390000.0,2.5,1.6,6.9,84.7,0.1,0.0,4.2,Plymouth,"         $132,273,004.34",7410.3,"              $17,849.89","         $149,380,157.34",8116.9,18403.6,2019.0,508.0,545.0,521.0,522.0,515.0
plymouth - plymouth south high,2390515,478,507,931.0,13.6,1051.0,46.7,53.3,17.4,0.0,21.1,2390000.0,1.1,1.1,3.1,91.1,0.3,0.0,3.4,Plymouth,"         $132,273,004.34",7410.3,"              $17,849.89","         $149,380,157.34",8116.9,18403.6,2019.0,495.0,542.0,522.0,520.0,509.0
prospect hill academy charter (district) - prospect hill academy charter school,4870550,118,518,461.0,20.8,1112.0,49.3,50.7,45.9,13.9,16.0,4870000.0,55.5,7.8,20.3,12.7,0.1,0.2,3.4,Prospect Hill Academy Charter (District),"          $23,189,922.50",1118.2,"              $20,738.25","          $23,189,922.50",1118.2,20738.25,2019.0,522.0,518.0,507.0,471.0,494.0
quabbin - quabbin regional high school,7530505,164,538,448.0,19.1,629.0,52.0,48.0,20.5,0.0,14.9,7530000.0,1.0,1.0,4.0,91.7,0.0,0.0,2.4,Quabbin,"          $34,459,028.92",2118.8,"              $16,263.46","          $38,876,248.36",2308.0,16844.13,2019.0,537.0,545.0,577.0,558.0,546.0
quaboag regional - quaboag regional high,7780505,46,575,202.0,13.8,402.0,49.5,50.3,33.6,0.5,11.7,7780000.0,0.8,0.3,6.2,89.6,0.0,0.0,3.2,Quaboag Regional,"          $18,845,505.77",1310.0,"              $14,385.88","          $20,347,092.25",1406.2,14469.56,2019.0,541.0,523.0,552.0,555.0,489.0
quincy - north quincy high,2430510,396,548,569.0,16.8,1269.0,48.4,51.5,31.8,8.8,14.1,2430000.0,3.7,56.4,3.9,33.6,0.2,0.1,2.1,Quincy,"         $146,338,175.41",9500.8,"              $15,402.72","         $163,135,812.02",9741.9,16745.79,2019.0,584.0,587.0,593.0,589.0,591.0
quincy - quincy high,2430505,359,533,814.0,15.7,1536.0,49.3,50.7,39.8,10.2,16.6,2430000.0,11.1,23.4,11.9,49.5,0.3,0.3,3.5,Quincy,"         $146,338,175.41",9500.8,"              $15,402.72","         $163,135,812.02",9741.9,16745.79,2019.0,532.0,537.0,560.0,550.0,563.0
randolph - randolph high,2440505,116,504,329.0,15.7,686.0,42.4,57.6,49.3,14.6,17.8,2440000.0,54.8,18.2,15.2,8.2,0.0,0.4,3.2,Randolph,"          $50,513,355.42",2798.4,"              $18,050.80","          $62,642,664.80",3390.7,18474.85,2019.0,522.0,513.0,580.0,552.0,521.0
reading - reading memorial high,2460505,414,578,594.0,17.3,1229.0,49.9,50.0,7.2,0.3,17.5,2460000.0,2.2,5.5,2.4,88.2,0.2,0.0,1.6,Reading,"          $58,138,672.08",4182.3,"              $13,901.12","          $63,798,486.69",4268.2,14947.4,2019.0,582.0,583.0,589.0,586.0,583.0
revere - revere high,2480505,560,496,866.0,19.5,2037.0,49.3,50.6,48.3,17.8,10.8,2480000.0,3.6,5.6,57.7,30.5,0.7,0.1,1.9,Revere,"         $103,140,833.85",7530.2,"              $13,696.96","         $126,129,086.85",8154.0,15468.37,2019.0,506.0,544.0,525.0,524.0,516.0
rising tide charter public (district) - rising tide charter public school,4830305,85,564,294.0,18.7,645.0,51.0,49.0,13.0,0.5,19.8,4830000.0,0.8,1.6,3.6,87.0,1.1,0.0,6.1,Rising Tide Charter Public (District),"          $10,423,004.38",654.7,"              $15,921.25","          $10,423,004.38",654.7,15921.25,2019.0,537.0,549.0,550.0,538.0,525.0
rockland - rockland senior high,2510505,149,524,313.0,15.5,691.0,48.2,51.8,34.6,5.6,17.1,2510000.0,4.6,0.9,15.9,74.5,0.0,0.0,4.1,Rockland,"          $35,748,715.00",2255.9,"              $15,846.76","          $40,606,302.00",2436.0,16669.25,2019.0,531.0,530.0,521.0,518.0,519.0
rockport - rockport high,2520510,99,574,191.0,11.2,261.0,47.5,52.5,14.9,1.2,19.9,2520000.0,1.5,1.5,2.3,94.3,0.0,0.0,0.4,Rockport,"          $17,323,341.00",894.7,"              $19,362.18","          $19,695,453.00",945.7,20826.32,2019.0,544.0,550.0,589.0,570.0,574.0
roxbury preparatory charter (district) - roxbury preparatory charter school,4840505,127,498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4840000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Roxbury Preparatory Charter (District),"          $27,153,316.56",1509.9,"              $17,983.40","          $27,153,316.56",1509.9,17983.4,2019.0,523.0,498.0,435.0,450.0,427.0
salem - salem high,2580505,237,485,598.0,13.5,903.0,45.3,54.7,49.3,13.3,23.2,2580000.0,5.2,2.9,45.7,41.6,0.1,0.0,4.4,Salem,"          $73,858,857.83",3742.6,"              $19,734.64","          $91,956,043.15",4744.6,19381.2,2019.0,477.0,533.0,513.0,468.0,460.0
salem academy charter (district) - salem academy charter school,4850485,103,542,234.0,19.4,490.0,51.2,48.6,35.3,4.3,16.7,4850000.0,10.6,5.5,42.5,39.8,0.0,0.0,1.6,Salem Academy Charter (District),"           $8,108,045.35",486.6,"              $16,662.31","           $8,108,045.35",486.6,16662.31,2019.0,528.0,527.0,497.0,492.0,498.0
saugus - saugus high,2620505,188,513,359.0,15.6,687.0,47.7,52.1,28.2,5.0,13.4,2620000.0,5.8,4.5,18.2,69.1,0.6,0.2,1.6,Saugus,"          $43,403,277.81",2615.5,"              $16,594.64","          $49,795,912.51",2902.9,17153.85,2019.0,499.0,515.0,529.0,513.0,513.0
scituate - scituate high school,2640505,292,586,470.0,18.0,933.0,51.6,48.3,10.5,0.0,11.9,2640000.0,2.8,1.7,1.0,93.3,0.0,0.0,1.3,Scituate,"          $45,031,193.00",2972.3,"              $15,150.29","          $49,137,186.00",3027.5,16230.28,2019.0,575.0,574.0,552.0,568.0,552.0
seekonk - seekonk high,2650505,170,559,307.0,17.2,602.0,49.7,50.3,12.1,0.8,17.6,2650000.0,1.8,3.5,5.0,87.0,0.0,0.2,2.5,Seekonk,"          $32,223,615.54",2083.6,"              $15,465.36","          $35,541,840.67",2140.4,16605.23,2019.0,548.0,564.0,546.0,545.0,553.0
sharon - sharon high,2660505,310,611,556.0,15.0,1129.0,47.3,52.6,11.3,1.0,11.1,2660000.0,6.2,27.6,5.5,56.3,0.0,0.2,4.3,Sharon,"          $59,267,269.08",3640.9,"              $16,278.19","          $63,742,459.38",3692.6,17262.22,2019.0,628.0,653.0,667.0,661.0,652.0
shawsheen valley regional vocational technical - shawsheen valley vocational technical high school,8710605,214,526,737.0,15.1,1260.0,40.4,59.6,14.0,0.0,26.6,8710000.0,1.0,0.9,5.4,90.7,0.2,0.0,1.8,Shawsheen Valley Regional Vocational Technical,"          $30,991,217.00",1264.5,"              $24,508.67","          $31,118,553.00",1275.1,24404.79,2019.0,520.0,500.0,504.0,516.0,506.0
silver lake - silver lake regional high,7600505,329,567,488.0,18.3,1261.0,46.8,53.2,16.0,0.9,17.6,7600000.0,1.7,1.2,1.7,94.5,0.2,0.1,0.6,Silver Lake,"          $30,320,760.40",1755.1,"              $17,275.80","          $31,272,595.40",1834.5,17046.93,2019.0,576.0,573.0,589.0,562.0,551.0
sizer school: a north central charter essential (district) - sizer school: a north central charter essential school,4740505,27,561,220.0,13.3,361.0,44.9,54.9,36.3,0.8,24.1,4740000.0,5.3,1.4,22.4,67.9,0.3,0.3,2.5,Sizer School: A North Central Charter Essential (District),"           $6,115,348.29",364.1,"              $16,798.10","           $6,115,348.29",364.1,16798.1,2019.0,528.0,499.0,548.0,573.0,523.0
somerset berkley regional school district - somerset berkley regional high school,7630505,274,545,567.0,15.2,1033.0,48.8,51.2,15.6,0.2,12.5,7630000.0,1.4,1.2,4.4,91.6,0.2,0.2,1.2,Somerset Berkley Regional School District,"          $15,141,248.13",1012.7,"              $14,951.37","          $17,242,339.24",1067.7,16149.05,2019.0,564.0,562.0,568.0,566.0,549.0
somerville - somerville high,2740505,279,514,611.0,15.3,1235.0,47.0,52.6,46.4,15.0,15.7,2740000.0,12.4,6.6,47.5,31.5,0.1,0.2,1.9,Somerville,"          $96,007,718.31",4961.5,"              $19,350.54","         $111,171,544.42",5466.6,20336.51,2019.0,512.0,526.0,575.0,558.0,567.0
south hadley - south hadley high,2780505,137,571,300.0,14.3,569.0,52.2,47.6,26.7,2.6,15.3,2780000.0,2.1,2.6,11.8,80.7,0.0,0.2,2.6,South Hadley,"          $28,125,706.41",1919.5,"              $14,652.62","          $32,524,034.35",2171.3,14979.06,2019.0,584.0,577.0,550.0,552.0,564.0
south middlesex regional vocational technical - joseph p keefe technical high school,8290605,81,486,496.0,13.9,780.0,41.0,59.0,49.5,16.0,41.9,8290000.0,6.2,0.9,43.1,44.6,2.1,0.0,3.2,South Middlesex Regional Vocational Technical,"          $19,708,891.31",739.4,"              $26,655.25","          $19,708,891.31",739.4,26655.25,2019.0,482.0,478.0,587.0,509.0,534.0
south shore charter public (district) - south shore charter public school,4880550,97,512,505.0,17.9,1003.0,48.4,51.4,23.1,10.6,18.1,4880000.0,32.8,5.4,5.9,49.1,0.4,0.2,6.3,South Shore Charter Public (District),"          $14,875,562.00",946.3,"              $15,720.04","          $14,875,562.00",946.3,15720.04,2019.0,494.0,492.0,489.0,486.0,500.0
southeastern regional vocational technical - southeastern regional vocational technical,8720605,263,474,807.0,15.5,1445.0,50.9,49.0,35.9,2.4,13.5,8720000.0,34.6,1.5,12.5,45.1,0.0,0.0,6.2,Southeastern Regional Vocational Technical,"          $31,180,922.00",1495.3,"              $20,852.62","          $31,195,212.00",1497.3,20834.31,2019.0,472.0,483.0,491.0,488.0,506.0
southern berkshire - mt everett regional,7650505,28,606,271.0,11.4,349.0,50.7,48.7,32.1,1.2,21.8,7650000.0,1.7,0.0,7.5,84.8,0.9,0.0,5.2,Southern Berkshire,"          $17,061,182.34",677.8,"              $25,171.41","          $18,124,293.37",794.3,22817.94,2019.0,579.0,533.0,525.0,512.0,514.0
southwick-tolland-granville regional school district - southwick regional school,7660505,109,541,407.0,13.5,678.0,50.4,49.6,20.2,0.9,16.2,7660000.0,1.5,1.0,3.8,92.0,0.3,0.0,1.3,Southwick-Tolland-Granville Regional School District,"          $22,403,743.97",1518.2,"              $14,756.78","          $24,586,615.97",1620.3,15174.11,2019.0,543.0,521.0,540.0,540.0,539.0
springfield - conservatory of the arts,2810475,52,421,211.0,11.9,324.0,70.4,29.6,79.9,10.8,21.6,2810000.0,13.9,0.0,71.0,12.7,0.3,0.0,2.2,Springfield,"         $430,209,193.97",25293.6,"              $17,008.62","         $509,332,216.26",30444.0,16730.13,2019.0,405.0,411.0,405.0,388.0,378.0
springfield - high school of commerce,2810510,29,433,583.0,16.8,1090.0,49.0,50.9,81.5,21.5,23.4,2810000.0,19.2,1.5,70.6,7.1,0.3,0.2,1.2,Springfield,"         $430,209,193.97",25293.6,"              $17,008.62","         $509,332,216.26",30444.0,16730.13,2019.0,447.0,483.0,510.0,424.0,418.0
springfield - roger l. putnam vocational technical academy,2810620,338,425,872.0,13.6,1382.0,54.1,45.9,71.4,10.2,15.2,2810000.0,18.9,1.7,70.3,8.5,0.0,0.0,0.7,Springfield,"         $430,209,193.97",25293.6,"              $17,008.62","         $509,332,216.26",30444.0,16730.13,2019.0,418.0,505.0,446.0,423.0,423.0
springfield - springfield central high,2810500,463,472,986.0,16.6,1994.0,47.0,53.0,69.1,14.7,16.5,2810000.0,23.5,4.7,58.5,11.8,0.1,0.1,1.4,Springfield,"         $430,209,193.97",25293.6,"              $17,008.62","         $509,332,216.26",30444.0,16730.13,2019.0,464.0,504.0,484.0,433.0,443.0
springfield - springfield high school of science and technology,2810530,253,401,720.0,15.5,1243.0,44.8,55.2,80.1,17.5,21.2,2810000.0,17.6,1.8,70.8,8.5,0.2,0.2,1.1,Springfield,"         $430,209,193.97",25293.6,"              $17,008.62","         $509,332,216.26",30444.0,16730.13,2019.0,390.0,429.0,426.0,381.0,395.0
springfield - the springfield renaissance school an expeditionary learning school,2810205,99,493,475.0,12.5,661.0,50.4,49.6,60.8,4.1,21.0,2810000.0,24.7,1.5,55.5,16.5,0.0,0.2,1.7,Springfield,"         $430,209,193.97",25293.6,"              $17,008.62","         $509,332,216.26",30444.0,16730.13,2019.0,467.0,494.0,459.0,441.0,431.0
stoneham - stoneham high,2840505,220,550,416.0,14.1,647.0,47.1,52.9,16.7,3.3,16.2,2840000.0,1.9,5.1,8.4,80.5,0.8,0.0,3.4,Stoneham,"          $38,707,099.11",2384.5,"              $16,232.79","          $43,746,583.67",2557.2,17107.22,2019.0,543.0,559.0,554.0,545.0,526.0
stoughton - stoughton high,2850505,294,531,700.0,16.0,1029.0,48.7,51.3,30.9,5.1,12.7,2850000.0,26.7,6.9,9.5,53.5,0.1,0.2,3.1,Stoughton,"          $52,692,952.35",3486.9,"              $15,111.69","          $60,707,067.70",3701.5,16400.67,2019.0,526.0,520.0,555.0,543.0,557.0
sturgis charter public (district) - sturgis charter public school,4890505,273,587,529.0,14.5,848.0,54.8,44.8,12.3,0.7,15.2,4890000.0,2.5,3.8,5.5,85.6,0.5,0.0,2.1,Sturgis Charter Public (District),"          $12,869,035.00",838.2,"              $15,353.18","          $12,869,035.00",838.2,15353.18,2019.0,572.0,590.0,572.0,577.0,577.0
sutton - sutton high school,2900510,124,557,186.0,14.8,376.0,50.3,49.7,12.0,0.8,8.2,2900000.0,1.6,1.1,3.5,89.1,0.0,0.0,4.8,Sutton,"          $20,093,501.88",1384.2,"              $14,516.33","          $21,426,232.55",1428.8,14995.96,2019.0,552.0,543.0,546.0,553.0,564.0
swampscott - swampscott high,2910505,194,571,408.0,14.5,703.0,53.6,46.4,17.2,1.4,15.1,2910000.0,5.4,2.0,13.8,77.0,0.0,0.0,1.9,Swampscott,"          $36,239,717.00",2206.1,"              $16,427.05","          $39,797,317.00",2282.6,17435.08,2019.0,585.0,581.0,596.0,581.0,585.0
swansea - joseph case high,2920505,104,538,263.0,14.0,528.0,48.7,51.3,22.5,0.4,9.5,2920000.0,1.0,1.3,3.4,93.0,0.0,0.0,1.3,Swansea,"          $29,025,830.44",2091.2,"              $13,879.99","          $30,464,416.30",2161.8,14092.15,2019.0,536.0,534.0,547.0,529.0,525.0
tec connections academy commonwealth virtual school district - tec connections academy commonwealth virtual school,39020900,99,568,531.0,42.2,2347.0,58.8,41.2,46.0,1.2,19.6,39020000.0,7.5,2.6,18.3,64.5,0.3,0.2,6.6,TEC Connections Academy Commonwealth Virtual School District,"          $20,428,159.00",2228.0,"               $9,168.83","          $20,428,159.00",2228.0,9168.83,2019.0,537.0,552.0,555.0,528.0,527.0
tantasqua - tantasqua regional sr high,7700505,235,572,771.0,13.0,1199.0,51.3,48.7,20.6,0.4,8.4,7700000.0,0.8,1.1,5.8,88.2,0.2,0.1,3.8,Tantasqua,"          $26,131,484.00",1782.4,"              $14,660.84","          $26,442,193.00",1822.5,14508.75,2019.0,600.0,602.0,599.0,583.0,587.0
