school_name,School Code,tests_taken,SAT_reading_writing,Total # of Classes,avg_class_size,number_of_students,Female %,Male %,perc_english_learner,perc_disabilities,perc_econ_disadvg,District Code,perc_african_american,perc_asian,perc_hispanic,perc_white,perc_native_american,perc_hawaiian_pacific_isl,perc_multi_race_non_hisp,District Name,In-District Expenditures,Total In-district FTEs,In-District Expenditures per Pupil,Total Expenditures,Total Pupil FTEs,total_exp_per_pupil,year,SAT_math_19,SAT_math_20,SAT_math_21,SAT_math_22,SAT_math_23
boston - margarita muniz academy,350549,88,410,93.0,22.3,349.0,51.9,48.1,77.4,48.7,14.0,350000.0,4.9,0.0,93.1,1.2,0.0,0.0,0.9,Boston,"       $1,260,411,345.13",52211.4,"              $24,140.54","       $1,528,412,495.35",66445.7,23002.43,2019.0,422.0,435.0,423.0,420.0,388.0
boston - new mission high school,350542,132,476,208.0,15.6,462.0,52.4,47.6,56.7,10.8,18.0,350000.0,50.2,1.7,44.4,2.2,0.2,0.0,1.3,Boston,"       $1,260,411,345.13",52211.4,"              $24,140.54","       $1,528,412,495.35",66445.7,23002.43,2019.0,509.0,478.0,465.0,436.0,436.0
boston - quincy upper school,350565,77,475,188.0,19.8,527.0,46.7,53.3,58.8,12.3,19.0,350000.0,21.1,49.9,22.4,4.0,0.2,0.0,2.5,Boston,"       $1,260,411,345.13",52211.4,"              $24,140.54","       $1,528,412,495.35",66445.7,23002.43,2019.0,474.0,474.0,464.0,447.0,441.0
boston - techboston academy,350657,173,419,456.0,14.2,943.0,44.9,55.0,71.4,23.5,21.6,350000.0,63.6,2.6,28.3,2.6,0.3,0.0,2.7,Boston,"       $1,260,411,345.13",52211.4,"              $24,140.54","       $1,528,412,495.35",66445.7,23002.43,2019.0,417.0,425.0,418.0,398.0,409.0
boston collegiate charter (district) - boston collegiate charter school,4490305,107,535,311.0,19.7,721.0,49.4,50.6,35.2,4.9,16.6,4490000.0,33.6,1.8,18.2,43.4,0.3,0.0,2.8,Boston Collegiate Charter (District),"          $14,080,719.32",698.7,"              $20,152.45","          $14,080,719.32",698.7,20152.45,2019.0,541.0,547.0,511.0,505.0,465.0
boston green academy horace mann charter school (district) - boston green academy horace mann charter school,4110305,75,434,217.0,16.4,483.0,48.7,51.4,65.0,15.5,31.7,4110000.0,43.7,1.7,43.5,7.7,0.2,0.4,2.9,Boston Green Academy Horace Mann Charter School (District),"           $7,747,679.43",463.6,"              $16,710.59","           $7,747,679.43",463.6,16710.59,2019.0,441.0,454.0,445.0,390.0,411.0
boston preparatory charter public (district) - boston preparatory charter public school,4160305,76,486,242.0,19.7,575.0,50.1,49.9,55.7,18.6,20.9,4160000.0,66.6,0.5,27.5,2.1,0.0,0.2,3.1,Boston Preparatory Charter Public (District),"          $11,548,735.42",526.3,"              $21,942.42","          $11,548,735.42",526.3,21942.42,2019.0,515.0,506.0,474.0,444.0,424.0
bourne - bourne high school,360505,202,533,207.0,15.2,437.0,55.2,44.9,22.4,0.7,12.1,360000.0,1.6,3.0,3.9,87.4,0.7,0.2,3.2,Bourne,"          $31,071,354.62",1943.4,"              $15,988.14","          $36,231,140.62",2253.2,16079.86,2019.0,513.0,519.0,506.0,500.0,486.0
braintree - braintree high,400505,509,559,841.0,17.2,1853.0,50.3,49.7,20.6,4.7,22.2,400000.0,5.0,19.7,4.5,68.9,0.1,0.2,1.7,Braintree,"          $85,140,396.09",5868.9,"              $14,507.04","          $91,634,068.26",5965.6,15360.41,2019.0,574.0,592.0,570.0,568.0,578.0
bridgewater-raynham - bridgewater-raynham regional,6250505,418,559,573.0,16.7,1385.0,51.1,48.9,14.8,1.2,10.2,6250000.0,5.7,2.2,1.4,85.7,0.1,0.1,4.9,Bridgewater-Raynham,"          $69,916,835.93",5369.2,"              $13,021.83","          $77,334,374.93",5625.8,13746.38,2019.0,563.0,564.0,568.0,551.0,546.0
