school_name,Grade,District Name, Average % ACT Composite Score ,perc_test_taking_grades_9_12_students,number_of_students,perc_frl,perc_white,perc_hispanic,perc_african_american,perc_other_race,perc_minority,Region, Number of Students in Grades 9-12 , % Students in grade 9-12 that took the ACT2,ACT_reading,ACT_english,ACT_math,ACT_science,Average ACT Composite Score,number_AP_exam_taking_students,number_AP_exams_taken,% of Exams that scored 3 or Above,is_open_enrollment_charter,School LEA,DLEA,Year,year
Valley View High School,10-12,Valley View School District,21.25,82.0,631.0,22.0,83.0,5.0,6.0,6.0,17.0,2,630,82%,21.85,21.38,19.87,21.17,21.25,171,217,65%,0,1612048,1612000,2022,2022.0
Van Buren High School,10-12,Van Buren School District,19.5,68.0,1228.0,48.0,66.0,21.0,2.0,11.0,34.0,1,1228,68%,19.98,18.96,18.54,20.02,19.5,343,499,53%,0,1705027,1705000,2022,2022.0
Vilonia High School,9-12,Vilonia School District,20.06,49.0,859.0,34.0,93.0,5.0,1.0,1.0,7.0,3,859,49%,20.45,19.74,19.0,20.6,20.06,170,243,45%,0,2307034,2307000,2022,2022.0
Viola High School,7-12,Viola School District,17.91,49.0,177.0,66.0,95.0,2.0,1.0,3.0,5.0,2,119,49%,17.96,16.7,17.78,18.65,17.91, N/A , N/A ,,0,2503010,2503000,2022,2022.0
Waldron High School,9-12,Waldron School District,18.26,49.0,417.0,66.0,74.0,17.0,0.0,9.0,26.0,1,417,49%,18.99,17.26,17.6,18.79,18.26,70,95,33%,0,6401003,6401000,2022,2022.0
Walnut Ridge High School,7-12,Lawrence County School District,19.24,46.0,462.0,45.0,88.0,4.0,0.0,8.0,12.0,2,306,46%,19.75,19.81,17.64,19.07,19.24,91,127,13%,0,3810027,3810000,2022,2022.0
Warren High School,9-12,Warren School District,15.83,49.0,468.0,70.0,37.0,26.0,34.0,3.0,63.0,5,468,49%,15.64,14.67,15.71,16.56,15.83,10,8,RV,0,602019,602000,2022,2022.0
Watson Chapel High School,10-12,Watson Chapel School District,15.07,63.0,497.0,65.0,7.0,2.0,89.0,2.0,93.0,3,496,63%,15.63,13.85,14.65,15.72,15.07,126,140,RV,0,3509067,3509000,2022,2022.0
West Fork High School,9-12,West Fork School District,18.46,44.0,291.0,42.0,84.0,6.0,0.0,10.0,16.0,1,291,44%,19.47,18.73,16.93,18.34,18.46,13,14,RV,0,7208062,7208000,2022,2022.0
West Little Rock Classical Academy,7-12,Responsive Ed Solutions Northwest Ark Classical Academy,16.5,38.0,71.0,34.0,44.0,8.0,38.0,10.0,56.0,3,48,38%,17.25,18.25,13.25,17.0,16.5, N<10 ,6,RV,1,442706,442700,2022,2022.0
West Side High School,7-12,West Side School District (Cleburne),20.0,46.0,218.0,66.0,98.0,2.0,0.0,0.0,2.0,2,136,46%,22.36,19.24,17.72,20.08,20.0,14,14,RV,0,1204015,1204000,2022,2022.0
Western Grove K-12 School,K-12,Ozark Mountain School District,18.63,50.0,241.0,68.0,94.0,2.0,1.0,4.0,6.0,1,64,50%,20.25,17.69,16.88,19.31,18.63, N/A , N/A ,,0,6505016,6505000,2022,2022.0
Western Yell Co. High School,7-12,Western Yell Co. School District,15.81,41.0,142.0,89.0,76.0,16.0,1.0,7.0,24.0,1,98,41%,15.44,14.81,15.75,16.63,15.81, N<10 ,13,100%,0,7509033,7509000,2022,2022.0
Westside High School,8-12,Westside Cons. School District (Craighead),18.03,45.0,674.0,44.0,93.0,3.0,2.0,1.0,7.0,2,523,45%,18.57,17.07,16.92,18.99,18.03,78,88,24%,0,1602055,1602000,2022,2022.0
Westside High School,6-12,Westside School District (Johnson),15.19,42.0,331.0,67.0,91.0,6.0,0.0,3.0,9.0,1,184,42%,15.64,12.94,15.42,16.19,15.19, N<10 ,12,92%,0,3606026,3606000,2022,2022.0
White Co. Central High School,7-12,White Co. Central School District,18.58,44.0,345.0,57.0,85.0,12.0,0.0,3.0,15.0,2,212,44%,19.73,17.63,17.73,18.88,18.58,13,15,RV,0,7304019,7304000,2022,2022.0
White Hall High School,9-12,White Hall School District,18.2,50.0,969.0,53.0,60.0,3.0,30.0,6.0,40.0,3,969,50%,18.68,17.39,17.69,18.55,18.2,157,350,51%,0,3510076,3510000,2022,2022.0
Wonderview High School,7-12,Wonderview School District,18.38,42.0,223.0,49.0,95.0,2.0,1.0,3.0,5.0,1,142,42%,19.76,18.21,16.97,17.86,18.38,19,18,RV,0,1505026,1505000,2022,2022.0
Woodlawn High School,7-12,Woodlawn School District,19.41,49.0,274.0,47.0,90.0,6.0,1.0,3.0,10.0,5,188,49%,20.26,18.85,17.87,20.31,19.41,28,47,RV,0,1304015,1304000,2022,2022.0
Wynne High School,9-12,Wynne School District,18.74,43.0,784.0,53.0,67.0,3.0,27.0,3.0,33.0,2,784,43%,18.83,18.65,17.52,19.3,18.74,44,51,24%,0,1905017,1905000,2022,2022.0
Yellville-Summit High School,9-12,Yellville-Summit School District,18.62,43.0,318.0,71.0,95.0,1.0,1.0,3.0,5.0,1,318,43%,18.89,18.06,17.4,19.7,18.62,23,26,RV,0,4502006,4502000,2022,2022.0
