school_name,Grade,District Name, Average % ACT Composite Score ,perc_test_taking_grades_9_12_students,number_of_students,perc_frl,perc_white,perc_hispanic,perc_african_american,perc_other_race,perc_minority,Region, Number of Students in Grades 9-12 , % Students in grade 9-12 that took the ACT2,ACT_reading,ACT_english,ACT_math,ACT_science,Average ACT Composite Score,number_AP_exam_taking_students,number_AP_exams_taken,% of Exams that scored 3 or Above,is_open_enrollment_charter,School LEA,DLEA,Year,year
Marvell-Elaine High School,7-12,Marvell-Elaine School District,13.65,45.0,127.0,97.0,6.0,4.0,89.0,1.0,94.0,5,83,45%,13.1,12.0,13.35,15.25,13.65,12,11,RV,0,5404032,5404000,2022,2022.0
Maumelle Charter High School,8-12,Academics Plus Public Charter Schools,21.51,60.0,454.0,22.0,72.0,5.0,13.0,11.0,28.0,3,323,60%,21.59,21.33,20.69,21.78,21.51,167,235,35%,1,6040703,6040700,2022,2022.0
Maumelle High School,9-12,Pulaski County Special School District,18.18,44.0,844.0,40.0,38.0,7.0,48.0,6.0,62.0,3,844,44%,18.85,17.36,17.2,18.77,18.18,163,210,27%,0,6003151,6003000,2022,2022.0
Mayflower High School,9-12,Mayflower School District,17.45,42.0,357.0,57.0,77.0,4.0,10.0,9.0,23.0,3,357,42%,17.77,16.71,16.84,17.8,17.45,41,60,30%,0,2305026,2305000,2022,2022.0
Maynard High School,7-12,Maynard School District,16.79,47.0,240.0,70.0,96.0,3.0,0.0,1.0,4.0,2,144,47%,16.85,15.94,15.85,18.21,16.79,30,41,RV,0,6102006,6102000,2022,2022.0
McCrory High School,7-12,McCrory School District,19.42,44.0,253.0,53.0,87.0,3.0,10.0,0.0,13.0,2,165,44%,20.53,18.61,18.19,19.61,19.42,20,33,RV,0,7403013,7403000,2022,2022.0
McGehee High School,9-12,McGehee School District,17.47,42.0,320.0,69.0,39.0,8.0,49.0,4.0,61.0,5,320,42%,17.94,17.1,16.45,17.82,17.47,48,61,RV,0,2105028,2105000,2022,2022.0
Melbourne High School,7-12,Melbourne School District,21.55,45.0,390.0,44.0,96.0,2.0,1.0,1.0,4.0,2,267,45%,22.47,21.36,20.23,21.96,21.55,23,35,RV,0,3302006,3302000,2022,2022.0
Mena High School,9-12,Mena School District,19.34,44.0,498.0,53.0,86.0,7.0,1.0,7.0,14.0,4,498,44%,19.95,18.4,18.6,19.83,19.34,84,116,34%,0,5703012,5703000,2022,2022.0
Midland High School,7-12,Midland School District,16.8,47.0,234.0,58.0,92.0,4.0,2.0,1.0,8.0,2,152,47%,18.9,14.57,15.63,17.53,16.8,15,17,RV,0,3211035,3211000,2022,2022.0
Mills University Studies High School,9-12,Pulaski County Special School District,15.21,36.0,640.0,58.0,15.0,21.0,60.0,4.0,85.0,3,638,36%,15.29,13.93,14.91,16.11,15.21,70,80,14%,0,6003125,6003000,2022,2022.0
Miner Academy,6-12,Bauxite School District,17.26,91.0,48.0,31.0,92.0,6.0,0.0,2.0,8.0,3,45,91%,17.74,16.63,15.94,18.69,17.26, N/A , N/A ,,0,6301703,6301000,2022,2022.0
Mineral Springs High School,7-12,Mineral Springs School District,14.43,38.0,171.0,87.0,15.0,10.0,73.0,2.0,85.0,4,118,38%,14.38,13.0,14.43,15.57,14.43, N/A , N/A ,,0,3104006,3104000,2022,2022.0
Monticello High School,9-12,Monticello School District,19.12,47.0,510.0,49.0,57.0,4.0,37.0,2.0,43.0,5,510,47%,20.42,18.34,17.39,19.62,19.12,73,125,22%,0,2203012,2203000,2022,2022.0
Morrilton Sr. High School,9-12,South Conway County School District,17.98,39.0,751.0,68.0,70.0,9.0,16.0,5.0,30.0,1,751,39%,18.34,17.3,16.98,18.8,17.98,118,166,38%,0,1507036,1507000,2022,2022.0
Mount Ida High School,7-12,Mount Ida School District,18.5,39.0,212.0,54.0,90.0,4.0,0.0,7.0,10.0,4,136,39%,18.65,17.5,18.27,18.85,18.5,20,20,RV,0,4902007,4902000,2022,2022.0
Mountain Home Career Academies,8-12,Mountain Home School District,19.85,43.0,1518.0,38.0,89.0,5.0,0.0,6.0,11.0,1,1226,43%,20.47,19.26,18.64,20.41,19.85,232,266,26%,0,303703,303000,2022,2022.0
Mountain Pine High School,7-12,Mountain Pine School District,17.79,22.0,299.0,80.0,79.0,5.0,8.0,8.0,21.0,3,204,22%,17.96,16.38,16.46,19.46,17.79,13,13,RV,0,2607047,2607000,2022,2022.0
Mountain View High School,9-12,Mountain View School District,19.59,47.0,319.0,63.0,95.0,2.0,0.0,3.0,5.0,2,319,47%,20.58,19.09,17.69,20.2,19.59,31,40,30%,0,6901007,6901000,2022,2022.0
Mountainburg High School,9-12,Mountainburg School District,17.83,40.0,206.0,68.0,91.0,4.0,0.0,5.0,9.0,1,206,40%,19.37,16.51,16.37,18.63,17.83,14,12,RV,0,1703013,1703000,2022,2022.0
Mt. Judea K-12 School,K-12,Deer/Mt. Judea School District,16.58,30.0,166.0,79.0,93.0,6.0,0.0,1.0,7.0,1,71,30%,17.17,15.67,16.0,17.17,16.58, N/A , N/A ,,0,5106004,5106000,2022,2022.0
Mt. Vernon/Enola High School,7-12,Mt. Vernon/Enola School District,19.07,50.0,251.0,55.0,96.0,1.0,2.0,1.0,4.0,3,175,50%,19.85,18.15,18.11,19.33,19.07,31,43,RV,0,2306030,2306000,2022,2022.0
Mulberry High School,9-12,Mulberry/Pleasant View Bi-County Schools,17.56,52.0,124.0,56.0,94.0,2.0,1.0,3.0,6.0,1,124,52%,18.28,16.88,15.84,18.34,17.56,34,42,RV,0,1704017,1704000,2022,2022.0
Murfreesboro High School,7-12,South Pike County School District,18.57,42.0,297.0,71.0,82.0,7.0,5.0,5.0,18.0,4,181,42%,19.74,18.17,16.91,18.87,18.57, N/A , N/A ,,0,5504015,5504000,2022,2022.0
Nashville High School,10-12,Nashville School District,18.05,71.0,465.0,71.0,49.0,29.0,20.0,2.0,51.0,4,465,71%,18.27,17.4,17.23,18.63,18.05,100,116,RV,0,3105011,3105000,2022,2022.0
Nemo Vista High School,9-12,Nemo Vista School District,19.77,44.0,136.0,52.0,92.0,1.0,0.0,7.0,8.0,1,136,44%,20.62,19.19,19.58,19.77,19.77, N<10 , N/A ,,0,1503017,1503000,2022,2022.0
Nettleton High School,9-12,Nettleton School District,18.04,44.0,981.0,68.0,31.0,12.0,50.0,7.0,69.0,2,980,44%,18.79,17.62,16.8,18.38,18.04,121,169,34%,0,1611042,1611000,2022,2022.0
Nevada High  School,7-12,Nevada School District,16.59,48.0,184.0,74.0,61.0,2.0,31.0,6.0,39.0,4,110,48%,16.77,15.91,15.64,17.18,16.59,21,23,RV,0,5008014,5008000,2022,2022.0
Newport High School,6-12,Newport School District,16.28,45.0,612.0,76.0,48.0,8.0,36.0,7.0,52.0,2,346,45%,17.0,14.74,15.72,17.16,16.28,103,137,7%,0,3403013,3403000,2022,2022.0
Norfork High School,7-12,Norfork School District,18.5,44.0,217.0,56.0,98.0,1.0,0.0,0.0,2.0,1,147,44%,19.09,17.81,17.5,19.47,18.5, N<10 ,12,92%,0,304022,304000,2022,2022.0
North Little Rock Center Of Excellence,9-12,North Little Rock School District,16.74,37.0,372.0,74.0,21.0,14.0,59.0,6.0,79.0,3,372,37%,17.26,15.56,16.21,17.34,16.74,120,111,23%,0,6002703,6002000,2022,2022.0
North Little Rock High School,9-12,North Little Rock School District,17.72,37.0,1949.0,70.0,27.0,12.0,56.0,5.0,73.0,3,1948,37%,18.32,16.89,17.0,18.13,17.72,308,468,43%,0,6002082,6002000,2022,2022.0
Northside High School,9-12,Fort Smith School District,18.08,37.0,2433.0,74.0,22.0,52.0,15.0,12.0,78.0,1,2432,37%,18.78,17.18,17.09,18.59,18.08,478,742,43%,0,6601024,6601000,2022,2022.0
Northwest Arkansas Classical Academy High,7-12,Responsive Ed Solutions Northwest Ark Classical Academy,23.25,31.0,250.0,9.0,74.0,12.0,3.0,11.0,26.0,1,123,31%,23.75,23.56,21.94,23.06,23.25,45,72,33%,1,442703,442700,2022,2022.0
Oark High School,7-12,Jasper School District,16.9,38.0,68.0,85.0,96.0,3.0,1.0,0.0,4.0,1,47,38%,18.8,14.9,15.3,18.3,16.9, N/A , N/A ,,0,5102024,5102000,2022,2022.0
Oden Schools,P-12,Ouachita River School District,22.71,32.0,164.0,76.0,82.0,7.0,0.0,11.0,18.0,4,56,32%,25.0,24.0,19.86,21.71,22.71, N<10 ,12,RV,0,5706009,5706000,2022,2022.0
Omaha High School,7-12,Omaha School District,22.05,46.0,174.0,68.0,92.0,3.0,0.0,5.0,8.0,1,120,46%,22.36,22.55,20.5,22.14,22.05, N/A , N/A ,,0,504023,504000,2022,2022.0
Osceola High School,9-12,Osceola School District,14.45,42.0,271.0,87.0,6.0,3.0,88.0,4.0,94.0,2,271,42%,14.53,12.71,15.09,15.07,14.45,10,13,RV,0,4713051,4713000,2022,2022.0
Ouachita High School,7-12,Ouachita School District,18.38,46.0,271.0,47.0,94.0,2.0,0.0,4.0,6.0,3,199,46%,19.1,17.59,17.31,18.95,18.38,30,35,RV,0,3005030,3005000,2022,2022.0
Ozark Jr/Sr High School,8-12,Ozark School District,18.74,41.0,700.0,46.0,90.0,4.0,0.0,6.0,10.0,1,565,41%,19.76,17.86,17.31,19.18,18.74,36,41,39%,0,2404017,2404000,2022,2022.0
Palestine-Wheatley Senior High,7-12,Palestine-Wheatley School District,17.53,39.0,349.0,86.0,86.0,2.0,11.0,1.0,14.0,2,223,39%,17.79,17.65,16.44,17.56,17.53, N<10 ,12,100%,0,6205028,6205000,2022,2022.0
Pangburn High School,7-12,Pangburn School District,18.53,48.0,362.0,54.0,95.0,3.0,0.0,2.0,5.0,2,260,48%,19.39,17.71,17.84,18.45,18.53, N<10 ,12,83%,0,7309039,7309000,2022,2022.0
Paragould High School,9-12,Paragould School District,19.07,41.0,870.0,59.0,77.0,9.0,7.0,6.0,23.0,2,870,41%,19.37,18.53,18.28,19.39,19.07,171,252,52%,0,2808043,2808000,2022,2022.0
Paris High School,9-12,Paris School District,17.97,41.0,335.0,70.0,86.0,5.0,2.0,7.0,14.0,1,334,41%,17.94,17.41,17.5,18.26,17.97,31,41,34%,0,4203012,4203000,2022,2022.0
Parkers Chapel High School,7-12,Parkers Chapel School District,20.24,44.0,359.0,31.0,83.0,3.0,11.0,4.0,17.0,4,238,44%,20.93,20.43,18.71,20.02,20.24,88,131,24%,0,7007040,7007000,2022,2022.0
Parkview Magnet High School,9-12,Little Rock School District,18.43,48.0,1081.0,70.0,12.0,12.0,75.0,2.0,88.0,3,1081,48%,19.36,17.56,17.26,19.04,18.43,324,532,40%,0,6001005,6001000,2022,2022.0
Pea Ridge High School,10-12,Pea Ridge School District,18.5,64.0,566.0,24.0,88.0,7.0,1.0,4.0,12.0,1,566,64%,19.19,17.04,17.86,19.3,18.5,187,274,38%,0,407027,407000,2022,2022.0
Perryville High School,7-12,Perryville School District,17.86,47.0,429.0,54.0,92.0,4.0,0.0,4.0,8.0,1,283,47%,18.29,17.41,16.85,18.58,17.86,39,38,RV,0,5303011,5303000,2022,2022.0
Piggott High School,7-12,Piggott School District,16.4,52.0,361.0,49.0,95.0,2.0,1.0,2.0,5.0,2,228,52%,16.65,15.75,15.73,17.1,16.4, N<10 , N/A ,,0,1104018,1104000,2022,2022.0
Pine Bluff High School,10-12,Pine Bluff School District,15.48,47.0,583.0,78.0,2.0,2.0,95.0,2.0,98.0,3,583,47%,15.77,14.3,14.96,16.35,15.48,96,158,RV,0,3505042,3505000,2022,2022.0
Pocahontas High School,10-12,Pocahontas School District,18.22,66.0,411.0,47.0,82.0,3.0,0.0,14.0,18.0,2,411,66%,18.26,18.3,17.41,18.36,18.22,133,188,20%,0,6103010,6103000,2022,2022.0
Pottsville High School,10-12,Pottsville School District,19.13,68.0,379.0,28.0,88.0,8.0,3.0,2.0,12.0,1,379,68%,19.58,18.97,18.07,19.25,19.13,93,128,53%,0,5804014,5804000,2022,2022.0
Poyen High School,7-12,Poyen School District,17.87,55.0,240.0,50.0,94.0,3.0,0.0,4.0,6.0,3,164,55%,18.13,17.1,17.17,18.17,17.87, N/A , N/A ,,0,2703010,2703000,2022,2022.0
Prairie Grove High School,9-12,Prairie Grove School District,18.46,49.0,605.0,33.0,86.0,8.0,1.0,5.0,14.0,1,605,49%,18.73,17.43,17.8,19.33,18.46,181,270,41%,0,7206703,7206000,2022,2022.0
Premier High School Of Fort Smith,9-12,Premier High Schools Of Arkansas,15.93,46.0,63.0,38.0,51.0,24.0,13.0,13.0,49.0,3,63,46%,16.86,15.36,15.21,16.21,15.93, N/A , N/A ,,1,6053706,6053700,2022,2022.0
Premier High School Of Little Rock,9-12,Responsive Ed Solutions Premier High School Of Little Rock,13.33,29.0,82.0,83.0,1.0,1.0,98.0,0.0,99.0,3,82,29%,12.67,11.33,13.42,15.25,13.33, N/A , N/A ,,1,6053703,6053700,2022,2022.0
Premier High School Of North Little Rock,9-12,Responsive Ed Solutions Premier High School Of North Little Rock,14.0,17.0,135.0,86.0,8.0,4.0,82.0,5.0,92.0,3,135,17%,13.58,12.33,14.42,15.58,14.0, N/A , N/A ,,1,6062703,6062700,2022,2022.0
Premier High School Of Texarkana,9-12,Premier High Schools Of Arkansas,16.0,51.0,37.0,43.0,57.0,3.0,41.0,0.0,43.0,3,37,51%,15.0,15.75,17.25,16.25,16.0, N/A , N/A ,,1,6053709,6053700,2022,2022.0
Premier High School Online,9-12,Premier High Schools Of Arkansas,16.57,15.0,125.0,34.0,26.0,4.0,63.0,7.0,74.0,3,125,15%,17.14,16.43,16.14,16.29,16.57, N/A , N/A ,,1,6053712,6053700,2022,2022.0
Prescott High School,9-12,Prescott School District,16.61,46.0,311.0,68.0,50.0,7.0,41.0,2.0,50.0,4,311,46%,17.18,15.82,15.7,17.0,16.61,25,22,RV,0,5006024,5006000,2022,2022.0
Quitman High School,9-12,Quitman School District,18.36,46.0,253.0,46.0,97.0,1.0,1.0,1.0,3.0,2,252,46%,19.07,17.18,18.09,18.49,18.36,33,38,RV,0,1203011,1203000,2022,2022.0
Rector High School,7-12,Rector School District,19.37,60.0,248.0,65.0,95.0,4.0,0.0,1.0,5.0,2,167,60%,19.66,17.66,18.61,20.95,19.37,56,80,RV,0,1106023,1106000,2022,2022.0
Responsive Ed Solutions Premier High School Of Springdale,9-12,Responsive Ed Solutions Premier High School Of Springdale,16.36,20.0,94.0,65.0,36.0,59.0,2.0,3.0,64.0,1,94,20%,16.45,15.73,16.55,16.09,16.36, N/A , N/A ,,1,7242703,7242700,2022,2022.0
Rison High School,7-12,Cleveland County School District,18.55,50.0,362.0,51.0,73.0,1.0,22.0,3.0,27.0,5,254,50%,19.33,17.78,17.41,19.08,18.55,54,93,18%,0,1305010,1305000,2022,2022.0
River Valley Virtual Academy,K-12,Van Buren School District,17.78,28.0,148.0,66.0,79.0,11.0,1.0,8.0,21.0,1,83,28%,19.0,16.33,16.67,18.22,17.78, N/A , N/A ,,0,1705703,1705000,2022,2022.0
Riverside High School,7-12,Riverside School District,17.77,48.0,331.0,47.0,92.0,5.0,1.0,2.0,8.0,2,203,48%,18.67,16.77,16.42,18.51,17.77,25,33,RV,0,1613021,1613000,2022,2022.0
