District Name,School Name,Number of Test Takers,Math Avg,Math % Met,English Avg,English % Met,Reading Avg,Reading % Met,Science Avg,Science % Met,All % Met,state_name_x,latitude,longitude,address,zip_code,county_name_x,city_name,county_code,Street Address,Tract,unique_id,year,tract_number,county_name_y,state_name_y,Population 18 to 24 years (estimate),"18-24, less than high school graduate (estimate)","18-24, high school graduate or eq. (estimate)","18-24, some college or associate's degree (estimate)","18-24, bachelor's degree or higher",Population 25 years and over (estimate),"25 and over, less than 9th grade (estimate)","25 and over, 9th to 12th grade, no diploma (estimate)","25 and over, high school graduate or eq. (estimate)","25 and over, some college, no degree (estimate)","25 and over, associate's degree (estimate)","25 and over, bachelor's degree (estimate)","25 and over, graduate or professional degree (estimate)","18-24, less than high school graduate (percentage)","18-24, high school graduate or eq. (percentage)","18-24, some college or associate's degree (percentage)","18-24, bachelor's degree or higher (percentage)","25 and over, less than 9th grade (percentage)","25 and over, 9th to 12th grade, no diploma (percentage)","25 and over, high school graduate or eq. (percentage)","25 and over, some college, no degree (percentage)","25 and over, associate's degree (percentage)","25 and over, bachelor's degree (percentage)","25 and over, graduate or professional degree (percentage)",Total number of households,Median household income (dollars),Mean household income (dollars),Total population,Hispanic or Latino (estimate),Hispanic or Latino (percentage),Not Hispanic or Latino (estimate),Not Hispanic or Latino (percentage),White alone (estimate),White alone (percentage),Black or African American alone (estimate),Black or African American alone (percentage),American Indian and Alaska Native alone (estimate),American Indian and Alaska Native alone (percentage),Asian alone (estimate),Asian alone (percentage),Native Hawaiian and Other Pacific Islander alone (estimate),Native Hawaiian and Other Pacific Islander alone (percentage),Some other race alone (estimate),Some other race alone (percentage),Two or more races alone (estimate),Two or more races alone (percentage),Math Scores,RW Scores
NORTH LITTLE ROCK SCHOOL DISTRICT,NORTH LITTLE ROCK CENTER OF EXCELLENCE,51,15.9,5.90%,15.1,29.40%,16.2,15.70%,16.3,7.80%,2.00%,Arkansas,34.7864492,-92.2531929,,N/A,Pulaski County,N/A,5119,,3308,5119003308,2022,3308,Pulaski County,Arkansas,214,11,156,20,27,3409,35,216,611,703,178,1017,649,5.1,72.9,9.3,12.6,1,6.3,17.9,20.6,5.2,29.8,19,1928,88750,119507,4433,314,7.1,4119,92.9,3713,83.8,235,5.3,0,0,43,1,0,0,44,1,84,1.9,15.9,16.2
PULASKI COUNTY SPECIAL SCHOOL DISTRICT,MILLS UNIVERSITY STUDIES HIGH SCHOOL,108,14.7,2.80%,13.4,21.30%,14.8,11.10%,15.7,2.80%,0.90%,Arkansas,34.6738395,-92.2573013,708 East Dixon Road,72206,Pulaski County,Little Rock,5119,"708 East Dixon Road, Little Rock, Arkansas, 72206",4001,5119004001,2022,4001,Pulaski County,Arkansas,325,46,83,196,0,1493,83,166,477,269,163,274,61,14.2,25.5,60.3,0,5.6,11.1,31.9,18,10.9,18.4,4.1,746,75833,67884,2562,0,0,2562,100,414,16.2,2139,83.5,1,0,0,0,0,0,0,0,8,0.3,14.7,14.8
PULASKI COUNTY SPECIAL SCHOOL DISTRICT,JOE T. ROBINSON HIGH SCHOOL,175,17.6,19.40%,18.9,50.30%,19.6,39.40%,19.2,26.90%,14.30%,Arkansas,34.8139114,-92.5068359,21501 Cantrell Road,72223,Pulaski County,Little Rock,5119,"21501 Cantrell Road, Little Rock, Arkansas, 72223",4213,5119004213,2022,4213,Pulaski County,Arkansas,521,58,43,384,36,3538,72,25,233,550,63,1291,1304,11.1,8.3,73.7,6.9,2,0.7,6.6,15.5,1.8,36.5,36.9,2107,191835,274177,5101,16,0.3,5085,99.7,4514,88.5,230,4.5,0,0,256,5,16,0.3,0,0,69,1.4,17.6,19.6
PULASKI COUNTY SPECIAL SCHOOL DISTRICT,SYLVAN HILLS HIGH SCHOOL,254,17.5,23.60%,17.7,46.10%,18.4,29.90%,18.9,22.80%,15.00%,Arkansas,34.8502799,-92.2359143,484 Bear Paw Road,72120,Pulaski County,Sherwood,5119,"484 Bear Paw Road, Sherwood, Arkansas, 72120",3713,5119003713,2022,3713,Pulaski County,Arkansas,445,49,214,107,75,2904,62,94,729,780,190,668,381,11,48.1,24,16.9,2.1,3.2,25.1,26.9,6.5,23,13.1,1766,86154,97340,4138,64,1.5,4074,98.5,2516,60.8,1391,33.6,0,0,0,0,0,0,0,0,167,4,17.5,18.4
PULASKI COUNTY SPECIAL SCHOOL DISTRICT,MAUMELLE HIGH SCHOOL,176,16.6,13.60%,16.7,39.80%,17.6,23.90%,18.1,16.50%,9.10%,Arkansas,34.8627538,-92.384935,100 Victory Lane,72113,Pulaski County,Maumelle,5119,"100 Victory Lane, Maumelle, Arkansas, 72113",4309,5119004309,2022,4309,Pulaski County,Arkansas,290,21,239,30,0,2498,30,107,254,492,289,630,696,7.2,82.4,10.3,0,1.2,4.3,10.2,19.7,11.6,25.2,27.9,1493,109792,122311,3651,115,3.1,3536,96.9,2566,70.3,701,19.2,0,0,229,6.3,0,0,0,0,40,1.1,16.6,17.6
JACKSONVILLE NORTH PULASKI SCHOOL DISTRICT,JACKSONVILLE HIGH SCHOOL,199,15.6,5.50%,14.1,23.10%,16,18.10%,16.1,8.00%,4.50%,Arkansas,34.8674331,-92.1270445,,N/A,Pulaski County,Jacksonville,5119,,3605,5119003605,2022,3604,Pulaski County,Arkansas,347,0,110,237,0,3939,70,208,1272,936,425,616,412,0,31.7,68.3,0,1.8,5.3,32.3,23.8,10.8,15.6,10.5,2455,47956,65622,5846,73,1.2,5773,98.8,2582,44.2,2996,51.2,0,0,84,1.4,0,0,23,0.4,88,1.5,15.6,16
ACADEMICS PLUS PUBLIC CHARTER SCHOOLS,MAUMELLE CHARTER HIGH SCHOOL,60,19.3,31.70%,20.6,60.00%,20.6,40.00%,20.4,33.30%,23.30%,Arkansas,34.862572,-92.4044777,600 Edgewood Drive,72113,Pulaski County,Maumelle,5119,"600 Edgewood Drive, Maumelle, Arkansas, 72113",4306,5119004306,2022,4306,Pulaski County,Arkansas,387,30,125,64,168,4585,111,211,686,845,732,1105,895,7.8,32.3,16.5,43.4,2.4,4.6,15,18.4,16,24.1,19.5,2748,68750,106180,6848,290,4.2,6558,95.8,4067,59.4,1928,28.2,21,0.3,229,3.3,0,0,0,0,313,4.6,19.3,20.6
ACADEMICS PLUS PUBLIC CHARTER SCHOOLS,SCOTT CHARTER SCHOOL,N<10,N<10,N<10,N<10,N<10,N<10,N<10,N<10,N<10,N<10,Arkansas,35.20105,-91.8318334,,N/A,White County,N/A,5145,,71001,5145071001,2022,71001,White County,Arkansas,53,12,28,6,7,2664,42,86,1239,416,152,551,178,22.6,52.8,11.3,13.2,1.6,3.2,46.5,15.6,5.7,20.7,6.7,1444,59014,89069,3283,128,3.9,3155,96.1,2885,87.9,82,2.5,24,0.7,0,0,0,0,0,0,164,5,,
LISA ACADEMY,LISA ACADEMY WEST HIGH SCHOOL,105,17.2,16.20%,15.9,35.20%,16.7,19.00%,17.6,13.30%,4.80%,Arkansas,35.20105,-91.8318334,,N/A,White County,N/A,5145,,71001,5145071001,2022,71001,White County,Arkansas,53,12,28,6,7,2664,42,86,1239,416,152,551,178,22.6,52.8,11.3,13.2,1.6,3.2,46.5,15.6,5.7,20.7,6.7,1444,59014,89069,3283,128,3.9,3155,96.1,2885,87.9,82,2.5,24,0.7,0,0,0,0,0,0,164,5,17.2,16.7
LISA ACADEMY,LISA ACADEMY NORTH HIGH SCHOOL,63,18.5,22.20%,18.3,42.90%,18.1,22.20%,18.6,17.50%,14.30%,Arkansas,34.7514746,-92.388168,23 Corporate Hill Drive,72205,Pulaski County,Little Rock,5119,"23 Corporate Hill Drive, Little Rock, Arkansas, 72205",2208,5119002208,2022,2208,Pulaski County,Arkansas,230,34,47,97,52,1388,98,6,346,324,83,377,154,14.8,20.4,42.2,22.6,7.1,0.4,24.9,23.3,6,27.2,11.1,882,67500,72710,2039,162,7.9,1877,92.1,1051,51.5,538,26.4,36,1.8,184,9,9,0.4,0,0,59,2.9,18.5,18.1
ARKANSAS VIRTUAL ACADEMY,ARKANSAS VIRTUAL ACADEMY HIGH SCHOOL,97,17,15.50%,18.4,53.60%,19.6,38.10%,18.7,24.70%,12.40%,Arkansas,35.20105,-91.8318334,,N/A,White County,N/A,5145,,71001,5145071001,2022,71001,White County,Arkansas,53,12,28,6,7,2664,42,86,1239,416,152,551,178,22.6,52.8,11.3,13.2,1.6,3.2,46.5,15.6,5.7,20.7,6.7,1444,59014,89069,3283,128,3.9,3155,96.1,2885,87.9,82,2.5,24,0.7,0,0,0,0,0,0,164,5,17,19.6
ESTEM PUBLIC CHARTER SCHOOL,ESTEM HIGH SCHOOL,163,18,22.10%,18,45.40%,18.9,31.90%,19.1,24.50%,17.80%,Arkansas,35.20105,-91.8318334,,N/A,White County,N/A,5145,,71001,5145071001,2022,71001,White County,Arkansas,53,12,28,6,7,2664,42,86,1239,416,152,551,178,22.6,52.8,11.3,13.2,1.6,3.2,46.5,15.6,5.7,20.7,6.7,1444,59014,89069,3283,128,3.9,3155,96.1,2885,87.9,82,2.5,24,0.7,0,0,0,0,0,0,164,5,18,18.9
JACKSONVILLE LIGHTHOUSE CHARTER,JACKSONVILLE LIGHTHOUSE COLLEGE PREPARATORY ACADEM,26,15.1,7.70%,15.1,38.50%,16.1,19.20%,16.7,11.50%,3.80%,Arkansas,34.8687399,-92.1084908,251 North 1st Street,72076,Pulaski County,Jacksonville,5119,"251 North 1st Street, Jacksonville, Arkansas, 72076",3608,5119003608,2022,3608,Pulaski County,Arkansas,517,56,228,233,0,3758,110,166,1464,945,291,470,312,10.8,44.1,45.1,0,2.9,4.4,39,25.1,7.7,12.5,8.3,2260,43603,52845,5558,373,6.7,5185,93.3,2226,40.1,2687,48.3,0,0,75,1.3,0,0,0,0,197,3.5,15.1,16.1
GRADUATE ARKANSAS  CHARTER,GRADUATE ARKANSAS CHARTER HIGH,N<10,N<10,N<10,N<10,N<10,N<10,N<10,N<10,N<10,N<10,Arkansas,35.20105,-91.8318334,,N/A,White County,N/A,5145,,71001,5145071001,2022,71001,White County,Arkansas,53,12,28,6,7,2664,42,86,1239,416,152,551,178,22.6,52.8,11.3,13.2,1.6,3.2,46.5,15.6,5.7,20.7,6.7,1444,59014,89069,3283,128,3.9,3155,96.1,2885,87.9,82,2.5,24,0.7,0,0,0,0,0,0,164,5,,
RESPONSIVE ED SOLUTIONS PREMIER HIGH SCHOOL OF LIT,PREMIER HIGH SCHOOL OF LITTLE ROCK,13,13.4,0.00%,12.4,15.40%,14.2,0.00%,15.2,0.00%,0.00%,Arkansas,34.7444618,-92.2880157,,N/A,Pulaski County,Little Rock,5119,,4400,5119004400,2022,4400,Pulaski County,Arkansas,174,5,0,22,147,1765,10,125,163,216,107,488,656,2.9,0,12.6,84.5,0.6,7.1,9.2,12.2,6.1,27.6,37.2,1381,76036,127985,2066,110,5.3,1956,94.7,1604,77.6,256,12.4,0,0,26,1.3,0,0,0,0,70,3.4,13.4,14.2
