District Name,School Name,Number of Test Takers,Math Avg,Math % Met,English Avg,English % Met,Reading Avg,Reading % Met,Science Avg,Science % Met,All % Met,state_name_x,latitude,longitude,address,zip_code,county_name_x,city_name,county_code,Street Address,Tract,unique_id,year,tract_number,county_name_y,state_name_y,Population 18 to 24 years (estimate),"18-24, less than high school graduate (estimate)","18-24, high school graduate or eq. (estimate)","18-24, some college or associate's degree (estimate)","18-24, bachelor's degree or higher",Population 25 years and over (estimate),"25 and over, less than 9th grade (estimate)","25 and over, 9th to 12th grade, no diploma (estimate)","25 and over, high school graduate or eq. (estimate)","25 and over, some college, no degree (estimate)","25 and over, associate's degree (estimate)","25 and over, bachelor's degree (estimate)","25 and over, graduate or professional degree (estimate)","18-24, less than high school graduate (percentage)","18-24, high school graduate or eq. (percentage)","18-24, some college or associate's degree (percentage)","18-24, bachelor's degree or higher (percentage)","25 and over, less than 9th grade (percentage)","25 and over, 9th to 12th grade, no diploma (percentage)","25 and over, high school graduate or eq. (percentage)","25 and over, some college, no degree (percentage)","25 and over, associate's degree (percentage)","25 and over, bachelor's degree (percentage)","25 and over, graduate or professional degree (percentage)",Total number of households,Median household income (dollars),Mean household income (dollars),Total population,Hispanic or Latino (estimate),Hispanic or Latino (percentage),Not Hispanic or Latino (estimate),Not Hispanic or Latino (percentage),White alone (estimate),White alone (percentage),Black or African American alone (estimate),Black or African American alone (percentage),American Indian and Alaska Native alone (estimate),American Indian and Alaska Native alone (percentage),Asian alone (estimate),Asian alone (percentage),Native Hawaiian and Other Pacific Islander alone (estimate),Native Hawaiian and Other Pacific Islander alone (percentage),Some other race alone (estimate),Some other race alone (percentage),Two or more races alone (estimate),Two or more races alone (percentage),Math Scores,RW Scores
ELKINS SCHOOL DISTRICT,ELKINS HIGH SCHOOL,99,16.6,10.10%,16.1,35.40%,17.6,20.20%,18.2,21.20%,7.10%,Arkansas,36.0042193,-94.014391,259 Carrigan Road,72727,Washington County,Elkins,5143,"259 Carrigan Road, Elkins, Arkansas, 72727",11106,5143011106,2022,11106,Washington County,Arkansas,312,51,156,97,8,2481,100,101,985,545,263,323,164,16.3,50,31.1,2.6,4,4.1,39.7,22,10.6,13,6.6,1304,79375,87484,3740,358,9.6,3382,90.4,3053,81.6,0,0,6,0.2,28,0.7,0,0,64,1.7,231,6.2,16.6,17.6
FARMINGTON SCHOOL DISTRICT,FARMINGTON HIGH SCHOOL,184,17.8,19.60%,18.5,53.30%,20.8,39.70%,20.1,28.30%,13.00%,Arkansas,36.026242,-94.24674,12327 Arkansas 170,72730,Washington County,Farmington,5143,"12327 Arkansas 170, Farmington, Arkansas, 72730",11006,5143011006,2022,11006,Washington County,Arkansas,481,140,173,143,25,4038,47,117,1338,1082,258,818,378,29.1,36,29.7,5.2,1.2,2.9,33.1,26.8,6.4,20.3,9.4,2210,76000,91290,6173,72,1.2,6101,98.8,5350,86.7,183,3,53,0.9,68,1.1,0,0,0,0,447,7.2,17.8,20.8
FAYETTEVILLE SCHOOL DISTRICT,FAYETTEVILLE HIGH SCHOOL,531,20.6,41.60%,22.1,70.80%,22.4,57.30%,21.8,45.40%,33.00%,Arkansas,36.0578962,-94.1741336,994 Martin Luther King Junior Boulevard,72701,Washington County,Fayetteville,5143,"994 Martin Luther King Junior Boulevard, Fayetteville, Arkansas, 72701",11301,5143011301,2022,11301,Washington County,Arkansas,6175,14,356,5760,45,330,0,4,86,146,0,75,19,0.2,5.8,93.3,0.7,0,1.2,26.1,44.2,0,22.7,5.8,748,28615,51005,6551,208,3.2,6343,96.8,4910,75,711,10.9,83,1.3,312,4.8,4,0.1,0,0,323,4.9,20.6,22.4
FAYETTEVILLE SCHOOL DISTRICT,AGEE LIERLY LIFE PREPARATION SERVICES SCHOOL,31,15.5,3.20%,14.9,29.00%,16.5,9.70%,16.5,3.20%,0.00%,Arkansas,36.0849702,-94.0899911,,N/A,Washington County,N/A,5143,,10113,5143010113,2022,10113,Washington County,Arkansas,324,61,162,14,87,5053,69,91,1171,695,336,1641,1050,18.8,50,4.3,26.9,1.4,1.8,23.2,13.8,6.6,32.5,20.8,2855,82179,138476,7748,724,9.3,7024,90.7,6020,77.7,177,2.3,21,0.3,292,3.8,19,0.2,0,0,495,6.4,15.5,16.5
FAYETTEVILLE SCHOOL DISTRICT,FAYETTEVILLE VIRTUAL ACADEMY A DISTRICT CONVERSION,23,17.9,21.70%,20.4,60.90%,21.4,39.10%,20.5,26.10%,13.00%,Arkansas,36.0579721,-94.1327105,300 South Ray Avenue,72701,Washington County,Fayetteville,5143,"300 South Ray Avenue, Fayetteville, Arkansas, 72701",10110,5143010110,2022,10110,Washington County,Arkansas,753,73,332,230,118,2637,70,21,349,482,180,776,759,9.7,44.1,30.5,15.7,2.7,0.8,13.2,18.3,6.8,29.4,28.8,2094,49545,112725,4224,161,3.8,4063,96.2,3588,84.9,238,5.6,0,0,107,2.5,0,0,0,0,130,3.1,17.9,21.4
GREENLAND SCHOOL DISTRICT,GREENLAND HIGH SCHOOL,51,16.8,9.80%,18.4,60.80%,19.2,31.40%,18.6,17.60%,3.90%,Arkansas,35.9940458,-94.1724213,30 North Sandy Avenue,72737,Washington County,Greenland,5143,"30 North Sandy Avenue, Greenland, Arkansas, 72737",11105,5143011105,2022,11105,Washington County,Arkansas,2114,68,365,1496,185,2024,109,129,680,463,90,428,125,3.2,17.3,70.8,8.8,5.4,6.4,33.6,22.9,4.4,21.1,6.2,1585,43566,54560,4768,506,10.6,4262,89.4,3450,72.4,457,9.6,24,0.5,34,0.7,33,0.7,0,0,264,5.5,16.8,19.2
LINCOLN SCHOOL DISTRICT,LINCOLN HIGH SCHOOL,61,16.7,14.80%,17.5,49.20%,19.3,39.30%,19.3,26.20%,8.20%,Arkansas,35.9468219,-94.4051173,1392 East Pridemore Drive,72744,Washington County,Lincoln,5143,"1392 East Pridemore Drive, Lincoln, Arkansas, 72744",11002,5143011002,2022,11002,Washington County,Arkansas,489,293,130,63,3,3809,111,344,1790,596,391,425,152,59.9,26.6,12.9,0.6,2.9,9,47,15.6,10.3,11.2,4,2095,53942,63854,5745,270,4.7,5475,95.3,4378,76.2,1,0,74,1.3,20,0.3,0,0,31,0.5,971,16.9,16.7,19.3
PRAIRIE GROVE SCHOOL DISTRICT,PRAIRIE GROVE HIGH SCHOOL,146,17.4,17.10%,16.9,43.20%,18,29.50%,18.9,21.90%,12.30%,Arkansas,35.9815764,-94.3244138,500 Cole Drive,72753,Washington County,Prairie Grove,5143,"500 Cole Drive, Prairie Grove, Arkansas, 72753",10514,5143010514,2022,10514,Washington County,Arkansas,211,35,84,80,12,2361,82,55,658,907,185,368,106,16.6,39.8,37.9,5.7,3.5,2.3,27.9,38.4,7.8,15.6,4.5,1239,69917,87718,3570,132,3.7,3438,96.3,2615,73.2,11,0.3,6,0.2,0,0,0,0,0,0,806,22.6,17.4,18
SPRINGDALE SCHOOL DISTRICT,SPRINGDALE HIGH SCHOOL,353,17.5,17.60%,16.5,37.70%,17.5,24.40%,18.1,18.40%,9.30%,Arkansas,36.1850807,-94.1421577,101 South Pleasant Street,72764,Washington County,Springdale,5143,"101 South Pleasant Street, Springdale, Arkansas, 72764",10402,5143010402,2022,10402,Washington County,Arkansas,625,60,224,327,14,3232,472,417,836,803,127,433,144,9.6,35.8,52.3,2.2,14.6,12.9,25.9,24.8,3.9,13.4,4.5,1691,55809,79096,5349,1950,36.5,3399,63.5,2303,43.1,5,0.1,0,0,0,0,486,9.1,180,3.4,425,7.9,17.5,17.5
SPRINGDALE SCHOOL DISTRICT,HAR-BER HIGH SCHOOL,508,19.2,29.50%,20,61.80%,20.3,45.10%,20.1,32.30%,21.50%,Arkansas,36.1842731,-94.2130412,300 Jones Road,72762,Washington County,Springdale,5143,"300 Jones Road, Springdale, Arkansas, 72762",10518,5143010518,2022,10518,Washington County,Arkansas,520,53,142,141,184,2746,124,50,495,352,207,830,688,10.2,27.3,27.1,35.4,4.5,1.8,18,12.8,7.5,30.2,25.1,1539,94508,155405,4255,519,12.2,3736,87.8,3244,76.2,14,0.3,40,0.9,118,2.8,117,2.7,1,0,202,4.7,19.2,20.3
SPRINGDALE SCHOOL DISTRICT,DON TYSON SCHOOL OF INNOVATION,242,18,21.10%,19.5,60.30%,20,41.70%,19.9,30.60%,16.90%,Arkansas,36.1601029,-94.0845611,2667 Hylton Road,72764,Washington County,Springdale,5143,"2667 Hylton Road, Springdale, Arkansas, 72764",10109,5143010109,2022,10109,Washington County,Arkansas,113,0,91,22,0,2211,95,151,743,350,149,424,299,0,80.5,19.5,0,4.3,6.8,33.6,15.8,6.7,19.2,13.5,1133,93207,97711,3149,76,2.4,3073,97.6,2672,84.9,3,0.1,39,1.2,9,0.3,0,0,0,0,350,11.1,18,20
WEST FORK SCHOOL DISTRICT,WEST FORK HIGH SCHOOL,61,16.5,6.60%,18.3,55.70%,19.1,34.40%,18.2,21.30%,4.90%,Arkansas,35.9216443,-94.1916196,359 School Avenue,72774,Washington County,West Fork,5143,"359 School Avenue, West Fork, Arkansas, 72774",11003,5143011003,2022,11003,Washington County,Arkansas,389,35,309,43,2,3408,132,268,1460,688,188,349,323,9,79.4,11.1,0.5,3.9,7.9,42.8,20.2,5.5,10.2,9.5,1810,71375,77656,4853,132,2.7,4721,97.3,4325,89.1,32,0.7,37,0.8,5,0.1,0,0,0,0,322,6.6,16.5,19.1
HAAS HALL ACADEMY,HAAS HALL ACADEMY,52,25.7,71.20%,27.4,90.40%,26.4,75.00%,26.3,76.90%,61.50%,Arkansas,35.20105,-91.8318334,,N/A,White County,N/A,5145,,71001,5145071001,2022,71001,White County,Arkansas,53,12,28,6,7,2664,42,86,1239,416,152,551,178,22.6,52.8,11.3,13.2,1.6,3.2,46.5,15.6,5.7,20.7,6.7,1444,59014,89069,3283,128,3.9,3155,96.1,2885,87.9,82,2.5,24,0.7,0,0,0,0,0,0,164,5,25.7,26.4
HAAS HALL ACADEMY,HAAS HALL ACADEMY JONES CENTER,32,21.8,53.10%,21.9,68.80%,22.2,59.40%,21.4,50.00%,43.80%,Arkansas,35.20105,-91.8318334,,N/A,White County,N/A,5145,,71001,5145071001,2022,71001,White County,Arkansas,53,12,28,6,7,2664,42,86,1239,416,152,551,178,22.6,52.8,11.3,13.2,1.6,3.2,46.5,15.6,5.7,20.7,6.7,1444,59014,89069,3283,128,3.9,3155,96.1,2885,87.9,82,2.5,24,0.7,0,0,0,0,0,0,164,5,21.8,22.2
HAAS HALL ACADEMY,HAAS HALL ACADEMY AT THE LANE,39,24.5,71.80%,26.6,82.10%,27,74.40%,25.1,69.20%,61.50%,Arkansas,35.20105,-91.8318334,,N/A,White County,N/A,5145,,71001,5145071001,2022,71001,White County,Arkansas,53,12,28,6,7,2664,42,86,1239,416,152,551,178,22.6,52.8,11.3,13.2,1.6,3.2,46.5,15.6,5.7,20.7,6.7,1444,59014,89069,3283,128,3.9,3155,96.1,2885,87.9,82,2.5,24,0.7,0,0,0,0,0,0,164,5,24.5,27
HAAS HALL ACADEMY,HAAS HALL BENTONVILLE,45,25.4,80.00%,26.5,91.10%,27.4,77.80%,25.4,77.80%,68.90%,Arkansas,36.3444024,-94.1981489,2600 Southeast J Street,72712,Benton County,Bentonville,5007,"2600 Southeast J Street, Bentonville, Arkansas, 72712",20503,5007020503,2022,20503,Benton County,Arkansas,538,130,243,145,20,2537,37,117,608,501,134,749,391,24.2,45.2,27,3.7,1.5,4.6,24,19.7,5.3,29.5,15.4,1878,63906,72744,4131,655,15.9,3476,84.1,1874,45.4,219,5.3,10,0.2,821,19.9,153,3.7,0,0,399,9.7,25.4,27.4
BALD KNOB SCHOOL DISTRICT,BALD KNOB HIGH SCHOOL,55,18.5,20.00%,19,49.10%,19.7,41.80%,19.3,25.50%,14.50%,Arkansas,35.3168149,-91.5718281,901 North Hickory Street,72010,White County,Bald Knob,5145,"901 North Hickory Street, Bald Knob, Arkansas, 72010",70600,5145070600,2022,70600,White County,Arkansas,321,107,139,66,9,2427,95,290,1185,342,199,204,112,33.3,43.3,20.6,2.8,3.9,11.9,48.8,14.1,8.2,8.4,4.6,1424,48452,58600,3706,167,4.5,3539,95.5,3345,90.3,21,0.6,11,0.3,0,0,0,0,8,0.2,154,4.2,18.5,19.7
BEEBE SCHOOL DISTRICT,BEEBE HIGH SCHOOL,211,18.7,28.00%,18.4,50.70%,19,36.00%,19.2,25.10%,14.20%,Arkansas,35.0642972,-91.8927462,1201 West Center Street,72012,White County,Beebe,5145,"1201 West Center Street, Beebe, Arkansas, 72012",71202,5145071202,2022,71202,White County,Arkansas,182,33,117,32,0,3457,189,170,1345,878,409,362,104,18.1,64.3,17.6,0,5.5,4.9,38.9,25.4,11.8,10.5,3,2006,44783,57179,5485,172,3.1,5313,96.9,4872,88.8,157,2.9,0,0,0,0,0,0,0,0,284,5.2,18.7,19
BRADFORD SCHOOL DISTRICT,BRADFORD HIGH SCHOOL,23,15.8,4.30%,16.9,39.10%,18.1,30.40%,17.4,17.40%,4.30%,Arkansas,35.4256095,-91.4598312,504 West Main Street,72020,White County,Bradford,5145,"504 West Main Street, Bradford, Arkansas, 72020",70100,5145070100,2022,70100,White County,Arkansas,299,73,154,63,9,2406,184,159,1223,397,235,138,70,24.4,51.5,21.1,3,7.6,6.6,50.8,16.5,9.8,5.7,2.9,1369,35197,53490,3489,143,4.1,3346,95.9,3132,89.8,8,0.2,2,0.1,14,0.4,0,0,24,0.7,166,4.8,15.8,18.1
WHITE COUNTY CENTRAL SCHOOL DISTRICT,WHITE COUNTY CENTRAL HIGH SCHOOL,45,17.3,20.00%,16.9,37.80%,18.5,28.90%,19.1,20.00%,8.90%,Arkansas,35.3575912,-91.6769171,3259 Arkansas 157,72081,White County,Judsonia,5145,"3259 Arkansas 157, Judsonia, Arkansas, 72081",70501,5145070501,2022,70501,White County,Arkansas,169,92,67,10,0,2957,170,653,1207,373,257,266,31,54.4,39.6,5.9,0,5.7,22.1,40.8,12.6,8.7,9,1,1358,56019,89467,3856,385,10,3471,90,3281,85.1,20,0.5,0,0,0,0,0,0,0,0,170,4.4,17.3,18.5
RIVERVIEW SCHOOL DISTRICT,RIVERVIEW HIGH SCHOOL,77,15.8,5.20%,14.9,24.70%,17.6,26.00%,16.7,14.30%,3.90%,Arkansas,35.254911,-91.6892361,810 Raider Drive,72143,White County,Searcy,5145,"810 Raider Drive, Searcy, Arkansas, 72143",70700,5145070700,2022,70700,White County,Arkansas,253,53,72,105,23,2751,125,222,643,733,227,392,409,20.9,28.5,41.5,9.1,4.5,8.1,23.4,26.6,8.3,14.2,14.9,1515,51821,83512,3583,333,9.3,3250,90.7,2704,75.5,201,5.6,0,0,205,5.7,0,0,32,0.9,108,3,15.8,17.6
PANGBURN SCHOOL DISTRICT,PANGBURN HIGH SCHOOL,53,17.3,18.90%,16.7,41.50%,18.4,32.10%,17.6,24.50%,13.20%,Arkansas,35.4305767,-91.8356187,801 East 2nd,72121,White County,Pangburn,5145,"801 East 2nd, Pangburn, Arkansas, 72121",70200,5145070200,2022,70200,White County,Arkansas,269,28,147,81,13,3613,154,255,1696,509,524,230,245,10.4,54.6,30.1,4.8,4.3,7.1,46.9,14.1,14.5,6.4,6.8,2076,46708,59581,5416,149,2.8,5267,97.2,4909,90.6,0,0,0,0,104,1.9,0,0,0,0,254,4.7,17.3,18.4
ROSE BUD SCHOOL DISTRICT,ROSE BUD HIGH SCHOOL,48,17.5,12.50%,16.6,39.60%,18.8,25.00%,18.2,14.60%,8.30%,Arkansas,35.3341122,-92.0725523,124 School Road,72137,White County,Rose Bud,5145,"124 School Road, Rose Bud, Arkansas, 72137",70300,5145070300,2022,70300,White County,Arkansas,191,36,64,63,28,3622,212,392,1901,369,293,386,69,18.8,33.5,33,14.7,5.9,10.8,52.5,10.2,8.1,10.7,1.9,1885,58618,65851,5393,155,2.9,5238,97.1,5066,93.9,0,0,26,0.5,33,0.6,0,0,5,0.1,108,2,17.5,18.8
SEARCY SCHOOL DISTRICT,SEARCY HIGH SCHOOL,230,19.1,29.10%,19.8,58.30%,20.5,40.00%,19.9,30.90%,22.20%,Arkansas,35.2519371,-91.7592664,301 North Ella,72143,White County,Searcy,5145,"301 North Ella, Searcy, Arkansas, 72143",70401,5145070401,2022,70401,White County,Arkansas,701,30,439,100,132,3245,44,304,1280,585,297,346,389,4.3,62.6,14.3,18.8,1.4,9.4,39.4,18,9.2,10.7,12,1979,63631,70574,5074,122,2.4,4952,97.6,4594,90.5,234,4.6,0,0,0,0,0,0,0,0,124,2.4,19.1,20.5
AUGUSTA SCHOOL DISTRICT,AUGUSTA HIGH SCHOOL,20,16.3,10.00%,17.9,50.00%,17.7,20.00%,18.3,15.00%,10.00%,Arkansas,35.283595,-91.355537,1011 Main Street,72006,Woodruff County,Augusta,5147,"1011 Main Street, Augusta, Arkansas, 72006",490200,5147490200,2022,490200,Woodruff County,Arkansas,252,43,115,94,0,1581,35,145,846,167,158,92,138,17.1,45.6,37.3,0,2.2,9.2,53.5,10.6,10,5.8,8.7,988,52155,70572,2255,18,0.8,2237,99.2,1367,60.6,806,35.7,1,0,0,0,17,0.8,0,0,46,2,16.3,17.7
DANVILLE SCHOOL DISTRICT,DANVILLE HIGH SCHOOL,45,17.3,13.30%,16.8,37.80%,18.6,20.00%,18.9,17.80%,2.20%,Arkansas,35.0526252,-93.3912744,201 East 11th Street,72833,Yell County,Danville,5149,"201 East 11th Street, Danville, Arkansas, 72833",952500,5149952500,2022,952500,Yell County,Arkansas,382,77,164,109,32,2851,228,491,1005,619,177,268,63,20.2,42.9,28.5,8.4,8,17.2,35.3,21.7,6.2,9.4,2.2,1572,46429,57146,4209,1186,28.2,3023,71.8,2889,68.6,58,1.4,30,0.7,14,0.3,0,0,0,0,32,0.8,17.3,18.6
DARDANELLE SCHOOL DISTRICT,DARDANELLE HIGH SCHOOL,70,20.5,37.10%,22.3,81.40%,22.2,51.40%,22,50.00%,30.00%,Arkansas,35.2074294,-93.1571745,2306 Old Highway 7 South,72834,Yell County,Dardanelle,5149,"2306 Old Highway 7 South, Dardanelle, Arkansas, 72834",952301,5149952301,2022,952301,Yell County,Arkansas,337,10,148,81,98,1780,248,297,574,286,86,143,146,3,43.9,24,29.1,13.9,16.7,32.2,16.1,4.8,8,8.2,972,46750,72956,2780,994,35.8,1786,64.2,1548,55.7,179,6.4,8,0.3,16,0.6,0,0,0,0,35,1.3,20.5,22.2
WESTERN YELL COUNTY SCHOOL DISTRICT,WESTERN YELL COUNTY HIGH SCHOOL,24,15.5,4.20%,14.5,16.70%,15,4.20%,16,0.00%,0.00%,Arkansas,35.1094261,-93.5241809,1 Wolverine Drive,72842,Yell County,Havana,5149,"1 Wolverine Drive, Havana, Arkansas, 72842",952401,5149952401,2022,952401,Yell County,Arkansas,113,6,59,47,1,1864,154,253,747,404,96,154,56,5.3,52.2,41.6,0.9,8.3,13.6,40.1,21.7,5.2,8.3,3,956,62964,71506,2712,481,17.7,2231,82.3,2000,73.7,47,1.7,1,0,103,3.8,0,0,0,0,80,2.9,15.5,15
TWO RIVERS SCHOOL DISTRICT,TWO RIVERS HIGH SCHOOL,37,17.2,21.60%,18.2,45.90%,18.7,35.10%,18.5,21.60%,21.60%,Arkansas,35.0108998,-93.272946,17727 Arkansas 28,72853,Yell County,Ola,5149,"17727 Arkansas 28, Ola, Arkansas, 72853",952600,5149952600,2022,952600,Yell County,Arkansas,191,0,85,106,0,1954,103,364,980,266,69,134,38,0,44.5,55.5,0,5.3,18.6,50.2,13.6,3.5,6.9,1.9,1154,49067,62102,2664,184,6.9,2480,93.1,2462,92.4,0,0,0,0,0,0,0,0,0,0,18,0.7,17.2,18.7
