District Name,School Name,Number of Test Takers,Math Avg,Math % Met,English Avg,English % Met,Reading Avg,Reading % Met,Science Avg,Science % Met,All % Met
PARIS SCHOOL DISTRICT,PARIS HIGH SCHOOL,69,17.2,14.5%,16.7,40.6%,18.0,23.2%,18.2,18.8%,7.2%
SCRANTON SCHOOL DISTRICT,SCRANTON HIGH SCHOOL,25,18.6,24.0%,18.5,48.0%,20.5,40.0%,20.1,32.0%,20.0%
LONOKE SCHOOL DISTRICT,LONOKE HIGH SCHOOL,73,17.8,16.4%,17.6,46.6%,19.9,37.0%,19.4,27.4%,11.0%
ENGLAND SCHOOL DISTRICT,ENGLAND HIGH SCHOOL,43,16.2,7.0%,16.2,39.5%,16.6,18.6%,17.9,18.6%,2.3%
CARLISLE SCHOOL DISTRICT,CARLISLE HIGH SCHOOL,49,16.4,8.2%,15.8,36.7%,17.0,22.4%,18.0,14.3%,6.1%
CABOT SCHOOL DISTRICT,CABOT HIGH SCHOOL,636,18.9,26.4%,18.8,52.8%,19.8,37.9%,20.1,33.0%,19.5%
CABOT SCHOOL DISTRICT,ACADEMIC CENTER FOR EXCELLENCE,73,16.7,11.0%,16.8,41.1%,18.2,31.5%,17.6,13.7%,5.5%
HUNTSVILLE SCHOOL DISTRICT,HUNTSVILLE HIGH SCHOOL,110,16.3,13.6%,16.0,35.5%,16.8,17.3%,17.4,18.2%,10.0%
HUNTSVILLE SCHOOL DISTRICT,ST. PAUL HIGH SCHOOL,N<10,N<10,N<10,N<10,N<10,N<10,N<10,N<10,N<10,N<10
FLIPPIN SCHOOL DISTRICT,FLIPPIN HIGH SCHOOL,65,17.0,16.9%,17.6,46.2%,19.3,40.0%,19.2,23.1%,12.3%
YELLVILLE-SUMMIT SCHOOL DISTRICT,YELLVILLE-SUMMIT HIGH SCHOOL,56,17.3,25.0%,18.6,50.0%,18.2,25.0%,19.1,32.1%,14.3%
GENOA CENTRAL SCHOOL DISTRICT,GENOA CENTRAL HIGH SCHOOL,82,18.2,20.7%,18.7,56.1%,19.7,40.2%,19.3,25.6%,14.6%
FOUKE SCHOOL DISTRICT,FOUKE HIGH SCHOOL,60,16.7,10.0%,18.4,50.0%,19.3,30.0%,19.2,23.3%,8.3%
TEXARKANA SCHOOL DISTRICT,ARKANSAS HIGH SCHOOL,168,15.9,9.5%,16.1,35.7%,16.3,17.9%,17.1,12.5%,4.8%
ARMOREL SCHOOL DISTRICT,ARMOREL HIGH SCHOOL,20,17.9,20.0%,19.3,60.0%,20.0,45.0%,19.7,25.0%,15.0%
