School Name,District Name,Reading/Writing Score,Math Scores,Grads_Mskd,Exnees_Mskd,Part_Rate,Crit_Mskd,Above_Crit_Rate,TSI_Both_Mskd,Above_TSI_Both_Rate,state_name_x,latitude,longitude,address,zip_code,county_name_x,city_name,county_code,Street Address,Tract,unique_id,year,tract_number,county_name_y,state_name_y,Population 18 to 24 years (estimate),"18-24, less than high school graduate (estimate)","18-24, high school graduate or eq. (estimate)","18-24, some college or associate's degree (estimate)","18-24, bachelor's degree or higher",Population 25 years and over (estimate),"25 and over, less than 9th grade (estimate)","25 and over, 9th to 12th grade, no diploma (estimate)","25 and over, high school graduate or eq. (estimate)","25 and over, some college, no degree (estimate)","25 and over, associate's degree (estimate)","25 and over, bachelor's degree (estimate)","25 and over, graduate or professional degree (estimate)","18-24, less than high school graduate (percentage)","18-24, high school graduate or eq. (percentage)","18-24, some college or associate's degree (percentage)","18-24, bachelor's degree or higher (percentage)","25 and over, less than 9th grade (percentage)","25 and over, 9th to 12th grade, no diploma (percentage)","25 and over, high school graduate or eq. (percentage)","25 and over, some college, no degree (percentage)","25 and over, associate's degree (percentage)","25 and over, bachelor's degree (percentage)","25 and over, graduate or professional degree (percentage)",Total number of households,Median household income (dollars),Mean household income (dollars),Total population,Hispanic or Latino (estimate),Hispanic or Latino (percentage),Not Hispanic or Latino (estimate),Not Hispanic or Latino (percentage),White alone (estimate),White alone (percentage),Black or African American alone (estimate),Black or African American alone (percentage),American Indian and Alaska Native alone (estimate),American Indian and Alaska Native alone (percentage),Asian alone (estimate),Asian alone (percentage),Native Hawaiian and Other Pacific Islander alone (estimate),Native Hawaiian and Other Pacific Islander alone (percentage),Some other race alone (estimate),Some other race alone (percentage),Two or more races alone (estimate),Two or more races alone (percentage),RW Scores
Bryan Collegiate H S,Bryan ISD,535,524,<100,<125,100,<25,15.1,<75,50,Texas,30.6526229,-96.3478227,1901 East Villa Maria Road,77802,Brazos County,Bryan,48041,"1901 East Villa Maria Road, Bryan, Texas, 77802",1101,48041001101,2021,1101,Brazos County,Texas,333,49,85,174,25,1906,31,63,331,324,107,560,490,14.7,25.5,52.3,7.5,1.6,3.3,17.4,17,5.6,29.4,25.7,1253,56525,69522,2919,557,19.1,2362,80.9,1941,66.5,241,8.3,0,0,62,2.1,0,0,11,0.4,107,3.7,535
Big Bend H S,Terlingua CSD,471,459,<25,<25,87.5,<25,14.3,<25,42.9,Texas,29.3151869,-103.5384535,2281 Road Runner Circle,79852,Brewster County,Terlingua,48043,"2281 Road Runner Circle, Terlingua, Texas, 79852",950500,48043950500,2021,950500,Brewster County,Texas,154,14,20,60,60,2554,58,142,416,544,163,767,464,9.1,13,39,39,2.3,5.6,16.3,21.3,6.4,30,18.2,1597,48577,72968,3141,1140,36.3,2001,63.7,1915,61,8,0.3,63,2,9,0.3,0,0,0,0,6,0.2,471
Alpine H S,Alpine ISD,525,522,<75,<50,53.2,<25,24.2,<25,39.4,Texas,30.3719701,-103.6657327,300 East Hendryx Avenue,79830,Brewster County,Alpine,48043,"300 East Hendryx Avenue, Alpine, Texas, 79830",950300,48043950300,2021,950300,Brewster County,Texas,233,34,0,94,105,3271,115,343,553,554,122,860,724,14.6,0,40.3,45.1,3.5,10.5,16.9,16.9,3.7,26.3,22.1,2238,47713,68007,4534,1832,40.4,2702,59.6,2343,51.7,14,0.3,0,0,310,6.8,0,0,0,0,35,0.8,525
Marathon ISD,Marathon ISD,,,<25,<25,100,<25,,<25,,Texas,29.9822388,-102.8975098,,N/A,Brewster County,N/A,48043,,950500,48043950500,2021,950500,Brewster County,Texas,154,14,20,60,60,2554,58,142,416,544,163,767,464,9.1,13,39,39,2.3,5.6,16.3,21.3,6.4,30,18.2,1597,48577,72968,3141,1140,36.3,2001,63.7,1915,61,8,0.3,63,2,9,0.3,0,0,0,0,6,0.2,0
Silverton School,Silverton ISD,,,<25,<25,7.7,<25,,<25,,Texas,34.4705123,-101.3083877,700 Loretta Street,79257,Briscoe County,Silverton,48045,"700 Loretta Street, Silverton, Texas, 79257",950200,48045950200,2021,950200,Briscoe County,Texas,90,0,42,22,26,966,57,86,345,230,97,94,57,0,46.7,24.4,28.9,5.9,8.9,35.7,23.8,10,9.7,5.9,557,38469,52889,1266,461,36.4,805,63.6,687,54.3,31,2.4,0,0,0,0,11,0.9,10,0.8,66,5.2,0
Falfurrias H S,Brooks County ISD,,,<100,<25,1.1,<25,,<25,,Texas,27.2323297,-98.1525463,100 Jersey Drive,78355,Brooks County,Falfurrias,48047,"100 Jersey Drive, Falfurrias, Texas, 78355",950200,48047950200,2021,950200,Brooks County,Texas,296,0,143,153,0,2982,209,528,855,694,64,419,213,0,48.3,51.7,0,7,17.7,28.7,23.3,2.1,14.1,7.1,1603,29150,41834,4615,4270,92.5,345,7.5,290,6.3,0,0,0,0,0,0,0,0,0,0,55,1.2,0
Bangs H S,Bangs ISD,534,514,<75,<50,57.4,<25,20,<25,40,Texas,31.7180585,-99.129405,305 North 3rd Street,76823,Brown County,Bangs,48049,"305 North 3rd Street, Bangs, Texas, 76823",950500,48049950500,2021,950500,Brown County,Texas,251,13,125,83,30,2022,80,129,762,513,154,308,76,5.2,49.8,33.1,12,4,6.4,37.7,25.4,7.6,15.2,3.8,1020,54038,67088,2801,529,18.9,2272,81.1,2042,72.9,119,4.2,5,0.2,7,0.2,0,0,0,0,99,3.5,534
Brownwood H S,Brownwood ISD,501,479,190,118,62.1,15,12.7,31,26.3,Texas,31.691798,-98.9789967,2100 Slayden Street,76801,Brown County,Brownwood,48049,"2100 Slayden Street, Brownwood, Texas, 76801",950900,48049950900,2021,950900,Brown County,Texas,526,0,279,247,0,3211,109,245,876,930,256,552,243,0,53,47,0,3.4,7.6,27.3,29,8,17.2,7.6,1791,41563,66350,4674,999,21.4,3675,78.6,3458,74,202,4.3,14,0.3,0,0,0,0,0,0,1,0,501
Blanket School,Blanket ISD,485,434,<25,<25,66.7,<25,,<25,12.5,Texas,31.8249486,-98.7921836,,N/A,Brown County,N/A,48049,,950300,48049950300,2021,950300,Brown County,Texas,202,41,76,80,5,2314,135,171,952,438,219,311,88,20.3,37.6,39.6,2.5,5.8,7.4,41.1,18.9,9.5,13.4,3.8,1233,55096,72801,3048,355,11.6,2693,88.4,2641,86.6,2,0.1,0,0,9,0.3,0,0,0,0,41,1.3,485
May H S,May ISD,531,480,<25,<25,62.5,<25,26.7,<25,26.7,Texas,31.979203,-98.9234617,3400 East County Road 411,76857,Brown County,May,48049,"3400 East County Road 411, May, Texas, 76857",950100,48049950100,2021,950100,Brown County,Texas,65,9,30,0,26,1800,11,162,592,449,147,339,100,13.8,46.2,0,40,0.6,9,32.9,24.9,8.2,18.8,5.6,1051,43604,72797,2198,170,7.7,2028,92.3,2006,91.3,0,0,0,0,0,0,0,0,0,0,22,1,531
Zephyr School,Zephyr ISD,560,570,<25,<25,12.5,<25,50,<25,50,Texas,31.7134262,-98.770147,,N/A,Brown County,N/A,48049,,950300,48049950300,2021,950300,Brown County,Texas,202,41,76,80,5,2314,135,171,952,438,219,311,88,20.3,37.6,39.6,2.5,5.8,7.4,41.1,18.9,9.5,13.4,3.8,1233,55096,72801,3048,355,11.6,2693,88.4,2641,86.6,2,0.1,0,0,9,0.3,0,0,0,0,41,1.3,560
Early H S,Early ISD,579,565,<75,<25,20.8,<25,46.7,<25,73.3,Texas,31.7458323,-98.9322495,115 Sudderth Drive,76802,Brown County,Early,48049,"115 Sudderth Drive, Early, Texas, 76802",951200,48049951200,2021,951200,Brown County,Texas,302,18,114,170,0,3022,73,206,836,866,286,666,89,6,37.7,56.3,0,2.4,6.8,27.7,28.7,9.5,22,2.9,1689,57250,80158,4626,983,21.2,3643,78.8,3157,68.2,151,3.3,0,0,139,3,0,0,0,0,196,4.2,579
Caldwell H S,Caldwell ISD,513,507,<125,<50,39.5,<25,13.3,<25,37.8,Texas,30.5484321,-96.6741275,550 County Road 307,77836,Burleson County,Caldwell,48051,"550 County Road 307, Caldwell, Texas, 77836",970300,48051970300,2021,970300,Burleson County,Texas,347,128,129,90,0,2663,237,225,842,620,126,454,159,36.9,37.2,25.9,0,8.9,8.4,31.6,23.3,4.7,17,6,1628,53608,71255,4208,1200,28.5,3008,71.5,2243,53.3,587,13.9,23,0.5,0,0,0,0,13,0.3,142,3.4,513
Somerville H S,Somerville ISD,428,442,<50,<25,23.1,<25,,<25,16.7,Texas,30.341991,-96.5349372,570 8th Street,77879,Burleson County,Somerville,48051,"570 8th Street, Somerville, Texas, 77879",970502,48051970502,2021,970502,Burleson County,Texas,184,0,112,72,0,1504,69,270,495,291,110,170,99,0,60.9,39.1,0,4.6,18,32.9,19.3,7.3,11.3,6.6,845,62202,77516,2436,507,20.8,1929,79.2,1124,46.1,755,31,0,0,0,0,0,0,0,0,50,2.1,428
Snook Secondary,Snook ISD,454,441,<50,<50,75,<25,3.7,<25,11.1,Texas,30.4906375,-96.4680126,10110 Farm to Market Road 2155,77879,Burleson County,Somerville,48051,"10110 Farm to Market Road 2155, Somerville, Texas, 77879",970400,48051970400,2021,970400,Burleson County,Texas,300,57,124,35,84,2852,148,481,841,622,120,457,183,19,41.3,11.7,28,5.2,16.9,29.5,21.8,4.2,16,6.4,1564,78339,86733,3980,1070,26.9,2910,73.1,2566,64.5,269,6.8,0,0,0,0,0,0,0,0,75,1.9,454
Burnet H S,Burnet CISD,519,503,<200,<125,64.9,<25,18.3,<75,41.7,Texas,30.7778339,-98.2251921,1000 The Green Mile,78611,Burnet County,Burnet,48053,"1000 The Green Mile, Burnet, Texas, 78611",960302,48053960302,2021,960302,Burnet County,Texas,493,70,102,262,59,2767,78,100,1108,828,60,386,207,14.2,20.7,53.1,12,2.8,3.6,40,29.9,2.2,14,7.5,1549,65536,78161,4455,1021,22.9,3434,77.1,3236,72.6,66,1.5,10,0.2,0,0,0,0,0,0,122,2.7,519
