School Name,District Name,Reading/Writing Score,Math Scores,Grads_Mskd,Exnees_Mskd,Part_Rate,Crit_Mskd,Above_Crit_Rate,TSI_Both_Mskd,Above_TSI_Both_Rate,state_name_x,latitude,longitude,address,zip_code,county_name_x,city_name,county_code,Street Address,Tract,unique_id,year,tract_number,county_name_y,state_name_y,Population 18 to 24 years (estimate),"18-24, less than high school graduate (estimate)","18-24, high school graduate or eq. (estimate)","18-24, some college or associate's degree (estimate)","18-24, bachelor's degree or higher",Population 25 years and over (estimate),"25 and over, less than 9th grade (estimate)","25 and over, 9th to 12th grade, no diploma (estimate)","25 and over, high school graduate or eq. (estimate)","25 and over, some college, no degree (estimate)","25 and over, associate's degree (estimate)","25 and over, bachelor's degree (estimate)","25 and over, graduate or professional degree (estimate)","18-24, less than high school graduate (percentage)","18-24, high school graduate or eq. (percentage)","18-24, some college or associate's degree (percentage)","18-24, bachelor's degree or higher (percentage)","25 and over, less than 9th grade (percentage)","25 and over, 9th to 12th grade, no diploma (percentage)","25 and over, high school graduate or eq. (percentage)","25 and over, some college, no degree (percentage)","25 and over, associate's degree (percentage)","25 and over, bachelor's degree (percentage)","25 and over, graduate or professional degree (percentage)",Total number of households,Median household income (dollars),Mean household income (dollars),Total population,Hispanic or Latino (estimate),Hispanic or Latino (percentage),Not Hispanic or Latino (estimate),Not Hispanic or Latino (percentage),White alone (estimate),White alone (percentage),Black or African American alone (estimate),Black or African American alone (percentage),American Indian and Alaska Native alone (estimate),American Indian and Alaska Native alone (percentage),Asian alone (estimate),Asian alone (percentage),Native Hawaiian and Other Pacific Islander alone (estimate),Native Hawaiian and Other Pacific Islander alone (percentage),Some other race alone (estimate),Some other race alone (percentage),Two or more races alone (estimate),Two or more races alone (percentage),RW Scores
Holliday HS,Holliday ISD,544,550,85,65,76.5,17,26.2,41,63.1,Texas,33.8079075,-98.6885471,751 South College Avenue,76366,Archer County,Holliday,48009,"751 South College Avenue, Holliday, Texas, 76366",20200,48009020200,2022,20200,Archer County,Texas,195,20,85,90,0,1747,19,140,804,266,80,266,172,10.3,43.6,46.2,0,1.1,8,46,15.2,4.6,15.2,9.8,1023,60462,88636,2427,146,6,2281,94,2210,91.1,0,0,22,0.9,0,0,0,0,1,0,48,2,544
Charlotte HS,Charlotte ISD,459,436,<50,<50,85.7,<25,3.3,<25,13.3,Texas,28.8622271,-98.7031993,70 Trojan Drive,78011,Atascosa County,Charlotte,48013,"70 Trojan Drive, Charlotte, Texas, 78011",960500,48013960500,2022,960500,Atascosa County,Texas,239,87,114,38,0,1623,306,233,538,252,8,242,44,36.4,47.7,15.9,0,18.9,14.4,33.1,15.5,0.5,14.9,2.7,943,50938,68587,2763,1979,71.6,784,28.4,756,27.4,10,0.4,0,0,0,0,0,0,0,0,18,0.7,459
Jourdanton HS,Jourdanton ISD,485,475,<125,<100,70,<25,9.5,<25,23.8,Texas,28.9102359,-98.5413105,200 Zanderson Avenue,78026,Atascosa County,Jourdanton,48013,"200 Zanderson Avenue, Jourdanton, Texas, 78026",960602,48013960602,2022,960602,Atascosa County,Texas,326,15,296,5,10,2766,125,291,1127,422,33,675,93,4.6,90.8,1.5,3.1,4.5,10.5,40.7,15.3,1.2,24.4,3.4,1591,75521,101035,4181,1487,35.6,2694,64.4,2388,57.1,8,0.2,0,0,67,1.6,0,0,0,0,231,5.5,485
Lytle HS,Lytle ISD,491,502,<125,<25,12.9,<25,6.7,<25,20,Texas,29.2372722,-98.806751,18975 West Farm to Market 2790 South,78052,Medina County,Lytle,48325,"18975 West Farm to Market 2790 South, Lytle, Texas, 78052",402,48325000402,2022,401,Medina County,Texas,560,44,225,291,0,3307,116,193,1546,688,242,431,91,7.9,40.2,52,0,3.5,5.8,46.7,20.8,7.3,13,2.8,1471,70724,91207,4963,2710,54.6,2253,45.4,2227,44.9,10,0.2,10,0.2,0,0,0,0,0,0,6,0.1,491
Pleasanton HS,Pleasanton ISD,488,493,219,140,63.9,15,10.7,39,27.9,Texas,28.9653314,-98.4939658,900 West Adams Street,78064,Atascosa County,Pleasanton,48013,"900 West Adams Street, Pleasanton, Texas, 78064",960102,48013960102,2022,960102,Atascosa County,Texas,257,107,141,9,0,2527,246,381,916,499,147,276,62,41.6,54.9,3.5,0,9.7,15.1,36.2,19.7,5.8,10.9,2.5,1387,70028,81724,3919,3029,77.3,890,22.7,758,19.3,35,0.9,0,0,20,0.5,0,0,0,0,77,2,488
Poteet HS,Poteet ISD,511,483,<125,<50,24.1,<25,3.8,<25,23.1,Texas,29.0442153,-98.5666541,1000 Farm to Market Road 1470,78065,Atascosa County,Poteet,48013,"1000 Farm to Market Road 1470, Poteet, Texas, 78065",960300,48013960300,2022,960300,Atascosa County,Texas,275,28,195,52,0,2176,200,115,1123,429,123,121,65,10.2,70.9,18.9,0,9.2,5.3,51.6,19.7,5.7,5.6,3,1035,59554,66380,3177,2646,83.3,531,16.7,481,15.1,7,0.2,0,0,43,1.4,0,0,0,0,0,0,511
Bellville HS,Bellville ISD,549,529,166,55,33.1,15,27.3,29,52.7,Texas,29.9247536,-96.25175,850 Schumann Road,77418,Austin County,Bellville,48015,"850 Schumann Road, Bellville, Texas, 77418",760502,48015760502,2022,760502,Austin County,Texas,598,116,329,118,35,3667,214,178,1255,787,186,786,261,19.4,55,19.7,5.9,5.8,4.9,34.2,21.5,5.1,21.4,7.1,2039,72176,86476,5778,1359,23.5,4419,76.5,3609,62.5,701,12.1,29,0.5,80,1.4,0,0,0,0,0,0,549
Sealy HS,Sealy ISD,515,509,210,118,56.2,20,16.9,46,39,Texas,29.76214,-96.174422,2372 Championship Drive,77474,Austin County,Sealy,48015,"2372 Championship Drive, Sealy, Texas, 77474",760302,48015760302,2022,760302,Austin County,Texas,809,163,434,97,115,3371,230,422,1055,941,213,358,152,20.1,53.6,12,14.2,6.8,12.5,31.3,27.9,6.3,10.6,4.5,2105,75573,93385,5729,2644,46.2,3085,53.8,2742,47.9,338,5.9,0,0,0,0,0,0,0,0,5,0.1,515
Brazos HS,Brazos ISD,524,533,<75,<25,40.7,<25,25,<25,33.3,Texas,29.6192408,-96.0359779,16621 Texas 36,77485,Austin County,Wallis,48015,"16621 Texas 36, Wallis, Texas, 77485",760100,48015760100,2022,760100,Austin County,Texas,135,23,52,45,15,1653,204,123,556,486,110,144,30,17,38.5,33.3,11.1,12.3,7.4,33.6,29.4,6.7,8.7,1.8,963,39477,64427,2276,696,30.6,1580,69.4,1148,50.4,278,12.2,0,0,0,0,0,0,61,2.7,93,4.1,524
Muleshoe HS,Muleshoe ISD,462,455,<100,<75,81.5,<25,,<25,12.1,Texas,34.2225009,-102.7314319,800 West 3rd Street,79347,Bailey County,Muleshoe,48017,"800 West 3rd Street, Muleshoe, Texas, 79347",950101,48017950101,2022,950101,Bailey County,Texas,395,144,234,0,17,2953,223,630,1077,602,56,207,158,36.5,59.2,0,4.3,7.6,21.3,36.5,20.4,1.9,7,5.4,1232,78547,88947,4452,2996,67.3,1456,32.7,1203,27,16,0.4,70,1.6,72,1.6,0,0,0,0,95,2.1,462
Medina School,Medina ISD,604,540,<25,<25,26.3,<25,40,<25,60,Texas,29.7994493,-99.2484194,1 Bobcat Lane,78055,Bandera County,Medina,48019,"1 Bobcat Lane, Medina, Texas, 78055",200,48019000200,2022,200,Bandera County,Texas,178,45,23,110,0,2266,163,60,808,566,131,299,239,25.3,12.9,61.8,0,7.2,2.6,35.7,25,5.8,13.2,10.5,1115,68053,95208,2771,439,15.8,2332,84.2,2178,78.6,44,1.6,1,0,0,0,0,0,47,1.7,62,2.2,604
Bandera HS,Bandera ISD,495,479,151,114,75.5,14,12.3,28,24.6,Texas,29.7334314,-99.0616893,474 Old San Antonio Road,78003,Bandera County,Bandera,48019,"474 Old San Antonio Road, Bandera, Texas, 78003",103,48019000103,2022,103,Bandera County,Texas,185,28,97,60,0,2673,40,210,880,431,406,525,181,15.1,52.4,32.4,0,1.5,7.9,32.9,16.1,15.2,19.6,6.8,1509,54539,77446,3516,829,23.6,2687,76.4,2422,68.9,50,1.4,0,0,17,0.5,0,0,38,1.1,160,4.6,495
Bastrop HS,Bastrop ISD,454,446,<325,<325,97.1,<25,5.9,<50,15.2,Texas,30.1179864,-97.3115432,1614 Chambers Street,78602,Bastrop County,Bastrop,48021,"1614 Chambers Street, Bastrop, Texas, 78602",950401,48021950401,2022,950401,Bastrop County,Texas,867,12,388,271,196,3880,95,203,1301,682,382,732,485,1.4,44.8,31.3,22.6,2.4,5.2,33.5,17.6,9.8,18.9,12.5,2338,74202,103760,5612,1374,24.5,4238,75.5,3692,65.8,343,6.1,0,0,181,3.2,0,0,0,0,22,0.4,454
Cedar Creek HS,Bastrop ISD,454,445,<350,<300,86.9,<25,5.5,<50,13.7,Texas,30.138126,-97.471385,793 Union Chapel Road,78612,Bastrop County,Cedar Creek,48021,"793 Union Chapel Road, Cedar Creek, Texas, 78612",950303,48021950303,2022,950303,Bastrop County,Texas,372,0,328,0,44,5228,660,498,1316,1269,272,1064,149,0,88.2,0,11.8,12.6,9.5,25.2,24.3,5.2,20.4,2.9,2434,82352,96188,8216,3481,42.4,4735,57.6,3717,45.2,559,6.8,0,0,0,0,0,0,0,0,459,5.6,454
Colorado River Collegiate Academy,Bastrop ISD,544,552,<50,<25,44.9,<25,22.7,<25,50,Texas,30.117392,-97.3154422,1600 Hill Street,78602,Bastrop County,Bastrop,48021,"1600 Hill Street, Bastrop, Texas, 78602",950401,48021950401,2022,950401,Bastrop County,Texas,867,12,388,271,196,3880,95,203,1301,682,382,732,485,1.4,44.8,31.3,22.6,2.4,5.2,33.5,17.6,9.8,18.9,12.5,2338,74202,103760,5612,1374,24.5,4238,75.5,3692,65.8,343,6.1,0,0,181,3.2,0,0,0,0,22,0.4,544
Genesis HS,Bastrop ISD,,,<175,<25,0.6,<25,,<25,,Texas,30.1174788,-97.3154439,1602 Hill Street,78602,Bastrop County,Bastrop,48021,"1602 Hill Street, Bastrop, Texas, 78602",950401,48021950401,2022,950401,Bastrop County,Texas,867,12,388,271,196,3880,95,203,1301,682,382,732,485,1.4,44.8,31.3,22.6,2.4,5.2,33.5,17.6,9.8,18.9,12.5,2338,74202,103760,5612,1374,24.5,4238,75.5,3692,65.8,343,6.1,0,0,181,3.2,0,0,0,0,22,0.4,0
Elgin HS,Elgin ISD,475,461,297,93,31.3,8,8.6,15,16.1,Texas,30.366256,-97.4041724,14000 County Line Road,78621,Travis County,Elgin,48453,"14000 County Line Road, Elgin, Texas, 78621",45800,48453045800,2022,45800,Travis County,Texas,244,62,32,150,0,2401,513,111,902,471,124,158,122,25.4,13.1,61.5,0,21.4,4.6,37.6,19.6,5.2,6.6,5.1,1039,75994,92154,4391,3190,72.6,1201,27.4,921,21,146,3.3,0,0,13,0.3,0,0,0,0,121,2.8,475
Smithville HS,Smithville ISD,515,496,<150,<75,36.3,<25,13.2,<25,26.4,Texas,29.9980617,-97.1664756,285 State Highway 95,78957,Bastrop County,Smithville,48021,"285 State Highway 95, Smithville, Texas, 78957",950700,48021950700,2022,950700,Bastrop County,Texas,244,11,50,183,0,3306,277,137,961,962,199,506,264,4.5,20.5,75,0,8.4,4.1,29.1,29.1,6,15.3,8,1826,56190,87653,4402,643,14.6,3759,85.4,2997,68.1,459,10.4,24,0.5,50,1.1,0,0,0,0,229,5.2,515
McDade HS,McDade ISD,510,491,<25,<25,87.5,<25,14.3,<25,35.7,Texas,30.2830711,-97.2401656,156 Marlin Street,78650,Bastrop County,McDade,48021,"156 Marlin Street, McDade, Texas, 78650",950102,48021950102,2022,950102,Bastrop County,Texas,125,12,83,24,6,3289,196,119,1017,753,117,644,443,9.6,66.4,19.2,4.8,6,3.6,30.9,22.9,3.6,19.6,13.5,1747,90570,101609,4630,1508,32.6,3122,67.4,2895,62.5,131,2.8,0,0,5,0.1,0,0,0,0,91,2,510
Seymour HS,Seymour ISD,693,587,<50,<25,8.1,<25,66.7,<25,66.7,Texas,33.5920552,-99.2458215,500 Stadium Drive,76380,Baylor County,Seymour,48023,"500 Stadium Drive, Seymour, Texas, 76380",950301,48023950301,2022,950301,Baylor County,Texas,190,0,55,92,43,837,28,120,349,107,72,141,20,0,28.9,48.4,22.6,3.3,14.3,41.7,12.8,8.6,16.8,2.4,542,34375,68711,1277,107,8.4,1170,91.6,1084,84.9,12,0.9,3,0.2,0,0,19,1.5,0,0,52,4.1,693
AC Jones HS,Beeville ISD,463,445,<200,<100,49.5,<25,2.1,<25,9.4,Texas,28.4191996,-97.7541083,1902 North Adams Street,78102,Bee County,Beeville,48025,"1902 North Adams Street, Beeville, Texas, 78102",950300,48025950300,2022,950300,Bee County,Texas,1023,25,246,496,256,3285,139,178,963,1072,351,414,168,2.4,24,48.5,25,4.2,5.4,29.3,32.6,10.7,12.6,5.1,1958,62083,69080,5405,3683,68.1,1722,31.9,1376,25.5,138,2.6,0,0,145,2.7,0,0,9,0.2,54,1,463
Pettus Secondary,Pettus ISD,435,375,<25,<25,8.7,<25,,<25,,Texas,28.5870772,-97.8286368,,N/A,Bee County,N/A,48025,,950100,48025950100,2022,950100,Bee County,Texas,76,8,34,34,0,1107,83,62,378,372,83,106,23,10.5,44.7,44.7,0,7.5,5.6,34.1,33.6,7.5,9.6,2.1,580,62917,89700,1727,898,52,829,48,812,47,6,0.3,0,0,0,0,0,0,0,0,11,0.6,435
Skidmore-Tynan HS,Skidmore-Tynan ISD,576,576,<75,<25,11.9,<25,28.6,<25,57.1,Texas,28.2254294,-97.654811,,N/A,Bee County,N/A,48025,,950600,48025950600,2022,950600,Bee County,Texas,135,13,58,64,0,1631,118,83,308,458,279,122,263,9.6,43,47.4,0,7.2,5.1,18.9,28.1,17.1,7.5,16.1,860,46324,81353,2354,1379,58.6,975,41.4,961,40.8,14,0.6,0,0,0,0,0,0,0,0,0,0,576
Richard Milburn Academy Houston,Richard Milburn Alter HS,,,<75,<25,1.8,<25,,<25,,Texas,29.7600771,-95.3701108,,N/A,Harris County,Houston,48201,,980700,48201980700,2022,980700,Harris County,Texas,198,23,48,95,32,1367,0,11,106,90,115,528,517,11.6,24.2,48,16.2,0,0.8,7.8,6.6,8.4,38.6,37.8,1179,130563,176948,1604,314,19.6,1290,80.4,1064,66.3,118,7.4,0,0,76,4.7,5,0.3,0,0,27,1.7,0
Richard Milburn Academy Midland,Richard Milburn Alter HS,,,<50,<25,3.3,<25,,<25,,Texas,31.9995797,-102.0756701,,N/A,Midland County,Midland,48329,,10200,48329010200,2022,10200,Midland County,Texas,234,43,78,113,0,1834,205,336,557,450,83,124,79,18.4,33.3,48.3,0,11.2,18.3,30.4,24.5,4.5,6.8,4.3,1016,70926,82944,2810,2293,81.6,517,18.4,289,10.3,201,7.2,12,0.4,8,0.3,0,0,0,0,7,0.2,0
Cove Charter Academy,Priority Charter Schools,422,396,<25,<25,85.7,<25,,<25,,Texas,31.9685988,-99.9018131,,N/A,Runnels County,N/A,48399,,950100,48399950100,2022,950100,Runnels County,Texas,71,38,33,0,0,896,85,14,285,216,34,223,39,53.5,46.5,0,0,9.5,1.6,31.8,24.1,3.8,24.9,4.4,480,66094,86568,1104,255,23.1,849,76.9,794,71.9,26,2.4,0,0,0,0,0,0,0,0,29,2.6,422
Cedar Park Charter Academy,Priority Charter Schools,480,523,<25,<25,100,<25,14.3,<25,42.9,Texas,30.505198,-97.8202888,,N/A,Williamson County,Cedar Park,48491,,20349,48491020349,2022,20349,Williamson County,Texas,367,30,83,177,77,2251,73,71,584,386,229,616,292,8.2,22.6,48.2,21,3.2,3.2,25.9,17.1,10.2,27.4,13,1398,77102,99107,3534,702,19.9,2832,80.1,2305,65.2,26,0.7,0,0,363,10.3,0,0,0,0,138,3.9,480
Temple Charter Academy,Priority Charter Schools,457,421,<25,<25,100,<25,8.3,<25,25,Texas,31.9685988,-99.9018131,,N/A,Runnels County,N/A,48399,,950100,48399950100,2022,950100,Runnels County,Texas,71,38,33,0,0,896,85,14,285,216,34,223,39,53.5,46.5,0,0,9.5,1.6,31.8,24.1,3.8,24.9,4.4,480,66094,86568,1104,255,23.1,849,76.9,794,71.9,26,2.4,0,0,0,0,0,0,0,0,29,2.6,457
Gateway Tech HS,Orenda Charter School,531,531,<25,<25,36.8,<25,,<25,57.1,Texas,31.9685988,-99.9018131,,N/A,Runnels County,N/A,48399,,950100,48399950100,2022,950100,Runnels County,Texas,71,38,33,0,0,896,85,14,285,216,34,223,39,53.5,46.5,0,0,9.5,1.6,31.8,24.1,3.8,24.9,4.4,480,66094,86568,1104,255,23.1,849,76.9,794,71.9,26,2.4,0,0,0,0,0,0,0,0,29,2.6,531
Gateway College Preparatory School,Orenda Charter School,580,543,<100,<100,97.5,<50,33.8,<50,53.2,Texas,31.9685988,-99.9018131,,N/A,Runnels County,N/A,48399,,950100,48399950100,2022,950100,Runnels County,Texas,71,38,33,0,0,896,85,14,285,216,34,223,39,53.5,46.5,0,0,9.5,1.6,31.8,24.1,3.8,24.9,4.4,480,66094,86568,1104,255,23.1,849,76.9,794,71.9,26,2.4,0,0,0,0,0,0,0,0,29,2.6,580
